,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
161,"
 Experienced graphic, web, and UI/UX designer with a focus on creating visually appealing websites, user-friendly interfaces, and captivating branding materials. Skilled in crafting immersive digital experiences and communicating brand identities effectively. 

Completed comprehensive design courses and gained freelance design experience for nearly six months. Portfolio includes welcome brochures, websites for various businesses, a dashboard for a local bank, a website for a solar panel company, a menu for a local restaurant, and a cinema app. Seeking new opportunities to further enhance design skills. 

Not interested in projects involving adult websites or gambling game design. Prefers projects aligned with personal values and interests that have a positive impact on a wider audience.
"
162,"
 Product Designer with over 8 years of global experience in USA, Canada, Singapore, Israel, Indonesia, Thailand, Australia, UK, Belgium, Germany, Poland, Russia, Belarus, Ukraine. Completed 25+ web and 15+ complex product cases across various domains including marketing, logistics, field services, healthcare, project management software, real estate, retail, manufacturing, start-ups, social activity, it-outsourcing, new media, blockchain and crypto, legal, sports, and personal branding/blogs. Specializes in Design Systems and User Experience of Advanced SAAS Apps, including design management, discovery phases, interaction, prototyping, and implementation maintenance. Skilled in working with diverse teams on projects of varying sizes, from small startup apps to enterprise level. Utilizes a Human-centric approach and Lean UX methods in delivering cross-platform products. Experienced in remote work environments with a focus on company design culture, ambitious team-leaders, and competitive financial offers.
"
163,"
 - Designing more than 40 successful digital products
- Leading design teams and projects globally
- Experienced in product management and launching startups
- Mentoring junior designers, conducting lectures and workshops
- Creating and operating over 30 brands and trademarks in the market
- Possessing a respected UX certification
- Winning international design awards and serving as a jury member in design competitions
- T-shape design generalist with product thinking; over 15 years of experience
- Expert in setting up product design teams and processes
- Managing UI/UX design teams effectively
- Proficient in the entire design process and product management, from analysis to implementation
- Strong skills in UX design, prototyping, user testing, branding, and HTML/CSS principles
- Specialized in UX architecture & design, data mining, user testing, usability evaluation, UI design, prototyping, and more
- Experienced in product identity design, iOS and Android platforms, AR/VR, user and marketing research, and photography
- Capable of managing and understanding company business needs
- Seeking opportunities in product companies to influence direction and product vision
- Available for part-time design consultancy services
- Not interested in outsourced project or operational work
- Willing to consider remote or relocating positions (USA, UK, Europe)
- Flexible, open to changes, and skilled in cross-disciplinary design projects
- Interested in AR/VR projects, excluding game development.
"
164,"
 Experience in establishing and leading a design department, driving projects and client acquisition for increased profitability. Skilled in product design from concept to launch, with a track record of saving the business multiple times through strategic initiatives.

10+ years of experience in UI/UX Design and 5+ years in Design Team Management, overseeing a team of 20 members. Proficient in resource management, hiring, coaching, and performance evaluation. Expertise in design strategy, project allocation, and team development from entry-level to leadership roles.

Experienced in budgeting, project estimation, and contract management across various industries including Fintech, Healthcare, Telco, Gaming, E-commerce, Banking, and more. Strong self-management and analytical skills, with a passion for problem-solving and collaboration. Proficient in design processes including research, prototyping, testing, and interface development for creative solutions.
"
165,"
 - Experienced in designing successful Fintech products for both Mobile and Web platforms
- Established design departments for international consulting firms
- Proficient in creating and managing businesses from inception to operation, including Photostudio, Rental Company, and Production ventures
- Skilled Business Presentation Trainer with experience in Kyiv and Berlin
- Expertise in designing banking applications for both B2B and B2C markets, including mobile, web, and Fintech solutions
- Designed payment cards for banks in compliance with Mastercard regulations
- Experienced Brand Designer specializing in Corporate Graphic design
- Team Lead with a successful track record in leading design teams
- Launched multiple startups from scratch, including Photo studio, Rental service, and Design Department initiatives
- Developed and implemented design departments for foreign consulting firms
- Extensive experience in creating documentation and educational materials for presentation design
- 12 years of experience as a Graphics Coordinator in a Consulting Company
- Skilled Photographer and Retoucher
- Proficient in Google Ads and Google Analytics
- Proficient in a variety of design tools such as Figma, Adobe Creative Suite (Photoshop, XD, Illustrator, Premiere Pro, Lightroom, InDesign, Acrobat), Capture One, Jira, Slack, Powerpoint, Microsoft Office, Wordpress, and Google Analytics/Adwords.
"
166,"
 Sure!

- Completed courses in ""Web Designer: Explosive Start"" and ""My New Online Profession - Design and Layout"" at WayUp school, with certificates earned.
- Completed UX/UI design courses at SkillUP school.
- Experienced in creating websites for scientific medical conferences, including bilingual websites on Tilda for international events.
- Proficient in composition theory, color, typography, user research frameworks, Figma, Adobe Creative Suite, Material Design Guidelines, and iOS Human Interface Guidelines.
- Skilled in HTML5, CSS3, JavaScript, jQuery, Tilda, zero block, adaptive design for web/tablet/mobile screens, custom animation, SEO, SMM, and working with code for advanced functionality.
- Strong presentation, organizational, and communication skills.
- Seeking a role in UX/UI design to further develop skills and contribute to a professional team.
"
167,"
 Anhelina

Medical Insurance Biller: 2022-2023
Responsibilities included multitasking with documentation, new programs, and correspondence with clients and partners. Practice English with native speakers and work as part of a team.

Design Student: Present
Currently expanding skills in design through self-study and coursework. Working on building a portfolio to pursue a career in design.

English Tutor: 2016-Present
Experience in creating and teaching, developing skills in communication, explanation, and creativity.

Freelance Artist: 2007-2009
Sold artwork to family members, developing skills in creativity and customer service.

Highly motivated and seeking opportunities to further develop skills and contribute to a dynamic team environment.
"
168,"
 I have experience designing websites and mobile applications using tools such as Figma, Adobe Photoshop, Adobe Illustrator, and Coral Draw. In a team setting, I collaborated with other designers to ensure timely project completion and user satisfaction. I stay updated on latest web design trends and continuously learn new tools and technologies to enhance the design and functionality of the websites I work on.

Experience:
- Web service for finding lost animals GetPet: conducted analytics, competitor assessment, persona creation, user map, and user flow. Worked on warframes and interface design as part of a team effort.
- Redesigned the website of Poltava music school, updating the interface to be more modern and user-friendly.

Objective:
Seeking a remote position with a flexible schedule in a company that promotes knowledge-sharing among designers and prioritizes the creation of competitive and high-quality products.
"
169,"
 - Redesigned music school website to improve user experience and accessibility
- Collaborated in developing an affordable search service for travelers, focusing on consumer analysis and safety
- Contributed to the creation of a mobile application for ordering healthy food, including conducting user interviews and competitor analysis
- Proficient in Figma, Photoshop, and Illustrator
- Enthusiastic about creating innovative and user-friendly designs
- Motivated to contribute to successful projects and enhance user satisfaction
- Seeking opportunities to further develop design skills and contribute to project success
"
170,"
 Experienced in: 
- Changing the style of maintaining client's Instagram page and developing layouts for stories and tapes
- Creating metaphorical maps for landing pages
- Continuing education in animation post-graduation
Freelance Work:
- Designing websites and mobile apps
- Developing mobile application designs, including architecture and navigation
- Establishing design systems
- Conducting competitor research and analyzing client preferences
- Creating user personas and usage scenarios
- Generating concepts and references for clients
- Producing client presentations and prototypes
- Designing simple animations using Principle and After Effects
- Redesigning individual elements on existing websites
Seeking a position in a design team to enhance existing skills and receive constructive feedback.
"
171,"
 UI/UX Designer
Completed online course ""Web Design Junior"" at Projector
Design process includes:
1. Outlining scope
2. Creating sitemap and informational architecture
3. Prototyping
4. User interface design and animated prototypes
Tools: Figma, Adobe XD, Illustrator, Photoshop, After Effects
Completed two course projects:
1. B2B website for fruit & vegetable delivery
- Created sitemap and prototype based on client needs
- Emphasized reliability of company and convenience of services
2. E-commerce website for plant shop
- Designed simple, clean website for easy plant purchasing
- Provided information on plant care to enhance user experience
Passionate about creating modern, minimalist, user-friendly websites for excellent user experience. Seeking opportunities to collaborate on exciting projects with a dynamic team.
"
172,"
 - Completed UI/UX design courses from the California Institute of the Arts and the Georgia Institute of Technology
- Project manager in commercial R&D lab, worked on developing nutritional supplements in collaboration with marketers, business development, copywriters, and designers
- Skilled in research, communication, solution-driven design thinking, analytical skills, human interface guidelines by Apple, team-player, quick-learner
- Experienced in lean management, lean-UX design, sitemaps, workflows, wireframes design (Figma, Sketch, Adobe XD), usability testing principles
- Proficient in Figma and Adobe Illustrator
- Accomplished research biologist with experience in molecular biology, biochemistry, microbiology
- Conducted wet-lab molecular biology research using methods such as fermentation, microscopy, spectrophotometry, high-performance liquid chromatography, drum- and spray-drying
- Teamwork with marketing experts, business developers, scientists, copywriters, and designers
- Seeking opportunities to work with professional, creative, organized teams focused on solving user and business problems
- Interested in educational, medical, biotech, or bioinformatics product development

**Note: Against gambling or related areas**
"
173,"
 Experience:
- Designed and managed over 5 Instagram accounts per month, including content creation and social media marketing
- Developed personal website
- SMM freelance experience for over 2 years
- Proficient in mobile photo processing
- Completed 3-month Web designer internship at Infopulse
- Completed 7-month UX/UI courses at Dan. IT
- Practical experience in 4 real projects during studies, including Landind page for tourist, CRM for company, Mobile app development, and personal website Events.in.ua
- Proficient in Photoshop, Illustrator, and Adobe XD for project development
- Created presentation for Bloggers, media, and big companies for personal project
- Managed over 15 successful Instagram projects and created over 40 banners

Skills:
- Strong passion for creating software that adds value to business users and enhances people's lives
- Committed to continuous professional development
- Team player who values collaboration and feedback
- Versatile and adaptable due to experience in various types of work and real projects
"
174,"
 • Self-taught UI/UX Designer, completed Google UX Design course at Coursera and learned through online tutorials and daily design challenges
• Master's Degree in photo and video design provided a strong foundation in Adobe Photoshop, Adobe After Effects, which facilitated the transition to Figma for UI/UX Design
• Successfully completed a design project for a healthy food delivery app, involving user research, wireframing, Figma design, and prototype creation
• Developed a design system with component sets and accessibility guidelines in mind
• Available for request to share case study or presentation of app design work
"
175,"
 GRAPHIC DESIGNER
Building company (marketing department) | Kyiv | 2021-2022
- Created visual content for social media
- Designed layouts for local newspaper
- Developed designs for email marketing campaigns

WEB-DESIGNER
WEBDA Studio (project-based employment) | Ukraine-France | 2020-2021
- Redesigned websites
- Designed landing pages

UI/UX DESIGNER, GRAPHIC-, AND MOTION DESIGNER
Jewish Culture | Youth Christian organization (project-based employment) | Kyiv | from 2019
- Designed internal site layout
- Developed CRM system design
- Created advertising materials for social networks and print
- Collaborated with IT and marketing teams

GRAPHIC DESIGNER/ CONTENT MANAGER
ICF Support Point (supporting mothers with kids under challenging circumstances) | Kyiv | 2017-2018
- Promoted fund projects on social media
- Created visual and textual content
- Designed printed materials for communication with foreign partners

Looking for a position in a strong team to work on complex, global, and interesting projects.
"
176,"
 Anastasiia

Junior UX/UI Designer

- Experienced in UX/UI design through coursework and freelance projects
- Proficient in web and publications design software
- Self-employed for six months with two successful projects for B2B and B2C clients
- Skilled in creating user flows in various scenarios
- Dedicated to continuous learning, including improving English language skills
- Seeking a position in a small company to interact with diverse individuals and expand skill set
- Eager to progress within a company and take on additional responsibilities

Thank you for considering my application.
"
177,"
 TEAM LEADER EXPERIENCE

- Led the PetsMarket.com project, overseeing a team of two designers for two months
- Managed the project in four stages: Discover, Define, Ideate, Design
- Utilized user research, competitive analysis, user personas, user flow, information architecture, wireframing, and adaptive design in project execution

DESIGN SKILLS

- Proficient in UI/UX design
- Strong capability to turn ideas into reality and collaborate effectively with developers
- Experience in website redesign, including mobile and tablet adaptation

PERSONAL QUALITIES

- Quick learner with great potential for growth
- Excellent at problem-solving and completing tasks within my area of expertise
- Strong communication skills to build rapport with team members and find common interests

CAREER GOALS

- Aspire to work in a creative and friendly team environment
- Eager to undertake large-scale projects for a wide audience
- Striving to continuously improve skills and advance in the field of design
"
178,"
 Skills: 
- Proficient in Figma tools 
- Learning Photoshop, After Effects, Illustrator, and Webflow
- Intermediate level in English (B1)

Education:
- Completed courses: ""Design Basics"" from Mate academy, ""Working with Figma"" and ""Web design basics"" from Cases (Creative Practice), ""Graphic design. Composition"" from Cases (Creative Practice), ""Web designer. Explosive start"" from My.WayUp
- Currently continuing studies in ""Working with Illustrator"", ""Working with Photoshop"", and ""Working with After Effects""

Experience:
- Freelancer with experience creating landing pages and mobile application concepts 
- Worked on a team project involving market analysis, moodboard, surveys, User Personas, User Stories, User Flow, and prototypes

Ready for any design-related tasks.
"
179,"
 Education:
- Completed courses in Creative Practice: Design Basics, Web Design Basics
- Finished Web design, UX/UI design, Mobile design courses at GoIT
- 2 single projects (landing page and website redesign) and 2 team projects (web app and mobile app)
- Team leader in all team projects

Skills:
- Strong skills in Figma, especially in using components and auto layout
- Team leader in all team projects, gaining valuable teamwork experience

Experience:
- Worked on a commercial project OnMyWay, creating a system to assist small and medium-sized delivery businesses
- Developed 3 products: map for tracking courier, mobile app for courier, landing page

Projects:
- UGift: Cross-platform mobile app for ordering gifts, including analysis, information architecture, user flow, wireframes, and personalized gift search
- Pet Search: Web application for finding lost pets, including competitor analysis, user personas, site map, and flexible search filter
- Hospital website redesign: Concept for redesigning a hospital website, restructuring menu and information blocks, adding CTA, and reducing text
- Urban Fest: Designed a modern landing page for a festival-conference for architects and urban planners

Objective:
- Hardworking junior UI/UX designer with a willingness to learn and passionate about creating useful products
- Cooperative, listens to others, justifies decisions, finds compromises
- Aims to increase design skills and become a more valuable specialist by learning from experienced colleagues and applying acquired knowledge in practice
"
180,"
 I have designed ARKKA website, which successfully functions and during 3 months of work 160 book clubs all over the world registered on it. I also redesigned sites for the writer from Netehrlands and photographer from Australia. I know how to create wireframes, prototypes, storyboards, and user flows. I know the Figma tool very well. I know how to create components, clickable prototypes, set constraints. I did the responsive design for two big projects for the company The First The Last. I can make simple animations with the ProtoPie tool. I get inspired by novel ideas, original design, and creativity. My work has been varied – from landing pages, banners, UX/UI, websites, and mobiles app – but always with a human-centered approach and a keen eye for detail. I like to take influences from nature, architecture, and cinematography, and always lean towards minimalism and simplicity. I'm a big typography lover and into minimal design. I aim for a high-quality, polished product to achieve my client's goals. I keep deadlines. If I don't know something, it's not a problem to learn it. I'm open to new knowledge and challenges. Interested in beauty industries, art, and e-commerce. I believe that design is a collaborative process. Having four successfully completed projects and completed courses by Groward Academy and Nauka Dizaina, I would love to continue my growth in a cultivating and creative environment. Open to full-time employment offers within Ukraine in Web, UI/UX design as well as intern opportunities. Passionate about growing in a creative and growing environment.
"
181,"
 Upon completion of an intensive training course in ""UI/UX design from scratch"" at Beetroot Academy from June to October 2021, I have acquired theoretical knowledge on design thinking, mind mapping, information architecture, analysis of competitors, portrait creation, user flow, wireframing, in-depth interviews, surveys. Practical tasks in Figma included working with texts, creating illustrations, designing icons, working with components, creating UI Kit elements, and more. Additional works were done using Adobe Photoshop and Adobe Illustrator. The culmination of the course was the development of a mobile application concept ""Home for Pets"" for the Android platform, which included mind map, competitors analysis, information architecture, personas, wireframing, UI Kit components, and UI design of main screens. The project can be viewed in my Behance portfolio.
I am eager to continue expanding my UI/UX knowledge and skills while contributing to a creative team of professionals.
"
182,"
 Julia
UI/UX Designer
Skills: UI/UX design, prototyping, adaptive interfaces (desktop, mobile), Figma, Notion, Photoshop, Illustrator, Google pack, Miro

Experience:
- Developed a client questionnaire to understand the problem
- Conducted secondary research
- Defined target audience and analyzed competitors
- Created User flow and Sitemap to minimize errors
- Developed sketches and created Lo-fi and Hi-fi wireframes
- Selected style, typography, and created moodboard based on client feedback
- Conducted UX audit and evaluation of online store based on 10 Heuristics of Jacob Nielsen
- Conducted user testing to identify errors and improve visual UI design for optimal user experience

Education:
- Completed UI/UX design courses
- Successfully completed two projects

Currently continuing studies with the goal of furthering skills and knowledge in UI/UX design. A purposeful designer looking to work in a team environment and continue professional development. Passionate about evolving in the field and contributing to company growth.
"
183,"
 - Key role in creating main products for current company
- Developed pre-production mockup checking scheme resulting in cost decrease and quality improvement
- Completed UI/UX courses in March 2022
- In-house graphic designer since 2014
- Creating complex layout designs
- Managing production process and communication with printing houses and suppliers
- Working with brand identity and creating graphics for web usage
- Managing company photo bank
- Freelancer on Upwork since 2011
- Projects include 2D and vector illustration, layout design, digital drawings, icons design, promo materials design, and photo retouching
- Non-commercial projects: mobile website for a restaurant, application prototype for strolling enthusiasts, collection of hometown landmarks illustrations, mobile application design for courier service, Bluetooth keychain-scales concept
- Completed UI/UX courses specialization from California Institute of the Arts in May 2022
- Seeking professional growth and practical experience testing new skills in UI/UX
- Fluent in English and Ukrainian
"
184,"
 Experienced web designer with a focus on e-commerce, IT, and cryptocurrency exchange projects. Skilled in logo design, web design, prototyping, animation, and Ui kit creation. Proficient in Figma, Photoshop, Blender, and After Effects. Strong background in competitors and reference research, mobile and tablet adaptive design, and project design estimating. Actively seeking a professional team that fosters growth and development opportunities.
"
185,"
 Experience:
- Built a business development team from scratch, overseeing business processes, communications, and marketing strategies
- Successfully grew department to 10+ people in two years to provide full cycle software distribution, presale, and technical support
- Initiated and created three fully-functional websites for various directions, developed over five promotional landing pages, banners, presentations, and POS-materials for conferences and social media

Skills:
- Proficient in Photoshop, Joomla, WordPress, HTML, and basic CSS
- Experienced in SEO and website promotion methodologies
- Completed Advanced courses on UI/UX design with excellent results at Hillel
- Familiar with UX methodologies such as user stories, mind-mapping, Kano Model, Value Proposition Canvas, user flow, and Moqups prototyping
- Knowledgeable in computer terminology, physical and virtual infrastructures, and software product development methodologies such as Scrum and Kanban

Objective:
- Seeking to transition fully to design and work in a team environment to enhance knowledge and skills in design tools and methodologies, with a particular interest in UX design and analytics of business processes.
"
186,"
 Ann Nikonova
UI Designer, Project Coordinator

Education:
- A-Level Ukraine Web-Design Extended course – 156 hours, 2018
- V. N. Karazin Kharkiv National University Master of Administrative Management, 2014

Experience:
dRe - Kyiv marketing agency | 08.2018 - present time
UI Designer, Project Coordinator
- Making advertising banners in Adobe Photoshop
- Maintain advertising companies in search of Google and Yandex systems
- Analysis and evaluation of the effectiveness of advertising campaigns
- Check the information of the relevance in the serviced sites, and improve it. Task setting to a content manager

Bookit - Kharkov company | 02.2017 - 07.2018
PPC specialist
- Filling and updating the content of servicing sites, copywriting
- Prompt update of prices and availability in hotels for booking hotels by website visitors
- Advising and technical support of hotels for work with this site - Performing tasks set by booking managers and sales manager

Bookit - Kharkov company | 08.2016 - 01.2017
Content manager
- Writing unique and SEO texts to promote web projects
- Content creation for social networks
- Work with keywords, title, description, H1, make a content plan according to the target audience

Freelance | 09.2014 - 07.2016
Copywriter
- Writing unique and SEO texts to promote web projects
- Content creation for social networks
- Work with keywords, title, description, H1, make a content plan according to the target audience

Skills:
- UI/UX Designer with 1+ years of experience in user research and interaction design
- Specialized in creating beautiful, yet functional websites, digital interfaces, and applications
- Experienced in print design, adv banners, logo design, and branding
- Good team player with a passion for growth and learning

Seeking opportunities to further develop skills and expertise in the design field.
"
187,"
 UI/UX designer with 1 year of experience. Skilled in using Figma and Adobe Photoshop for design. Proficient in Auto Layout and Components. Specializes in applying individual approach to projects and attention to detail.

[Currently]:
Junior Game UI/UX designer (5 month)
Responsibilities include:
- Working with existing mobile applications and games, as well as creating new ones
- Supporting all stages of development from technical specifications to testing
- Testing hypotheses on existing products and analytics on game metrics
- Optimizing UX and UI for successful updates
- Creating regular and animated advertising banners for Google ADS

[In the past]:
UI/UX designer (7 month)
Responsibilities included:
- Creating responsive design for desktop, tablet, and mobile
- Designing with Material Design system of guidelines
- Communicating with developers and customers
- Establishing process from research to UI Kit creation
"
188,"
 UI/UX designer with experience in design internships, courses, and university projects. Skilled in designing user interfaces, including user research, user interviews, user personas, empathy maps, user journey maps, user flows, information architecture, sketching, wireframes, and usability testing. Completed Eleks Design Internship, developing a scooter collection program under mentor supervision. Worked on university projects collaborating with business analysts and other designers. Also created posters for OUY 'Spadshchyna' and illustrations. Passionate about improving skills and contributing to organizational success through product research, analysis, JTBD creation, user stories, design concepts, wireframes, and prototypes.
"
189,"
 UI/UX design in Beetroot Academy, Kyiv:
• In-depth knowledge of Figma
• Experience with Photoshop 
• UX research experience 
• Sketching and prototyping skills 
• Strong understanding of composition, typography, and color 
• Knowledge of design principles and tendencies 
• Soft skills for a UI/UX designer 
• Teamwork experience 
• Presentation experience, ability to explain projects and ideas

Test analyst with 7 years of experience:
- Reviewing requirements and design documents
- Writing user stories
- Participating in agile ceremonies such as retro, grooming, planning
- Collaborating closely with team members: developers, product owner, SM
- Estimating features
- Executing test cases
- Reporting bugs
- Developing and maintaining automated test cases using company's internal test tools
- Documenting results
- Presenting results bi-weekly on demo sessions
- Reviewing and approving documentation of peers
- Leading knowledge-sharing sessions for peers
- Experienced in both waterfall/agile methodologies
- Regular business trips to HQ to discuss ongoing projects.
"
190,"
 Successfully completed UX/UI designer courses at Lemon School.
Hello, I'm a junior UX/UI designer with the following experience and skills:
- Worked in the company from August 2021 to the present;
- Collaborated on projects ranging from landing pages to complex dashboards and multi-page websites;
- Worked closely with front and back-end departments, understanding technical page construction;
- Contributed to WCAG projects for users with disabilities;
- Proficient in HTML and CSS;
- Experience with 2D logo animation, SVG rendering for CSS animation;
- Knowledge of responsive and adaptive design principles;
- English proficiency at an Intermediate level;
- Currently enrolled in English courses for further improvement.

Seeking a role with a supportive team environment that values respect and collaboration.
"
191,"
 05.2021
VBakery
- Created and maintained a website for a sweets lovers community
- Developed a catalog of pastries and cakes for users to view
- Implemented a system for placing orders and assembling confectionery with a designer
- Enabled consumers to leave feedback on the site
- Designed a user's personal account feature for storing favorite sweets and placing quick orders
- Managed reviews and order history on the website
- Provided information about the bakery and location on the site

06.2021
Dim Kultury
- Launched a website to attract investment in renovating local monuments and creating a cultural center
- Oversaw the restoration of the club ЖИВОТ to transform it into a youth center operating during the day and night
- Planned and executed the development of a cultural center to bring together financially stable social business projects
- Coordinated the creation of a common urban space in a house yard, including a green theater, summer stage, and food court.
"
192,"
 - Completed a UX-UI design course, mastering design fundamentals and the Figma tool
- Redesigned website interface, implementing improvements to enhance user-friendliness
- Skilled in creating interactive design, improving user interaction with products
- Created social media banners for a charitable organization
- Redesigned webpage for Fitness Coach to attract future clients
- Developed landing page for handmade artist, emphasizing unique products on the international market
- Designed wireframes, selected natural colors, and created light parallax animation for artist's work presentation
- Designed a mobile app for selecting gifts and sending them with flowers on specific occasions
- Experienced in working with agencies, startups, and product companies on landing pages, mobile applications, and web services.
"
193,"
 - Developed web cleaning service ""CLEAN"" independently, completing all stages from competitor analysis to design
- Led redesign for barbershop ""BARBER"", including researching competitors, target audience, and design improvements aimed at user needs
- Redesigned site ""India Cafe"", conducting research on target audience, identifying needs, and enhancing design for improved usability
- Created web service ""CLEAN"" to connect cleaners with clients, overseeing all UX/UI stages including user flow, prototyping, sitemap, payment pages, and design
- Seeking a role in a collaborative and purpose-driven company, with the ability to work both in-office and remotely as needed
- Eager to continue learning and advancing in my profession, aiming for rapid career growth.
"
194,"
 Team Leader in the ""See World"" project, responsible for creating a user-friendly interface for housing search using a robotic method and facilitating affordable living options. Conducted follow-up to ensure user needs were met, facilitated easy application submission, and publication of user reviews.

Team member in the ""GenieTable"" project, contributing to the design concept of a mobile application for restaurant table reservations. Utilized cartoon character association and interactive design elements to enhance user experience and streamline booking process.

Contributor in the team project ""Nice View,"" involved in creating a landing page for a residential complex presentation. Emphasized the serene and secure environment of the complex through color selection and minimalist design elements to appeal to potential clients seeking a peaceful living and working environment.
"
195,"
 During my studies, I completed 3-PET projects involving analyzing competitors, researching company information, task and idea analysis, creating mood boards, developing minimalistic websites and landing pages, CRM systems, and mobile applications, as well as prototyping and responsive design. These projects included:
1. Redesigning a tattoo salon website as an individual project for the GoIT course. Responsibilities included selecting references, analyzing the audience, redesigning the site and UI-kit, adapting it for tablet and mobile versions, and creating links.
2. Developing a landing page project where I selected references, created a UI-kit moodboard, and designed the main page of the site, with the topic chosen independently.
3. Collaborating on a web service project aimed at organizing a cost-effective stay in another country. Responsibilities included selecting references, analyzing the audience, preparing USER FLOW and CJM, choosing a design system, adapting for tablet and mobile versions, and creating links.
Key highlights of my experience include a focus on results, design, and teamwork, fostering a mutual respect and friendly atmosphere, the opportunity for partial remote work, and corporate training and development opportunities within the company.
"
196,"
 - Experience in redesigning the website for a tattoo company, incorporating user-friendly designs and modern trends to enhance user experience and increase customer conversion.
- Developed an Easy Yoga web service from scratch, facilitating communication between yoga teachers and students to find suitable matches.
- Created a mobile application focused on improving productivity, incorporating features to plan daily tasks and monitor physical and mental health for enhanced performance.
"
197,"
 Team leader and UX/UI designer for the project ""Travelhaven"", with 2 personal pet-projects. Participated in a social project involving the development of a website for volunteers. 
1) Redesigned the website for Alaska Pete's Roadhouse Grille located in Seven Bridge Rd, USA (alaskapetes.com). Conducted competitor analysis to incorporate successful solutions into the project.
2) Developed a web service to facilitate affordable stays in other countries by providing opportunities for work exchange for accommodation, food, etc. Targeted towards students and young people seeking cost-effective travel options.
"
198,"
 - Team Leader in the project ""SweepUp Cleaning Web-service"" and led a team in the completion of the project
- Participated in addendum project for GoIT and had landing design implemented by students-developers
- TimeWell Daily Planner Mobile App: Conducted detailed analysis of competing applications, created User Personas and User flows, developed high-fidelity prototypes and UI design, and detailed animation in Protopie. Project still in progress. Instruments used: Figma, Photoshop, Illustrator, Protopie
- SweepUp Cleaning Web-service: Conducted detailed research including market and competitor analysis, brainstorming, User Personas, JTBD, CJM, and multiple User flows. Created prototypes, UI design, relinking, and adaptation within the existing design system. Instruments used: Figma, Photoshop, Illustrator
- Bravo Furniture Site Redesign: Conducted market analysis, competitor research, screen's prototyping, UI design, responsive layouts for mobile and tablet versions, and development of a UI-kit for a luxury furniture store website. Personal pet-project. Instruments used: Figma, Photoshop, Illustrator
- Citroen C4 Landing Page: Market analysis, competitor research, creation of moodboard, wireframes, and final animated interface for test drive bookings for new Citroen car. Developed as coursework using Figma.
"
199,"
 Team leader on the ""Travel Joy"" project, responsible for organizing and monitoring the work process, conducting competitor analysis, creating user flows, site maps, and developing wireframes and prototypes for a web service designed to facilitate work and rest in a new environment.

Currently working in a team on a mobile app for table booking in a restaurant.

Developed a landing page for selling apartments in a new residential complex, based on client requirements. Conducted competitor analysis, studied target audience, and created low-detailed and high-detailed prototypes. Selected fonts and color palette to attract new buyers, resulting in a visually appealing design that met client needs.
"
200,"
 Volunteer Projects Aggregator for Ukraine

- Created user-friendly platform showcasing volunteering initiatives in Ukraine
- Provided detailed project information, enabled donations, and promoted engagement
- Facilitated exploration of related projects and volunteer organizations

Landing Page for Kickstarter Project

- Designed landing page for nightstand transforming into four chairs
- Used AIDA marketing model to promote product on Kickstarter
- Gained skills in competitor analysis, wireframing, and creating adaptive website

Landing Page about Rihanna

- Introduced users to Rihanna and generated interest in her
- Developed skills in mood boards, wireframes, typography, and prototyping
"
201,"
 3D Graphic Specialist - HOVER Ukraine (Feb 2021 - Jun 2023)
- Proficient in using SketchUp for 3D modeling
- Created 3D exteriors and interiors
- Reviewed and provided feedback on finished 3D models by other modelers

Project Experience in UI/UX
- Redesigned the Sophie Scholl Realschule website to be aesthetically pleasing, user-friendly, and informative
- Conducted research and analysis on other school websites and web design best practices in the education sector
- Developed interface and user flow for YoHome, a web service for hosting and renting housing, from scratch with thoughtful details and stylization
- Worked on adaptation with minimal changes to ensure a seamless user experience

Additional Skills:
- Proficient in HTML and CSS
- Leader of the YoHome team for website development
- Completed 3 pet projects on various topics

Full-time/part-time position with a focus on training, development, and achieving results in a respectful and friendly atmosphere.
"
202,"
 Experienced UI/UX designer with 6 months of experience creating designs for Landing pages, E-Commerce, Portfolio sites, and Mobile applications (iOS, Android). Skilled in competitor analysis, user flows, wireframing, prototyping, building unique UI designs, adapting websites to mobile and tablet, and creating responsive designs. Proficient in basic website animation with a strong understanding of Google Material Design Guidelines and Human Interface Guidelines. Collaborative teamwork experience with front-end developers. Seeking to leverage my skills and experience in a professional UI/UX design role to create compelling and user-friendly website designs that drive conversions and provide easy access to necessary information. Passionate about continually improving design skills and tackling challenging projects.
"
203,"
 Experienced Junior UI/UX Designer with a successful completion of a 6-month UI-UX Design course. Passionate about creating effective and aesthetically pleasing designs to improve user experience. Skilled in full-cycle design services with specialization in landing pages, e-commerce, website redesign, and web services.

Project Experience:
- ""Wish"" - Gift delivery mobile app: Led full-cycle design process including competitive analysis, UX personas, user flow, wireframes, and UI-design.
- ""Fitroom"" - Corporate website redesign for a fitness studio: Conducted competitor analysis, established stylistic direction, built prototypes, optimized interfaces for phone and tablet, and developed UI kit to boost sales.
- ""VDOMA"" - Ukrainian couch-surfing web service: Managed full-cycle design process including competitive analysis, UX personas, empathy map, sitemap, MVP definition, user flow diagram, and A/B testing for optimization.

Additional Tasks:
- UI design for accounting table of cleaning company services.
- UI design for site sidebar.
- User page design for online learning resource.
- Dashboard design for ed-tech product targeting school students.
- UI design for site's start screen desktop with animation.
- Modal window design for money transfer confirmation.
- Dashboard design for administrator to manage user rights.

Looking forward to bringing expertise and passion to your team. Thank you for considering me for your next project!
"
