,modified
306,"
 Achievements:

- Expanded team from 3 to 12 personnel through recruitment, training, monitoring, and control.
- Managed team of 9, achieving 103% of the 2021 implementation plan for the East region, with a 75% increase compared to 2020.
- Conducted successful negotiations in pharmacy networks, leading to the retention of over 50% market share in the Ukrainian medicinal herbs market until 2020; from 2021, focused on promoting and delegating tasks for VIP networks.
- Maintained an average employee tenure of 3-3.5 years within the team.
- Successfully introduced new brands to the Ukrainian pharmacy market, achieving an average year-on-year growth of about 30% even during the quarantine period.

Hardworking and passionate job seeker with strong organizational skills eager to secure an entry-level Junior Project Manager position. Committed to helping the team achieve company goals.

Effective team management to accomplish company objectives, such as executing the sales plan for 100% of the region, conducting team training, selecting team members, and facilitating conferences and negotiations with key clients.

04.17-Present - Regional Manager of the East Region
- Achieved team plan by 100% and above in the East region (cities: Sumy, Kharkiv, Poltava, Dnipro, Zaporizhzhia, Kryvyi Rih).
- Managed and trained medical representatives for effective pharmaceutical sales through client persuasion (tertiary sales).
- Negotiated and contracted in pharmacy networks for large-scale procurement of medicines, achieving secondary sales plan by 100%.
- Handled organizational issues, including team training sessions, internal meetings, and transitioning to new work programs; prepared sales reports in presentation format for rallies.
- Conducted employee searches, interviews, competitive analysis, and market monitoring.

09.22-12.22 - Course Product-Project with a mentor  
07.22-09.22 - Certifications  
Course ""DAO PM"" IAMPM  
06.22 - Course ""QA Engineer"" from G5 University
"
307,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven professional with over 11 years of international experience across IT sales, hospitality, and aviation industries. Proven ability to communicate effectively and professionally, addressing client inquiries with tact and precision. Recognized for consistently performing as a top employee, with notable promotions to Quality Assurance Manager and Shift Manager. Extensive experience working abroad with renowned international companies, complemented by a background as Cabin Crew, fostering cultural awareness through travel to over 75 countries.

**Experience**  

**Sales Department, IT Company**  
[City, Country]  
[Job Title]  
[Month, Year] - Present  
- Gained over 2 years of experience in IT sales, acquiring knowledge of diverse IT products and services, CMS platforms, and E-commerce solutions (WordPress, Joomla, Prestashop, Magento, etc.).  
- Managed approximately 100 client inquiries daily, addressing and resolving 90% of requests and concerns efficiently.  
- Achieved two promotions within 2 years to Quality Assurance Manager and Shift Manager.  
- Led a team of 8-10 employees in the PM shift, conducting team training and appraisals.  
- Handled daily business correspondence, prepared weekly sales reports, and communicated progress and challenges to senior management.

**Hospitality and Aviation**  
[City, Country]  
[Job Title/Cabin Crew]  
[Month, Year] - [Month, Year]  
- Accumulated 7 years of experience working abroad for international corporations in the hospitality and aviation sectors.  
- Developed strong communication skills in a cosmopolitan setting, interacting with over 120 different nationalities.  
- Adapted to fast-paced environments, strengthening the ability to manage new situations and diverse teams.

**Education**  
[Your Degree, if applicable]  
[Your University, if applicable]  
[City, Country]  
[Year of Graduation]  

**Certifications**  
- Project Management Certification, [Online IT Academy], [Year]  

**Skills**  
- Proficiency in Agile, Scrum, and Kanban methodologies  
- Experience with Jira, Confluence, and Miro  
- Competence in SOW and project documentation  
- Knowledge of project budgeting, including cost baseline and general budget management  
- Team and risk management abilities  
- Trilingual: English, Ukrainian, Russian  

**Objective**  
Seeking a Junior Project Manager position where I can leverage my previous experience and newly acquired skills to contribute valuable insights and become a significant asset to a new company or project.
"
308,"
 Delivered projects on time within a constrained budget. Managed a budget of up to 1.5 million USD. 

Successfully completed English courses at the American English Center. Completed DAO PM courses at IAMPM. 

Possess 3 years of experience in project management at an engineering company. 

Analytical and detail-oriented Design Engineer seeking a challenging position in the IT sector. Understands customer design specifications and translates needs to project teams. Committed to ongoing professional growth with certifications in IT Project Management.

Experience includes:
- Preparation of technical and commercial proposals
- Project management from contract signing to expertise completion
- Scheduling and control of work timelines
- Preparation of questionnaires and selection of equipment
- Supervising a team of design engineers (up to 30 people)
- Coordination of project documentation among allied project participants
- Project defense presentations
- Creation of explanatory notes
- Organization and participation in meetings
- On-site supervision (up to 5 people)
- Conducting site visits

In PM courses, gained knowledge in SDLC, Agile methodology, PERT estimation, risk management, project management responsibilities, communication strategies, and using Jira, Confluence, and Slack. Learned about lean canvas, creating Work Breakdown Structures (WBS), user stories and acceptance criteria, story points, building roadmaps and mind maps, determining milestones, and the differences between waterfall and agile methodologies.
"
309,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Professional Summary**  
Detail-oriented professional with over 8 years of theoretical and practical experience in design, sales, and project management within the construction field. Proven ability to coordinate and implement projects successfully, particularly with foreign stakeholders. Strong background in writing technical requirements specifications, work breakdown structures (WBS), and risk management plans.

**Core Competencies**  
- Knowledge of SDLC methodologies, requirements management, and risk management  
- Strong analytical and problem-solving skills  
- Excellent written and verbal communication  
- Experience in team leadership and project management  
- Effective in billing and accounting processes, including invoicing and daily communication with foreign partners  
- Profitable participation in exhibitions, demos, and negotiations internationally  

**Professional Experience**  
**Project Management**  
- Coordinated and implemented projects, ensuring successful collaboration with foreign stakeholders  
- Led teams to achieve project objectives, emphasizing results and attention to detail  

**Sales and Design**  
- Engaged in design projects showcasing modern trends and technologies  
- Developed technical requirements specifications and WBS to facilitate project planning  

**Accounting and Billing**  
- Managed billing and accounting tasks, contributing to financial accuracy and partnership maintenance  

**Education and Development**  
- Completed various courses and seminars focused on SDLC methodologies, requirements management, and risk management  
- Actively pursued knowledge through literature to enhance expertise in project management  

**Professional Interests**  
- Continuous exploration of new trends in design and modern technology  
- Eager to contribute to a software development company and leverage theoretical knowledge in a practical setting  
"
310,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Website]  

**PROFESSIONAL SUMMARY**  
Results-driven professional with extensive experience managing projects from inception to execution, as well as maintaining legacy projects. Skilled in aligning customer needs with business objectives, with a strong focus on delivering value to users and organizations. Over the last four years, successfully collaborated with businesses in the Events & Catering and Rental of Premises sectors while undertaking various roles including web designer, SMM-manager, graphic designer, and project manager. Proficient in both product and project management.

**EXPERIENCE**  

**[Your Job Title]**  
**[Your Company Name]** | [City, State] | [Month, Year] – Present  
- Creation and curation of new projects.  
- Preparation of job descriptions and implementation of onboarding processes.  
- Setting goals and ensuring quality control.  
- Assisting the CEO in daily management of operations.  
- Responsible for technology management across the organization.  
- Oversaw group-wide marketing efforts.  
- Participated in the creation and execution control of technology briefs.  
- Conducted market analysis and monitored market trends.  
- Developed a Competitive Advantage Plan.  
- Managed advertising budget and performed ROI analysis.  
- Handled HR responsibilities, including recruitment and employee adaptation.  
- Controlled product supply and procurement processes.  
- Organized events and ensured quality control.  
- Negotiated and collaborated with contractors.  
- Managed inventory control.  
- Recruited and adapted staff.  
- Created staff schedules.  
- Organized master classes for staff development.  
- Coordinated banquets and related events.  
- Prepared and maintained reports and budgets.  

**SKILLS**  
- Agile, Scrum, Kanban, Waterfall, SDLC  
- Jira, Confluence  
- GantPro, Trello, Worksection  
- Figma, Photoshop, Illustrator  
- MS Office  
- MySQL  
- Leadership  
- Conflict management  
- Risk management  
- Critical thinking  
- Negotiation  
- Task management  

**OBJECTIVE**  
Seeking a dynamic and collaborative environment with friendly colleagues who are professionals in their field. Eager to apply skills and experience to meaningful projects while continuing to learn and grow professionally.
"
311,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Dedicated customer support representative and supervisor with 4.5 years of experience in delivering exceptional service. Possesses a basic technical background with web products, including domains, hosting, SSL certificates, and WordPress. Strong communicator with proven leadership skills, responsible for training newcomers, organizing workflows, and providing developmental tasks.

**Experience**  

**Customer Support Representative and Supervisor**  
[Company Name], [Location]  
[Month, Year] – Present  
- Provide high-quality support to clients, ensuring a positive experience and resolving issues efficiently.  
- Supervise and mentor customer support team members, fostering a collaborative environment.  
- Conduct one-on-one meetings to deliver constructive feedback based on performance metrics.  
- Manage the training process for new employees, equipping them with necessary skills and knowledge.  
- Organize workflow and delegate tasks to enhance team performance and productivity.  

**Technical Skills**  
- Basic knowledge of web products: domains, hosting, SSL certificates, WordPress.  
- Effective communication skills for client interaction and teamwork.  
- Ability to work effectively in a team setting and adapt quickly to new information.  

**Interests**  
- Eager to gain experience in project management and learn the principles of working within IT projects.  
- Enthusiastic about collaborating with new team members and contributing to team success.  

**Professional Development**  
- Committed to improving the quality and effectiveness of work through transparent feedback and continuous learning.  

---

[References Available Upon Request]
"
312,"
 Go IT School, Project Management Full Course  
08.2022 - Present  

**Project Manager**  
**Head of Aviation**  
**Kompas Ukraine**  
Sep 2021 - Apr 2022  
Kyiv, Ukraine  
- Collaborated with air companies  
- Negotiated contracts for charter flights with air companies  
- Restructured the department into two subdivisions and established working processes  
- Provided financial reporting  
- Set up and managed payment schedules for all charter flights  
- Analyzed the touristic charter aviation market  
- Drafted contracts with travel agencies  

**Head of Aviation**  
**TUI Ukraine**  
Dec 2013 - Apr 2020  
Kyiv, Ukraine  
- Served as a project manager in the Project subdivision  
- Managed integration between the travel company system and air company system  
- Successfully launched an ancillary selling platform  
- Conducted negotiations with air companies and drafted contracts  
- Planned budgets  
- Hired new staff (interviews, tests, onboarding)  
- Arranged training for new staff (Ukraine, Lithuania, Latvia)  
- Participated in international meetings  

Professional with 12 years of management experience, seeking a position as a Project Manager in the IT sector. Eager to apply my skills in a new area and ready to learn and gain new experiences.
"
313,"
 [Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Dedicated professional with a strong background in youth policy development, project management, and team leadership seeking opportunities to leverage skills in a dynamic environment.

**Experience**

**International Project Writer**  
- Developed an international project focused on youth policy development and exchanged experiences with Polish counterparts.

**Speaker**  
- Presented at the European Youth Forum ""Enter! Youth Week: Our Rights, Our Lives,"" advocating for youth rights and policies.

**Leadership School Graduate**  
- Completed a comprehensive program focused on leadership skills and personal development.

**Head of Town Youth Council**  
- Created and implemented projects on both city and international levels.  
- Fostered teamwork, motivation, and team building.  
- Defined project priorities, managed budgets, and prepared reports.

**Representative of Ukraine**  
- Represented Ukraine at a youth conference in the Council of Europe.  
- Engaged with foreign delegations and presented projects to various audiences.  
- Planned and monitored tasks efficiently. 

**Coordinator of the Ukrainian Volunteer Service**  
- Authored thematic projects and planned project expenses.  
- Communicated effectively with sponsors to ensure project success.

**CR Manager**  
- Managed CRM systems and utilized G-suite for operational efficiency.  
- Maintained personal responsibility for outcomes.  
- Demonstrated leadership through task delegation, monitoring, and a client-oriented approach.  
- Distributed tasks among team members and produced daily reports using pivot tables.

**Head of Call Center and Ad-boards Department**  
- Oversaw staff management, training, and performance monitoring.  
- Organized team-building events and facilitated effective communication within the team.  
- Led a department of over 15 personnel, fostering teamwork and motivation.

**Project Manager**  
- Led project management initiatives in the real estate sector.  
- Collaborated with international partners and managed marketing strategies to enhance audience engagement.  

**Education**  
FCE 2019 - Cambridge Assessment English  

**Skills**  
- Project Management  
- Team Leadership  
- Policy Development  
- Communication  
- CRM Systems  
- Task Delegation  
- Budget Management  
- Event Organization  
- Marketing Strategy  
"
314,"
 Zhanyl

Experience  
Acceleration Department Head, Kyrgyzpatent  
- Led the organization and coordination of the ""Startup Kyrgyzstan"" contests, successfully conducting two editions.  
- Managed all aspects of the acceleration program, including team selection and final event execution.  

Project Manager, DevCIT Center  
- Spearheaded the organization of two IT Hackathons and two comprehensive acceleration programs for emerging entrepreneurs from October 2021 to January 2022.  

Consultant  
- Conducted a Training of Trainers (ToT) for university faculty across the Kyrgyz Republic, aimed at establishing business incubators.  
- Contributed to the conceptualization and organizational efforts in launching the first state Innovation Center.  

Skills  
- Project Management  
- Event Coordination  
- Training and Development  
- Innovation Strategy  
- Startup Ecosystem Development  

Overall Experience  
- 5 years in professional roles, with 2 years dedicated to promoting innovative projects and entrepreneurial skills development.  
- Passionate about working with new ideas and fostering entrepreneurship among youth.  

Open to new opportunities.
"
315,"
 **Helen**  
[Your Contact Information]  
[LinkedIn Profile or Personal Website]  

---

**PROFESSIONAL SUMMARY**  
Dynamic business trainer and emotional intelligence specialist with extensive experience in team building, corporate training, and project management across various sectors. Proven track record of improving departmental performance and fostering long-term relationships with clients. Committed to contributing to the Ukrainian economy and adaptable to roles beyond traditional qualifications.

---

**ACHIEVEMENTS**  

**Freelance**  
- Improved performance of departments and employees through targeted training initiatives.  
- Established long-term relationships and executed training projects for organizations including Softcom, Government Contact Center, Lvivenergozbut, Kyivvodokanal, VM Group of Companies, and Ranok Corporation.  
- Delivered project training to over 250 managers and employees of the Government Contact Center within two months.  
- Developed and implemented comprehensive training programs focusing on communication skills, emotional competence, stress management, and adaptability to change.

**Venbest Corporation**  
- Composed documentation and established procedures for the new b2b sales department.  
- Designed and implemented effective onboarding and field training programs.  
- Created presentation materials to effectively communicate products and services to customers.  
- Conducted over 100 interviews, successfully building a team of 20 employees for SMB & KK.

**Vodafone Ukraine**  
- Launched the training and development direction for b2b staff, establishing essential analysis, development, and evaluation processes.  
- Mentored and facilitated the growth of six subordinates into corporate business trainers.  
- Designed a monitoring system for assessing the ""field"" work of b2b staff.  
- Developed a new evaluation framework and modernized annual certification exams.  
- Created over 12 corporate training programs aimed at enhancing employee skills.

---

**STRENGTHS**  
- Business trainer in communications and emotional intelligence specialist, certified coach (ECF).  
- Management experience in team building and development since 2012.  
- Extensive corporate training and coaching experience since 2011.  
- Project experience in training and team development as a business coach, consultant, mentor, and facilitator since 2017 across multiple industries.  
- Over 450 hours of personal and career coaching experience since 2003 in sales, development, and support.  
- Specialization in program development and training in emotional competence, communication, teamwork, and client engagement.  
- Currently pursuing professional courses in ""Project Management"" and ""Scrum Master Fundamentals.""

---

**SKILLS**  
- Ability to build trust, security, and motivation within teams.  
- Strong belief in the potential of individuals.  
- Prioritization of systematic approaches, responsibility, and emotional management in the workplace.  
- Proficient in advancing skills in communication, presentation, teamwork, emotional intelligence, stress management, and team leadership.  

---
"
316,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Aspiring project manager with a strong background in event management, customer support, and administrative assistance, seeking to leverage organizational and scheduling skills in a project management role.

**Experience**  

**Assistant to General Director**  
Baker Tilly Ukraine  
[Month, Year] – Present  
- Provide administrative support to the General Director and assist in various company projects.  
- Responsibilities include booking travel arrangements, scheduling appointments, and helping with project-related tasks.  

**Assistant, Education Center**  
Baker Tilly Ukraine  
[Month, Year] – Present  
- Serve as the first point of contact for clients, facilitating communication and needs assessment.  
- Prepare contracts and invoices in collaboration with relevant departments.  
- Provide technical support for online training sessions and generate certificates for participants.  

**Customer Support Specialist**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Assisted customers in the gambling sector, addressing inquiries and resolving issues efficiently.  

**Sales Manager (Glo Expert)**  
British American Tobacco  
[Month, Year] – [Month, Year]  
- Managed sales tasks and acted as a courier, ensuring timely delivery of products and client satisfaction.  

**Event Team Manager**  
RadioKvit  
[Month, Year] – [Month, Year]  
- Led a team in organizing and executing events for a student organization.  
- Developed and implemented a socially valuable project, producing brochures on Europrotocol to assist individuals in minor car accidents.  
- Distributed informational materials through various communication channels.  

**Education**  
[Your Degree]  
[Your University]  
[Month, Year] – [Month, Year]  

**Additional Training**  
Project Management Course  
Coursera  
[Month, Year] – Present  

**Skills**  
- Strong organizational and scheduling abilities  
- Proficient in administrative tasks and communication  
- Experience in customer support and sales  
- Technical support skills for online platforms  
- Team leadership and project execution  
- Fluency in [Languages, if applicable]  

**References**  
Available upon request.
"
317,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Motivated junior project manager seeking an opportunity to apply my skills and contribute to a dynamic team.

---

**Education**  
**University Name**  
[Degree, Major]  
[Year of Graduation]  

---

**Olympiad Experience**  
- Actively participated in middle and high school Olympiad programming competitions, developing skills in problem-solving and programming.
- Awarded a 2nd degree diploma as the winner of the 2nd stage of the Ukrainian Olympiad in Informatics 2021, demonstrating ability to excel in competitive environments.

---

**Project Management Experience**  
- Organized and led diverse projects with a student team of four, successfully developing a comprehensive training program on ""The Art of Negotiation.""
- Fostered a collaborative environment by developing plans, setting deadlines, monitoring progress, and conducting regular team meetings.

---

**Skills and Expertise**  
- **Project Management Tools and Techniques**  
  - Work Breakdown Structure (WBS)  
  - Gantt Chart  
  - OKRs and SMART Goals  
  - RACI Charts  
  - Stakeholder Analysis and Power Grid  
  - SoW and Project Budget  

---

**Continuous Learning**  
- Continuously pursuing courses and certifications to enhance project management skills and stay up-to-date with industry trends.

---

**Professional Aspirations**  
1. Desire to work in an environment that fosters continuous learning and professional development.
2. Eager to contribute to a collaborative and supportive team that values open communication and mutual respect.
3. Commitment to clear communication and transparency within the organization to ensure project alignment and minimize ambiguity.
4. Excited to work under the mentorship and guidance of experienced professionals to enhance project management practices.
5. Aspiring to work in an IT company that provides opportunities for career advancement and growth.  

---

**References**  
Available upon request.
"
318,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**HEAD OF PROCUREMENT DEPARTMENT**  
[Automotive Company Name]  
[City, State]  
[Month, Year] - Present  

- Led the creation of a procurement department in a fast-moving consumer goods (FMCG) company.  
- Managed procurement for 50,000 SCU with less than 4 months of inventory on hand and maintained deadstock below 3%.  
- Developed strong automated processes, resulting in a team of 6 product managers.  
- Responsible for maximizing sales margin while minimizing ordering expenses.  

**SKILLS**  

**Technical:**  
- Excel (PowerPivot, VBA scripting)  
- Power BI  
- Worksection, Trello  
- 1C Enterprise 8.3  

**Methodologies:**  
- Agile, Kanban, Scrum  
- Lean Management, 5S  

**Personnel:**  
- Strong Analytical Skills  
- T-shaped in: Data Analysis, Product Marketing, Product Management, Supply Chain, Warehouse Logistics  
- Excellent communication and negotiation skills  

**PROJECTS AND ACHIEVEMENTS**  
- Collaborated with 1C and web developers to create:  
  1) An automated price comparison system for ordering and pricing.  
  2) A forecasting system for ordering.  
  3) A data analysis tool for competitor availability, facilitating product range development with minimal costs.  
- Managed new projects using the Kanban methodology (Trello, Worksection).  
- Utilized Excel as the primary analytical tool, employing formulas, Power Query, and pivot tables.  
- Established department KPIs based on Lean Management principles to ensure low deadstock, high availability, and high inventory turnover.  
- Demonstrated basic SQL and VBA scripting skills for automated price list collection and database uploads.  

---  

[Note: Ensure to fill in your name, address, email, phone number, and the name of the automotive company where necessary.]
"
319,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Objective**  
Seeking a Junior Project Manager position to leverage my technical background and experience in operations and client relations for further professional growth.

---

**Professional Experience**  

**Security Company**  
[Your Job Title]  
[Month, Year] – Present  
- Participate in the development of the Technical Department, focusing on the expansion of the technician staff.  
- Integrate new operational procedures for the commencement of new projects, significantly reducing time and personnel required.  
- Transfer essential databases to a cloud system and create interactive tables for multiple users, ensuring centralized information management and minimizing data loss.  
- Troubleshoot and repair system malfunctions through effective communication with clients and timely coordination of repair engineers to client sites.

---

**Education**  
[Your Degree]  
[Your Major, if applicable]  
[Your School]  
[Year of Graduation]  

---

**Skills**  
- Technical education  
- Analytical skills  
- Personnel management  
- Client relations  
- Problem solving  
- Documentation management  

---  

**References**  
Available upon request.
"
320,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

**Objective**  
Aspiring Junior Project Manager seeking to leverage over 5 years of experience in commercial real estate project management to transition into the technology sector. Passionate about utilizing information technology to create impactful products and foster innovation.

**Professional Experience**  

**[Your Job Title]**  
[Previous Company Name], [City, State]  
[Month, Year] – [Month, Year]  
- Gained comprehensive knowledge in servicing commercial real estate, including negotiations, budgeting, and emergency management.  
- Developed strong management skills through conducting several commercial real estate projects, applying a systematic approach to project management.  
- Successfully collaborated with international partners, enhancing communication skills and fluency in English.  
- Estimated tasks, timelines, and resources necessary for project completion, ensuring efficiency and effectiveness.  

**Skills**  
- Project Management  
- Negotiation and Budgeting  
- Emergency Management  
- Team Collaboration  
- Time and Resource Estimation  
- Fluent in English  

**Education**  
[Your Degree]  
[Your University Name], [City, State]  
[Month, Year] - [Month, Year]  

**Certifications**  
[List any relevant certifications, if applicable]  

**Interests**  
- Information Technology  
- Innovation and Product Development  
- Continuous Learning  
"
321,"
 Valerii  
Junior Project Manager  
Email: [your.email@example.com] | Phone: [your phone number] | LinkedIn: [your LinkedIn profile]  

**Professional Summary**  
Dedicated and results-driven Junior Project Manager with a strong foundation in project management principles and techniques. Experienced in managing distance learning initiatives and implementing Agile methodologies to ensure successful project completion.

**Education**  
Google Project Management Certificate Program

**Experience**  

**Manager of Distance Learning, Moodle System**  
Faculty of International Economic Relations  
[Month, Year] - [Month, Year]  
- Led projects from initiation to closure ensuring timely delivery.  
- Engaged with thousands of users in various roles, fostering effective communication and collaboration.  
- Recognized as a top 3 employee in the management department for exceptional performance.  
- Coached and trained new employees, enhancing team capabilities.  
- Achieved a favorable customer satisfaction rating from 95% of users surveyed.  
- Solved problems effectively both independently and as part of a team.

**Project Manager, University Projects**  
[University Name]  
[Month, Year] - [Month, Year]  
- Successfully delivered multiple university projects while serving as the project manager.  
- Managed project timelines, ensuring that deliverables were completed on time.  
- Developed comprehensive project documentation to support project planning and execution.  
- Implemented Agile methodologies, including Scrum and Kanban, to streamline project processes.

**Technical Skills**  
- Web Application Development: Node.js, MySQL, MongoDB, Next.js, Mongoose, Nest.js, PostgreSQL, Firebase  
- Version Control: GitHub  
- Project Management Methodologies: Agile, Scrum, Kanban

**Additional Information**  
- Age: 21  
- Languages: [Your languages]  
- Interests: [Your interests]  
"
322,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-driven project manager with 1.5 years of experience in effectively managing teams to ensure project success. Skilled in communication and collaboration, with a focus on delivering high-quality outcomes in educational and government sectors, as well as non-profit initiatives. Proficient in project management tools such as Jira, Asana, Trello, Slack, and Microsoft Teams.

**Experience**  

**Project Manager**  
[Company Name] | [City, State] | [Month Year] - Present  
- Managed various projects utilizing Agile (Scrum) and Waterfall methodologies.  
- Collaborated with developers, designers, and clients to facilitate effective communication and project alignment.  
- Oversaw project processes, ensuring successful outcomes through strategic planning and team coordination.  
- Engaged with educational and government sectors, delivering tailored solutions to meet specific needs.  
- Led a significant project for a non-profit organization, focusing on impactful results and community benefits.  

**Skills**  
- Project Management  
- Agile (Scrum) and Waterfall Methodologies  
- Effective Communication  
- Team Collaboration  
- Problem Solving  
- Jira, Asana, Trello, Slack, Microsoft Teams  

**Education**  
[Your Degree]  
[Your University] | [City, State] | [Graduation Year]  

**Professional Development**  
[Relevant Certifications or Training]  
"
323,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Dynamic and enthusiastic manager with experience in an international IT company, seeking to transition into project management. Committed to delivering results and meeting expectations.

**Education**  
- Currently enrolled in ""Project Management in IT"" physical course  

**Experience**  

**Leader, International Students Organization**  
- Led a team of 20+ students towards meeting strategic goals for three consecutive years.  
- Held various leadership positions, from VP of Administration to President.  
- Drove HR activities, facilitated workshops, and coordinated over 30 events for European students and alumni, including business case-study competitions and educational and entertaining activities.  

**Intern, IT Project Coordination**  
- Gained experience in IT project coordination during a six-month internship.  

**Skills**  
- Proficient in Trello, Jira, and Confluence.  
- Excellent command of MS Office and G Suite.  
- Strong presentation creation and data structuring abilities.  
- Effective interpersonal and intercultural communication skills.  

**Certifications**  
- Completed ""Agile with Atlassian Jira"" course on Coursera.  

**Additional Information**  
- Eager to work in an international company.  
"
324,"
 Supported team members in completing home tasks by providing hints, advice, and undertaking additional scope of work. Completed all assignments on time and achieved 2nd and 3rd places in several Kahoot! quizzes. 

Highly motivated and result-oriented professional with over 15 years of experience in HR, banking, and Oil & Gas industries, focused on process improvements and operational issues. Bringing leadership skills and a track record of personal achievements. Seeking to advance in Project Management within the IT sector. 

During a Project Management course with GoIT, designed the Pharmapteka project, a unique platform for customers to find specific medications requiring prescriptions or not, compare prices, and locate pharmacies. This platform serves pharmacies in Krakow and its suburbs. 

The following documents and processes were completed:
- Roadmap creation
- Mind map development
- Statement of Work (SOW) creation
- Budget planning
- Work Breakdown Structure (WBS) and project estimation
- Risk management
- Project backlog creation
- Customer journey map creation

Looking to further my career in Project Management within IT. I have a proven record of successful projects in process improvements as a Team Lead. I am prepared to start as a Project Coordinator or Junior Project Manager and embrace challenging and engaging tasks.
"
325,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Highly motivated Junior Project Manager with strong communication skills and theoretical knowledge in various management areas, seeking to leverage skills and experience in a dynamic team environment.

---

**Education**  
Hillel School  
Graduated with High Honor  

---

**Skills**  
- Excellent communication skills  
- Theoretical knowledge in:  
  - Budget Management  
  - Scope Management  
  - Quality Management  
  - Risk Management  
  - People Management  
  - Stakeholder Management  
- Upper Intermediate level of spoken and written English  

---

**Experience**  

**English Teacher**  
[School Name] — [City, State]  
[Month, Year] – [Month, Year]  
- Planned and prepared lessons, including creating lesson plans, gathering materials, and developing activities to engage students in learning.  
- Monitored student progress, provided feedback, and maintained records of attendance, grades, discipline issues, and other information.  
- Interacted with parents or guardians to discuss their child’s progress or address any concerns they may have.  
- Prepared materials such as tests, presentations, and homework assignments.  

**Kindergarten Teacher**  
[School Name] — [City, State]  
[Month, Year] – [Month, Year]  
- Assisted the Head Teacher with paperwork, documents, and presentation creation.  
- Aided in designing complete teaching plans and engaging lessons.  
- Used and organized learning material and resources effectively.  
- Utilized songs, stories, and games to motivate children to participate.  
- Regularly communicated with parents.  
- Identified children that needed extra work.  
- Evaluated children's performance and progress.  
- Adhered to teaching standards and safety regulations.  

---  

**References**  
Available upon request.
"
326,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dedicated and motivated individual seeking an entry-level Junior Project Manager position to apply my knowledge and skills gained from PM+BA course and previous work experiences. 

---

**Education**  
PM+BA Course  
Lemon School  

---

**Experience**  

**Manager**  
German Desk of Grant Thornton LLC - Kyiv  
04/2021 - Present  
- Oversee functional operations of the office and management of employees.  
- Facilitate communication between clients and office personnel.  
- Ensure timely completion of projects through effective monitoring.  
- Serve as HR manager when necessary.  
- Generate monthly reports on clients and employees, maintaining accurate database entries.

**English Teacher**  
Буде Talk - Kyiv  
01/2021 - 06/2021  
- Conduct lessons for children and teenagers, fostering a positive learning environment.

**Office Manager**  
EKC - Kyiv  
06/2020 - 12/2020  
- Manage business correspondence and handle incoming phone calls.  
- Welcome and assist visitors while providing administrative support to all office staff.  
- Execute management orders efficiently.

---

**Skills**  
- Project Management  
- Communication  
- Teamwork  
- Reporting  
- HR Management  
- Office Administration  

---  

**References**  
Available upon request.
"
