,Modified_gpt-4o-2024-08-06_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-4o-2024-08-06
147,"
 UI/UX Designer

Profile:
A dedicated UI/UX Designer with 4 years of experience specializing in digital design. Skilled in creating visually compelling and user-friendly interfaces for websites and mobile applications on both iOS and Android platforms.

Education:
- ArtCraft Education LLP, Online Course in Game Graphics (2021)
- ArtCraft Education LLP, Online Course in Anatomy (2020)
- ArtCraft Education LLP, Online Course in Digital Drawing (2019)
- IT School, Advanced Graphic Design Course in Adobe Photoshop and Adobe Illustrator (2017)

Professional Experience:
- Develop and design icons, logos, and complex layouts
- Design marketing materials including press-wall illustrations, banners, notebooks, and social media posts
- Work on UI/UX design projects for websites and mobile apps, ensuring a seamless user experience
- Create detailed workflow diagrams to enhance project efficiency
- Prepare professional templates for presentations, portfolios, and mobile game backgrounds

Skills:
- Proficient in Adobe Photoshop and Adobe Illustrator
- Strong understanding of core CG principles: light, shadow, tone, color, perspective, and anatomy
- Expertise in hand drawing with Wacom Intuos 4 Digital Tablet
- Competent in using design tools such as Sketch, Figma, inVision, Abstract, and Craft plugin
- Experienced in effective communication with international clients via email and calls
"
148,"
 Bachelor of Fine Arts in Graphic Design

Professional Experience:
- Successfully launched products and brands in U.S., U.K., and European markets
- Expertise in brand strategy, research, analysis, and design
- Proficient in marketing, customer research, and questionnaire development
- Strong skills in team management and communication
- Experienced in teaching and preparing educational materials for colleagues

Skills:
- Product/Brand Launches
- Brand Strategy & Design
- Marketing & Research
- Team Leadership & Communication
- Educational Material Development
"
149,"
 I am a highly skilled graphic and web designer with over ten years of experience in the industry. Specializing in web and mobile application design, logo design, and corporate identity. I combine extensive experience with the latest design trends and technologies to deliver high-quality solutions.

PROFESSIONAL EXPERIENCE

UI/UX Designer | May 2019 - October 2022
- Collaborated remotely on various B2B projects, contributing to the design process.
- Designed corporate websites, dashboards, and mobile apps using Figma.

UI/UX and Graphic Designer | November 2015 - June 2019
- Led design efforts for a Canadian real estate startup, creating websites and mobile interfaces.
- Used Photoshop and Figma for design work.
- Developed promotional materials for presentations and trade shows.

Web Designer | February 2012 - March 2019
- Worked on internal projects and client designs at an Israeli digital agency.
- Collaborated with a team of designers to create cutting-edge website designs.
- Utilized Sketch, Figma, and Photoshop for design projects.

Seeking remote positions with exciting projects and opportunities for skill development. Thrive in team-oriented environments and aim to contribute my skills to achieve exceptional results.
"
150,"
 Multidisciplinary Designer

Profile:
A dedicated and creative designer with 6 years of experience in graphic design. Proficient in UX/UI design, focusing on product and user experience to deliver high-quality work for a diverse client base.

Experience:
- Collaborated with over 50 clients on various design projects, demonstrating versatility and adaptability.
- Successfully executed multiple e-commerce projects, enhancing user engagement and satisfaction.
- Skilled in both independent work and collaborative team environments, contributing positively to team dynamics.

Skills:
- Strong communication skills, able to convey ideas clearly and constructively.
- Pragmatic and creative problem solver, consistently delivering innovative solutions.
- Result-oriented with a fast learning pace, quickly adapting to new tools and technologies.

Objective:
Seeking the opportunity to join a large team of senior designers or art directors to contribute to the creation of exceptional works and further hone design skills.
"
151,"
 Graphic Designer with 7+ Years of Experience

Profile:
Seasoned graphic designer with over 7 years of experience, specializing in logo and branding design. Committed to delivering high-quality designs and achieving client satisfaction, while adhering to project timelines.

Skills:
- Logo Design
- Corporate Identity
- Presentation Design
- Web and Mobile UI/UX Design
- Web Design
- Print Design
- Illustration and Digital Illustration

Software Proficiency:
- Adobe Illustrator
- Adobe Photoshop
- Figma
- Adobe XD
- Other Design Software

Professional Attributes:
- Dedicated to meeting project deadlines
- Provides regular updates to clients
- Available 7 days a week for projects

Portfolio:
For a comprehensive view of my work, please visit my portfolio.
"
152,"
 **[Your Name]**

[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile] (if applicable)  
[Portfolio Website] (if applicable)  

---

**Objective**  
Graphic and Web Designer eager to learn and grow in the field. Approaches work with responsibility and aesthetic sensibility, with a passion for self-improvement and development opportunities.

---

**Education**  
- Kharkiv State Academy of Design and Art, Speciality in Interior Design (2016-2018)  
- Lemon School, Completed course in Web Design  
- Completed course in Graphic Design  

---

**Skills**  

*Graphic Design*  
- Conceptualize visuals based on requirements  
- Create a wide range of graphics and layouts for corporate websites, landing pages, and social media  
- Ensure final graphics and layouts are visually appealing and on-brand  
- Create presentation decks  
- Proficient in Adobe Photoshop, Illustrator, InDesign, XD, and Microsoft PowerPoint  
- Keen eye for aesthetics and detail  

*WebUI Design*  
- UI/UX Design for web and mobile platforms  
- Apply ease of use principles in website design  
- Understand site functionality and purpose  
- Focus on typography, composition, and color theory  
- Proficient in prototyping and responsive design creation  
- Experience with iOS and Android UI design guidelines for mobile apps  
- Create icons, banners, illustrations, and print designs  
- Utilize modular grids and platforms like Behance  
- Skilled in freehand drawing and painting  

---

**Personal Qualities**  
- Developed aesthetic and artistic taste  
- Perfectionism in work  
- Perseverance and attention to detail  
- Creative approach to design  
- Analytical and logical thinking skills  

---
"
153,"
 [Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Accomplished design professional with over 12 years of experience and more than 2000 completed projects for prestigious clients including Unilever, Lipton, DHL, and Hyundai. Renowned for high performance, reliability, and strong creative abilities in the fields of UX/UI design, web design, illustration, and identity development.

**Key Skills**  
- UX/UI Design  
- Web Design  
- Illustration & Infographics  
- Printing & Packaging Design  
- Identity Design  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe InDesign  
- Hand Drawing & Artistic Abilities  

**Professional Experience**  

**Design Expert**  
- Spearheaded and delivered over 2000 successful projects, consistently exceeding clients' expectations.  
- Collaborated with major brands like Unilever, Lipton, DHL, and Hyundai, ensuring brand consistency and exceptional design quality.  
- Led large and intricate projects, emphasizing creativity and innovative problem-solving.  

**Technical Proficiency**  
- Expert in Adobe Photoshop, Illustrator, and InDesign, with proficiency in creating impactful visual content.  
- Skilled in developing unique designs that effectively communicate brand identity.  
- Strong ability in hand drawing, enhancing creativity and design versatility.  

**Education**  
[List your highest degree, major, institution, and graduation date]  

**Certifications**  
[List any relevant certifications]  

**Portfolio & References**  
Available upon request.  

[End of Resume]  
"
154,"
 Achievements

OVERDOSE
- Spearheaded the design and development of the community.overdose.digital website
- Conceptualized and executed the Overdose Tech Club Instagram design, boosting followers by over 30%
- Implemented a new design strategy for Overdose.UA Instagram, enhancing post and story views by 60% and increasing audience engagement by 25%

PROSVIRIN DESIGN
- Enhanced Instagram design, elevating post and story views by 50% and increasing unique visitors by 35%
- Designed a presentation for a commercial promotion, expanding potential customer reach from the USA, Germany, and Dubai by 40%
"
155,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile Link]  

---

**Objective**  
Dynamic and creative graphic designer with extensive experience in branding and social media content creation, seeking opportunities to further hone skills in UI/UX. Eager to engage in roles offering a balanced focus on both graphic design and UI/UX development.

---

**Skills**  
- Freehand Drawing: Over 15 years  
- Adobe Creative Suite: Photoshop, Illustrator, Corel Draw  
- UI/UX Design: Figma, InVision  
- Basic Skills: Zeplin, WordPress, Tilda, Adobe Premiere  

---

**Experience**  

**Freelance Graphic Designer**  
Upwork (09.2016 - Present)  
- Created corporate identities including logos, business cards, and banners  
- Delivered complex design solutions while effectively communicating with international clients  

**Engraving Designer**  
Planet of Gold (04.2019 - 01.2021)  
- Produced social media content, advertising materials, and prepress designs  
- Developed laser engraving layouts for jewelry and performed retouching tasks  

**Advertising Content Designer**  
CONCEPTA, Kyiv (Remote) (06.2021 - 03.2022)  
- Crafted engaging advertising creatives, content, and POS materials for e-commerce and cosmetics brands  
- Enhanced visual materials and performed photo retouching and motion graphics development  
- Managed design development for banners, websites, landing pages, and digital ads  

---

**Recommendations**  
Available upon request  

---

**Education**  
[Your Degree, if applicable]  
[Your Institution Name, if applicable]  
[Graduation Year, if applicable]  

---

[Optional: Professional Certifications or Courses]  
[Your Additional Credentials, if applicable]
"
156,"
 **[Name]**  
[Contact Information]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and detail-oriented Graphic and Brand Identity Designer with extensive experience in creating compelling marketing materials, logos, and brand assets for a global clientele. Adept at design projects for both digital and print media, ensuring alignment with corporate identities and brand strategies.

---

**Professional Experience**

**Graphic and Brand Identity Designer**  
Upwork  
June 2022 - Present  

- Designed marketing materials for YouTube, including banners, logos, and watermarks.
- Developed logos for clients across the USA.
- Created packaging designs for clients in the Netherlands and the USA.
- Developed label designs for Dutch craft beer.
- Oversaw projects on brand formation and development, producing marketing materials for web and print.

**Graphic Designer**  
Citrus, Odessa  
September 2021 - February 2022  

- Created promotional layouts for household and computer equipment on digital platforms and outdoor advertising.
- Designed printed materials supporting corporate identity.
- Adapted layouts from major brands including Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, and HUAWEI to fit Citrus's corporate style.
- Customized banners for social media, Google ads, and other media channels.
- Prepared printed materials using Corel Draw.

**Graphic Designer**  
Upwork  
February 2021 - September 2021  

- Collaborated with clients from the Netherlands and the USA.
- Designed labels for beer products.
- Created advertising banners for platforms like Instagram, Facebook, and Google.
- Prepared a brand book for a private clinic in Gayvoron, Ukraine; designed a logo for a music equipment supplier in Lozova, Ukraine; and developed beer product labels in Folsgare, Netherlands.
- Created and prepared Telegram stickers for printing using AI and Corel Draw.

---

**Skills**

- Graphic Design
- Brand Identity
- Logo Design
- Packaging Design
- Social Media Marketing Materials
- Print Design
- Corel Draw
- Adobe Illustrator
- Cross-Cultural Communication  

---

**Education**

[Your highest degree]  
[University/College Name]  
[Year of Graduation]  

---

**Languages**

[List any languages you speak]  

---

**Certifications**

[List any relevant certifications]  

---

**References**

Available upon request.  
"
157,"
 UI/UX Designer with 3 years of experience focusing on creating user-centric designs to elevate user engagement and satisfaction. Proficient in developing layouts, prototyping, testing, and ensuring seamless technical integration. Adept at analyzing user behavior and working collaboratively with teams to achieve project goals.

**Professional Experience**

**UI/UX Designer, Comportal**  
October 2022 - Present  
- Designed and implemented landing pages for small to medium-sized businesses.  
- Developed website layouts and prototypes to optimize user interaction.  
- Conducted comprehensive user experience evaluations and tests.  
- Collaborated effectively with development teams and project managers for seamless project integration.  

**Graphic Designer (Freelance), Resource Group**  
February 2021 - Present  
- Created visually appealing print layouts and banners for diverse marketing materials.  
- Designed targeted advertising banners to enhance brand promotion.  
- Coordinated with marketers and project managers to ensure timely project completion.  

**Graphic Designer, Liga.net**  
September 2021 - December 2021  
- Developed engaging print layouts and banners for varied marketing materials.  
- Created collages to enhance the presentation of website news.  
- Worked closely with marketers and journalists to meet project requirements.  

**Skills**  
- User Experience Design  
- Prototyping and Testing  
- Collaboration and Teamwork  
- User Behavior Analysis  
- Graphic Design for Marketing Materials
"
158,"
 **[Your Name]**

**[Your Address]**  
**[City, State, ZIP Code]**  
**[Your Phone Number]**  
**[Your Email Address]**  
**[LinkedIn Profile]**  

---

**Professional Summary**  
Dynamic and creative professional with a diverse background in Human Resources, photography, graphic design, and UX/UI design. Experienced in leading teams and fostering effective communication through a deep understanding of psychological principles. Known for reliability, responsibility, and a passion for collaborative idea-sharing.

---

**Experience**

**HR Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Managed HR functions for a team of 65 employees.
- Excelled in developing effective communication strategies and promoting a positive workplace environment.
- Implemented initiatives to improve team collaboration and productivity.

**Junior to Specialist Transition**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Progressed from Junior Specialist to Specialist in 8 months, demonstrating quick learning and adaptability.

**Photographer & Graphic Designer**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Collaborated with a creative team of approximately 600 members for 3 years.
- Produced high-quality visual content that enhanced company branding and marketing efforts.

---

**Education**

**Bachelor’s Degree in Computer Technology**  
[University Name], [Location]  
[Month, Year] – [Month, Year]

---

**Skills**

- UX/UI Design
- Photography
- Graphic Design
- Human Resources Management
- Team Leadership
- Communication & Interpersonal Skills
- Creativity & Innovation
- Psychology

---

**Certifications and Courses**

- Completed UX/UI Design Courses

---

**Personal Attributes**

- Reliable and responsible with a strong work ethic.
- Creative thinker with a passion for sharing and implementing ideas.
- Proficient in connecting with and understanding team dynamics through psychological insights.
"
159,"
 **[Your Name]**  
[Your Contact Information]  
[Your LinkedIn Profile]  

---

**Professional Summary**

Experienced UX/UI and Graphic Designer with a proven track record as a freelancer since June 2022. Adept at redesigning websites and designing app interfaces to enhance user experience, leading to significant improvements in user metrics. Skilled in graphic design software, prototyping tools, and user research methodologies. Committed to delivering high-quality design solutions tailored to client needs. 

---

**Professional Experience**

**Freelance UX/UI & Graphic Designer**  
June 2022 – Present

- **Azerinshaat Service LLC**: Redesigned the website, achieving a 40% decrease in bounce rate and a 50% improvement in mobile load speed.
- **Yarat Contemporary Art Space**: Designed app interface, including user flow, UI kit, and visual design prototypes.
- **City Net Internet Service Company**: Redesign led to a 34% increase in annual revenue and a 20% boost in user response through user research and data-driven design.
- **Poligal-Vostok & The Secret Garden Flower Shop**: Designed a high-impact landing page.
- **Buta Art & Sweets Online Cooking Course**: Created an engaging e-commerce website.
- **Social Entrepreneur**: Designed a portfolio website, doubling sales for the client.
- **Romashka Flower Shop**: Developed branding strategy and materials.
- **Literary Magazine**: Led branding initiative and designed accompanying app/website.

---

**Technical Skills**

- **Graphic Design Software**: Adobe Photoshop, Adobe Illustrator, Sketch
- **Prototyping & Design Systems**: Figma, InVision, Adobe XD
- **User Research**: Surveys, Interviews, Data Analytics

---

**Professional Development**

Ambitious about expanding my skills and knowledge in emerging technologies and tools. Dedicated to honing expertise in UX research and user data analytics. Motivated to undertake challenging projects and collaborate with diverse teams for continued professional growth.

---

**Education**

[Your Degree]  
[Your University]  
[Year of Graduation]

---

**Languages**

[Languages You Speak]  

---

**References**

Available upon request.
"
160,"
 Graphic & UX/UI Designer

**Experience**

- **Graphic Designer**: 2 years
- **UX/UI Designer**: Over 1 year

**Key Responsibilities**

- Conducted market research and user analysis to inform design decisions
- Developed brand identity materials such as moodboards, logos, and brand books
- Created diverse graphic content including infographics, banners, posters, presentations, and more
- Mentored and provided feedback to junior designers
- Collaborated with the Marketing department to achieve business and sales objectives
- Performed user and competitor research for UX/UI design projects
- Designed systems and UI kit creation
- Built informational architecture and user flow
- Developed wireframes and design prototypes
- Communicated with clients throughout project cycles

**Skills**

- Proficient in Adobe Illustrator, Photoshop, Figma, Procreate, Miro

Seeking a role in a company or project that fosters creativity, innovation, and collaboration. Excited to contribute to impactful products and explore new design approaches. Thrives in a professional and supportive team environment.
"
161,"
 Experienced Graphic, Web, and UI/UX Designer

Summary:
Dynamic and creative designer specializing in visually appealing websites, user-friendly interfaces, and captivating branding materials. Adept at crafting immersive digital experiences and effectively communicating brand identities.

Education & Experience:
- Completed comprehensive design courses.
- Nearly six months of freelance design experience.
- Developed a diverse portfolio, including:
  - Welcome brochures
  - Websites for various businesses
  - Dashboard for a local bank
  - Website for a solar panel company
  - Menu for a local restaurant
  - Cinema app

Professional Focus:
- Seeking new opportunities to enhance design skills.
- Interested in projects that align with personal values and create a positive impact on a wider audience.
- Not interested in projects involving adult websites or gambling game design.
"
162,"
 Product Designer with over 8 years of global experience across USA, Canada, Singapore, Israel, Indonesia, Thailand, Australia, UK, Belgium, Germany, Poland, Russia, Belarus, and Ukraine. Successfully completed 25+ web and 15+ complex product cases in diverse sectors such as marketing, logistics, field services, healthcare, project management, real estate, retail, manufacturing, start-ups, social activity, IT outsourcing, new media, blockchain and crypto, legal, sports, and personal branding/blogs. 

Expert in Design Systems and User Experience for Advanced SAAS Apps, encompassing design management, discovery phases, interaction, prototyping, and implementation maintenance. Demonstrates strong skills in collaborating with diverse teams on a range of project sizes, from agile startup applications to comprehensive enterprise solutions. Employs a Human-centric approach and Lean UX methods to deliver cross-platform products effectively.

Adept in remote work settings, with a strong emphasis on fostering company design culture, partnering with ambitious leaders, and negotiating competitive financial packages.
"
163,"
 **[Your Full Name]**  
[Your Address]  
[City, State, Zip]  
[Email Address]  
[Phone Number]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Seasoned design professional with over 15 years of experience in product design and management. Proven track record in designing over 40 successful digital products and leading design teams globally. Expert in setting up product design teams and processes, with a deep understanding of UX design, prototyping, and user testing. Adept in creating and managing brands with a focus on UX architecture, product identity design, and emerging technologies like AR/VR.

---

**Professional Experience**

**Design Lead & Product Specialist**  
- Led global design teams and projects, achieving successful product launches and brand creation.
- Managed over 30 brands and trademarks, driving market positioning and recognition.
- Mentored junior designers, conducted professional lectures, and facilitated design workshops.

**Product Manager & Startup Consultant**  
- Experienced in comprehensive product management from analysis to implementation.
- Successfully launched and managed startups, leveraging user and marketing research insights.
- Collaborated effectively with cross-disciplinary teams to meet company business needs.

**UX/UI Design & Strategy Expert**  
- Possesses a respected UX certification with a strong foundation in UX architecture and design.
- Proficient in prototyping, usability evaluation, and user testing to enhance user experience.
- Skilled in HTML/CSS principles and experienced with iOS, Android platforms, and AR/VR.

**Awards & Accolades**  
- Recipient of multiple international design awards.
- Served as a jury member in prestigious design competitions.

---

**Skills**  
- Product Design and Management  
- Team Leadership and Mentorship  
- UX Design and Prototyping  
- Brand Creation and Management  
- HTML/CSS Expertise  
- AR/VR Technology Integration  
- Strong Communication and Presentation Skills  
- Flexible, Open to Changes, Adaptable

---

**Education & Certifications**  
- [Your degree, major, and institution]  
- Respected UX Certification  

---

**Consultancy & Availability**  
- Available for part-time design consultancy services.  
- Seeking roles in product companies to influence direction and product vision.  
- Open to remote or relocation opportunities in the USA, UK, and Europe.  
- No interest in outsourced projects or operational work.

---

**Interests**  
- Participation in AR/VR projects, except for game development.
"
164,"
 Design Department Leader

Summary:
Accomplished professional in establishing and leading a design department, driving strategic projects and client acquisition to enhance profitability. Proven expertise in product design from concept to launch, implementing strategic initiatives that have repeatedly bolstered business success.

Experience:
- Over 10 years of experience in UI/UX Design, with more than 5 years in Design Team Management, successfully leading a team of 20 members.
- Proficient in resource management, hiring, coaching, and performance evaluation.
- Strong expertise in design strategy, project allocation, and cultivating team development from entry-level to leadership positions.

Skills:
- Skilled in budgeting, project estimation, and contract management across diverse industries such as Fintech, Healthcare, Telecommunications, Gaming, E-commerce, and Banking.
- Excellent self-management and analytical skills with a strong passion for problem-solving and collaboration.
- Proficient in comprehensive design processes including research, prototyping, testing, and interface development to create innovative solutions.
"
165,"
 **[Your Name]**

**[Your Contact Information]**

---

**Professional Summary**

Innovative and results-driven design professional with extensive experience in creating cutting-edge Fintech products for both mobile and web platforms. Proven track record in establishing and leading design departments for international consulting firms, and in launching and managing diverse business ventures. Adept at business presentation training and brand design, with expertise in compliance-driven banking application design for B2B and B2C markets.

---

**Professional Experience**

**Design Lead**
- Successfully designed and launched innovative Fintech solutions for mobile and web platforms.
- Established and developed design departments within international consulting firms, fostering cohesive and creative environments.
- Demonstrated proficiency in designing compliant payment card solutions for banking institutions.

**Business Presentation Trainer**
- Conducted training sessions in Kyiv and Berlin, enhancing clients' presentation skills and effectiveness.

**Entrepreneurship & Business Management**
- Founded and operated multiple successful ventures, including a photostudio, rental company, and production services.
- Led multiple startup initiatives from conceptualization to execution, including design department projects.

**Brand & Graphic Design**
- Specialized in corporate graphic design and developed comprehensive brand strategies for various sectors.

**Team Leadership**
- Proven track record in leading and managing design teams to achieve high-impact results.

**Graphics Coordinator**
- 12 years of experience coordinating graphic design efforts in a consulting company, ensuring cohesive and quality outcomes.

---

**Skills**

- Expertise in educational material creation for presentation design.
- Proficient photographer and retoucher with a keen eye for detail.
- Experienced in utilizing design and analytics tools, including Figma, Adobe Creative Suite (Photoshop, XD, Illustrator, Premiere Pro, Lightroom, InDesign, Acrobat), Capture One, Jira, Slack, PowerPoint, Microsoft Office, WordPress, Google Analytics, and Adwords.
- Advanced knowledge of Google Ads and Google Analytics for strategic marketing and performance optimization.

---

**Education**

- [Your educational qualifications, if applicable]

---

**Certifications**

- [Relevant certifications, if applicable]

---

**Languages**

- [Languages spoken, if applicable]

---

**Portfolio**

- [Link to your online portfolio, if applicable]
"
166,"
 **[Your Name]**

**Contact Information:**
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective:**  
Aspiring UX/UI Designer seeking a role to leverage skills in web design and contribute to a professional team.

---

**Education:**  
**WayUp School**  
- Courses Completed: ""Web Designer: Explosive Start"" and ""My New Online Profession - Design and Layout""  
- Achievements: Certificates Earned  

**SkillUP School**  
- Completed courses in UX/UI Design  

---

**Skills:**  
- **Design & Development:** UX/UI design, composition theory, color, typography, user research frameworks  
- **Tools & Technologies:** Figma, Adobe Creative Suite, HTML5, CSS3, JavaScript, jQuery, Tilda, zero block  
- **Design Guidelines:** Material Design Guidelines, iOS Human Interface Guidelines  
- **Web Competencies:** Website creation for scientific medical conferences, adaptive design for web/tablet/mobile screens, bilingual website development  
- **Additional Skills:** Custom animation, SEO, SMM, advanced code integration  
- **General Skills:** Strong presentation, organizational, and communication abilities  

---

**Experience:**  
- Developed bilingual websites on Tilda for international scientific medical conference events  

---

**Certifications:**  
- Web Design Certifications from WayUp School  

---

**References:**  
Available upon request.
"
167,"
 Anhelina

**Professional Experience**

**Medical Insurance Biller**  
2022-2023  
- Managed multitasking duties involving documentation, new programs, and client/partner correspondence.  
- Practiced English with native speakers.  
- Collaborated effectively as part of a team.

**English Tutor**  
2016-Present  
- Created and delivered lesson plans, enhancing communication and explanation skills.  
- Developed innovative teaching methods, fostering creativity in lessons.

**Freelance Artist**  
2007-2009  
- Sold artwork to family and friends, honing creativity and customer service skills.

**Education**

**Design Student**  
Present  
- Expanding design skills through self-study and coursework.  
- Building a portfolio to establish a career in design.

**Summary**  
Highly motivated individual seeking opportunities to further develop skills and contribute to a dynamic team environment.
"
168,"
 Experience in designing websites and mobile applications using Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW. Collaborated with design teams to ensure timely project completion and user satisfaction. Continuously updated on the latest web design trends and new tools to enhance web design and functionality.

Experience:
- GetPet Web Service for Finding Lost Animals: Conducted analytics, competitor assessment, persona creation, user journey mapping, and user flow design. Contributed to wireframes and interface design within a collaborative team environment.
- Poltava Music School Website Redesign: Modernized the interface to enhance user experience and make it more user-friendly.

Objective:
Seeking a remote position with a flexible schedule at a company that values knowledge-sharing among designers and emphasizes creating competitive, high-quality products.
"
169,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

**Objective**  
Motivated and enthusiastic designer seeking opportunities to further develop design skills and contribute to successful projects, enhancing user satisfaction through innovative and user-friendly designs.

**Experience**  

- **Website Redesign for Music School**  
  Redesigned music school's website to improve user experience and accessibility, ensuring seamless navigation and accessibility.

- **Affordable Search Service Development**  
  Collaborated in developing an affordable search service for travelers, emphasizing consumer analysis and safety.

- **Mobile Application for Healthy Food Ordering**  
  Contributed to the creation of a mobile application for healthy food ordering by conducting user interviews and competitor analysis.

**Skills**  

- Proficient in Figma, Photoshop, and Illustrator
- Strong focus on user experience and design innovation
- Ability to enhance project success through creative solutions

**Personal Attributes**

- Enthusiastic about creating user-friendly designs
- Committed to contributing to successful project outcomes

**Contact Information and Portfolio Available Upon Request**
"
170,"
 **[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile] (if applicable)  

---

**Professional Summary**

Creative and detail-oriented designer with extensive experience in transforming client visions into engaging digital experiences. Adept at managing social media aesthetics, web and mobile app design, and competitor analysis. Committed to continuous learning in the field of animation and eager to contribute to a dynamic design team.

---

**Professional Experience**

**Social Media Design and Strategy**  
- Revamped client's Instagram pages by innovating styles and crafting layouts for stories and main feeds.  
- Delivered metaphorical maps to enhance landing page designs.

**Freelance Designer**  
- Designed compelling websites and mobile apps tailored to client needs.  
- Developed enhanced mobile application designs, focusing on architecture and navigation.  
- Established cohesive design systems to ensure consistency and branding alignment.  
- Conducted thorough competitor analysis and assessed client preferences for optimized design solutions.  
- Created detailed user personas and usage scenarios to inform intuitive design decisions.  
- Generated creative concepts and references, and produced impactful client presentations and prototypes.  
- Designed simple yet effective animations using tools like Principle and After Effects.  
- Facilitated the redesign of existing website elements to improve user experience and aesthetics.

---

**Education**  
- Ongoing professional development in animation to continually enhance design abilities.

---

**Objective**

Seeking a collaborative position within a design team to further develop design expertise, gain constructive feedback, and contribute to innovative projects.  

---
"
171,"
 UI/UX Designer

**Education**  
- Completed online course ""Web Design Junior"" at Projector

**Design Process Includes:**  
- Outlining scope  
- Creating sitemap and informational architecture  
- Prototyping  
- User interface design and animated prototypes  

**Tools:**  
- Figma  
- Adobe XD  
- Illustrator  
- Photoshop  
- After Effects  

**Projects:**  

1. **B2B Website for Fruit & Vegetable Delivery**  
   - Created sitemap and prototype based on client needs  
   - Emphasized reliability of company and convenience of services  

2. **E-commerce Website for Plant Shop**  
   - Designed simple, clean website for easy plant purchasing  
   - Provided information on plant care to enhance user experience  

**Objective**  
Passionate about creating modern, minimalist, user-friendly websites for excellent user experience. Seeking opportunities to collaborate on exciting projects with a dynamic team.
"
172,"
 [Your Name]  
[Your Address]  
[City, State, Zip Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Motivated and solution-oriented professional with expertise in UI/UX design, project management, and molecular biology. Seeking opportunities to collaborate with organized teams in educational, medical, biotech, or bioinformatics product development to solve user and business problems.  

---

**Education**  
- UI/UX Design Courses, California Institute of the Arts  
- UI/UX Design Courses, Georgia Institute of Technology  

---

**Professional Experience**  

**Project Manager, Commercial R&D Lab**  
- Led projects in the development of nutritional supplements in collaboration with marketing, business development, copywriting, and design teams.  
- Emphasized solution-driven design thinking and lean management principles.  
- Cultivated a collaborative work environment through effective communication and teamwork.  

**Research Biologist**  
- Accomplished in molecular biology, biochemistry, and microbiology.  
- Conducted extensive wet-lab research utilizing techniques such as fermentation, microscopy, spectrophotometry, and high-performance liquid chromatography.  
- Leveraged analytical skills to drive innovation in experimental approaches.  

---

**Technical Skills**  
- Research and communication expertise.  
- Proficient in solution-driven design thinking and analytical skills.  
- Experienced in lean-UX design and usability testing principles.  
- Skilled in creating sitemaps, workflows, and wireframes (Figma, Sketch, Adobe XD).  
- Proficient in Figma and Adobe Illustrator.  
- Familiar with Apple's Human Interface Guidelines.  

---

**Additional Skills**  
- Strong team player and quick learner.  
- Effective collaboration with cross-functional teams including marketers, business developers, scientists, copywriters, and designers.  

---

**Interests**  
- Passionate about contributing to educational, medical, biotech, or bioinformatics product development.  

**Note:** Against gambling or related areas.  

---
"
173,"
 Experience:
- Managed and designed over 5 Instagram accounts monthly, with a focus on content creation and social media marketing
- Developed a personal website
- Over 2 years of freelance experience in Social Media Marketing (SMM)
- Proficient in mobile photo processing
- Completed a 3-month Web Designer internship at Infopulse
- Completed 7-month UX/UI courses at Dan.IT
- Gained practical experience in 4 real projects during studies, including a landing page for tourism, CRM for a company, mobile app development, and the personal website Events.in.ua
- Proficient in Photoshop, Illustrator, and Adobe XD for project development
- Created presentations for bloggers, media, and large companies for personal projects
- Successfully managed over 15 Instagram projects and created more than 40 banners

Skills:
- Strong passion for creating software that adds value to businesses and enhances users' lives
- Committed to continuous professional development
- Team player who values collaboration and feedback
- Versatile and adaptable, with experience in diverse work types and real projects
"
174,"
 • UI/UX Designer with a focus on self-directed learning, completed the Google UX Design course on Coursera, and actively engaged with online tutorials and daily design challenges
• Master's Degree in Photo and Video Design, offering expertise in Adobe Photoshop and Adobe After Effects, and enabling a seamless transition to Figma for UI/UX design
• Delivered a comprehensive design project for a healthy food delivery app, encompassing user research, wireframing, Figma design, and prototype development
• Created a design system prioritizing component cohesion and accessibility standards
• Open to requests for case study presentations or detailed app design work demonstrations
"
