,Modified_gpt-4o-2024-08-06_of_modified_Modelgpt-4o-2024-08-06
152,"
 Successfully completed the ""Web Design"" course at Lemon School and deepened my knowledge with the ""Graphic Design"" course. Started a career in the graphic design field.

**Education:**  
Kharkiv State Academy of Design and Art  
Specialty: Interior Design  
2016-2018

**Skills:**  
*Graphic Design:*  
- Conceptualize visuals based on client requirements  
- Design diverse graphics and layouts for websites, landing pages, and social media platforms  
- Maintain visual appeal and adherence to brand guidelines for final graphics and layouts  
- Craft presentation decks  
- Proficient in Adobe Photoshop, Illustrator, InDesign, XD, and Microsoft PowerPoint  
- Strong attention to aesthetics and detail

*Web UI Design:*  
- Expertise in UI/UX design for web and mobile platforms  
- Implement ease of use principles in website design  
- Understand the purpose and functionality of websites  
- Apply design accents and hierarchy effectively  
- Knowledgeable in typography, composition, and color theory  
- Skilled in working with modular grids  
- Proficient at prototyping  
- Design icons, banners, and illustrations  
- Create responsive designs  
- Capable of print design  
- Apply iOS and Android UI design guidelines for mobile app interfaces  
- Showcase work on Behance  
- Experienced in freehand drawing and painting

**Qualities:**  
- Developed aesthetic and artistic taste  
- Perfectionist  
- Perseverant  
- Detail-oriented  
- Creative  
- Analytical and logical thinker  

**About Myself:**  
I am a Graphic and Web Designer with a strong readiness to learn and grow professionally. I approach work with responsibility and an aesthetic perspective, possessing a solid understanding of web design and visual trends. A quick learner, I am deeply committed to self-development and am passionate about the design field.
"
153,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and results-driven professional with over 12 years of comprehensive experience in design, successfully managing more than 2000 projects across various scales. Esteemed by clients, including renowned companies such as Unilever, Lipton, DHL, Hyundai, and McDonald's, known for consistently delivering high-quality work. Committed to continuous learning and achieving excellence in performance.

**Experience**  

**Freelance Designer**  
[Your City]  
[Year] - Present  
- Managed and executed over 2000 diverse design projects, catering to small and large-scale initiatives.  
- Collaborated with high-profile clients including Unilever, DHL, and Sanofi Aventis to deliver customized design solutions.  
- Developed comprehensive design materials, encompassing UX/UI, web design, illustrations, infographics, and print.  
- Created branding materials, packaging designs, and identity elements tailored to client objectives and audience.

**Skills**  
- Proficient in Adobe Photoshop, Illustrator, and InDesign.  
- Exceptional hand-drawing skills with a high artistic level.  
- Strong ability to conceptualize, brainstorm, and develop creative solutions for complex projects.  
- Excellent communication and collaboration skills, enhancing productive relationships with clients and team members.  

**Select Clients**  
Unilever, Lipton, DHL, Hyundai, Genesis, KNORR, McDonald's, SKYTOLL, KUKA, METRO C&C, Luxury Lifestyle, Sanofi Aventis, Coldwell Banker, TABASCO, RosAtom, GLONASS, DodoPizza, Sodexo, Faberlic, Rostelecom, HELLMANN'S, YUKO, Urenholt, Calve, Dove, SELGROSS, Baltimor, Zott, Hyson, TruckMotors, McCain, CARTE D'OR, among others.

**Education**  
[Your Degree]  
[Your University]  
[Year]  

**Certifications**  
[List any relevant certifications if applicable] 

**References**  
Available upon request.
"
154,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Creative and innovative designer with over 3 years of experience in graphic design and more than 2 years in UI/UX design. Adept at developing engaging designs and visual solutions for communication challenges. Committed to contributing to a collaborative team to build corporate identity and strengthen graphic communication with clients.

---

**PROFESSIONAL EXPERIENCE**  

**OVERDOSE**  
*Designer*  
- Designed the community.overdose.digital website.  
- Developed the Overdose Tech Club Instagram design concept, achieving a 30% increase in new followers.  
- Implemented a new design strategy for Overdose.UA Instagram, resulting in a 60% increase in post and story views and boosting audience engagement by 25%.  

**PROSVIRIN DESIGN**  
*Designer*  
- Enhanced Instagram design, improving post and story views by 50% and increasing unique visitors by 35%.  
- Created presentation designs for new commercial promotions, increasing potential audience reach from the USA, Germany, and Dubai by 40%.  

---

**SKILLS**  
- Graphic Design  
- UI/UX Design  
- Social Media Strategy  
- Visual Communication  
- Presentation Design  
- Audience Engagement Strategies  

---  

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**REFERENCES**  
Available upon request.  
"
155,"
 **Resume**

**Professional Skills:**
- UI/UX design development
- Freehand drawing with over 15 years of experience
- Adobe Photoshop
- Adobe Illustrator
- Corel Draw
- UI/UX tools: Figma, InVision
- Basic skills in Zeplin, WordPress, Tilda, Adobe Premiere

**Key Competencies:**
- Produced over 5000 creatives
- Team player
- Eager to acquire new experiences and skills
- Knowledge of composition and color theory
- Ability to work with and interpret briefs
- Quick information processing
- Attention to detail and requirements
- Strong sense of taste and style

**Experience:**

**Designer-Freelancer**  
*09/2016 – Present | Upwork*  
- Developed graphic design for corporate identity, including logos, business cards, and banners
- Tackled complex design tasks while effectively communicating with clients in a foreign language

**Designer-Engraver**  
*04/2019 - 01/2021 | Planet of Gold*  
- Managed social media content and advertising
- Created prepress materials and mockups for laser engraving
- Engraved designs on jewelry and carried out retouching tasks

**Advertising Content Designer**  
*06/2021 - 03/2022 | CONCEPTA (Kyiv, Remote)*  
- Collaborated with e-commerce natural cosmetics brands on Facebook, Instagram, Amazon, and Google
- Created advertising creatives, content, and POS materials for various company brands
- Enhanced existing visual materials, performed photo retouching, designed motion graphics, and developed banners and landing pages

**Recommendations:**
- A letter of recommendation is available upon request.

**Objective:**
- Seeking a position as a graphic designer focused on branding or social media content while continuing to develop in UI/UX. Open to a balanced role of 50/50 in both areas.
"
156,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Link]  

---

**PROFESSIONAL EXPERIENCE**  

**Upwork**  
*Graphic and Brand Identity Designer*  
June 2022 - Present  
- Designed a range of marketing materials for YouTube, including banners, logos, and watermarks.  
- Created distinctive logos for clients based in the USA.  
- Executed packaging designs for clients in the Netherlands and USA.  
- Produced labels for Dutch craft beer.  
- Spearheaded projects on brand formation, development, and marketing materials for web and print media.

**Citrus - Odessa**  
*Graphic Designer*  
September 2021 - February 2022  
- Developed promotional layouts for household and computer equipment, targeting both website and outdoor advertising.  
- Produced print products to strengthen corporate branding initiatives.  
- Adapted brand layouts, including those for Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, and HUAWEI, to align with Citrus corporate identity.  
- Modified banners for diverse social media platforms, Google ads, and traditional mass media.  
- Prepared printed materials efficiently using Corel Draw.

**Upwork**  
*Graphic Designer*  
February 2021 - September 2021  
- Partnered with clients from the Netherlands and the USA to deliver strategic design projects.  
- Developed labels for beer products.  
- Designed targeted advertising banners for Instagram, Facebook, and Google.  
- Compiled a comprehensive brand book for a private clinic located in Gayvoron, Ukraine.  
- Crafted a logo for a music equipment supplier based in Lozova, Ukraine.  
- Created beer labels for businesses in Folsgare, Netherlands.  
- Designed and prepared Telegram stickers for printing using AI and Corel Draw.

---

**SKILLS**  
- Graphic design  
- Brand identity development  
- Adobe Illustrator  
- Corel Draw  
- Marketing materials creation  
- Packaging design  
- Layout creation for print and digital media  
- Social media advertising design  
"
157,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**UI/UX Designer**  
Enthusiastic designer with 3 years of experience in creating user-centered designs that enhance interaction and user satisfaction. Expertise includes developing layouts, prototyping, testing interfaces, analyzing user behavior, and ensuring seamless technical integration. Dedicated to crafting high-fidelity interfaces and developing intuitive, impactful products.

---

**Professional Experience**  

**UI/UX Designer**  
Comportal | October 2022 - Present  
- Crafted landing pages tailored for small to medium-sized businesses.  
- Developed effective layouts and prototypes for web projects.  
- Conducted user experience evaluations to maintain optimal functionality.  
- Partnered with development teams and project managers to ensure fluid design integration across projects.  

**Graphic Designer (Freelance)**  
Resource Group | February 2021 - Present  
- Created marketing materials that increased audience engagement and loyalty.  
- Designed compelling layouts for print collateral.  
- Developed visually appealing banners for targeted campaigns.  
- Produced banners for digital news sections.  
- Worked closely with marketing teams and project managers to guarantee timely project delivery.  

**Graphic Designer**  
Liga.net | September 2021 – December 2021  
- Developed marketing campaigns to boost audience engagement and trust.  
- Created print publication layouts.  
- Designed banners for specific advertising endeavors.  
- Produced dynamic collages for online news sections.  
- Collaborated effectively with marketers and journalists to meet deadlines and ensure high-quality outputs.  

---

**Skills**  
- UI/UX Design  
- Prototyping  
- User Interface Development  
- User Experience Analysis  
- Graphic Design  
- Print Design  
- Team Collaboration  
- Technical Integration  

--- 

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

--- 

**References**  
Available upon request.  
"
158,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Motivated and creative professional with robust experience in HR management complemented by a strong foundation in photography and graphic design. Actively pursuing UX/UI courses with a passion for understanding user needs and delivering innovative solutions. Known for reliability, responsibility, and teamwork abilities across diverse settings.

**Experience**  

**HR Manager**  
[Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Steered HR functions for a team of 65, enhancing team cohesion and performance.  
- Cultivated skills in HR management and team dynamics within a professional environment.  

**Photographer and Graphic Designer**  
[Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Engaged within a large team of approximately 600 to produce compelling visual content for a YouTube channel.  
- Expanded creative skills through comprehensive hands-on experience in photography and graphic design.  

**Education**  

**Bachelor's Degree in Computer Technology**  
[University Name] - [Location]  
[Month, Year of Graduation]  

**Skills**  
- Proficient in UX/UI design principles  
- Effective team collaboration  
- Creative problem-solving  
- Insight into user psychology  

**Additional Information**  
- Experienced traveler with visits to over 15 countries and a year-long residency in Thailand.  
- Certified diver, having successfully tackled a personal fear of water.  
- Dedicated to lifelong learning and personal development.  
"
159,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

**Professional Summary**  
Creative and detail-oriented UX/UI & Graphic Designer focused on enhancing user experiences and driving measurable design results. Proven success in website and app redesigns, improving user engagement and satisfaction.

**Experience**  

**Freelance UX/UI & Graphic Designer**  
June 2022 – Present  

- Redesigned the website for Azerinshaat Service LLC, achieving a 40% reduction in bounce rate and a 50% increase in load speed on mobile devices.
- Developed the app interface for Yarat Contemporary Art Space, including user flow, UI kit, and visual design prototypes.
- Revamped the website for City Net Internet Service Company, boosting annual revenue by 34% and enhancing user response by 20% through user research methodologies and data-driven design.
- Created a landing page for Poligal-Vostok, The Secret Garden Flower Shop.
- Designed the e-commerce website for Buta Art & Sweets Online Cooking Course and Social Entrepreneur, doubling sales for a client.
- Developed branding for Romashka Flower Shop.
- Executed literary magazine branding, including app and website design.

**Skills**  
- Design Software: Adobe Photoshop, Adobe Illustrator, Sketch  
- Prototyping Tools: Figma, InVision, Adobe XD  
- User Research: Surveys, Interviews, Data Analytics  
- Communication and client interaction skills  

**Future Development**  
Aiming to broaden skills by learning new technologies and tools, deepening expertise in UX research, and exploring user data analytics. Seeking more challenging projects and collaboration opportunities for professional growth.
"
160,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and detail-oriented Graphic & UX/UI Designer with over 3 years of experience. Adept in collaborating with diverse teams to enhance design quality and drive impactful user experiences. Strong abilities in market research and visual content creation.

---

**Experience**  

**Graphic & UX/UI Designer**  
[Current Employer Name] | [City, State] | [Month, Year] - Present  
- Develop tailored graphic solutions supporting client growth objectives through strategic design tools and techniques.
- Conduct market research, including user and competitor analysis, to guide design decisions and brand development.
- Design and produce graphic materials including infographics, banners, posters, and presentations.
- Offer mentorship and feedback to junior designers, cultivating a collaborative and high-standard design environment.
- Work alongside the Marketing department to ensure design strategies align with business and sales targets.

**Graphic Designer**  
[Previous Employer Name] | [City, State] | [Month, Year] - [Month, Year]  
- Crafted brand identities via mood boards, logotypes, and brand books grounded in thorough research.
- Created visually engaging content to increase brand interaction and achieve business goals.
- Collaborated effectively with team members to meet design project objectives.

---

**UX/UI Design Experience**  
- Perform user and competitor research to develop user personas and journey maps.
- Design and manage design systems and UI kits to unify visual language across platforms.
- Construct information architecture and user flows for intuitive user experiences.
- Create wireframes and prototypes for testing and user feedback.
- Maintain continuous dialogue with clients to ensure project alignment and satisfaction.

---

**Technical Skills**  
- Adobe Creative Suite (Illustrator, Photoshop)  
- Figma  
- Procreate  
- Miro  

---

**Professional Goals**  
Eager to join a dynamic team that fosters skill development and innovation in design. Aspiring to contribute to product development processes and explore new design methodologies.
"
161,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Experienced graphic, web, and UI/UX designer with a proven ability to create visually engaging websites with seamless navigation and user-centric interfaces. Skilled in developing immersive digital experiences, leveraging meticulous attention to detail and in-depth knowledge of user experience principles. Adept at crafting captivating graphics, logos, and branding materials that effectively convey brand identities.

**Experience**  

**Freelance Designer**  
[Your Freelance Start Date] – Present  
- Designed attractive welcome brochures tailored to a specific country.  
- Created aesthetically pleasing websites for a variety of businesses, including perfume stores, photographers, start-ups, and a hotel.  
- Developed a user-friendly dashboard for a local bank to enhance interface efficiency.  
- Enhanced the online presence of a solar panel company through strategic website design.  
- Designed a functional and visually appealing menu for a local restaurant.  
- Contributed to the design and functionality of a cinema app, exploring novel design elements.  

**Education**  
Comprehensive Design Courses  
[Institution Name] – [Completion Date]  
- Completed a rigorous 9-month design program, refining expertise in graphic, web, and UI/UX design.

**Skills**  
- Graphic Design  
- Web Design  
- UI/UX Design  
- Branding Strategy  
- Attention to Detail  
- User Experience Principles  
- Freelance Project Management  

**Interests**  
Engaged in design projects that align with personal values and positively impact the community, consciously avoiding projects involving adult websites or gambling game design. 

**References**  
Available upon request.
"
162,"
 Product Designer with over 8 years of international experience across the USA, Canada, Singapore, Israel, Indonesia, Thailand, Australia, UK, Belgium, Germany, Poland, Russia, Belarus, and Ukraine. Specializing in Design Systems and User Experience for Advanced SAAS Applications, and skilled in design management, discovery phases, interaction, prototyping, and implementation maintenance.

Professional Experience:
- Completed over 25 web and 15 complex product cases in diverse domains.
- Extensive collaboration with global teams on projects ranging from startups to enterprise-level solutions.
- Focused on creating cross-platform products using a human-centric approach and Lean UX methods.

Industry Domains:
- Marketing, logistics, field services, healthcare, project management software, real estate, retail, manufacturing, start-ups, social activity, IT outsourcing, new media, blockchain and crypto, legal, sports, and personal branding/blogs.

Career Objective:
Seeking opportunities that foster a strong design culture, offer ambitious team leadership roles, competitive financial packages, and support remote work arrangements.
"
163,"
 Designed over 40 successful digital products and led global design teams, managing design projects with a focus on innovation and excellence. Experienced in product management and launching startups, with a strong track record of mentoring junior designers and conducting lectures and workshops.

Created and successfully operated more than 30 brands and trademarks, leveraging expertise in UX and visual design to achieve impactful market presence. Holds a respected UX certification and has received international design awards. Contributed as a jury member at international design competitions, showcasing a deep commitment to design excellence.

As a T-shaped design generalist with over 15 years of experience, I have a strong focus on product thinking and a proven ability to set up product design teams and processes. My expertise extends to managing UI/UX design teams, encompassing the complete design process from business analysis and research to visual design and implementation.

My skill set includes proficiency in UX architecture and design, data-driven design, user testing, usability evaluation, visual and UI design, logo and product identity design, prototyping, and development for iOS and Android. I am well-versed in HTML/CSS, AR/VR technologies, and possess strong business and requirement analysis skills, along with user and marketing research abilities. My professional experience also includes photography, direction, management, and tutoring.

I am professionally experienced in company management, with clear insights into business needs and goals. I am particularly seeking opportunities within product companies where I can influence the direction and product vision. I am available to provide part-time design consultancy services in processes or products and am open to remote work or relocation, particularly in the USA, UK, or Europe. While not interested in project or operational work at outsourcing companies, I am flexible, open to change, and interested in cross-disciplinary design projects. Additionally, I am enthusiastic about AR/VR projects, excluding game development.
"
164,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Accomplished design leader with over a decade of experience in UI/UX design and leadership in managing design teams for more than 5 years. Demonstrates a proven ability to establish and lead design departments, guide product design from concept to launch, and enhance business success through effective design strategies.

---

**Experience**  

**Design Department Head**  
[Company Name], [Location]  
[Month, Year] – Present  

- Formed a design department to attract projects and boost profitability.
- Spearheaded the design of products from initial concept to successful market launch.
- Executed over 50 projects across sectors such as Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain, Crypto, Legal, and Sports.
- Elevated existing product lines to sustain growth and market relevance.
- Led a team of 20 design professionals, managing resources, project allocations, and performance assessments.
- Conducted hiring processes including interviewing, onboarding, feedback, and coaching.
- Cultivated team members from interns and junior roles to senior and leadership positions.

---

**Key Responsibilities**  

- Oversaw design department budgeting and engaged in pre-sales, project estimation, and specifications.
- Managed payment processes and deliveries with clients, including contract documentation reviews.
- Collaborated cross-departmentally to ensure successful design deliverables.

---

**Skills**  

- Strong in self-management and possess an analytical mindset.
- Excellent in collaboration with an appreciation for diverse viewpoints.
- Passionate problem solver, adept at working under pressure.
- Expertise in the full design process: research, prototyping, usability testing, interviews, usability audits, and development of design systems.
- Innovative in creating solutions and interface concepts.

---

**Professional Aspirations**  
Intent on continuing product development work, involving comprehensive design processes to improve product quality and profitability. Dedicated to utilizing extensive experience to create market-ready concepts.
"
165,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Dynamic, results-oriented professional with over 12 years of experience in design and business creation within the fintech sector. Expert in leading design projects, devising branding strategies, and crafting successful products across mobile and web platforms.

**Experience**  

**Lead Designer**  
[Company Name], [Location]  
[Month, Year] – Present  
- Spearheaded the design of successful fintech products for mobile and web platforms.  
- Initiated and established design departments for international consulting firms.  
- Oversaw comprehensive business creation processes, including photo studio, rental company, and production services.  
- Delivered professional business presentation training sessions in Kyiv and Berlin.  

**Graphics Coordinator**  
[Consulting Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Managed graphic design projects to enhance client visual communication.  
- Authored educational materials focused on design principles for presentations.  

**Brand Designer**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Crafted payment card designs for banks, ensuring adherence to Mastercard standards.  
- Developed corporate graphic designs to bolster brand identity.  

**Entrepreneur**  
[Startup Names], [Location]  
[Month, Year] – [Month, Year]  
- Initiated and scaled multiple startups, including a photo studio, design department, and rental service.  
- Built and led teams dedicated to achieving business goals and delivering quality design outcomes.  

**Photographer & Retoucher**  
[Freelance/Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Delivered professional photography and retouching services to enhance visual quality.  

**Skills**  
- Design & Development: Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Adobe InDesign, Adobe Lightroom, Adobe Premiere Pro  
- Project Management: Experienced in Jira, Slack  
- Marketing & Analytics: Skilled in Google Ads, Google Analytics  
- Office Productivity: Competent in Microsoft Office, PowerPoint, WordPress  

**Education**  
[Your Degree]  
[Your University], [Location]  
[Year of Graduation]  

**Certifications**  
[Relevant Certifications]  

**Languages**  
[Languages Spoken]  

References available upon request.
"
166,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Dedicated web designer with a solid foundation in UX/UI design, aiming to contribute to a professional team while enhancing skills in the field.

**Education**  
- SkillUP School: UX/UI Design Courses  
- WayUp School: Web Designer: Explosive Start (Certificate)  
- WayUp School: My New Online Profession – Design and Layout (Certificate)

**Experience**  
**MedEuroindex Company**  
- Developed websites for scientific medical conferences, including a bilingual site for the Maxillofacial Surgery International Conference ""Joint-Together.""  
- Designed pages using the Tilda constructor with advanced functionality based on Zero blocks.  
- Implemented UX/UI design and integrated free JS scripts for special button effects and data capture forms.  
- Integrated the ticketsforevent service into websites.  
- Created animations and infographics using Zero block on Tilda.

**Skills**  
- Strong understanding of composition theory, color, and typography.  
- Experienced in user research frameworks and principles.  
- Proficient in Figma for design and prototyping, including grids, styles, and components.  
- Knowledgeable about usability and UX principles, wireframes, UI kits, and user flows.  
- Expertise in adaptive UI/UX design for web and mobile platforms.  
- Basic skills in Adobe Photoshop, Adobe Illustrator, Adobe Audition, Adobe Premiere, Sony Vegas PRO, and Adobe After Effects.  
- Familiar with Material Design Guidelines, iOS Human Interface Guidelines, and W3C standards.  
- Understanding of A/B and hypothesis testing.  
- Proficient in HTML5 and CSS3.  
- Basic knowledge of JavaScript, jQuery, and experience with Sublime and IDE VSCode.  
- Fundamental understanding of SEO and SMM.  
- Extensive knowledge of Tilda, including zero block, adaptive design, custom animation, and advanced functionality.

**Personal Attributes**  
Organized, self-motivated, punctual, responsible, positive, flexible, sociable, friendly, communicative, and a team player. Strong presentation and organizational skills, with attention to detail and a commitment to meeting deadlines.

**Professional Development**  
Eager to join a UI/UX design team and committed to learning and skill development in this area. Prepared to work diligently to enhance UX/UI design capabilities.
"
167,"
 Anhelina

---

**Professional Summary**  
Motivated and creative individual transitioning into a design career, with strong experience in communication, creativity, and teamwork.

---

**Work Experience**

**Medical Insurance Biller**  
2022-2023  
- Managed multiple tasks such as documentation, software utilization, and client and partner communication.  
- Improved English communication skills and fostered a collaborative team environment through interactions with native speakers.

**English Tutor**  
2016-Present  
- Developed and delivered lesson plans to teach English, facilitating student learning and progress tracking.  
- Strengthened communication, explanation, and creativity skills through personalized tutoring sessions.

**Freelance Photographer**  
2007-2009  
- Created and marketed original photography to clients, developing artistic skills and business insight.  

---

**Education**  
- Actively completing a design course and working on a design portfolio.

---

**Objective**  
To join a collaborative team in a company where I can apply and expand my skills in design.
"
168,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Innovative and results-oriented web and mobile application designer with a strong track record of leading design projects from concept to completion. Skilled in a range of graphic editing tools and dedicated to keeping abreast of industry trends and technologies.

**Skills**  
- Website and mobile application design  
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW  
- Team collaboration and project management  
- User experience design  
- Competitor analysis and persona creation  

**Professional Experience**  

**Web Service for Finding Lost Animals - GetPet**  
- Conducted in-depth analytics, including competitor assessment, persona creation, user mapping, and user flow design.  
- Engaged in interface design and collaborated effectively with team members to ensure timely project delivery and compliance with quality standards.  

**Redesign of the Website for Poltava Music School**  
- Led the complete redesign of the website interface, improving usability and updating the overall aesthetic to better meet user needs.  

**Career Objective**  
Desiring a remote position with a flexible schedule in a forward-thinking company that prioritizes collaboration among designers and is committed to delivering competitive, high-quality products.
"
169,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile URL]  

---

**Objective**  
Dynamic and detail-oriented designer with expertise in user interface design and team collaboration, aiming to contribute to impactful projects that enhance user experiences and support business objectives.

---

**Experience**  

**Designer**  
[Music School Name] | [City, State] | [Month, Year] - [Month, Year]  
- Spearheaded the redesign of the music school's website, creating an appealing interface to improve user navigation and information accessibility.

**Designer**  
[Travel Service Name] | [City, State] | [Month, Year] - [Month, Year]  
- Partnered in a two-member team to develop a budget-friendly search service for travel enthusiasts, conducting consumer analysis and service prototyping.  
- Designed an intuitive user interface and ensured secure, convenient communications with property owners.

**Designer**  
[Healthy Food App Name] | [City, State] | [Month, Year] - [Month, Year]  
- Contributed to the development of a mobile app for healthy food ordering by conducting user interviews and competitor analysis.  
- Enhanced the user journey for a seamless and engaging experience, based on in-depth data analysis.

---

**Skills**  
- Proficient in Figma, Photoshop, and Illustrator.  
- Strong collaborator with a focus on improving design quality through teamwork.  
- Creative problem-solving abilities and resourcefulness in design processes.  
- Excellent communication and interpersonal skills.

---

**Personal Attributes**  
- Creative, active, cooperative, reliable, cheerful, diligent, and resourceful.  
- Committed to thoughtful design and user-centric projects that promote engagement and satisfaction.

---

**Goals**  
- Aim to contribute to innovative projects that deliver user and client value, while fostering a positive and collaborative work environment.
"
170,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
Aspiring designer seeking to leverage existing knowledge and gain practical experience in a collaborative team environment.

---

**Experience**  

**Freelance Designer**  
[Dates]  
- Designed websites and mobile applications, ensuring functionality and aesthetic appeal.  
- Developed the architecture and intuitive navigation for a mobile application.  
- Created consistent design systems across projects.  
- Conducted competitor research and analyzed client requirements to inform designs.  
- Developed user personas and usage scenarios to enhance user experience.  
- Aligned design concepts with client vision through thorough research and references.  
- Communicated design proposals through client presentations.  
- Visualized design concepts through prototypes.  
- Created animations using Principle and After Effects.  
- Improved usability and design by redesigning elements on websites.

---

**Education**  
[Your Degree]  
[Your Institution]  
[Graduation Date]

---

**Skills**  
- Website and mobile app design  
- Design system creation  
- User experience research  
- Prototyping  
- Animation in Principle and After Effects  
- Visual communication  
- Competitor analysis  
- Presentation skills  

---

**Additional Information**  
- Engaged in professional development to enhance animation quality.  
- Experienced in social media design for Instagram, including story and post layouts.  
- Created metaphorical map illustrations for landing page designs used by clients.  
"
171,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]

---

**Professional Summary**  
Results-driven UI/UX Designer with expertise in web design principles, committed to crafting modern and intuitive websites. Successfully completed “Web Design Junior” at Projector, honing essential design skills.

---

**Design Process**  
- Outlining project scope  
- Developing sitemap and information architecture  
- Prototyping user interfaces  
- Designing adaptive versions and animated prototypes

---

**Tools**  
- Figma  
- Adobe XD  
- Adobe Illustrator  
- Adobe Photoshop  
- After Effects

---

**Project Experience**

**B2B Website for Fruit & Vegetable Delivery**  
- Analyzed client requirements post-briefing  
- Created a comprehensive sitemap and prototype  
- Designed a final product enhancing company reliability and delivery service promotion

**E-commerce Website for Plant Shop**  
- Developed a user-friendly website to simplify plant purchasing  
- Designed a site offering detailed plant care information  
- Emphasized content-driven design to boost sales

---

**Objective**  
Dedicated to designing clean, modern, and user-friendly websites that offer exceptional user experiences. Eager to join an innovative team and contribute to dynamic projects.
"
172,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**Professional Summary**  
Creative UI/UX designer with a solid background in research and expertise in molecular biology, biochemistry, and microbiology. Dedicated to delivering innovative user-centered design solutions, enhancing user experiences, and collaborating with diverse teams to achieve project objectives.

**Education**  
- UI/UX Design Courses  
  California Institute of the Arts  
  Georgia Institute of Technology  

**Experience**  

**Project Manager / Research Biologist**  
[Company Name] | [Location] | [Dates]  
- Developed nutritional supplements, working with marketing experts, business developers, scientists, copywriters, and designers.
- Conducted wet-lab molecular biology research using fermentation, microscopy, spectrophotometry, and high-performance liquid chromatography.

**UI/UX Designer**  
[Company Name] | [Location] | [Dates]  
- Conducted user research and developed polls for target audiences to define user needs.  
- Designed sitemaps, user stories, wireframes, and prototypes to enhance product functionality understanding.  
- Implemented lean UX design processes focused on solutions and outcomes.

**Skills**  
- Research and analytical skills  
- Solution-driven design thinking  
- Human Interface Guidelines by Apple  
- Team collaboration and quick learning  
- Lean management and Lean UX design  
- Proficient in Figma, Adobe Illustrator, and familiar with Sketch and Adobe Experience Design  
- Understanding of usability testing principles  

**Interests**  
Passionate about professional development within teams focused on solving user and business problems. Interested in creating educational, medical, biotech, or bioinformatics products.  

**Additional Information**  
Opposed to gambling and related industries.
"
