,Cleaned Twice GPT-4o Conversation-Improved CV
244,"       |  |   --- Objective Creative and empathetic designer seeking a UI/UX designer role. Passionate about addressing user needs and business goals through innovative design. Eager to contribute to a friendly and creative environment. Skills - Interface Design for Web and Mobile Applications- User Journey Mapping- Competitor Analysis- Persona and Empathy Map Creation- Graphic Design for Digital and Print Media- Data Collection and Report Preparation- Content Creation and Management- Product Photography and Retouching Professional ExperienceGraphic Designer  Electro House Company  2021-2023  - Developed designs for website and mobile applications.- Maintained primary website and online store content.- Created commercial offers, presentations, and email mailings.- Designed packaging, stickers, decals, and instruction manuals.- Produced print materials like catalogs, booklets, and business cards.- Managed social media graphic content.- Developed banners for multiple websites and drew icons.- Conducted product photography and retouching.Graphic Designer  ""Fact"" Publishing House  2020-2022  - Designed book cover layouts for fiction, children’s, and non-fiction books.- Created designs for souvenir products.- Developed layouts for various printed materials.Marketer, Designer  Regional Medical Center  2020-2021  - Designed materials for outdoor advertising, banners, posters, and signs.- Created and prepared CorelDRAW layouts for printing.- Developed internal printed materials including gift certificates, fire evacuation plans, presentations, and commercial proposals.  Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky  2016-2022  - Collected data and prepared monthly, quarterly, and annual reports.- Planned and analyzed work processes and conducted methodical meetings.- Managed advertising activities including social media content, event posters, invitations, and a monthly newspaper layout. Education- Completed UI/UX Design Courses  - Developed skills in designing interfaces for web and mobile applications.  - Learned to think through user journey maps and analyze competitors.  - Created personas and empathy maps.---   |  | "
245,"Contact Information- Email: - Phone: - LinkedIn: - Portfolio: ---SummaryDedicated and passionate UI/UX Designer with four months of immersive study and practical experience. Proficient in user interface design, with strong organizational ethics and discipline. Enthusiastic about learning and tackling projects that drive creativity and innovation.---Skills- UX/UI Design- Figma- Adobe Photoshop- Adobe Illustrator- Color Schemes- Typography- UI Kit- Grid Systems- Website Design Prototyping- Mobile App Development- Core Technical Skills- Organizational Ethics- Discipline---ExperienceUI/UX DesignerFreelance Projects -  – Present1. Landing Page:   - Conducted competitor research.   - Created mood boards.   - Focused on user-friendly UX/UI designs.  2. India Cafe Website Redesign:   - Performed website analysis.   - Enhanced color schemes, responsiveness, and typography.   - Developed prototypes and a UI kit.   - Prepared the project for Behance showcase.  3. Pet Finder Web Service:   - Analyzed competitor services and created user personas.   - Defined user flow and developed design systems.   - Incorporated features like pop-ups and a donation function.---EducationGOIT—UI/UX Design Courses -  – Present- Developed skills in mobile and desktop application design.- Collaborated on various projects.- Focused on professional development and continuous growth.---Portfolio-  - -  - -  - ---Professional Development- Actively learning and adapting to new challenges.- Dedicated to expanding knowledge and skills in UX/UI design.- Engaged in educational and mentorship opportunities."
246,"          ---Professional Summary  Dedicated and detail-oriented professional with experience in project management, web and app development, user experience design, and competitive analysis. Adept at leveraging technology to create user-friendly and visually appealing digital solutions. Seeking to contribute to a dynamic team focused on excellence and innovation.---ProjectsPet Search Project- Collaborated on a pet search web service, leveraging geolocation and detailed filters to reunite lost animals with their owners.- Conducted competitor analysis, defined JTBD (Jobs to Be Done), and created a dog walker persona.- Led the design of ad creation and services sections to enhance user engagement and usability.- Utilized calm tones and accent colors for an improved user experience.AI-Based Dating App- Developed an AI-driven dating app to connect users with compatible partners.- Used machine learning algorithms to analyze user behavior and habits.- Integrated behavioral analysis to recommend pairings based on shared interests and lifestyles.Citroen C4 Landing Page- Designed a landing page for Citroen C4, highlighting the vehicle's features and benefits.- Applied brand-specific color schemes and detailed model information to enhance user exploration.CrossFit CENTRAL Website Redesign- Redesigned the CrossFit CENTRAL website with a focus on visual appeal and user experience.- Selected colors aligning with the brand's direction, improving overall aesthetic and usability.- Implemented UX solutions to enhance site navigation and user engagement.---Skills- Project Management- Competitive Analysis- User Experience (UX) Design- Web Development- Mobile App Development- Adobe Creative Suite- Machine Learning Algorithms- Team Collaboration---Core Values- Results-driven focus on high-quality design- Collaborative team player fostering a respectful and friendly atmosphere- Commitment to continuous learning and professional development- Growth-oriented with an emphasis on career advancement---Additional Information- Availability for partially remote work- Engaged in corporate training and development- Proven track record of career growth and professional development within a team environment"
247,"         --- ObjectiveAspiring UX Designer currently enrolled in a Google UX Design course, seeking an internship to apply my education and gain professional experience in UX design.--- Education - ,   Relevant Coursework: Database Development, Programming in C, UX Design.--- ExperienceHackathon Participant    - Engaged in sessions on gender inequality, the underrepresentation of women in engineering, and breaking societal stereotypes.- Worked collaboratively to generate ideas for motivating girls to consider engineering careers.- Created and initiated the development of a chat-bot to assist prospective students interested in engineering and biological fields.- Achieved recognition for the project, advancing it to the development stage.- Coordinated with a prophorientologist to design impactful and informative questions for the chat-bot.Course Project - Database Developer    - Designed and implemented databases for the automated workstation of a hospital employee.- Employed SQL Management Studio and Visual Studio, utilizing C for development.--- Skills- UX Design- Database Development- SQL Management Studio- Visual Studio- C Programming- Team Collaboration- Project Management--- Currently EnrolledGoogle UX Design Course  - Engaged in learning UX design principles.- Developing a professional portfolio.--- Portfolio--- ReferencesAvailable upon request."
248,"Dedicated and conscientious professional with robust social skills and proven team collaboration abilities. Open to constructive criticism and committed to continuous improvement and success. Education & Skills- Web Design Foundation: Expert in creating moodboards, grids, and typography. Proficient in developing UI-kits and adaptive design.- Web Development: Designed a fully functional website for selling apartments. Experienced in team-based web service projects.- UI/UX Design: Specialist in UI/UX for both web and mobile applications, handling the full design cycle from task analysis to visual style creation and implementation.- Principles Mastered: Proficient in person principles, user-flow, and smart-animate techniques. Key Achievements- Successfully created a website for apartment sales as part of academic projects.- Collaborated with students on web service development, mastering essential web design principles.- Developed a mobile application during academic projects, showcasing comprehensive UI/UX design skills. Professional Goals & Values- Result-Oriented: Focused on achieving impactful and effective design solutions.- Team Collaboration: Excels in team environments with mutual respect and a friendly atmosphere.- Flexibility: Open to partially remote work arrangements.- Continuous Learning: Dedicated to corporate training and professional development.- Career Advancement: Ambitious about career growth opportunities. ContactLet’s create something great together that generates profit and truly works."
249," --- SummaryCreative and detail-oriented UI/UX Designer with extensive experience in designing intuitive and aesthetic interfaces for websites and mobile applications. Proven ability to conduct user research and competitive analysis to deliver user-friendly interfaces. Passionate about developing innovative solutions that enhance user experience and meet project objectives.--- Education- UI/UX Design Courses  - Completed comprehensive training focused on designing applications for websites and mobile interfaces.  - Successfully executed five diverse projects: landing pages, a website, a web service, a website, and a mobile app.--- ProjectsFlower Lover:- Developed a visually appealing and informative landing page for a flower delivery service.- Effectively attracted users' attention and increased platform engagement for ordering flowers.- Provided users with clear options to explore flowers, place orders, and access delivery information.House Hopper:- Created a comprehensive web service designed to simplify finding and booking accommodations worldwide.- Designed specialized functionalities to cater to both property owners and guests.- Implemented features for property search, reservation, owner communication, and travel information access.--- Pet ProjectCourse Registration Landing Page:- Designed an intuitive landing page dedicated to registering for educational courses.- Focused on creating a seamless user experience grounded in user research and competitor analysis.--- Career GoalsExciting Projects:- Eager to join a team dedicated to transformative projects that improve users' lives.- Ready to contribute innovative and high-quality UX/UI solutions.Skill Development:- Seeking opportunities for continuous learning and growth in UX/UI design.- Interested in collaborating with experienced professionals for ongoing professional enhancement.Teamwork:- Value being part of a collaborative team where ideas and experiences are shared.- Aim to communicate effectively and share knowledge with colleagues."
250,"Professional SummaryInnovative UI/UX Designer with extensive experience in managing design projects, leading teams, and crafting user-centric designs. Demonstrated expertise in creating intuitive user interfaces and experiences, prototyping, and utilizing top-tier design tools. Aspiring to join a forward-thinking company where I can apply my expertise and passion for design.Professional ExperienceTeam Lead UI/UX Designer, ""Techgen IT"" Project- Directed a team of designers, overseeing work organization and task distribution.- Fostered communication and collaboration with development teams.- Articulated design solutions and showcased design animations.Freelance ExperienceTeam Lead UI/UX Designer, Multi-page Website- Led a team of designers to develop the UI for an IT Community platform.- Strategically planned and managed the project, ensuring quality standards and timely delivery.UI/UX Designer, Landing Page- Crafted a user interface for a company offering house design services.- Designed a business card landing page highlighting completed projects and service offerings.UI/UX Designer, Mobile Application- Developed a mobile application interface for searching and purchasing air tickets.- Prioritized user experience to create a seamless and user-friendly interface.Key Accomplishments- Expertise in UI and UX design.- Proficient in prototyping and conducting user research for optimal usability.- Mastery of design tools including Figma, Adobe Photoshop, and Adobe Illustrator.EducationAdditional Projects- Created various pet projects during professional courses, utilizing Figma, Adobe Photoshop, and Adobe Illustrator.Personal Attributes- Responsible and proactive.- Open to constructive feedback.- Dedicated to achieving results.ObjectiveEager to join a company where I can utilize my skills and experience to lead successful design projects and contribute to team achievements."
251,"              --- SummaryExperienced and creative team leader with a robust background in web and mobile app design. Skilled in leading projects from initial analysis to final design, utilizing Figma for high-quality results. Proven ability to manage and collaborate on team projects, delivering effective and aesthetically pleasing digital solutions.--- Professional ExperienceTeam Leader - ""Neaty Kitty"" Web Service  - Conducted comprehensive analysis of similar services.- Contributed various ideas and defined target audiences using JTBD and personas.- Created Customer Journey Maps (CJM) and Userflows.- Designed a convenient and uncluttered website for cleaning services.- Implemented Bootstrap 5 design system.Team Leader - ""Tap the Table"" Mobile Application  - Conducted collaborative analysis and created Userflows and CJMs.- Designed and prototyped the mobile app, facilitating table bookings in restaurants.- Shared equal responsibilities with a team member throughout the project.--- Pet ProjectsRedesign of ""Yours Sports Bar"" Website  - Conducted detailed analysis of the existing website and competitors.- Identified key advantages and areas for improvement.- Developed wireframes and designs for multiple devices (laptop, tablet, mobile).Design of Tattoo Studio Landing Page  - Performed detailed reference analysis.- Created wireframes and completed final design from concept to completion.--- EducationGoIT  Completed coursework involving the creation of four major projects in Figma.--- Key Projects1. Tattoo Salon Landing Page     - Comprehensive self-directed project.   - Included reference analysis, wireframing, and final design.2. Redesign of ""Yours Sports Bar"" Website     - Self-initiated project.   - Conducted full analysis and redesign, including wireframing for multiple devices.3. ""Neaty Kitty"" Web Service     - Team-led project with extensive involvement in analysis and design.   - Focused on a streamlined, user-friendly design.4. ""Tap the Table"" Mobile App     - Jointly executed project from analysis to prototyping.   - Focused on table booking functionality.--- Technical Skills- Figma- Wireframing- Userflow creation- Customer Journey Mapping (CJM)- Prototyping- Utilization of design systems (Bootstrap 5) Portfolio- Available on Behance---  "
252,"Julia        |  | ---Summary  Passionate about beauty and creativity, I transitioned from photography to UX/UI design. After completing a course at GoIT, I have gained experience working with Figma both independently and as part of a team. I am responsible, attentive to detail, and eager to apply my skills to commercial projects. My goal is to continue learning and growing as a designer while contributing to meaningful and impactful projects.---Skills  - UX/UI Design- User Research- Wireframing & Prototyping- Figma- ProtoPie- Animation- Team Collaboration- Attention to Detail---Projects1. Buyland (Supermarket App) - Team Project  - Developed a mobile app to help shoppers avoid waiting in line by enabling them to scan and pay for purchases via the app.- Designed a clean and intuitive interface with carefully chosen colors and fonts using Figma.- Conducted competitor analysis, defined target audience personas, mapped user journeys, and developed wireframes and prototypes.2. Library App - Mini-Project  - Designed onboarding and main pages using Figma.- Added animations with ProtoPie to enhance the user experience.3. Flower App - Mini-Project  - Designed onboarding, registration, main page, and card using Figma.- Added animations with Figma to create a video presentation.4. Clean Up (Cleaning Service Web App) - Team Project  - Developed a user-friendly web service to help a cleaning company promote their business and facilitate booking services.- Designed a responsive website optimized for different devices with a simple and intuitive interface.- Conducted competitor analysis, defined target audience personas, mapped user journeys, and developed wireframes, prototypes, and website design.5. IT School Dashboard - Mini-Project  - Created a user-friendly and functional dashboard for an IT school.6. Mainsail Realty Company - Website Redesign  - Redesigned a real estate company website focusing on a middle-aged married couple audience interested in owning a home in Florida.- Developed a minimalistic, clear, and easy-to-navigate design that leverages digital marketing strategies for customer satisfaction.---Education  GoIT - UX/UI Design Course  ---Objective  I am seeking a role that challenges me and offers opportunities for personal and professional development. Growth potential is an important factor in my job search, and I am eager to contribute to and excel in a dynamic working environment."
253,"         --- Professional SummaryCreative and detail-oriented web and graphic designer with extensive experience in website and mobile application development. Proficient in advanced design tools and methodologies, with a strong focus on analytical and UX principles. Proven ability to work effectively both individually and collaboratively, offering a blend of creative and analytical thinking. --- Key Skills- Advanced proficiency in Figma, Photoshop, Illustrator, Corel Draw, and Canva- Deep understanding of usability and UX methodologies- Strong grasp of graphic design principles, typography, and color theory- Extensive experience in website and mobile application development- Expertise in creating responsive and adaptive designs- Effective in both individual and team settings- Strong analytical and creative thinking abilities--- Professional Experience Volunteer Website Development- Developed a website aimed at connecting volunteers with various social projects.--- Notable ProjectsReal Estate Website Redesign- Conducted comprehensive research to define the main goals and target audience.- Performed competitor analysis and market research.- Compiled personas and user flows to guide the design process.- Designed the website structure and content, selecting color schemes, fonts, and graphics for a cohesive visual experience.- Created wireframes using Figma and Adobe Photoshop.- Developed a user-friendly and aesthetically pleasing design, with responsiveness for different devices and screen resolutions.- Optimized images and other media elements for enhanced loading speed and user experience.Pet Search Web-Service- Defined main goals and target audience through research and planning.- Conducted competitor research and market analysis.- Compiled personas and user flows to inform site design.- Developed the site structure, selecting appropriate color schemes, fonts, and graphics.- Analyzed the composition and arrangement of elements to ensure usability.- Created wireframes and developed a compelling offer with clear calls-to-action.- Designed a visually appealing and easy-to-use interface, ensuring responsiveness across various devices.- Optimized visual and media elements for fast loading times and an improved user experience.--- Personal StatementI am passionate about leveraging my design skills to create visually compelling and user-friendly websites and mobile applications. My ability to think creatively and analytically allows me to solve complex design challenges effectively. I thrive in both independent and collaborative environments and am committed to continuing my professional growth in the dynamic field of web and graphic design."
254,"--- Hard Skills- Sitemap and User Flow Development- Competitor and CA Analysis- Typography and Color Theory- Mood Board Creation- UX/UI Principles- Lo-Fi and Hi-Fi Wireframes- Prototyping- User Testing- UI and UI Kit Design- Adaptive Design Soft Skills- Decision-Making Argumentation- Effective Communication- Project Requirement Adaptability- Team Collaboration- Detail Orientation- Self-Motivation- Workflow Organization- Project Management- Priority Determination- Creativity- Time Management ExperienceE-commerce ProjectProject Summary:Developed a comprehensive site for new manufacturers incorporating current trends, textiles, and materials. The main goal was to automate the ordering process and create a site that effectively showcases the brand to prospective customers.Project Stages:1. Project Research2. Competitor Analysis3. Client Briefing4. CA Determination5. Sitemap Development6. User Flow Design7. Lo-Fi and Hi-Fi Wireframes8. Nielsen Heuristics Analysis9. Mood Board Creation10. User Testing11. UI Kit and UI Design12. PrototypingAchievement:Successfully developed a user-friendly catalog with filtering, sorting, and comprehensive product cards. Designed a fully functional shopping cart allowing order edits and a smooth order placement process with multiple delivery and payment options. Prototype testing yielded top results in metrics including CSAT, Completion Rate, and Task Time.Landing ProjectProject Summary:Created a landing page aimed at raising awareness about animals in shelters and encouraging pet adoption. The objective was to design an appealing and stylish page that steers clear of a gloomy tone.Project Stages:1. Project Research2. Secondary Research3. Sketching4. Lo-Fi and Hi-Fi Wireframes5. Brainstorming6. Mood Board Creation7. UI Kit and UI Design8. PrototypingAchievement:Designed a visually appealing interface comprising 10 blocks to present project information and debunk myths about shelter animals. Integrated an interactive form for selecting pets.---An enthusiastic professional passionate about learning and developing in a collaborative environment by creating intuitive and attractive user interfaces. With extensive experience in web application development, adaptive design, and prototyping, I possess a solid understanding of UX/UI principles. Highly proficient in Figma, including features like auto layout, components, variants, and animation. I plan and structure projects on a large scale without overlooking details, create adaptable plans and tasks, and quickly immerse myself in the work process."
255,"NameContact Information:Phone:Email:LinkedIn:Portfolio:---Summary:Dedicated and self-motivated junior UX/UI designer passionate about creating intuitive and aesthetically appealing user interfaces. I bring valuable experience in furniture and interior design, alongside successful projects in landing page design, web services, and mobile applications. My understanding of user needs drives my eagerness to take on new challenges and grow within a creative professional team.---Experience:Junior UX/UI Designer- BusinessUp by Podvigina  - Efficiently designed the landing page for ""BusinessUp by Podvigina"" course, incorporating a UI kit and animation elements to meet tight deadlines.- FinEasy Web Service  - Designed FinEasy, a collaborative web service for accountants and entrepreneurs.  - Led UX research, created personas, developed user flows, and designed adaptive UI components with engaging animations.  - Enhanced user experience through seamless device adaptation.- Mexican Restaurant Website Redesign  - Conducted competitor analysis, created wireframes, and implemented UI design using Figma.  - Enhanced user experience by incorporating adaptive design and animations.- Urban Festival Landing Page Design  - Managed the complete design cycle for the Urban Festival landing page.  - Conducted competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices.---Personal Projects:- Developed and executed 2 independent pet projects, showcasing creativity and practical experience in UX/UI design.---Skills:- UX Research- Product Design- User Flow Development- Wireframing and Prototyping- Adaptive UI Components- Animation Integration- Figma- Collaboration and Teamwork---Strengths:- Detail-oriented- User-Centric Approach- Strong Communication Skills- Adaptability- Passion for Continuous Learning and Improvement---Preferences:- Focus on results and design- Open to teamwork and idea exchange- Possibility of partially remote work- Career growth opportunities within a dynamic and innovative team"
256,"ResumeEducation:- Basic UI/UX course, Hillel IT School- UI/UX webinar, GoIt SchoolExperience:Research Manager  Entertainment/Crypto Company | 1 year and 3 months  - Conducted research and analyzed target audience data, competitors, and law policies of target countries.- Collaborated part-time in the last month with the QA department on UI/UX and regression testing.Projects:Destin/Tattoo- Conducted competitor analysis and improved tattoo salon website with poor UX.- Performed user analysis and redesigned site with updated colors, typography, and user flow, enhancing usability.- Tools used: FigmaHelpPets- Collaborated with a small team on competitor analysis for a volunteer, charity, and pet search web service platform.- Suggested AI assistance feature for predicting pets' movements.- Designed user flow and UI for individuals searching for lost pets.- Tools used: Figma, Figma mock-ups, Adobe PhotoshopSkills:- Figma- Adobe Photoshop- Competitor Analysis- User Analysis- UI/UX Design- Typography- User Flow DesignInterests:- Animations, mock-ups, and 3D designPreferences:- Collaborative teamwork with multiple designers- Proficient with Figma and Adobe tools; open to using Miro and similar tools- Not interested in front-end implementation via JS or deployment tasks"
257,"           | --- Professional SummaryCreative and detail-oriented web designer with expertise in user-centric design and front-end development. Adept at balancing aesthetics and functionality to enhance everyday life and business operations. Seeking a full-time position to grow and learn within a collaborative and respectful team environment.--- Work Experience Web Service for Finding Lost Pets  Collaborative Project- Developed a platform for pet owners to report missing pets and mobilize public assistance.- Created user personas and defined Jobs-to-be-Done to guide design decisions.- Designed and developed sections for ""Lost"" and ""Found"" animals, ""My Ads,"" and forms for new listings.- Built intuitive drop-down lists and coordinated efforts to ensure project success. Indian Cuisine Cafe Website Redesign  Independent Project- Revamped a website with poor-quality images and missing essential customer information.- Developed a minimalist design prioritizing accessibility, structure, and visual clarity.- Delivered a modern, user-friendly website with an appealing and intuitive design. Flower Shop Landing Page  Independent Project- Created a one-page website for bouquet delivery services.- Focused on sleek and user-friendly design, enhanced by engaging floral photos and a distinctive color scheme.- Ensured visitors could easily browse flower arrangements and place delivery orders efficiently.--- Education    --- Skills- User Experience (UX) Design- User Interface (UI) Design- Front-End Development- Persona Creation- Jobs-to-be-Done Methodology- Visual Hierarchy- Website Redesign- Team Collaboration--- Career ObjectivesSeeking a full-time role in a company that enhances daily life and business operations, offers growth and learning opportunities, and fosters a respectful and friendly work environment."
258,"       |  |  |   ---PROFESSIONAL EXPERIENCEUI/UX Designer  2022 - Present  - Designed visually appealing and user-centric web pages, blog site designs, and blogs.- Created branded materials such as company logos, social media graphics, and illustrations.- Developed mobile and web application designs, particularly for Vinnitsa National Technical University (JetIQ).- Collaborated with clients and development teams to ensure project success.- Created corporate identities and illustrations using Figma, Illustrator, Photoshop, and Procreate.- Conceptualized and developed websites, transitioning from design ideas to building wireframes and crafting responsive HTML5/CSS3 pages (including SASS and SCSS), written in clear and understandable code.- Applied UI/UX principles and adhered to brand guidelines to create functional and aesthetically pleasing products.Commercial Experience:- JetIQ (2022-2023): Responsible for design creation, wireframe, component creation, and layout.---SKILLS- UI/UX Design (Figma)- Illustrations (Adobe Illustrator, Adobe Photoshop)- HTML, CSS (SASS, SCSS)---COURSES- Junior Front-end Developer - EPAM University- UI/UX Designer - Taras Shipka---PROJECTS- Anitime: Mobile application for watching anime- Innovexa: Landing page for a company providing data security services---"
259,"Resume---Flover Lover  Landing Page Designer  Email:   LinkedIn:   ---Professional ExperienceLanding Page Designer  Flover Lover  - Designed and developed a landing page for a bouquet delivery service.- Created a user-friendly, single-page site with a gentle color palette.- Conducted competitor analysis and developed a mood board for the user interface design.Website Redesign Specialist  Custom Concept Tattoo & Design  - Redesigned the website for a tattoo studio.- Transformed the outdated design into a modern, user-friendly interface.- Ensured the new design was fully adaptive and consistent across different media platforms to attract potential customers.Web Service Developer  VDOMA  - Developed an animal search web service for locating lost pets.- Conducted competitor and user persona analysis, prototyped, and designed the system.- Implemented user interface design and adaptation.---ObjectiveSeeking a full-time position in an innovative company focused on enhancing daily life and business productivity through user-friendly solutions. Highly motivated, responsible, and ready to take on challenging tasks. Fast learner with a keen eye for detail and design."
260,"        --- Professional ExperienceEntrepreneur, Sales of Medical Equipment and Related Medical Goods  ФОП Петрова С.С / МЕДТЕХНІКА  2013-2019  - Oversaw daily retail operations, ensuring smooth functionality.- Recruited, selected, and managed staff.- Negotiated and concluded contracts with suppliers to secure products.- Managed transport and logistics, including receipt, relocation, revaluation, and returns.- Handled accounting for payments with suppliers, contractors, buyers, and customers.Chief Operating Officer (COO), Artichoke Art & Fashion School  2019-2021  - Directed sales operations for short-term educational courses in art direction.- Hired, selected, and supervised employees.- Led a team of 6 people, organizing and coordinating their efforts.- Allocated tasks and set objectives for team members.- Developed and managed monthly work plans for various discipline areas.- Planned and executed marketing activities, monitoring course enrollment statistics.- Coordinated weekend events, including master classes and public talks.- Maintained and managed student records and databases. Summary of Achievements- Successfully planned, directed, and managed multiple projects concurrently.- Achieved objectives consistent with outlined priorities.- Delegated tasks effectively and designed time schedules.- Negotiated quality contracts beneficial to the organization."
261," |  |  | ---Professional SummaryDedicated and effective Team Leader with 8 months of progressive leadership experience. Expert in team organization and management, goal setting, and ensuring project success. Continuously enhancing skills through ongoing education in project management methodologies.---Professional ExperienceTeam Leader |  – Present- Fostered an inspiring team environment with open communication.- Established clear team goals and assigned tasks with deadlines.- Managed day-to-day operations in alignment with organizational objectives.- Monitored team performance and communicated progress to stakeholders.- Represented team requirements and managed project resources efficiently.- Motivated team through exemplary leadership and team-building activities.- Identified and pursued training opportunities to enhance team skills.- Responded to feedback and resolved team issues swiftly.- Recognized and rewarded team achievements to sustain motivation.Achievements:- Successfully advanced to Team Leader within three weeks.- Guided the team to achieve goals within the first month of leadership.---Skills- Languages: English (Advanced), Ukrainian (Native), Russian (Native)- Project Management: Waterfall, Agile, Scrum, Kanban, Lean, Six Sigma- Project Planning: SMART, OKRs, Cost-Benefit Analysis, RACI Chart, Triple Constraint- Tools & Techniques: Project charters, stakeholder evaluation, measurable goals and outcomes- Other Skills: Flexibility, time management, strategic planning, multitasking, task prioritization, quick learning, proactive approach, escalation management---EducationGoogle Project ManagementCoursera- Project Initiation: Starting a Successful Project    Nov, 2022 - Dec, 2022    Grade: 87.76%- Foundations of Project Management    Jun, 2022 - Nov, 2022    Grade: 89.03%Current Courses:- Project Planning: Putting It All Together    (In progress)---Professional Development- Developed key components of project documentation, including project charters.- Created measurable project goals and outcomes and defined project scope effectively.- Assessed a variety of project management tools to determine the best fit for specific projects.---Thank you for your consideration."
262,"Account ManagerProven Account Manager with over 15 years of comprehensive experience in orchestrating and overseeing creative, production, and digital marketing campaigns and projects. Known for a driven attitude and the capacity to create strong, effective working relationships with colleagues across the organization. Skilled in supervising operational workflows and coordinating multi-departmental projects, consistently leading teams to timely, successful outcomes.Experience:DAO PM - IAMPM LaboratorySpecialized in non-technical IT education, acquiring hands-on skills in:- Drafting and managing project documentation- Overseeing various types of contracts- Facilitating clear and consistent communication with customers and team members- Managing risks, resources, and project timelines- Conducting professional business correspondence- Setting and managing customer expectations- Developing Work Breakdown Structures (WBS) and delegating tasks efficiently- Prioritizing assignments and presenting solutions, demo versions, and prototypes to clientsSkills:- Project Documentation- Contract Management- Customer & Team Communication- Risk, Resource & Time Management- Business Correspondence- Customer Expectation Management- Work Breakdown Structures (WBS)- Task Prioritization- Solution & Prototype PresentationEducation:DAO PM - IAMPM Laboratory of Non-Technical IT Education"
263,"          ---Objective:  Dynamic Account/Sales/Project Manager with extensive experience in implementing operational assessments and conducting functional requirements analysis for diverse businesses. Proficient in commercial, production, sales, planning, and deployment within non-IT sectors, with a dedication to achieving company goals through effective project management and team coordination.Core Competencies:  - Project Management  - B2B Sales and Negotiations  - Account Management  - Operations Management and Accounting  - HR Management  - SWAP Analysis and Cost Reduction  - Compliance Monitoring  - MS Office & MS Project  - Jira  - Social Media Management (Google Adwords, Facebook Ads)  - Quick Learner and Communicative  Professional Experience:  Account/Sales/Project Manager  - Demonstrated expertise in B2B sales through preparation of commercial offers, negotiations, contract management, and billing.  - Proficient in HR functions including recruitment and employee integration.  - Maintained strong customer relationships to ensure high levels of satisfaction and customer retention.  - Performed operational management and accounting tasks, including SWAP analysis and cost reduction strategies, while monitoring compliance with profitability indicators.  - Led high-performance teams to achieve daily milestones and project goals.Implementation and Functional Requirements Analysis  - Conducted operational assessments and detailed functional requirements analysis for businesses of various sizes.  - Expert in planning and deploying strategies within commercial and production environments.Experience with Large International Product Companies  - Collaborated with globally recognized companies, including Rosneft Russia, Gazprom Russia, Arkema France, Huntsman Corporation USA, GSFC India, and Repsol Spain.Additional Qualifications:  - Advanced proficiency in English.  - Deep understanding of business processes, customer needs, and employee capabilities.  - Available online for clients 24/7, with flexible working hours in Eastern Standard Time and Ukrainian time.  - Experience in business development from start-up to fully independent operations.  - Actively enhancing skills in IT business processes through online Software Product Management courses at the University of Altera (Canada).Education:  - Master's Degree in Economics  - PhD coursework in Economics  - Bachelor's Degree in International Law  - Master's Degree coursework in International Law  ---  Date"
264,"           ---  Professional Summary:  Versatile Project Manager with a robust history of launching and managing successful projects across various industries including fashion, GameDev, IT, and production. Proven track record of driving project success through disciplined execution, innovative problem-solving, and strategic team leadership. Experienced with a wide range of project management methodologies and tools.Professional Experience:  Founder & Project Manager    2012 - Present- Established and managed a successful clothing brand from concept to execution, achieving an annual income of $25,000 within the first two years.- Led two highly successful Kickstarter campaigns, raising $124,000 in community funding in the first and $431,000 in the second.- Directed branding and art initiatives, ensuring cohesive visual identity and strong market presence.- Managed project scope and schedules using tools like Gantt charts, Asana, Trello, and Jira.- Implemented Scrum, Agile, KanBan, and Waterfall methodologies to optimize project workflows.Skills:  - Project Management: Scope, Scheduling, Agile, Scrum, KanBan, Waterfall  - Tools: Asana, Trello, Jira, Gantt Charts  - Art Direction, Brand Management  - Team Leadership, B2B/B2C Communication  - Problem-Solving  - Software: AI, AE, PS, 3D Coat, ZBrush, Ableton  Interests:  - Game Development  - Production  - IT  - Fashion  Objective:  Eager to join a dynamic team within a structured company or one in need of project management expertise. Passionate about creating, managing, and implementing projects to achieve outstanding results, while continuing to learn and grow in related fields. ---Dedicated to contributing to a team with clear zones of responsibility, and enthusiastic about assisting artists and designers with my background in these areas. Looking forward to enhancing my skills and knowledge through hands-on experience in a supportive environment."
