,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
66,"Я вмію помічати те, що інші не помічають

- Понад 6 місяців досвіду в тестуванні (програмне забезпечення, веб, мобільні додатки)
- Знання документації з ручного тестування (тест-план, тест-кейси, тестовий звіт, звіт про помилки, чек-лист)
- Розуміння методологій забезпечення якості, включаючи Agile
- Тестові активності: функціональне тестування, нефункціональне тестування, тестування змін
- Досвід роботи з системами відстеження помилок, такими як Atlassian Jira, Redmine, Mantis
- Досвід роботи з програмним забезпеченням для управління тест-кейсами, такими як Testrail, TestLink
- Досвід автоматизації тестування – Selenium
- Знання SQL
- Знання HTML, CSS

Я прагну примножити свій практичний досвід, навчатися та розвиватися у своїй новій діяльності."
67,"Ключові досягнення:
- Відкриття офісу компанії
- Створення дилерської мережі
- Набір персоналу та створення команди
- Впровадження waterfall методології у компанії

Досвід:
- 8 років досвіду ведення великих складних проектів у агросфері, що за структурою схожі на проекти в IT з точки зору менеджменту
- Досвід ведення проектів в IT: створення сайту представництва компанії, виступав як РМ зі сторони замовника
- Пет проект: створення мобільної аплікації на курсах з IT PM"
68,"Топ-менеджер з 9-річним досвідом у ресторанному бізнесі.

Досвід роботи з документацією: фінансове планування, проектне планування, матриця відповідальності, стратегія та управління ризиками, P&L, CRM-системи.

Знання технологій: CSS, SQL, HTML, HTTP. Методології: Scrum, Agile, Waterfall.

Досвід роботи з інструментами: Postman, Jira, JSON.

Досвід роботи з тестовою документацією: Test Plan, Test Case, Bug Report.

Мотивована до розвитку та прагну стати Senior Project Manager."
69,"Координатор відділу пошуку клієнтів  
- Комунікація із клієнтами  
- Контроль роботи відділу продажів  
- Аналітичні здібності  
- Командний гравець  
- Вміння планувати та керувати часом  

Освіта  
- Закінчила курс ""Основи проєктного менеджменту""  

Досвід роботи  

Account Manager  
Maxi Group Kyiv | Лютий 2019 - по теперішній час  
Київ | 2020-2024  
- Перевірка діалогів з клієнтами та їх анкет  
- Контроль якості ведення клієнтів відділами продажів  
- Передача уточнень та запитів між відділами пошуку клієнтів та відділами продажів  
- Робота з CRM системою  
- Складання звітів  

Account Manager  
Maxi Group Kyiv | Жовтень 2018 - Лютий 2019  
- Перевірка діалогів з клієнтами та їх анкет  
- Уточнення деталей співпраці у телефонному режимі  
- Допомога в розробці методологій для покращення проєкту  

Бажання  
- Не займатись продажами  
- Мінімальна кількість дзвінків та спілкування з клієнтами  "
70,"[Ваше ім'я]

[Контактна інформація]

**Освіта:**
- Програма Social Media Marketing, Digital Marketing Institute (Ірландія). Сертифікат Social Media Marketing

**Досвід роботи:**

**Campaign Manager Influencer Marketing**
Медіакомпанія ""Бурда-Україна"" (червень 2018 - теперішній час)

- Успішно реалізовано 22 проекти.
- Планування, контроль та координація запуску проектів на сайті.
- Комунікація з клієнтами та підтримка проекту протягом усього періоду (від 3 до 6 місяців).
- Контроль виконання KPI's.
- Управління пріоритетами в проекті, виявлення ризиків і управління ними на постійній основі.
- Забезпечення правильного розподілу ролей і обов'язків між членами команди проекту.
- Складання та забезпечення інформацією про хід виконання проекту його учасників.
- Проведення аналізу після проекту і витяг уроків після кожного проекту з метою подальшого застосування в нових проектах.
- Робота з дизайнерами, редакторами, креативщиками, логістичними кампаніями.
- Підготовка пропозицій та фінальних звітів по завершенню проектів для клієнтів.
- Участь в розробці пропозицій нових проектів.

**SMM:**
- Створення текстового та графічного контенту.
- Налаштування таргетингу.
- Контроль виконання KPI's."
71,"Допомогла компанії зібрати команду з нуля та налагодити процес роботи. Успішна локалізація глобальної бази інформації про товари.

Coordination and management of team work of the local translation unit: collection of the requirements, interaction with stakeholders, negotiation of deadlines, setting the workflow, tracking deadlines. Projects reporting, follow-up reports, analysis of achievements, preparation of localization calendar for translation unit of IKEA Retail Ukraine, managing the project budget. Involved in reviewing proposals and contracts with the external translation service providers (translation agency and externals). Participation in tender, preparation and analysis of tender requirements. Main country contact for matrix organizations (HQ) in Sweden for localization support. Participation in recruitment procedures of the external translators: formation and control of the requirements, participation in the interviews with the candidates.

Key achievements:
- Set-up and management of translation unit (team of 8 people) for Ukraine IKEA Store opening.
- Successful finalization of the global product information tool localization for Ukraine within the established challenging time limits.
- Introduction of agile practices and principles for translation unit.

Нові технології, навчання, можливості кар'єрного росту."
72,"Copywriter  
Фріланс | Грудень 2022 - дотепер  
- Написання текстів на ІТ тематику  
- Самостійне дослідження тем та технологій  
- Інтеграція ключових слів, SEO оптимізація  

Керуюча магазину прикрас  
Інстаграм | Листопад 2022 - дотепер  
- Планування та запуск проекту  
- Фінансова звітність  
- Ведення клієнтської бази  

Менеджер гуманітарного штабу  
Центр наук, Тернопіль | Березень - Листопад 2022  
- Ведення обліку, робота з документацією  
- Контроль за процесом видачі одягу та вжиття заходів щодо його вдосконалення  
- Підтримка внутрішньо переміщених осіб у вирішенні їхніх питань  
- Онбординг нових волонтерів та проведення інструктажу  

Волонтер приймальної комісії  
ХНУРЕ, Харків | Липень - Серпень 2021  
- Інформування про наявні спеціальності та умови вступу  
- Допомога з укладенням контракту та іншими організаційними питаннями  

Освіта та професійний розвиток  
- Закінчила курс із проджект-менеджменту  
- Ознайомлююсь з професійною літературою  

Навички  
- Відповідальність та швидке навчання  
- Мультизадачність та організація процесів  
- Робота в команді та ефективна комунікація  
- Відкритість до вивчення нового та знаходження ефективних рішень  

Додаткова інформація  
- Досвід роботи з людьми з різними бекграундами  
- Розуміння людської психології та мотивації  
- Здатність знаходити підхід до кожного  

Цілі  
- Застосувати знання на практиці в якості помічника/асистента  
- Працювати IT-копірайтером на фрілансі  "
73,"# Успішна підготовка та проведення у складі команди понад 15 виставкових заходів з масштабом 500+ компаній-учасників, 30 000+ професійних відвідувачів, 35 000+ кв.м. експозиції, 40+ іноземних делегацій.
# Співзасновник власного бізнесу: від реєстрації ТОВ та розробки бренду до виходу на ринок і формування лояльної аудиторії.
# Організація Національних павільйонів та колективних експозицій на міжнародних заходах.
# Успішне залучення топ-компаній як ключових партнерів заходів.

Світчер: понад 10 років досвіду в управлінні та координації проектами. Високий рівень організаторських здібностей, орієнтація на результат. Успішний досвід ведення кількох проектів одночасно. Продуктивна робота як в команді, так і самостійно, в офісі та віддалено. Керівництво командою до 5 осіб. Приділяю багато часу додатковій освіті, поглибленню знань у проектному менеджменті та розумінні SDLC. Постійний розвиток особистих гнучких та технічних навичок."
74,"Made two significant projects for cinema, focusing on dubbing films for Ukrainian audiences, which were showcased in national cinemas. These projects were completed both independently and collaboratively with my team.

In terms of marketing, I consider myself at a junior level but am committed to improving and expanding my expertise.

Soft Skills:
* Critical thinking
* High self-organization
* Communication skills
* Stress resistance
* Adaptability and flexibility
* Desire for new knowledge

EN:

I have dedicated most of my career to TV and film projects, gaining experience as a presenter, journalist, and three years as a director of dubbing for TV and film products. Since 2019, I have been actively working as a copywriter and rewriter for articles related to runners-athletes and have one year of experience as an SMM manager in the running community from Puma in Kyiv, Ukraine. In 2022, before the full-scale invasion, I started working as a marketing project manager at an advertising agency. My responsibilities included modifying advertising offerings, advising, and launching ads on our platform, as well as connecting brands with bloggers and influencers to increase customer engagement. I collaborated with well-known brands, banks, and manufacturers. Unfortunately, the project was halted due to Russian aggression.

UKR:

Більшу частину свого життя я працювала над теле- і кіно-проектами, маючи досвід роботи на телебаченні як ведуча, журналістка та трирічний досвід роботи режисером дубляжу теле- і кіно-продуктів. З 2019 року активно працювала копірайтером, рерайтером статей для бігунів-спортсменів і маю рік досвіду роботи SMM-менеджером у біговому ком'юніті від Puma в Києві, Україна. У 2022 році, до повномасштабного вторгнення, почала працювати проджект-менеджером з маркетингу в рекламному агентстві. Мої обов'язки включали зміну рекламних пропозицій, консультування та запуск реклами на нашій платформі, а також зв'язок брендів з блогерами та лідерами думок для збільшення залучення клієнтів. Працювала з відомими брендами, банками та виробниками. На жаль, через російську агресію проект було припинено."
75,"Fabiosa Media, Проєктний асистент  
1 рік 11 місяців  

Вела електронний документообіг та підтримувала робочі таблиці. Контролювала заповнення даних та коректну роботу формул. Була відповідальна за створення звітів за запитом та оформлення контенту для соціальних мереж.  

Досягнення: автоматизація робочих процесів, систематизація зберігання файлів, наведення порядку в робочих файлах та таблицях. Працювала ефективно та результативно для забезпечення максимальної продуктивності та досягнення цілей.  

СТК Авангард, Аналітик  
3 роки 4 місяці  

Маю навички створення звітів за запитом. Успішно вела комунікацію з торговими агентами, клієнтами та постачальниками, що забезпечувало ефективну співпрацю та досягнення бізнес-цілей. Відповідала за внутрішню документацію команди та замовлення канцелярських товарів для офісу.  

Досягнення: автоматизація процесів та звітів, що забезпечило швидку та точну обробку даних та знизило ризик помилок. Працювала уважно та детально для забезпечення якості та точності виконання завдань.  

Не розглядаю вакансії, пов'язані з продажами."
76,"For over 3 years of involvement in student organizations at the National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"":

- Organized and supported more than 20 student events, including «Intel-Техно Україна 2016-2017», «Intel-Техно Україна 2017-2018», «POLYTECO Україна 2018-2019», XVІ All-Ukrainian Student Physics Tournament, Student Olympiad in programming «KPI-OPEN 2018», and various entertainment events.
- Promoted events on social media platforms such as Telegram, Instagram, and Facebook.
- Volunteered as an Event Organizer Assistant at conferences, including:
  - OWASP Ukraine'18
  - Intel-Techno Ukraine (2016, 2017, 2018)
  - BSides Kyiv (2019)"
77,"I am an experienced manager with a mix of leadership, management skills, communication acumen, and entrepreneurial experience. I have successfully led my own projects and am currently open to new opportunities in the IT domain. I have managed teams of up to 9 people within a diverse set of industries: medical, entertainment, NGO, and retail. I am looking for interesting projects, a great team, and continuous skill development."
78,"Участь у проекті, де я відповідала за організацію та контроль діяльності команди, була одним із важливих моментів моєї кар'єри. Наша команда зростала, але не було чіткої системи організації та звітності. Завдяки ефективному спілкуванню, ми успішно впоралися з усіма завданнями та налагодили робочий процес, який задовольнив всіх членів команди. Також, я була частиною команди, яка впровадила нову систему управління завданнями. Ми визначили найкращі рішення та успішно впровадили систему, яка покращила ефективність нашої роботи та зменшила час на рутинні процеси.

IELTS експерт:
- Підготовка учнів до міжнародного іспиту з англійської мови
- Мотивування студентів
- Надання чітких інструкцій щодо тесту
- Робота через Zoom, Skype та інші канали зв'язку

ESL Teacher - вчитель англійської мови (дистанційно):
- Планування і проведення занять загальної та бізнес англійської
- Робота з дорослими студентами різних рівнів
- Перевірка домашніх завдань
- Регулярний контроль прогресу учнів
- Робота на інтерактивній платформі
- Проведено більше 5000 занять
- Робота в методичному відділі
- Перевірка нових викладачів
- Використання Slack для комунікації викладачів

Тім лід у сфері холодних продаж (американський ринок):
- Здійснення дзвінків в різноманітні американські компанії
- Організація роботи команди
- Онбординг нових працівників
- Створення і перевірка дотримання робочого плану
- Використання CRM систем Zoho, Salesforce

Моя роль на посаді офіс-менеджера:
- Підтримка функціонування офісу
- Консультування клієнтів
- Підписання контрактів
- Ведення звітності та документообігу
- Забезпечення роботи працівників
- Вирішення кризових ситуацій

Я бачу роботу Junior Project Manager як можливість працювати в команді та переймати досвід від досвідчених колег. Вірю, що взаємодія з досвідченими фахівцями допоможе мені зростати як професіоналу. Також, я очікую можливість працювати над різноманітними проектами, що дозволить мені розвивати свої навички. Я готова взяти на себе відповідальність за виконання завдань, дотримуючись встановлених термінів та досягати поставлених цілей. Загалом, я бачу позицію Junior Project Manager як можливість активно навчатися та внесення вагомого внеску в проекти компанії."
79,"Працівник року 2012 у ПАТ КБ Приватбанк  
Сертифікат про закінчення курсів ІТ Projector у 2023 р  
Англійська мова рівень B1  

**IT PROJECTOR ACADEMY, Project Management:**  
- Написання user stories  
- Створення Lean Canvas  
- Робота з ризиками та стейкхолдерами  
- Робота з реальним замовником по проекту, комунікація  

**ПАТ КБ Приватбанк:**  
- Обслуговування клієнтів  
- Залучення нових клієнтів  
- Робота з базами даних  "
80,"IT Юрист  
Квітень 2021 – Серпень 2021 (5 місяців)  
Юридична компанія «Віголекс»  
- Управління клієнтськими проєктами, комунікація з замовниками з різних країн світу  
- Управління молодшим персоналом під час виконання завдань, контроль, постановка задач  
- Ведення електронного документообігу на підприємстві  

Юрист, Заступник керівника  
Червень 2019 – Квітень 2021 (1 рік 11 місяців)  
Юридична компанія «Правова допомога»  
- Керування юридичним відділом (юристами та молодшими юристами), постановка та контроль задач, бюджетів, строків, часу роботи над замовленням  
- Контроль всіх замовлень компанії  
- Керування підбором та звільненням персоналу, проведення адаптацій юристів та їх розробка  
- Юридичне та кадрове обслуговування інших компаній, надання інших юридичних послуг  "
81,"Допоміг компанії вийти з кризи, залучивши нових великих клієнтів. Завдяки добре розвинутим навичкам багатозадачності, комунікабельності та управління проектами, успішно контролював та здавав більшість замовлень компанії.

Досвід роботи:
- Проектний менеджер у Astra Multimedia (типографічне виробництво), 2 роки
- Курси з тестування ПЗ
- Практика в невеликій команді тестування

Обов'язки:
- Написання технічних специфікацій (тест-кейси, чек-листи, звіти про помилки)
- Тестування веб та мобільних додатків
- Увага до деталей
- Робота з дотриманням термінів
- Здатність до багатозадачності та пріоритизації

Вважаю, що IT - це сфера майбутнього, найперспективніша та надзвичайно цікава галузь, тому прагну займатися улюбленою справою саме в цьому напрямку."
82,"Найбільш двома проектами: перший - це введення мобільної камери спостереження на проводниках в приміському сполученні, від закупівлі самих камер до налагоджування передачі даних та створення системи звітностей, презентація матеріалів. Другий проект - це модернізація, з розробкою проекту, сучасного вагономийного комплексу для приміського сполучення.

JSX “Ukrzaliznytsia” регіональна філія “Придніпровська залізниця”.
Остання посада: Начальник виробничо-технічного відділу структурного підрозділу “Дніпровське локомотивне депо”.

Участь у проектах:
- Проект ""Вагономийний комплекс для електропоїздів""
- Проект розробки програмного забезпечення ""Автоматизована система управління локбригом""

Особистий проект:
- Організація, регіональний контроль, пошук рішень у створенні системи відеозапису контролю на провідниках, від закупівлі до систематизації та передачі інформації кінцевому користувачу.
- Організовано регіональний контроль за виконанням технічних завдань.

Злагоджений колектив, лояльне ставлення компанії до працівника, гідна оплата, відповідна соціальна програма."
83,Lemon.school - Project Management course | Nov. 2021 - Jan. 2022
84,"Зняв 6 музичних кліпів, безліч рекламних креативів та 2 реаліті проекти для телебачення.

Організація та управління у сфері кіно та телебачення, тайм-менеджмент та комунікація з клієнтами, управління та координація знімальної групи, пошук акторів, моделей та локацій, контроль постпродакшну.

Прагну створювати великі, круті та цікаві проекти з професійними та розумними людьми."
85,"PM, BA, прототипування

Досвід в аналізі бізнес-процесів, формуванні бізнес-, функціональних та нефункціональних вимог для написання технічних завдань на впровадження програмного забезпечення. Навички прототипування інтерфейсів програмного забезпечення. Досвід ручного та димового тестування (Smoke Testing)."
86,"PROFILE

З 2019 по 2021 рік працювала у сфері юриспруденції, спочатку на виконавчій, а згодом на організаційній позиції. Після року практики вирішила зосередитися на особистісному розвитку в підприємницькій діяльності. Заснувала власний бізнес, організовувала договірну діяльність для різних компаній. Моя юридична діяльність була зосереджена на організації процесів щодо об’єктів права інтелектуальної власності, таких як програмне забезпечення та сайти, що викликало інтерес до ІТ-бізнесу. Пройшла курс з управління проектами, маючи певний досвід у менеджменті, і вирішила розвиватися як Project Manager в ІТ-сфері.

EXPERIENCE

Березень – Грудень 2020 (10 місяців) - LAW FIRM.

Керувала командою з 2 працівників.
Посада: Юрист.
Обов’язки: організація роботи юридичної команди, розподіл завдань.

Лютий – Жовтень 2021 (8 місяців) - Особиста підприємницька діяльність у сфері юридичної організації та супроводу підприємств у країнах: Україна, Казахстан, Росія, Естонія, Польща, Англія.

Керувала командою з 3 найманих працівників.

(1) IT Клієнти:
- SmartExpert.
- TIK TO GO.
Посада: Керівник.
Обов’язки: структуризація документообігу, розробка та аналіз NDA, MSA, SOW та ліцензійних договорів, комунікація з клієнтами.

(2) Комерційний Клієнт:
- Франчайзингова компанія.
Обов’язки: організація франчайзингового бізнесу."
87,"[Ім'я Прізвище]

[Контактна інформація]

---

**Project Manager**  
UKRTECH.INFO | червень 2021 — грудень 2021

- Планування зайнятості команди технічних спеціалістів та визначення пріоритетності задач.
- Контроль виконання задач у поточних ітераціях.
- Створення беклогів та їх презентація клієнтам.
- Комунікація з клієнтами та вирішення поточних питань.

**Менеджерка із транспортно-експедиторської діяльності**  
ТОВ ""ТЕП ""Вертикаль"" | жовтень 2015 — березень 2021

- Координація роботи менеджерів.
- Визначення пріоритетності та порядку виконання задач.
- Формування пакету необхідних супровідних документів.
- Контакти з лабораторіями елеваторів та портів Одеси, Миколаєва, Херсона.
- Вирішення поточних питань із залученими сторонами.

---

**Мета:** Прагну займатися цікавими проектами у компанії класних людей!"
88,"Project Manager (удаленно)  
с 12.2019 по настоящее время  
Hackintosh.expert, Харьков (IT)  

• Консультация лидов о продукте;  
• Выяснение требований у заказчика;  
• Составление технического задания для программиста;  
• Планирование и координация проекта.  

Заместитель начальника производственного участка  
с 04.2017 по 09.2018 (1 год 5 месяцев)  
Строительная Компания ""ДПАТ 'Укрбуд'"", Харьков (Аренда офисов)  

• Решение технических, экономических и документационных задач, связанных с эксплуатацией здания;  
• Поиск и привлечение клиентов;  
• Контроль уровня удовлетворения клиентов от сотрудничества;  
• Анализ конкурентов;  
• Организация труда сотрудников.  

Менеджер по продажам  
с 02.2013 по 06.2014 (1 год 4 месяца)  
Артефис, ООО, Харьков (HoReCa)  

• Поиск новых клиентов (холодные посещения и звонки);  
• Расширение ассортимента товара (вытеснение конкурентов);  
• Выполнение плана и ежедневный анализ работы (еженедельный, ежемесячный).  
Достижение:  
Увеличение денежного оборота за 6 месяцев с 40 до 240 тыс. грн.  "
89,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Шукаю можливість приєднатися до команди з соціально значущим та інноваційним проектом, де зможу постійно навчатися, зростати та пишатися досягненнями команди.

Досвід роботи:

Provodnik – інтерактивна карта інклюзивних місць в Україні
Project Manager
Україна — серпень 2021 року — в даний час
- Керував SMM-відділом, підвищив охоплення на 150%.
- Збільшив зростання користувачів платформ на 210%.
- Середня кількість ключових подій для користувача збільшилася на 50%.

Odessa Debate Union – розвиток молоді через освітню технологію “парламентські дебати”
СЕО, менеджер проектів
Одеса, Україна — вересень 2019 — серпень 2021
- Керував SMM-відділом, покращив воронку продаж, збільшив кількість пасивних лідів на 60%.
- Збільшив середню участь у спільноті на 35%.
- Покращив систему мотивації, збільшив кількість активних дій (участь у тренуваннях та змаганнях) на 15% в середньому на користувача.
- Екстренно адаптував офлайн проекти в онлайн-формат, збільшив кількість онлайн проектів з 3 до 25.
- Збільшив кількість учасників в онлайн-форматі на 60%.

Навички:
- Управління проектами
- SMM та цифровий маркетинг
- Адаптація та впровадження інновацій
- Розвиток та мотивація команди

Освіта:
[Ваш навчальний заклад]
[Ступінь, спеціальність]
[Роки навчання]

Додаткова інформація:
- Відкритий до нових знань та викликів
- Орієнтований на результат та командну роботу

[Дата]"
90,"Result-oriented Manager with over 5 years of experience in the real estate sector. Demonstrates strong organizational, time management, planning, and problem-solving skills. Achieved a 28% increase in company profit through successful investment strategies."
91,"SALES DEVELOPMENT REPRESENTATIVE (SDR)  
SalesNash | March 2022 - July 2022  

COMMUNICATIONS MANAGER (SMM) and CRISIS MANAGER  
Vilnyy Prostir | April 2021 - July 2022  

PRIVATE MUSIC TUTOR AND CAMP LEADER  
The School of Open-Minded Kids, Lviv | 2019-2021  

Досягнення:  
- Успішний поступ в пріоритизації роботи, що дозволило ефективно поєднувати навчання, роботу та волонтерство.  
- Розвиток навичок зосередженості, вміння відсікати зайве та відчувати момент для запобігання вигоранню."
92,"Export of Ukraine’s primary agricultural commodities: grains, seeds, sunflower oil, wheat flour, skimmed milk powder, etc.  
Regions of supplies: Baltic states, Northern Africa, Near and Middle East, India, China, Thailand  
Ukrainian seaport supplies  
Direct contacts with producers and processors of agricultural production (procurement): buying, supplying, delivery organization  
Organization of new logistic chains of supplies based on market volatility and freight cost  
Keeping abreast of the agriculture market, monitoring prices  
Negotiating with foreign partners, transactions, contract and supply support, certification, customs clearance, forwarding, dealing with brokers, seaports, grain elevators  
Supplying on CPT, FCA, DAP, FOB, CIF (Incoterms 2010)  
Establishing sales and pricing strategies, including offering spot prices on a real-time basis to clients and targeting the best paying outlets for the volume of commodities available to sell  

INTERESTS  
Reading books, visiting museums and theatres, gastronomy  
Travel  
Self-education and training  

PROFESSIONAL EXPERIENCE  

Sinton Group of Companies, Ukraine  
Senior Trader – Export Desk  
August 2006 – February 2017  

Oliyatorg Holding, Ukraine  
Senior Trader – Export Desk  
February 2017 – August 2017  

The First Food Trading Company  
October 2017 – Present  

I am driven by the need to solve complex problems. My work in agro projects has become routine, as I handle even the most challenging tasks with ease. I am seeking new challenges and interesting projects. I am open to discussing salary levels, as financial compensation is not my primary priority. I want to work on a large project, whether outsourcing or product-based, and I have no specific preferences. I am ready to learn new technologies and initiate processes.  

I am not interested in working on isolated tasks, as I prefer strategic assignments."
93,"Junior Project Manager

Освіта:
- Курси Project Management, Genius Space, літо 2023
- Технічна освіта, базові знання програмування

Досвід роботи:

SMM Manager
- Rozvytok, Хмельницький | 07.2019 - 02.2022
- Voronin DS, Львів | 07.2021 - 11.2021

Customer Manager
- Rozvytok, Хмельницький | 07.2019 - 07.2021

Call Center Operator
- ARCE, Хмельницький | 2017

Навички:
- Управління проектами
- Базові знання програмування
- Досвід роботи в SMM
- Комунікаційні навички
- Робота з клієнтами"
94,"Software Testing Engineer (Intern)  
з 05.2022 по нині (8 місяців)  
Epam, Дистанційно (IT)  

- Робота з тестовою документацією, знання SDLC, SDTC, методів тестування, технік тест-дизайну.  
- Досвід використання інструментів: Jira, Testrail, SQL.  
- Базові знання Java та Javascript.  
- Теоретичні знання автоматизованого тестування, робота з Selenium, Cypress, Postman.  
- Знання CSS, HTML, Swagger.  "
95,"Sportbank  
Червень 2022 - теперішній час  
Головний спеціаліст Управління боротьби з шахрайством  

LOMS Studio  
Травень 2022 - теперішній час  
CEO & Founder  

Mystic Motors NFT  
Липень 2022 - квітень 2023  
Lead GUI & Game Design (LGD)  "
96,"[Ваше ім'я]

[Контактна інформація]

Освіта
ІТ Step University, факультет комп'ютерні науки, спеціалізація проектний менеджмент (2021 - 2024)

Досвід роботи
Sales Manager, Grade Soft (06.2022 - 12.2022)
- Продукт: програма на основі QR коду з функціями меню, відгуків, замовлень та онлайн запису
- Користувачі: ресторани, кафе, готелі, салони краси, медичні центри

Проектна робота в університеті
- Використання React для розробки проектів

Інтернатура
Sigma Software - ""Team building і SDLC in project development""
- Отримав сертифікат

Курси
""Project Management"" від Eleks
- Отримав сертифікат

Навички
- Розуміння методологій Agile/Scrum, Waterfall
- Аналіз вимог замовника
- Ризик-менеджмент
- Прийняття рішень
- Сильні комунікаційні навички
- Програмування: HTML/CSS/JS, React"
97,"[Ваше ім'я]

[Контактна інформація]

**Освіта та сертифікація:**
- Сертифікат IPMA-Student

**Мови:**
- Вільно володію польською, англійською, французькою, російською та українською мовами

**Досвід роботи:**

**Project Event Manager**
*Festiwal menedżerski* та *Festiwal 3 p.m*
Серпень 2018 - Травень 2019
- Планування заходу від початку до кінця відповідно до вимог, цільової аудиторії та цілей
- Використання Canva для створення банерів та інших зображень для кампаній
- Розробка та управління соціальною медіа кампанією заходу
- Аналіз успішності заходу та підготовка звітів
- Пошук та переговори з потенційними спікерами

**Волонтер**
*PMI Poland Chapter Kraków*
Травень 2018 - теперішній час
- Допомога в плануванні, реалізації та організації програми ""Women In Project Management""
- Участь у різних семінарах PMI
- Підготовка графіки для промоції

**Social Media Manager**
*Kraków King Theater*
Травень 2014 - Квітень 2016
- Дослідження інформації для можливих тем контенту
- Створення контент-календарів
- Використання Canva для створення банерів та інших зображень для кампаній
- Оновлення соціальних платформ, сайтів та додатків, підтримка висвітлення подій у соціальних мережах

**Student Internship**
*Oh!Pillo*
Жовтень 2016 - Грудень 2016
- Дослідження інформації для можливих тем контенту французькою мовою
- Створення контент-календарів
- Оновлення соціальних платформ, сайтів та додатків, підтримка висвітлення подій у соціальних мережах

**Досягнення:**
- Організувала 2 конференції: *Festiwal menedżerski* та *Festiwal 3 p.m*
- *Festiwal menedżerski* отримала нагороду ""Кращий студентський проект 2019 року""

**Інтереси:**
- Цікаві, креативні проекти"
