,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
63,"Оля

Контактна інформація: [ваша електронна адреса] | [ваш номер телефону] | [посилання на ваш профіль LinkedIn або портфоліо]

Мета:
Шукаю свою першу роботу на посаді Junior дизайнер. Хочу повністю поринути у світ дизайну, працювати в команді, розвивати свої навички та здобувати досвід.

Професійні навички:
- Знання програм Figma, Photoshop
- Базові навички в Adobe Illustrator
- Розробка прототипів
- Створення Landing Page
- Знання HTML, CSS, базова верстка
- Основи композиції, кольору, типографіки
- Вміння працювати з графічним планшетом
- Основи UI/UX дизайну
- Досвід роботи з людьми
- Знання ПК та офісних програм
- Досвід роботи з касою і 1С
- Консультування по товарах та послугах компанії

Особисті якості:
- Тайм-менеджмент (вчасна здача проектів, дотримання дедлайнів)
- Здатність швидко навчатися
- Вміння працювати в команді, розв’язувати конфлікти
- Працьовитість, відповідальність, уважність до деталей
- Порядність, пунктуальність
- Відсутність шкідливих звичок

Освіта та курси:
- Prometheus: Основи Web UI розробки (2022 р.)
- HTML CSS JS course Freelancer LifeStyle (2023 р.)
- ""Веб майстерня 3.0"" курс веб-дизайнера (2023 р.)

Досвід роботи:
Маю 12 років досвіду в різних сферах (фармацевт, менеджер по заявкам, офіс-менеджер, адміністратор, оператор), але не в IT. Дуже цікавлюся цією сферою і готова вчитися та працювати.

Якщо вас зацікавила моя кандидатура, буду щаслива працювати у вашій команді."
64,"Маю 6 років досвіду у сфері гостинності, що допомагає мені ладнати з різними людьми, працювати у команді, вести переговори та вирішувати різноманітні задачі.

Маю навички у створенні вебсайтів та розробки мобільної адаптації. Вмію працювати з композицією, кольорами та типографією.

Перед створенням проєкту проводжу UX дослідження: збір вимог замовника, аналіз конкурентів, SWOT аналіз, користувацьке інтерв'ю, User persona. Після цього готую презентацію з отриманими даними.

На основі цього створюю User-flow, Site map та Wireframe/Prototype.

Вмію працювати з компонентами та Auto Layout.

Володію програмами: Figma, Adobe Photoshop, Adobe Illustrator, Adobe Lightroom, Microsoft Office, Google Sheets, Google Docs."
65,"Досвід роботи на фрілансі протягом 6 місяців, співпраця безпосередньо із замовниками. Розробка інтерфейсів для сайтів салонів краси, йога-студій, онлайн-магазинів прикрас та косметики. Досвід створення дизайну для сайтів-візиток та промо-сайтів. 

Розуміння основних принципів верстки на HTML та CSS. 

Мета: створення простих у використанні та прибуткових сайтів. Вміння визначати цільову аудиторію, виявляти її потреби та задовольняти їх. 

Знання теорії кольорів та їх впливу на клієнтів, основних правил типографіки. Вміння створювати адаптивні версії сайтів."
66,"Досвід роботи в e-commerce: 6 років. Починала як онлайн-менеджер (оформлення замовлень на сайті). Працювала в команді маркетингу на посаді адміністратора сайту, займалася трьома сайтами на OpenCart та одним на Shopify.

Основні обов'язки:

1. Управління контентом трьох сайтів.
2. Контроль наявності повного асортименту продукції на сайті.
3. Аналіз та розробка стратегії вдосконалення веб-ресурсу.
4. Постановка завдань та контроль виконання для програмістів, дизайнерів та копірайтерів.
5. Підготовка сайтів до акцій, сезонних розпродажів.
6. Оптимізація та контроль взаємодії CMS із CRM.
7. Впровадження та контроль API на сайті.
8. Підключення платіжних систем.
9. Вдосконалення UX шляху клієнта, збільшення конверсії, прибутку, середнього чека сайту.
10. Впровадження SEO-рекомендацій.

Додаткові завдання: аудит юзабіліті та аналіз конкурентів інших сайтів за запитом, написання стратегій сайтів на 6 місяців. Для кращого розуміння поведінки користувачів, роботи у Figma та роботи дизайнера при постановці задач, закінчила курси веб-дизайну в Камі.

Досвід редизайну сайту на тему працевлаштування в Чехії, реальний проект:

1. Додано 10 нових сторінок - десктоп та мобайл.
2. Заміна дизайн-системи на нову.
3. Вибір нового шрифту."
67,"**[Ваше ім'я]**

**Контактна інформація**
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль, якщо є]

---

**Досвід роботи**

**Apple Sales Consultant**  
PLC ""ASBIS Ukraine""  
02.2021 - до теперішнього часу  

- Консультація клієнтів щодо продукції Apple
- Забезпечення високого рівня обслуговування клієнтів
- Досягнення цілей продажів та KPI

**Store Manager**  
LLC ""Allo""  
02.2019 - 02.2021  

- Управління та координація персоналу (до 5 осіб)
- Робота з показниками команди та її розвиток
- Взаємодія з внутрішніми та зовнішніми клієнтами
- Досягнення цілей KPI
- Контроль за дотриманням процедур компанії в магазині

**Depute Store Manager**  
LLC ""Allo""  
06.2018 - 01.2019  

- Підтримка менеджера магазину в управлінні персоналом
- Допомога в досягненні цілей продажів

**Sales Manager**  
LLC ""Allo""  
11.2017 - 05.2018  

- Продаж товарів та послуг
- Взаємодія з клієнтами для визначення їх потреб

---

**Навички**

- Досвід роботи в продажах
- Розуміння потреб клієнтів
- Базовий дизайнерський досвід (навчальні проекти)
- Готовність виконати тестове завдання

---

**Освіта**

[Ваш навчальний заклад, спеціальність, роки навчання]

---

**Додаткова інформація**

- Досвід може бути корисним в e-commerce проектах
- Готовий до нових викликів та навчання"
68,"[Ім'я Прізвище]

[Контактна інформація]

ПРОФЕСІЙНИЙ ДОСВІД

UI/UX Дизайнер
- Розробка web-сайту для бюро дизайну інтер'єрів у стилі мінімалізм. Використані інструменти: Figma, Affinity Photo, Affinity Designer.
- Створення айдентики для студентської ради університету.

Дизайнер фізичних продуктів
- Розробка дизайну деталей для подушок Emoji у Woop Smile.
- Дизайн корпусу комп'ютера в стилі Apple.

НАВИЧКИ
- Впевнене володіння графічними редакторами.
- Використання AI інструментів у роботі.
- Базові знання програмування, розуміння принципів ООП.
- Досвід роботи з JS, CSS 3 та HTML 5.

ОСВІТА
- [Назва університету], [Факультет/Спеціальність]

ЦІЛІ
- Поглиблення знань у сфері UI/UX дизайну.
- Дослідження бізнесу та цільової аудиторії.
- Робота з перспективними інструментами та технологіями для професійного розвитку."
69,"Маю досвід у фрілансі в галузі розробки та дизайну.

**Освіта:**

**Front-end (базовий рівень):**
- HTML5/CSS
- Верстка макетів з нуля
- Flexbox
- JavaScript (базовий)
- Робота з GIT
- SCSS

**Web-design, UI/UX Pro:**
- Аналіз та дослідження конкурентів
- Аналіз цільової аудиторії
- Глибинні інтерв'ю, створення персонажів
- CJM та методи пріоритизації
- Прототипування у Figma
- Розробка та дизайн інтерфейсів"
70,"Менеджер по роботі з клієнтами – 07.2020 по нині  
ТОВ «Українська універсальна біржа» (майданчик публічних закупівель)  

Обов’язки:  
- Консультація клієнтів  
- Фіксація даних в CRM та Slack  
- Вивчення нової інформації у сфері державних закупівель при змінах у законодавстві або на майданчику організації  "
71,"Влад

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто]

Мета:
Прагну приєднатися до вашої команди на постійній основі, використовуючи свій досвід у дизайні для створення якісних та креативних рішень.

Досвід роботи:
Фріланс-дизайнер
- Створення креативів і зображень для соціальних мереж та вебсайтів
- Розробка логотипів
- Дизайн вебсайтів та лендінгів

Навички:
- Володіння CSS та HTML
- Креативний підхід до дизайну
- Здатність працювати в команді та самостійно

Освіта:
[Ваша освіта, якщо є]

Буду радий обговорити можливості співпраці та відповісти на ваші запитання."
72,"Мій шлях у веб-дизайні розпочався з курсу Web-design в Projector University. Після завершення курсу я пройшов стажування в студії A4 Collective, яке завершилося через початок повномасштабного вторгнення росії. Після цього я почав працювати на фрілансі. Через кілька місяців мене прийняли на посаду Junior UX/UI Designer в Skykillers. Моя основна мета зараз — набуття досвіду та нових навичок."
73,"Знання англійської мови (С1), французької мови (B2). Досвід роботи в міжнародній японській школі з вивчення англійської мови та філологічна освіта. Пройдено курс веб-дизайну. 

Навички викладання для людей будь-якого віку, використання комунікативної методики, розуміння міжособистісної та міжкультурної комунікації. Досвід написання іншомовних текстів різних напрямів та тематики. 

Маю бажання працювати в IT-сфері за новим напрямом, щоб розкрити та розширити свої навички та потенціал. Цікавить робота з текстами, людьми або дизайн."
74,"Навчалась на курсах UI/UX Design from Scratch у Beetroot Academy та UX Design Beginning у Projector Institute. Маю досвід участі в навчальних та реальних проектах, включаючи фріланс проекти та спілкування з реальними замовниками. Володію навичками проведення якісних і кількісних досліджень, аналізу потреб користувачів, прототипування та дизайну інтерфейсів, розробки UI-kit. Вільно володію Figma, Sketch та Miro, а також вмію працювати з Adobe XD і Adobe Photoshop. Маю досвід роботи в команді з іншими дизайнерами."
75,"Розробляла лендінги та багатосторінкові сайти. Вивчала айдентику та психологію кольору. Розумію процес розробки сайту: побудова сітки, поведінка користувача, підбір кольорів, гарнітури, візуалізація. Вмію робити сайти інтуїтивно зрозумілими для користувача.

Освіта:
- Академія ШАГ, напрямок ""Комп'ютерна графіка та дизайн""
- Курси UI/UX дизайну від WayUp, Alpaca School

Практичний досвід:
- Розробка лендінгу для туристичного агентства
- Створення багатосторінкового сайту для аптечного сервісу з пошуку ліків

Мета: Прагну приєднатися до команди, яка захоплена своєю справою. Ціную можливість переймати досвід у досвідченіших колег та кар'єрний розвиток у компанії."
76,"Курси англійською від Google з основ UX Дизайну та від Університету Міннесоти з основ UI дизайну.

Досвід у навчальних проектах та фрілансі. Основні завдання: дизайн сайтів, мобільних додатків, банерів для соціальних мереж, редизайн каталогу продукції, розробка презентацій. Виконання досліджень конкурентів, вивчення цільової аудиторії, побудова інформаційної архітектури, створення персони, складання прототипів."
77,"По закінченню курсу ""Основи Web дизайну"" я отримала перше замовлення та створила логотип. Наразі завершую курси ""UI/UX Design"". Вмію проектувати цікавий, привабливий і зручний інтерфейс, створювати персони, досліджувати конкурентів та вимоги користувачів, збирати прототипи і тестувати їх."
78,"Досвід роботи:

1. Компанія з розробки мобільних ігор
   - Аналіз конкурентів
   - Взаємодія з розробниками
   - Створення макетів гри за технічним завданням
   - Анімація екранів та персонажів
   - Відслідковування нових тенденцій
   - Дизайн презентацій для Apple Store

2. Помічник дизайнера
   - Редизайн сайтів
   - Заміна елементів у новому дизайні
   - Створення додаткових екранів за заданою стилістикою"
79,"Професійний профіль

Молода спеціалістка з дизайну, яка швидко навчається та прагне розвиватися у сфері веб та графічного дизайну. Завершила навчання в українській IT школі, де значно покращила свої навички та отримала позитивні відгуки від куратора. Маю велике бажання працювати в дружньому колективі та здобувати практичний досвід.

Освіта

Українська IT школа
- Завершила курс з веб та графічного дизайну
- Покращила навички дизайну та створила якісне портфоліо

Додаткова освіта

- Відвідала численні вебінари з веб та графічного дизайну

Навички

- Веб-дизайн
- Графічний дизайн
- Швидке навчання
- Творчий підхід

Мета

Прагну працювати у сфері дизайну, розвивати свої творчі здібності та здобувати практичний досвід у дружньому колективі. Вірю, що головне — це бажання та любов до своєї справи."
80,"Досягнення: Успішно завершив курси з UI/UX дизайну в IT Step Academy з відзнакою.

Досвід роботи: Брав участь у розробці мобільного додатку E-Profi для Міністерства Освіти України. Виконував роль мобільного дизайнера, створюючи дизайн для екранів користувача, компанії та навчального закладу. Забезпечив зрозумілість взаємодії з компонентами інтерфейсу для користувачів. Розробив логотип програми, що відображає її тематику.

Професійні інтереси: Зосереджений на мобільному дизайні, не зацікавлений у веб-дизайні."
81,"Досягнення в сфері дизайну включають успішне завершення курсу IT Generation, де я отримав грант на навчання серед сотні тисяч претендентів. Хоча я не маю професійного досвіду роботи дизайнером, я відзначаюся великою наполегливістю та бажанням розвиватися.

Під час навчання я розробив Landing Page, Mobile App та E-commerce проекти. Mobile App та E-commerce були створені з нуля, включаючи дослідження ринку, аналіз конкурентів, дослідження цільової аудиторії (user-інтерв'ю, протоперсона, CJM, user-cases), розробку User flow та інформаційної архітектури сторінки.

Я прагну працювати з креативними людьми та розвиватися в сфері дизайну, створюючи якісні продукти та роблячи світ кращим."
82,"III місце на всеукраїнській універсіаді КіМу 2018

Під час своєї кар'єри у сфері UI/UX дизайну, я пройшов ряд повчальних програм і курсів, щоб поглибити свої знання і навички. Мої учителі і ментори надихнули мене і поділилися цінною інформацією, яка стала фундаментом для мене. Особливо важливим досвідом для мене було спілкування з підприємцем, у якого була власна студія по дизайну. Його досвід дав мені розуміння цінності дизайну у бізнесі і важливості забезпечення задовільного призначеного для користувача досвіду.

Мої очікування від роботи у сфері UI/UX дизайну після повернення в цю область дуже високі. Я розумію, що багато речей могли змінитися відколи я працював в цій сфері востаннє, і я готовий узяти на себе виклики, які мають відбутися. 

Професійний розвиток: Я чекаю, що зможу активно розвивати свої навички і знання в області UI/UX дизайну. Ця сфера постійно еволюціонує, і я готовий вчитися новим інструментам і методологіям. 

Творчість і самовираження: Мені важливо мати можливість проявляти свою творчу натуру через дизайн. Я сподіваюся, що зможу працювати над проектами, які дозволять мені надавати інтерфейсам унікальний і привабливий вид. 

Відповідальність і вклад: Я хочу внести свій вклад в проекти і компанію, для якої працюватиму. Чекаю можливості працювати над важливими завданнями і бачити результати своєї роботи. 

Дотримання термінів і професійне зростання: Мені важливо працювати в динамічному середовищі, де дотримуються терміни і де я можу рости професійно. Я готовий до викликів і готовий довести свою цінність в цій сфері."
83,"UI/UX дизайнер

Досвід:
- Виконання фріланс-проектів, що включали розробку дизайн-систем, проведення досліджень, створення презентацій та ваєрфреймів.
- Участь у курсі, де здобула знання з основних принципів дизайну, прототипування, інклюзивного дизайну, дизайн-мислення та атомарного дизайну.
- Використання Figma як основного інструменту, базові знання Adobe.
- Реалізація реального замовлення у вигляді мобільного застосунку на фіналі курсу.
- Навички роботи з людьми та в команді.

Бажані умови роботи:
- Дружній колектив
- Лояльне керівництво
- Чітка постанова завдань
- Порозуміння керівництва з працівниками

Переваги:
- Робота в продуктовій компанії
- Можливість кар'єрного росту
- Участь у тренінгах, вивчення англійської та інші ресурси для розвитку
- Інтерес до роботи як у великому проекті, так і в маленькій команді."
84,"Розробила pet-project - сайт для музикальної школи після проходження курсів:
- Створювала wireframes та робила прототипування
- Маю досвід розробки UI-Kit та дизайн системи
- Вмію робити адаптивний дизайн

Шукаю роботу, де зможу застосувати наявні навички та розвинути нові."
85,"Веб-дизайнер з понад річним досвідом. Створив численні якісні проекти, які отримали позитивні відгуки від клієнтів. Маю досвід у розробці сайтів, мобільних адаптивів, додатків, userflow та wireframes."
86,"Попрацювала над двома мобільними додатками:

1. Ініціативна ідея для МінЦифр України. Ідея виникла ще в університеті, додаток створювався на основі дизайну ""ДІЯ"". Зауважу, що він не реалізований міністерством, це виключно моя ідея.

2. Мобільний додаток для обліку фінансів. Проект створювався для портфоліо.

Також є лендінг для школи англійської мови. Над усіма проектами працювала самостійно у Figma. Досвіду роботи в команді, на жаль, не маю."
87,"Здобула навички UX-досліджень під час роботи над фінальним проєктом на курсах, де досліджувала ринок, проводила інтерв'ю та створювала опитувальники для виявлення потреб користувачів. Після цього спроектувала wireframe, провела тестування та, на основі зворотного зв'язку, підготувала фінальний прототип через кілька ітерацій. Найбільшим досягненням вважаю освоєння процесу розробки від ідеї до реалізації, включаючи етапи тестування та валідації.

Одним із останніх проєктів була розробка дизайн-макетів меню для закладу. Метою було створити структуру, яка б вміщувала різну кількість позицій. Я адаптувала макети так, щоб замовник міг самостійно вносити зміни, а дизайн автоматично підлаштовувався під контент. Це оптимізувало процес оновлення меню, заощадивши час та ресурси.

Кар'єру в дизайні розпочала з освоєння базових навичок у Figma для власних потреб. Згодом почала допомагати друзям та знайомим з дизайн-макетами, а потім брати невеликі замовлення на фрілансі, переважно в галузі дизайн-поліграфії. Відчувши нестачу знань, пройшла курси UI/UX Design у Beetroot Academy, де опанувала базові навички продуктового дизайну та покращила свої вміння у Figma."
88,"Графічний дизайнер з багаторічним досвідом роботи в різних галузях, наразі прагну розвиватися в напрямку UI/UX. Маю художню освіту та постійно вдосконалюю свої навички через різноманітні курси. 

Професійний досвід включає:
- 3 роки роботи в поліграфії, де здобула цінний досвід у друкованій продукції.
- 1 рік роботи геймінг дизайнером, що охоплював проекти від друку до веб-дизайну.
- Остання офіційна позиція в рекламній агенції, де займалася створенням інтернет-банерів, презентацій, контенту для соцмереж, брала участь у тендерах, а також розробляла каталоги як у діджитал, так і в друкованому форматі з тиражами від 200 до 500 тисяч.

Наразі працюю фрілансером, спеціалізуючись на рекламі для соціальних мереж та розробці сайтів. 

Шукаю роботу, яка б відповідала моїм професійним амбіціям, з можливістю працювати в дружньому та професійному колективі, де цінується внесок кожного. Орієнтована на досягнення результатів, професійний розвиток та кар'єрний ріст."
89,"Маю декілька завершених ПЕТ проектів. Розвиваю софтскіли. Володію англійською на рівні Upper-Intermediate. Працював з Android Studio та Figma. Маю сертифікат від Cisco. Навчаюся на 4 курсі за спеціальністю ""Кібербезпека"" у Національному університеті ""Одеська Юридична Академія""."
90,"Збільшила прибуток компанії на 5% після юзабіліті тестування логіки сайту. Працювала Junior UI/UX Дизайнером в Nustay (Київ) в команді зі старшим дизайнером. Розробляла мудборди, мок-апи, вайрфрейми, редизайн елементів сторінок, оновлювала гайдлайни. Також є досвід роботи QA і тестування UI/UX сторін веб-сайтів. Працювала UX дизайнером в TemplateMonster, розробляла вайрфрейми для різноманітних сфер бізнесу."
91,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Розвивати навички в дизайні мобільних додатків та працювати в креативній команді.

Освіта:
- Курси Mobile Apps Design, Projector

Досвід роботи:
- Аналіз, розробка user flow, навігація, прототипування та дизайн мобільних додатків
- Співпраця з фрілансерами
- Створення креативів для соціальних мереж
- Розробка креативів та банерів для YouTube для церкви

Навички:
- Дизайн мобільних додатків
- Аналіз та розробка user flow
- Прототипування
- Креативний дизайн для соціальних мереж

Особисті якості:
- Готовність до навчання та вдосконалення
- Відкритість до співпраці

Буду рада можливості співпраці та розвитку в професійній сфері."
92,"Працювала мануальним QA 3,5 роки на e-commerce проектах (інтернет-магазини різної направленості). На цій позиції займалась функціональним тестуванням та написанням документації для розробників і клієнтів. 

Наразі проходжу курси Google UX Design та веб-дизайну в школі Alpaca. 

Попередній досвід роботи тестувальником допоміг розвинути навички роботи в Figma, створення персон та User journey, а також досвід спілкування з клієнтами."
93,"Успішно закінчила курси ""Web design basic"" та ""UI/UX Design Pro"" в айті-школі Hillel, отримавши оцінку ""Exellent"" та перше місце в рейтингу учнів. Успішно захистила дипломні проекти після кожного курсу. Отримала грант на навчання за програмою ""IT Generation"" та завершила курс ""Web design"" від школи ""A-Level"".

Працювала в школі англійської мови, де відповідала за проведення індивідуальних занять для дітей віком від 6 до 15 років, розробку навчальних планів та домашніх завдань, а також складання звітів щодо відвідування та оплати занять."
94,"Досвід розробки сайтів та мобільних додатків.

Шукаю роботу на позицію trainee/junior UI/UX designer. Моя мета - стати професіоналом у цій галузі та навчитися створювати не тільки гарні, але й зручні інтерфейси. Я відповідальна особа, готова вчитися та цінувати досвід, яким поділяться зі мною.

Для мене важливо постійно розвиватися і бути корисною суспільству через дизайн. Я готова працювати як у маленькій команді, так і на великому проєкті. Хочу стати спеціалістом UX/UI, який зосереджується на потребах користувача. Логічні схеми, прототипи, компоновка, тестування - це те, що мені до душі."
95,"Влада

Контактна інформація: [ваша електронна адреса] | [ваш номер телефону] | [ваш LinkedIn профіль]

Професійний профіль:
Я творча та відповідальна UI/UX дизайнерка, яка прагне працювати в дружній та веселій команді над новими цікавими проектами. Мене цікавить саморозвиток, вдосконалення навичок та зростання як дизайнера. Я захоплююсь вивченням нових технологій та слідкую за останніми трендами в дизайні.

Досвід роботи:
1. Проект ""JourneyJet""
   - Впровадження ефективної системи сповіщень та оголошень.
   - Забезпечення уніфікованого дизайну для мобільних пристроїв, планшетів та комп'ютерів.
   - Інтуїтивний інтерфейс для туристів та хозяїв.

2. Проект ""BuildHive""
   - Розробка інтуїтивного дизайну для комплексної платформи нерухомості.
   - Зручний перегляд та зв'язок з якісними нерухомостями для покупців, продавців і орендарів.

3. Проект ""Alaska""
   - Редизайн веб-сайту для поліпшення загального досвіду клієнтів.
   - Оптимізація процесу замовлення та підвищення прибутковості для ресторанів.

Навички:
- Створення естетичних та привабливих дизайнів з акцентом на вибір кольорів, композицію та типографіку.
- Практика мінімалістичного підходу до дизайну.
- Знання сучасних трендів у UI/UX дизайні.

Освіта:
[Ваша освіта, якщо є]

Очікування:
Я прагну навчатися та вносити свій внесок у динамічну команду, вдосконалюючи свої навички. Мене захоплює можливість працювати над реальними проектами та отримувати практичний досвід. Я чекаю на керівництво та наставництво від досвідчених професіоналів, щоб розвивати свій досвід та вносити значний внесок у проекти, що мають справжню цінність."
96,"Христина  
Junior UI/UX Designer  

Освіта:  
- Курс веб-дизайну на платформі ""WayUp""  

Навички:  
- Створення креативного дизайну  
- Розробка landing page  
- Дизайн для e-commerce  
- Адаптивний дизайн  
- Проведення UX досліджень  
- Основи веб-дизайну  
- Знання типографіки, теорії кольору та композиції  
- Базові знання дизайну мобільних додатків  
- Основи гайдлайнів iOS та Android  
- Робота в Figma  

Досвід:  
- Створення кількох робіт для портфоліо під час навчання  

Мета:  
- Подальший розвиток у сфері веб-дизайну  
- Вдосконалення професійних навичок  "
97,"Junior UI/UX Designer

Я творча людина, яка прагне вдосконалюватися у сфері дизайну. Хоча досвіду комерційної роботи поки що немає, за 4 роки навчання в академії я брала участь у багатьох творчих проектах. Володію необхідними навичками та знаннями, постійно розвиваюся та вдосконалююся. Маю досвід командної роботи, вмію знаходити спільну мову з людьми та досягати компромісів для успішного виконання проектів. Шукаю дружний колектив, з яким зможу дізнаватися про нові тренди в сфері UI/UX та втілювати їх у життя."
98,"Олеся

UI/UX Designer з 1,5 роками досвіду, включаючи 6 місяців фрілансу. Спеціалізуюся на створенні односторінкових лендінгів, багатосторінкових сайтів та мобільних застосунків. Мій досвід включає:

- Вайрфреймінг
- Прототипування
- UX дослідження
- UI дизайн
- Детальний аналіз конкурентів
- Створення мудбордів
- Розробка UI kit та дизайн-систем
- Використання human interface guidelines"
99,"Junior UX/UI Designer

Досвід:
- Редизайн понад 20 сайтів у Figma.
- Фріланс проекти у сфері UX/UI дизайну.
- Участь у розробці веб-додатків на різні тематики:
  - Гейм індустрія
  - Благодійні фонди
  - Маркетплейси
  - Landing page
  - One page application

Навички:
- Робота з сучасними інструментами: Figma, Adobe, AI tools.

Спеціалізація:
- Веб-дизайн:
  - Landing page
  - One page application
  - Corporate website
  - Online platform

- Графічний дизайн:
  - Logotype
  - Поліграфія (прайс-листи, візитки, сертифікати, наліпки, постери)

Мета:
- Прагну працювати над проектами, які дозволять вивчати нові технології та тренди у веб-дизайні.
- Бажаю покращувати навички в UI/UX та працювати над складними проектами.
- Моя професійна мета — стати експертом у веб-дизайні.
- Хочу працювати в команді для обміну знаннями та досвідом з іншими дизайнерами."
100,"Щодня вдосконалюю свої навички в області дизайну, стежу за сучасними трендами. Багато знаю, чого не знаю - знайду, що не знайду - грамотно запитаю у колег. Вмію працювати в команді і хочу професійно розвиватися.

- Проведення User Research
- Побудова User Flow, Wireframes, Prototypes
- Розробка Design System
- Знання основ дизайну: композиція, колір, типографіка
- Досвід роботи над реальними проектами (проектування і створення web- і mobile-інтерфейсів)"
101,"Сертифікат учасника встановлення рекорду України (вересень 2017) - ""Найдовше панно з Петриківським розписом на полотні"" на 10-му ювілейному обласному фестивалі-ярмарку ""Петриківський цвіт"", зареєстрований Національним реєстром рекордів України під №170392.  
Диплом 1-го ступеня з петриківського розпису (листопад 2016 р.) - переможець Всеукраїнського фестивалю-конкурсу дитячої та юнацької творчості ""Урок казки"", нагороджена Міністерством освіти і науки України.  

Проекти:  

Florium - інтернет-магазин з продажу квітів:  
Редизайн сайту для створення більш сучасного інтерфейсу та покращення користувацького досвіду.  

• Провела аналіз конкурентів та створила мудборд.  
• Розробила карту сайту, підібрала типографіку та основні кольори.  
• Створила UI-кіт та вайрфрейми.  
• Реалізувала дизайн адаптивної версії сайту.  

BeeHouse - інстаграм-магазин з продажу медових солодощів:  
Розробка стильного дизайну, який відображає цінності магазину - сучасність і простоту.  

• Створила логотип та персональний брендинг.  
• Розробила айдентику (візитки, етикетки, пости в Instagram та ролики).  
• Розробила дизайн для інстаграм-профілю."
