,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
48,"Досвід роботи у сфері дизайну: 6 місяців. За цей час я опанувала професію на початковому рівні та прагну подальшого розвитку.

Реалізовані проекти:
- Дизайн мобільного додатку
- Landing Page для студії шугарингу
- Редизайн сайту для ресторану індійської кухні

Інші проекти:
- Стартовий екран для Landing Page спортивної події
- Блок товару для сайту спортивного одягу
- Картки статей для fashion онлайн-видання
- Стартовий екран з використанням Adobe Photoshop, тема ""Персона, що надихає""
- 404 екран для сайту курсів малювання ""Art school"" з векторними зображеннями

Участь у командному проекті зі створення ресурсу для пошуку загублених тварин. Використовувала всі наявні навички та технології, проходила всі етапи створення проекту: від аналізу цільової аудиторії до готового кейсу.

Мета: подальший розвиток та пошук місця у компанії для здобуття досвіду. Цікавлюсь усім, щоб отримати більше практики."
49,"Завершила навчання на курсі ""UI/UX Design from scratch"" у Beetroot Academy, де ознайомилася з усіма етапами дизайн-мислення та відпрацювала їх на практиці. Розробила декілька проектів, включаючи дипломний проект — мобільний додаток для обліку фінансів. Під час роботи над проектом виконала: створення Mind Map, конкурентний аналіз, розробку портретів персони та карти емпатії, Affinity Map, сценарій користувача, структуру програми, створення wireframes, UI-kit та добірку референсів. Завершила проект створенням клікабельного прототипу та дизайну. Наразі навчаюся на курсі ""UI/UX Design Pro"" у Hillel."
50,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Харківська Академія Дизайну та Мистецтв, спеціальність: Аудіовізуальне мистецтво.
- Школа естетичного виховання.
- Київський Університет Технологій та Дизайну (вступаю).

Досвід:
- Учасник еко-виставки 4th Block, Харків.
- Учасник онлайн арт виставки, Ухань, Китай.
- Веб-дизайн: створення афіші для музиканта Антона Генкіна.
- Дизайн афіш для танцювального клубу ""Valeri"".
- Study case з дизайну для інста-магазину прикрас Fermoir.jew.

Навички:
- Знання композиції, кольорів, типографіки, анімації.
- Курс Genius з UI/UX Дизайну.
- Міні-курс в Alpaca School.
- Самонавчання у сфері дизайну."
51,"Розробка успішних редизайнів готових сайтів та створення нових для продуктів різної складності. Головне досягнення — розробка дизайну мобільного додатку для швейцарського стартапу. Займаюся розробкою веб- та мобільних інтерфейсів. Зацікавлений у виконанні складних проєктів, з якими не працював раніше, і постійно розвиватися. Вмію аналізувати поставлені задачі та обґрунтовувати свої рішення в різних ситуаціях. Самостійний у роботі, але легко налаштовуюсь на роботу в команді. Поступовий та уважний у процесі роботи, швидко навчаюсь новому.

Останні пів року працював UI/UX дизайнером у DreamDev Agency."
52,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Курси дизайну LemonSchool, закінчені з відзнакою.
- Курси веб-дизайну.

Досвід:
- Завершений проект веб-дизайну на фрілансі (дизайн веб-сайту на 7+ сторінок).
- Виконання навчальних проектів зі створення прототипів (франкенштейн, wireframe).
- Розробка стікерів та іконок.

Навички:
- Швидке та ефективне навчання.
- Досвід роботи з прототипами та графічними елементами."
53,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль або інший професійний сайт]

Мета:
Розвиватися в сфері UX/UI дизайну, застосовуючи навички в розробці креативних рішень та покращенні користувацького досвіду.

Освіта:
- Курс UX/UI Designer, projctr

Досвід роботи:
- Розробка логотипів та брендбуків
- Створення рекламних креативів та друкованої продукції
- Дизайн лендінгів та презентацій
- Створення мобільного контенту
- Обробка фото та відео
- Досвід роботи SMM менеджером

Навички:
- Клієнтоорієнтованість та сервіс
- Вміння знаходити вирішення проблемних ситуацій та компроміси
- Комунікабельність та вміння ладнати з людьми
- Готовність до навчання та розвитку в сфері дизайну

Додаткова інформація:
Відкрита до нових знань та прагну поглиблювати навички в дизайні."
54,"Впевнене володіння Figma, створення UI/UX дизайну, Wireframes, Hero Screen, CJM.  
Закінчила курс з веб-дизайну.  
Реалізовані проєкти:  
1. Сайт парфумів - тестування, CJM, Wireframes.  
2. Сайт з продажу квітів - Wireframes, CJM.  
Аналіз користувачів та конкурентів."
55,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль або інший професійний сайт]

Мета:
Шукаю позицію UI/UX дизайнера для вдосконалення навичок та професійного розвитку.

Освіта:
Logos IT Academy
Курс: UI/UX Design

Навички:
- Створення User Flow та User Story
- Дизайн CRM систем
- Дизайн лендінгів
- Побудова карти сайту
- Створення дизайн-систем

Досвід:
Графічний дизайнер (некомерційні проекти)
- Дизайн постерів
- Розробка публікацій для соцмереж

Додаткова інформація:
- Вмотивована та готова до нових викликів у сфері UI/UX дизайну
- Постійно вдосконалюю навички та слідкую за новими трендами в дизайні

[Дата]."
56,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваша електронна адреса]

Мета:
Застосувати знання та навички у веб-дизайні для професійного розвитку в динамічній компанії.

Освіта:
- 5-місячний курс з веб-дизайну.

Навички:
- Базові знання UX/UI дизайну.
- Активний розвиток навичок у веб-дизайні.

Досвід роботи:
- 1 рік фрілансу у веб-дизайні.

Мови:
- Планую покращити знання англійської мови.

Додаткова інформація:
- Мотивована та відкрита до нових професійних викликів."
57,"Фріланс UI/UX дизайнер (з осені 2021 року)

Обов'язки:
- Взаємодія з клієнтами для визначення їхніх потреб та вимог
- Спільна розробка брифів з клієнтами для подальшого використання в дизайні
- Аналіз запитів клієнтів для створення ефективних рішень
- Створення зручних для користувача дизайнів
- Аналіз конкурентів та розробка оптимальних веб-рішень для проектів
- Розробка та впровадження UI Kit
- Створення лендінг сторінок та багатосторінкових сайтів
- Розробка адаптивних дизайнів для мобільних пристроїв
- Редизайн існуючих веб-сайтів
- Передача готових дизайнів Frontend спеціалістам."
58,"[Ім'я Прізвище]

[Контактна інформація]

Мета:
Прагну розвиватися в сфері UI/UX дизайну, використовуючи свій досвід та навички для створення інноваційних рішень.

Досвід роботи:

1. Вчитель Веб дизайну для дітей, IT школа  
   Серпень 2021 - теперішній час  
   - Ефективна комунікація з учнями  
   - Розробка та створення навчальних матеріалів  
   - Викладання основ композиції, типографіки, колористики  
   - Навчання роботи з Figma та її інструментами  
   - Керівництво створенням трьох проєктів: лендінг пейдж, веб додаток, багатосторінник  

2. Проджект-менеджер, Проєкт “Люмос”  
   - Розробка презентацій  
   - Пошук та комунікація з психологами  
   - Ідентифікація потенційних проблем та розробка рішень  

3. Волонтер, Подкаст “Pro DivChat”  
   - Дослідження та вибір актуальних тем  
   - Підготовка та створення контенту  
   - Просування проєкту в Instagram  
   - Управління сторінкою в Instagram  

Навички:
- Володіння Adobe Photoshop, Adobe Illustrator, Figma, Canva, Adobe Lightroom  
- Глибоке розуміння UX процесу  
- Здатність працювати як в команді, так і самостійно  
- Висока мотивація та прагнення до саморозвитку  

Освіта:
[Інформація про освіту, якщо є]

Додаткова інформація:
- Активна участь у студентському самоврядуванні  
- Інтерес до UI/UX дизайну та постійне вдосконалення навичок у цій сфері  

[Дата]"
59,"Індивідуальне підприємництво / приватна практика / Фріланс  
Москва  
UX / UI дизайнер  

1. Дизайн користувацького досвіду:  
   - Розробка користувацьких та проектних потоків  
   - Проведення аналізу завдань  
   - Проведення аудиту конкурентів  
   - Використання методів дослідження: JTBD, матриця пріоритетів  
   - Застосування кількісних та якісних методів дослідження  
   - Створення інформаційної архітектури  
   - Розробка каркасів, прототипів Lo-Fi і Hi-Fi  

2. Візуальна концепція:  
   - Створення UI Kit  
   - Розробка та розвиток дизайн-систем  
   - Знання iOS & Android Guidelines  
   - Розробка адаптивного веб-дизайну  

3. Передача макетів в розробку."
60,"Ключові навички

Навички:
- Розуміння принципів UX
- Вміння створювати детальні прототипи у Figma
- Знання гайдлайнів iOS та Android
- Розуміння принципів адаптивного дизайну
- Вміння працювати у команді, уважність до деталей
- Розробка логотипів
- Пошук та обробка графічного контенту

Курси:

Creative practice ""UX/UI. Проектування та дизайн інтерфейсів""
- online, 2022
- Поглибила знання з проектування екранів інтерфейсу та їх інтерактивних прототипів
- Створення інтерактивного прототипу застосунку

Way up ""Графічний дизайнер: запуск""
- online, 2021
- Навчилась створювати іконки та логотипи в Adobe Illustrator

Way up ""Веб дизайнер: щасливий квиток до Таїланду""
- online, 2021
- Навчилась працювати у Figma:
  - Використання Auto layout, Layout grid і напрямних, компонентів
  - Створення клікабельного прототипу

Photoshop:
- Обробка фото
- Колажування"
61,"Лютий 2023 р. – Теперішній час – Фріланс

Посада: Дизайнер ретушер, Графічний дизайнер, UI/UX Designer

Обов'язки:
- Дизайн сайтів
- Створення галерей з товарів
- Корекція кольору предметів
- Видалення/заміна фону
- Предметна ретуш
- Ретуш портретів
- Обробка та підготовка предметів для інтернет-магазинів
- Розробка банерів
- Дизайн візиток
- Створення рекламних листівок

Березень 2016 р. – Лютий 2023 р. – PARTS iD, LLC, USA

Посада: Graphic Designer and Retoucher

Обов'язки:
- Створення галерей, схем та іконок для інтернет-магазинів
- Зміна властивостей-характеристик товарів на зображеннях
- Створення високоякісних зображень з нуля
- Стандартизація зображень товару
- Видалення watermark різної складності
- Ручна та автоматизована пакетна обробка великої кількості зображень

Досягнення:
- Глибокі знання Adobe Photoshop
- Використання єкшн в Photoshop та XnConvert для підвищення продуктивності

Додаткові обов'язки:
- Виконання обов'язків тімліда за його відсутності
- Керування співробітниками
- Співпраця з відділом PM
- Ведення проектів та звітності
- Контроль за виконанням завдань"
62,"Створюю лендінги та мобільні додатки, продовжуючи навчання та вдосконалення навичок у цій сфері.

Майстер-класи:
- Розробка лендінгу
- Розробка та прототипування мобільного додатку

Відповідальна, організована, швидко навчаюсь. Маю велике бажання знайти роботу Junior UI/UX Designer для покращення навичок, навчання новому та отримання професійного досвіду."
63,"Оля

Контактна інформація: [ваша електронна адреса] | [ваш номер телефону] | [посилання на ваш профіль LinkedIn або портфоліо]

Мета:
Шукаю свою першу роботу на посаді Junior дизайнер. Хочу повністю поринути у світ дизайну, працювати в команді, розвивати свої навички та здобувати досвід.

Професійні навички:
- Володіння Figma, Photoshop
- Базові навички Adobe Illustrator
- Розробка прототипів
- Створення Landing Page
- Знання HTML, CSS, базова верстка
- Основи композиції, кольору, типографіки
- Робота з графічним планшетом
- Основи UI/UX дизайну
- Досвід взаємодії з людьми
- Знання ПК та офісних програм
- Досвід роботи з касою і 1С
- Консультування по товарах та послугах

Особисті якості:
- Тайм-менеджмент (вчасна здача проектів, дотримання дедлайнів)
- Здатність швидко навчатися
- Вміння працювати в команді, розв’язувати конфлікти
- Працьовитість, відповідальність, уважність до деталей
- Порядність, пунктуальність
- Відсутність шкідливих звичок

Освіта та курси:
- Prometheus: Основи Web UI розробки (2022 р.)
- HTML CSS JS course Freelancer LifeStyle (2023 р.)
- ""Веб майстерня 3.0"" курс веб-дизайнера (2023 р.)

Досвід роботи:
12 років досвіду в різних сферах (фармацевт, менеджер по заявкам, офіс-менеджер, адміністратор, оператор), але не в IT. Дуже цікавлюся цією сферою і готова вчитися та працювати.

Якщо вас зацікавила моя кандидатура, буду щаслива працювати у вашій команді."
64,"Досвідчений фахівець з 6-річним досвідом у сфері гостинності, що дозволяє ефективно взаємодіяти з різними людьми, працювати в команді, вести переговори та вирішувати різноманітні задачі.

Маю навички у створенні вебсайтів та розробці мобільної адаптації, зокрема в композиції, кольорах та типографії.

Перед початком проєкту проводжу UX дослідження, включаючи збір вимог замовника, аналіз конкурентів, SWOT аналіз, користувацькі інтерв'ю та створення User persona. На основі зібраних даних готую презентацію.

Розробляю User-flow, Site map та Wireframe/Prototype.

Володію навичками роботи з компонентами та Auto Layout.

Професійно володію програмами: Figma, Adobe Photoshop, Adobe Illustrator, Adobe Lightroom, Microsoft Office, Google Sheets, Google Docs."
65,"Досвід роботи на фрілансі протягом 6 місяців, співпраця безпосередньо із замовниками. Розробка інтерфейсів для сайтів салонів краси, йога-студій, онлайн-магазинів прикрас та косметики. Досвід створення дизайну для сайтів-візиток та промо-сайтів.

Розуміння основних принципів верстки на HTML та CSS.

Мета: створення простих у використанні та прибуткових сайтів. Вміння визначати цільову аудиторію, виявляти її потреби та задовольняти їх.

Знання теорії кольорів та їх впливу на клієнтів, основних правил типографіки. Вміння створювати адаптивні версії сайтів."
66,"Досвід роботи в e-commerce: 6 років. Починала як онлайн-менеджер (оформлення замовлень на сайті). Працювала в команді маркетингу на посаді адміністратора сайту, займалася трьома сайтами на OpenCart та одним на Shopify.

Основні обов'язки:

1. Управління контентом трьох сайтів.
2. Контроль наявності повного асортименту продукції на сайті.
3. Аналіз та розробка стратегії вдосконалення веб-ресурсу.
4. Постановка завдань та контроль виконання для програмістів, дизайнерів та копірайтерів.
5. Підготовка сайтів до акцій, сезонних розпродажів.
6. Оптимізація та контроль взаємодії CMS із CRM.
7. Впровадження та контроль API на сайті.
8. Підключення платіжних систем.
9. Вдосконалення UX шляху клієнта, збільшення конверсії, прибутку, середнього чека сайту.
10. Впровадження SEO-рекомендацій.

Додаткові завдання: аудит юзабіліті та аналіз конкурентів інших сайтів за запитом, написання стратегій сайтів на 6 місяців. Для кращого розуміння поведінки користувачів, роботи у Figma та роботи дизайнера при постановці задач, закінчила курси веб-дизайну в Камі.

Досвід редизайну сайту на тему працевлаштування в Чехії, реальний проект:

1. Додано 10 нових сторінок - десктоп та мобайл.
2. Заміна дизайн-системи на нову.
3. Вибір нового шрифту."
67,"[Ваше ім'я]

**Контактна інформація**  
[Ваш номер телефону]  
[Ваш email]  
[Ваш LinkedIn профіль, якщо є]  

---

**Досвід роботи**

**Apple Sales Consultant**  
PLC ""ASBIS Ukraine""  
02.2021 - до теперішнього часу  

- Консультація клієнтів щодо продукції Apple
- Забезпечення високого рівня обслуговування клієнтів
- Досягнення цілей продажів та KPI

**Store Manager**  
LLC ""Allo""  
02.2019 - 02.2021  

- Управління та координація персоналу (до 5 осіб)
- Робота з показниками команди та її розвиток
- Взаємодія з внутрішніми та зовнішніми клієнтами
- Досягнення цілей KPI
- Контроль за дотриманням процедур компанії в магазині

**Depute Store Manager**  
LLC ""Allo""  
06.2018 - 01.2019  

- Підтримка менеджера магазину в управлінні персоналом
- Допомога в досягненні цілей продажів

**Sales Manager**  
LLC ""Allo""  
11.2017 - 05.2018  

- Продаж товарів та послуг
- Взаємодія з клієнтами для визначення їх потреб

---

**Навички**

- Досвід роботи в продажах
- Розуміння потреб клієнтів
- Базовий дизайнерський досвід (навчальні проекти)
- Готовність виконати тестове завдання

---

**Освіта**

[Ваш навчальний заклад, спеціальність, роки навчання]

---

**Додаткова інформація**

- Досвід може бути корисним в e-commerce проектах
- Готовий до нових викликів та навчання."
68,"[Ім'я Прізвище]

[Контактна інформація]

ПРОФЕСІЙНИЙ ДОСВІД

UI/UX Дизайнер
- Розробка web-сайту для бюро дизайну інтер'єрів у стилі мінімалізм з використанням Figma, Affinity Photo, Affinity Designer.
- Створення айдентики для студентської ради університету.

Дизайнер фізичних продуктів
- Розробка дизайну деталей для подушок Emoji у Woop Smile.
- Дизайн корпусу комп'ютера в стилі Apple.

НАВИЧКИ
- Впевнене володіння графічними редакторами.
- Використання AI інструментів у роботі.
- Базові знання програмування, розуміння принципів ООП.
- Досвід роботи з JS, CSS 3 та HTML 5.

ОСВІТА
- [Назва університету], [Факультет/Спеціальність]

ЦІЛІ
- Поглиблення знань у сфері UI/UX дизайну.
- Дослідження бізнесу та цільової аудиторії.
- Робота з перспективними інструментами та технологіями для професійного розвитку."
69,"Маю досвід у фрілансі в галузі розробки та дизайну.

**Освіта:**

**Front-end (базовий рівень):**
- HTML5/CSS
- Верстка макетів з нуля
- Flexbox
- JavaScript (базовий)
- Робота з GIT
- SCSS

**Web-design, UI/UX Pro:**
- Аналіз та дослідження конкурентів
- Аналіз цільової аудиторії
- Глибинні інтерв'ю, створення персонажів
- CJM та методи пріоритизації
- Прототипування у Figma
- Розробка та дизайн інтерфейсів."
70,"Менеджер по роботі з клієнтами – 07.2020 по нині  
ТОВ «Українська універсальна біржа» (майданчик публічних закупівель)  

Обов’язки:  
- Консультація клієнтів щодо публічних закупівель  
- Ведення та оновлення даних в CRM та Slack  
- Адаптація до змін у законодавстві та на майданчику, вивчення нової інформації у сфері державних закупівель  "
71,"Влад

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто]

Мета:
Прагну приєднатися до вашої команди на постійній основі, використовуючи свій досвід у дизайні для створення якісних та креативних рішень.

Досвід роботи:
Фріланс-дизайнер
- Створення креативів і зображень для соціальних мереж та вебсайтів
- Розробка логотипів
- Дизайн вебсайтів та лендінгів

Навички:
- Володіння CSS та HTML
- Креативний підхід до дизайну
- Здатність працювати в команді та самостійно

Освіта:
[Ваша освіта, якщо є]

Буду радий обговорити можливості співпраці та відповісти на ваші запитання."
72,"Мій шлях у веб-дизайні розпочався з курсу Web-design в Projector University. Після завершення курсу я пройшов стажування в студії A4 Collective, яке завершилося через початок повномасштабного вторгнення росії. Після цього я почав працювати на фрілансі. Через кілька місяців мене прийняли на посаду Junior UX/UI Designer в Skykillers. Моя основна мета зараз — набуття досвіду та нових навичок."
73,"Знання англійської мови (С1), французької мови (B2). Досвід роботи в міжнародній японській школі з вивчення англійської мови та філологічна освіта. Пройдено курс веб-дизайну.

Навички викладання для людей будь-якого віку, використання комунікативної методики, розуміння міжособистісної та міжкультурної комунікації. Досвід написання іншомовних текстів різних напрямів та тематики.

Маю бажання працювати в IT-сфері за новим напрямом, щоб розкрити та розширити свої навички та потенціал. Цікавить робота з текстами, людьми або дизайн."
74,"[Ваше ім'я]

[Контактна інформація]

---

**Професійний профіль**

UI/UX дизайнер з досвідом участі в навчальних та реальних проектах, включаючи фріланс проекти та взаємодію з реальними замовниками. Володію навичками проведення якісних і кількісних досліджень, аналізу потреб користувачів, прототипування та дизайну інтерфейсів, розробки UI-kit. 

**Освіта**

- Курси UI/UX Design from Scratch, Beetroot Academy
- Курси UX Design Beginning, Projector Institute

**Навички**

- Проведення якісних і кількісних досліджень
- Аналіз потреб користувачів
- Прототипування та дизайн інтерфейсів
- Розробка UI-kit
- Володіння Figma, Sketch, Miro
- Робота з Adobe XD і Adobe Photoshop

**Досвід роботи**

- Участь у навчальних та реальних проектах
- Фріланс проекти
- Спілкування з реальними замовниками
- Робота в команді з іншими дизайнерами

[Додаткова інформація, якщо є]"
75,"Розробляла лендінги та багатосторінкові сайти. Вивчала айдентику та психологію кольору. Розумію процес розробки сайту: побудова сітки, поведінка користувача, підбір кольорів, гарнітури, візуалізація. Вмію робити сайти інтуїтивно зрозумілими для користувача.

Освіта:
- Академія ШАГ, напрямок ""Комп'ютерна графіка та дизайн""
- Курси UI/UX дизайну від WayUp, Alpaca School

Практичний досвід:
- Розробка лендінгу для туристичного агентства
- Створення багатосторінкового сайту для аптечного сервісу з пошуку ліків

Мета: Прагну приєднатися до команди, яка захоплена своєю справою. Ціную можливість переймати досвід у досвідченіших колег та кар'єрний розвиток у компанії."
76,"Курси англійською від Google з основ UX Дизайну та від Університету Міннесоти з основ UI дизайну.

Досвід у навчальних проектах та фрілансі. Основні завдання: дизайн сайтів, мобільних додатків, банерів для соціальних мереж, редизайн каталогу продукції, розробка презентацій. Виконання досліджень конкурентів, вивчення цільової аудиторії, побудова інформаційної архітектури, створення персони, складання прототипів."
77,"По закінченню курсу ""Основи Web дизайну"" отримала перше замовлення та створила логотип. Наразі завершую курси ""UI/UX Design"". Володію навичками проектування цікавих, привабливих і зручних інтерфейсів, створення персонажів, дослідження конкурентів та вимог користувачів, збирання прототипів і їх тестування."
78,"Досвід роботи:

1. Компанія з розробки мобільних ігор
   - Проведення аналізу конкурентів для визначення ринкових тенденцій
   - Співпраця з розробниками для оптимізації процесу створення гри
   - Розробка макетів гри відповідно до технічного завдання
   - Анімація екранів та персонажів для покращення візуального сприйняття
   - Моніторинг нових тенденцій у галузі мобільних ігор
   - Дизайн презентацій для розміщення в Apple Store

2. Помічник дизайнера
   - Редизайн сайтів для покращення користувацького досвіду
   - Заміна елементів у новому дизайні для відповідності сучасним стандартам
   - Створення додаткових екранів, дотримуючись заданої стилістики"
79,"Професійний профіль

Молода спеціалістка з дизайну, яка швидко навчається та прагне розвиватися у сфері веб та графічного дизайну. Завершила навчання в українській IT школі, де значно покращила свої навички та отримала позитивні відгуки від куратора. Маю велике бажання працювати в дружньому колективі та здобувати практичний досвід.

Освіта

Українська IT школа
- Завершила курс з веб та графічного дизайну
- Покращила навички дизайну та створила якісне портфоліо

Додаткова освіта

- Відвідала численні вебінари з веб та графічного дизайну

Навички

- Веб-дизайн
- Графічний дизайн
- Швидке навчання
- Творчий підхід

Мета

Прагну працювати у сфері дизайну, розвивати свої творчі здібності та здобувати практичний досвід у дружньому колективі. Вірю, що головне — це бажання та любов до своєї справи."
80,"Досягнення: Успішно завершив курси з UI/UX дизайну в IT Step Academy з відзнакою.

Досвід роботи: Участь у розробці мобільного додатку E-Profi для Міністерства Освіти України. Виконував роль мобільного дизайнера, створюючи дизайн для екранів користувача, компанії та навчального закладу. Забезпечив зрозумілість взаємодії з компонентами інтерфейсу для користувачів. Розробив логотип програми, що відображає її тематику.

Професійні інтереси: Зосереджений на мобільному дизайні."
81,"Досягнення в сфері дизайну включають успішне завершення курсу IT Generation, де я отримав грант на навчання серед сотні тисяч претендентів. Хоча я не маю професійного досвіду роботи дизайнером, я відзначаюся великою наполегливістю та бажанням розвиватися.

Під час навчання я розробив проекти Landing Page, Mobile App та E-commerce. Mobile App та E-commerce були створені з нуля, включаючи дослідження ринку, аналіз конкурентів, дослідження цільової аудиторії (user-інтерв'ю, протоперсона, CJM, user-cases), розробку User flow та інформаційної архітектури сторінки.

Я прагну працювати з креативними людьми та розвиватися в сфері дизайну, створюючи якісні продукти та роблячи світ кращим."
82,"III місце на всеукраїнській універсіаді КіМу 2018

Під час своєї кар'єри у сфері UI/UX дизайну, я пройшов ряд повчальних програм і курсів, щоб поглибити свої знання і навички. Мої учителі і ментори надихнули мене і поділилися цінною інформацією, яка стала фундаментом для мене. Особливо важливим досвідом для мене було спілкування з підприємцем, у якого була власна студія по дизайну. Його досвід дав мені розуміння цінності дизайну у бізнесі і важливості забезпечення задовільного призначеного для користувача досвіду.

Мої очікування від роботи у сфері UI/UX дизайну після повернення в цю область дуже високі. Я розумію, що багато речей могли змінитися відколи я працював в цій сфері востаннє, і я готовий узяти на себе виклики, які мають відбутися.

Професійний розвиток: Я чекаю, що зможу активно розвивати свої навички і знання в області UI/UX дизайну. Ця сфера постійно еволюціонує, і я готовий вчитися новим інструментам і методологіям.

Творчість і самовираження: Мені важливо мати можливість проявляти свою творчу натуру через дизайн. Я сподіваюся, що зможу працювати над проектами, які дозволять мені надавати інтерфейсам унікальний і привабливий вид.

Відповідальність і вклад: Я хочу внести свій вклад в проекти і компанію, для якої працюватиму. Чекаю можливості працювати над важливими завданнями і бачити результати своєї роботи.

Дотримання термінів і професійне зростання: Мені важливо працювати в динамічному середовищі, де дотримуються терміни і де я можу рости професійно. Я готовий до викликів і готовий довести свою цінність в цій сфері."
83,"UI/UX дизайнер

Досвід:
- Виконання фріланс-проектів з розробки дизайн-систем, проведення досліджень, створення презентацій та ваєрфреймів.
- Участь у курсі з основних принципів дизайну, прототипування, інклюзивного дизайну, дизайн-мислення та атомарного дизайну.
- Використання Figma як основного інструменту, базові знання Adobe.
- Реалізація мобільного застосунку на фіналі курсу.
- Навички роботи з людьми та в команді.

Бажані умови роботи:
- Дружній колектив
- Лояльне керівництво
- Чітка постанова завдань
- Порозуміння керівництва з працівниками

Переваги:
- Робота в продуктовій компанії
- Можливість кар'єрного росту
- Участь у тренінгах, вивчення англійської та інші ресурси для розвитку
- Інтерес до роботи як у великому проекті, так і в маленькій команді."
