,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
3105,"Results-driven leader with 10+ years of experience in management and technology roles in IT outsource and outstaff, delivering strategic initiatives that drive improvement in systems, processes, and bottom-line results. Proven track record of strengthening compliance, improving processes, and elevating output, quality, customer satisfaction, and employee morale.

Key expertise includes:
- Establishing and improving PMO and delivery management for 50+ employees
- Pre-sales, risk management, budgeting, and cost-controlling
- Process improvements, quality management, and leadership
- People management, Lean Agile, and rolling wave planning

Achievements include conceptualizing and executing program vision from start to finish, managing complex milestones, and adapting to changes and shifting priorities. Skilled in leading international, cross-functional, and distributed engineering teams to deliver strategic initiatives that drive improvement in systems, processes, and financial results.

Highly effective in managing stringent budgets, fueling cost savings, improving delivery, and forecasting additional needs. Experienced in working closely with national and international clients, with the ability to travel. Committed to stimulating and rewarding career development, with a focus on professional and personal growth."
3113,"Summary: Results-driven IT professional with over 10 years of experience, holding multiple certifications in project management, product ownership, Scrum mastery, and Agile coaching.

Certifications:
- PMP (Project Management Professional) by PMI
- CSPO (Certified Scrum Product Owner) by ScrumAlliance
- CSM (Certified Scrum Master) by ScrumAlliance
- SASM (SAFe Advanced Scrum Master) by ScrumAlliance
- KSD (Kanban Management Professional) by Kanban University
- Kanban Maturity Model course by Kanban University
- Kanban Coaching Practices course by Kanban University
- ICP-ACC (ICAgile Certified Agile Coach) by ICAgile
- Certified Trainer by ICAgile
- RPOAS (Registered Product Owner at Scale) by Scrum at Scale
- RSASF (Registered Scrum at Scale Fundamentals) by Scrum at Scale

Experience:
- Facilitator and member of the International Association of Facilitators (IAF)
- Proven experience with RUP, Waterfall, and Agile methodologies
- Delivered web and mobile projects in multiple sectors, including healthcare, education, social media, and insurance
- Experienced in product and business analysis

Skills:
- SQL
- BPMN
- UML (basic level)
- MS Office: MS Project, Word, Excel, PowerPoint, Outlook
- Proficient in various tools, including Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io

Language:
- English: Upper-Intermediate"
3118,"Summary:
Results-driven IT professional with a strong foundation in computer science and project management, proven to deliver successful projects and lead high-performing teams.

Education:
Warsaw University of Technology, Faculty of Computer Science, English program, study grant recipient, attended for 1 year and 6 months.

Experience:
Front-end Developer (4 months)
Project Manager (1 year)
Tech Lead, Project Manager Department (1 year and 3 months)
Single Point of Contact (2 months)

Key Achievements:
Launched 8 new domains for a Fortune TOP 500 company, exceeding initial expectations
Collaborated with USA stakeholders on a large-scale website project

Public Speaking:
Presented lectures on project management topics at 3 annual conferences, covering planning, approval processes, customer understanding, team atmosphere, and project realization

Work Environment:
Proven ability to thrive in a collaborative office setting, prioritizing customer satisfaction and team collaboration

Additional Information:
Available upon request: detailed CV with technical skills and previous project information"
3120,"**Summary**
Results-driven professional with proven experience in project management and team leadership, skilled in multiple methodologies and tools.

**Technical Skills**
- Agile methodologies: Scrum, Kanban
- Project management tools: 
  - Collaboration: Confluence, Trello
  - Issue tracking: Jira, Redmine, VSTS
  - Customer relationship management: Salesforce
  - Professional services automation: Kimble

**Project Experience**
- Successfully managed projects with diverse pricing structures, including time and material and fixed price engagements
- Delivered solutions across various sectors, including enterprise, e-commerce, financial services, and big data analytics

**Management Skills**
- Strategic risk management
- Effective time management
- Cost management and budgeting
- Scheduling and resource allocation
- Team leadership and development
- Clear communication and stakeholder engagement
- Negotiation and conflict resolution"
3122,"Agile Delivery Management
- Managed version planning, built versions via Jenkins and GitHub Actions, and deployed to Azure and AWS environments (dev and production)
- Set up and streamlined delivery and release processes from scratch

Scrum Master Responsibilities
- Organized and led Scrum Events
- Maintained Scrum Artifacts

Project Management
- Created roadmaps, resource plans, project charters, and reports
- Mitigated risks and focused on regular and timely delivery of value
- Wrote Business Requirements, User and Job stories
- Conducted investigation research in the project domain to collect important information

Collaboration and Communication
- Worked closely with development teams, UI/UX teams, and stakeholders to contribute to project development
- Participated in pre-sales, meetings with clients, and prepared estimations and proposals

Leadership and Team Management
- Led teams, including daily stand-ups, 1:1 meetings, retrospectives, task management, skills development, and issue resolution
- Created supporting documentation

Professional Experience and Preferences
- Utilized diverse experiences to achieve results and continued learning and self-development
- Focused on contributing to projects that positively impact the world, avoiding domains such as betting, gambling, banks, and dating"
3123,"Certified Agile Project Manager
Certified Scrum Master
Kanban, DSDM, Agile Project Management

Experience:
- Created IT projects from scratch
- Led projects with 80+ members
- Successfully finished dozens of projects in PM, UX, BA, and QA roles
- Managed long-term products
- Conducted medical, business, and educational projects/products
- Implemented business analysis stage in customer relations
- Discovered new Western markets
- Hired developers
- Grew startups

Technical Skills:
- Jira
- iOS
- Android
- PHP
- Drupal
- Redmine
- Axure
- Mindmap
- UI/UX

Soft Skills:
- Advanced Business English
- Business Analysis
- Sales & Account management
- Scope clarification and prioritization
- Influencing
- Leading
- Delegating
- Remote team management
- Change/Risk management
- Powerful tech background
- Prototype development

Work Environment:
- Informal setting
- Adequate management
- Product company
- Professional growth opportunities
- Office located near metro"
3133,"8 years of experience in Project Management, Business Analysis, and Scrum Mastery in outsourcing and product environments.

Key Expertise:
- Agile project management (Scrum, XP, Kanban)
- Product and Business Analysis
- Presales (solution design and estimation)
- Team and Project Management (leading 3-9 member teams, multiple projects)

Agile Adoption and Coaching:
- Guiding teams and customers in adopting Agile methodologies and practices (MVP, feedback loops, CI, PP, TDD, CR)
- Organization-wide process improvement (Presale, Hiring, Onboarding, Feedback)
- Certified coaching skills for 1:1 and group facilitation

Industry Experience:
- Web
- E-commerce
- Gaming

Operational Approach:
- Ensuring transparent communication and process simplicity
- Managing 1-3 simultaneous projects/teams or 1-2 projects/teams with presale involvement"
3134,"Project Manager/Scrum Master
Bitbay.Market, 01/2018 - 06/2018
- Managed the Kharkiv Blockchain project, a suite of free-to-use, multi-platform applications including the world’s first fully-functional Decentralized Marketplace
- Successfully delivered the MVP two weeks ahead of schedule, resulting in the client receiving a large investment of over $1 million
- Utilized Agile methodologies, including Scrum, Kanban, Lean, and XP, as well as Waterfall, with expertise in PMO, briefs, estimation, project planning, reports, Gantt charts, risk management, and resource management
- Employed touch typing skills

Project Manager/Scrum Master
Sensorama Lab, 07/2018 - 06/2028
- Implemented agile methodologies and principles across the organization
- Managed sprint planning, stand-ups, reviews, and retrospectives with the team and Product Owner
- Collaborated with the Product Owner to define, document, maintain, and communicate the roadmap across the organization
- Created briefs, estimations, project plans, and other documentation
- Translated discussions into detailed user stories, epics, and tasks, managing story writing, prioritization, tracking, and acceptance of the product backlog
- Managed release scope and schedule, focusing on regular and timely delivery of value, and prepared, maintained, and communicated schedules, documentation, and statuses
- Ensured the product backlog was prioritized, groomed, and refined to avoid ambiguity in specifications
- Worked with management and other leaders to identify and implement team processes and workflow improvements
- Defined and refined agile metrics and reporting to understand and communicate team performance

Project Manager
Maybe.Works, 01/2017 - 06/2018
- Led a team of developers, designers, 3D artists, and QA testers through the entire project lifecycle using Agile development methodologies
- Served as the main client contact for all project-related communication, building strong relationships
- Created and managed schedules, user stories, risk mitigation plans, scope and budget tracking, and other production-related items to ensure the team stayed on track to meet delivery and launch milestones
- Sourced and managed external partners, ensuring clear transfer of project requirements and timelines, and closely tracked progress for out-of-office teams
- Reviewed contracts and authored change orders as necessary"
3135,"Certified SAFe 5 Agilist

Endava, December 2021 - Present
Agile Project Manager
- Managed FinTech & Banking Project, delivering the main part of the Product's Annual Roadmap on time and within budget
- Resolved scope creep issues and managed dependencies with third-party vendors
- Fostered a trustworthy and transparent environment through effective communication, stakeholder management, and reporting
- Led Data centre to AWS migration Project, creating a roadmap for Discovery and Migration Strategy
- Facilitated the Discovery process, including communication planning and workshop organization
- Managed resources, including team ramp-up and onboarding process

Key IVR, March 2020 - November 2021
Technical Project Manager
- Delivered 15+ projects on time and within budget
- Utilized knowledge of major International Gateways (Barclays EPDQ, WorldPay, Global Payments)
- Conducted high-level technical reviews of specifications

Zeroqode, March 2019 - March 2020
Project/Product Manager
- Improved Backlog Health Status by introducing Definition of Ready (DoR) and Definition of Done (DoD), enhancing estimation accuracy
- Developed and launched a new landing page for a company product, setting up metrics and customer behavior tracking
- Analyzed data to increase conversion by 10% and reduce CPA
- Executed a growth-hacking campaign, resulting in 15% new clients with various subscription plans
- Engaged in customer development through direct communication, surveys, and other initiatives

Enticon.app, December 2018 - February 2019
Project Manager
- Configured workflow for the first Kanban development team
- Decomposed technical assignments into estimable tasks
- Created and managed the onboarding process for new team members
- Provided reporting to C-Level management

EBS Integrator, September 2018 - December 2019
Project Manager
- Developed a comprehensive project plan for the Fix Price project, encompassing scope, time, cost, quality, HR, communication, and RAID management
- Tracked major project metrics
- Communicated with clients through weekly reporting and led demo sessions

GoSocial, February 2018 - September 2018
Project Manager
- Delivered 2 web projects within budget and time, managing on-site and outsourced development teams
- Collaborated with internal departments (Design, SMM) to achieve post-launch goals

Product Owner Mentoring Program, Pentalog

Seeking opportunities that offer:
- Professional growth and development
- A collaborative and supportive work culture valuing teamwork, open communication, and mutual support
- Competitive compensation and benefits
- Work-life balance"
3136,"Results-driven IT professional with a strong background in team management and Scrum process knowledge, offering a proven track record of building and leading successful teams in challenging environments.

With over 13 years of IT experience, initially as a web developer, and transitioning to project management four years ago, I possess a unique blend of technical and leadership skills. My expertise includes managing teams of 2 to 24 developers on diverse projects, such as web, data-driven, and mobile applications.

Key strengths include:
- Effective people management
- In-depth knowledge of Scrum processes

I am adept at handling mid-sized projects with teams of around 18 people, with the capability to scale and grow. I am passionate about leading projects that have the potential to make a positive impact globally."
3137,"Agile Project Manager
Summary:
Results-driven Agile Project Manager with a proven track record of delivering projects and building high-performing teams, leveraging expertise in Scrum, Kanban, Nexus, and SAFe across fintech, health, e-commerce, social networks, education, and other industries.

Experience:
- Implemented Agile practices in 14 teams, establishing Scrum frameworks in 5 teams from scratch
- Successfully managed over 100 production releases, ensuring timely and quality delivery
- Served as Crisis Manager, transforming a team to achieve regular monthly releases from a zero-release state
- Developed and refined processes spanning idea conception to development, testing, and release
- Effectively managed project scope, release, personnel, risk, quality, and stakeholder engagement
- Ensured the successful delivery of team projects, prioritizing quality and stakeholder satisfaction
- Contributed to the development of process standards, approaches, and culture within development teams
- Built and maintained the Project Management department, conducting interviews for project management roles and technical specialists
- Coordinated cross-functional collaboration between design and development departments

Skills:
- Agile methodologies: Scrum, Kanban, Nexus, SAFe
- Project management: scope, release, people, risk, quality, and stakeholder management
- Process development and implementation
- Team management and leadership
- Crisis management
- Interviewing and recruitment

Work Preferences:
- Flexible work arrangements with options for office or remote work
- A product-focused company with a positive work environment
- Opportunities for process innovation and participation in decision-making
- Emphasis on enhancing development process quality, speed, and transparency"
3138,"Results-driven Project Manager with 3 years of experience in managing projects, minimizing wasted effort, and driving teams to focus on client goals.

Proven track record of:
- Collaborating with software development teams to achieve project objectives
- Advising upper management on the implementation of Scrum and Agile principles

Key Accomplishments:
- Successfully defined and implemented a Jira environment with customized components and swimlanes
- Enhanced developer experience through improvements in management platforms

Available for contact Monday through Friday, GMT+4 time zone."
3139,"Certified Scrum Master with SAFe certification and certifications in Soft Skills and Project Management from ITEA

Summary:
Results-driven professional with proven experience in managing full project lifecycles, leveraging a strong background in web development and project management to deliver high-quality results.

Key Achievements:
- Successfully managed multiple projects simultaneously, including 2 large and 3 small projects, while completing a web solution for financial analysis.
- Played a key role in launching an IT Project Management Process using Scrum methodology from inception.
- Received positive feedback from clients, demonstrating ability to deliver high-quality results.

Education and Training:
- Completed a course in PMP Exam Preparation to apply worldwide project management practices.

Professional Experience:
Scrum Master
- Managed full project lifecycles for web development projects, ensuring timely delivery of high-quality products within budget.
- Coordinated project discovery, team stand-ups, retrospectives, estimations, and sprint planning meetings.
- Utilized Jira and Confluence for sprint planning, task creation, and time tracking.
- Fostered a positive working environment by developing personal growth opportunities and reviewing team members' performance.
- Successfully led a remote team of 19 members.

Skills:
- Project Management
- Scrum Methodology
- Team Leadership
- Remote Team Management
- Budget Management
- Time Tracking and Management
- Jira and Confluence

Career Expectations:
Seeking a challenging project with a friendly team that offers opportunities for self-development and growth."
3140,"Results-driven professional with over 4 years of experience in the Game industry, serving in roles such as Scrum Master, Scrum Coach, Project Manager, and Group Manager.

Key Achievements and Responsibilities:
- Spearheaded department growth from 10 to 40 employees
- Successfully implemented Agile values and principles across 40+ team members
- Drove the adoption of scaled Agile best practices and tools to maximize business and product value delivery
- Fostered a culture of quality, promoting a zero-defect approach across teams
- Effectively managed and developed personnel within a matrix-like organizational structure, overseeing individual HR processes
- Led company-wide continuous improvement initiatives in process and engineering practices
- Successfully managed day-to-day operations of dispersed teams in Kiev, Kharkov, and Dnipro, comprising 20+ team members
- Empowered teams to become self-organized Scrum teams, capable of executing plans and meeting commitments
- Provided coaching and guidance to Scrum Masters on team ceremonies, release planning, dependency and risk management, and impediment resolution
- Supported development processes and team performance measurement

Seeking a challenging role that leverages my skills and experience, allowing me to achieve exceptional results and reach my full potential."
3141,"Results-driven Agile Project Manager
with over 5 years of experience in managing global cross-functional teams
Delivering high-quality projects across iOS, Android, and Web development platforms
Proven track record of successfully leading teams utilizing agile methodologies to drive project success
Adept at fostering innovation and collaboration to deliver new and interesting projects, driving business growth and excellence."
3142,"Pacto Systems, Ltd, UK
Scrum Master/Agile Project Manager
08/2017 – Present

Results-driven Scrum Master and Agile Project Manager with a strong background in team management, operations management, and client relationship management. Proven track record of successfully managing the development of cloud platforms and web applications, with a solid knowledge of SDLC and strong communication skills.

Key Responsibilities:
• Utilized Agile values and principles to integrate methodology into day-to-day operations
• Conducted daily standups,"
3143,"Results-driven professional with 5+ years of experience leading and coaching agile teams, and 3+ years in quality assurance and test automation.

Technical Skills:
- SDLC and CI tools: Jira, Confluence, Jenkins
- Agile methodologies: Scrum, Kanban, Scaled Agile Framework

Professional Experience:
Project Manager and Scrum Master
- Led and coached agile teams for over 5 years, with a focus on efficient process implementation
- Implemented quality assurance and test automation for over 3 years, ensuring high product quality
- Successfully set up development and QA processes tailored to specific organizational needs
- Implemented Scrum and Kanban ceremonies, enhancing team productivity and collaboration
- Scaled agile for multiple teams, totaling up to 100 people, and established effective cross-team communication, synchronization, and release procedures

Leadership and Management:
- Proven experience in people management, including personal development planning, hiring, and on-boarding new team members

Core Values:
- Prioritizing product quality
- Embracing agility and common sense in work processes, minimizing bureaucracy"
3144,"Agile Team Lead

Summary:
Results-driven Agile Team Lead with experience in team management, process implementation, and Scrum framework expertise.

Professional Experience:
Agile Team Lead
- Spearheaded the development of an Agile team from inception, overseeing all aspects of team management and process implementation
- Facilitated key Scrum ceremonies, including daily scrum, sprint planning, sprint demo, and retrospective meetings to ensure seamless team collaboration and continuous improvement
- Coached team members on Scrum principles and best practices to enhance their understanding and adherence to the framework
- Conducted demo presentations for clients, effectively communicating project progress and outcomes
- Guided the team through estimation and project planning processes, ensuring accurate forecasting and efficient resource allocation
- Successfully onboarded new team members during project execution, integrating them into the team's workflow and ensuring minimal disruption
- Collaborated with the Product Owner to develop and maintain product backlogs, prioritizing tasks and utilizing US templates to ensure clarity and consistency
- Identified and removed impediments to facilitate the Scrum team's progress, ensuring timely issue resolution and minimal delays
- Conducted thorough risk assessments and tracking, proactively mitigating potential threats to project success
- Analyzed user stories and requirements, providing valuable insights to inform project decisions and ensure alignment with stakeholder needs
- Mentored new team members, sharing expertise and guidance to support their professional growth and development

Skills:
Agile Team Management, Scrum Framework, Team Leadership, Process Implementation, Project Planning, Risk Management, Stakeholder Communication, Team Collaboration, Mentorship, User Story Analysis"
3145,"Results-driven Senior Executive with over 10 years of experience in the high-tech field, driving business growth and improvement.

Key Achievements:
- Spearheaded the development of Agrifinance.io from concept to successful product as CTO.
- Led the creation of the world's first crypto-bank at MinexSystems.com as Head of PMO.
- Successfully managed multiple small projects at Prozorro.sale, a state reformatory startup, as Senior Project Manager.

Certifications:
- Certified Project Manager, TUV Rheinland Academy, Cologne, Germany
- Certified Specialist in ISO 9001, Cologne, Germany

Professional Summary:
- Proven track record of managing teams of up to 160 technical personnel.
- Experienced in managing Fixed Price and Time & Material contracts.
- Skilled in Scrum, Kanban, and Waterfall methodologies.
- Certified Project Management Professional with expertise as a Scrum Master.

As a forward-thinking change manager, dedicated to continuous business improvement, with a focus on enhancing revenue and streamlining operations to maximize profit through multifaceted business approaches."
3146,"Certified Scrum Master (PSM I) and Agile Project Manager (ICP-APM)

Results-driven Agile Project Manager with 3+ years of experience delivering successful projects from idea to commercial launch, with a proven ability to lead in-house and distributed development teams within time and budget constraints.

Key accomplishments:
- Implemented Scrum framework, Kanban, and project management tools and techniques in multiple companies and teams
- Improved company structures and processes
- Organized reports, workshops, and meetups on Lean startup, Lean software development, Agile, and Scrum

Possess excellent leadership and communication skills, with the ability to inspire teams to achieve their full potential, and skilled in planning and coordinating project activities to exceed set targets. A decisive and committed individual with a talent for fostering an environment conducive to innovation.

Key strengths:
- Setting up effective working processes for in-house and distributed development teams
- Promoting Agile culture and mindset, with a readiness to drive change in any environment"
3147,"Results-driven IT professional with experience in team management, agile project management, and software development, delivering successful projects including a Fantasy Sport startup and several casino games.

Key Achievements:
- Built and managed two teams in Ukraine: an IT engineer team for software development and an operational team for game/platform operation.
- Implemented agile/scrum framework in the development process, ensuring efficient project delivery.
- Provided mentoring, coaching, and team building to foster a productive and collaborative work environment.
- Successfully delivered a Fantasy Sport startup, operating it as a standalone business.
- Developed and delivered multiple casino games in Flash and HTML, and worked on four mobile projects (iOS and Android), including business documentation and development specifications.

Technical Skills:
- Agile Project Management
- Business Analyst
- PMBOK
- BABOK
- SCRUM
- Kanban
- Waterfall
- Mobile & Web SW development
- iGaming & Casino industry

Business Competence:
- Startup and Business Development
- Marketing and Sales
- Public Speech
- Brand and Product management
- Customer Service
- Company and People Management
- Team building
- Coaching and Motivation

Language Skills:
- English: Fluent
- German: Upper-Intermediate
- Polish: Low-Intermediate
- Ukrainian: Native
- Russian: Native

Work Experience:
- Led a team of 20+ members
- Collaborated with companies from the UK, Germany, and Switzerland

Career Expectations:
- Enterprise-level projects
- Friendly team and atmosphere
- Creative, open-minded, polite, and respectful work environment
- New experiences and challenges
- Professional growth and development opportunities"
3148,"Results-driven Agile Project Manager and Scrum Master with 12+ years of experience in software development, utilizing C/C++ expertise to drive business success. Proven track record of enhancing project processes, developing and implementing best Agile practices, and leading teams to deliver high-quality results. 

Prior experience as a Software Developer and Architect spanned over 10 years, delivering high-quality software solutions to US and European clients and contributing to numerous projects.

Key strengths include:
- Excellent communication, consensus building, and conflict management skills
- Ability to rapidly learn new tools, techniques, practices, and methodologies
- Strong leadership skills, with well-developed networking abilities and a passion for problem-solving and decision-making
- Clear and concise communication of complex information
- Effective liaison between top management, clients, and personnel

Fluent in English, Russian, and Ukrainian, with strong collaboration and communication skills to work with diverse stakeholders."
3149,"Results-driven Agile Project Manager and Delivery Manager with 8 years of experience in IT, leveraging Scrum, Kanban, and Lean techniques to optimize product development and drive high-quality results. Proven track record of successfully implementing the Kanban approach at all levels of the company, utilizing the Kanban Maturity Model and Evolutionary Change Model to drive safe and culturally compatible changes.

Key accomplishments include:
- Delivering a 100% increase in deliverables and a 33% reduction in Time to Market through process optimization and focused delivery
- Leading cross-functional units of 40+ FTEs and managing organizations with 100+ FTEs, utilizing expertise in Agile methodologies to drive efficiency and productivity

A skilled Agile professional with experience working with atomic Scrum teams, applying Agile principles to drive business results, and committed to delivering high-quality products and services. Focused on continuous improvement and optimization, with a strong ability to collaborate and drive success through Agile principles and best practices."
3150,"Summary:
Results-driven Delivery Manager and Scrum Master with experience in managing large-scale projects and cross-functional teams.

Professional Experience:
Delivery"
3153,"Results-driven IT professional with over 11 years of industry experience and 7+ years of expertise in Agile project management. Proven track record of successfully managing dynamically growing teams utilizing Scrum and Kanban process models. Committed to continuous learning and improvement through regular training and professional development. Skilled in Agile, Scrum, Kanban, Project Management, JIRA, Risk Management, Conflict Management, Change Management, Team Building, and Motivation. Proficient in Applications Deployment. Dedicated to fostering growth and collaboration, with a passion for creating a positive and productive work environment. Seeking a dynamic and challenging role in a growing organization that values teamwork, innovation, and employee development."
3155,"Agile Transformation Lead

Summary:
Results-driven leader with experience managing large-scale organizational transformations and implementing agile principles and practices.

Experience:
Agile Transformation Lead
- Led 50+ personnel through organizational change, driving transformation and growth
- Served as Scrum Master for 5 concurrent teams, ensuring effective implementation of agile principles and practices
- Applied Project Management expertise, adhering to PMBOK guidelines to drive project success"
3156,"Scrum Master/Agile Specialist

Key Experience:
* Collaborated with cross-functional teams to enhance efficiency, self-management, and productivity, resulting in improved sprint outcomes and increased readiness criteria
* Facilitated Scrum events, ensuring they were positive, productive, and within designated timeframes
* Removed obstacles to team goals, fostering a collaborative environment and promoting cross-functional cooperation

Product Owner Support:
* Provided support to Product Owners in defining product and sprint goals, managing Product Backlog, and planning
* Facilitated stakeholder communication and interaction, ensuring effective collaboration and alignment with 3 Product Owners

Organizational Development:
* Introduced agile approaches to software development, implementing best practices and optimizing processes
* Adapted and fine-tuned tools to support efficient workflows, creating and implementing new processes as needed
* Fostered productive relationships between teams and departments, providing support for hiring and staff development
* Facilitated interdepartmental cooperation, removing obstacles and ensuring seamless collaboration throughout the organization"
3157,"Gulnar Abasova

Master's Student in International Project Management, Vilnius University
Recipient of the Lithuanian State Scholarship

Agile Project Coordinator
Over a year of experience working with self-managing and cross-functional developer teams, both remotely and in-office
Key responsibilities:
- Facilitating Scrum events, including sprint planning and sprint retrospective
- Tracking project schedules and ensuring timely completion
- Conducting grooming sessions with Product Owners to align project goals
- Ensuring adherence to Agile and Scrum principles
- Coordinating information exchange between Product Owners, development team members, and testers
- Gathering suggestions for improvement and supporting the team in meeting project deadlines

Project Experience:
- Contributed to Fintech-related projects, including internal systems for sales teams and online banking applications
- Successfully improved team efficiency, resulting in doubled speed in meeting deadlines after transitioning to the current format

Tools and Skills:
- Proficient in Notion, Jira Atlassian, and MS Project for tracking product development life cycles
- Experienced in the entire Scrum journey, from idea generation and UX research to wireframing, QA, and debugging

Career Aspirations:
- Seeking to expand skills in agile management and explore new opportunities
- Enthusiastic about working with development teams, particularly in start-up environments"
3158,"Summary: 
Highly experienced Scrum Master with 5+ years of hands-on experience managing distributed teams and 3 years in a Scrum Master role, possessing proven expertise in project management best practices and agile methodologies.

Experience: 
- Managed distributed teams of up to 40 FTE, leveraging expertise in Scrum Master role for 3 years
- Facilitated Scrum Ceremonies, removed impediments, and established collaborative team environments
- Coached agile teams to promote self-organization, cross-functionality development, and high-performance team culture
- Built and maintained trustful relationships with clients, established effective organizational communication processes, and drove meetings
- Provided regular reporting, tracked project statuses, managed risks, and collected metrics
- Utilized strong problem-solving, analytical, and research skills to drive project success
- Managed people, resourced, and recruited for projects

Certifications: 
- Certified SAFe 5 Scrum Master
- Certified SAFe 5 Advanced Scrum Master
- Certified AgilityHealth Facilitator for SAFe

Skills: 
- Project management best practices
- Scrum Ceremonies facilitation
- Impediment removal
- Collaborative team environment establishment
- Agile team coaching
- Self-organization promotion
- Cross-functionality development
- High-performance team culture development
- Client relationship building
- Organizational communication process establishment
- Meeting management
- Reporting and project status tracking
- Risk management
- Metrics collection
- Problem-solving
- Analytical and research skills
- People management
- Resourcing
- Recruitment"
3159,"Results-driven Agile Project Manager and Scrum Master with a strong background in leading teams of varying sizes across multiple projects. Proven track record of driving business objectives, ensuring timely completion of milestones, and defining and implementing effective processes and tools tailored to each project's unique needs.

Key strengths:
- Team leadership and management
- Business objective alignment and progress tracking
- Process definition and implementation
- Adaptability and strong communication skills

As a seasoned leader, skilled at adapting to changing requirements and client goals, with a strong focus on team building and communication, leveraging expertise to deliver results-driven solutions."
3160,"Results-driven IT professional with 12+ years of experience in the industry, possessing a strong background in all stages of project management, including initiation, planning, implementation, monitoring, control, maintenance, and closure.

Key Experience:
- 12+ years of professional experience in the Information Technologies (IT) industry
- 11+ years of working experience in IT Management
- 4+ years of working experience in Agile methodologies

Certifications:
- Certified Scrum Master (CSM)
- Certified Scrum Product Owner (CSPO)
- ICP-APM

Professional Experience:
- Managed teams of up to 30 members, leading multiple teams of engineers
- Built engineering teams from scratch, demonstrating strong leadership and mentorship skills
- Experienced in both outsource and product development environments

Methodologies and Practices:
- Strong experience in Agile (Scrum, XP, Kanban) and Waterfall methodologies, practices, and frameworks
- Fulfilling roles of Scrum Master and Product Owner
- Maintaining Agile community and evangelizing Agile values

Skills:
- Strong soft skills, leadership, and mentorship
- Rich experience with Project Management tools
- Proven track record of successful project delivery in dynamic environments"
3161,"Results-driven Project Manager with 10+ years of experience in IT companies, overseeing projects from concept to launch. Proven track record of successfully managing distributed teams of up to 50 people and handling multiple projects simultaneously, with over 20 projects delivered to date. As a seasoned project management professional, I possess a high level of personal initiative, with the ability to establish contacts across various areas and quickly adapt to new subjects. My primary focus is on meeting client needs and fostering a supportive team environment. Notably, my teams have successfully released over 5 products in the past year, including platforms, marketplaces, mobile apps, and websites."
3162,"Senior Scrum Master & Project/Delivery Manager

Summary:
Highly experienced Senior Scrum Master and Project/Delivery Manager with a strong background in managing multiple teams, Agile coaching, and full-cycle project management. Skilled in portfolio level management, risk management, release planning, and technical support.

Experience:
Senior Scrum Master for up to 5 teams (35 FTE), responsible for portfolio level management, risk management, release and delivery planning.
Agile Coach for 1 product area (6 teams), organized the whole flow, coached Product Owners, taught teams, and facilitated multi-team events.
Project/Delivery Manager with experience in full-cycle projects, including ERP implementations (CRM, sales, logistics, finance) at Carlsberg Ukraine and UPS logistic implementation for 60 distributors.
Supported and consulted over 3000 users, and participated in the automation project of ""Ukrtelekom"" (Record-keeping, Finances, Management).
Developed and tested websites, with experience in managing projects using time and material, and fixed price approaches.

Technical Skills:
Proficient in SQL, HTML, CSS, JS, React,.Net, Core
Experienced with GitHub, Jira tools, and TFS

Professional Experience:
Managed 30+ team members as a Senior Scrum Master and coached teams in Agile methodologies.
Collaborated closely with Product Owners and stakeholders, ensuring effective process management, coaching, and administrative support.
Participated in big projects, including system configuration, writing output forms, and conducting alpha-testing and user training.
Utilized technical skills to write technical specifications, improve software maintenance documentation, and manage general server administration.

Education & Language:
Professional English level

Career Motivation:
Motivated by creative, friendly environments and dynamic processes.
Interested in developing products with high professionals, sharing experience, and learning from others to grow professionally.
Open to working with different countries and directions, with a desire to improve processes and achieve effective results."
