,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
56654,"# Professional Summary

Creative designer with expertise in branding, web design, and print media. Proven ability to adapt design approaches for diverse clients across multiple industries, delivering visually captivating and effective solutions through a combination of technical proficiency and strong visual aesthetics.

# Experience & Achievements

- Managed multiple design projects from concept to completion
- Collaborated with clients and cross-functional teams to deliver high-quality designs within strict deadlines
- Built strong client relationships through effective communication and design concept presentations, resulting in repeat business and positive feedback

# Technical Skills

- Adobe Creative Suite
- Blender
- Figma

# Professional Development

Continuously stay current with design trends and techniques, actively seeking new sources of inspiration to enhance creative output."
56656,"**COMPETITION EXPERIENCE**

UMO Global Innovation Challenge 2022 — Finalist
- Theme: Designing for Crisis
- Led project design, primary and secondary research, and ideation phase

**VOLUNTEER EXPERIENCE**

One Heart | Creative Sich
- Created posters and illustrations for organizational initiatives

**SKILLS**

*Design Tools:* Adobe Illustrator, Adobe Photoshop, Figma

*Additional Tools:* Canva, Trello, InVision

*Currently Developing:* Adobe After Effects

**OBJECTIVE**

Seeking opportunities to collaborate with talented teams while advancing expertise in Graphic Design and UI/UX Design."
56657,"# UI/UX Designer | 2D Graphic Designer

**Professional Summary**

UI/UX Designer and 2D Graphic Designer with 4 years of experience in digital design, specializing in creating compelling visual assets for web, mobile, and marketing applications.

---

**Professional Experience**

**UI/UX Designer | 2D Graphic Designer**

- Design icons, logos, and layouts of varying complexity
- Develop marketing materials including press-wall illustrations, banners, notebooks, and social media content
- Create UI/UX designs for websites and mobile applications (iOS/Android)
- Build workflow diagrams and process documentation
- Produce presentation templates, portfolios, and mobile game backgrounds

---

**Technical Skills**

- Adobe Photoshop, Adobe Illustrator (Proficient)
- Sketch, Figma, inVision, Abstract, Craft plugin
- Digital illustration using Wacom Intuos 4 Tablet
- CG fundamentals: light, shadow, tone, color, perspective, anatomy

---

**Education & Training**

**ArtCraft Education LLP**
- Game Graphics – Online Course (2021)
- Anatomy – Online Course (2020)
- Digital Drawing – Online Course (2019)

**IT School**
- Advanced Graphic Design: Adobe Photoshop, Adobe Illustrator (2017)

---

**Additional Qualifications**

- Experience collaborating with international clients
- Professional communication via email and calls"
56661,"# GRAPHIC & WEB DESIGNER

Creative professional with over ten years of experience crafting modern, visually appealing designs for web and mobile applications, logos, and corporate identities. Combines deep industry expertise with current design trends and technologies to deliver high-quality, impactful solutions.

---

## PROFESSIONAL EXPERIENCE

**UI/UX Designer**
May 2019 – October 2022

- Contributed to the design process for B2B projects as a remote team member
- Designed and optimized corporate websites, dashboards, and mobile applications
- Utilized Figma as the primary design tool

**UI/UX and Graphic Designer**
November 2015 – June 2019

- Spearheaded website and mobile interface design for a Canadian real estate startup
- Created visuals and user interactions using Photoshop and Figma
- Managed brand support initiatives, including printed promotional materials for presentations and international trade shows

**Web Designer**
February 2012 – March 2019

- Delivered designs for internal projects and diverse clients at an Israeli digital agency
- Collaborated within a three-designer team on client deliverables
- Contributed to website design for fashion design software
- Worked with Sketch, Figma, and Photoshop

---

## SKILLS

Figma | Photoshop | Sketch | UI/UX Design | Web Design | Mobile App Design | Logo Design | Corporate Identity | Brand Development | Print Design

---

Seeking remote opportunities with challenging projects and professional growth in collaborative team environments."
56662,"# Professional Resume

## Summary

Versatile Web/UI/UX/Graphics Designer and HTML/CSS Developer with more than 5 years of experience delivering comprehensive design solutions across digital and print media. Proven ability to thrive in both large-scale team environments and independent project settings. Skilled in client relations with English-speaking stakeholders through meetings, calls, and correspondence.

## Core Competencies

- Web Design
- UI/UX Design
- Graphic Design
- HTML/CSS Development
- Brand Design
- Print Design & Publishing

## Experience Highlights

**Digital Design & Development**
- Designed and developed web interfaces utilizing HTML and CSS
- Created user-centered UI/UX solutions for diverse projects
- Collaborated effectively within large project teams while also managing smaller independent projects

**Print & Brand Design**
- Produced professional publishing materials including booklets, flyers, and brochures
- Developed cohesive brand design systems

**Client Relations**
- Engaged directly with English-speaking clients through professional meetings, calls, and written correspondence
- Managed project communications across international teams

## Technical Skills

- HTML
- CSS
- Web Design
- UI Design
- UX Design
- Graphic Design
- Brand Development
- Print Production"
56725,"# Professional Summary

A Logo Design and Brand Identity specialist who bridges technical expertise with conceptual depth. I believe exceptional design must carry meaning—my role is to distill complex ideas into laconic, accessible visual forms.

My practice extends to Web Design and UX/UI Design, where I balance client objectives with the fundamental principles of composition, typography, visual hierarchy, usability, and design elegance."
56795,"# ALINA
## Web Designer

---

### PROFESSIONAL SUMMARY

Open-minded Web Designer committed to delivering exceptional results on every project. Background in graphic design provides a comprehensive skill set that enhances web design capabilities. Dedicated to continuous learning and staying current with evolving design tools and industry developments.

---

### SKILLS

- Web Design
- Graphic Design
- Adaptability to New Design Tools
- Commitment to Continuous Improvement

---

### EXPERIENCE

**Graphic Designer**

- Developed graphic design expertise that complements and strengthens current web design work

---"
56796,"**ANN**
Graphic Designer | UI/UX Designer

**PROFESSIONAL SUMMARY**

Graphic designer with five years of experience in the IT industry and emerging expertise in UI/UX design. Seeking opportunities to contribute to creative projects and advance my design career.

**SKILLS**

**UI/UX Design**
- User Research
- User Interface Design
- User Experience Design
- Wireframing and Prototyping
- Prototyping and Testing
- Interaction Design

**Graphic Design**
- Typography
- Digital Illustrations
- Designing for Print
- Advertisement
- Ideation"
56797,"# GRAPHIC & UI/UX DESIGNER

## Professional Summary

Passionate and deadline-driven Graphic and UI/UX Designer with 1 year of experience creating compelling visual content for print and digital platforms. Strong collaborator with proven ability to thrive in creative team environments.

## Skills

- Print Design (Banners, Flyers, Posters)
- Social Media Design
- UI/UX Design
- Deadline Management
- Team Collaboration

## Experience

**Graphic & UI/UX Designer**

- Designed banners, flyers, and posters for print production
- Created visual content for social media campaigns
- Consistently delivered projects on deadline
- Collaborated effectively within creative teams"
56798,"# GRAPHIC DESIGNER

## Professional Summary

Creative Graphic Designer with a strong sense of responsibility and excellent interpersonal skills. Attentive listener and collaborative team member who understands client needs and delivers reliable results.

## Areas of Expertise

- Logo Design
- Brand Identity Creation
- Business Presentations

## Technical Skills

- Adobe Illustrator
- Adobe InDesign
- Adobe Photoshop
- Microsoft Word
- Microsoft PowerPoint"
56799,"# RAFAEL ABASOV
**Graphic Designer**

www.rafaelabasov.com

---

## PROFILE

Creative graphic designer with expertise across branding, UI/UX, and visual content creation. Currently based in Azerbaijan, relocating to Prague in September 2023 for Master's studies in Design. Available for remote work.

---

## EXPERTISE

Branding | UI/UX Design | Content Creation | Logo Design | Marketing Materials | Web Graphics | Album Covers | Packaging Design | Clothing Design | Poster Design | Video Editing

---

## EXPERIENCE

**Freelance Graphic Designer**

- Create comprehensive visual content including logos, marketing materials, and web graphics
- Collaborate directly with clients to translate their vision into effective design solutions
- Develop brand identities and visual communication strategies
- Apply minimalistic, functional approach to deliver well-considered design solutions

---

## EDUCATION & PROFESSIONAL DEVELOPMENT

**Master's in Design** | Prague | Commencing September 2023

**Google UX Design Professional Certificate** | In Progress

---

## SKILLS

**Advanced:** Adobe Illustrator | Adobe Photoshop | Figma | Adobe XD | Sketch

**Intermediate:** Adobe Premiere Pro | Final Cut

**Core Competencies:** Design Thinking | Branding | Design Principles | Typography | Prototyping | Wireframing | User Flows | Mock-ups | Visual Design | User Research

---

## CONTACT

Open to remote collaboration — let's discuss your project."
56800,"# GRAPHIC & BRAND IDENTITY DESIGNER

---

## PROFESSIONAL EXPERIENCE

**Graphic & Brand Identity Designer**
Upwork | June 2022 – Present

- Create marketing materials for YouTube including banners, logos, and watermarks
- Design logos for clients in the USA
- Develop packaging designs for clients in the Netherlands and USA
- Design labels for Dutch craft beer
- Lead brand formation and development projects, including creation of marketing materials for digital and print applications

**Graphic Designer**
Citrus | Odessa | September 2021 – February 2022

- Created promotional layouts for household and computer equipment across web and outdoor advertising channels
- Produced printed materials supporting corporate identity standards
- Adapted brand layouts from Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, and HUAWEI to Citrus corporate identity
- Adapted banners for social networks, Google advertising, and mass media
- Prepared print-ready materials using CorelDRAW

**Graphic Designer**
Upwork | February 2021 – September 2021

- Served clients in the Netherlands and USA
- Designed labels for beer products
- Created advertising banners for Instagram, Facebook, and Google
- Prepared brand book for a private clinic in Gayvoron, Ukraine
- Designed logo for music equipment supplier in Lozova, Ukraine
- Created product labels for craft brewery in Folsgare, Netherlands
- Developed Telegram stickers and prepared files for print in Adobe Illustrator and CorelDRAW"
56801,"# Graphic & UI Designer

## Professional Summary

Versatile design professional with 10+ years of experience spanning graphic design, illustration, and visual communications. Recently expanded expertise into UI/UX design, bringing a strong foundation in visual storytelling to digital product design.

## Core Competencies

- Illustration
- Advertising Banners
- Social Media Materials
- Logo Design
- Animation
- Presentation Design
- UI Design
- UX Design
- Figma
- Design Systems

## Professional Experience

**User Interface Designer**

- Designed and prototyped a comprehensive SaaS Design System in Figma
- Applied decade of graphic design expertise to create cohesive user interfaces

**Graphic Designer** | 10+ Years

- Created illustrations for diverse client needs
- Developed advertising banners and marketing collateral
- Produced social media content and visual materials
- Designed logos and brand identity elements
- Developed animations and motion graphics
- Built professional presentations"
56802,"# GRAPHIC DESIGNER

## Professional Experience

**Graphic Designer | IT Company**
- Design backgrounds and characters for video game development
- Create visually engaging environments and character artwork

**Freelance Graphic Designer**
- Develop professional presentations for clients
- Design mockups and packaging solutions
- Deliver custom graphic design projects across various industries

## Skills

- Character Design
- Background & Environment Design
- Game Art
- Presentation Design
- Packaging Design
- Mockup Creation

## Additional Information

Primary focus on 2D graphic design"
56803,"**PROFESSIONAL SUMMARY**

Designer with 7 years of experience across diverse industries, including startup technology, advertising, publishing, and manufacturing. This varied background enables a comprehensive approach to problem-solving, integrating UX solutions with marketing considerations while maintaining awareness of resource requirements for final design execution.

**EXPERIENCE**

- Developed mobile application designs for a startup company
- Created advertising campaigns and materials for an advertising agency
- Produced design work for a publishing house
- Collaborated directly with manufacturers on design projects

**EDUCATION**

Bachelor's Degree

**SKILLS & APPROACH**

- Cross-functional problem-solving incorporating UX and marketing perspectives
- Resource-conscious design planning
- Commitment to continuous professional development

**OBJECTIVES**

Seeking challenging, complex projects within a professional team environment."
56804,"**UI/UX DESIGNER**

Creative UI/UX Designer with 3 years of experience specializing in clear, intuitive designs that enhance user experience and drive engagement. Expertise in layout development, prototyping, user interface testing, user behavior analysis, and technical integration. Passionate about crafting refined interfaces and purposeful products that improve everyday life through simplicity and thoughtful design.

---

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
Comportal | October 2022 – Present

- Develop layouts and prototypes for small and medium-sized business websites
- Evaluate and test user experience to optimize interface effectiveness
- Design user interfaces focused on clarity and engagement
- Collaborate with development teams and project managers to ensure seamless design integration

**Graphic Designer (Freelance)**
Resource Group | February 2021 – Present

- Create marketing materials to increase audience reach, trust, and loyalty
- Design print layouts and targeted advertising banners
- Develop website news banners
- Partner with marketers and project managers to deliver timely, high-quality projects

**Graphic Designer**
Liga.net | September 2021 – December 2021

- Produced marketing materials to expand audience reach and engagement
- Designed print layouts and targeted advertising banners
- Created collages for website news content
- Collaborated with marketers and journalists to meet project deadlines and quality standards

---

**FREELANCE WORK**

Independent Designer serving small and medium-sized businesses
- Website design
- Landing pages
- Banner design
- Print design"
56805,"# Web Designer & Developer

## Professional Summary

Web design professional specializing in Webflow development and UI/UX design. Experienced in creating interfaces and websites using Figma, with a proven track record of delivering projects for clients through freelance platforms.

## Skills

- Webflow Development
- Figma Interface Design
- UI/UX Design
- Shopify Website Development
- Landing Page Creation

## Professional Experience

**Freelance Web Designer & Developer**
Upwork | Fiverr

- Developed website for NFTlook project
- Created websites for Shopify platform
- Built Shopify Winning Product Kit website
- Designed and developed car parts landing page for Ukrainian automotive company

## Career Objective

Committed to continuous growth in web design with aspirations to build a successful career in website development."
56807,"# RESUME

## Professional Summary

Reliable, responsible, and creative professional with experience in HR management, visual content creation, and team collaboration. Background in psychology and human behavior, transitioning into UX/UI design. Proven ability to thrive in both large and small team environments.

## Experience

**HR Manager**
- Promoted from Junior Specialist to Specialist within 8 months
- Managed HR responsibilities for a team of 65 people

**Photographer & Graphic Designer**
- 3 years of experience creating visual content for a YouTube channel
- Collaborated within a large team of approximately 600 people

## Education & Training

- University Degree in Computer Technology
- UX/UI Design Courses (in progress)
- 10 years of self-directed psychology studies

## Skills

- Human Resources Management
- Photography
- Graphic Design
- User Experience (UX) Design
- User Interface (UI) Design
- Team Collaboration
- Understanding of User Psychology and Behavior

## Personal Interests

- Traveled to 15+ countries
- Lived abroad in Thailand for one year
- Certified diver
- Committed to continuous learning"
56809,"**PROFESSIONAL SUMMARY**

Creative graphic designer with diverse experience spanning editorial design, digital illustration, marketing materials, and UI/UX design. Skilled at translating client visions into compelling visual solutions across print and digital platforms.

---

**SKILLS**

- Personal branding and style development
- Digital illustration and banner design for social media
- Magazine and book layout
- Print-ready marketing material preparation and production
- Presentation design and client delivery
- Landing page design for marketing campaigns
- UI/UX design for e-commerce platforms
- Collaborative ideation and team communication

---

**EXPERIENCE**

**Graphic Designer**

- Developed personalized visual styles tailored to individual client needs
- Created illustrations and banners optimized for social media platforms
- Designed and laid out magazines and books
- Prepared and produced marketing materials for print
- Built and delivered client presentations
- Collaborated with team members to develop and refine creative concepts
- Designed landing pages for marketing campaigns
- Executed UI/UX design for e-commerce websites

---

**PREFERENCES**

Open to roles in editorial design, branding, digital illustration, marketing design, and UI/UX. Not seeking opportunities in gaming, casino, or photo retouching."
56859,"# GRAPHIC DESIGNER

**Professional Summary**

Graphic Designer with more than 5 years of experience in publishing. Skilled in Web Design and UI/UX Design through professional training in Web Design (Skvot), Figma (Creative Practice), and UX/UI Interface Projecting and Design (Creative Practice).

---

**Professional Experience**

**Graphic Designer | Freelance (Cooperation with Inka)**
Kyiv | 2020–2023

- Created magazine for Premier Hotel
- Developed corporate catalogs and brochures

**Graphic Designer | PRAGMATIKA.MEDIA**
Kyiv | 2018–2023

- Developed magazine design including layout and visual design
- Produced graphic documentation including presentations, forms, and media materials
- Created visual content for social networks and websites including posts, page design, collages, and leaflets

**Designer Assistant | IMEX LTD**
Kropyvnytskyi | 2014

- Created corporate catalogs, brochures, certificates, and business cards

---

**Professional Development**

- UX/UI: Projecting and Designing of Interfaces | Creative Practice
- Work with Figma | Creative Practice
- Web Design | Skvot"
56860,"# Graphic, Web & UI/UX Designer

## Professional Summary

Graphic, web, and UI/UX designer with expertise in crafting visually appealing websites featuring seamless navigation and user-friendly interfaces. Strong attention to detail combined with a solid understanding of user experience principles enables the creation of immersive digital experiences. Skilled in developing graphics, logos, and branding materials that effectively communicate brand identities.

## Education & Training

Comprehensive design coursework — 9 months

## Experience

**Freelance Designer** — 6 months

- Designed welcome brochures for international tourism
- Built websites for diverse clients including perfume retailers, photographers, a service marketplace startup, and hospitality businesses
- Created a dashboard interface for a local banking institution
- Developed a website for a solar panel company
- Designed a restaurant menu
- Designed a cinema application

## Portfolio Highlights

- Hospitality & Tourism
- E-commerce & Retail
- Financial Services
- Food & Beverage
- Mobile Applications
- Startup Platforms

## Skills

- Graphic Design
- Web Design
- UI/UX Design
- Logo Design
- Branding
- Dashboard Design
- Mobile App Design

## Work Preferences

Available for projects excluding adult content and gambling game design."
56861,"**[Your Name]**
[Contact Information]

---

**Professional Summary**

Skilled and diligent UI/UX and Graphic Designer with 2+ years of experience creating user-friendly, aesthetically pleasing interfaces. Passionate about delivering thoughtful design solutions with a strong sense of responsibility and collaboration.

---

**Experience**

**UI/UX Designer**
Liga Zakon | Present

**Designer**
Come Back Agency | Previous

**Designer**
Coming Agency | Previous

**Designer**
Fawn Agency | Previous

---

**Selected Projects**

- Brand Book Development — Kiton Furniture Store
- Brand Book Development — Lviv Botanic Garden

---

**Skills**

- UI/UX Design
- Graphic Design
- Brand Identity Development

---

**Interests**

Basketball | Skiing | Design"
56862,"# Digital Designer

Creative digital designer with five years of experience specializing in graphic design and UX.

## Professional Experience

**Graphic Designer | Network Advertising Agency**
*2 years*

- Developed concepts and corporate identity systems for 8+ brands
- Collaborated with cross-functional teams to deliver creative solutions for large corporate clients
- Managed client relationships while meeting artistic requirements and project deadlines

**Freelance Designer**
*1 year*

- Designed and delivered functional websites for international clients
- Managed end-to-end project workflows with clients worldwide

## Education & Training

**UX Designer Certification**
Projector | May 2022

## Skills

- Graphic Design
- UX Design
- Corporate Identity Development
- Website Design
- Client Communication"
57384,"**SENIOR PRODUCT DESIGN LEADER**

T-shaped design generalist with product thinking and 15+ years of experience

---

**PROFESSIONAL SUMMARY**

Product design leader with expertise in establishing and managing design teams and processes. Comprehensive understanding of the full design lifecycle—from business analysis and research through detailed visual design and implementation. Strong hands-on knowledge of UX design, prototyping tools, user testing, mobile and responsive design, branding, and HTML/CSS principles.

---

**KEY ACHIEVEMENTS**

- Designed 40+ successful digital products
- Led design teams and design projects worldwide
- Created and currently operate 30+ brands and trademarks in the market
- Mentored junior designers; delivered lectures and workshops
- Product management and startup launch experience
- UX certification
- International design awards recipient
- Jury member at international design competitions

---

**CORE SKILLS**

UX Architecture & Design | Data-Driven Design | User Testing | Usability Evaluation | Visual Design | UI Design | Logo Design | Product Management | Product Identity Design | Prototyping | iOS & Android | HTML/CSS | AR/VR | Business & Requirements Analysis | User & Marketing Research | Photography | Art Direction | Team Leadership | Mentorship

---

**SEEKING**

- Product company with professional leadership that clearly understands and communicates business needs
- Opportunity to influence product direction and vision
- Cross-disciplinary and AR/VR projects (non-gaming)
- Remote or relocation (USA, UK, Europe)
- Open to part-time design consultancy in processes or products"
57400,"# SENIOR UI/UX DESIGN LEADER

## PROFESSIONAL SUMMARY

Over 10 years of experience in UI/UX Design with 5+ years leading design teams of up to 20 members. Proven track record of establishing design departments, driving revenue growth through client acquisition, and delivering end-to-end product design from concept to launch.

---

## KEY ACHIEVEMENTS

- Established and built company design department, securing projects and clients to generate additional revenue
- Delivered 50+ successfully implemented projects across diverse industries
- Developed team members from intern and junior levels to senior designers and team leads
- Contributed critical work that preserved business continuity on multiple occasions

---

## CORE COMPETENCIES

**Design Leadership**
Design strategy development | Performance monitoring and evaluation | Project distribution across teams | Resource management and planning

**Team Management**
Full-cycle hiring | Interviewing | Onboarding | Feedback and coaching | Career development

**Business Operations**
Department budgeting | Pre-sales participation | Project estimation and specifications | Contract documentation review | Payment and delivery oversight

**Design Expertise**
User research | Prototyping | Usability testing | User interviews | Usability audits | Design systems | Interface concept development

---

## INDUSTRY EXPERIENCE

Fintech | Healthcare | Telecommunications | Gaming | E-commerce | Enterprise | Banking | Real Estate | Manufacturing | Start-ups | Blockchain & Crypto | Legal | Sports

---

## STRENGTHS

Analytical mindset | Self-management | Collaborative approach | Problem-solving | Performance under pressure"
62042,"**PROFESSIONAL EXPERIENCE**

**Beetroot Academy**
*Recruiter Trainee*
2023 – Present

- Craft compelling outreach messages to engage potential candidates
- Source candidates through advanced search techniques including Boolean Search and X-RAY search methodologies
- Conduct candidate interviews

---

**Freelance**
*Web Designer | UX/UI Designer*
2020 – Present

- Designed and delivered website for Fortified Capitals, an exchange trading platform
- Created landing pages, business cards, and Smart Home mobile application

---

**Partner Ukraine LLC**
*Personal Assistant | Project Manager (Part-time)*
2020 – 2023

- Managed project documentation and led contract negotiations
- Identified and implemented solutions to recurring operational challenges
- Coordinated task assignments across all project participants and monitored execution
- Drove team motivation and performance
- Managed relationships with suppliers and customers
- Designed and implemented business processes using BPMN methodology across all organizational structures and departments

---

**LLC Trade House Alfa-Komplekt EKB**
*Deputy General Director for Quality*
2018 – 2020

- Directed quality control for all supplied products
- Managed reclamation work processes
- Developed and implemented organizational QMS policy and objectives
- Prepared comprehensive documentation packages for certifications and licenses
- Coordinated company participation in exhibitions, conferences, and seminars

---

**Alfa-Sert LLC**
*Marketing Specialist*
2015 – 2018

- Led company branding initiatives including development, implementation, and optimization
- Managed advertising preparation, approval, and deployment aligned with company policy
- Developed product catalog tailored to organizational requirements
- Created and launched POSM materials including leaflets, booklets, and promotional items
- Managed external contractor relationships including designers, web developers, and printing vendors

---

**Albion Trading Company LLC**
*Marketing Specialist*
2012 – 2014"
63086,"# WEB DESIGNER

Creative web designer with practical experience in industry-standard design tools, committed to continuous professional development and rapid skill acquisition.

## SKILLS

- Sketch
- Figma
- Adobe Photoshop
- Adobe Illustrator

## EDUCATION & PROFESSIONAL DEVELOPMENT

**Spalah IT-School**
UI/UX Web Designer Program
May 2018 – Present

**LevelUP School**
UI/UX Web Designer Program
October 2018 – April 2019"
63087,"# JUNIOR DESIGNER

## Summary
Motivated and adaptable professional transitioning into design, bringing strong interpersonal skills developed in fast-paced service environments. Eager to contribute to a collaborative team while developing expertise through hands-on projects and mentorship.

## Skills

**Design Tools**
- Adobe Photoshop
- Adobe Illustrator
- Figma

**Professional Skills**
- Adaptability
- Strong Communication
- Conflict Resolution
- Receptive to Feedback
- Self-Discipline
- Flexibility

## Professional Background
Restaurant Industry Experience
- Developed strong client-facing communication skills
- Thrived in high-pressure, fast-paced environments
- Collaborated effectively with diverse teams

## Professional Objective
Seeking an opportunity to grow under experienced designers, committed to investing significant time and effort to deliver value and contribute meaningfully to team objectives."
83710,"# Graphic & UI/UX Designer

Hi! I am a Graphic and UI/UX Designer open to challenging tasks.

---

## Professional Experience

**Outsource Company | Fintech & Blockchain**

*UI/UX Design*
- Designed websites and mobile applications from scratch for clients in the USA, Canada, and the UK
- Collaborated with international clients to understand requirements and deliver solutions
- Contributed to a tokenized blockchain gaming project

*Graphic Design*
- Developed Brand Book and corporate identity materials
- Designed branded merchandise including cups, hoodies, t-shirts, and pens
- Created banners, printouts, and posters in corporate style
- Designed a custom interactive notebook for employee anniversaries, including original character illustrations and thematic page layouts

**Freelance**
- Designed logo for a Ukrainian bag manufacturer
- Redesigned an outdated website

---

## Portfolio Highlights

- Designed website for a blockchain trading company from scratch
- Created corporate Instagram post adopted as template for future content
- Developed animated case study for Behance presentation

---

## About Me

I am eager to learn and grow alongside experienced designers and business analysts. I value constructive feedback, friendly team environments, and clear, structured tasks with realistic deadlines."
83711,"**PROFESSIONAL EXPERIENCE**

- Developed and launched newsletters for three distinct target audiences
- Designed graphic elements for websites and social media platforms
- Created marketing plans and conducted analytical assessments of advertising performance
- Provided medical aid support through refugee infoline services for displaced Ukrainians
- Managed social media accounts for Medimost and affiliated projects"
86666,"# Web Designer

## Professional Summary

Web Designer with over two years of experience at a digital marketing agency, specializing in modern, responsive corporate websites and landing pages. Skilled in creating visually appealing, user-friendly digital experiences that meet client and customer needs. Proficient in a variety of design tools and software.

## Career Objective

Seeking to transition into UI/UX Design to expand my skillset and contribute to creating effective digital experiences.

## Core Competencies

- Responsive Web Design
- Corporate Website Design
- Landing Page Design
- Design Tools and Software
- User-Friendly Interface Creation

## Professional Experience

**Web Designer** | Digital Marketing Agency | 2+ Years

- Designed modern, responsive corporate websites and landing pages
- Created visually appealing and user-friendly digital experiences
- Collaborated with clients to meet their design needs and objectives"
87779,"# PROFESSIONAL EXPERIENCE

**727.ventures**
*Growth Assistant / Product Manager*

**Deutsche Börse**
*Global Relationship Management, Sales & Client Services*

**Bank Gutmann**
*Design & Digital Marketing*

---

*References and detailed CV available upon request.*"
97622,"# UI/UX Designer

Creative UI/UX Designer with 1.5 years of hands-on experience in desktop and application design, complemented by 3 years of experience creating illustrations, graphics, and content for books, booklets, and digital posts.

## Professional Profile

Proactive design professional dedicated to delivering optimal solutions through direct client collaboration. Skilled in end-to-end project management, from roadmap development to design matrix creation, while maintaining clear face-to-face communication with stakeholders throughout the design process.

## Core Competencies

- User Experience Research & Analysis
- Empathy Map Development
- User Scenario Creation
- Problem & Needs Identification
- Clickable Prototype Development & Testing
- Web Application Design
- Mobile Application Design
- UI/UX Design Patterns
- Illustration & Graphic Design
- Content Creation

## Design Philosophy

Committed to enhancing user experiences by creating clear, intuitive, and visually appealing designs that effectively address customer needs and solve real-world problems."
98134,"# RESUME

## Objective
Seeking a junior UI/UX designer position or trainee program to gain experience in IT and pursue professional growth.

## Education
**Master's Degree**

## Professional Experience
**Project Manager | NGO | 3 Years**
- Conducted analysis and strategic planning
- Developed and implemented problem-solving strategies
- Delivered results-driven project outcomes

## Technical Skills
- Adobe Illustrator
- Adobe Photoshop
- Adobe After Effects (Animation & Motion Design)
- Web Design

## Core Competencies
- Analytical Thinking
- Project Planning
- Problem Solving
- Results-Oriented Approach"
98135,"# UI/UX Designer

## Professional Summary

UI/UX Designer with 1+ years of experience seeking an opportunity to further develop skills and gain additional experience.

## Experience

**UI/UX Designer**

- Applied industry standards and design best practices throughout website build processes
- Conducted user behavior analysis, identified UX issues, and implemented solutions
- Created landing page prototypes using Figma
- Developed visual design systems including typography, color palettes, and illustrations
- Ensured responsive website functionality across desktop, mobile, and tablet devices
- Designed logos

## Skills

- Figma
- Prototyping
- User Behavior Analysis
- Responsive Design
- Visual Design
- Logo Design"
98136,"# UI/UX Designer

**Experience:** 1.5 years | **Languages:** English (proficient)

---

## Professional Experience

**UI/UX Designer**
British Clothing Store | 2 months

- Creation of prototypes
- Layout design
- UI design
- UX design

---

**UI/UX Designer**
E-commerce Start-up | 4 months

*Product:* Online clothing shop for the EU market

*Team:* Product Manager, 2 Developers, QA Engineer

- UI design
- UX design

---

**Freelance UI/UX Designer**
Various Projects | 8 months

- Delivered UI/UX design solutions across multiple small-scale projects

---

## Tools & Software

- Figma
- Adobe Photoshop"
98137,"# UI/UX Designer

**Location:** Lviv, Ukraine

---

## Professional Summary

Junior UI/UX designer dedicated to helping enterprises design, launch, and redesign digital products. Committed to user-centered design principles that create intuitive, easy-to-use experiences. Fast learner with strong communication skills and a passion for continuous professional growth.

---

## Education & Training

**Web Design Beginning Course**
Projector Institute

**UI Design Fundamentals**
Udemy

**UX Design Fundamentals**
Udemy

---

## Mentorship

Completed mentorship program under Valentine Skliarov, Lead Designer at Cieden

---

## Core Competencies

- User-Centered Design
- UI Design
- UX Design
- Digital Product Design
- Product Redesign

---

## Attributes

- Fast Learner
- Detail-Oriented
- Strong Communicator
- Self-Motivated"
98138,"# PROFESSIONAL SUMMARY

Detail-oriented UI/UX Designer with a strong commitment to clean, organized design systems and layered visual hierarchy. Collaborative team player with a passion for user-friendly design, simplicity, and aesthetics.

---

# SKILLS

**Design Tools**
- Figma (components, variants, auto layout, Bootstrap, prototyping, mockups)
- Adobe Photoshop
- Adobe Illustrator (basic)
- Webflow (currently learning)

**Design Knowledge**
- Typography
- Grid systems
- Composition
- Color theory
- Usability principles

---

# PROJECTS

- Landing pages
- Authorization forms
- Educational course projects
- Test task assignments

---

# STRENGTHS

- Strong eye for detail and visual cleanliness
- Quick learner
- Passionate about researching and incorporating innovative design concepts
- Committed to user-centered design principles

---

# CURRENTLY DEVELOPING

- Webflow proficiency
- English language skills"
98171,"# UI/UX Designer

## Professional Summary

UI/UX designer with one year of experience delivering creative projects across freelance and startup environments. Skilled at collaborating within teams while bringing ambition, initiative, and creativity to every project.

## Experience

**Freelance UI/UX Designer**
- Developed creative design projects for clients
- Managed projects independently from concept to delivery

**UI/UX Designer | Startup**
- Collaborated with team members on product design
- Contributed to the creative direction of the product

## Skills

**Design Tools**
- Figma
- Adobe Photoshop
- Adobe Illustrator
- AutoCAD
- Blender

**Core Competencies**
- Creative problem-solving
- Team collaboration
- Proactive communication
- Attention to detail
- High standards for quality

## Additional Skills

- Photography
- Music production"
98172,"# DMITRY
## UI/UX Designer

---

### PROFESSIONAL SUMMARY

Passionate UI/UX Designer dedicated to creating modern, stylish designs. Committed to continuous skill development and staying current with design trends. Eager to apply expertise to real-world projects and deliver exceptional results.

---

### SKILLS

- UI/UX Design
- Modern Design Principles
- Visual Styling
- Continuous Learning & Skill Development
- Design Research & Inspiration

---

### INTERESTS

- Exploring emerging design trends
- Seeking creative inspiration
- Refining and advancing design techniques"
