,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
56805,"[Your Name]
[City, Country] | [Phone Number] | [Email Address]
[Link to Portfolio/Upwork Profile]

**PROFESSIONAL SUMMARY**

Aspiring Web Designer and Developer seeking opportunities to grow and further develop skills in web design and architecture. Experienced in using Webflow and Figma for interface creation and site building. Dedicated to building a successful long-term career in the website development industry.

**TECHNICAL SKILLS**

*   **Platforms:** Webflow, Shopify, Upwork, Fiverr
*   **Design Tools:** Figma (Interfaces and Website Design)
*   **Development:** Website Development, Landing Page Creation

**PROFESSIONAL EXPERIENCE**

**Freelance Web Developer & Designer**
*Upwork and Fiverr*

*   Develop websites utilizing the Webflow platform.
*   Design user interfaces and websites using Figma.
*   Created websites for Shopify and a Shopify winning product kit.
*   Executed web development projects such as NFTlook.
*   Designed and built a landing page for a local Ukrainian car parts company."
56807,"**Junior UX/UI Designer**

**PROFESSIONAL SUMMARY**

Creative and reliable Junior UX/UI Designer with a strong background in Graphic Design and Photography. Possess a Bachelor’s degree in Computer Technology, providing a solid understanding of development structures and technical feasibility without focusing on programming implementation. Combines 10 years of self-directed study in Psychology with design principles to understand user behavior and empathy. Experienced in collaborating within both massive organizations (600+ people) and mid-sized teams. Currently finalizing specialized UX/UI training and eager to contribute creative ideas to a future team.

**TECHNICAL SKILLS**

*   **Design:** UX/UI Design, Graphic Design, Photography, Visual Communication.
*   **Technical Knowledge:** Computer Technology Degree, Understanding of Development Structures (HTML/CSS logic).
*   **Soft Skills:** User Empathy, Team Collaboration, Adaptability, Creative Problem Solving.

**PROFESSIONAL EXPERIENCE**

**HR Manager / Specialist**
*Duration: 8 Months*
*   Promoted from Junior Specialist to Specialist within an 8-month period due to strong performance.
*   Managed Human Resources functions for a team of 65 employees.
*   Successfully facilitated team operations and maintained a positive work environment.

**Photographer & Graphic Designer**
*Duration: 3 Years*
*   Worked within a large-scale media organization (YouTube Channel) consisting of approximately 600 employees.
*   Produced high-quality photography and graphic design assets for digital content.
*   Collaborated effectively within a large team structure to meet production deadlines and creative standards.

**EDUCATION**

**UX/UI Design Course**
*Status: Currently Completing*
*   Focusing on user interface design, user experience principles, and prototyping.

**Bachelor’s Degree in Computer Technology**
*   Gained foundational knowledge of computer systems and programming structures, enabling effective communication with development teams regarding technical constraints.

**ADDITIONAL QUALIFICATIONS & INTERESTS**

*   **Psychology:** 10 years of self-directed study in psychology, utilized to develop deep empathy and understanding of human behavior and user needs.
*   **International Experience:** Visited over 15 countries and resided in Thailand for one year, fostering cultural adaptability and a broad worldview.
*   **Personal Achievement:** Certified Diver; overcame a significant personal fear of water to master the skill, demonstrating resilience and a commitment to continuous learning."
56809,"**PROFESSIONAL SUMMARY**

Versatile Creative Professional with a diverse background in graphic design, illustration, and UI/UX. Experienced in executing projects ranging from print media and editorial layout to digital marketing assets and e-commerce interfaces. Skilled in client relations and team collaboration. Seeking a position in branding, print, or digital design that leverages existing expertise in commercial and editorial projects.

**CORE COMPETENCIES**

*   **Print & Editorial Design:** Magazine and book layout, pre-press preparation, marketing collateral.
*   **Digital & UI/UX Design:** Landing pages, e-commerce shop interface design, social media assets.
*   **Illustration & Branding:** Custom illustration, visual style development, banner creation.
*   **Communication:** Client presentations, team ideation, concept development.

**PROFESSIONAL EXPERIENCE**

**Design & Illustration**
*   Designed UI/UX layouts for e-commerce shops, focusing on user experience and visual appeal.
*   Created landing pages for various marketing campaigns.
*   Developed layouts for magazines and books, managing typography and composition.
*   Prepared and developed marketing materials specifically for print production.
*   Designed banners and drew original illustrations for social media networks.

**Branding & Strategy**
*   Developed unique personal styles and visual identities for clients.
*   Created comprehensive presentations and presented design concepts directly to clients.
*   Collaborated with internal teams to discuss and develop future creative ideas and strategies."
56859,"**PROFESSIONAL SUMMARY**

Graphic Designer with over 5 years of experience in the publishing industry. Expertise includes print and digital design, with specialized knowledge in Web Design and UI/UX. Proficient in Figma and experienced in creating visual content for magazines, corporate branding, and social media platforms.

**PROFESSIONAL EXPERIENCE**

**PRAGMATIKA.MEDIA** | Kyiv
**Graphic Designer** | 2018 – 2023

*   Developed magazine designs, focusing on layout and comprehensive visual design.
*   Produced graphic documentation, including presentations, forms, and media materials.
*   Created visual content for social networks and websites, including post designs, page layouts, collages, and leaflets.

**FREELANCE (Cooperation with Inka)** | Kyiv
**Graphic Designer** | 2020 – 2023

*   Designed and created a magazine for Premier Hotel.
*   Developed corporate catalogs and brochures.

**IMEX LTD** | Kropyvnytskyi
**Designer Assistant** | 2014

*   Created corporate catalogs, brochures, certificates, and business cards.

**EDUCATION & TRAINING**

**Creative Practice**
*   UX/UI: Projecting and Designing of Interfaces
*   Work with Figma

**Skvot**
*   Web Design

**SKILLS**

*   **Design:** Graphic Design, Web Design, UI/UX Design, Layout Design, Publishing.
*   **Tools:** Figma.
*   **Content Creation:** Social Media Visuals, Corporate Catalogs, Brochures, Presentations."
56860,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio]

**PROFESSIONAL SUMMARY**

Creative Graphic, Web, and UI/UX Designer with a deep understanding of user experience principles and meticulous attention to detail. Experienced in crafting visually appealing websites, seamless navigation, and user-friendly interfaces. Proven ability to develop captivating graphics, logos, and branding materials that effectively communicate brand identities. Committed to contributing to projects that have a positive impact and cater to a wide audience.

**SKILLS**

*   **UI/UX Design:** Dashboards, Mobile Apps, Wireframing, User Experience Principles.
*   **Web Design:** Visual Design, Site Architecture, Seamless Navigation.
*   **Graphic Design:** Branding, Logo Creation, Print Collateral (Brochures, Menus).
*   **Tools & Methods:** Immersive Digital Experiences, Brand Identity Development.

**PROFESSIONAL EXPERIENCE**

**Freelance Designer** | [Location/Remote]
*Last 6 Months*

*   **UI/UX & App Design:** Designed a functional dashboard for a local bank and created a user interface concept for a cinema application.
*   **Web Development Projects:** Constructed visually appealing websites for a diverse range of businesses, including:
    *   A solar panel company (specialized industry design).
    *   A service-marketplace start-up (similar to TaskRabbit).
    *   Retail and hospitality clients including perfume stores, hotels, and professional photographers.
*   **Print & Branding:** Crafted captivating welcome brochures for country-specific tourism, designed menus for a local restaurant, and created logos and branding materials.
*   **Client Success:** Delivered immersive digital experiences that received positive acclaim from clients and users for visual appeal and usability.

**EDUCATION**

**Comprehensive Design Training**
*9-Month Intensive Course*
*   Completed comprehensive coursework focused on Graphic, Web, and UI/UX design fundamentals and advanced techniques."
56861,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio/LinkedIn]

**PROFESSIONAL SUMMARY**

Skilled and diligent UI/UX and Graphic Designer with 2+ years of experience. Passionate about creating user-friendly and aesthetically pleasing interfaces. A responsible and outgoing professional committed to high-quality design standards.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
**Liga Zakon** | [Location]
*Current*

**UI/UX and Graphic Designer**
*Previous roles held at:*
*   **Coming Agency**
*   **Come Back Agency**
*   **Fawn Agency**

**KEY PROJECTS**

*   **Kiton Furniture Store:** Creation of brand book.
*   **Lviv Botanic Garden:** Creation of brand book.

**SKILLS**

*   UI/UX Design
*   Graphic Design
*   Brand Identity Creation

**INTERESTS**

*   Design
*   Basketball
*   Skiing"
56862,"**PROFESSIONAL SUMMARY**

Digital Designer with five years of experience, currently transitioning into User Experience (UX) design. Background includes two years of agency experience working with large corporate clients and cross-functional teams to develop brand identities and creative concepts. Supplemented professional experience with freelance work for global clients and completed specialized UX training in May 2022.

**PROFESSIONAL EXPERIENCE**

**Graphic Designer** | Network Advertising Agency
*Last 2 Years*

*   Collaborate with various internal teams to develop a wide range of creative concepts.
*   Designed corporate styles and brand identities for more than eight brands.
*   Manage large corporate client accounts, utilizing technical and communication skills to satisfy requests both artistically and punctually.

**Freelance Designer**
*Last 1 Year*

*   Provide design services to a diverse client base from all over the world.
*   Designed and delivered a number of finished working websites.

**EDUCATION & CERTIFICATIONS**

**UX Designer Course** | Projector
*Completed May 2022*

*   Acquired understanding of UX design principles and methodologies.
*   Developed a portfolio of working sites."
57384,"**SENIOR PRODUCT DESIGN GENERALIST & TEAM LEAD**
15+ Years Experience | Product Thinking | T-Shaped Designer

**PROFESSIONAL SUMMARY**

Senior Product Design Generalist with over 15 years of experience and a T-shaped skillset rooted in product thinking. Proven expertise in establishing product design teams and processes, as well as managing UI/UX design teams. Possesses a clear understanding of the full design lifecycle and product management, ranging from business analysis and research to detailed visual design and implementation. Strong hands-on knowledge of UX design, prototyping tools, user testing, mobile and responsive design, branding, and HTML/CSS principles.

**KEY ACHIEVEMENTS & EXPERIENCE**

*   **Product Success:** Designed more than 40 successful digital products.
*   **Brand Creation:** Created and successfully operate more than 30 brands and trademarks in the market.
*   **Global Leadership:** Led design teams and design projects worldwide.
*   **Startup & Management:** Experience in product management and launching startups.
*   **Industry Recognition:** Winner of international design awards and served as a jury member at international design competitions.
*   **Mentorship:** Mentored junior designers; provided lectures and workshops.
*   **Certification:** Holds respectable UX certification.

**SKILLS**

*   **UX/UI & Design:** UX Architecture & Design, Visual Design, UI Design, Prototyping, User Testing, Usability Evaluation, Data-Driven Design, Logo Design, Product Identity Design, Mobile (iOS and Android), Responsive Design.
*   **Product & Strategy:** Product Management, Business and Requirement Analysis, User and Marketing Research, Data Mining.
*   **Technical & Emerging Tech:** HTML/CSS, AR/VR.
*   **Leadership & Creative:** Management, Direction, Tutoring, Photography.

**CAREER OBJECTIVES & PREFERENCES**

*   **Target Environment:** Preferably looking for a product company with professional management that clearly understands and communicates business needs and goals.
*   **Role Requirements:** The possibility to influence product direction and vision is mandatory.
*   **Interests:** Cross-disciplinary design projects and AR/VR projects (excluding game development).
*   **Work Model:** Considering remote work or relocation (USA, UK, Europe). Flexible and open to changes and reconstructions.
*   **Consultancy:** Ready to provide part-time design consultancy services regarding processes or products.
*   **Exclusions:** Not interested in project or operation work at outsource companies."
57400,"**Senior UI/UX Design Manager**

**PROFESSIONAL SUMMARY**

Senior Design Manager with over 10 years of experience in UI/UX Design and 5+ years of experience in Design Team Management. Proven track record of establishing design departments from the ground up and leading products from concept to market launch to increase profit and product quality. Experienced in managing a team of 20 members, overseeing full-cycle product design, and driving business growth through strategic client acquisition.

**PROFESSIONAL EXPERIENCE**

**Design Management & Leadership**
*   Established the company’s design department, implementing processes to attract new projects and clients for additional profit.
*   Manage a design team of 20 members, handling resource management, planning, and project distribution.
*   Oversee the full cycle of hiring, including interviewing, onboarding, feedback, and coaching.
*   Successfully mentored and grew team members from Intern and Junior levels to Senior and Team Lead roles.
*   Responsible for design strategy, monitoring, and evaluation of employee performance.
*   Manage department budgeting, project estimation, and specifications.
*   Participate in pre-sales activities and review contract documentation.
*   Control payments and deliveries between the company and customers.

**Product Design & Execution**
*   Successfully implemented 50+ medium to large-scale projects across diverse industries.
*   Lead product design from initial idea to final launch, including creating concepts and entering the market.
*   Execute improvements on existing products to enhance quality and user experience.
*   Played a critical role in business continuity, saving the business on several occasions through strategic interventions.
*   Apply an analytical approach to design, utilizing strong knowledge of the design process including research, prototyping, testing, user interviews, usability audits, and design systems.
*   Develop creative solutions and interface concepts.

**SKILLS & EXPERTISE**

*   **Core Competencies:** UI/UX Design, Design Strategy, Design Systems, Prototyping, Usability Testing, Research, Interface Concept Development.
*   **Management:** Team Leadership, Resource Planning, Budgeting, Pre-sales, Performance Management, Mentoring.
*   **Soft Skills:** Analytic Mindset, Problem-Solving, Crisis Management (Working under pressure), Collaboration, Self-Management, Empathy (Understanding user thoughts & feelings).

**INDUSTRY EXPERIENCE**

Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain and Crypto, Legal, Sports."
62042,"**PROFESSIONAL EXPERIENCE**

**Beetroot Academy** | *HR & Recruitment Trainee*
**2023 – Present**

*   Executed practical recruitment tasks within the learning curriculum.
*   Drafted initial outreach correspondence to potential candidates.
*   Sourced candidates utilizing Boolean Search and X-RAY search methodologies.
*   Conducted practice interviews to assess candidate suitability.

**Freelance** | *Web Designer, UX/UI Designer*
**2020 – Present**

*   Executed multiple design projects, including a website for Fortified Capitals (an exchange trading platform) and a Smart Home mobile application.
*   Designed landing pages and created business cards for clients.

**Partner Ukraine LLC** | *Project Manager & Personal Assistant (Part-time)*
**2020 – 2023**

*   Maintained project documentation and negotiated contracts.
*   Created and implemented business processes (BPMN) for all structures and departments.
*   Assigned tasks to project participants and monitored implementation progress.
*   Identified and implemented solutions for recurring operational problems.
*   Managed team motivation and facilitated workflows between suppliers and customers.

**LLC Trade House Alfa-Komplekt EKB** | *Deputy General Director for Quality*
**2018 – 2020**

*   Oversaw quality control of supplied products and managed reclamation work.
*   Developed and implemented the organization's Quality Management System (QMS) policy and goals.
*   Prepared comprehensive documentation packages to obtain necessary certificates and licenses for organizational operations.
*   Organized events for company participation in exhibitions, conferences, and seminars.

**Alfa-Sert LLC** | *Marketer*
**2015 – 2018**

*   Managed company branding, including development, implementation, and improvement strategies.
*   Prepared, approved, and launched advertising campaigns in accordance with company policy.
*   Developed product catalogs based on the specifics of the organization's offerings.
*   Oversaw the development, approval, and launch of POS materials (leaflets, booklets, souvenirs).
*   Managed relationships with contractors, including designers, web developers, printing houses, and exhibition organizers.

**Albion Trading Company LLC** | *Marketer*
**2012 – 2014**"
63086,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**

Web Designer with practical experience in Sketch, Figma, Adobe Photoshop, and Adobe Illustrator. Dedicated to mastering new software and design processes quickly and efficiently.

**SKILLS**

*   **Design Software:** Sketch, Figma, Adobe Photoshop, Adobe Illustrator
*   **Core Competencies:** UI/UX Design, Web Design

**EDUCATION**

**UI/UX Web Designer**
Spalah IT-School | May 2018 – Present

**UI/UX Web Designer**
LevelUP School | October 2018 – April 2019"
63087,"[Name]
[Phone Number] | [Email Address] | [Portfolio Link - Optional]

**PROFESSIONAL SUMMARY**

Aspiring Designer seeking an entry-level opportunity to apply foundational skills in Adobe Creative Suite and Figma. Highly motivated to learn from experienced mentors and contribute to real-world projects. Dedicated to professional growth with a strong commitment to putting in the necessary time and effort to provide a quick return on investment for the team. Bringing excellent soft skills developed within the restaurant industry, including discipline, adaptability, and a collaborative spirit.

**TECHNICAL SKILLS**

*   **Design Software:** Adobe Photoshop, Adobe Illustrator, Figma (Basic Proficiency)

**CORE COMPETENCIES**

*   **Adaptability & Flexibility:** Able to adjust quickly to new environments and changing project requirements.
*   **Communication:** Strong sociability and interpersonal skills.
*   **Receptiveness to Feedback:** Open to criticism and dedicated to using feedback for rapid improvement.
*   **Work Ethic:** Highly disciplined and focused on delivering results.
*   **Collaboration:** Non-conflict oriented team player capable of working effectively with diverse groups.

**WORK HISTORY**

**Service Industry Professional (Restaurant Industry)**
*[Dates of Employment]*

*   Developed strong professional discipline and reliability in a fast-paced service environment.
*   Demonstrated flexibility and adaptability while managing shifting priorities.
*   Maintained positive working relationships through effective communication and conflict avoidance.
*   Consistently applied feedback to improve performance and service quality."
83710,"**Graphic & UI/UX Designer**

**PROFESSIONAL SUMMARY**

Dedicated Graphic and UI/UX Designer with a focus on the Fintech and Blockchain industries. Experienced in creating web and mobile applications from scratch for international markets, including the USA, Canada, and the UK. Skilled in branding, corporate identity, and illustration, with a strong ability to communicate with clients to solve complex design problems. Eager to collaborate with experienced designers and business analysts in a structured environment.

**WORK EXPERIENCE**

**Graphic & UI/UX Designer | Fintech & Blockchain Outsourcing Company**
*   Designed web and mobile applications from scratch, tailoring user experiences for North American and UK markets.
*   Collaborated on a corporate blockchain project involving a tokenized game.
*   Managed direct communication with clients to identify needs and deliver effective design solutions.
*   Developed comprehensive corporate branding materials, including Brand Books and merchandise (hoodies, t-shirts, cups, and pens).
*   Created marketing assets such as banners, printouts, and posters strictly adhering to corporate style guides.
*   **Key Achievement:** Conceptualized and illustrated a stylish, interactive notebook for employee anniversaries, featuring original character designs and thematic pages.
*   **Key Achievement:** Designed corporate Instagram posts that established the visual standard and templates for subsequent social media content.

**Freelance Graphic & UI/UX Designer**
*   Designed a complete website from scratch for a blockchain trading company.
*   Executed the redesign of a legacy website to modernize its visual interface.
*   Created a custom logo for a Ukrainian bag manufacturer.
*   Produced animation assets for a portfolio case study on Behance.

**SKILLS & EXPERTISE**

*   **UI/UX Design:** Web and Mobile App Design, Website Redesign, Wireframing.
*   **Graphic Design:** Branding & Identity (Brand Books), Print Design, Marketing Materials.
*   **Illustration:** Character Design, Thematic Layouts.
*   **Industry Knowledge:** Fintech, Blockchain.
*   **Soft Skills:** Client Communication, Problem Solving, Adaptability.

**WORK PREFERENCES**

*   Seeking structured tasks with clear deliverables and adequate deadlines.
*   Focus on visual design and user experience (Non-coding/No HTML conversion)."
83711,"**Professional Experience**

*   **Marketing Strategy & Analysis:** Developed marketing plans and conducted performance analysis of company advertising campaigns.
*   **Graphic Design:** Designed and created all visual assets for websites and social media platforms.
*   **Content Management:** Created and distributed newsletters tailored to three distinct target audiences from scratch.
*   **Social Media Management:** Maintained and managed social network accounts for Medimost and its subsidiary projects.
*   **Humanitarian Support:** Operated a medical aid infoline to assist refugees from Ukraine."
86666,"**PROFESSIONAL SUMMARY**

Web Designer with over two years of experience working for a digital marketing agency. Expertise lies in creating modern, responsive corporate websites and landing pages that are visually appealing and user-friendly. Proficient in a variety of design tools and software with a strong focus on meeting client and customer needs. Aspiring UI/UX Designer dedicated to expanding skill sets to create effective, high-quality digital experiences.

**PROFESSIONAL EXPERIENCE**

**Web Designer** | Digital Marketing Agency
*   Design modern, responsive corporate websites and landing pages.
*   Create digital experiences that are both visually appealing and user-friendly.
*   Hone design skills to strictly meet the requirements of clients and their customers.
*   Utilize a variety of design tools and software to execute projects.

**CORE COMPETENCIES**

*   Web Design
*   Responsive Design
*   Corporate Websites & Landing Pages
*   User-Friendly Interface Design
*   Design Tools & Software Proficiency"
87779,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Your City/Location] | [LinkedIn URL]

**PROFESSIONAL EXPERIENCE**

**Bank Gutmann**
*Design and Digital Marketing*

**Deutsche Börse**
*Global RM, Sales, Client Services*

**727.ventures**
*Growth Assistant / Product Manager*"
97622,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Proactive UI/UX Designer with 1.5 years of hands-on experience designing for desktop and mobile applications, complemented by a 3-year background in graphic design and illustration. Dedicated to creating clear, easy-to-use, and attractive designs that solve client problems. Skilled in the full design lifecycle, from user research and roadmap creation to clickable prototyping and testing.

**CORE COMPETENCIES**
*   **UI/UX Design:** Web & Mobile Applications, Desktop Software, Design Patterns.
*   **User Research:** Empathy Maps, User Scenarios, Needs Analysis, Usability Testing.
*   **Prototyping:** Clickable Prototypes, Wireframing, Data Analysis.
*   **Project Management:** Project Roadmaps, Design Matrices, Client Communication.
*   **Visual Design:** Illustration, Content Creation, Layout Design.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer** | [Location/Company Name]
*1.5 Years Experience*

*   Design user interfaces for web and mobile applications, utilizing established behavioral patterns to ensure intuitive user experiences.
*   Conduct comprehensive user research to identify user problems and needs; develop empathy maps and user scenarios based on research data.
*   Create clickable prototypes derived from data analysis and perform testing to validate design solutions.
*   Manage project organization through the creation of project roadmaps and design matrices.
*   Maintain direct, face-to-face communication with customers to identify requirements and deliver optimal design solutions.

**Graphic Designer & Illustrator** | [Location/Company Name]
*3 Years Experience*

*   Created custom illustrations, graphics, and visual content for a variety of print and digital media.
*   Designed layouts for books and booklets, ensuring high visual standards.
*   Developed engaging visual content for social media posts."
98134,"[Full Name]
[Phone Number] | [Email Address] | [Portfolio Link / LinkedIn Profile]

**PROFESSIONAL SUMMARY**

Aspiring Junior UI/UX Designer seeking a trainee program or full-time position to facilitate professional growth within the IT sector. Leverages a background in Project Management and a Master’s Degree to approach design challenges with strong analytical, planning, and problem-solving skills. Dedicated to achieving high-quality results and applying recent training in web design, motion graphics, and the Adobe Creative Suite.

**TECHNICAL SKILLS**

*   **Design Software:** Adobe Illustrator, Adobe Photoshop, Adobe After Effects.
*   **Core Competencies:** Web Design, Animation, Motion Design, UI/UX Principles.

**PROFESSIONAL EXPERIENCE**

**Project Manager**
*Non-Governmental Organization (NGO)* | [Location] | [Dates: 3 Years Total]

*   Managed projects for three years, consistently working to achieve defined results and objectives.
*   Applied analytical skills to assess project requirements and monitor progress.
*   Utilized strategic planning and problem-solving techniques to navigate complex operational challenges.

**EDUCATION**

**Master’s Degree**
[University Name] | [Location]

**RELEVANT COURSEWORK & TRAINING**

*   **Animation and Motion Design:** Completed specialized course focusing on Adobe After Effects.
*   **Design Fundamentals:** Completed coursework in Web Design, Adobe Illustrator, and Adobe Photoshop."
98135,"**UI/UX Designer**

**Professional Summary**
UI/UX Designer with over 1 year of experience in creating user-centered digital solutions. Skilled in the full design lifecycle, from user behavior analysis to high-fidelity prototyping. Committed to employing industry best practices to ensure seamless functionality across all devices. Seeking a new opportunity to further develop design skills and contribute to professional projects.

**Professional Experience**

**UI/UX Designer** | [Dates/Location]

*   **Website Design & Development:** Employed industry and design best practices throughout the website build process to ensure high-quality output.
*   **User Research & Analysis:** Analyzed user behavior to detect pain points and performed troubleshooting to optimize the User Experience (UX).
*   **Prototyping:** Developed interactive prototypes for landing pages using Figma.
*   **Visual Design:** Defined visual identity through the careful selection of fonts, color palettes, and illustrations.
*   **Responsive Design:** Ensured consistent website functionality and layout adaptation across desktop, mobile, and tablet devices.
*   **Branding:** Created logos to support brand identity requirements.

**Skills**

*   **Design Tools:** Figma
*   **Core Competencies:** UI/UX Design, Prototyping, Wireframing, User Behavior Analysis, Visual Design (Typography, Color Theory), Logo Creation.
*   **Technical:** Responsive Web Design (Desktop, Mobile, Tablet), Design Best Practices."
98136,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Dedicated UI/UX Designer with 1.5 years of experience in creating user-centered digital designs. Proficient in Figma and Adobe Photoshop, with a strong background in e-commerce projects for European and British markets. Committed to continuous professional development and skilled in collaborating with cross-functional teams including Product Managers, Developers, and QA. Fluent in English.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Adobe Photoshop
*   **Core Competencies:** UI Design, UX Design, Prototyping, Layout Creation, Wireframing
*   **Languages:** English (Proficient)

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer** | British Clothing Store Project
*Duration: 2 Months (Recent)*
*   Designed User Interface (UI) and User Experience (UX) solutions for a British clothing retailer.
*   Created interactive prototypes to visualize user flows and design concepts.
*   Developed detailed layouts and visual assets to support the development of the online store.

**UI/UX Designer** | E-Commerce Startup (EU Market)
*Duration: 4 Months*
*   Served as the UI/UX Designer for an online clothing shop targeting the European market.
*   Collaborated closely within a product team consisting of a Product Manager, two Developers, and a QA specialist.
*   Utilized Figma and Adobe Photoshop to deliver consistent design assets and improvements.

**Freelance UI/UX Designer** | Self-Employed
*Duration: 8 Months*
*   Managed and executed UI/UX design tasks for various small-scale projects.
*   Delivered design solutions using Figma and Adobe Photoshop to meet diverse client requirements."
98137,"UI/UX DESIGNER
Lviv, Ukraine

PROFESSIONAL SUMMARY
Aspiring UI/UX Designer dedicated to helping enterprises design and launch new digital products or redesign existing projects. Committed to utilizing user-centered design principles to ensure products are intuitive and easy to use. A responsible, sociable, and fast-learning professional with a strong drive to continuously expand professional knowledge and skills.

EDUCATION
Projector Institute
Web Design Beginning Course

Udemy
Fundamentals of UI and UX Design (Completed 2 Courses)

PROFESSIONAL DEVELOPMENT
Mentorship
Completed design mentorship under Valentine Skliarov (Lead Designer at Cieden).

SKILLS
*   UI/UX Design
*   Web Design
*   User-Centered Design
*   Product Redesign
*   Rapid Learning
*   Communication & Collaboration"
98138,"[Name]
[Phone Number] | [Email Address] | [Portfolio Link]

**PROFESSIONAL SUMMARY**

Aspiring UI/UX Designer with a strong focus on aesthetics, simplicity, and user-friendly principles. Highly organized perfectionist who prioritizes cleanliness in file structure and layer management. Quick learner and team player dedicated to creating intuitive design solutions. Currently expanding technical skillset through Webflow training and English language development.

**TECHNICAL SKILLS**

*   **Design Software:** Figma (Proficient in Components, Variants, Auto Layout, Prototyping, Mockups), Adobe Photoshop.
*   **Basic Knowledge:** Adobe Illustrator, Webflow (Currently learning).
*   **Design Theory:** Typography, Grid Systems (Bootstrap), Composition, Color Theory, Usability Principles.

**PROJECTS & EXPERIENCE**

**Educational Projects & Concept Design**
*   Designed various landing pages and authorization forms for educational courses and test tasks.
*   Utilized Figma to create high-fidelity mockups and interactive prototypes.
*   Implemented advanced Figma features including Auto Layout, Components, and Variants to ensure design consistency and scalability.
*   Applied principles of typography, composition, and grids to create aesthetically pleasing and functional interfaces.
*   Maintained strict organization of design files and layers to ensure workflow efficiency.

**KEY COMPETENCIES**

*   **UI/UX Design:** Passionate about finding creative ideas and implementing user-centric design solutions.
*   **Organization:** Dedicated to maintaining clean project structures and organized layers.
*   **Collaboration:** Strong team player mindset with an ability to adapt and learn new tools quickly.

**LANGUAGES**

*   English (Currently improving)"
98171,"[Your Name]
[City, State, Zip Code] | [Phone Number] | [Email Address]
[Portfolio Link / LinkedIn Profile]

**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Ambitious and creative UI/UX Designer with approximately one year of experience in design. Proactive and cooperative professional with a background in both freelance creative development and team-based startup environments. Diligent in approach with high standards for quality. Passionate about combining technical skills in Figma, Adobe Suite, and 3D modeling to create amazing user experiences.

**TECHNICAL SKILLS**
*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator
*   **3D & Drafting:** Blender, AutoCAD

**KEY ATTRIBUTES**
*   Creative Design & Conceptualization
*   Proactive Team Collaboration
*   Diligence & Professionalism
*   Ambitious & Goal-Oriented

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer (Team Member)** | Startup Project
*   Collaborated cooperatively within a team environment to support startup objectives.
*   Contributed to design processes and workflows in a dynamic setting.
*   Applied proactive problem-solving skills to meet team demands.

**UI/UX Designer** | Freelance
*   Developed creative projects independently, managing the design process from concept to execution.
*   Demonstrated diligence and creativity in delivering design solutions.
*   Utilized various design tools to meet project requirements.

**ADDITIONAL INTERESTS**
*   Photography
*   Music"
98172,"**DMITRY**
**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Aspiring and passionate UI/UX Designer dedicated to creating modern and stylish visual solutions. Committed to continuous professional development and active trend research to ensure high-quality design output. Eager to leverage current skills and enthusiasm to contribute effectively to professional projects and deliver exceptional results.

**CORE COMPETENCIES**

*   **UI/UX Design:** Focused on building functional and aesthetically pleasing user experiences.
*   **Visual Style:** Specialization in crafting modern and stylish interface designs.
*   **Design Research:** Active in sourcing inspiration and analyzing current industry trends.
*   **Skill Development:** Devoted to ongoing learning and technical improvement."
98173,"**PROFESSIONAL SUMMARY**

Dedicated Web and Mobile Application Designer with experience creating user-centric layouts and designs using industry-standard tools. collaborative team player focused on ensuring the successful completion of projects on time and according to user needs. Committed to staying current with the latest web design trends and technologies to ensure optimal design and functionality. Seeking a remote position with a flexible schedule in a collaborative environment focused on producing competitive, high-quality products.

**TECHNICAL SKILLS**

*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, CorelDRAW.
*   **Core Competencies:** Web Design, Mobile Application Design, Wireframing, Interface Design, Layout Creation.
*   **Research & Strategy:** Competitor Assessment, Persona Creation, User Mapping, User Flows.

**PROJECT EXPERIENCE**

**GetPet | Web Service for Finding Lost Animals**
*   Conducted comprehensive analytics and research, including competitor assessment, user persona creation, user mapping, and user flows.
*   Developed wireframes and executed the final interface design for the platform.
*   Collaborated within a team structure to ensure successful development and implementation.

**Poltava Music School | Website Redesign**
*   Executed a complete overhaul of the existing website interface.
*   Transformed the design to be modern, visually appealing, and user-friendly.

**PROFESSIONAL EXPERIENCE**

*   Design websites and mobile applications utilizing various graphic editors and technologies.
*   Partner with other designers in a team environment to meet project deadlines and fulfill user requirements.
*   Continuously research and apply new tools and web design methodologies to improve product quality."
