,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview
53979,"**UX/UI Designer** | 2020 – 2022

**Second Half of Year**
* Developed indie game interfaces based on self-conducted UX research.
* Created low-fidelity and high-fidelity wireframes.
* Collaborated closely with developers and game designers throughout the development process.
* Designed surveys and exercises for user testing to gain deep insights into game interaction.

**First Half of Year**
* Developed UX/UI solutions using a user-centered design approach.
* Conceptualized ideas from low-fidelity wireframes through to interactive visual designs and prototypes.
* Built and designed sitemaps and information architecture.
* Demonstrated how design builds from core user needs to add value in ways a user may not have initially considered.
* Illustrated design ideas using storyboards, process flows, and sitemaps.
* Developed adaptive and responsive UX/UI wireframes for web-based applications.
* Accounted for negative paths to ensure designs covered full customer loops.
* Created Customer Journey Maps (CJMs) and guides to support the overall product vision.

**Visual and Graphic Designer** | 2019 – 2022

* Created logos, conceptual identities, banners, posters, and advertisements.
* Generated creative ideas and styles while monitoring current design trends.
* Maintained high attention to detail and structured project results effectively.
* Presented and defended design concepts to clients.
* Collaborated with a professional team to implement design knowledge into final products."
53981,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**
UI/UX Designer and UI Artist with extensive experience in the game development industry since 2020. Possesses a deep understanding of design principles, critical thinking skills, and a refined aesthetic for high-quality graphic production. Expert in the complete graphic development cycle, spanning digital platforms and physical print media.

**EXPERIENCE**
**UI/UX Designer / UI Artist**
2020 – Present
*Game Insight, 101XP, Playrix, WhaleApp*

**PROFESSIONAL EXPERTISE**
*   **Graphic Design:** End-to-end development and redesign for digital and physical assets.
*   **UI/UX Design:** Specialized in game development, websites, and mobile applications.
*   **Branding:** Comprehensive brand identity development.
*   **Polygraphic Design:** Full-cycle production of printed materials.
*   **2D Animation:** Creation and implementation of animated assets.
*   **Technical Execution:** Preparation of precise layouts for web and app development; adherence to all technical requirements for print manufacturing.

**CORE STRENGTHS**
*   **Full Cycle Development:** Managing projects from the ground up through redesign and final delivery.
*   **Technical Precision:** Deep understanding of technical requirements for print manufacturing and polygraphic design.
*   **Layout Excellence:** Creating optimized, high-fidelity layouts for websites and mobile applications.
*   **Professional Standards:** High work organization and commitment to quality execution.

**WORK VALUES**
*   Engaging with complex and interesting projects.
*   Operating within highly organized environments and qualified management structures.
*   Contributing to creative spaces."
54796,"**GRAPHIC & UI/UX DESIGNER**

**Professional Summary**
Kharkiv-based Designer with over 10 years of experience across Graphic and UI/UX design. Proven track record working within advertising agencies, marketing firms, and printing houses. Specialized in brand identity, having worked with leading Ukrainian real estate companies and European clients. Developed numerous logos, styles, and outdoor advertising projects currently featured in Kyiv, Kharkiv, and other cities across Ukraine and Europe.

**Core Competencies**
*   **UI/UX Design:** Landing pages, website design, and UX research.
*   **Brand Identity:** Logo creation, corporate styles, and social network design.
*   **Web Development:** Website creation using the Tilda constructor.
*   **Print & Production:** Layouts for printed materials, presentations, and transport branding.
*   **Marketing Design:** Large-scale outdoor advertising and promotional materials.

**Professional Experience**
*   **Designer | Freelance & Agency Background**
    *   Collaborated with leading Ukrainian real estate firms and diverse European clients.
    *   Spent several years in advertising/marketing agencies and printing houses, managing projects from concept to production.
    *   Created comprehensive visual identities and logos with a portfolio of work visible in major urban centers.
    *   Designed and implemented outdoor advertising and transport branding.
    *   Developed websites and landing pages with a focus on user-friendly design.

**Technical Skills & Services**
*   UX Research
*   Website & Landing Page Design
*   Logo & Identity Creation
*   Social Media Layouts
*   Print Media Design
*   Presentation Design
*   Outdoor Advertising & Transport Branding
*   Tilda Constructor

**Personal Qualities**
*   Excellent organizational and planning skills.
*   Strong team player.
*   Focused on user-friendly design principles.
*   Strong desire to grow and develop professionally within the UX/UI field."
54797,"[NAME]
Graphic, UI/UX Designer
[LOCATION/Ukraine] | [EMAIL] | [PORTFOLIO/LINKEDIN]

SUMMARY
Remote Graphic and UI/UX Designer with 4+ years of experience creating user-centric designs for complex and specialized software products. Expertise includes SaaS platforms, web applications, and mobile apps. Proven track record of leading design projects from initial concept through problem-solving to full UI implementation.

EXPERIENCE

ManyRequests
UX/UI Designer | Aug 2020 – Nov 2020

• Reworked UX and UI of an existing product to enhance user friendliness.
• Executed quick iterations and offered design versions based on feedback, user testing, and feature responses.
• Created on-brand design solutions aligned with measurable business goals and requirements.
• Integrated new features into the platform based on identified user needs.

Stress Point Health Ltd
Product Designer | Apr 2018 – Jun 2020

• Led the design of a mobile application providing patients with access to treatments for stress, anxiety, and trauma.
• Managed the end-to-end design process, from initial idea and problem-solving to high-fidelity UI.
• Simplified complex metrics through understandable data visualization.
• Delivered wireframes, user journey flows, and prototypes for testing phases.
• Facilitated usability testing sessions with 22 volunteers during the first pilot study to identify and resolve usability issues.

Propeller Digital Company
UI/UX and Web Designer | May 2016 – Dec 2019

• Served as the sole designer, taking the leadership role for all design decisions.
• Designed all visual assets, including websites, print materials, and infographics.
• Analyzed briefs to scope projects and define UX approaches, activities, and workflows.
• Translated concepts into wireframes, designs, and mockups for B2B and B2C markets using tailored design languages and messaging.
• Executed redesigns for business presentations, logos, brand identities, and existing websites.
• Applied user-centered design and design thinking approaches to manage increasing responsibilities and decision-making.

SKILLS
• UI/UX Design (Mobile, Web, SaaS)
• Product Design
• Graphic Design & Brand Identity
• User Research & Usability Testing
• Wireframing & Prototyping
• User Journey Mapping
• Data Visualization
• Design Thinking Methodologies"
54798,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Creative professional with a background in design and journalism, specializing in mobile growth, UI/UX, and marketing assets. Experienced in maintaining brand consistency, application prototyping, and multimedia production.

**EXPERIENCE**

**Phiture** | Creative Intern 
*Mobile Growth Consultancy and Agency*
*   Developed illustrations and diverse design assets for the marketing team.
*   Adjusted designs to ensure strict adherence to brand guidelines.
*   Produced print designs and performed professional photo retouching.
*   Created marketing assets for high-profile clients, including Ad Hoc Labs and Tipp24.
*   Participated in A/B testing processes for Adobe.
*   Assisted in Quality Assurance (QA) procedures.

**Charitable Organization** | Graphic and UI/UX Designer (Non-profit)
*   Honed graphic and UI/UX design skills through the execution of various non-profit projects.
*   Managed and processed large amounts of information and text within a multimedia journalism context.
*   Developed expertise in vector graphics, icons, and logo design.

**EDUCATION**

**Master’s Degree in Design and Journalism**
*   Training projects focused on application prototyping and branding.

**SKILLS**

*   **Design:** UI/UX Design, Application Prototyping, Branding, Vector Graphics, Icon Design, Logo Design, Print Design.
*   **Multimedia:** Video Editing, Motion Graphics, Photo Retouching, Multimedia Journalism.
*   **Technical:** A/B Testing, Quality Assurance (QA), Information Synthesis, Text Editing."
54799,"[NAME]
[ADDRESS/PHONE/EMAIL]

**OBJECTIVE**
To contribute to interesting and complex projects as a designer within a creative team. Seeking opportunities to realize professional potential in a remote or office-based environment.

**SKILLS**
*   **Design Tools:** Figma, Adobe Illustrator, Photoshop, InDesign, Premiere Pro, After Effects.
*   **3D Modeling:** 3ds Max, Maya, 3D Coat.
*   **Technical:** HTML, CSS.
*   **Languages:** English (Intermediate).

**PROFESSIONAL EXPERIENCE**

**ITSTEP Academy**
*Design Teacher* | [Dates] – Present
*   Instructing students in design principles and software; three years of total experience in design education.

**Freelance**
*Designer* | [Approx. 2 Years]
*   Executed design projects for various clients, including collaborations with Hipinspire.com and SmartJ.

**Softkit (IT Company)**
*Web Designer*
*   Developed a multi-page website for the company.

**Ugtransresurs (Coal Company)**
*Corporate Identity & Web Designer*
*   Developed a comprehensive corporate identity from scratch.
*   Designed and structured the company website.

**Peace IT**
*Design Intern* | [2 Months]
*   Completed a two-month internship focused on IT design.

**ADDITIONAL COLLABORATIONS**
*   Hipinspire.com
*   SmartJ
*   Softkit"
54800,"**MARY**
Graphic Designer

**SUMMARY**
Professional Graphic Designer with over 3 years of experience specializing in layout design and visual communication. Proven expertise in creating assets for both digital and print media, with a focus on logo development and corporate branding. Committed to collaborative design processes and exploring diverse creative challenges.

**TECHNICAL SKILLS**
*   **Software:** Adobe Photoshop, Adobe Illustrator, Adobe XD
*   **Design Specialties:** Logo Design, Banner Design, Outdoor Advertising, Personal & Corporate Landing Page Design, File Printing

**PROFESSIONAL EXPERIENCE**
**Graphic Designer** | [Dates]
*   Developed and executed diverse design projects and layouts utilizing Photoshop, Illustrator, and XD.
*   Specialized in the creation of custom logos and high-impact banner designs.
*   Designed and prepared technical assets for outdoor advertising campaigns.
*   Produced professional landing page designs for personal and corporate clients.
*   Managed file preparation and technical requirements to ensure high-quality printing results.
*   Collaborated with clients across various industries throughout over 3 years of professional practice."
56453,"**DESIGN AND COMPUTER GRAPHICS SPECIALIST**

**Professional Profile**
Versatile specialist with 12 years of professional experience in design and computer graphics. Proven expertise across diverse aspects of the field, combining creative, technical, and management skills to deliver high-standard results. Committed to continuous professional development and research, with a focus on advancing team objectives and completing complex tasks with precision.

**Core Skills**
*   Design and Computer Graphics
*   Project Management
*   Technical and Creative Problem Solving
*   Research and Skill Development
*   Team Collaboration

**Professional Experience**
*   12 years of professional experience in the design and computer graphics industry."
56528,"[NAME]
[Contact Information]

**SUMMARY**
Results-oriented creative professional and team player with extensive experience in art direction, illustration, and graphic design. Open to new tasks, projects, and experiences.

**AWARDS & EXHIBITIONS**
*   **Finalist**, Hublot Design Prize (2022)
*   **Solo Illustration Exhibitions**: Ukraine, Germany, and France

**PROFESSIONAL EXPERIENCE**

**Art Director | Kukuruza Video Production (Ukraine)**
*2022 – 2023*
*   Developed conceptual ideas and style mood boards for video productions.
*   Managed department operations and creative teams.
*   Collaborated with top retailers, IT companies, government entities, and international businesses.

**Illustrator | 100Roads (USA, Remote)**
*2021 – 2023*
*   Developed concepts and sketches for EdTech platform onboarding backgrounds.
*   Executed 2D digitalization of background illustrations.

**Stage Designer | Kukuruza Video Production (Ukraine)**
*2021 – 2022*
*   Created storyboards and provided art direction for filming locations.
*   Produced props for video productions.
*   Partnered with leading retail companies.

**Freelance Contractor | Ukraine, Europe, USA**
*2014 – Present*
*   Provide design services including Web Design, UI/UX, Illustration, and Brand Identity.
*   Designed social network content for the Vogue Ukraine project.
*   Executed design for Elle magazine cover.
*   Worked with FMCG brands, fashion labels, startups, galleries, and small to medium-sized enterprises.

**Printing Designer | Picasso Art Wedding (Ukraine)**
*2017 – 2020*
*   Created watercolor illustrations and calligraphy.
*   Managed prepress and printing for invitations, menus, name cards, and envelopes.

**Graphic Designer (Contractor) | SSN Design Bureau (Ukraine)**
*2019*
*   Developed branding, illustrations, logo designs, and packaging.
*   Handled prepress for FMCG, restaurants, and coffee shops."
56542,"ANN

Graphic Designer

SUMMARY
Passionate Graphic Designer with over 4 years of professional experience across in-house, agency, and freelance roles. Expertise in brand identity, logo design, and visual communication for both large and small companies. Dedicated to creating original, functional, and engaging design solutions that resonate with audiences and support brand growth. Known for a neat, detail-oriented approach and a strong ability to translate client needs into innovative designs.

SKILLS
*   Design: Brand Identity, Logo Design, Infographics, Layout, Print Materials (Menus, Business Cards, Flyers, Brochures), Web Marketing Assets.
*   Digital: Web Design, UI/UX Design, Landing Pages, Multi-page Websites, Product Sites, Email Newsletters, Presentations.
*   Soft Skills: Collaboration, Teamwork, Innovation, Attention to Detail, Empathy-driven Design.

PROFESSIONAL EXPERIENCE
Graphic Designer (In-house, Agency, and Freelance) | 4+ Years
*   Developed brand identities and logos for diverse clients, including singers and creative agencies.
*   Designed song covers for musical artists and press media kits for bloggers.
*   Created comprehensive print materials including menus, business cards, flyers, brochures, stickers, and postcards.
*   Produced professional presentations for branding and marketing courses.
*   Designed and implemented web marketing materials, email newsletters, and various brand touchpoints.
*   Built functional landing pages, multi-page websites, and product sites.
*   Collaborated with clients and colleagues to generate innovative ideas quickly and efficiently.
*   Maintained high standards of precision in lines, points, details, and layout distances.

EDUCATION & TRAINING
Web Design | Projector
Graphic Design Background"
56543,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Graphic Designer with over 3 years of experience specializing in marketing and corporate design. Proven ability to create and maintain visual identities and develop graphics for media and communications. Skilled in applying design thinking processes across multiple disciplines, including animation, infographics, illustration, and UX/UI.

**EXPERIENCE**

**Graphic Designer** | 3+ Years
*   Developed marketing and corporate design materials.
*   Created and maintained comprehensive visual identities.
*   Utilized design thinking processes to deliver effective visual solutions.
*   Produced graphics for media and communications platforms.
*   Executed projects involving infographics, illustration, and UX/UI design.

**Key Project: Animation for Ukrainian Channel (Poland)**
*   Collaborated with a creative team to produce animation content for a Ukrainian channel in Poland.
*   Gained extensive knowledge and professional experience in broadcast-related animation.

**TECHNICAL SKILLS**
*   **Software:** Figma, Adobe After Effects, Adobe Photoshop, Adobe Illustrator
*   **Design:** Visual Identity, Corporate Design, Marketing Design, Design Thinking, Infographics, Illustration, Animation, UX/UI"
56544,"**[NAME]**
[Phone Number] | [Email Address] | [Portfolio Link] | [Location]

**PROFESSIONAL SUMMARY**
Graphic and UI/UX Designer with a proven track record of creating high-impact digital products and visual identities. Expert in layout, typography, and illustration with a solid understanding of color, shape, and composition. Experienced in delivering research-based design solutions for the gaming, beauty, and mobile app industries, including the design of a top-tier photography application with 20 million downloads.

**CORE COMPETENCIES**
*   UI/UX Design & Graphic Design
*   Branding & Visual Identity
*   2D Animation & Social Media Banners
*   Typography & Illustration
*   Layout & Composition
*   Print & Digital Advertisement
*   Research & Deadline Management

**PROFESSIONAL EXPERIENCE**

**Freelance Designer** | [Dates] – Present
*   Develop diverse social media materials, advertisements, and printing materials for various clients and projects.
*   Manage end-to-end design workflows, ensuring high-quality deliverables that align with client specifications.

**Grls Gang (Nail Company)** | Designer
*   Created the comprehensive branding identity for the company.
*   Designed advertising materials and established visual connections between the brand and its user base.
*   Produced social media content and print materials to support marketing initiatives.

**Plarium (Game Company)** | Designer
*   Produced competitive design advertisements for company products.
*   Created 2D banners and animations specifically tailored for social media resources.

**Lomogram App** | Designer | 2012 – 2013
*   Designed the user interface and visual assets for Lomogram.
*   Contributed to the app’s success in becoming a ""Top 5"" photography application on the Windows Phone Store.
*   Achieved a milestone of 20 million downloads through effective design and user experience.

**EDUCATION & TRAINING**
*   **Education in Graphic and UI/UX Design:** Focused on practical application, research methodologies, and design theory.
*   **Continuous Learning:** Dedicated to staying current with industry-related trends, emerging technologies, and new design standards."
56545,"[NAME]
[Phone Number] | [Email] | [Location]

**PROFESSIONAL SUMMARY**
Creative professional with experience in advertising and digital agencies. Specialized in brand visual communications and social media management for brands and influencers.

**EXPERIENCE**

**Advertising Agency**
*Visual Communications*
* Developed visual communications for the brand.

**Digital Agency**
*Social Media Management*
* Maintained social network pages for brands and influencers.

**SKILLS**
* Web Design
* Animation
* Print Design
* Poster Design
* Social Media Design
* Advertising Banner Design"
56618,"[NAME]
[Phone Number] | [Email Address]
[Portfolio Link] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Graphic Designer with 7 years of professional experience, including 5 years within a manufacturing company. Specialized in UI/UX guidance and e-commerce website improvement for the past 2 years. Expert in developing a diverse range of digital and printable products, from outdoor advertisements to social media content. Seeking a UI/UX Designer position with opportunities for professional growth.

**PROFESSIONAL EXPERIENCE**

**Graphic Designer / UI/UX Specialist** | [Manufacturing Company Name]
[Dates of Employment]
*   Led UI/UX guidance and implemented improvements for the company’s primary e-commerce website over the last 2 years.
*   Developed comprehensive digital assets, including web banners and social media posts.
*   Designed various printable materials and outdoor advertisements.
*   Managed the end-to-end development of all product-related visual content for the manufacturing firm over a 5-year tenure.

**Graphic Designer** | [Previous Company Name/Freelance]
[Dates of Employment]
*   Executed graphic design projects contributing to 7 total years of industry experience.

**CORE COMPETENCIES**
*   **UI/UX:** Website improvement, User Interface guidance, E-commerce optimization.
*   **Digital Design:** Web banners, Social media content, Digital advertisements.
*   **Print Design:** Outdoor ads, Printable marketing materials, Product development.
*   **Total Experience:** 7 years of professional graphic design.

**INTERESTS**
*   Game Development
*   3D Modeling"
56619,"**LIUDMILA**
Graphic Designer

**PROFESSIONAL SUMMARY**
Senior Graphic Designer with over 10 years of experience specializing in logo design, corporate identity, and visual communications across digital and print platforms. Proven track record of creating more than 100 logotypes and comprehensive style guides for diverse business sectors. Expert in preparing graphics for various formats, including web interfaces and social media networks.

**CORE COMPETENCIES**
*   Logo & Corporate Identity Design
*   Web & User Interface (UI) Design
*   Social Media Design & Content Creation
*   Packaging & Print Product Design
*   Presentation Design
*   Digital & Print Production

**TECHNICAL SKILLS**
*   **Design Software:** Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Corel Draw, Figma, Canva
*   **Presentation Tools:** Google Slides

**PROFESSIONAL EXPERIENCE & ACHIEVEMENTS**
*   Accumulated 10+ years of expertise in graphic design, focusing on brand identity and multi-platform visual assets.
*   Designed and executed over 100 unique logotypes and new style guides for a wide range of business spheres.
*   Developed high-level graphics for digital and print formats, ensuring precise preparation for production.
*   Created specialized designs for various social media networks and web-based platforms.
*   Engineered user interface designs and layouts for websites.
*   Managed the design process for packaging and professional printing products.
*   Produced high-quality corporate presentations."
56629,"**[NAME]**
[Phone Number] | [Email Address] | [Portfolio Link] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Dedicated UI/UX Designer transitioning from a six-year career in graphic design. Experienced in creating intuitive, visually appealing interfaces and conducting user research to enhance product satisfaction. Proven track record in developing design systems, implementing responsive design, and collaborating in team environments. Currently seeking a first professional role as a UI/UX designer to apply expertise in user-centric design and visual storytelling.

**SKILLS**
*   **UI/UX Design:** User Interface Design, User Experience Design, User Research, User Behavior Analysis, Observations, Prototyping, Wireframing, Responsive Design.
*   **Visual Design:** Graphic Design, Logo Design, Corporate Identity, Advertising Materials, Layout Optimization, Aesthetics.
*   **Technical & Collaborative:** Design Systems Development, Team Collaboration, Cross-functional Integration, Iterative Design.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer (Practice)** | 6 Months
*   Executed various design projects including landing pages, website redesigns, and team-based mobile and web applications.
*   Conducted extensive user research and behavioral analysis to gather insights for design improvements.
*   Developed comprehensive design systems to ensure visual consistency across team projects.
*   Created modern, engaging interfaces with a focus on clean layouts and intuitive navigation.

**Graphic Designer** | 2016 – 2022
*   Specialized in the development and execution of visual design projects.
*   Created logos, corporate identities, and advertising materials for diverse clients.
*   Managed the full lifecycle of graphic solutions from conceptualization to execution.
*   Leveraged graphic design expertise to transition into digital interface design.

**PROJECTS**

**LifeLandscape – Web Service for Landscape Design**
*   Collaborated closely with a team of UX designers to ensure seamless integration of design elements.
*   Designed intuitive user interfaces focused on enhancing overall user satisfaction.
*   Analyzed user feedback and iterated on designs to optimize usability and functionality.
*   Implemented responsive design principles to ensure accessibility across various devices and screen sizes.
*   Adapted layouts and optimized images to maintain consistency across different platforms.

**Tattoo Studio Redesign – Destin, Florida**
*   Led the redesign of a studio website to improve user experience and attract new clients.
*   Conducted research into the target audience and their preferences to inform design decisions.
*   Developed a modern and engaging interface utilizing a clean, intuitive layout.
*   Optimized site navigation to allow visitors to easily access different sections and portfolios.
*   Executed a visually striking, user-centric design that resonates with the studio’s demographic.

**PROFESSIONAL OBJECTIVES**
*   **Growth:** Seeking opportunities to work with modern tools and technologies under the mentorship of experienced professionals.
*   **Impact:** Focused on contributing to high-quality products through innovative design approaches and collaborative teamwork.
*   **Environment:** Interested in supportive team settings that value idea exchange and professional development."
56630,"**WEB & GRAPHIC DESIGNER**

**SUMMARY**
Professional Web and Graphic Designer with over 7 years of experience in the design industry. Proven track record transitioning from corporate IT environments to successful independent freelance work. Expert in leveraging traditional drawing skills to enhance color theory, composition, and visual storytelling across digital and print platforms.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Sketch, Adobe Photoshop, Adobe Illustrator
*   **Core Strengths:** UX/UI Design, Brand Identity, Illustration, Color Theory, Composition

**PROFESSIONAL EXPERIENCE**

**Freelance Designer**
*   Collaborated remotely with diverse companies and managed independent design projects.
*   Developed comprehensive visual solutions tailored to client specifications and brand goals.
*   Managed end-to-end design processes for a variety of digital and print media.

**Graphic Designer | IT Sector** (Two Organizations)
*   Served as an in-house designer for two distinct IT companies during the foundational years of career.
*   Contributed to internal and external design assets within a fast-paced technology environment.

**CORE COMPETENCIES**

**Digital & UX/UI Design**
*   UX/UI Website Design & Redesign
*   Responsive Design for mobile and web
*   Social Media Post Design
*   Digital Banners

**Branding & Visual Identity**
*   Logo Creation & Brand Identity Systems
*   Unique Iconography & Custom Illustrations

**Print & Marketing Materials**
*   Flyers, Posters, and Print Banners
*   Marketing Collateral Design"
56631,"[Name]
[Phone Number] | [Email] | [Portfolio Link]

**SUMMARY**
Experienced Designer with a background in both Product and Outsourcing companies. Specialized in UX/GUI for iOS and Android applications, responsive web design, and visual communications. Seeking new challenges with readiness for relocation or remote work.

**DESIGN EXPERTISE**
*   **Mobile & Web:** iOS and Android apps, Responsive Design, Landing Pages, Sites
*   **Visual Design:** UX (Strong Skills), GUI, Animation, Logo Design, Visual Communications
*   **Marketing & Print:** Promotion Design (Banners, POSM, etc.), Marketing Knowledge

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Sketch, Affinity, Procreate, Freehand Drawing
*   **Adobe Creative Suite:** Photoshop, Illustrator, After Effects, Lottie
*   **Prototyping & Analysis:** InVision, Hotjar, WordPress
*   **Development:** HTML, CSS, JavaScript, Python Core

**PROJECT MANAGEMENT & COLLABORATION**
*   Slack, Jira, Confluence, Keybase, Trello, Redmine

**PROFESSIONAL CONTEXT**
*   Product Companies
*   Outsourcing Companies

**AVAILABILITY**
*   Open to Remote Work
*   Ready for Relocation"
56632,"**GRAPHIC & UI/UX DESIGNER**

**SUMMARY**
Highly creative Graphic and UI/UX Designer with 4 years of experience specializing in brand identity, web design, and intuitive user interfaces. Proven track record of translating emotional and philosophical brand concepts into cohesive visual components. Experienced in the full design lifecycle, from user research and requirements gathering to final print production and digital implementation. Committed to meeting deadlines and excelling within agile development processes.

**TECHNICAL SKILLS**
*   **Design Software:** Adobe Photoshop, Illustrator, Adobe XD, Figma.
*   **Design Expertise:** Web design principles, typography, color theory, page layout, brand identity development, brand strategy, logo design, merchandise design.
*   **UX/UI & Research:** User research, user stories, requirements gathering, landing page design, social media content creation.
*   **Analytical:** Application performance analysis, trend monitoring, documentation, logical reasoning.
*   **Communication:** Polished presentation delivery, verbal and written communication, consultative client relations, people skills.

**PROFESSIONAL EXPERIENCE**

**Graphic & UI/UX Designer | 4 Years Total Experience**

**Branding Projects**
*   Collaborated with branding agency **“onO”** to develop a comprehensive brand identity and strategy for **Nova Market** (furniture store).
*   Developed multiple brand identities and strategies, focusing on representing brand ideals through visual components.

**Typography & Print Production**
*   Managed print preparation processes for various brands.
*   Designed branded merchandise and physical assets.

**Freelance Design**
*   Designed logos and visual assets for brand pages on social networks.
*   Developed high-converting landing pages for diverse clients.

**Key Contributions:**
*   Conducted detailed analysis of application performance and trends to provide insights and design recommendations.
*   Maintained a strong focus on detail and documentation throughout the design and development process.
*   Delivered polished presentations to customers and internal teams.
*   Operated effectively within agile development environments, maintaining high creativity under dynamic conditions.

**DESIGN PROCESS**
*   **Discovery:** Requirements gathering and user research.
*   **Strategy:** Development of user stories and brand strategies.
*   **Execution:** Creation of intuitive visual designs, layouts, and typography.
*   **Delivery:** Adherence to strict deadlines and preparation of assets for digital or print environments."
56633,"[NAME]
[Phone Number] | [Email] | [Portfolio Link]

SUMMARY
Dedicated Entry-Level Designer committed to maximum productivity and professional diligence. Eager to join a talented team to contribute to high-quality projects, gain commercial experience, and further develop design abilities.

EDUCATION
Design Education Courses
Completed specialized training in design principles and execution.

PROJECTS
Non-Commercial Design Portfolio
• Developed and executed two independent design projects, demonstrating foundational skills and creative problem-solving.

SKILLS & ATTRIBUTES
• Maximum Productivity: Committed to delivering high-quality work efficiently.
• Diligence: Focused on thoroughness and professional growth.
• Team Collaboration: Eager to work with and learn from experienced professionals.
• Rapid Skill Realization: Proven ability to translate education into project execution."
56634,"[NAME]
[CONTACT INFORMATION]

**CORE COMPETENCIES**

*   **Website Design & Prototyping:** Designing and prototyping interactive websites.
*   **Visual Identity:** Developing brand identities and visual systems.
*   **Digital Marketing Assets:** Creating social media posts and web banners.
*   **Illustration & Character Design:** 2D character creation and custom illustrations.
*   **Photo Manipulation:** Advanced digital photo editing and manipulation.
*   **Animation:** Creating motion graphics and 2D animations.
*   **Print Production:** Preparing and managing designs for physical print.

**TECHNICAL SKILLS**

*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   Adobe After Effects"
56635,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Graphic Designer with an extensive background in design production, currently specializing in UI/UX design for mobile applications. Seeking to leverage a significant history of graphic design work to develop high-quality mobile interfaces and user experiences.

**SKILLS**
* UI/UX Design for Mobile Applications
* Graphic Design 
* Mobile Interface Development

**PROFESSIONAL EXPERIENCE**
**Graphic Designer**
* Executed an extensive volume of design projects across various formats.
* Managed a high-capacity workload involving diverse graphic design requirements.
* Currently transitioning expertise toward mobile application UI/UX design and development.

**PORTFOLIO**
[Google Drive Link]
*Note: Due to forced relocation, the current portfolio features a selection of work recovered and saved via mobile device.*"
56637,"**SVITLANA**
Graphic & Web Designer

**PROFESSIONAL SUMMARY**
Graphic & Web Designer with over 8 years of professional experience, including 2+ years specialized in UI/UX design. Currently contributing to Libertex Group, an international financial services group specializing in online trading and investment. Ambitious, deadline-driven creative with a strong analytic mindset and high proficiency in self-management. Expert at translating complex briefs into actionable designs while balancing user needs with client goals. Proven ability to excel in both team-based and independent work environments.

**CORE SKILLS**
*   **UI/UX Design:** Creating interfaces, layouts, style guides, and icons.
*   **Advertising & Marketing:** Designing web banners and social media creatives.
*   **Branding & Identity:** Developing brand books, pitch decks, and logo design.
*   **Visual Communication:** Infographic design, illustrations, and educational materials.
*   **Presentation Design:** Professional digital and print presentations.
*   **Print & Exhibition:** Preparing designs for offline exhibitions and print production.
*   **Prototyping:** Preparing design drafts and mock-ups.

**TECHNICAL PROFICIENCIES**
*   **Design:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Adobe InDesign, Sketch, Principle.
*   **Project Management:** Jira, Trello, Asana.

**INDUSTRY EXPERTISE**
*   FinTech
*   Trading & Investing
*   Cryptocurrencies & Blockchain
*   Marketing

**PROFESSIONAL EXPERIENCE**
**Graphic & Web Designer** | Libertex Group (Current)
*   Providing design expertise for an international financial services group specializing in online trading and investment.
*   Applying 8+ years of total graphic design experience and 2+ years of UI/UX specialization to professional deliverables.
*   Managing the full design lifecycle from initial brief and drafts to final implementation.
*   Collaborating with teams to ensure designs meet strategic objectives and user expectations.

**DESIRED ROLE**
Full-time Remote Position"
56638,"[NAME]
[Location] | [Phone] | [Email]
[Portfolio Link/LinkedIn]

**PROFESSIONAL SUMMARY**

Purpose-driven Graphic and UI/UX Designer with 8 years of experience in the design industry. Proven track record of completing dozens of high-quality projects characterized by unique design, rapid delivery, and high efficiency. Recognized by management for excellent communication skills and the ability to perform effectively under any condition. Seeking to join a collaborative team to apply existing expertise and acquire new skills through challenging projects.

**CORE COMPETENCIES**

*   Graphic Design & UI/UX Design
*   Project Efficiency & Rapid Delivery
*   Unique Design Conceptualization
*   Professional Communication
*   Adaptability & Resilience

**PROFESSIONAL EXPERIENCE**

**Graphic & UI/UX Designer** | 8 Years
*   Successfully delivered dozens of unique design projects, ensuring high-quality results and professional standards.
*   Maintained a high level of efficiency and fast turnaround times for all project deliverables.
*   Commended by management for outstanding communication skills and the ability to work well under various conditions.
*   Translated complex requirements into visually compelling and functional designs.
*   Collaborated effectively within professional environments to meet diverse design objectives.

**SKILLS**

*   **Design:** UI/UX Design, Graphic Design, Unique Visual Identity, High-Quality Asset Production.
*   **Professional:** Rapid Project Delivery, Workflow Efficiency, Management Recognition, Team Collaboration.
*   **Interpersonal:** Excellent Communication, Adaptability, Performance under Pressure."
