,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
56859,"**GRAPHIC DESIGNER**

Versatile graphic designer with more than 5 years of experience in publishing, web design, and UI/UX design. Proven expertise in magazine layout, corporate branding materials, and digital content creation. Skilled in translating brand identity into cohesive visual systems across print and digital platforms.

---

**PROFESSIONAL EXPERIENCE**

**Graphic Designer (Freelance)**
Inka, Kyiv | 2020–2023
- Designed and produced magazine for Premier Hotel, managing layout and visual direction
- Developed corporate catalogs and brochures that communicated brand messaging and product information

**Graphic Designer**
PRAGMATIKA.MEDIA, Kyiv | 2018–2023
- Led magazine design from concept through production, including layout and visual design
- Produced comprehensive graphic documentation including presentations, forms, and media materials
- Created engaging visual content for social networks and websites, encompassing post design, page aesthetics, collages, and promotional leaflets

**Designer Assistant**
IMEX LTD, Kropyvnytskyi | 2014
- Produced corporate collateral including catalogs, brochures, certificates, and business cards

---

**EDUCATION & TRAINING**

- UX/UI: Projecting and Designing of Interfaces | Creative Practice
- Work with Figma | Creative Practice
- Web Design | Skvot

---

**CORE COMPETENCIES**

Magazine Layout | Corporate Branding | Digital Content Creation | UI/UX Design | Web Design | Social Media Graphics | Print Collateral | Figma"
56860,"# Graphic, Web, and UI/UX Designer

## Professional Summary

Graphic, web, and UI/UX designer specializing in visually compelling websites with seamless navigation and intuitive interfaces. Combines meticulous attention to detail with deep understanding of user experience principles to craft immersive digital experiences. Delivers striking graphics, logos, and branding materials that articulate clear, memorable brand identities.

## Experience

**Freelance Designer** | 6 months

- Design welcome brochures for international clientele
- Develop custom websites across diverse industries: luxury retail, photography, hospitality, and emerging start-ups
- Create dashboard interfaces for banking and financial services
- Build responsive web solutions for renewable energy sector
- Produce branded marketing materials for food and beverage businesses
- Design mobile application interfaces for entertainment platforms

## Education & Training

Completed comprehensive design training program | 9 months

## Portfolio Highlights

- E-commerce platforms
- Corporate identity and branding systems
- UI/UX interfaces for financial services and entertainment applications
- Marketing collateral for hospitality and retail industries
- Web solutions for service-based businesses

## Project Preferences

Committed to projects that generate positive impact and serve broad audiences. Selective about project alignment with professional values."
56861,"# UI/UX & Graphic Designer

## Professional Summary

UI/UX and graphic designer with 2+ years of experience crafting user-friendly, aesthetically pleasing interfaces. Diligent professional with a passion for design excellence, strong attention to detail, and a collaborative approach to team projects.

## Professional Experience

**UI/UX Designer**
Liga Zakon | Current

**Designer**
Coming Agency

**Designer**
Come Back Agency

**Designer**
Fawn Agency

## Key Projects

- Developed comprehensive brand book for Kiton furniture store
- Developed comprehensive brand book for Lviv Botanic Garden

## Skills

UI/UX Design | Graphic Design | Brand Development | Interface Design

## Interests

Basketball | Skiing | Design"
56862,"# Digital Designer

Creative Digital Designer with five years of experience specializing in graphic design, branding, and user experience. Proven track record of delivering innovative solutions for corporate clients and developing comprehensive brand identities across multiple industries.

## Professional Experience

**Freelance Designer** | 2021 – Present
- Deliver custom design solutions for a diverse, global client base
- Maintain a portfolio of completed, functional websites

**Graphic Designer** | Network Advertising Agency | 2020 – Present
- Collaborate with cross-functional teams to develop comprehensive brand concepts
- Create and implement corporate style guidelines for 8+ brands
- Manage large corporate client accounts, ensuring artistic excellence and timely delivery
- Apply technical expertise and communication skills to meet diverse client requirements

## Education & Training

**UX Designer Certificate** | Projector | May 2022
- Foundational training in user experience design principles
- Proficiency in UX methodology and best practices

## Skills

Graphic Design | Brand Identity Development | Corporate Style Guidelines | User Experience (UX) Design | Client Communication | Cross-Team Collaboration | Website Design | Freelance Project Management"
57384,"# PROFESSIONAL SUMMARY

T-shaped design generalist with product thinking and 15+ years of experience. Designed 40+ successful digital products and created 30+ brands and trademarks operating in the market. Led design teams and projects worldwide with expertise in product design team setup, process development, and UI/UX management. Background in product management and startup launches.

Deep understanding of the full design lifecycle—from business analysis and research through visual design and implementation. Strong hands-on expertise in UX design, prototyping, user testing, mobile and responsive design, branding, and HTML/CSS principles.

Holds respected UX certification. Recognized with international design awards and selected as jury member for international design competitions.

# KEY ACHIEVEMENTS

• Designed 40+ successful digital products across diverse industries
• Led distributed design teams and projects on a global scale
• Created 30+ brands and trademarks successfully operating in the market
• Mentored junior designers through lectures, workshops, and ongoing guidance
• Earned international design awards for excellence in design
• Selected as jury member for international design competitions

# CORE COMPETENCIES

**Design & UX:** UX Architecture, UI Design, Visual Design, Prototyping, Usability Evaluation, User Testing, Mobile & Responsive Design, iOS, Android, AR/VR

**Product & Strategy:** Product Management, Product Identity, Data-Driven Design, Business & Requirements Analysis

**Research & Analysis:** User Research, Market Research, Data Mining

**Technical:** HTML/CSS, Prototyping Tools

**Creative:** Logo Design, Branding, Photography

**Leadership:** Team Direction, Design Management, Mentorship, Team Setup, Process Development

# INTERESTS & PREFERENCES

Seeking a product-focused company with experienced leadership and clear business vision. Looking for roles with influence over product direction and cross-disciplinary design challenges. Interested in AR/VR projects (non-gaming). Open to remote work or relocation to the USA, UK, or Europe. Available for part-time design consultancy in processes or products."
57400,"# PROFESSIONAL SUMMARY

Design leader with over 10 years of UI/UX design experience and 5+ years managing teams of 20 members. Built a design department that attracted new projects and clients, generating additional profit. Guided 50+ products from concept to market launch across diverse industries.

# CORE COMPETENCIES

**Leadership & Management**
- Design team management and resource planning
- Full-cycle hiring, onboarding, feedback, and coaching
- Performance monitoring and evaluation
- Talent development from intern/junior to senior/team lead
- Design strategy development and implementation
- Project distribution and workload balancing

**Business Operations**
- Design department budgeting
- Pre-sales participation and project estimation
- Contract documentation review
- Payment and delivery oversight
- Specifications development

**Design Expertise**
- End-to-end design process: research, prototyping, testing, user interviews, usability audits
- Design systems development
- Interface concept development
- Product optimization and iteration
- Analytical approach to design decisions

# PROFESSIONAL EXPERIENCE

- Built design department that attracted projects and clients, generating additional profit
- Delivered measurable business value through design initiatives
- Improved existing products through iterative design processes
- Led 50+ successfully implemented projects from concept to launch
- Managed complete product design cycles, increasing profit and quality
- Developed concepts and guided market entry strategies

# INDUSTRY EXPERIENCE

Fintech | Healthcare | Telco | Gaming | E-commerce | Enterprise | Banking | Real Estate | Manufacturing | Start-ups | Blockchain & Crypto | Legal | Sports

# PROFESSIONAL ATTRIBUTES

Self-management | Analytical mindset | Collaboration | Empathy | Problem-solving | Performance under pressure"
62042,"**PROFESSIONAL EXPERIENCE**

**Beetroot Academy** | 2023–Present
*Recruiter in Training*
- Craft targeted outreach letters to engage prospective candidates
- Source talent utilizing Boolean Search and X-RAY search techniques
- Conduct candidate interviews

**Freelance Web Designer & UX/UI Designer** | 2020–Present
- Designed website for Fortified Capitals exchange trading platform
- Created landing pages and business cards for clients
- Developed user interface for Smart Home mobile application

**Partner Ukraine LLC** | 2020–2023
*Personal Assistant & Project Manager (Part-time)*
- Maintained project documentation and led contract negotiations
- Identified and implemented solutions to recurring operational challenges
- Assigned tasks to project participants and monitored progress through completion
- Motivated cross-functional team members to achieve project milestones
- Managed supplier and customer relationships
- Created and implemented business processes (BPMN) across all organizational structures and departments

**LLC Trade House Alfa-Komplekt EKB** | 2018–2020
*Deputy General Director for Quality*
- Controlled quality assurance of supplied products
- Conducted reclamation work and managed quality-related claims
- Developed and implemented QMS policy and organizational goals
- Prepared documentation for obtaining Certificates and Licenses
- Organized company participation in exhibitions, conferences, and seminars

**Alfa-Sert LLC** | 2015–2018
*Marketer*
- Developed, implemented, and refined company branding strategy
- Prepared, approved, and launched advertising campaigns aligned with company policy
- Developed product catalogs based on organizational specifications
- Created and launched POSM materials including leaflets, booklets, and souvenirs
- Managed contractors including designers, web developers, printing houses, and exhibition organizers

**Albion Trading Company LLC** | 2012–2014
*Marketer*"
63086,"# WEB DESIGNER

Results-driven web designer with hands-on experience creating user-centered digital solutions using industry-standard design tools. Proven ability to quickly master new software and adapt to evolving design processes.

---

## TECHNICAL SKILLS

**Design Tools:** Figma | Sketch | Adobe Photoshop | Adobe Illustrator

---

## PROFESSIONAL DEVELOPMENT

**UI/UX Web Designer**
Spalah IT-School | May 2018 – Present

**UI/UX Web Designer**
LevelUP School | October 2018 – April 2019"
63087,"# RESUME

**OBJECTIVE**

Design professional eager to contribute foundational expertise in visual design while collaborating with seasoned teams on impactful projects.

---

**SKILLS**

**Design Tools**
- Adobe Photoshop
- Adobe Illustrator
- Figma

**Core Competencies**
- Clear, effective communication
- Cross-functional collaboration
- Adaptive problem-solving
- Performance under pressure
- Consistent reliability
- Growth-oriented mindset

---

**EXPERIENCE**

**Hospitality Professional**

Cultivated transferable skills in high-volume environments: delivered quality customer experiences, managed competing priorities under tight timelines, and collaborated seamlessly within dynamic teams to meet operational demands.

---

**PROFESSIONAL SUMMARY**

Dedicated to mastering design principles through hands-on contribution and continuous learning. Committed to delivering quality work while adding value through strong work ethic and team collaboration."
83710,"# Graphic and UI/UX Designer

Experienced Graphic and UI/UX Designer creating innovative digital solutions for international clients across fintech, blockchain, and corporate sectors.

## Professional Experience

### UI/UX and Graphic Designer
**Outsource Company — Fintech and Blockchain Specialization**

**Product Design**
- Designed web and mobile applications from concept to completion for clients in the USA, Canada, and the UK
- Collaborated with international stakeholders to translate business challenges into effective design solutions
- Led design for blockchain corporate project featuring a tokenized game
- Created end-to-end website design for blockchain trading company

**Brand and Visual Identity**
- Developed comprehensive Brand Book and corporate identity systems
- Designed branded merchandise: cups, hoodies, t-shirts, and pens
- Produced banners, printouts, and posters aligned with corporate guidelines

**Creative Projects**
- Designed interactive corporate notebook for employee anniversaries, featuring custom character illustrations and thematic pages
- Created Instagram content templates for ongoing corporate communications
- Developed animation for Behance case study presentation

### Freelance Designer

- Designed logo for Ukrainian bag manufacturer
- Executed website redesign project

## Skills

UI/UX Design · Web Design · Mobile App Design · Graphic Design · Brand Identity · Corporate Materials · Animation · International Client Communication

## Professional Goals

Seeking a collaborative team environment with structured processes and clear project timelines. Eager to work alongside experienced designers and business analysts while actively pursuing feedback for continuous growth."
83711,"**PROFESSIONAL EXPERIENCE**

**Marketing & Communications**

- Developed comprehensive marketing plans and conducted analytical assessments of advertising campaign performance
- Created targeted newsletter content tailored to three distinct audience segments
- Designed graphic elements for websites and social media platforms
- Managed social media accounts for Medimost and subsidiary projects

**Humanitarian Support**

- Provided medical aid assistance to Ukrainian refugees through dedicated support infoline"
86666,"**WEB DESIGNER**

Results-driven Web Designer with over two years of agency experience creating modern, responsive corporate websites and landing pages that balance visual impact with exceptional user experience.

**CORE COMPETENCIES**

Responsive Web Design • Corporate Website Development • Landing Page Design • User Interface Design • Digital Experience Design • Client Collaboration • Design Tools & Software

**PROFESSIONAL EXPERIENCE**

**Web Designer | Digital Marketing Agency**

• Design and develop modern, responsive corporate websites and landing pages, balancing visual appeal with intuitive usability
• Translate client requirements into effective digital experiences that serve both business objectives and end-user needs
• Deliver high-quality design solutions utilizing a range of industry design tools and software
• Partner directly with clients to define project requirements and ensure design outcomes align with strategic goals

**PROFESSIONAL DEVELOPMENT**

Actively pursuing transition to UI/UX Designer role to expand expertise in user-centered design methodology and digital experience strategy."
87779,"# PROFESSIONAL EXPERIENCE

**Bank Gutmann**
Design and Digital Marketing

- Developed and executed digital marketing strategies and design initiatives

**Deutsche Börse**
Global Relationship Management, Sales, and Client Services

- Managed global client relationships and supported sales and service operations

**727.ventures**
Growth Assistant / Product Manager

- Drove growth initiatives and contributed to product management efforts

---

# ADDITIONAL INFORMATION

Full CV available upon request."
97622,"# UI/UX Designer

Proactive UI/UX Designer with 1.5 years of hands-on experience designing desktop and mobile applications, complemented by 3 years creating illustrations, graphics, and content for publications and social media. Committed to delivering optimal solutions through direct client collaboration, strategic roadmap development, and intuitive design.

## Skills & Expertise

**User Research & Strategy**
- User experience research and analysis
- Empathy map development
- User scenario creation
- Problem and needs identification

**Design & Prototyping**
- Clickable prototype development and testing
- Web and mobile application design
- Design pattern application and user behavior analysis

**Visual Design**
- Illustration and graphic design
- Content design for publications and social media

**Client Collaboration**
- Direct client communication
- Project roadmap creation
- Design matrix development

## Design Philosophy

Committed to improving user experiences through clear, intuitive, and attractive design solutions."
98134,"**PROFESSIONAL SUMMARY**

Results-driven professional with a Master's Degree and 3 years of project management experience in the NGO sector. Completed specialized training in Illustrator, Photoshop, Web Design, and After Effects animation and motion design. Seeking junior UI/UX designer position or traineeship to leverage analytical, planning, and problem-solving skills in the IT industry.

**TECHNICAL SKILLS**

Adobe Illustrator | Adobe Photoshop | Adobe After Effects (Animation & Motion Design) | Web Design

**CORE COMPETENCIES**

Project Planning & Analysis | Problem Solving | Results-Oriented Execution | Team Collaboration

**PROFESSIONAL EXPERIENCE**

**Project Manager** | NGO Sector | 3 Years

- Analyzed project requirements and translated findings into strategic plans aligned with organizational goals
- Managed full project lifecycle from conception through completion
- Solved complex problems to deliver measurable organizational results
- Collaborated with teams to ensure successful project execution

**EDUCATION**

Master's Degree

**CAREER OBJECTIVE**

Junior UI/UX Designer position or traineeship program offering opportunities for professional growth and IT industry experience."
98135,"**UI/UX Designer**

**Professional Summary**

UI/UX Designer with 1+ years of experience in user-centered design, specializing in prototyping, visual design, and responsive web development.

**Experience & Skills**

• Applied industry and design best practices throughout website build processes

• Analyzed user behavior to identify and resolve UX issues

• Created landing page prototypes in Figma

• Developed comprehensive visual design systems including style guides, typography, color palettes, and illustrations

• Ensured cross-platform functionality and responsiveness across desktop, mobile, and tablet devices

• Designed brand logos and identity elements"
98136,"# UI/UX Designer

**Professional Summary**

UI/UX Designer with 1.5 years of experience specializing in e-commerce design. Skilled in creating design systems, user flows, and responsive interfaces for web and mobile platforms. Proficient in Figma and Adobe Photoshop with strong English communication skills.

---

**Professional Experience**

**UI/UX Designer | British Clothing Store**
*2 months*

- Developed responsive layouts for web and mobile interfaces
- Created interactive prototypes for user testing and stakeholder review
- Designed UI components and visual elements to support brand consistency
- Optimized user flows to enhance overall UX

**UI/UX Designer | Start-up (Online Clothes Shop)**
*4 months*

- Led UI/UX design for an online clothing retail platform targeting the EU market
- Built comprehensive design systems and reusable interface components in Figma
- Produced visual assets using Adobe Photoshop
- Collaborated cross-functionally with Product Manager, Developers, and QA Engineer

**Freelance UI/UX Designer**
*8 months*

- Delivered end-to-end design solutions across multiple projects
- Created UI/UX designs using Figma and Adobe Photoshop

---

**Technical Skills**

Figma · Adobe Photoshop

**Languages**

English (Proficient)"
98137,"# UI/UX Designer

**Lviv, Ukraine**

---

## Profile

User-centered UI/UX Designer specializing in enterprise digital product design, from initial concept through launch. Experienced in both greenfield product development and strategic redesign of existing platforms. Combines strong communication skills with a commitment to continuous professional growth.

---

## Skills

- User-Centered Design Principles
- Digital Product Design & Launch
- Product Redesign & Optimization
- Usability & Accessibility Focus

---

## Education & Training

**Projector Institute**  
Web Design Beginning Course

**Udemy**  
UI Design Fundamentals  
UX Design Fundamentals

**Professional Mentorship**  
Valentine Skliarov, Lead Designer at Cieden

---

## Attributes

- Quick to acquire new skills and methodologies
- Strong sense of responsibility and ownership
- Effective communicator and collaborator
- Committed to ongoing professional development"
98138,"# UI/UX Designer

## Profile

Detail-oriented designer specializing in clean, layered design systems and user-centered solutions. Committed to creating intuitive digital experiences that balance simplicity, aesthetics, and usability.

## Skills

**Design Tools**
- Figma: components, variants, auto layout, prototyping, mockups
- Adobe Photoshop: photo processing
- Adobe Illustrator
- Webflow

**Design Principles**
- Typography & grid systems
- Composition & color theory
- Usability & user-centered design
- Visual hierarchy & simplicity

## Experience

**UI/UX Design Projects**
- Designed landing pages for educational courses
- Created authorization forms and user interface systems
- Developed portfolio projects demonstrating design process and problem-solving skills

## Additional Information

- Front-end design specialist (non-coding)
- Advancing English proficiency"
98171,"# UI/UX Designer

## Professional Summary
Creative UI/UX Designer with one year of experience delivering user-centered design solutions across freelance and startup environments. Skilled at collaborating with cross-functional teams while maintaining the ability to execute projects independently. Combines strong communication skills with a detail-oriented approach to produce high-quality design work.

## Professional Experience

**UI/UX Designer | Freelance**
- Delivered user-centered design solutions for diverse clients
- Managed projects independently from concept through completion

**UI/UX Designer | Startup**
- Collaborated with cross-functional teams on product development
- Contributed to design strategy and implementation

## Technical Skills
**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, AutoCAD, Blender

**Specializations:** UI Design, UX Design, Creative Development

**Additional:** Photography, Music

## Core Competencies
- Cross-functional collaboration
- Independent project delivery
- Creative problem solving
- User-centered design thinking
- Attention to detail
- Strong verbal and written communication"
98172,"# Dmitry
**UI/UX Designer**

## Professional Summary
UI/UX Designer committed to delivering exceptional, modern design solutions. Combines continuous skill development with thorough design research to execute high-quality projects that reflect current industry standards.

## Skills
- UI/UX Design
- Modern Design Principles
- Creative Problem Solving
- Design Research & Trend Analysis

## Professional Approach
- Delivers high-quality design solutions through application of best practices
- Maintains expertise through continuous refinement of techniques and skills
- Conducts thorough research to inform design decisions and ensure contemporary relevance
- Demonstrates unwavering commitment to excellence in every project"
98173,"**UI/UX Designer**

Experienced designer specializing in website and mobile application design with expertise in industry-standard tools and collaborative project delivery. Dedicated to creating user-centered digital experiences through continuous research and adoption of emerging trends and technologies.

---

**Core Competencies**

UI/UX Design · Figma · Adobe Photoshop · Adobe Illustrator · CorelDraw · Wireframing · Prototyping · Layout Design · User Research · Competitor Assessment · Persona Development · User Mapping · User Flow · Cross-Functional Collaboration · Deadline-Driven Delivery

---

**Professional Experience**

**UI/UX Designer**

- Design websites and mobile applications utilizing Figma, Adobe Photoshop, Adobe Illustrator, and CorelDraw
- Collaborate with cross-functional teams to deliver projects on schedule while meeting user requirements
- Research and implement emerging web design trends, tools, and technologies to enhance design quality and functionality

---

**Selected Projects**

**GetPet – Web Service for Finding Lost Animals**
- Led comprehensive user research including competitor assessment, persona creation, user mapping, and user flow development
- Produced wireframes and designed complete user interface
- Partnered with development team throughout project lifecycle

**Poltava Music School – Website Redesign**
- Redesigned complete website interface with focus on modern aesthetics and improved user experience
- Enhanced platform usability and visual appeal

---

**Career Objectives**

Seeking remote position with flexible schedule in a collaborative environment offering opportunities for knowledge exchange with fellow designers and contribution to high-quality products."
98245,"**RESUME**

**EDUCATION**

Design Courses
- Successfully defended thesis
- Currently enrolled in professional development course

**SKILLS**

**Research & Strategy**
UX Research | Audience Analysis | Competitor Analysis

**Design & Development**
Design System Development | UI Kit Creation | Prototyping | Responsive Design

**Visual & Motion**
Animation | Poster Design | Video Rendering | Logo Design

**EXPERIENCE**

**Freelance Designer** | 6 months

- Designed promotional posters for diverse client base
- Produced and rendered promotional video content
- Developed brand identity and logo for dance festival"
98250,"# Professional Experience

## Media Buyer/Marketer
**Innovation Group**
03.2016 - 05.2022

- Directed multi-platform advertising campaigns across diverse ad networks, overseeing end-to-end traffic configuration and distribution
- Developed compelling creatives and landing pages to drive audience engagement
- Analyzed campaign performance metrics and implemented data-driven optimizations to maximize ROI

## Account Manager
**Sprava**
01.2013 - 02.2016

- Cultivated strategic client partnerships, driving account growth and expanding business relationships
- Led customer acquisition initiatives, successfully converting prospects into long-term clients
- Delivered SEO consultation to enhance partner account monetization strategies

# Education & Training

**UI/UX Design Pro**
Hillel IT School
10.2021 - 05.2022

**Design Basic**
Hillel IT School
05.2021 - 08.2021"
98251,"**PROFESSIONAL EXPERIENCE**

**UX/UI Designer**
Freelance | March 2023 – Present
• Conduct user research and develop comprehensive user personas to inform design decisions
• Create wireframes, user flows, and high-fidelity mockups
• Design interactive prototypes using Figma

**Photographer**
The Moment, Kyiv | September 2020 – February 2022
• Photographed group sessions, capturing dynamic compositions
• Performed detailed photo retouching and custom album design
• Collaborated with team members to deliver cohesive visual products

**Photographer**
The Svadba, Kyiv | March 2018 – April 2019
• Photographed weddings in diverse environments including wedding halls and photo studios
• Retouched and edited photographs to professional standards
• Managed client photo sales and consultations
• Designed and produced printed photo album layouts

**Aviation Security Officer**
PLC ""Master-Avia"", Kyiv | April 2017 – December 2017
• Conducted systematic baggage monitoring to ensure airport passenger safety
• Interfaced effectively with diverse populations in high-traffic environments

**EDUCATION & TRAINING**

**UI/UX Design Basic**
Prometeus | 2023

**Basics of Web UI Development**
Prometeus | 2022"
98252,"# PROFESSIONAL EXPERIENCE

**Web Developer**
05.2021

**VBakery**
- Developed full-stack e-commerce website for bakery business featuring comprehensive product catalog for pastries and cakes
- Engineered custom cake designer tool enabling customers to create and visualize personalized confectionery orders
- Implemented secure user authentication system with personal account functionality for storing favorites and order history
- Built integrated customer review system and streamlined order management functionality
- Designed and developed location and business information pages to enhance customer engagement

**Web Developer**
06.2021

**Dim Kultury**
- Developed investment platform website supporting renovation of local monuments and establishment of cultural center
- Architected multi-section website for community development initiative encompassing three distinct project areas:
  - ЖИВОТ: Nightclub revitalization project showcasing transformation into youth center with extended operating hours
  - ДІМ КУЛЬТУРИ: Cultural center section presenting integrated social business project plans
  - ДВІР: Community space section featuring urban green theater, summer stage, and food court development"
98253,"# Professional Experience

**Team Lead, UX/UI Design**
**Baza Trainee Ukraine** | June 2023 - Present

Creating real-life products for the social sector

- Lead design teams for the ""4.5.0"" Volunteer Organization website project
- Lead design teams for ""1000+1 Song. Kolyskovi"" project — Finalist, Hackathon 4.0: Ukraine Heritage Edition
- Tools: Figma, Trello, Slack, Discord, Time Tracking

**UX/UI Designer**
**CURSOR Education** | January 2023 - June 2023

E-commerce platform for a real craft business

- Conducted stakeholder interviews, competitor analysis, and user research collaboratively with cross-functional team
- Performed SWOT analysis, customer journey mapping, and information architecture
- Developed wireframes, UI design, and interactive prototypes"
98254,"# UX/UI DESIGNER

## QUALIFICATIONS

- Completed comprehensive UX/UI design course with mastery of design fundamentals and Figma
- Skilled in creating interactive designs that enhance user engagement and product usability
- Proven experience redesigning website interfaces with measurable improvements to user-friendliness

## PROJECTS

**Social Media Banners**
Designed and produced social media banner campaigns for a charitable organization

**Fitness Coach Website Redesign**
Restructured webpage architecture, streamlined complex visual elements, and emphasized key conversion points to attract prospective clients

**Landing Page for Handmade Artist** | UX/UI Case Study | Live Client Project
Developed a landing page to showcase unique handcrafted products for international audiences. Deliverables included wireframes, a nature-inspired color palette complementing the artist's work, and subtle parallax animation for an engaging hero section

**Mobile App** | UX/UI Case Study
Designed an application enabling users to remotely select curated gift recommendations and schedule flower deliveries for specific dates and occasions

## EXPERIENCE

Diverse background spanning agencies, startups, and product companies, with hands-on experience developing landing pages, mobile applications, and web services"
98255,"# UI/UX Designer

Highly motivated UI/UX Designer passionate about crafting user-centric digital experiences. Skilled at translating complex ideas into intuitive, visually appealing designs. Strong foundation in design principles, user research, interactive prototyping, and adaptive design. Eager to create impactful, user-friendly products that elevate the user journey.

---

## Projects

### DeliverEats Mobile Service

Designed a mobile food delivery experience focused on enabling users to order quickly with minimal friction. Developed multiple customer-facing pages including catalog, product page, and account management.

**Responsibilities:**
- Conducted UX research to define target audience
- Performed market and competitor analysis
- Created wireframes, UI design, and interactive prototypes
- Launched project on Behance

**Key Design Features:**
- Home page search functionality
- Filter system for quick sorting
- Favorites feature for saving products
- Streamlined interface prioritizing convenience and simplicity

---

### PetSearch Web Service

Contributed to a full-cycle team project developing a web service for reuniting lost animals with their owners. Designed dual-user experience serving both individuals who lost pets and those who found them.

**Responsibilities:**
- Conducted UX research and market analysis
- Created personas, user flows, JTBD frameworks, and customer journey maps
- Developed wireframes, UI design, adaptive layouts, and prototypes
- Launched project on Behance

**Key Design Features:**
- Warm color scheme supporting emotional engagement
- Functionality enabling faster user action
- Adaptive design optimized for mobile devices
- Clear, user-friendly interface

---

## Skills

UX Research & Analysis · Wireframing · UI Design · Prototyping · Adaptive Design · Persona Development · User Flows · Jobs To Be Done (JTBD) · Customer Journey Mapping · Competitor Analysis"
98256,"# PORTFOLIO

## FlowerLower
Landing page for flower delivery company

- Conducted competitor analysis and market research
- Developed high-fidelity wireframes
- Created comprehensive UI style guides including typography, responsive layouts, color palette, and button systems

## Mimino
Georgian cuisine restaurant website redesign

- Conducted competitor analysis and market research
- Developed high-fidelity wireframes
- Designed complete UI Kit encompassing typography, responsive layouts, color palette, and component library
- Built interactive prototypes
- Executed mobile and tablet adaptations

## Wanderstay
Couchsurfing web service (team project)

- Conducted competitor analysis and market research
- Applied design thinking methodologies
- Developed JTBD frameworks and user personas
- Structured information architecture and user flows
- Created customer journey maps
- Designed wireframes and dashboards
- Developed 404 page with parallax effects
- Executed mobile and tablet adaptations
- Built interactive prototypes"
98257,"# UX/UI Designer

## Professional Summary
UX/UI Designer with hands-on experience in web design and service development. Proficient in competitor analysis, target audience research, user flow creation, prototyping, and interface design—delivering cohesive solutions from concept through completion.

## Projects

**CLEAN Web Service**
Led end-to-end design of a web platform connecting clients with cleaning professionals. Conducted competitor analysis, developed user flows and sitemaps, created prototypes, designed payment flows, and delivered final interface design.

**BARBER Landing Page**
Designed a barbershop landing page through the complete project lifecycle. Informed design decisions through competitor analysis and target audience research to align with user needs.

**India Cafe Website Redesign**
Executed a full website redesign grounded in target audience research and user needs analysis. Elevated visual design and usability based on research insights.

## Skills
- Competitor Analysis
- Target Audience Research
- User Flow Design
- Prototyping
- Sitemap Development
- Interface Design
- Usability Enhancement

## Career Goals
Seeking a position within a results-driven, collaborative team environment. Available for office-based and remote arrangements. Committed to continuous professional growth and career advancement."
98258,"**PROFESSIONAL RESUME**

**EDUCATION**

Master's Degree in Law | 2018

UI/UX Design | DanIT Academy

**PROFESSIONAL EXPERIENCE**

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus | 6 months

- Led quality control operations for customer support division

**Customer Support Manager**
Gambling Industry | 1 year

- Resolved customer inquiries regarding site functionality and services
- Coordinated cross-departmentally to ensure timely request fulfillment
- Managed escalation processes to drive effective issue resolution

**Notary Assistant**
3 years

- Prepared and processed legal contracts and documentation
- Conducted client consultations on legal matters
- Maintained electronic registers and official records
- Managed professional correspondence

**CORE COMPETENCIES**

- Legal Documentation & Contract Preparation
- Quality Assurance & Process Management
- Client Relations & Consultation
- Cross-Functional Team Coordination
- UI/UX Design

**AREAS OF INTEREST**

UI/UX Design | Technology Sector"
98259,"**PROFESSIONAL SUMMARY**

UX/UI Designer specializing in competitor analysis, user flow development, site mapping, and mood board creation. Skilled in designing and prototyping landing pages, websites, and web services with a strong focus on adaptive and responsive design principles.

**SKILLS**

User Experience Design | User Interface Design | Wireframing & Prototyping | Competitor Analysis | User Flow & Site Mapping | Responsive & Adaptive Design | Figma | Adobe Illustrator | Adobe Photoshop

**PROJECT EXPERIENCE**

**OURPAWS** | Team Member
*Search Service Redesign for Missing Animals*

- Contributed to comprehensive redesign of animal search platform, enhancing user experience
- Developed user interfaces and interactive prototypes to streamline the search process
- Tools: Figma, Adobe Illustrator, Adobe Photoshop

**LA MESA** | Designer
*Mobile Application for Restaurant Table Booking*

- Designed complete mobile application interface for restaurant reservation system
- Created interactive prototypes and visual assets to support seamless booking experience
- Tools: Figma, Adobe Illustrator, Adobe Photoshop

**PROFESSIONAL GOALS**

- Advance proficiency in Adobe Illustrator and vector graphics
- Contribute to collaborative, supportive team environments"
98260,"**PROJECTS**

**Landing Page for Flower Shop ""FlowerLover""**

Designed and developed a user-friendly landing page aligned with client requirements. Conducted competitor research and target audience analysis to inform strategic design decisions. Delivered a clear, intuitive interface with comprehensive UI design.

**Website Redesign for Alaska Pete's Restaurant**

Modernized outdated website design to improve customer attraction and engagement. Enhanced user experience through a contemporary, user-friendly interface. Implemented table reservation functionality to streamline customer interactions.

**Skills:** User Research | Competitor Analysis | Target Audience Analysis | Interface Design | UI Design | Website Redesign"
