,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
98263,"**[NAME]**
[Contact Information]

**PROFESSIONAL SUMMARY**
Collaborative Designer with experience delivering both independent and team-based digital products. Proven ability to facilitate effective communication within a team environment to develop user-centric web services and mobile applications. Skilled in full-cycle design, from conceptualization to execution, with a focus on usability and modern trends.

**PROJECT EXPERIENCE**

**Tattoo Company | Website Redesign & Full-Cycle Design**
*   Executed a comprehensive website redesign, aligning visual aesthetics with modern trends and specific target audience requirements.
*   Optimized user experience (UX) by improving site usability, navigation, and clarity, aiming to drive higher conversion rates and customer acquisition.

**Easy Yoga | Web Service Design (Desktop & Responsive)**
*   Designed a web service from the ground up to facilitate and simplify communication between yoga instructors and students.
*   Created a responsive platform architecture enabling users to discover and connect with instructors tailored to their specific needs.

**Productivity & Performance Mobile Application | UI/UX Design**
*   Designed a mobile application focused on enhancing user performance and streamlining daily planning.
*   Integrated multi-functional features to monitor physical and mental health, supporting a holistic approach to personal productivity.

**CORE COMPETENCIES**

*   **Design Specializations:** Full-cycle design, UI/UX redesign, Desktop and Responsive/Adaptation design.
*   **Product Development:** End-to-end service creation, user-centered design principles, and performance-tracking functionality.
*   **Collaboration:** Team-based project development, effective internal communication, and collaborative problem-solving."
98264,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**

UX/UI Designer and Team Leader with a strong background in website redesign, social initiatives, and the conceptualization of web services. Proven ability to lead project teams and oversee design direction. Skilled in conducting comprehensive competitor analysis to drive effective, research-backed design solutions.

**PROFESSIONAL EXPERIENCE**

**Travelhaven**
*Team Leader & UX/UI Designer*
*   Directed project coordination and established design strategies while serving as Team Leader.
*   Executed the end-to-end User Experience (UX) and User Interface (UI) design for the Travelhaven platform.

**Social Project: Volunteer Platform**
*Web Developer*
*   Contributed to the web development of a social initiative project focused on creating a digital platform for volunteers.

**KEY PROJECTS**

**Alaska Pete’s Roadhouse Grille | Website Redesign**
*UX/UI Designer*
*   Spearheaded the complete website redesign for Alaska Pete’s Roadhouse Grille (alaskapetes.com).
*   Performed in-depth competitor research and analysis prior to the design phase to identify market trends and implement successful industry solutions.

**Work-Exchange Web Service**
*UX/UI Designer & Conceptualizer*
*   Conceptualized and developed the user interface for a web service dedicated to facilitating low-cost travel and cultural exchange.
*   Designed a platform model enabling a labor-for-stay exchange system, allowing travelers to trade work for accommodation and food.
*   Tailored the interface and user experience to target a demographic of students and young travelers seeking cost-effective ""environment changes.""

**CORE SKILLS**

*   **Design & Development:** UX/UI Design, Interface Design, Web Development.
*   **Strategy & Research:** Competitor Analysis, Market Research, Concept Development.
*   **Leadership:** Team Leadership, Project Coordination."
98265,"**UI/UX DESIGNER**

**TECHNICAL SKILLS**

*   **Design & Prototyping:** Figma, Protopie, Wireframing, High-fidelity Prototyping, UI Design, Responsive Design, UI-kit Development.
*   **Research & Strategy:** Market Analysis, Competitor Research, User Personas, User Flows, Jobs to be Done (JTBD), Customer Journey Mapping (CJM), Brainstorming, Moodboarding.
*   **Software:** Adobe Photoshop, Adobe Illustrator.

**PROJECT EXPERIENCE**

**SweepUp Cleaning Web-service** | *Team Leader*
*   Directed the design lifecycle for a web-service platform focused on selecting and booking cleaning specialists.
*   Spearheaded comprehensive research phases, including market analysis, competitor benchmarking, and team brainstorming sessions.
*   Architected UX frameworks including User Personas, JTBD, Customer Journey Maps (CJM), and complex User Flows.
*   Designed high-fidelity UI components, prototypes, and layouts aligned with an existing design system.
*   Managed the adaptation and relinking of interfaces to ensure seamless web platform integration.

**TimeWell Daily Planner Mobile App** | *UI/UX Designer*
*   Collaborated with a cross-functional team to design a mobile application dedicated to time management and task planning.
*   Executed detailed competitive analysis to identify and capitalize on market opportunities.
*   Developed User Personas, User Flows, and high-fidelity prototypes to streamline the user experience.
*   Delivered final UI designs and engineered complex interface animations utilizing Protopie.
*   *Status: In progress.*

**Bravo Furniture Site Redesign** | *Personal Project*
*   Executed a complete end-to-end redesign of a luxury furniture e-commerce website.
*   Defined design strategy through rigorous market analysis and competitor research.
*   Created a comprehensive UI-kit, screen prototypes, and visual designs.
*   Optimized responsive layouts to ensure functionality across mobile and tablet devices.

**Citroen C4 Landing Page** | *Coursework*
*   Designed a conversion-focused landing page to facilitate test drive bookings for the new Citroen C4.
*   Established visual direction and branding alignment through moodboards and market research.
*   Translated initial wireframes into a final, fully animated interface.

**GoIT Addendum Project** | *Designer*
*   Contributed to a collaborative design initiative for GoIT.
*   Created a landing page design that was successful in selection for technical implementation by student developers."
98266,"**PROJECTS**

**Mobile App for Restaurant Table Booking** | *Team Member*
*   Collaborating within a team environment to develop a mobile application dedicated to restaurant table reservations.

**Travel Joy (Web Service)** | *Team Lead*
*   Directed the full-cycle design process in Figma for a web service focused on facilitating travel and cultural exchange.
*   Orchestrated team workflows and monitored progress to ensure all project objectives and deadlines were met.
*   Executed comprehensive competitor analysis to inform the development of optimized user flows and site maps.
*   Produced wireframes and interactive prototypes while maintaining strict adherence to an existing design system.
*   Delivered a functional, user-centric interface designed to enable users to share experiences and connect across different nationalities.

**Nice View (Residential Complex Landing Page)** | *Designer & Project Owner*
*   Executed the end-to-end design of a landing page for apartment sales, strictly adhering to client briefs.
*   Conducted in-depth target audience research and competitor analysis to formulate an effective design strategy.
*   Developed comprehensive low-fidelity and high-fidelity prototypes utilizing Figma.
*   Integrated critical features, including a home inspection application system and a mechanism for client feedback.
*   Curated specific typography and color palettes strategically selected to attract and engage potential buyers.

**SKILLS**

*   **Design:** UI/UX Design, Full-Cycle Design, Wireframing, Prototyping (Low/High Fidelity), User Flows, Site Mapping.
*   **Research:** Competitor Analysis, Target Audience Research.
*   **Tools:** Figma.
*   **Leadership:** Team Leadership, Workflow Organization, Project Monitoring."
98267,"**Volunteering Projects Aggregator for Ukraine**
*   Developed a centralized platform to aggregate and showcase diverse volunteering initiatives across Ukraine, ensuring a user-friendly experience.
*   Integrated comprehensive features to facilitate project exploration, process donations, and connect users directly with volunteer organizations.
*   Designed the service architecture to streamline support for national humanitarian causes and drive public engagement.

**Kickstarter Landing Page: Modular Furniture**
*   Designed a high-impact promotional landing page for a transforming nightstand product to support a Kickstarter campaign.
*   Implemented the AIDA (Attention, Interest, Desire, Action) marketing framework to optimize user flow and encourage conversions.
*   Executed the full design lifecycle, including competitor analysis, high-fidelity wireframing, and adaptive web design for cross-device compatibility.

**Rihanna Informational Landing Page**
*   Created an immersive, biography-focused landing page designed to maximize audience interest and engagement.
*   Established the project’s visual foundation through the strategic use of mood boards, references, and structural wireframes.
*   Applied advanced UI design techniques, focusing on complex composition, typographic hierarchy, and interactive prototyping."
98268,"[NAME]
[CONTACT INFORMATION]

**PROJECTS**

**Mobile Event Application** | Independent Project (In Progress)
*   Developing a mobile application dedicated to streamlining event management processes.

**A Kids Place Childcare** | Website Redesign
*   Executed a full-cycle redesign of a preschool website, enhancing visual identity and optimizing user engagement for parents.
*   Conducted competitive analysis to inform design strategy and implement improvements.
*   Developed adaptive layouts to ensure seamless cross-platform accessibility on mobile and tablet devices.

**Pet Service** | Web Application (Team Project)
*   Collaborated within a team environment to execute the full-cycle design of a centralized web platform for pet searches and services.
*   Performed market research and target audience analysis to define project scope and align deliverables with user needs.
*   Created responsive designs optimized for usability across mobile and tablet interfaces."
98269,"[NAME]
[Contact Information]

**EXPERIENCE**

**University IT HUB** | Volunteer UI/UX Designer
*[Dates]*
*   Redesigned university websites and engineered interfaces tailored to specific institutional requirements.
*   Orchestrated task management and streamlined team workflows utilizing Jira.
*   Advanced user interface proficiency through the implementation of UI libraries and professional mentorship.
*   Conducted UX research and performed evaluations of design solutions to optimize user experience.
*   Partnered with developers and Project Managers in a cross-functional environment to enhance project delivery and teamwork.

**Pet Project Internship** | UI/UX Design Intern
*[Dates]*
*   Completed a two-month intensive internship focused on full-cycle product development.
*   Collaborated within a development team to execute and deliver specific design tasks.

**PROJECTS**

**Projector UX Beginner Course Projects**
*   **Independent Stakeholder Project:** Managed the full design lifecycle independently, conducting UX research, defining problem statements, and translating insights into actionable UI solutions.
*   **Team Stakeholder Project:** Collaborated within a design team to deliver comprehensive UX research and interface solutions aligned with stakeholder objectives.

**EDUCATION**

**Projector UX Beginner Course**
*   Successfully Completed Coursework

**KronaStudio&School Web Design Course**
*   Web Design Course Completion

**SKILLS**

*   **Design & Tools:** UI Design, UI Libraries, UX Research & Evaluation, Jira.
*   **Professional:** Problem-Solving, Stakeholder Collaboration, Team Cooperation (Cross-functional with Developers & PMs)."
98270,not_successfully_modified
98271,"[NAME]
[Phone Number] | [Email Address]
[Portfolio Link/LinkedIn]

**PROFESSIONAL SUMMARY**

Multi-disciplinary Designer with a Master’s degree in Environmental and Industrial Design and four years of experience delivering creative solutions in corporate and freelance environments. Currently pivoting to UI/UX Design, combining a strong foundation in spatial and industrial design with specialized training in interface projection, Figma, and web design. adept at managing the full design lifecycle from concept to implementation while balancing aesthetic requirements with functional utility.

**TECHNICAL SKILLS & TOOLS**

*   **Design Disciplines:** UI/UX Design, Interface Projecting, Web Design, Industrial Design, Interior Design, Branding & Visual Identity.
*   **Software:** Figma.
*   **Languages:** Polish (B2/Upper-Intermediate), English (B1/Intermediate), Spanish (B1/Intermediate).

**PROFESSIONAL EXPERIENCE**

**Interior Designer** | [Company Name & Freelance]
*2020 – Present*

*   Manage the end-to-end design lifecycle for diverse spatial projects, overseeing phases from initial sketching and ideation to final implementation.
*   Conceptualize and develop comprehensive design solutions that align with client specifications and environmental constraints.
*   Collaborate directly with clients to identify specific functional requirements and aesthetic preferences to ensure user-centric outcomes.

**Graphic & Industrial Designer** | Freelance
*Dates of Employment*

*   Execute industrial design projects with a focus on optimizing product form, utility, and functionality.
*   Develop visual identity systems and branding materials, including logos, business cards, and banners.
*   Apply artistic techniques and creative direction to enhance the visual impact of design projects.

**EDUCATION**

**Master’s Degree in Environmental and Industrial Design**
[University Name] | [Year of Graduation]

**CERTIFICATIONS & TRAINING**

*   **Web Design Specialization** – GENIUS
*   **UX/UI: Projecting and Design of Interfaces** – Cases
*   **Working with Figma** – Cases
*   **Fundamentals of Web Design** – Cases"
98272,"[Name]
[Phone Number] | [Email Address] | [LinkedIn Profile/Portfolio Link]

**PROFESSIONAL SUMMARY**
Emerging UI/UX Designer with professional experience in creating user-centric digital products. Skilled in the full design lifecycle, from competitor analysis and wireframing to high-fidelity prototyping and developer handoff. Proficient in designing responsive interfaces for landing pages, e-commerce platforms, and mobile applications (iOS/Android). Dedicated to adhering to industry standards, including Google Material Design and Apple Human Interface Guidelines, to ensure accessibility and conversion optimization.

**CORE COMPETENCIES**
*   **UX Strategy:** Competitor Analysis, User Flows, Wireframing, Prototyping, Information Architecture.
*   **UI Design:** Responsive Web Design, Mobile App Design (iOS & Android), Interaction Design, Tablet Adaptation.
*   **Guidelines & Standards:** Google Material Design, Apple Human Interface Guidelines.
*   **Collaboration:** Cross-functional communication, Design-to-Development Handoff.

**PROFESSIONAL EXPERIENCE**

**[Company/Organization Name]** | Location (Optional)
**UI/UX Designer** | *6 Months*

*   Orchestrated the end-to-end design process for diverse digital products, including landing pages, e-commerce sites, portfolio websites, and mobile applications.
*   Produced responsive UI designs optimized for desktop, tablet, and mobile devices, ensuring consistent visual identity across all platforms.
*   Collaborated directly with Front-End Developers to assess technical feasibility and ensure accurate implementation of design specifications.
*   Designed and prototyped interfaces for both iOS and Android environments, strictly adhering to platform-specific guidelines.
*   Integrated interface animations to enhance user engagement and visual feedback.
*   Conducted competitor analysis and created detailed user flows to inform design decisions and improve information accessibility.

**EDUCATION & TRAINING**

**[Institution Name]**
**UI/UX Design Intensive** | *5 Months*

*   Completed a comprehensive curriculum focused on the principles and technologies of the full UI/UX design process.
*   Applied Google Material Design and Apple Human Interface Guidelines to practical projects, ensuring compliance with industry standards.
*   Developed a portfolio of study projects demonstrating proficiency in research, wireframing, and visual design."
98273,"[NAME]
[Phone Number] | [Email] | [Portfolio Link] | [LinkedIn]

**PROFESSIONAL SUMMARY**
Junior UX Designer with freelance experience in digital asset creation, web development, and visual strategy. dedicated to implementing user-centered and equity-focused design principles. Skilled in Webflow development, accessibility standards, and the facilitation of design sprints to solve user problems effectively.

**SKILLS & COMPETENCIES**
*   **UX Strategy & Design:** User-Centered Design, Equity-Focused Design, Accessibility, Design Sprints, Design Process Facilitation.
*   **Web Development:** Webflow, Landing Page Development, Blog Creation, Application & Website Architecture Planning.
*   **Visual Design:** High-Fidelity Interface Design, Digital Banners, Social Media Assets (Instagram, Twitter, Facebook).
*   **Collaboration:** Cross-Functional Team Collaboration, Strategic Planning.

**PROFESSIONAL EXPERIENCE**
**Freelance UX/UI Designer** | [Dates]
*   Developed and launched a fully responsive blog and high-fidelity landing pages using Webflow.
*   Collaborated on the strategic planning and information architecture of mobile applications and websites.
*   Designed cohesive promotional banners and visual assets for major social media platforms including Instagram, Twitter, and Facebook.
*   Executed the creation of high-fidelity digital assets to support brand identity and user engagement.

**EDUCATION**
**Hillel IT School**
*Course Graduate*
*   **Curriculum Focus:** Implementation of foundational UX concepts, identifying responsibilities of cross-functional teams, and facilitating design sprints within the design process."
98274,not_successfully_modified
98275,"[NAME]
Junior UX/UI Designer

PROFESSIONAL SUMMARY
Creative Junior UX/UI Designer with a strong foundation in design principles, user-centered methodologies, and technical analysis. Experienced in managing the end-to-end design process, from user research and competitor analysis to UI kit creation and layout definition. Committed to creating exceptional user experiences and improving digital interactions through innovative design while continuously adapting to evolving industry trends.

SKILLS
*   **Core Competencies:** UX/UI Design, User-Centered Design, Page Structure & Layout, Technical Analysis.
*   **Research & Strategy:** User Research, Competitor Analysis.
*   **Visual Design:** UI Kit Creation, Moodboarding, Color Theory.

PROJECT EXPERIENCE

**Petsearch | Lead Designer & Creator**
*   Managed the end-to-end design lifecycle for a web service connecting animal shelters, volunteers, and pet owners.
*   Defined project themes and executed the creation of all UI elements and visual assets.
*   Engineered a user-friendly interface optimized for intuitive navigation and rapid results to assist owners in locating lost pets.

**A Kids Place Childcare | UX/UI Designer (Redesign)**
*   Executed a comprehensive redesign of a kindergarten website, specifically optimizing three core pages to enhance user engagement.
*   Conducted technical audits of previous designs and performed in-depth competitor analysis to inform design decisions.
*   Evaluated product strengths and weaknesses to align page visuals with user expectations and research findings.
*   Developed and delivered a complete UI kit alongside technical documentation for all new UI elements.

**FlowerLover | UX/UI Designer**
*   Designed a structured landing page for a flower shop, incorporating a diverse range of UI elements including interactive buttons and input fields.
*   Performed competitor research and curated moodboards to establish a natural color palette and distinct visual direction.
*   Defined the page architecture and selected specific color shades to ensure strict alignment with the brand’s natural aesthetic."
98276,"[NAME]
Junior UI/UX Designer

SUMMARY
Dedicated Junior UI/UX Designer with a strong foundation in visual design principles, color theory, and typography. Skilled in executing website redesigns, developing prototypes, and structuring information architecture. Committed to creating intuitive user experiences through continuous professional development and the study of emerging design technologies. collaborative team player focused on delivering high-quality design solutions.

SKILLS
• **Core Competencies:** UI/UX Design, Website Redesign, Prototyping, Layout Design, Information Architecture
• **Visual Design:** Color Theory, Typography, Portfolio Development
• **Collaboration:** Team Communication, User-Centered Design, Collaborative Problem Solving

PROJECT EXPERIENCE

**Tattoo Studio | Website Redesign**
*December 2022 – January 2023*
• Executed a comprehensive website redesign to establish a modern, visually engaging user interface.
• Restructured navigation elements and implemented new functionality for tattoo ordering to streamline the user journey.
• Enhanced the visual presentation of artist portfolios and integrated a customer review system to build user trust and credibility.

**Lost Animal Search Service | UI/UX Design (Study Project)**
*February 2023 – March 2023*
• Conceptualized and designed a web service platform dedicated to reuniting lost pets with their owners.
• Developed user flows and interface designs allowing users to efficiently create and publish advertisements for lost or found animals.
• Designed communication tools to facilitate rapid information dissemination and interaction between users.

EDUCATION & PROFESSIONAL DEVELOPMENT

**Independent Coursework & Design Study**
• Completed comprehensive online training focused on UI/UX design principles, design technologies, and industry best practices.
• Conducted extensive research into user-centered design methodologies and current market trends.
• Maintained a focus on continuous portfolio refinement, technical execution, and the exploration of new design areas."
98277,"**[YOUR NAME]**
UX/UI Designer

**PROFESSIONAL SUMMARY**
Creative UX/UI Designer with a strong background in developing functional, aesthetically driven digital products. Proficient in the end-to-end design process, from comprehensive UX research and information architecture to complex UI execution for dashboards, tables, and mobile applications. Collaborative team player experienced in leading design projects, presenting solutions, and managing full production pipelines for graphic and motion design deliverables. Seeking remote opportunities to apply adaptable skills to complex design challenges.

**CORE SKILLS**
*   **UX Research:** User Personas, Customer Journey Mapping, Information Architecture (IA), User Flows, Target Audience Analysis, Competitor Analysis.
*   **UI Design:** Wireframing, Prototyping, Moodboarding, Dashboard & Table Design, Mobile App Design, Web Design, High-Fidelity Mockups.
*   **Graphic & Motion:** 3D Modeling, Shading, Rendering, 3D Animation, Illustration, Logo Design.

**WORK EXPERIENCE**

**Sinevibes** | *3D Motion Designer / Artist*
*   Spearheaded the development of a 3D animated logo for use as a primary video introduction.
*   Managed the complete production pipeline, independently executing 3D modeling, shading, and rendering to deliver the final animation.

**Korg** | *Graphic Illustrator*
*   Created custom illustrations for sound library covers in strict adherence to specific client requirements.
*   Interpreted reference materials and implemented precise design revisions to ensure full client satisfaction and project alignment.

**KEY PROJECTS**

**Accommodation Web Service** | *UX/UI Design*
*   Architected a web service platform focused on affordable international accommodation.
*   Executed a comprehensive UX analysis phase, generating user personas and customer journey maps to define user needs.
*   Established the site’s information architecture and user flows to optimize navigation.
*   Produced wireframes and high-fidelity, full-color designs for all platform pages.

**Beatcraft** | *Mobile App Design*
*   Designed a comprehensive music-centric mobile application featuring two-factor authentication and in-app achievement systems.
*   Conducted in-depth target audience analysis to inform strategic design decisions.
*   Developed structural wireframes and a complete user interface.

**CustomConcepts** | *Tattoo Website Redesign*
*   Executed a strategic redesign of an existing website to enhance functionality and visual aesthetics.
*   Performed competitive analysis of industry-related platforms to identify design opportunities.
*   Developed interactive prototypes and delivered a modern, comprehensive final design.

**UrbanFest** | *Landing Page Design*
*   Conceptualized and designed a minimalist landing page from the ground up.
*   Established visual direction through moodboarding and defined page structure via wireframing.

**Literature-Related Project** | *Team Lead / Designer*
*   Directed the design strategy for a specialized literature project within a collaborative team environment.
*   Managed the project lifecycle and delivered the final design presentation.

**ADDITIONAL INFORMATION**
*   **Specialization:** Complex UI design for dashboards, tables, and web services.
*   **Attributes:** Fast learner, adaptable to new technologies, and deadline-oriented.
*   **Work Preference:** Remote."
98278,"[NAME]
UI/UX Designer

PROFESSIONAL SUMMARY
Detail-oriented UI/UX Designer specializing in creating intuitive and visually appealing digital experiences. Skilled in solving user problems through research-driven design solutions, ranging from comprehensive user analysis to high-fidelity prototyping. Experienced in both independent project management and collaborative team environments, with a strong focus on design systems, responsiveness, and continuous professional development.

TECHNICAL SKILLS
· **Design Tools:** Figma (Auto Layout, Styles, Components, Design Systems), Protopie.
· **UX Methodology:** User Research, Competitor Analysis, User Personas, User Flows, Wireframing, Troubleshooting, Needs Assessment.
· **UI Design:** User Interface Development, Adaptive & Responsive Design, Moodboarding, Animated Prototyping.

PROJECT EXPERIENCE

Globetrot Web Service | UI/UX Designer (Team Project)
· Collaborated within a team to develop a web service focused on organizing economic stays and budget travel.
· Designed key user interface elements, including complex filter systems and user verification methods.
· Conducted in-depth research to identify user pain points and implemented specific design solutions to address them.
· Delivered detailed wireframes, UI components, adaptive layouts, and animated prototypes for developer handoff.

Lunushka Shop Mobile App | UI/UX Designer (Independent Project)
· Executed the end-to-end design of a mobile application for an online retail store, moving from concept to final prototype.
· Performed comprehensive research, including competitor analysis, target audience personas, and assessments of user needs and fears.
· Developed optimized user flows and detailed wireframes to ensure logical navigation.
· Created an intuitive UI design featuring specialized onboarding sequences.
· Built animated prototypes for stakeholder review, utilizing Protopie for advanced onboarding animations.

Flower Shop Landing Page | UI/UX Designer (Independent Project)
· Conceptualized and designed a landing page for a floral shop featuring an innovative delivery service model.
· Conducted detailed user research and competitor analysis to inform the design strategy and persona development.
· Created project moodboards and high-fidelity prototypes to establish visual direction.
· Engineered a professional interface prioritizing convenient navigation and seamless user experience.
· Adapted the landing page design for full responsiveness across tablet and mobile devices.

Tattoo Studio Website Redesign | UI/UX Designer (Independent Project)
· Executed a comprehensive visual modernization of an existing tattoo studio website.
· Conducted a detailed structural analysis to create a more understandable interface and informative page hierarchy.
· Strategized the redesign to specifically attract new customers and facilitate better cooperation with tattoo artists.

ADDITIONAL BACKGROUND
· Experienced in corporate training and development.
· Proven track record of working effectively in team atmospheres focused on mutual respect and career growth."
98279,"[NAME]
Junior UI/UX Designer

PROFESSIONAL SUMMARY
Junior UI/UX Designer experienced in executing the full design lifecycle, including analysis, ideation, prototyping, and user interface design. Proficient in creating user-friendly, navigable interfaces focused on solving problems and achieving project goals. Proven ability to deliver results in both collaborative remote team environments and individual design projects.

PROJECT EXPERIENCE

**Mobile App for Flower & Gift Delivery | Team Project**
*Current*
*   Collaborating on the end-to-end design and development of a mobile application for flower and gift delivery services.

**NADIYA: Pet Search Webservice | Team Project**
*December 2022 – February 2023*
*   Co-developed a web service designed to facilitate the location of lost animals.
*   Executed UX research phases, including competitor analysis, user persona development, and sitemap creation.
*   Produced high-fidelity prototypes and user interface designs, implementing adaptations to ensure a simple, usable, and visually appealing service.
*   Managed organizational tasks, delegation, and time management within a remote team setting.

**MIMINO: Restaurant & Hotel Complex | Website Redesign**
*October 2022 – November 2022*
*   Redesigned an existing hospitality website to enhance visual appeal, modernity, and user experience.
*   Conducted a site analysis to identify usability issues and implemented corrective design solutions.
*   Researched visual references and developed detailed prototypes.
*   Completed full visual design and responsive adaptation for the project.

**Yoga Studio | Landing Page | Individual Project**
*   Designed and developed a landing page for a yoga studio, managing the project from concept to final design.

SKILLS & COMPETENCIES

**Design & Research**
*   **Process:** Analysis, Ideation, Prototyping, UI Design, Responsive Adaptation.
*   **UX Research:** Competitor Analysis, User Personas, Sitemaps.

**Soft Skills**
*   Team Collaboration
*   Time Management
*   Organization & Delegation
*   Remote Work Proficiency

PROFESSIONAL GOALS & VALUES
*   **Work Environment:** Focused on remote work opportunities and fostering a respectful, friendly team atmosphere.
*   **Development:** Dedicated to continuous corporate training, professional development, and career growth."
98280,"**Junior UX/UI Designer**

**PROFESSIONAL SUMMARY**
Detail-oriented Junior UX/UI Designer focused on creating user-centric digital products. Experienced in executing web design processes for both individual and team-based projects. Skilled in utilizing research, competitor analysis, and prototyping tools to develop effective interfaces for users and businesses.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Canva
*   **Research & Strategy:** User Interviews, Competitor Analysis, SimilarWeb, Customer Journey Mapping (CJM), User Flows
*   **Methodologies:** Design Systems, Web Design Processes, UI Design

**PROJECT EXPERIENCE**

**Look for | Web-service**
*   Developed a comprehensive interface for an accommodation-finding platform, prioritizing user safety and convenience.
*   Designed the end-to-end experience across three distinct modules: user-facing interface, payment gateway, and admin-side dashboard.
*   Conducted target audience analysis to inform design decisions and executed high-fidelity UI work using Figma, Canva, and Adobe Illustrator.

**India Cafe | Website Redesign**
*   Revitalized an existing website to modernize the visual interface and increase visitor engagement.
*   Performed qualitative research, including user interviews and key competitor analysis, to guide the redesign strategy.
*   Delivered a high-demand, visually appealing digital solution that effectively highlights the location’s competitive advantages.

**Barbershop | Landing Page**
*   Designed and launched a promotional landing page to present services for a new barbershop in Ukraine.
*   Created a structured layout featuring a comprehensive service menu to drive customer acquisition.
*   Executed all visual design phases utilizing Figma and Adobe Photoshop.

**PROJECT HISTORY OVERVIEW**
*   Successfully delivered two individual design projects and one collaborative team project."
98281,"**[NAME]**
[Phone Number] | [Email] | [LinkedIn/Portfolio Link]

**PROFESSIONAL SUMMARY**
Result-oriented UI/UX and Graphic Designer with 8 years of experience, including 3 years in a leadership role as Head of Department. Passionate about creating digital product designs that combine intuitive logic with modern interfaces. Experienced in managing the full creative lifecycle, from competitor research and wireframing to team workflow organization and brand identity oversight.

**WORK EXPERIENCE**

**Chief Designer / Head of Department** | 3 Years
*   Directed the preparation of creative projects and design concepts, ensuring strict alignment with corporate style and brand guidelines.
*   Managed department employees and organized internal workflows to ensure efficient project delivery.
*   Oversaw the development of comprehensive visual identities and maintained brand consistency across various media.

**Graphic Designer** | 5 Years
*   Delivered diverse visual solutions and creative assets, utilizing extensive experience in graphic design principles.

**KEY UI/UX & DESIGN PROJECTS**

**Mainsail (Realty Company) | Website Redesign**
*   Conducted in-depth competitor research and analysis to optimize user interaction patterns.
*   Developed detailed wireframes and a comprehensive UI-kit to standardize design elements.
*   Designed adaptive, responsive layouts specifically for Tablet and Mobile platforms.
*   Restructured site content into logical sections, implementing simplified navigation and optimized data entry forms.

**Kinoprokat-Sumy | Popcorn Machine Interface Redesign**
*   Redesigned a standard developer interface to match specific corporate branding requirements.
*   Developed custom iconography, animations, and updated typography and color schemes.
*   Improved visual aesthetics while strictly maintaining existing button sizes and physical locations to ensure hardware compatibility.

**KinoboardPRO | Platform Design**
*   Designed the dedicated landing page for the platform.

**City Café | Interior & Branding**
*   Executed a comprehensive design project for a city café, including the interior design of the conference hall.

**UI/UX COURSEWORK & TRAINING**

*   **Hiring Web Service:** Developed an adaptive design for a cleaning company’s recruitment platform.
*   **Restaurant Booking App:** Designed a mobile application interface for table reservations.
*   **Adaptive Site Redesign:** Completed a full adaptive redesign of an existing website.
*   **Web Design Curriculum:** Successfully completed numerous short-form web design tasks and curriculum standards.

**SKILLS**

*   **Design Disciplines:** UI/UX Design, Adaptive & Responsive Design, Web Design, Graphic Design, Interior Design.
*   **Technical & Process:** Wireframing, UI-Kits, Competitor Analysis, User Interface Logic, Prototyping, Animation.
*   **Leadership:** Team Management, Workflow Organization, Creative Direction, Project Preparation.

**TARGET ROLE & AVAILABILITY**

*   **Role:** UI/UX Designer
*   **Focus:** Digital product design for business, intuitive interface logic.
*   **Work Format:** Remote preferred / Flexible schedule."
98282,"[NAME]
[Phone Number] | [Email Address]
[LinkedIn Profile] | [Portfolio Link]

**PROFESSIONAL SUMMARY**

Junior UI/UX Designer leveraging a professional background in Human Resources to create empathetic, user-centric digital experiences. Dedicated to designing visually engaging and functional websites and mobile applications. A fast learner and highly responsible professional committed to continuous skill development. Seeking to contribute to innovative, growth-oriented teams in a full-time or part-time capacity.

**PROJECT EXPERIENCE**

**Eventize | Mobile Application** | 2023
*   Designed the user interface and experience for a mobile platform dedicated to venue discovery and event booking.
*   Conceptualized and structured comprehensive event management tools, specifically tailored for planning special occasions.
*   Streamlined the user journey by implementing intuitive categorization systems for item selection and integrating task-planning functionality.

**Guesture | Web Application** | 2022
*   Designed a web-based hospitality service connecting users with new environments for work and rest.
*   Developed the service model concept, incorporating a unique payment and work-exchange system between guests and hosts similar to couch-surfing.
*   Tailored user flows and visual design to target specific demographics, focusing on students and young travelers seeking affordable lodging.

**SKILLS & CORE COMPETENCIES**

*   **Design:** UI/UX Design, Web Design, Mobile Application Design, Visual Design, User-Centric Design.
*   **Transferable Background:** Human Resources (HR) Management.
*   **Professional Attributes:** Innovation, Rapid Learning, Task Management, Responsibility."
98283,not_successfully_modified
