,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
83711,"**[Your Name]**

**Summary**

Experienced in developing marketing materials and managing digital presence. Skilled in content creation, graphic design, and analytical marketing. Dedicated to supporting communication efforts.

**Experience**

*   **Newsletter Creation:** Developed newsletters for three distinct target audiences.
*   **Graphic Design:** Designed visual elements for websites and social media platforms.
*   **Marketing Strategy and Analysis:** Created marketing plans and conducted analytical assessments of advertising campaigns.
*   **Medical Aid Infoline Support:** Provided assistance on the medical aid infoline for Ukrainian refugees.
*   **Social Media Management:** Managed social media accounts for Medimost and related projects.
"
86666,"**[Your Name]**
[Your Contact Information]

**Summary**

Web Designer with two years of experience in a digital marketing agency, specializing in the creation of modern, responsive corporate websites and landing pages. Focused on developing visually appealing and user-friendly digital experiences. Seeking to expand skillset and knowledge in UI/UX design.

**Skills**

*   Web Design
*   Responsive Design
*   User-Friendly Design
*   [List design tools and software]
"
87779,"**[Your Name]**

**Summary**

Results-oriented professional with experience in design, digital marketing, global relationship management, sales, client services, growth, and product management.

**Experience**

*   **727.ventures:** Growth Assistant/Product Manager
*   **Deutsche Börse:** Global RM, Sales, Client Services
*   **Bank Gutmann:** Design and Digital Marketing

**Contact**

Available upon request.
"
97622,"**[Your Name]**

**Summary**

UI/UX Designer with 1.5 years of hands-on experience in desktop and application design. Proven ability to create engaging illustrations, graphics, and content for various platforms. Dedicated to providing clients with optimal solutions through proactive communication, project management, and user-centered design practices.

**Experience**

*   UI/UX Designer | 1.5 years
    *   Designed user interfaces for desktop and mobile applications.
    *   Created illustrations, graphics, and content for books, booklets, and online posts (3 years experience).
    *   Collaborated with clients, managed project roadmaps, and developed design matrices.
    *   Conducted user research, developed empathy maps, user scenarios, and identified user needs.
    *   Created and tested clickable prototypes.
    *   Demonstrated knowledge of web and mobile application design principles and user behavior patterns.

**Skills**

*   UI/UX Design
*   User Research
*   Prototyping
*   Illustration
*   Graphic Design
*   Content Creation
*   Client Communication
*   Project Roadmap Creation
*   Design Matrix Creation
*   Empathy Mapping
*   User Scenarios
"
98134,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your LinkedIn Profile (Optional)]

**Summary**

Highly motivated individual seeking a Junior UI/UX Designer role or trainee program. Possessing a Master's Degree and project management experience, with a strong foundation in design principles and a passion for IT and professional development.

**Skills**

*   Adobe Illustrator
*   Adobe Photoshop
*   Web Design
*   Adobe After Effects (Animation & Motion Design)
*   Project Management
*   Analysis
*   Planning
*   Problem-Solving

**Experience**

*   **Project Manager** | [NGO Name] | [Dates of Employment (3 years)]
    *   Managed projects, utilizing analytical and planning skills to achieve results.

**Education**

*   **Master's Degree** | [University Name] | [Year of Graduation]

**Interests**

*   UI/UX Design
*   IT Industry
*   Professional Growth
"
98135,"**[Your Name]**
[Your Contact Information]

**Summary**

UI/UX Designer with 1+ years of experience seeking a new opportunity to further develop skills and gain additional experience.

**Experience**

*   Employed industry and design best practices throughout website build processes.
*   Analyzed user behavior and troubleshooted UX issues.
*   Created landing page prototypes using Figma.
*   Managed style guides, including font, color, and illustration selection.
*   Ensured website functionality across various devices (desktop, mobile, tablet).
*   Created logos.
"
98136,"**[Your Name]**
[Your Contact Information]

**Summary**

UI/UX Designer with 1.5 years of experience. Proficient in Figma and Adobe Photoshop. Strong English language skills. Demonstrated ability to develop UI/UX solutions.

**Experience**

**UI/UX Designer**
[Start-up Name, if applicable] | [Dates of Employment - 4 months]
*   Designed UI/UX for an online clothing shop targeting the EU market.
*   Collaborated with a Product Manager, two developers, and one QA.
*   Utilized Figma and Adobe Photoshop.

**UI/UX Designer**
[British clothing store, if applicable] | [Dates of Employment - 2 months]
*   Responsible for UI/UX design.
*   Created prototypes.
*   Developed layouts.
*   Performed UI and UX design tasks.

**Freelance UI/UX Designer**
[Dates of Employment - 8 months]
*   Completed various small UI/UX design projects.
*   Utilized Figma and Adobe Photoshop.

**Skills**

*   Figma
*   Adobe Photoshop
*   UI Design
*   UX Design
*   English Language
"
98137,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (Optional)] | Lviv, Ukraine

**Summary**

UI/UX Designer based in Lviv, Ukraine. Completed the Web Design Beginning course at Projector Institute. Supplemented formal training with online UI/UX design courses on Udemy.com. Mentored by Valentine Skliarov (Lead Designer at Cieden). Eager to contribute to the design and launch of new digital products and the redesign of existing projects, utilizing user-centered design principles.

**Skills**

*   UI Design Fundamentals
*   UX Design Fundamentals
*   User-Centered Design
*   Fast Learner
*   Responsible
*   Sociable

**Experience**

*   **UI/UX Design Student**
    *   Projector Institute - Web Design Beginning Course Graduate
    *   Completed online UI/UX design courses on Udemy.com
    *   Mentored by Valentine Skliarov (Lead Designer at Cieden)

"
98138,"**[Your Name]**

**Summary**

*   Team player and quick learner. Passionate about design and committed to user-friendly, simple, and aesthetically pleasing solutions.

**Skills**

*   **Design Tools:** Figma (Components, Variants, Auto Layout, Bootstrap, Prototyping, Mockups), Adobe Photoshop, Adobe Illustrator (limited experience)
*   **Design Principles:** Typography, Grids, Composition, Color Theory, Usability Principles
*   **Other:** Webflow (currently learning), English (improving)

**Projects**

*   Created and continue to create mock projects (landing pages, authorization forms) for educational courses and test tasks.
"
98171,"**\[Your Name]**
[Your Contact Information]

**Summary**

UI/UX Designer with approximately one year of experience. Proven ability to develop creative projects and collaborate within a team environment.

**Experience**

*   **Freelancer**
    *   \[Dates of Freelance Work]
    *   Developed creative projects.

*   **Startup**
    *   \[Dates of Employment at Startup]
    *   Collaborated within a team.

**Skills**

*   UI/UX Design
*   Figma
*   Photoshop
*   Illustrator
*   AutoCAD
*   Blender
*   Photography
*   Music

**Strengths**

*   Ambitious
*   Proactive
*   Cooperative
*   Polite
*   Creative

**Weaknesses**

*   Diligence
*   Modesty
*   Demandingness
"
98172,"Dmitry
UI/UX Designer

Passionate about design and dedicated to continuous skill improvement. Focused on creating modern and stylish designs, with a strong drive to apply skills to real-world projects. Eager to contribute and excel.
"
98173,"**[Your Name]**

**Summary**

A web and mobile application designer proficient in creating layouts and designs using tools such as Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW. Experienced in collaborative design environments and dedicated to staying current with web design trends and technologies to deliver optimal design and functionality.

**Projects**

*   **GetPet - Web Service for Finding Lost Animals**
    *   Performed competitor assessments, persona creation, user journey mapping, and user flow analysis.
    *   Contributed to wireframing and interface design.
    *   Collaborated with a team during the development process.
*   **Poltava Music School Website Redesign**
    *   Completely redesigned the website interface for a modern and user-friendly experience.

**Skills**

*   Web Design
*   Mobile Application Design
*   UI/UX Design
*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   CorelDRAW

**Desired Employment**

Seeking a remote position with a flexible schedule, offering opportunities for experience exchange and the creation of competitive, high-quality products.
"
98245,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio URL (if applicable)]

**Summary**

Driven design student with a proven ability to successfully complete design courses and a defended thesis. Currently enrolled in a professional-level course. Experience in UX research, user audience analysis, competitor analysis, design system development, UI kit creation, prototyping, and adaptive design. Some experience with animation.

**Experience**

*   **Freelance Designer** | [Dates of Employment]

    *   Created posters, rendered videos, and designed a logo for a dance festival.
    *   (6 months)

**Education**

*   **Design Courses** | [Institution Name] | [Dates of Attendance]

    *   Successfully completed design courses.
    *   Thesis successfully defended.
    *   Currently enrolled in a professional-level course.

**Skills**

*   UX Research
*   User Audience Analysis
*   Competitor Analysis
*   Design System Development
*   UI Kit Creation
*   Prototyping
*   Adaptive Design
*   Animation (limited experience)
"
98250,"**Summary**

Results-oriented professional with experience in design, marketing, and account management. Proven ability to build relationships, optimize campaigns, and drive results.

**Experience**

**Innovation Group** | Media Buyer/Marketer | 03.2016 - 05.2022

*   Managed advertising campaigns across various networks.
*   Oversaw traffic distribution for advertising campaigns.
*   Prepared and created creatives and landing pages.
*   Monitored and analyzed advertising campaign performance.
*   Optimized campaigns for improved results.

**Sprava** | Account Manager | 01.2013 - 02.2016

*   Developed partnerships and strategic client relationships.
*   Managed and grew existing client accounts.
*   Acquired new customers and fostered long-term relationships.
*   Provided support for SEO implementation to enhance partner account monetization.

**Education**

**Hillel (IT School)** | UI/UX Design Pro | 10.2021 - 05.2022

**Hillel (IT School)** | Design Basic | 05.2021 - 08.2021
"
98251,"**Summary**

*   Completed courses in web UI development and UI/UX design.
*   Experience in customer service and photography.
*   Freelance UX/UI Designer.

**Skills**

*   User Research
*   Wireframes
*   User Flow
*   Mockups
*   Prototypes
*   User Personas
*   Figma
*   Photography
*   Photo Retouching
*   Teamwork
*   Customer Service

**Experience**

**UX/UI Designer** | Freelance | 03.2023 - Present

*   Conducted user research.
*   Developed wireframes and user flows.
*   Created mockups and prototypes.
*   Developed user personas.
*   Utilized Figma.

**Photographer** | The Moment, Kyiv | 09.2020 - 02.2022

*   Photographed groups of people.
*   Performed photo retouching.
*   Collaborated in a team environment.

**Photographer** | The Svadba, Kyiv | 03.2018 - 04.2019

*   Photographed weddings.
*   Retouched photos.
*   Sold photos and created photo album layouts.

**Aviation Security** | PLC «Master-Avia», Kyiv | 04.2017 - 12.2017

*   Monitored baggage.
*   Interacted with the public.

**Education**

*   **UI/UX Design Basics** | Prometeus | 2023
*   **Basics of Web UI Development** | Prometeus | 2022
"
98252,"**VBakery**

*   Developed a website for a bakery, offering a catalog of pastries and cakes.
*   Implemented online ordering functionality and a custom confectionery designer.
*   Incorporated a user feedback system and a user account for storing favorites, reviewing orders, and viewing order history.
*   Included information about the bakery and its location.

**Dim Kultury**

*   Developed a website to attract investment for renovating local monuments, establishing a cultural center, and restoring the ЖИВОТ club.
*   The project encompassed three key areas:
    *   ЖИВОТ: Planned transformation of the oldest nightclub into a youth center operating day and night.
    *   ДІМ КУЛЬТУРИ: Planned development of a large cultural center uniting social business projects.
    *   ДВІР: Planned creation of a communal urban space with a green theater, summer stage, and food court.
"
98253,"**[Your Name]**

**Summary**

Highly motivated individual with experience in design and project leadership, contributing to real-world product development within the social sector and e-commerce. Proficient in design tools and collaborative platforms.

**Experience**

**Baza Trainee, Ukraine** | 06.2023 – Present

*   Led design teams for website projects for the volunteer organization ""4.5.0.""
*   Directed design efforts for the ""1000+1 song. Kolyskovi"" project.
*   Finalist, Hahathon 4.0: Ukraine Heritage Edition.
*   Utilized Figma, Trello, Slack, Discord, and time tracking software.

**CURSOR Education** | 01.2023 – 06.2023

*   Contributed to the development of an e-commerce platform for a craft business.
*   Participated in stakeholder interviews, competitor analysis, user research, SWOT analysis, customer journey mapping (CJM), and information architecture (IA).
*   Developed wireframes, UI components, and prototypes.
"
98254,"**Summary**

UX/UI Designer proficient in design fundamentals and Figma. Experienced in website interface redesign, interactive design, and social media content creation.

**Projects**

*   **Charitable Organization Social Media Banners:** Designed and created social media banners.
*   **Fitness Coach Website Redesign:** Redesigned website interface, simplifying the design and highlighting key elements to attract clients.
*   **Handmade Artist Landing Page (UX/UI Case Study):** Developed a landing page for presenting unique products, including wireframe design, color palette selection, and parallax animation.
*   **Mobile App (UX/UI Case Study):** Designed a mobile app for gift selection and delivery, focusing on special occasions.

**Skills**

*   UX/UI Design
*   Figma
*   Interactive Design
*   Social Media Content Creation
*   Web Design
*   Mobile App Design
"
98255,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | Behance Profile URL

**Summary**

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping and adaptive design. Eager to contribute skills and enthusiasm to create impactful and user-friendly products that elevate the user's journey.

**Projects**

*   **DeliverEats Mobile Service**
    *   Created a mobile design for a food delivery service. Conducted UX Research, Wireframing, UI Design, and Prototyping. Launched on Behance.
    *   Developed a service to enable users to quickly order food delivery with minimal steps. Designed several pages for customers including a catalog, product page, and account section.
    *   Determined target audience, analyzed the market and competitors, and incorporated the following design elements:
        *   Search functionality on the home page
        *   Filtering options for quick sorting
        *   Ability to add products to favorites
        *   Emphasis on convenience and simplicity for ease of understanding

*   **PetSearch Web Service (Team Project)**
    *   Participated in a team project to design a web service for finding lost animals. The design process included UX Research, Personas, User Flows, Jobs to Be Done (JTBD), Customer Journey Maps (CJM), Wireframing, UI Design, Adaptive design, and Prototyping. Launched on Behance.
    *   Considered the needs of two user types: those who lost pets and those who found pets.
    *   Analyzed the market and competitors to determine the target audience and identify positive and negative aspects of similar services.
    *   Implemented design elements including:
        *   A warm color scheme
        *   Functionality to facilitate user action
        *   Adaptive design for mobile devices
        *   Emphasis on convenience and clarity
"
98256,"**FlowerLower**

*   Landing page for flower delivery company, case study
    *   Conducted competitor analysis and research
    *   Developed high-fidelity wireframes
    *   Created UI style guides (typography, responsive layouts, color palette, buttons)

**Mimino**

*   Redesign of a Georgian cuisine website, case study
    *   Conducted competitor analysis and research
    *   Developed high-fidelity wireframes
    *   Created UI Kit (typography, responsive layouts, color palette, components)
    *   Prototyped user interactions
    *   Adapted designs for mobile and tablet devices

**Wanderstay**

*   Couchsurfing web-service, team project, case study
    *   Conducted competitor analysis and research
    *   Applied design thinking methodologies
    *   Utilized Jobs-to-be-Done (JTBD) framework and created user personas
    *   Developed Information Architecture and User Flows
    *   Created Customer Journey Maps (CJM)
    *   Created wireframes
    *   Designed dashboards and a 404 page
    *   Implemented parallax scrolling
    *   Adapted designs for mobile and tablet devices
    *   Prototyped user interactions
"
98257,"**Summary**

Driven individual with experience in web service development and design, demonstrating a strong understanding of UX/UI principles and project lifecycle management. Proven ability to conduct market research, analyze user needs, and create user-centered designs. Seeking a collaborative and growth-oriented environment.

**Experience**

*   **Web Cleaning Service (Independent Project)**
    *   Developed and launched a web cleaning service, encompassing all stages from competitor analysis and market research to design and implementation.
*   **Barbershop ""BARBER"" - Lead**
    *   Led the project through all stages, starting with competitor and target audience research.
    *   Utilized research findings to inform design decisions, ensuring user needs were prioritized.
*   **""India Cafe"" Website Redesign**
    *   Conducted user research to understand the target audience and identify website needs.
    *   Improved the website's design for both visual appeal and enhanced usability.
*   **""CLEAN"" Web Service - Creator**
    *   Developed a platform connecting cleaners with clients.
    *   Managed all UX/UI stages, including user flow, prototyping, sitemap creation, payment page design, and overall design implementation.

**Skills**

*   UX/UI Design
*   Market Research
*   Competitor Analysis
*   User Research
*   Prototyping
*   Sitemap Creation
*   Web Design

**Desired Employment**

Seeking a role in a company with a collaborative, positive, and results-oriented environment. Flexible to work both in-office and remotely. Eager to learn, develop professionally, and advance within the company.
"
98258,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Highly responsible professional with a Master's degree in Law, currently pursuing UI/UX design studies. Possesses a strong foundation in client interaction, document management, and quality control.

**Experience**

*   **Head of the Quality Control Department of Customer Support** Rocket Delivery (Cyprus) - 6 months
    *   Oversaw quality control within the Customer Support department.

*   **Customer Support Manager** (Gambling) - 1 year
    *   Provided customer service regarding website issues.
    *   Directed requests to appropriate departments.

*   **Notary Assistant** - 3 years
    *   Managed documents and prepared contracts.
    *   Conducted client consultations.
    *   Worked with electronic registers.
    *   Handled business correspondence.

**Education**

*   **Master's Degree in Law** - 2018

*   **UI/UX Design Course** DanIT Academy

**Skills**

*   Client Communication
*   Document Management
*   Contract Preparation
*   Electronic Registers
*   Business Correspondence
*   Customer Service
*   Quality Control
"
98259,"**[Your Name]**

**Summary**

Results-oriented designer proficient in competitor analysis, user flow creation, sitemap development, mood board creation, and the design of landing pages, websites, and web services. Experienced in prototyping and adaptive design. Eager to learn and develop new skills, with a focus on vector graphics and collaborative environments.

**Projects**

*   **OURPAWS**
    *   Part of the team for the redesign of the search service for missing animals.
    *   Utilized Figma, Adobe Illustrator, and Adobe Photoshop.
*   **LA MESA**
    *   Mobile application for booking tables in restaurants.
    *   Utilized Figma, Adobe Illustrator, and Adobe Photoshop.

**Skills**

*   Competitor Analysis
*   User Flow
*   Sitemap Creation
*   Mood Board Creation
*   Landing Page Design
*   Website Design
*   Web Service Design
*   Prototyping
*   Adaptive Design
*   Figma
*   Adobe Illustrator
*   Adobe Photoshop

**Goals**

*   Development and learning in a professional environment.
*   Deepen skills in Adobe Illustrator.
*   Improve proficiency in vector graphics.
*   Contribute to a team with mutual respect and assistance.
"
98260,"**[Your Name]**

**Summary**

Driven individual with experience in designing user-friendly interfaces and attracting customers through well-thought-out design.

**Projects**

*   **FlowerLover Landing Page**

    *   Developed a user-friendly landing page for the ""FlowerLover"" flower shop based on client specifications.
    *   Conducted competitor research and target audience analysis.
    *   Focused on interface clarity and User Interface design.

*   **Alaska Pete's Restaurant Website Redesign**

    *   Redesigned the website for Alaska Pete's restaurant.
    *   Addressed outdated design and lack of table reservation functionality.
    *   Aimed to create a modern, user-friendly design to attract customers.
"
98261,"**Summary**

*   Team Leader, ""See World"" Project

**Projects**

*   **See World**
    *   Led a project focused on developing a user-friendly interface for finding housing.
    *   Designed the interface to facilitate easy application submission and voice-based publishing.
*   **GenieTable**
    *   Developed the design concept for a mobile application, GenieTable, for restaurant table reservations.
    *   The design incorporated a cartoon character theme, including a lamp interaction and associated color schemes, to attract users.
*   **Nice View**
    *   Contributed to a team project to create a landing page for a residential complex.
    *   Designed the landing page to present the complex and encourage potential clients to take action.
    *   Employed a minimalist design style and a calming color scheme to convey a sense of comfort and security.
"
98262,"**Summary**

Driven individual with experience in web design and development, demonstrated through three personal projects. Proficient in competitor analysis, information gathering, task analysis, mood board creation, minimalist website and landing page development, CRM and mobile application development, prototyping, and responsive design.

**Projects**

*   **Tattoo Salon Website Redesign (GoIT Course):** Spearheaded the redesign of a tattoo salon website, encompassing audience analysis, UI kit creation, tablet and mobile adaptation, and link implementation.
*   **Landing Page Development:** Independently developed a landing page project, involving reference selection, mood board creation, and UI kit development for the main page.
*   **Web Service for Affordable Travel (Team Project):** Contributed to a team project focused on creating a web service to facilitate budget-friendly international stays. Responsibilities included audience analysis, user flow and customer journey map (CJM) creation, design system selection, tablet and mobile adaptation, and link implementation.

**Skills and Preferences**

*   Focus on results, design-oriented approach, and collaborative teamwork.
*   Value mutual respect and a positive work environment.
*   Preference for partially remote work.
*   Interest in corporate training and professional development opportunities.
"
98263,"**[Your Name]**

**Summary**

Driven individual with experience in web and application design, demonstrated through personal and collaborative projects. Proven ability to create user-friendly interfaces and contribute to the development of engaging products. Adept at communication and collaboration within a team environment.

**Projects**

*   **Personal Projects:**
    *   **Easy Yoga Web Service:** Designed a web service, including desktop and responsive design, to connect yoga instructors with potential clients.
    *   **Mobile Productivity Application:** Developed an application to enhance productivity through daily planning and health monitoring features.

*   **Team Projects:**
    *   **Redesign Tattoo Company Website:** Led the full-cycle design update for a tattoo company's website, resulting in an improved user experience and alignment with modern design standards.
    *   **[Project Name - If you want to include the name of the project, add it here]**: [Describe your other team project in a concise manner.]

**Skills**

*   Web Design
*   Application Design
*   User Interface (UI) Design
*   Responsive Design
*   [Add any other relevant skills from your original resume or implied by the projects (e.g., Communication, Collaboration)]
"
98264,"**[Your Name]**

**Summary**

UX/UI Designer with team leadership experience. Passionate about creating user-centered designs and developing web applications.

**Experience**

*   **Team Leader & UX/UI Designer,** Project ""Travelhaven""

*   **Pet Projects**

    *   [Project 1 Description - based on your original description: A web service for organizing affordable stays in other countries. Focus on interface development for ""changing the environment"" through work/exchange.]
    *   [Project 2 Description - based on your original description.]

*   **Volunteer Project**

    *   Developed a website for a volunteer organization.

**Projects**

*   **Alaska Pete's Roadhouse Grille Website Redesign**

    *   Conducted competitor analysis to inform design decisions.
    *   [Add a brief, factual description of your role in the redesign, based on your original text. If you can't, leave this point blank.]

*   **[Project 1 Title - based on your original description: Web Service for Affordable Stays]**

    *   Designed the user interface for a web service facilitating work-exchange stays.
    *   Targeted students and young people seeking budget-friendly travel options.
"
98265,"**[Your Name]**

**Summary**

*   Team leader for the ""SweepUp Cleaning Web-service"" project.
*   Participated in an addendum project for GoIT, with landing page design implemented by student developers.

**Projects**

*   **TimeWell Daily Planner Mobile App**
    *   Collaborated on a team to develop a mobile application for time management, task planning, and goal achievement.
    *   Conducted competitive application analysis, created User Personas and User flows, and developed high-fidelity prototypes and UI design.
    *   Implemented detailed animation using Protopie.
    *   *Instruments:* Figma, Photoshop, Illustrator, Protopie.
*   **SweepUp Cleaning Web-service**
    *   Led a team in creating a web service for convenient selection and ordering of cleaning specialists.
    *   Conducted market and competitor analysis, brainstorming sessions, and developed User Personas, JTBD, CJM, and User flows.
    *   Developed prototypes, UI design, relinking, and adaptation within an existing design system.
    *   *Instruments:* Figma, Photoshop, Illustrator.
*   **Bravo Furniture Site Redesign**
    *   Personal project involving the redesign of a luxury furniture store website.
    *   Performed market analysis, competitor research, and created screen prototypes, UI design, responsive layouts for mobile and tablet versions, and a UI-kit.
    *   *Instruments:* Figma, Photoshop, Illustrator.
*   **Citroen C4 Landing Page**
    *   Developed a landing page for Citroen C4 test drive bookings as coursework.
    *   Conducted market analysis, competitor research, and created a moodboard, wireframes, and an animated interface using Figma.
    *   *Instruments:* Figma.
"
98266,"**[Your Name]**

**Summary**

Team player with experience in web and mobile app design, specializing in user interface and user experience. Proven ability to lead projects, conduct research, and deliver visually appealing and functional designs.

**Experience**

*   **Mobile App for Table Booking in a Restaurant**
    *   Team member contributing to the design and development of a mobile application.

*   **Team Lead, Travel Joy**
    *   Led a team in the full-cycle design of a web service in Figma.
    *   Conducted competitor analysis, created user flows, wireframes, and prototypes.
    *   Developed a web service with convenient functionality and a user-friendly interface for travel purposes.
    *   Organized and monitored the work process, ensuring project goals were met.
    *   Successfully worked within a pre-existing design system.

*   **Nice View**
    *   Designed a landing page for a new residential complex in Figma.
    *   Conducted competitor analysis and target audience research.
    *   Developed low-fidelity and high-fidelity prototypes.
    *   Selected fonts and a color palette to attract potential buyers.
    *   Delivered a landing page design that met client requirements and was visually appealing.

*   **Personal Project: New Residential Complex**
    *   Designed a landing page for a new residential complex.

**Skills**

*   Figma
*   User Interface (UI) Design
*   User Experience (UX) Design
*   Prototyping
*   Wireframing
*   Competitor Analysis
*   User Flow Creation
*   Team Leadership
"
98267,"**[Your Name]**

**Summary**

Developed and executed projects focused on user engagement and information dissemination. Demonstrated skills in web design, project management, and utilizing marketing principles to achieve project goals.

**Projects**

*   **Volunteering Projects Aggregator for Ukraine**
    *   Developed a platform to aggregate and showcase volunteering initiatives in Ukraine.
    *   Included detailed project information, donation capabilities, and links to related projects and volunteer organizations.
    *   Focused on promoting engagement and support for causes within Ukraine.

*   **Kickstarter Project Landing Page**
    *   Designed a landing page for a nightstand convertible into four chairs.
    *   Applied the AIDA marketing model to encourage user purchases.
    *   Utilized competitor analysis, reference selection, high-fidelity wireframing, and adaptive website design skills.

*   **Rihanna Landing Page**
    *   Created a landing page to introduce users to Rihanna and generate interest.
    *   Employed mood boards, reference gathering, wireframing, complex composition, typography, and prototyping techniques.
"
98268,"**[Your Name]**
[Your Contact Information]

**Summary**

Enthusiastic individual with experience in web design and development, demonstrated through personal projects.  Proficient in full-cycle design processes, including competitor analysis and mobile adaptation.  Eager to contribute to a collaborative team environment and create user-friendly online experiences.

**Projects**

*   **A Kids Place Childcare - Website Redesign**
    *   Led a full-cycle website redesign for a preschool, aiming to enhance user appeal.
    *   Conducted competitor analysis to inform design decisions.
    *   Implemented responsive design for optimal viewing on mobile and tablet devices.

*   **Pet Search - Pet Service (Team Project)**
    *   Participated in a team project to develop a web service for pet-related services.
    *   Focused on creating a centralized platform for users to access various pet services.
    *   Conducted market research to understand the target audience.
    *   Designed the service with mobile and tablet compatibility.
    *   Gained experience in collaborative development.

*   **Mobile Event App (In Progress)**
    *   Developing a mobile application for event management.
"
98269,"**[Your Name]**
[Your Contact Information]

**Summary**

Enthusiastic individual with a foundation in UX/UI design, seeking opportunities to contribute to user-centered projects. Experience includes UX research, UI design, and collaborative teamwork.

**Skills**

*   UX Research
*   UI Design
*   Teamwork
*   Jira

**Experience**

**University IT HUB Volunteer** | [Dates of Volunteering]

*   Redesigned university websites.
*   Designed interfaces to meet university requirements.
*   Collaborated with a team to manage tasks using Jira.
*   Improved UI skills through mentorship and UI library utilization.
*   Participated in UX research and solution evaluation.
*   Collaborated with developers and project managers to enhance teamwork.

**Pet Project Internship** | [Dates of Internship]

*   Worked with a small development team.

**Education**

**KronaStudio&School** | Web Design Course

**Projector UX Beginner Course**
*   Completed a stakeholder project as a self-dependent designer.
*   Completed a stakeholder project within a design team.
*   Utilized UX research and problem-solving to create UI solutions.
"
98270,"**[Your Name]**

**Summary**

Driven individual with experience in 3D modeling and web development. Proven ability to create 3D exteriors and interiors, utilize SketchUp, and lead a team in developing a web platform. Adept at UI/UX design and committed to producing user-friendly and aesthetically pleasing online experiences.

**Experience**

**3D Graphic Specialist** - HOVER Ukraine (February 2021 – June 2023)

*   Modeled 3D exteriors and interiors using SketchUp.
*   Reviewed and assessed 3D models created by other modelers.

**Projects**

*   **YoHome:** Led a team in the development of a web service for hosting and renting housing. Responsibilities included interface development, user flow design, and stylization.
*   **Sophie Scholl Realschule Website Redesign:** Led a study project to redesign the school's website, focusing on aesthetics, user-friendliness, and information presentation. Conducted research and analysis of school websites and web design best practices.
*   **[Project Title 3]:** [Description of Project 3]

**Skills**

*   SketchUp
*   HTML
*   CSS
*   UI/UX Design

**Additional Experience**

*   Full-time/Part-time Position
*   Mutual Respect and Friendly Atmosphere
*   Training and Development within the Company
*   Focused on Result.
"
98271,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented designer with four years of experience across interior, graphic, and industrial design. Possesses a Master's degree in Environmental and Industrial Design. Seeking to leverage design expertise and newly acquired web design skills to transition into a UI/UX design role.

**Skills**

*   Interior Design
*   Graphic Design (Logos, Business Cards, Banners)
*   Industrial Design
*   Painting
*   Figma
*   UX/UI Design Principles

**Experience**

*   **Freelance Designer & Interior Designer:** [Dates of Employment]
    *   Developed interior design projects.
    *   Created graphic design materials.

**Education**

*   **Master's Degree in Environmental and Industrial Design:** [Name of University], [Graduation Year]
*   **Web Design Courses (GENIUS):**
    *   Fundamentals of Web Design
    *   Working with Figma
    *   UX/UI: Projecting and Design of Interfaces

**Languages**

*   English: B1
*   Polish: B2
*   Spanish: B1
"
98272,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your Portfolio URL (if applicable)] | [Your LinkedIn Profile URL (if applicable)]

**Summary**

UI/UX Designer with 6 months of practical experience, proficient in the full design process. Possesses a strong understanding of user-centered design principles and a deep knowledge of Google Material Design and Human Interface Guidelines. Eager to contribute to a collaborative environment and leverage design skills to create effective and engaging user experiences.

**Experience**

*   **UI/UX Designer** | [Your Role/Project, if applicable] | [Dates of Employment]
    *   Designed UI/UX for a variety of platforms, including landing pages, e-commerce sites, portfolio sites, and mobile applications (iOS and Android).
    *   Executed the complete design process: competitor analysis, user flows, wireframing, prototyping, UI design, responsive design implementation, and website adaptation for mobile and tablet.
    *   Incorporated basic website animation.
    *   Collaborated with front-end developers.

**Education**

*   **UI/UX Design Coursework** | [Institution Name] | [Dates of Attendance]
    *   Completed a 5-month intensive program focused on the principles and technologies of the full UI/UX design process.
    *   Demonstrated a strong understanding and application of Google Material Design Guidelines and Human Interface Guidelines.

**Skills**

*   UI/UX Design
*   User Flows
*   Wireframing
*   Prototyping
*   Responsive Design
*   Mobile Design (iOS, Android)
*   Website Design
*   Competitor Analysis
*   [Add any relevant design software skills, e.g., Figma, Adobe XD, Sketch]

**Objective**

To contribute to a UI/UX design team, utilizing acquired knowledge and experience to create user-centered designs and improve design skills.
"
