,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
56662,"[Name]
[Phone Number] | [Email Address] | [Portfolio URL/LinkedIn]

**PROFESSIONAL SUMMARY**

Versatile Web, UI/UX, and Graphics Designer with over 5 years of experience combining design aesthetics with technical HTML/CSS development skills. Proven track record of delivering diverse projects, ranging from large-scale team collaborations to independent small-scale assignments. Skilled in the creation of digital and print assets, including full brand identities. Experienced in managing professional communications and project requirements with English-speaking clients.

**CORE SKILLS**

*   **Web & Technical:** Web Design, UI/UX Design, HTML, CSS.
*   **Graphic Design:** Brand Design, Publishing Materials, Booklets, Flyers, Brochures.
*   **Project Management:** Team Collaboration, Independent Workflow, Client Relations (Meetings, Calls, Correspondence).

**PROFESSIONAL EXPERIENCE**

**Designer and HTML/CSS Developer** | [Dates/Location]

*   Execute comprehensive design and development projects, serving as a Web, UI/UX, and Graphics Designer with HTML/CSS implementation responsibilities.
*   Design and prepare print-ready publishing materials, including booklets, flyers, and brochures, ensuring alignment with brand design standards.
*   Collaborate effectively within teams to deliver large-scale projects while simultaneously managing small projects independently.
*   Facilitate project development through direct communication with English-speaking clients, including conducting meetings, calls, and written correspondence."
56725,"**PROFESSIONAL SUMMARY**

Creative Designer specializing in Logo Design, Brand Identity, Web Design, and UX/UI. Dedicated to merging technical precision with conceptual ideation to create meaningful, laconic, and accessible visual forms. Adept at balancing client objectives with fundamental design principles to ensure aesthetic lightness and user convenience.

**CORE COMPETENCIES**

*   **Design Specializations:** Logo Design, Brand Identity, Web Design, UX/UI Design.
*   **Technical Skills:** Typography, Composition, Visual Hierarchy.
*   **Key Concepts:** Conceptual Ideation, User Convenience, Visual Meaning.

**PROFESSIONAL EXPERIENCE & PHILOSOPHY**

**Brand Identity & Logo Design**
*   Manage both the technical execution and conceptual development of design projects.
*   Translate complex ideas into concise, easy-to-understand visual forms.
*   Focus on infusing designs with specific meaning to create distinct brand identities.

**Web & UX/UI Design**
*   Deliver design solutions that balance client requirements with the laws of composition and typography.
*   Prioritize visual hierarchy and user convenience to ensure usability.
*   Maintain a focus on the ""lightness"" of design to enhance user experience."
56795,"**ALINA**
**Web Designer**

**PROFESSIONAL SUMMARY**
Open-minded Web Designer dedicated to delivering high-quality results on every project. Leverages a professional background in Graphic Design to enhance current work with a diverse skillset. Passionate about continuous learning and committed to mastering new tools to stay current with the fast-paced developments in the design industry.

**CORE COMPETENCIES**
*   Web Design
*   Graphic Design
*   Continuous Professional Development
*   Adaptability to New Tools

**PROFESSIONAL EXPERIENCE**

**Web Designer**
*   Strive to perform the best result possible on all design tasks.
*   Apply graphic design principles to enhance web design projects.

**Graphic Designer**
*   Gained valuable design experience and skills that currently support web design work.

**EDUCATION & DEVELOPMENT**
*   Active focus on studying and improving professional skills.
*   Continuously learning new tools to keep up with design development."
56796,"**ANN**
Graphic Designer | UI/UX Designer

**PROFESSIONAL SUMMARY**

Creative Graphic Designer and UI/UX specialist with five years of professional experience within the IT sector. Combines a strong foundation in visual design and digital illustration with recent practical experience in User Interface and User Experience design. Dedicated to pursuing a career path that offers opportunities to contribute to creative projects and innovative design solutions.

**CORE SKILLS**

*   **UI/UX Design:** User Research, Interaction Design, Wireframing, Prototyping & Testing, User Interface (UI), User Experience (UX).
*   **Visual Design:** Digital Illustrations, Typography, Graphic Design, Designing for Print, Advertisement.
*   **Strategy:** Ideation, Creative Problem Solving.

**PROFESSIONAL EXPERIENCE**

**Graphic Designer**
*IT Sector | 5 Years Experience*
*   Leveraged comprehensive graphic design skills within a corporate IT environment.
*   Managed creative tasks including typography, designing for print, and advertisement creation.
*   Produced digital illustrations and visual assets for various projects.

**UI/UX Designer**
*Recent Experience*
*   Applied methodologies in User Research and Interaction Design.
*   Executed workflows involving wireframing, prototyping, and testing to enhance user experiences."
56797,"**GRAPHIC AND UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Creative and reliable Graphic and UI/UX Designer with one year of professional experience. Dedicated to producing high-quality visual assets for both print and digital platforms. Proven ability to meet strict deadlines and collaborate effectively within creative teams.

**CORE COMPETENCIES**
*   Graphic Design & UI/UX Design
*   Print Media & Social Media Design
*   Time Management & Deadline Adherence
*   Team Collaboration

**PROFESSIONAL EXPERIENCE**

**Graphic and UI/UX Designer** | [1 Year Experience]

*   Design and execute visual projects including banners, flyers, and posters for print and social media channels.
*   Collaborate with creative teams to develop design concepts and solutions.
*   Manage individual workflow to ensure the punctual delivery of all projects within designated timelines."
56798,"**PROFESSIONAL SUMMARY**

Creative Graphic Designer characterized by a high sense of responsibility and reliability. A calm and attentive team player who excels at active listening and understanding the perspectives of others. Committed to collaborative work and maintaining professional consistency.

**CORE COMPETENCIES**

*   Logo Design
*   Brand Identity Creation
*   Business Presentations

**TECHNICAL SKILLS**

*   **Adobe Creative Suite:** Illustrator, InDesign, Photoshop
*   **Microsoft Office:** Word, PowerPoint"
56799,"**Rafael Abasov**
**Portfolio:** www.rafaelabasov.com
**Location:** Azerbaijan (Open to Remote; Relocating to Prague, Sept 2023)

**PROFESSIONAL SUMMARY**

Highly skilled and creative Graphic Designer with a minimalistic and functional approach to visual problem-solving. Experienced in a wide range of design software including Adobe Creative Cloud and Figma. Specializes in branding, UI/UX, and content creation with a focus on delivering thought-through ideas that effectively communicate client messages. Incoming Master’s student in Design committed to staying current with the latest industry trends.

**EXPERIENCE**

**Freelance Graphic Designer** | Remote / Azerbaijan
*Current*

*   Create diverse visual content for clients, ranging from logos and marketing materials to comprehensive web graphics.
*   Specialize in multi-disciplinary design areas including branding, UI/UX, album covers, packaging, clothing merchandise, and poster design.
*   Collaborate closely with clients to analyze requirements and develop visual solutions that align with their vision and communication goals.
*   Execute video editing projects using Adobe Premiere Pro and Final Cut.
*   Apply design principles to produce original, functional, and minimalistic products.

**EDUCATION & CERTIFICATIONS**

**Master’s Degree in Design**
Prague, Czech Republic | *Starting September 2023*

**Google UX Design Professional Certificate**
*Currently Enrolled*
*   Focusing on expanding knowledge in the UX field including user research and design thinking.

**TECHNICAL SKILLS**

**Design Software:**
*   **Advanced:** Adobe Illustrator, Adobe Photoshop, Figma, Adobe XD, Sketch
*   **Intermediate:** Adobe Premiere Pro
*   **Other:** Final Cut

**Design Disciplines:**
*   Branding & Identity
*   UI/UX Design
*   Visual Design
*   Typography
*   Packaging & Print Design
*   Content Creation

**UX & Methodology:**
*   Design Thinking
*   Prototyping & Wireframing
*   User Flows & Mock-ups
*   User Research"
56800,"**PROFESSIONAL EXPERIENCE**

**Freelance Graphic and Brand Identity Designer** | Upwork
*June 2022 – Present*

*   Execute brand formation and development projects, creating comprehensive marketing materials for both web and print environments.
*   Develop packaging designs for international clients in the Netherlands and the USA, including specific label designs for Dutch craft beer.
*   Create custom logos for clients based in the USA.
*   Design marketing materials for YouTube channels, including banners, logos, and watermarks.

**Graphic Designer** | Citrus (Odessa)
*September 2021 – February 2022*

*   Adapted layouts from major international brands (Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI, etc.) to align with the Citrus corporate identity.
*   Designed layouts for the promotion of household and computer equipment for use on the company website and in outdoor advertising.
*   Created printed products to support corporate style and prepared materials for production using Corel Draw.
*   Adapted banners for social networks, Google advertising, and mass media campaigns.

**Freelance Graphic Designer** | Upwork
*February 2021 – September 2021*

*   Collaborated with clients from the Netherlands and the USA on various design projects.
*   Designed labels for beer products in Folsgare (Netherlands).
*   Developed a brand book for a private clinic in Gayvoron (Ukraine) and created a logo for a music equipment supplier in Lozova (Ukraine).
*   Created advertising banners for Instagram, Facebook, and Google.
*   Designed stickers for Telegram and prepared files for printing using Adobe Illustrator and Corel Draw."
56801,"**PROFESSIONAL SUMMARY**

Versatile Designer with 10+ years of experience spanning extensive Graphic Design roles and a recent focus on UI/UX Design. Proven ability to create diverse visual assets, including branding, motion graphics, and marketing materials. Experienced in prototyping SaaS Design Systems using Figma.

**PROFESSIONAL EXPERIENCE**

**User Interface Designer** | *Last Year – Present*
*   Transitioned professional focus to UI and UX Design.
*   Prototyped a comprehensive SaaS Design System.
*   Utilized Figma for high-fidelity interface design and prototyping.

**Graphic Designer** | *10+ Years Experience*
*   Held multiple graphic design roles delivering a wide range of creative projects.
*   Designed and produced illustrations, advertising banners, and social networking materials.
*   Created corporate identities including logotypes and presentation decks.
*   Developed animations and motion graphics assets.

**SKILLS & TOOLS**

*   **UI/UX Design:** SaaS Design Systems, Prototyping, Figma.
*   **Graphic Design:** Illustrations, Advertising Banners, Social Media Assets, Logotypes, Animations, Presentations."
56802,"[Name]
[Address/Location] | [Phone Number] | [Email Address]
[Portfolio Link]

**PROFESSIONAL SUMMARY**

Graphic Designer and Game Artist with experience in 2D asset creation and corporate design. specialized in character and background design for games within the IT sector, as well as freelance commercial design including packaging, mockups, and presentations. Focused on 2D art and graphic design roles.

**EXPERIENCE**

**Game Artist / 2D Designer**
*IT Company* | [Dates]

*   Designed original characters for game projects.
*   Created detailed background environments and assets for game development.

**Freelance Graphic Designer**
*Self-Employed* | [Dates]

*   Designed commercial packaging for various products.
*   Created professional presentations for clients.
*   Developed visual mockups and prototypes.

**CORE SKILLS**

*   **Game Art:** Character Design, Background/Environment Design.
*   **Graphic Design:** Packaging Design, Presentation Design, Mockups/Maquettes."
56803,"[Name]
[Phone Number] | [Email Address] | [Portfolio URL/LinkedIn URL]

**PROFESSIONAL SUMMARY**

Multidisciplinary Designer with 7 years of experience delivering comprehensive design solutions across diverse sectors, including startups, advertising agencies, publishing, and manufacturing. Proven ability to approach problems from multiple angles by balancing User Experience (UX) requirements with marketing objectives and resource allocation. Dedicated to continuous professional development and seeking to join a professional team to tackle interesting and complex design challenges.

**PROFESSIONAL EXPERIENCE**

**Design Professional** | [Location/Remote]
*7 Years of Experience*

*   **Mobile Application Design:** Collaborated with a startup company to produce designs for mobile applications.
*   **Advertising & Publishing:** Gained extensive experience working within advertising agencies and publishing houses, adapting visual styles to meet specific industry needs.
*   **Direct-to-Client Collaboration:** Partnered directly with manufacturers to execute design projects.
*   **Comprehensive Problem Solving:** Utilized experience across varied design areas to analyze problems from different perspectives and develop holistic solutions.
*   **Strategic Design Implementation:** Integrated UX solutions with marketing goals while accurately assessing the resources required to create the final design.

**EDUCATION**

*   **Bachelor’s Degree**

**SKILLS & ATTRIBUTES**

*   User Experience (UX) & Marketing Integration
*   Mobile App & Print Design
*   Resource Estimation & Project Planning
*   Cross-functional Problem Solving
*   Continuous Skill Development & Learning"
56804,"**UI/UX Designer**

**Professional Summary**
UI/UX Designer with 3 years of experience focused on creating clear and intuitive designs that optimize user experience and increase engagement. Specializes in layout development, prototyping, interface testing, user behavior analysis, and technical integration. Committed to creating high-definition interfaces and useful, value-driven products that improve lives. Experienced in designing websites, landing pages, banners, and print materials for small and medium-sized businesses.

**Core Competencies**
*   **UI/UX Design:** Layout Development, Prototyping, User Interface Testing, User Behavior Analysis, High-Definition Interface Creation, Technical Integration.
*   **Graphic Design:** Landing Pages, Banners, Print Design, Marketing Materials.

**Professional Experience**

**UI/UX Designer** | Comportal
*October 2022 – Present*

*   Create landing pages tailored for small and medium-sized businesses.
*   Develop comprehensive layouts and interactive prototypes for websites.
*   Develop user interfaces and evaluate user experience through testing.
*   Collaborate with development teams and project managers to ensure seamless integration of designs into final projects.

**Graphic Designer (Freelance)** | Resource Group
*February 2021 – Present*

*   Develop marketing materials designed to increase the reach, trust, and loyalty of the target audience.
*   Design layouts for print media and banners for targeted advertising campaigns.
*   Create visual assets and banners for website news sections.
*   Collaborate with marketers and project managers to ensure timely and high-quality project completion.

**Graphic Designer** | Liga.net
*September 2021 – December 2021*

*   Developed marketing materials to enhance audience reach, trust, and loyalty.
*   Designed layouts for print and banners for targeted advertising.
*   Created visual collages for news articles on the website.
*   Collaborated with marketers and journalists to ensure timely and high-quality project completion."
56805,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio/Upwork Profile]

**PROFESSIONAL SUMMARY**

Dedicated Web Developer and Designer specializing in the Webflow platform and Figma interface design. Experienced in executing projects for diverse clients via freelance platforms including Upwork and Fiverr. Committed to continuous growth in web design and development with the goal of building a successful long-term career in the industry.

**TECHNICAL SKILLS**

*   **Web Development:** Webflow, Shopify
*   **Design:** Figma (User Interfaces and Website Layouts)

**PROFESSIONAL EXPERIENCE**

**Freelance Web Developer & Designer**
*Upwork & Fiverr*

*   Develop responsive websites using the Webflow platform.
*   Design user interfaces and website layouts using Figma.
*   Created websites for Shopify and developed Shopify winning product kits.
*   Designed and built a landing page for a local Ukrainian car parts company.
*   Contributed to various projects, including work for NFTlook."
56807,"**Name**
[City, State, Zip Code] | [Phone Number] | [Email Address]

**PROFESSIONAL SUMMARY**

Aspiring UX/UI Designer with a strong background in graphic design and human resources. Leverages a university degree in Computer Technology to understand technical structures and development constraints, combined with 10 years of self-study in psychology to deeply understand user behavior and empathy. Proven track record of rapid professional growth, adaptability, and effective collaboration within teams ranging from 65 to 600 people. Currently finalizing UX/UI certification and seeking to apply creative skills and life experience to a dedicated design team.

**SKILLS**

*   **Design & Technical:** UX/UI Design (Junior), Graphic Design, Photography, Computer Technology (Degree), Understanding of Programming Structures.
*   **Soft Skills:** User Empathy & Psychology, Team Collaboration, Adaptability, Creative Problem Solving, Reliability.

**PROFESSIONAL EXPERIENCE**

**HR Manager / Specialist**
*[Dates of Employment]*
*   Managed HR responsibilities for a team of 65 employees.
*   Demonstrated rapid professional development, advancing from a Junior Specialist to a Specialist role within 8 months.
*   Maintained a high level of performance and reliability in personnel management duties.

**Photographer & Graphic Designer**
*[Dates of Employment]*
*   Worked for 3 years within a large-scale media organization (YouTube channel) comprised of approximately 600 people.
*   Produced graphic design assets and photography content.
*   Collaborated effectively with cross-functional team members in a creative environment.

**EDUCATION**

**UX/UI Design Course**
*Currently completing*

**University Degree in Computer Technology**
*   Gained foundational knowledge of programming and technical structures (focused on understanding architecture rather than active development).

**ADDITIONAL EXPERIENCE & INTERESTS**

*   **Psychology:** Dedicated 10 years to the independent study of psychology, developing a strong ability to feel and understand the needs of others.
*   **International Experience:** Visited over 15 countries and lived in Thailand for one year, fostering cultural awareness and adaptability.
*   **Continuous Learning:** Committed to overcoming personal challenges and learning new skills, including becoming a certified diver despite an initial fear of water."
56809,"[Your Name]
[City, State, Zip Code] | [Phone Number] | [Email Address]
[Portfolio Link / LinkedIn Profile]

PROFESSIONAL OBJECTIVE
Experienced designer seeking a position leveraging skills in digital illustration, print layout, and UI/UX design. Looking to apply diverse creative background to new projects outside of the gaming, casino, and photo retouching industries.

PROFESSIONAL EXPERIENCE

**Graphic & UI/UX Design**
*   Designed UI/UX interfaces specifically for e-commerce shops.
*   Created landing pages for marketing campaigns.
*   Developed custom illustrations and banners for various social media networks.
*   Executed layout design for magazines and books.
*   Prepared and developed marketing materials for print production.

**Client Relations & Strategy**
*   Developed unique personal styles and visual identities for clients.
*   Created visual presentations and presented concepts directly to clients.
*   Collaborated with internal teams to discuss and conceptualize future creative ideas.

CORE SKILLS
*   UI/UX Design (E-commerce)
*   Print & Editorial Layout
*   Digital Illustration
*   Social Media Asset Creation
*   Marketing Material Design
*   Presentation Design & Delivery"
56859,"[Name]
[City, Country] | [Phone Number] | [Email Address]

PROFESSIONAL SUMMARY

Graphic Designer with over 5 years of experience in the publishing industry. Expertise includes magazine design, layout development, and corporate branding. Possesses specialized knowledge in Web Design and UI/UX Design through professional training in Figma and interface projection.

SKILLS

*   Graphic Design & Layout
*   Web Design & UI/UX Design
*   Figma
*   Visual Content Creation
*   Corporate Branding (Catalogs, Brochures)
*   Social Media Design

PROFESSIONAL EXPERIENCE

PRAGMATIKA.MEDIA | Kyiv
Graphic Designer | 2018 – 2023

*   Developed comprehensive magazine designs, focusing on professional layout and visual aesthetics.
*   Created visual content for social networks and websites, including post designs, page layouts, collages, and leaflets.
*   Produced graphic documentation, including presentations, corporate forms, and media materials.

Freelance (Cooperation with Inka) | Kyiv
Graphic Designer | 2020 – 2023

*   Designed a magazine for the Premier Hotel.
*   Developed corporate catalogs and brochures.

IMEX LTD | Kropyvnytskyi
Designer Assistant | 2014

*   Created corporate catalogs, brochures, certificates, and business cards.

EDUCATION & COURSES

Web Design
Skvot

UX/UI: Projecting and Designing of Interfaces
Creative Practice

Work with Figma
Creative Practice"
56860,"**SUMMARY**

Versatile Graphic, Web, and UI/UX Designer with a deep understanding of user experience principles and meticulous attention to detail. Proven ability to craft visually appealing websites with seamless navigation and user-friendly interfaces. Expertise extends to developing captivating graphics, logos, and branding materials that effectively communicate brand identities. Committed to using creativity to contribute to projects with a positive impact and cater to a wider audience.

**PROFESSIONAL EXPERIENCE**

**Freelance Designer** | *~6 Months*

*   **Web Design:** Constructed visually appealing websites for a diverse range of businesses, including perfume stores, photographers, hotels, a solar panel company, and service-based start-ups.
*   **UI/UX Design:** Designed a user-friendly dashboard for a local bank and created the interface for a cinema application, focusing on immersive digital experiences.
*   **Graphic Design & Branding:** Crafted captivating welcome brochures for a specific country and designed menus for local restaurants.
*   **Brand Identity:** Developed logos and branding materials that captivate audiences and effectively communicate client identities.

**EDUCATION**

**Comprehensive Design Training** | *9 Months*
*   Completed intensive coursework focused on graphic, web, and UI/UX design, building a strong foundation in creating immersive digital experiences.

**SKILLS**

*   User Interface (UI) & User Experience (UX) Design
*   Website Design & Navigation
*   Logo Design & Brand Identity
*   Dashboard & App Design
*   Print Design (Brochures & Menus)
*   Visual Communication"
56861,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio/LinkedIn]

**PROFESSIONAL SUMMARY**

UI/UX and Graphic Designer with 2+ years of experience specializing in creating user-friendly and aesthetically pleasing interfaces. Skilled, diligent, and responsible professional currently working as a UI/UX Designer at Liga Zakon. Previous agency experience with a passion for design excellence.

**WORK EXPERIENCE**

**UI/UX Designer**
*Liga Zakon* | [Dates] – Present

**Designer**
*Coming Agency* | [Dates]
*Come Back Agency* | [Dates]
*Fawn Agency* | [Dates]

**KEY PROJECTS**

*   **Kiton Furniture Store:** Created brand book.
*   **Lviv Botanic Garden:** Created brand book.

**SKILLS**

*   UI/UX Design
*   Graphic Design
*   Branding & Identity
*   Interface Design

**INTERESTS**

*   Design
*   Basketball
*   Skiing"
56862,"**SUMMARY**

Digital Designer with five years of professional experience, currently expanding into UX design. Proven track record in a network advertising agency working with large corporate clients and developing corporate styles for over eight brands. Skilled in collaborating with cross-functional teams and delivering artistic solutions on strict deadlines. Recently completed specialized training in UX Design at Projector with a strong understanding of user experience principles.

**PROFESSIONAL EXPERIENCE**

**Graphic Designer** | Network Advertising Agency
*(Last 2 Years)*
*   Collaborated with various internal teams to develop a wide range of creative concepts.
*   Created corporate styles and branding identities for more than eight brands.
*   Managed large corporate client requests, ensuring high artistic quality and punctual delivery.
*   Utilized technical and communication skills to ensure client satisfaction.

**Freelance Designer**
*(Last 1 Year)*
*   Provide design services for a diverse base of clients from all over the world.
*   Designed and delivered a number of finished, functional websites.

**EDUCATION & CERTIFICATION**

**UX Design Course**
Projector | Completed May 2022
*   Acquired a strong understanding of User Experience (UX) design principles and methodologies."
57384,"**PROFESSIONAL SUMMARY**

T-shaped Design Generalist and Product Leader with over 15 years of experience. Expert in establishing and managing UI/UX design teams and optimizing workflows. Possesses a clear understanding of the full design lifecycle and product management, ranging from business analysis and research to detailed visual design and implementation. Proven track record in startup launching and cross-disciplinary projects.

**CORE COMPETENCIES & SKILLS**

*   **Design & Strategy:** UX Architecture & Design, UI Design, Visual Design, Product Identity, Branding, Logo Design, Prototyping, Mobile & Responsive Design (iOS & Android).
*   **Research & Analysis:** Data-Driven Design, User Testing, Usability Evaluation, Business & Requirement Analysis, User & Marketing Research, Data Mining.
*   **Technical & Tools:** HTML/CSS Principles, AR/VR Technologies.
*   **Leadership:** Team Management, Design Process Setup, Mentoring, Tutoring, Art Direction, Photography.

**PROFESSIONAL HIGHLIGHTS & ACHIEVEMENTS**

*   **Product Delivery:** Designed more than 40 successful digital products.
*   **Branding:** Created and successfully operate more than 30 brands and trademarks in the market.
*   **Leadership:** Led design teams and managed design projects globally; expert in the setup of product design teams and processes.
*   **Mentorship:** Mentored junior designers; provided professional lectures and workshops.
*   **Industry Recognition:** Recipient of international design awards and served as a jury member at international design competitions.
*   **Certification:** Hold respectable UX certification.

**TARGET ROLE & PREFERENCES**

*   **Role Type:** Preferably looking for a Product Company.
*   **Requirement:** Possibility to influence product direction and vision is mandatory.
*   **Management:** Seeking professional company management that clearly understands and communicates business needs and goals.
*   **Location:** Open to Remote work or Relocation (USA, UK, Europe).
*   **Project Interests:** Interested in cross-disciplinary design projects and AR/VR projects (excluding game development).
*   **Engagement:** Open to part-time design consultancy for processes or products.
*   **Exclusions:** Not interested in project or operation work at outsourcing firms."
57400,"**PROFESSIONAL SUMMARY**

Senior Design Manager with over 10 years of experience in UI/UX Design and 5+ years of leadership experience managing teams of 20 members. Proven track record of establishing design departments from scratch, driving revenue through client acquisition, and overseeing product design from ideation to market launch. Expert in aligning design strategy with business goals to increase profit and product quality.

**CORE COMPETENCIES**

*   **Design Leadership:** Team Management (20+ members), Hiring & Onboarding, Performance Evaluation, Coaching & Mentorship, Resource Planning, Design Strategy.
*   **Business Operations:** Department Budgeting, Pre-sales & Estimation, Contract Review, Payment & Delivery Control, Client Relations.
*   **Design Expertise:** UI/UX Design, Research & Testing, Prototyping, Usability Audits, Design Systems, Interface Concept Development.
*   **Soft Skills:** Analytical Mindset, Problem-Solving, Crisis Management, Cross-functional Collaboration.

**PROFESSIONAL EXPERIENCE**

**Head of Design / Design Manager**
*   **Department Leadership:** Established and structured the company’s design department. Managed a team of 20 designers, handling full-cycle hiring (interviewing, onboarding), performance monitoring, and career development, successfully growing members from interns to Senior and Team Lead roles.
*   **Project Execution:** Successfully implemented over 50 medium to large-scale projects. Led product design from initial concept through to launch, including the optimization and improvement of existing products.
*   **Business Impact:** Played a pivotal role in business continuity, saving the business on multiple occasions through strategic interventions. Attracted new projects and clients to generate additional profit.
*   **Operations:** Managed department budgeting, project specifications, and resource distribution. Participated in pre-sales, project estimation, and the review of contract documentation. Oversaw payments and delivery schedules between the company and customers.

**INDUSTRY EXPERIENCE**

Fintech, Healthcare, Telecommunications, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain & Crypto, Legal, Sports."
62042,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location/City]

**PROFESSIONAL EXPERIENCE**

**Beetroot Academy** | [Location]
*HR/Recruitment Trainee* | 2023 – Present

*   Executed practical recruitment tasks including sourcing and interviewing.
*   Identified candidates using search systems, utilizing Boolean Search and X-RAY search techniques.
*   Conducted interviews with potential candidates.
*   Drafted and managed initial outreach communications (short first letters) to prospects.

**Freelance** | Remote
*Web Designer & UX/UI Designer* | 2020 – Present

*   Designed and delivered multiple digital projects, including a dedicated website for Fortified Capitals (an exchange trading platform).
*   Created User Interface (UI) and User Experience (UX) designs for a Smart Home mobile application.
*   Developed landing pages and business card designs for various clients.

**Partner Ukraine LLC** | [Location]
*Personal Assistant / Project Manager (Part-time)* | 2020 – 2023

*   Created and implemented business processes (BPMN) for all organizational structures and departments.
*   Managed project documentation and negotiated contracts with external parties.
*   Oversaw project implementation by setting tasks for all participants and monitoring progress.
*   Facilitated team motivation and identified solutions for recurring operational problems.
*   Managed relationships and communications with suppliers and customers.

**LLC Trade House Alfa-Komplekt EKB** | [Location]
*Deputy General Director for Quality* | 2018 – 2020

*   Developed and implemented the organization's Quality Management System (QMS) policy and goals.
*   Executed quality control for supplied products and conducted reclamation work.
*   Prepared complete documentation packages to obtain necessary certificates and licenses for organizational operations.
*   Organized corporate participation in industry events, including exhibitions, conferences, and seminars.

**Alfa-Sert LLC** | [Location]
*Marketer* | 2015 – 2018

*   Managed company branding, including development, implementation, and improvement strategies.
*   Prepared, approved, and launched advertising campaigns in accordance with company policy.
*   Coordinated with external contractors, including designers, web developers, printing houses, and exhibition organizers.
*   Developed product catalogs tailored to the specifics of the organization’s work.
*   Managed the creation and launch of Point of Sales Materials (POSM), including leaflets, booklets, and souvenirs.

**Albion Trading Company LLC** | [Location]
*Marketer* | 2012 – 2014"
63086,"**UI/UX WEB DESIGNER**

**PROFESSIONAL SUMMARY**
Web designer with practical experience in UI/UX design. Proficient in Sketch, Figma, Adobe Photoshop, and Adobe Illustrator. Highly motivated professional capable of learning new software and processes quickly and efficiently.

**TECHNICAL SKILLS**
*   **Design Tools:** Sketch, Figma, Adobe Photoshop, Adobe Illustrator

**EDUCATION & COURSES**
**UI/UX Web Design**
Spalah IT-School | May 2018 – Present

**UI/UX Web Design**
LevelUP School | October 2018 – April 2019"
63087,"[Name]
[Address/City, State, Zip Code]
[Phone Number]
[Email Address]

**OBJECTIVE**

Highly motivated aspiring designer seeking an entry-level opportunity to gain practical experience and learn from experienced professionals. Committed to dedicating significant time and effort to real-world projects to ensure a quick return on investment for the company. Eager to apply basic design skills and a strong work ethic in a collaborative team environment.

**TECHNICAL SKILLS**

*   **Design Software (Basic Proficiency):** Adobe Photoshop, Adobe Illustrator, Figma.

**CORE COMPETENCIES**

*   **Adaptability & Flexibility:** Able to adjust quickly to new environments and changing project requirements.
*   **Communication:** Strong sociability and interpersonal skills.
*   **Professionalism:** Disciplined work ethic and a non-conflict approach to teamwork.
*   **Continuous Improvement:** Highly receptive to feedback and open to criticism to accelerate learning.

**WORK EXPERIENCE**

**Restaurant Industry**
*Service Staff / Team Member*

*   Developed excellent soft skills while working in a fast-paced service environment.
*   Demonstrated discipline and flexibility in managing shift responsibilities.
*   Maintained a positive, non-conflict attitude while interacting with customers and team members.
*   Actively utilized constructive criticism to improve performance and service quality."
83710,"**GRAPHIC AND UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Graphic and UI/UX Designer with experience in the Fintech and Blockchain sectors. Skilled in creating web and mobile applications from scratch and developing comprehensive corporate branding. Experienced in communicating with international clients across the USA, Canada, and the UK to solve design problems. Eager to collaborate with experienced designers and business analysts within a structured team environment.

**PROFESSIONAL EXPERIENCE**

**UI/UX & Graphic Designer | Outsourcing Company (Fintech & Blockchain)**
*   Designed web and mobile applications from scratch, serving clients primarily in the USA, Canada, and the UK.
*   Collaborated directly with clients to identify needs and deliver effective design solutions.
*   Worked on a specialized corporate blockchain project involving a tokenized game.
*   Developed corporate brand identities, including the creation of Brand Books.
*   Designed corporate merchandise and swag, including cups, hoodies, t-shirts, and pens.
*   Created marketing materials such as banners, printouts, and posters in adherence to corporate styles.
*   **Key Achievement:** Designed a stylish interactive notebook for employee anniversaries, which involved drawing original characters and designing various thematic pages.

**Freelance Graphic & UI/UX Designer**
*   Designed a website from scratch for a blockchain trading company.
*   Executed a complete redesign of an outdated website to modernize the visual interface.
*   Created logo designs for a Ukrainian bag manufacturer.
*   Designed corporate Instagram posts that served as templates for future social media content.
*   Created animations for design case studies on Behance.

**SKILLS**
*   **Design:** UI/UX Design, Web Design, Mobile App Design, Logo Design, Branding & Identity.
*   **Visual Arts:** Illustration (Character Design), Animation for Case Studies.
*   **Print & Marketing:** Brand Books, Merchandise Design, Banners, Posters.
*   **Industry Knowledge:** Fintech, Blockchain."
83711,"*   Developed comprehensive marketing plans and conducted performance analysis of advertising campaigns.
*   Designed and produced all graphic assets for company websites and social media channels.
*   Created and launched newsletters tailored to three distinct target audiences from scratch.
*   Managed and maintained social media accounts for Medimost and subsidiary projects.
*   Operated a medical aid infoline providing support to refugees from Ukraine."
