,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
98331,"# PROJECTS

## Balance Spa (Training Project)
Comprehensive landing page design featuring complete UI/UX workflow from wireframing through developer handoff preparation.

- Lo-fi and hi-fi wireframes
- Interactive prototype
- UI kit development
- Developer handoff preparation

## Foodly (Training Project)
Mobile application design for supermarket product delivery service with end-to-end UX research and design implementation.

- Client briefing
- Target audience definition
- Competitor and heuristic analysis
- User testing
- Sitemap creation
- User flow creation
- Lo-fi and hi-fi wireframes
- UI kit development
- Adaptive design

## JOCCELLUM (Training Project)
E-commerce jewelry platform with comprehensive UX research and responsive design implementation.

- Client briefing
- Target audience definition
- Competitor and heuristic analysis
- User testing
- Sitemap creation
- Lo-fi and hi-fi wireframes
- UI kit development
- Adaptive design"
98332,"# Anastasia
Web Designer

## Professional Summary
Web designer studying UI/UX design at Hillel Computer School. Seeking opportunities in product companies or game development. Committed to continuous learning and practical application of design skills.

## Education
**Hillel Computer School**
UI/UX Designer Courses (In Progress)

## Skills & Knowledge

**Design Fundamentals**
- Typography
- Color Theory
- Images, Illustrations, and Icons
- Grid Systems
- Target Audience Analysis
- User Personas

**UI/UX Tools & Methodologies**
- UI Kit Development
- Auto Layout
- Design Systems (Styles and Components)
- Atomic Design Methodology
- Interactive Prototyping
- Responsive Design
- Website Architecture

## Availability
Open to opportunities in product development and game development."
98333,"# PROFESSIONAL SUMMARY

Graphic designer with academic training from art academy and specialized professional development in digital design tools. Experienced in UI/UX design, system design, and visual communication with foundational expertise in typography, composition, and color theory.

# EDUCATION

**Art Academy**
Core Studies: Typography, Composition, Color Science

**Professional Development**
- Adobe Photoshop
- Adobe Illustrator
- Figma
- UI/UX Design
- From Zero to Hero Design Program

# PROFESSIONAL EXPERIENCE

**UI/UX Designer | Turkish Airlines App Redesign Project**
- Conducted heuristic analysis of existing application to identify usability issues and improvement opportunities
- Implemented design improvements while maintaining interface continuity for regular users
- Completed comprehensive redesign under professional mentorship

**Designer | Richard Bank Project**
- Developed comprehensive system design ensuring consistent visual language across platforms
- Created mobile application design with focus on user experience and interface consistency
- Designed responsive website maintaining brand coherence and accessibility standards

**Freelance Designer**
- Provided design services to clients during academic studies

# EXHIBITIONS

- The Art of Change, Ukrainian House
- 24.02 Before and After (Photography Exhibition)
- Cardiff School of Art and Design, Cardiff Metropolitan University

# TECHNICAL SKILLS

**Design Tools:** Adobe Photoshop, Adobe Illustrator, Figma

**Design Expertise:** UI/UX Design, System Design, Mobile Application Design, Responsive Website Design, Typography, Composition, Color Theory, Heuristic Analysis, Visual Communication, Brand Coherence"
98334,"**Car Wash App**

Mobile application enabling users to find and book car wash services. Features include geolocation-based search for nearby car washes, appointment scheduling by date and time, service selection, and integrated online payment processing.

**Role:** Team Leader

**Key Responsibilities & Contributions:**
- Led cross-functional project team through full development lifecycle
- Conducted competitive market analysis to drive product strategy and differentiation
- Designed comprehensive user flow documentation to map customer journey
- Created wireframes and interactive prototypes for usability testing and stakeholder alignment
- Designed end-to-end application interface and user experience"
98335,"# PROFESSIONAL EXPERIENCE

**CloudyClean Webservice**
Designed and developed comprehensive user interface with filtered search functionality enabling users to quickly find and order cleaning services. Conducted competitor analysis and user flow research to inform design decisions. Developed detailed prototypes from concept through final implementation.

**Alaska Pete's Website Redesign**
Modernized user interface to improve convenience, comprehensibility, and visual appeal. Performed comprehensive analysis of user flow, site blocks, and site logic to optimize user experience.

**Landing Page for FlowerLover**
Designed intuitive and aesthetic landing page for flower shop. Analyzed user behavior patterns and logic for potential buyers to inform design execution.

# SKILLS
- User Interface Design
- User Experience Research
- User Flow Analysis
- Prototyping
- Landing Page Design
- Site Architecture Analysis
- Competitor Analysis
- Team Collaboration

# CAREER OBJECTIVES
Seeking junior designer position in office setting, remote work, or project-based opportunities."
98336,"Partnered with NOVI Luxe to design and develop their e-commerce website. Led comprehensive user research through surveys and interviews to inform design strategy. Created wireframes, user flows, and interactive prototypes in Figma. Validated design decisions through A/B testing. Delivered project on time and within budget, receiving positive client feedback."
98337,"# PROFESSIONAL EXPERIENCE

**Partnership Collaboration**
Collaborated with established partners including Looqme, HoReCa show, S-Prof, and Lviv Organ Hall for over 1 year

# EDUCATION & TRAINING

**UI/UX Design Courses** – LITS

# CORE COMPETENCIES

**Design & Prototyping**
- UI/UX Design Principles
- Figma
- InVision

**Creative Tools**
- Adobe Photoshop
- Adobe Illustrator

# PROFESSIONAL INTERESTS

Engaging in challenging projects that foster skill development and collaborative teamwork"
98338,"# PROFESSIONAL EXPERIENCE

**Freelance Web Developer**  
Self-Employed | February 2022 – Present
- Design and develop custom websites for clients in e-commerce and service industries
- Manage full project lifecycle from UX research and wireframing through final implementation
- Develop comprehensive brand identities including style guides and design systems

**Web Developer**  
Comon Agency | January 2022 – February 2022
- Developed websites and digital solutions for agency clients
- Collaborated on web development projects in fast-paced agency environment

# SELECTED PROJECTS

**""Sammy Icon"" E-Commerce Store**  
- Redesigned and developed multi-page online store website
- Managed complete project lifecycle including UX research, wireframing, style guide development, and implementation

**""On the Way"" Product Delivery Service**  
- Developed responsive landing page with custom corporate identity
- Created cohesive visual brand for delivery service platform"
98339,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY
UI/UX Designer with specialized training in user-centered design principles and proven ability to deliver compelling digital experiences across web and e-commerce platforms.

## CORE COMPETENCIES

**Design Expertise**
• User Experience (UX) Design
• Graphical User Interface (GUI) Design
• Typography & Visual Design
• Design Thinking
• Human-Centered Design
• Responsive Design

**Technical Proficiencies**
• Figma
• Adobe Photoshop

## EDUCATION

**UI/UX Design Course**
3-month intensive program

## SELECTED PROJECTS

**E-commerce Platform Design**
Developed comprehensive shopping experiences with intuitive user flows and optimized interfaces

**Landing Page Design**
Crafted engaging user interfaces optimized for conversion

**Responsive Design Solutions**
Created adaptive interfaces ensuring seamless experiences across devices"
98340,"# UX/UI Designer

## Professional Summary
Certified UX/UI Designer skilled in user research, interface design, and interactive prototyping. Experienced in creating mobile applications, landing pages, and websites with custom visual elements. Seeking collaborative team environment with opportunities for professional growth and meaningful contribution to project success.

## Core Competencies

**UX Research & Strategy**
- Information architecture and mind mapping
- Competitive analysis and brief development
- Persona creation and empathy mapping
- Customer journey mapping
- User flow design
- Wireframing

**UI Design & Development**
- Figma, Adobe Photoshop, Adobe Illustrator
- Interactive prototype development
- Responsive and adaptive UI design
- Typography and composition
- Color theory application
- Grid systems and design patterns
- Icon and logo design

## Portfolio Projects

**Family Medicine Clinic – Mobile Application**
Designed comprehensive mobile application interface during Beetroot Academy coursework, applying user-centered design principles and creating interactive prototypes

**Design Studio – Landing Page**
Created landing page design as part of academy curriculum, demonstrating responsive design capabilities and visual design skills

**Beauty Salon – Website**
Developed complete website design featuring custom visual identity including original icon set and logo design

## Professional Development
**UX/UI Designer Certificate** | Beetroot Academy

**CELI4 C1 Italian Language Proficiency**"
98341,"# [Your Name]

## UX/UI Designer

### PROFESSIONAL SUMMARY

UX/UI Designer with a strong foundation in user-centered design principles and architectural thinking. Proven track record of delivering comprehensive design solutions across web and mobile platforms, from research through prototyping. Experienced in client collaboration, UX research methodologies, and creating intuitive digital experiences.

### EDUCATION

**Master's Degree in Architecture and Urban Planning** | May 2023  
Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

**Professional Development**
- Mobile Application Design and Development Course
- Website Design and Development Course

### CORE COMPETENCIES

**UX/UI Design & Research**
- User Research & Competitive Analysis
- User Personas, User Stories & User Flow Design
- Wireframing & Animated Prototyping
- Visual Design for Digital Products
- Client Collaboration & Stakeholder Communication

**Technical Skills**
- HTML & CSS
- Responsive & Adaptive Design Principles

**Professional Strengths**
- Self-Organization & Critical Thinking
- Research & Analysis
- Client Communication

### SELECTED PROJECTS

**FeelFull | Website Redesign**  
*Food Delivery Enterprise*
- Collaborated with stakeholders to gather business requirements and identify user needs
- Led UX research and competitor analysis to uncover design opportunities and inform strategy
- Developed user personas, user stories, and user flows to map customer journeys
- Designed wireframes and animated prototypes to visualize solutions and guide development

**TviyBrend | Catalogue Website**  
*Accessories Retail Company*
- Partnered with client to define project objectives and success criteria
- Executed UX research incorporating user interviews and online surveys
- Created user flows, wireframes, and prototypes to deliver intuitive browsing experience

**Colory | Mobile Application**  
*Photo Colorization Application*
- Engaged with client stakeholders to clarify product requirements and user expectations
- Conducted comprehensive UX research and analysis to inform design decisions
- Delivered end-to-end design artifacts including user personas, user stories, wireframes, and animated prototypes"
98342,"# UI/UX Designer

## Professional Summary
UI/UX Designer with proven expertise in social impact projects and commercial applications. Demonstrated success leading cross-functional teams, conducting in-depth user research, and delivering user-centered design solutions on schedule. Proficient in industry-standard design tools with a commitment to continuous professional growth.

## Core Competencies
- UI/UX Design & Prototyping
- User Research & Competitor Analysis
- Site Mapping & Information Architecture
- Responsive Web & Mobile Application Design
- Figma, Adobe Illustrator, Adobe Photoshop
- Team Leadership & Cross-Functional Collaboration
- Project Management & Deadline Adherence

## Professional Experience

**Team Leader | Search for Lost and Found Animals**
*Social impact platform connecting lost pets with owners and facilitating pet adoption*
- Directed project team and coordinated cross-functional deliverables
- Conducted competitive analysis and researched industry best practices
- Developed comprehensive site map and defined core platform functionality
- Designed and adapted user experience for optimal engagement

**UI/UX Designer | Furniture Store Landing Page**
*E-commerce landing page design for furniture retailer*
- Executed competitive market analysis
- Curated design references and visual inspiration
- Delivered complete prototypes and UI designs
- Optimized for simplicity and enhanced usability

## Professional Development
Continuously advancing design competencies and technical skill set to deliver exceptional user experiences and contribute to collaborative professional environments."
98343,"# PROFESSIONAL DEVELOPMENT & EDUCATION

**UX Design**  
Projector Institute  
Currently Enrolled

**UX/UI Design**  
Projector Institute  
Skills: Typography, Auto Layout, Wireframing, Prototyping

**Foundations of User Experience (UX) Design**  
Coursera (Google)  
Skills: User Experience, Wireframing, Prototyping, UX Design

# CORE COMPETENCIES

• User Experience Design (UXD)  
• User Interface (UI) Design  
• Wireframing & Prototyping  
• Typography & Auto Layout  
• User Research & Testing  
• Interaction Design"
98344,"# [YOUR NAME]

UI/UX Designer

---

## PROFILE

UI/UX Designer with expertise in translating abstract ideas into concepts and wireframes. Skilled in MVP creation and utilizing Design Systems to accelerate project delivery and client presentations. Experience in collaborative team environments with focus on E-commerce and Edtech solutions. Proficient in designing interfaces for websites and mobile applications.

---

## PROFESSIONAL EXPERIENCE

**UI/UX Designer | Freelance**

**Mobile App: ""MY BRAND""**  
- Designed e-commerce mobile application in a two-person team
- Created online shopping interface with home delivery functionality

**Web Service: ""CleanHouse""**  
- Collaborated in a three-person team to design a service connecting users with cleaning service providers
- Designed registration flows for both clients and cleaning professionals

**Landing Page: ""Rainbow"" (Kindergarten Website Redesign)**  
- Redesigned kindergarten website to modernize design and improve information architecture
- Streamlined user experience for appointment booking and curriculum selection

---

## TECHNICAL SKILLS

**Design Expertise**  
Wireframing & Prototyping | Design Systems | MVP Development | Interface Design (Web & Mobile)

**Industry Focus**  
E-commerce Solutions | Edtech Design

**Collaboration**  
Team Collaboration | Client Presentations

---

## EDUCATION

**UI/UX Designer Course**  
GoIT School | Feb 2023 - Aug 2023

---

## OBJECTIVE

Seeking to join a company where I can contribute my skills, gain professional experience, and grow as a valuable team member."
98345,"• Designed and developed high-converting e-commerce platforms, landing pages, and mobile app interfaces that elevated user experience and accelerated business growth

• Collaborated with clients to define requirements and deliver strategic design solutions aligning visual appeal with core business objectives

• Applied design principles and responsive design techniques to build intuitive, accessible interfaces optimized for seamless performance across all devices

• Utilized Figma to enhance prototyping efficiency, enable iterative design refinement, and expedite project timelines

• Delivered pixel-perfect design implementation with rigorous attention to detail, maintaining brand consistency and visual quality standards

• Coordinated with cross-functional teams including developers, product managers, and stakeholders to consistently deliver high-quality projects on time"
98346,"Creation of a comprehensive UI/UX design concept for an online perfume store, including prototype development, user flow mapping, and UI visualization of 18 web pages with client presentation.

Led UI/UX redesign of landing page, delivering analytical documentation, interactive prototypes, conceptual design, and light/dark theme implementation with fully responsive adaptive versions across all devices."
98347,"# PROFESSIONAL SUMMARY

UX/UI designer with web design expertise, photography experience, and sociological research background creating user-centered digital solutions.

# EDUCATION

**Projector School**
UX/UI Design — Two comprehensive courses

# EXPERIENCE

**UX/UI Designer** — Portfolio Projects

- Designed e-commerce platform with focus on user experience and conversion optimization
- Developed landing page incorporating user research insights and visual design principles
- Created website design for non-profit organization emphasizing accessibility and user needs

# SKILLS

**Design & Research**
- User research and interviews
- Concept development and prototyping
- UI Kit creation in Figma
- Web design
- Sociological research methods

**Additional Competencies**
- Photography
- Presentation and client communication"
98348,"**PROFESSIONAL SUMMARY**
Web Designer and Developer with 100% positive client feedback, delivering turnkey website solutions from concept to completion. Proven expertise in design development, website builder platforms, game design, and animation utilizing industry-standard design tools.

**CORE COMPETENCIES**
• Website Design & Development • Turnkey Site Creation • Website Builder Platforms • Game Design & Animation • User Interface Design • Figma • Adobe Photoshop • Adobe Illustrator

**PROFESSIONAL EXPERIENCE**

**Web Designer & Developer**
• Delivered turnkey websites from initial concept through final deployment using constructor platforms
• Developed custom designs precisely tailored to client specifications and requirements
• Assembled and deployed fully functional websites leveraging constructor tools and platforms
• Maintained 100% positive feedback rating across all client engagements

**Game Designer**
• Designed visual elements, design concepts, and animations for game projects
• Created design assets and prototypes using Figma

**TECHNICAL PROFICIENCIES**
Design Software: Figma (Primary), Adobe Photoshop, Adobe Illustrator
Hardware: MacBook"
98349,"# UI/UX Designer

Creative and friendly designer focused on creating sites that solve user needs and achieve business goals through empathetic, user-centered design.

The design profession allows me to combine aesthetic abilities with analytical skills—researching audiences, conducting tests, identifying user problems, and developing solutions. I enjoy working on diverse projects and understanding different target audiences.

## Core Competencies

**UI/UX Design**  
Interface design for web and mobile applications | User journey mapping | Competitor analysis | Persona development and empathy mapping

**Visual Design**  
Graphic design and visual content creation | Product photography and retouching | Social media content design | Icon development and banner creation

**Print & Brand Design**  
Catalogs, booklets, business cards, packaging | Book cover layouts | Outdoor advertising: banners, posters, signs | Souvenir product design

**Tools**  
CorelDRAW

## Professional Experience

**Graphic Designer**  
Electro House | 2021–2023

- Designed website and mobile application interfaces
- Managed content for main website and online store
- Developed packaging, stickers, decals, and instructions
- Created commercial offers, presentations, and email campaigns
- Produced print materials including catalogs, booklets, and business cards
- Designed graphic content for social networks
- Developed banners for company and partner websites and created custom icons
- Conducted product photography, photo processing, and retouching

**Graphic Designer**  
""Fact"" Publishing House | 2020–2022 (Project-based)

- Designed layouts for book covers across multiple genres including fiction, children's books, and non-fiction
- Developed design concepts for souvenir products
- Produced layouts for print materials

**Marketer, Designer**  
Regional Medical Center | 2020–2021

- Designed outdoor advertising including banners, posters, and signs
- Prepared print-ready layouts in CorelDRAW and coordinated with printing houses
- Created internal print materials including gift certificates and fire evacuation plans
- Developed presentations and commercial proposals

**Library Staff**  
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky | 2016–2020

- Collected data and prepared reports (monthly, quarterly, annual)
- Planned and analyzed work and conducted methodical sessions
- Managed social media and advertising activities
- Designed event posters, graphic materials, invitations, and monthly newspaper layouts"
98350,"# Professional Summary

UX/UI Designer with hands-on experience in mobile and desktop application design. Completed 3 comprehensive projects including 1 team collaboration and 2 individual initiatives, demonstrating proficiency in user-centered design methodology and technical execution. Dedicated to creating intuitive user experiences through innovative problem-solving and continuous skill development.

# Skills

**Design Tools & Software**
Figma, Adobe Photoshop, Adobe Illustrator

**UX Methodologies**
User Research, Competitor Analysis, User Personas, User Flow Development, Wireframing

**UI Expertise**
Color Theory, Typography, Design Systems, UI Kits, Grid Systems, Responsive Design

**Prototyping & Presentation**
Website & Mobile App Prototyping, Mood Boards, Behance Project Preparation

# Education

**UI/UX Design Courses**
GOIT | Currently Enrolled

# Projects

**Lost Pet Finder Web Service**
- Conducted competitor analysis to identify market gaps and opportunities
- Created user personas and mapped comprehensive user flows
- Developed complete design system with cohesive visual language
- Designed pop-up features and integrated donation functionality for animal welfare support

**India Cafe Website Redesign**
- Performed in-depth website analysis to determine UX/UI improvement opportunities
- Established visual identity including color palette, typography hierarchy, and responsive grid layouts
- Built comprehensive UI kit ensuring design consistency and scalability
- Developed interactive prototype and prepared professional case study for Behance portfolio

**User-Friendly Landing Page**
- Executed competitor research to identify industry best practices and design opportunities
- Created mood board establishing visual direction and design language
- Designed complete landing page solution prioritizing intuitive navigation and user engagement

# Professional Values

Continuous Professional Development | Collaborative Team Participation | End-to-End UX/UI Process Involvement | Education, Mentorship & Support | Commitment to Gradual Growth & Learning"
98351,"**UX/UI Designer**

Self-taught UX/UI Designer with 3 years of dedicated study and practical application. Experienced in executing freelance design projects and developing comprehensive design work, including 4ROLL—a Dungeons & Dragons Digital Game Companion App featured on Behance and Dribbble.

**Skills & Expertise**

• End-to-end product design: user research, wireframing, prototyping, and visual design
• User flows and interface architecture
• Visual design systems
• Freelance project execution from concept to delivery
• Portfolio curation on Behance and Dribbble

**Experience**

**Freelance UX/UI Designer**
Various Clients
• Delivered end-to-end design projects for diverse client needs across multiple industries
• Applied user-centered design principles and user research methodologies to solve client challenges
• Managed projects independently from initial consultation through final delivery, including wireframing, prototyping, and visual design

**Key Projects**

**4ROLL — Dungeons & Dragons Digital Game Companion App**
Personal Project | Featured on Behance and Dribbble
• Designed comprehensive UX/UI for digital game companion application
• Developed user flows, interface architecture, and complete visual design system
• Executed end-to-end product design from user research through final visual design

**Education & Professional Development**

• 3 years of self-directed UX/UI design study and practical application
• Continuously expanding design expertise through independent learning"
98352,"# Resume

## Professional Summary

Dedicated design professional with one year of focused development across graphic design, web design, and UI/UX design. Completed comprehensive training through multiple specialized courses and continuing education programs. Seeking an entry-level design position to apply knowledge and skills while growing under experienced mentorship.

## Core Competencies

- Graphic Design
- Web Design
- UI/UX Design
- Interface Design & Prototyping
- Visual Composition
- Design Fundamentals
- Web Layout

## Education & Professional Development

**Coursera**
- Fundamentals of Graphic Design

**Creative Practice**
- Fundamentals of Design
- Graphic Design: Composition
- UI/UX: Projecting and Design of Interfaces

**Genius Space**
- Profession Graphic Designer
- Profession Web Designer
- Profession UX/UI Designer

**Alpaca School**
- Web Design + Layout (In Progress)"
98353,"# UI/UX Designer

## Professional Summary
Architectural and construction engineer transitioning to UI/UX design with comprehensive training from IMT Academy. Combine spatial reasoning and technical problem-solving expertise with user-centered design principles to create intuitive, functional interfaces. Proven ability to collaborate with stakeholders and translate complex requirements into visually compelling design solutions.

## Core Competencies
- UI/UX Design & Prototyping (Figma, Adobe Photoshop, Adobe Illustrator)
- User-Centered Design Methodologies
- Visual Design & Interface Development
- Stakeholder Collaboration & Requirements Analysis
- Technical Documentation & Design Specifications
- Spatial Reasoning & Problem-Solving

## Education & Training
**UI/UX Design Course**  
IMT Academy

## Professional Experience

**Freelance Designer**
- Design and deliver client projects utilizing UI/UX principles and user-centered methodologies
- Transform stakeholder requirements into intuitive, functional design solutions that meet user needs

**Architectural and Construction Engineer** (Current)
- Engineer technical solutions that balance functionality, user experience, and spatial requirements
- Develop detailed documentation and visual specifications for complex projects
- Collaborate with diverse stakeholders to translate requirements into actionable designs
- Apply systematic problem-solving methodologies to overcome design challenges

## Portfolio
**Behance:** UI/UX training projects and design work demonstrating user-centered design capabilities"
98354,"PROFESSIONAL EXPERIENCE

Technical Support Consultant
IT Con Gaming
January 2017 - June 2020

• Delivered comprehensive technical support across multiple communication channels, including email, phone, and online chat
• Managed payment processing operations and generated analytical reports to support business decision-making


Data Entry Specialist
Health App Ornament
August 2020 - February 2023

• Accurately entered and processed user data from recipes, recommendations, and source documents while maintaining high quality standards
• Successfully executed management directives and completed special projects as assigned"
98355,"# PROJECTS

**PET SEARCH WEB SERVICE**
Team project creating a website to help lost animals find their owners. Conducted competitor analysis and developed JTBD framework and dog walker persona. Designed ad creation section and services section with geolocation search and filter functionality for accurate results. Added sections for finding dog sitters and dog walkers. Developed visual design using calm tones with strategic accents.

**DATING APP**
Dating application based on artificial intelligence that analyzes user behavior through smartphones and apps to suggest compatible pairings. Utilized machine learning algorithms to match users based on similar interests and lifestyles.

**LANDING PAGE CITROEN C4**
Designed landing page for the Citroen C4 applying brand-inherent color schemes, highlighting model advantages, and providing detailed vehicle characteristics.

**REDESIGN WEBSITE CROSSFIT CENTRAL**
Redesigned CrossFit center website with fresh visual design featuring harmonious colors aligned with fitness branding. Implemented UX solutions for improved site navigation."
98356,"# PROFESSIONAL EXPERIENCE

**Marketing Designer**
Inoxoft | Dec. 2021 – Present
• Develop and maintain company website, ensuring adherence to current design standards and optimal functionality
• Mentor team members on design best practices and efficient workflows
• Design marketing materials and corporate presentations for internal and external stakeholders
• Create branded company products that reflect and strengthen corporate identity
• Design and produce case studies for publication on Behance and portfolio platforms

**Teacher of Digital Design for Children (Part-time)**
GoITeens – IT Academy for Teens and Kids | Oct. 2022 – Present
• Teach digital design fundamentals and techniques to children and adolescents

**Graphic Designer and Illustrator**
Awkward Styles | May 2019 – Dec. 2021
• Designed and implemented company website
• Developed custom illustrations and print designs for diverse product lines

**Graphic Designer and Illustrator (Freelance)**
Self-Employed | 2017 – 2022
• Developed banners and print collateral for diverse client base
• Created custom illustrations for various client projects
• Designed social media content for Instagram platforms"
98357,"**PROFESSIONAL SUMMARY**

Results-driven customer service and social media marketing professional with demonstrated expertise in crisis resolution, team collaboration, and multi-project execution. Proven track record of optimizing operational quality and delivering exceptional customer support across diverse industries.

**PROFESSIONAL EXPERIENCE**

**CALL CENTER OPERATOR**
Delivery Company | May 2021 - Present
• Resolve critical customer issues and restore normal operations while minimizing company impact
• Deliver comprehensive customer support and coordinate efficient service delivery

**SOCIAL MEDIA MARKETING SPECIALIST**
Web Studio | 2019 - 2021
• Developed and executed social media marketing campaigns and strategic initiatives
• Partnered with cross-functional teams to deliver successful client projects

**CALL CENTER OPERATOR**
Sociology | June 2020 - August 2020
• Executed customer outreach initiatives and systematic data collection
• Maintained professional communication standards with diverse customer populations

**CORE COMPETENCIES**

• Customer Service Excellence
• Crisis Management & Resolution
• Social Media Marketing & Strategy
• Cross-Functional Team Collaboration
• Quality Assurance & Optimization
• Professional Communication"
98358,"# UI/UX Designer

## Professional Summary
UI/UX designer with expertise in user research, documentation, and prototyping from concept to high-fidelity execution. Strategic thinker with background in social media marketing and content development. Skilled in Figma, Photoshop, Axure, and InVision. Committed to continuous learning and staying current with emerging design tools and industry trends.

## Core Competencies
**Design Expertise:** User Research • User Stories • Job Stories • User Flows • Documentation Development • Low-Fidelity Prototyping • High-Fidelity Prototyping

**Design Tools:** Figma • Photoshop • Axure • InVision

## Professional Experience

**Social Media Marketing and Content Specialist**
- Developed and executed social media marketing initiatives
- Created strategic content driving engagement and brand awareness

## Selected Project

**Pet Owner Platform** | Professional Training Project
- Conducted user research to identify pain points and opportunities
- Developed complete documentation suite including user stories, job stories, and user flows
- Created low-fidelity prototype to validate concepts
- Designed high-fidelity prototype with polished visual design"
98359,"# PROFESSIONAL SUMMARY

Strategic designer with expertise in translating concepts into visual solutions using industry-standard design tools.

# TECHNICAL SKILLS

**Figma**
- Prototyping, wireframing, and UI design
- Customer journey maps and mind maps
- Animations and adaptive design
- Landing pages and documentation
- Mockups and UX research

**After Effects**
- Custom motion animations

**Premiere Pro**
- Video editing for web content

**Photoshop**
- Image editing

**Illustrator**
- Graphic design"
98360,"# Alaska Peters

## Professional Experience

### Freelance Web Designer & Developer

**Website Redesign Project**
- Redesigned website for barbecue restaurant in New York, USA, delivering enhanced visual appeal and improved presentation of restaurant details
- Modernized site architecture and menu display to optimize user experience

**Clin Fix - Web Service Development**
- Developed comprehensive web service platform connecting customers with service providers for cleaning, gardening, and related services
- Built two-way marketplace functionality enabling seamless connections between customers seeking services and professionals seeking opportunities"
98361,"# Professional Summary

Experienced designer with expertise in brand identity development and digital design. Established comprehensive brand presence for start-up organization, driving increases in website traffic and customer engagement. Certified in UI/UX & Web Design.

# Core Competencies

• UI/UX design for websites, landing pages, dashboards, and mobile applications
• Responsive web design implementation
• Brand identity and corporate style development
• Prototyping and UI kit creation
• Print design and production preparation
• Point-of-sale and promotional materials
• Web banner and social media graphics
• Infographic and presentation design
• Digital photography and image processing

# Professional Experience

**Designer**

• Developed complete brand identity from inception, establishing market recognition for start-up organization
• Contributed to website development strategy, increasing new customer visits
• Increased traffic to website and social media platforms through strategic graphic content and web banner design

# Education & Certification

UI/UX & Web Design Certification, 2018

# Career Objective

Seeking designer position with international product-focused IT company offering complex projects and collaborative team environment."
98362,"# EXPERIENCE

**Hackathon Winner**
- Won hackathon focused on increasing female enrollment in engineering programs
- Co-created award-winning chat-bot to guide students in selecting engineering and biological specialties
- Developed interactive chat-bot with personality mode and career assessment functionality
- Collaborated with career counselor to design assessment questions
- Attended lectures on gender inequality, stereotypes, and barriers to women entering engineering specialties

**Hospital Employee Workstation | Course Project**
- Developed databases for automated hospital employee workstation system
- Programmed in C# using Visual Studio
- Utilized SQL Management Studio

# EDUCATION & PROFESSIONAL DEVELOPMENT

**UX Design Course** | Google (In Progress)
- Building design portfolio
- Seeking internship opportunities"
98363,"PROFESSIONAL EXPERIENCE

Web Design Volunteer
Volunteer Organization

• Designed user-friendly website for dog shelter to support adoption and outreach efforts
• Developed impactful landing pages and websites for various clients
• Collaborated with cross-functional teams to deliver user-centered design solutions
• Translated client requirements into visually appealing and intuitive user interfaces
• Implemented usability testing methodologies to identify and address areas for improvement
• Consistently delivered high-quality designs on time, contributing to overall project success"
98364,"**UX Researcher & UI Designer**

**Panic Attack Support Application**

Collaborated with a cross-functional team to design a mental health application supporting individuals experiencing panic attacks, focusing on user self-education and symptom reduction.

**Key Responsibilities & Achievements:**

- Conducted UX research to identify user needs and pain points for panic attack management
- Designed intuitive user interfaces optimized for users in high-stress situations
- Delivered complete project cycle from research through final UI design within 5-week timeline

**Education & Training:**

- Free UI/UX Design Course for Ukrainians by Taras Shypka (4-month program, 2022)

**Core Competencies:**

UX Research • UI Design • User-Centered Design • Cross-Functional Collaboration • Mental Health Applications • High-Stress User Experience • End-to-End Project Delivery"
98365,"**UX Designer**

**Professional Development**
Google UX Design Certificate via Coursera (2 of 7 courses completed)

**Project Experience**

**Save Ukraine Now(IF) 1 Day Donate**
UX/UI Designer

Designed subscription-based charity website from concept to launch
• Conducted competitive analysis to inform market positioning
• Identified and emphasized unique organizational differentiators
• Developed clear, intuitive information architecture
• Delivered complete website design on accelerated timeline
• Iterated design improvements based on performance data and user feedback"
98366,"# Freelance Designer & Developer
**July 2021 - November 2021**

Created and developed products focused on effectiveness and solving core user problems and tasks.

# Designer & Developer, Devin
**April 2021 - July 2021**

• Designed and developed company website
• Contributed to development of company projects
• Developed mobile application design for insurance company client"
98367,"**Professional Summary**

Results-driven professional with extensive client management and operations expertise, successfully transitioning into IT with specialized focus on UX/UI design. Proven track record of mastering new domains through self-directed learning and disciplined skill development.

**Core Competencies**

- UX/UI Design & Prototyping
- Figma
- Sales & Operations Management
- Client Relationship Management & Account Satisfaction
- Project Documentation & Workflow Coordination
- Production Management

**Professional Experience**

**Sales Manager**
- Managed comprehensive client relationships and sales operations
- Developed customized customer solutions and maintained high account satisfaction levels

**Production & Documentation Specialist | Printing Company**
- Coordinated end-to-end plastic card production processes
- Managed printing project documentation and optimized workflow efficiency

**Professional Development**

**UX/UI Design Portfolio Development**
- Building practical UX/UI design skills through intensive self-directed study
- Developing advanced proficiency in Figma for interface design and prototyping"
