,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98138,"# **UI/UX DESIGNER**

---

## **Profile**

Detail-oriented UI/UX Designer combining systematic methodology with organized workflows to craft user-centered experiences. Balances simplicity and visual appeal through strong design fundamentals, research-driven problem-solving, and effective cross-functional collaboration.

---

## **Skills**

**Design Tools**
- **Figma:** Components, variants, auto layout, Bootstrap integration, prototyping, mockups
- **Adobe Photoshop:** Photo processing and editing
- **Adobe Illustrator:** Vector graphics

**Design Fundamentals**
- Typography and grid systems
- Composition and color theory
- Usability principles

---

## **Projects**

- Landing pages
- Authorization forms
- Educational course interfaces
- Design test assignments

---

## **Professional Strengths**

- Meticulous attention to detail
- Effective team collaboration
- Rapid skill acquisition
- Research-driven approach to innovative design solutions

---

## **Currently Developing**

- Webflow
- English language proficiency"
98171,"# UI/UX Designer

## Professional Summary

UI/UX designer with one year of experience delivering creative projects in freelance and startup environments. Skilled in managing the full design lifecycle from concept to delivery while collaborating with cross-functional teams. Combines creative thinking with strong attention to detail and proactive communication.

## Experience

**Freelance UI/UX Designer**
- Managed end-to-end design projects independently, guiding clients from initial concept through final delivery
- Delivered creative solutions across the full project lifecycle, ensuring alignment with client objectives

**UI/UX Designer – Startup**
- Collaborated with cross-functional team members to drive product design initiatives
- Contributed to creative direction and visual identity, shaping the overall product experience

## Skills

**Design Tools:** Figma, Photoshop, Illustrator, AutoCAD, Blender

**Core Strengths:** Creative thinking, cross-functional collaboration, proactive communication, attention to detail

## Additional Interests

Photography, music"
98172,"# DMITRY
## UI/UX Designer

---

### PROFESSIONAL SUMMARY

UI/UX Designer dedicated to visual excellence and user-centered design. Delivers exceptional results by combining modern design aesthetics with thoughtful, research-driven solutions. Committed to continuous professional growth through design research and trend analysis.

---

### SKILLS

- UI/UX Design
- User-Centered Design Methodology
- Modern Design Principles
- Visual Styling & Aesthetics
- Design Research & Trend Analysis

---

### INTERESTS

- Design Innovation
- Emerging Industry Practices
- Professional Development"
98173,"# UX/UI Designer

## Professional Summary

UX/UI Designer with hands-on project experience creating web services and redesigning websites. Delivers user-centered designs through comprehensive research, wireframing, and interface development. Thrives in collaborative team environments with a proven track record of meeting project deadlines. Committed to continuous professional growth and staying current with evolving design trends.

## Skills

**Design Tools:** Figma · Adobe Photoshop · Adobe Illustrator · CorelDraw

**UX:** User Research · Competitor Analysis · Persona Creation · User Mapping · User Flow Development

**UI:** Wireframing · Interface Design

## Projects

**GetPet — Web Service for Finding Lost Animals**
- Conducted comprehensive UX research: competitor analysis, persona creation, user mapping, and user flow development
- Designed wireframes and complete user interface
- Collaborated with cross-functional team members throughout the development lifecycle

**Poltava Music School — Website Redesign**
- Redesigned website with modern, user-friendly interface

## Career Objective

Seeking a remote position with flexible scheduling at a company that values professional collaboration among designers and focuses on delivering competitive, high-quality products."
98245,"# RESUME

## Education

**Design Courses**
Thesis Successfully Defended | Currently Enrolled in Professional Course

---

## Skills

- UX Research & User Audience Analysis
- Competitor Analysis
- Design Systems & UI Kit Development
- Prototyping
- Responsive & Adaptive Design
- Animation

---

## Professional Experience

**Freelance Designer** | 6 Months

- Translated creative briefs into compelling promotional posters, delivering visual assets that effectively communicated client campaign messaging
- Led end-to-end video production workflows, guiding projects from initial concept development through final rendering and delivery
- Developed comprehensive brand identity for a dance festival, establishing cohesive visual guidelines encompassing logo design and brand standards"
98250,"**PROFESSIONAL EXPERIENCE**

**Media Buyer/Marketer**
Innovation Group | March 2016 – May 2022

- Directed advertising network operations and orchestrated traffic distribution strategies across multiple campaigns
- Designed and developed high-impact creatives and landing pages aligned with campaign objectives
- Analyzed campaign performance metrics to identify optimization opportunities and ensure quality standards
- Implemented data-driven optimizations that enhanced overall campaign results

**Account Manager**
Sprava | January 2013 – February 2016

- Cultivated and maintained strategic partnerships, serving as primary point of contact for key client relationships
- Drove revenue growth through proactive engagement and expansion of existing accounts
- Executed new customer acquisition initiatives while establishing frameworks for long-term client retention
- Collaborated on SEO implementation strategies to maximize partner account monetization

---

**EDUCATION & TRAINING**

**UI/UX Design Pro**
Hillel IT School | October 2021 – May 2022

**Design Basic**
Hillel IT School | May 2021 – August 2021"
98251,"# PROFESSIONAL RESUME

## PROFESSIONAL EXPERIENCE

**UX/UI Designer**
Freelance | March 2023 – Present
- Conduct user research and develop data-driven personas to inform design strategy
- Translate user insights into intuitive interfaces through wireframes, user flows, and high-fidelity mockups
- Design and build interactive prototypes in Figma, accelerating concept validation and stakeholder alignment

**Photographer**
The Moment, Kyiv | September 2020 – February 2022
- Executed group photography sessions, delivering compelling imagery across diverse client projects
- Enhanced visual quality through detailed retouching and editing
- Created photo album layouts balancing visual hierarchy with narrative flow
- Collaborated with team members to consistently meet project deadlines

**Photographer**
The Svadba, Kyiv | March 2018 – April 2019
- Captured wedding photography across venue and studio environments, adapting to varied lighting conditions
- Delivered professional-quality results through expert retouching and editing
- Managed end-to-end photo album production from concept through final printed layouts
- Built lasting client relationships through clear communication and attentive service

**Aviation Security Officer**
PLC Master-Avia, Kyiv | April 2017 – December 2017
- Conducted systematic baggage screening and monitoring in compliance with safety standards
- Ensured passenger safety across airport facilities
- Delivered professional service to diverse international clientele

## EDUCATION & CERTIFICATIONS

**UI/UX Design Basic** | Prometeus | 2023

**Basics of Web UI Development** | Prometeus | 2022

## SKILLS

**Design:** User Research · User Personas · Wireframing · User Flows · Mockups · Prototyping · Figma · Layout Design

**Visual:** Photo Retouching · Photo Album Design

**Professional:** Client Relations · Team Collaboration · Customer Service"
98252,"# Resume

## Projects

### VBakery
**May 2021**

Full-Stack E-Commerce Platform | Confectionery Business

- Engineered comprehensive e-commerce solution featuring dynamic product catalog, custom confectionery designer tool, and end-to-end order placement with real-time tracking
- Developed secure user authentication system with personalized account management, favorites functionality, and comprehensive order history
- Integrated customer review system and designed informational pages with company details and location services

### Dim Kultury
**June 2021**

Investment Platform | Cultural Heritage Renovation & Community Development

- Architected integrated platform spanning three cultural initiatives focused on heritage preservation and sustainable community development
- **ЖИВОТ** — Built website facilitating transformation of historic nightclub into multifunctional youth center with dual daytime/nighttime programming
- **ДІМ КУЛЬТУРИ** — Developed platform promoting large-scale cultural center uniting financially sustainable social business projects
- **ДВІР** — Created presentation for urban space development featuring green theater, summer stage, and food court"
98253,"# Resume

## Professional Experience

**Baza Trainee Ukraine**
*June 2023 – Present*

**Design Team Lead** | Social Sector Product Development

- Lead cross-functional design team for the ""4.5.0."" Volunteer Organization website, delivering user-centered digital solutions that advance nonprofit sector missions
- Spearheaded design strategy for ""1000+1 Song. Kolyskovy."" project, achieving Finalist recognition at Hackathon 4.0: Ukraine Heritage Edition
- Orchestrate team workflows, project timelines, and stakeholder communications using collaborative management tools to ensure on-time delivery

**Tools:** Figma, Trello, Slack, Discord, Time Tracking

---

**CURSOR Education**
*January 2023 – June 2023*

**UX/UI Designer** | E-commerce Platform for Craft Business

- Conducted comprehensive stakeholder interviews and competitive analysis to drive data-informed design decisions
- Executed user research methodologies and SWOT analysis to uncover strategic opportunities and optimize user experience
- Developed Customer Journey Maps and Information Architecture that streamlined navigation and enhanced conversion pathways
- Created wireframes, high-fidelity UI mockups, and interactive prototypes to validate design concepts and secure stakeholder alignment"
98254,"**UX-UI DESIGNER**

---

**SKILLS**

UX/UI Design · Figma · Interactive Design · Wireframing · Landing Page Design · Mobile Application Design · Web Interface Design · Social Media Graphics

---

**EXPERIENCE**

**Handmade Artist Landing Page** | UX-UI Case Study | Real Client
Designed a product presentation page for the international market, developing wireframes and implementing light parallax animation with a natural color palette that complemented the artist's brand identity and work.

**Fitness Coach Website Redesign**
Restructured webpage layout and simplified visual hierarchy to reduce cognitive overload, improving user flow to support client acquisition goals.

**Gift & Flower Delivery Mobile App** | UX-UI Case Study
Designed a mobile application featuring curated gift recommendations and scheduled flower delivery functionality, focused on creating an intuitive user experience for special occasion planning.

**Website Redesign Project**
Redesigned website interface with UX improvements focused on enhanced usability and streamlined navigation.

**Social Media Banners**
Designed branded banner graphics for a charitable organization's social media channels, ensuring visual consistency across platforms.

---

**EDUCATION**

**UX-UI Design Course**
Design Fundamentals · Figma

---

**SEEKING OPPORTUNITIES**

Available for agencies, startups, and product companies—specializing in landing pages, mobile applications, and web services."
98255,"# UI/UX Designer

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Skilled at translating complex ideas into intuitive, visually appealing designs. Strong foundation in design principles, user research, interactive prototyping, and responsive design. Committed to creating impactful, user-friendly products that elevate the user journey.

---

## Skills

UX Research · User Personas · User Flows · JTBD · Customer Journey Mapping · Wireframing · UI Design · Responsive Design · Interactive Prototyping

---

## Projects

### DeliverEats Mobile Service
*Solo Project*

Designed a food delivery mobile application enabling users to order food quickly with minimal friction.

**Process:** UX Research → Wireframing → UI Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted target audience, market, and competitor analysis to inform design decisions
- Designed end-to-end user experience including catalog, product pages, and account management
- Implemented search functionality and filtering systems to streamline food discovery
- Created favorites feature for saving preferred products
- Prioritized convenience and simplicity to ensure intuitive navigation

---

### PetSearch Web Service
*Team Project*

Collaborated on a web service connecting users who lost pets with those who found them, addressing two distinct user journeys.

**Process:** UX Research → Personas → User Flows → JTBD → CJM → Wireframing → UI Design → Responsive Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted comprehensive market and competitor analysis to identify differentiation opportunities
- Defined target audience segments and mapped user needs through personas and journey mapping
- Developed warm color scheme aligned with the project's emotional tone
- Designed streamlined functionality to accelerate core user tasks
- Created responsive layouts optimized across devices
- Maintained focus on convenience and clarity throughout the interface"
98256,"# UX/UI DESIGNER

## PROJECTS

### FlowerLower
**Landing Page for Flower Delivery Company | Case Study**
- Conducted competitor analysis and user research to inform data-driven design decisions
- Translated research insights into high-fidelity wireframes delivering clear visual solutions
- Developed comprehensive UI style guide establishing typography, responsive layouts, color palette, and button systems

### Mimino
**Georgian Cuisine Restaurant Website Redesign | Case Study**
- Performed competitor analysis and user research to uncover optimization opportunities
- Designed high-fidelity wireframes supporting complete site restructure
- Developed complete UI kit establishing typography, responsive layouts, color palette, and component library
- Built interactive prototypes enabling stakeholder review and usability testing
- Delivered responsive designs optimized for mobile and tablet devices

### Wanderstay
**Couchsurfing Web Service | Team Project | Case Study**
- Spearheaded competitor analysis and user research within cross-functional team environment
- Applied design thinking methodology throughout complete project lifecycle
- Developed JTBD framework and user personas driving feature prioritization
- Architected information structure and user flows ensuring seamless navigation
- Mapped customer journey identifying critical pain points and opportunities
- Designed wireframes, dashboards, and 404 error page incorporating parallax effects
- Delivered responsive designs optimized for mobile and tablet devices
- Built interactive prototypes supporting validation and developer handoff"
98257,"# [Your Name]

## UX/UI Designer

---

### About

UX/UI Designer seeking a collaborative, growth-oriented team environment. Committed to continuous professional development. Available for office and remote work arrangements.

---

### Skills

User Research • Competitor Analysis • User Flow Mapping • Sitemap Architecture • Prototyping • UI Design • Usability Optimization • Visual Design

---

### Projects

**CLEAN | Web Service**
Designed a web-based platform connecting cleaners with clients. Led the complete UX/UI process from concept to execution, including user flow mapping, sitemap architecture, prototyping, payment page design, and visual design.

**BARBER | Landing Page**
Managed the full project lifecycle for a barbershop landing page. Conducted competitor analysis and target audience research to deliver a user-centered design solution from initial research through final delivery.

**India Cafe | Website Redesign**
Conducted target audience research to identify user needs and pain points. Delivered improved visual design and enhanced usability based on research findings.

---

### Contact

[Email] • [Phone] • [Portfolio URL] • [LinkedIn]"
98258,"# PROFESSIONAL RESUME

## EDUCATION

**Master's Degree in Law** | 2018

**UI/UX Design Certificate** | DAN IT Academy

## SKILLS

- UI/UX Design
- Quality Assurance & Process Optimization
- Cross-functional Team Coordination
- Legal Documentation & Contract Preparation
- Client Relations & Consultation
- Electronic Registry Management
- Professional Business Communication

## PROFESSIONAL EXPERIENCE

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus | 6 months

- Led quality control operations for customer support, establishing service standards and performance benchmarks that drove measurable team improvement
- Implemented process optimization initiatives to enhance support efficiency and customer satisfaction
- Managed cross-functional coordination to align quality standards across departments

**Customer Support Manager**
Gambling Industry | 1 year

- Resolved complex customer inquiries regarding website functionality and user experience, leveraging UI/UX expertise to identify and communicate user pain points
- Partnered with cross-functional teams to streamline client request resolution and improve response efficiency
- Applied design thinking principles to advocate for user-centered improvements

**Notary Assistant**
3 years

- Prepared, reviewed, and processed legal documents and contracts with meticulous attention to detail, ensuring compliance and accuracy
- Delivered expert client consultations on documentation requirements and procedural guidance
- Managed electronic registry systems, maintaining organized and accurate records
- Coordinated professional correspondence with clients, legal entities, and government agencies, demonstrating strong written communication skills"
98259,"# Professional Summary

UX/UI Designer specializing in user-centered design solutions. Expert in competitor analysis, user flow development, site maps, and prototyping. Skilled in creating landing pages, websites, web services, mood boards, and adaptive design.

# Skills

Figma | Adobe Illustrator | Adobe Photoshop | User Flow Design | Prototyping | Adaptive Design | Competitor Analysis | Site Mapping | Mood Boards

# Projects

**OURPAWS** | Missing Animal Search Service Redesign
- Developed user-centered solutions to enhance search functionality
- Improved overall user experience through collaborative redesign process

*Figma · Adobe Illustrator · Adobe Photoshop*

**LA MESA** | Restaurant Table Reservation Mobile Application
- Designed comprehensive user flows for seamless booking experiences
- Created intuitive interfaces optimizing the reservation process

*Figma · Adobe Illustrator · Adobe Photoshop*

# Professional Goals

- Advancing expertise in Adobe Illustrator and vector graphics
- Pursuing continuous professional development and skill acquisition
- Contributing to collaborative, supportive team environments"
98260,"# Resume

## Summary

Creative designer specializing in user-centered design, competitive analysis, and customer acquisition strategies. Transforms client specifications into compelling digital experiences that drive engagement and conversion.

---

## Projects

### Landing Page Design | FlowerLover Flower Shop

- Designed user-friendly landing page aligned with client specifications
- Conducted competitive analysis and target audience research to inform design decisions
- Developed clear interface architecture with refined UI elements

### Website Redesign | Alaska Pete's Restaurant

- Transformed outdated website into modern, user-friendly experience
- Implemented table reservation functionality to enhance customer engagement
- Developed visual design strategy to attract and convert potential customers

---

## Skills

User Interface Design · Landing Page Development · Website Redesign · Competitive Analysis · Target Audience Research"
98261,"# PROFESSIONAL RESUME

## TEAM LEADER | UI/UX DESIGN

---

### PROJECT EXPERIENCE

**Project ""See World"" | Team Leader**

Led design and development of an intuitive residential property search platform. Directed comprehensive user research initiatives to optimize site accessibility and usability. Delivered streamlined user experience enabling efficient platform navigation, seamless transaction completion, and frictionless application submission.

---

**Project ""GenieTable""**

Designed and developed a mobile restaurant reservation application featuring a genie-themed interactive concept. Created engaging first-screen experience where users summon the genie to initiate bookings. Established cohesive visual identity through strategic color scheme development, minimizing clicks in the reservation process while maximizing user engagement.

---

**Project ""Nice View"" | Team Project**

Designed conversion-focused landing page for a residential complex targeting prospective clients. Selected calming, trust-building color palette to evoke comfortable family living and productive work environments. Applied minimalist design principles to communicate sophistication and establish property credibility."
98262,"# RESUME

## Skills

Competitive analysis and market research | Task analysis and ideation | Mood board compilation | Minimalist website and landing page design | CRM system and mobile application development | Prototyping and responsive design

## Projects

**Tattoo Salon Website Redesign** | GoIT Course

Led complete website redesign from discovery through delivery. Conducted audience analysis and reference selection to inform design direction. Developed comprehensive UI kit with responsive adaptations for tablet and mobile. Delivered interactive prototype with functional links.

**Landing Page Design**

Directed visual strategy through curated references and mood board development. Designed complete UI kit and main page layout.

**Travel Web Service** | Team Project | GoIT Course

Contributed to web service enabling affordable international stays. Conducted reference selection and audience analysis. Prepared User Flow and Customer Journey Map documentation. Implemented cohesive design system with responsive tablet and mobile adaptations. Delivered interactive prototype with functional links.

## Work Preferences

Results-oriented culture with design focus | Collaborative team environment | Hybrid work flexibility | Professional development opportunities"
98263,"**PROFESSIONAL SUMMARY**

Designer experienced in both independent and collaborative projects. Strong communicator who partners effectively with team members to deliver engaging products. Skilled in full-cycle design, responsive web design, and mobile application design.

---

**PROJECTS**

**Tattoo Company Website Redesign** | Full-Cycle Design

- Executed complete website redesign aligned with target audience needs and current design trends
- Enhanced user experience through improved usability and intuitive navigation
- Optimized site structure to support increased conversion rates and customer acquisition

**Easy Yoga Web Service** | Desktop and Responsive Design

- Designed web service from concept to completion connecting yoga instructors with prospective students seeking compatible teachers
- Developed desktop interface with responsive adaptation for seamless cross-device functionality

**Productivity Mobile Application** | Mobile Design

- Designed mobile application integrating daily planning with physical and mental health monitoring
- Incorporated multiple tools to support holistic user wellness"
98264,"# [Your Name]
## UX/UI Designer

---

### Professional Experience

**Team Leader & UX/UI Designer | Travelhaven**
- Led cross-functional team while directing UX/UI design strategy for travel platform
- Owned end-to-end design process from user research through implementation

**UX/UI Designer | Volunteer Social Project**
- Designed and developed website for volunteer organization

---

### Projects

**Alaska Pete's Roadhouse Grille — Website Redesign**
alaskapetes.com
- Delivered complete website redesign for restaurant client
- Conducted comprehensive competitor research and analysis
- Translated market insights into effective design solutions

**Travel Exchange Web Service — Concept & Design**
- Designed web service interface enabling affordable international travel experiences
- Created platform connecting travelers with hosts offering accommodation in exchange for work
- Conducted targeted user research with students and young travelers seeking budget-friendly options

---

### Skills

User Research · Competitive Analysis · End-to-End Design · Cross-Functional Team Leadership · Web Design · Interface Design

---

### Portfolio

Two independent projects demonstrating self-directed design initiative

---

### Availability

Open to various opportunities and arrangements"
98265,"# PROFESSIONAL EXPERIENCE

**Team Leader** — SweepUp Cleaning Web-service Project

**Landing Page Designer** — GoIT Addendum Project  
*Design implemented by student developers*

---

# PROJECTS

## TimeWell Daily Planner Mobile App
*In Progress*

Time management application enabling users to plan tasks and achieve goals.

- Conducted competitive analysis of existing applications
- Developed User Personas and User Flows
- Created high-fidelity prototypes and UI design
- Designed detailed animations in Protopie

**Tools:** Figma, Photoshop, Illustrator, Protopie

---

## SweepUp Cleaning Web-service
*Team Project*

Web service for selecting and booking cleaning specialists.

- Led brainstorming sessions and collaborative ideation
- Conducted market and competitor analysis
- Developed User Personas, JTBD, CJM, and User Flows
- Created prototypes, UI design, relinking, and responsive adaptations
- Implemented design system

**Tools:** Figma, Photoshop, Illustrator

---

## Bravo Furniture Site Redesign
*Personal Project*

Complete redesign of luxury furniture store website.

- Conducted market analysis and competitor research
- Designed screen prototypes and UI
- Created responsive layouts for mobile and tablet
- Developed comprehensive UI kit

**Tools:** Figma, Photoshop, Illustrator

---

## Citroën C4 Landing Page
*Coursework Project*

Test drive booking interface for new Citroën model.

- Conducted market analysis and competitor research
- Created moodboard and wireframes
- Designed final animated interface

**Tools:** Figma"
98266,"# Resume

## Professional Experience

### Team Leader | Travel Joy
*Web Service Design | Full Cycle*

- Led cross-functional team through complete project lifecycle for web service enabling work and travel experiences in new environments
- Conducted competitor analysis and target audience research to inform strategic design decisions
- Developed user flows, site maps, wireframes, and prototypes in Figma
- Delivered intuitive, user-friendly web service while maintaining consistency with established design system
- Managed team workflow and project milestones from concept through delivery

---

### Designer | Restaurant Table Booking App
*Mobile Application | Team Project*

- Collaborating with cross-functional team on mobile application design for restaurant table booking

---

### Designer | Nice View
*Landing Page Design | Full Cycle*

- Independently managed full design cycle for residential apartment sales landing page
- Conducted competitor analysis and target audience research to guide design strategy
- Developed low-fidelity and high-fidelity prototypes based on research findings
- Selected typography and color palette optimized for buyer engagement
- Delivered client-approved design featuring property viewing application submission and customer feedback functionality"
98267,"# Resume

## Projects

### Volunteering Projects Aggregator for Ukraine
Developed a comprehensive platform aggregating volunteering initiatives across Ukraine. Implemented detailed project information displays, integrated donation functionality, and built discovery tools connecting users with related projects and volunteer organizations to maximize engagement and support.

### Landing Page for Kickstarter Product
Designed and developed a conversion-focused landing page for a transformable nightstand-to-chairs product. Applied the AIDA marketing model to optimize user journey, conducted competitor analysis, curated design references, created high-fidelity wireframes, and implemented adaptive web design principles for cross-device compatibility.

### Landing Page: Artist Profile
Designed an artist profile landing page for recording artist Rihanna. Developed mood boards, curated visual references, created wireframes, executed complex compositions, applied typography principles, and built interactive prototypes to showcase artistic identity."
98268,"# Resume

## Projects

### Website Redesign | A Kids Place Childcare
Led full-cycle redesign of a preschool website to strengthen engagement with parents and prospective families. Conducted comprehensive competitor analysis to identify strategic opportunities. Enhanced visual appeal and user experience through modern design principles. Developed fully responsive design optimized for mobile and tablet devices.

### Pet Service Platform | Pet Search
Contributed to full-cycle team project developing a web service for pet search and related services. Conducted market research and target audience analysis to inform design decisions. Created consolidated platform integrating multiple pet-related services into a unified user experience. Collaborated cross-functionally with team members throughout the design process. Implemented responsive design ensuring seamless mobile and tablet compatibility.

### Mobile Event App
Currently in development."
98269,"# RESUME

## Education & Training

**Projector UX Beginner Course** — Completed with Distinction

**KronaStudio&School Web Design Course**

---

## Experience

**Volunteer Designer — University IT HUB**
*1 year*

- Redesigned university websites and developed interfaces for institutional needs
- Conducted UX research to evaluate and inform design decisions
- Built UI components utilizing an established UI library
- Partnered with developers and project managers to deliver cohesive design solutions
- Coordinated project workflows using Jira within cross-functional teams

**Intern Designer**
*2 months*

- Contributed to project delivery within a professional development team
- Applied collaborative design workflows in a professional environment

---

## Project Experience

**Stakeholder Projects — Projector UX Beginner Course**

- Led independent project from research through final delivery
- Collaborated with team members on group stakeholder project
- Executed end-to-end UX process: research, problem definition, and UI solution development

---

## Skills

**Design:** UI Design • UX Research • Problem-Solving

**Tools:** Jira

**Professional:** Cross-Functional Collaboration • Stakeholder Communication"
98270,"# Resume

## Skills

HTML & CSS | UI/UX Design | 3D Modeling (Exteriors & Interiors) | SketchUp

## Professional Experience

**3D Graphic Specialist** | HOVER Ukraine | Feb 2021 – Jun 2023
- Produced detailed 3D exterior and interior models to client specifications
- Performed quality assurance reviews to ensure consistency and accuracy across team deliverables

## Project Experience

**YoHome** | Team Leader
- Directed development of a web-based housing rental and accommodations platform
- Designed comprehensive user interface encompassing complete end-to-end user flows
- Implemented visual stylization and responsive design for cross-device compatibility

**Sophie Scholl Realschule Website Redesign** | Study Project
- Redesigned institutional website to create a user-friendly platform highlighting school mission, values, and programs
- Performed competitive analysis and audience research to inform design decisions
- Applied education-sector web design best practices

**Additional Projects**
- Delivered 3 independent projects spanning diverse subject areas

## Interests

- Full-time or part-time opportunities
- Collaborative, respectful team environments
- Professional development and continued learning
- Results-driven workplace culture"
98271,"# DESIGNER

## Professional Summary

Multidisciplinary designer with 4 years of experience spanning interior, graphic, and industrial design. Trained in UI/UX methodologies and Figma, bringing a distinctive perspective that bridges physical and digital design principles to create cohesive, user-centered solutions.

## Skills

UI/UX Design | Figma | Web Design | Visual Composition | Brand Identity | Interior Design | Graphic Design | Industrial Design

## Professional Experience

**Interior Designer** | Freelance & Company-Based

- Translated diverse client requirements into functional, aesthetic interior spaces
- Developed comprehensive brand identity systems including logos, business cards, and banners
- Created original artwork and paintings demonstrating refined visual composition skills

## Education

**Master's Degree in Environmental and Industrial Design**

**Professional Development**
- UX/UI: Projecting and Design of Interfaces – GENIUS, Cases Courses
- Working with Figma – GENIUS, Cases Courses
- Fundamentals of Web Design – GENIUS, Cases Courses

## Languages

English – B1 | Spanish – B1 | Polish – B2

## Career Objective

Seeking to leverage multidisciplinary design expertise to grow as a UI/UX design specialist."
98272,"# UI/UX Designer

## Summary
Detail-oriented UI/UX Designer with 6 months of professional experience and 5 months of intensive coursework. Passionate about creating comprehensive, user-centered designs that drive conversions and deliver intuitive user experiences.

## Design Capabilities
- Landing Pages & E-Commerce Platforms
- Portfolio Sites & Website Redesign
- Mobile Applications (iOS & Android)
- Responsive Design & Device Adaptation
- Website Animation

## Design Process Expertise
- Competitor Analysis
- User Flows
- Wireframing & Prototyping
- UI Design Development

## Technical Proficiency
- Google Material Design Guidelines
- Human Interface Guidelines

## Collaboration
- Cross-functional Partnership with Front-End Developers

## Education
5-Month UI/UX Design Program | Full Design Process Principles & Technologies

## Professional Objective
Seeking a UI/UX design position to apply my experience in creating user-friendly, conversion-focused designs while contributing to innovative projects that present creative problem-solving opportunities."
98273,"# [Your Name]
[Contact Information]

---

## Summary
UX Designer specializing in user-centered design, accessibility, and equity-focused methodologies. Skilled at managing end-to-end design processes and executing design sprints to deliver cohesive digital solutions across web and social platforms.

---

## Skills
- User-Centered Design
- End-to-End Design Process & Sprint Methodologies
- Accessibility & Equity-Focused Design
- Information Architecture & User Flow Development
- Cross-Functional Collaboration & Client Partnership
- Web & Application Design
- Social Media Asset Creation & Brand Consistency
- Webflow Development & Deployment

---

## Experience

**Freelance UX/Visual Designer**
*6 Months*

- Developed cohesive social media asset suites for Instagram, Twitter, and Facebook, ensuring brand consistency and visual standards across all platforms
- Collaborated with clients to architect information systems and user flows for applications and websites, transforming business requirements into actionable design solutions
- Designed, developed, and deployed a fully functional Webflow blog, managing the complete project lifecycle from concept through launch
- Created landing pages and promotional banners optimized for user engagement and conversion

---

## Education

**Hillel IT School**
UX/Web Design Certificate"
98274,"# **JUNIOR UI/UX DESIGNER**

Creative UI/UX designer passionate about crafting effective, aesthetically pleasing designs that elevate user experience. Specializing in full-cycle design services including landing pages, e-commerce, website redesign, and web services.

---

## **EDUCATION**

**UI/UX Design Certificate** — 6-Month Intensive Program

---

## **PROJECT EXPERIENCE**

### **Wish** — Gift Delivery Mobile App
- Led full-cycle design for mobile application featuring product selection and scheduled delivery functionality
- Conducted competitive analysis, developed UX personas, mapped user flows, created wireframes, and executed final UI design

### **Fitroom** — Corporate Website Redesign
- Redesigned fitness studio website with modern, conversion-focused interface
- Conducted competitive analysis and established stylistic direction through reference gathering
- Developed responsive prototypes for phone and tablet devices
- Built comprehensive UI kit ensuring design consistency across all touchpoints

### **VDOMA** — Couch-Surfing Web Service
- Directed full-cycle design for web platform connecting travelers with affordable accommodations while promoting Ukrainian tourism
- Delivered competitive analysis, UX personas, empathy mapping, sitemap architecture, MVP definition, and user flow diagrams
- Designed responsive adaptations for tablet and mobile breakpoints
- Executed A/B testing to identify and implement design improvements

---

## **ADDITIONAL PROJECTS**

- Service accounting table interface for cleaning company operations
- Website sidebar navigation interface
- Team page with AutoLayout-based responsive padding system
- User profile page for online learning platform
- Student dashboard for ed-tech product
- Animated desktop launch screen
- Card-to-card money transfer confirmation modal
- Administrator dashboard for user permissions management

---

## **COLLABORATION**

3 individual projects | 2 team projects"
98275,"# PROFESSIONAL SUMMARY

Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Skilled in creating exceptional user experiences through innovative digital interactions. Experienced in independent project development, user research, competitor analysis, and UI design. Committed to continuous learning and staying current with industry trends and evolving technologies.

---

# SKILLS

UX/UI Design · User Research · Competitor Analysis · Wireframing · Prototyping · UI Kit Development · Design Documentation · Visual Design · Color Theory

---

# PROJECT EXPERIENCE

**Petsearch** — Web Service for Lost and Found Animals

- Designed and developed a web service connecting pet owners with individuals who find lost animals
- Created an intuitive user experience enabling quick results while promoting shelter support and volunteerism

**A Kids Place Childcare** — Website Redesign

- Conducted comprehensive analysis of existing design and competitor landscape
- Redesigned three pages based on identified strengths, weaknesses, and user expectations
- Delivered complete documentation including a UI kit with all design elements

**FlowerLover** — E-commerce Landing Page

- Designed a landing page featuring multiple interactive elements including buttons and input fields
- Conducted competitor analysis and developed moodboards
- Determined page structure and selected a natural color palette aligned with brand identity

---

# EDUCATION & TRAINING

*(Add your relevant education, certifications, or courses here)*

---

# CONTACT

*(Add your contact information here)*"
