,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
98253,"# Resume

## Professional Experience

**Baza Trainee Ukraine**
*June 2023 – Present*

Design Team Lead | Social Sector Product Development

- Led design team for the ""4.5.0."" Volunteer Organization website project
- Led design team for ""1000+1 Song. Kolyskovi."" project, Finalist at Hackathon 4.0: Ukraine Heritage Edition

**Tools:** Figma, Trello, Slack, Discord, Time Tracking

---

**CURSOR Education**
*January 2023 – June 2023*

UX/UI Designer | E-commerce Platform for Craft Business

- Conducted stakeholder interviews and competitor analysis
- Performed user research and SWOT analysis
- Developed Customer Journey Maps and Information Architecture
- Created wireframes, UI designs, and interactive prototypes"
98254,"**UX-UI DESIGNER**

---

**EDUCATION**

UX-UI Design Course — Completed with proficiency in design fundamentals and Figma

---

**SKILLS**

- UX/UI Design
- Figma
- Interactive Design
- Wireframing
- Landing Page Design
- Mobile Application Design
- Web Interface Design
- Social Media Graphics

---

**EXPERIENCE**

Website Redesign Project
- Redesigned website interface, implementing improvements that enhanced user-friendliness

---

**PORTFOLIO**

**Social Media Banners**
Created banner designs for a charitable organization's social media presence

**Fitness Coach Website Redesign**
Restructured webpage layout, simplified overloaded design, and highlighted key elements to support client acquisition goals

**Handmade Artist Landing Page** | UX-UI Case Study | Real Client
Developed product presentation page for international market, including wireframe design, natural color palette selection to complement artwork, and light parallax animation for page introduction

**Gift & Flower Delivery Mobile App** | UX-UI Case Study
Designed mobile application enabling remote gift selection from recommendations with scheduled flower delivery for special occasions

---

**SEEKING OPPORTUNITIES**

Agencies, startups, and product companies — Landing pages, mobile applications, and web services"
98255,"# UI/UX Designer

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping, and responsive design. Eager to contribute skills and enthusiasm to create impactful, user-friendly products that elevate the user journey.

---

## Projects

### DeliverEats Mobile Service
*Solo Project*

Designed a food delivery mobile application focused on enabling users to order food quickly with minimal friction.

**Process:** UX Research → Wireframing → UI Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted target audience analysis, market research, and competitor analysis
- Designed multiple screens including catalog, product page, and account pages
- Implemented home page search functionality and filtering for quick sorting
- Created favorites feature for product saving
- Prioritized convenience and simplicity for intuitive user comprehension

---

### PetSearch Web Service
*Team Project*

Collaborated on the design of a web service helping users locate lost animals, addressing the needs of two distinct user types: those who lost pets and those who found them.

**Process:** UX Research → Personas → User Flows → JTBD → CJM → Wireframing → UI Design → Responsive Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted market and competitor analysis to identify strengths and weaknesses of similar services
- Defined target audience and user needs
- Developed warm color scheme aligned with project tone
- Designed functionality to accelerate user actions
- Created responsive layouts optimized for mobile devices
- Emphasized convenience and clarity throughout the interface"
98256,"# UX/UI DESIGNER

## PROJECTS

### FlowerLower
**Landing Page for Flower Delivery Company | Case Study**
- Conducted competitor analysis and user research
- Developed high-fidelity wireframes
- Created comprehensive UI style guides including typography, responsive layouts, color palette, and button systems

### Mimino
**Georgian Cuisine Restaurant Website Redesign | Case Study**
- Conducted competitor analysis and user research
- Developed high-fidelity wireframes
- Built complete UI Kit encompassing typography, responsive layouts, color palette, and component library
- Created interactive prototypes
- Designed mobile and tablet adaptations

### Wanderstay
**Couchsurfing Web Service | Team Project | Case Study**
- Conducted competitor analysis and user research
- Applied design thinking methodology
- Developed JTBD framework and user personas
- Created information architecture and user flows
- Mapped customer journey (CJM)
- Designed wireframes and dashboards
- Developed 404 error page with parallax effects
- Created mobile and tablet adaptations
- Built interactive prototypes"
98257,"# [Your Name]

## UX/UI Designer

---

### Projects

**CLEAN | Web Service**
Independently developed a web cleaning service connecting cleaners with clients. Managed all UX/UI stages including user flow, sitemap, prototyping, payment pages, and visual design.

**BARBER | Landing Page**
Led full project lifecycle from competitor analysis and target audience research through final design execution, creating a user-centered landing page for a barbershop.

**India Cafe | Website Redesign**
Conducted target audience research to identify user needs, then improved both visual design and usability based on findings.

---

### Skills

- Competitor Analysis
- User Research
- User Flow
- Prototyping
- Sitemap Development
- UI Design
- Usability Optimization

---

### About

UX/UI Designer seeking a collaborative, growth-oriented team environment. Open to office and remote work arrangements. Committed to continuous professional development."
98258,"# PROFESSIONAL RESUME

## EDUCATION

**Master's Degree in Law** | 2018

**UI/UX Design Certificate** | DAN IT Academy

## SKILLS & INTERESTS

- UI/UX Design (currently developing expertise)
- Strong sense of responsibility and accountability

## PROFESSIONAL EXPERIENCE

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus
*6 months*

- Led quality control operations for customer support department

**Customer Support Manager**
Gambling Industry
*1 year*

- Provided customer service addressing website-related inquiries
- Coordinated with relevant departments to resolve client requests

**Notary Assistant**
*3 years*

- Prepared and processed legal documents and contracts
- Conducted client consultations
- Managed electronic registry systems
- Handled professional business correspondence"
98259,"# Professional Summary

UX/UI Designer specializing in competitor analysis, user flow development, site maps, mood boards, landing pages, websites, web services, prototyping, and adaptive design.

# Skills

- Figma
- Adobe Illustrator
- Adobe Photoshop
- User Flow Design
- Prototyping
- Adaptive Design

# Projects

**OURPAWS**
Contributed as a team member to redesign a search service for locating missing animals.
*Tools: Figma, Adobe Illustrator, Adobe Photoshop*

**LA MESA**
Designed a mobile application for restaurant table booking.
*Tools: Figma, Adobe Illustrator, Adobe Photoshop*

# Professional Goals

- Advancing expertise in Adobe Illustrator and vector graphics
- Continuous professional development and skill acquisition
- Contributing to collaborative, supportive team environments"
98260,"# Resume

## Summary

Creative designer with 2 portfolio projects demonstrating expertise in user-centered design and customer acquisition strategies.

---

## Projects

### Landing Page Design | FlowerLover Flower Shop

- Designed user-friendly landing page aligned with client specifications
- Conducted competitive analysis and target audience research
- Developed clear interface architecture and refined UI elements

### Website Redesign | Alaska Pete's Restaurant

- Redesigned outdated website to create modern, user-friendly experience
- Implemented table reservation functionality to improve customer engagement
- Developed visual design strategy aimed at attracting potential customers

---

## Skills

- User Interface Design
- Competitive Analysis
- Target Audience Research
- Landing Page Development
- Website Redesign"
98261,"# PROFESSIONAL RESUME

## TEAM LEADER | UI/UX DESIGN

---

### PROJECT EXPERIENCE

**Project ""See World"" | Team Leader**

Led the design and development of a user-friendly interface for a residential property search platform. Conducted comprehensive user research to ensure the site design was intuitive and accessible. Focused on enabling users to easily navigate the platform, complete transactions efficiently, and submit applications with minimal friction.

---

**Project ""GenieTable""**

Designed a mobile application for restaurant table reservations featuring a distinctive concept inspired by a genie character. Created an interactive first screen where users summon the genie to initiate bookings. Developed a cohesive color scheme aligned with the character theme to enhance user engagement and streamline the reservation process to just a few clicks.

---

**Project ""Nice View"" | Team Project**

Designed a landing page for a residential complex aimed at attracting potential clients. Selected a calming, secure color palette to evoke feelings of comfortable family living and productive work. Implemented a minimalist design approach to convey both sophistication and credibility for the property.

---"
98262,"# RESUME

## Skills

- Competitive analysis and market research
- Task analysis and ideation
- Mood board compilation
- Minimalist website and landing page design
- CRM system and mobile application development
- Prototyping and responsive design

## Projects

**Tattoo Salon Website Redesign** | Individual Project | GoIT Course
- Conducted reference selection and audience analysis
- Redesigned complete website with UI kit
- Created responsive adaptations for tablet and mobile
- Developed interactive prototype with functional links

**Landing Page Design** | Individual Project
- Curated references and mood board
- Designed UI kit
- Created complete main page design

**Travel Web Service** | Team Project | GoIT Course
- Collaborated on a web service for organizing affordable international stays
- Conducted reference selection and audience analysis
- Prepared User Flow and Customer Journey Map
- Implemented design system
- Created responsive adaptations for tablet and mobile
- Developed interactive prototype with functional links

## Ideal Work Environment

- Results-oriented culture with design focus and collaborative team
- Atmosphere of mutual respect
- Hybrid work flexibility
- Corporate training and professional development opportunities"
98263,"**PROFESSIONAL SUMMARY**

Designer with experience in both independent and collaborative projects. Strong communicator who partners effectively with team members to deliver engaging products, including a web service for yoga classes and a productivity application.

---

**PROJECTS**

**Tattoo Company Website Redesign** | Full Cycle Design

- Executed complete website redesign aligned with target audience needs and current design trends
- Enhanced user experience through improved usability and intuitive navigation
- Optimized site structure to support increased conversion rates and customer acquisition

**Easy Yoga Web Service** | Desktop and Responsive Design

- Designed web service from concept to completion
- Created platform connecting yoga instructors with prospective students seeking compatible teachers
- Developed desktop interface with responsive adaptation

**Productivity Mobile Application** | Mobile Design

- Designed mobile application focused on performance improvement
- Integrated daily planning functionality with physical and mental health monitoring features
- Incorporated multiple tools to support holistic user wellness"
98264,"# [Your Name]
## UX/UI Designer

---

### Professional Experience

**Team Leader & UX/UI Designer | Travelhaven**
- Led team and directed UX/UI design strategy for travel platform
- Managed end-to-end design process from research to implementation

**UX/UI Designer | Volunteer Social Project**
- Designed and developed website for volunteer organization

---

### Projects

**Alaska Pete's Roadhouse Grille — Website Redesign**
alaskapetes.com
- Executed complete website redesign for restaurant based in Seven Bridge Rd, USA
- Conducted comprehensive competitor research and analysis
- Identified and implemented successful design solutions based on market findings

**Travel Exchange Web Service — Concept & Design**
- Designed web service interface enabling affordable international travel experiences
- Created platform connecting travelers with hosts offering accommodation in exchange for work
- Targeted user research focused on students and young travelers seeking budget-friendly options

---

### Portfolio

2 independent pet projects demonstrating self-directed design initiative

---

### Availability

Open to various opportunities and arrangements"
98265,"# PROFESSIONAL EXPERIENCE

**Team Leader** — SweepUp Cleaning Web-service Project

**Landing Page Designer** — GoIT Addendum Project
*Design implemented by student developers*

---

# PROJECTS

## TimeWell Daily Planner Mobile App
*In Progress*

A time management application enabling users to plan tasks and achieve goals.

**Responsibilities:**
- Conducted competitive analysis of existing applications
- Created User Personas and User Flows
- Developed high-fidelity prototypes and UI design
- Produced detailed animations in Protopie

**Tools:** Figma, Photoshop, Illustrator, Protopie

---

## SweepUp Cleaning Web-service
*Team Project*

A web service for selecting and booking cleaning specialists.

**Responsibilities:**
- Performed market and competitor analysis
- Facilitated brainstorming sessions
- Developed User Personas, JTBD, CJM, and User Flows
- Created prototypes, UI design, relinking, and responsive adaptations
- Worked within an existing design system

**Tools:** Figma, Photoshop, Illustrator

---

## Bravo Furniture Site Redesign
*Personal Project*

Complete redesign of a luxury furniture store website.

**Responsibilities:**
- Conducted market analysis and competitor research
- Created screen prototypes and UI design
- Developed responsive layouts for mobile and tablet
- Built comprehensive UI kit

**Tools:** Figma, Photoshop, Illustrator

---

## Citroën C4 Landing Page
*Coursework Project*

A test drive booking interface for the new Citroën model.

**Responsibilities:**
- Performed market analysis and competitor research
- Created moodboard and wireframes
- Designed final animated interface

**Tools:** Figma"
98266,"# Resume

## Professional Experience

### Team Leader | Travel Joy
*Web Service Design, Full Cycle*

Led a team in designing a web service that facilitates work and travel experiences in new environments. Organized and monitored the team's workflow throughout the project lifecycle. Conducted competitor analysis, created user flows and site maps, and developed wireframes and prototypes in Figma. Successfully delivered a well-designed web service featuring intuitive functionality and user-friendly interface, while working within the constraints of an established design system.

---

### Designer | Restaurant Table Booking App
*Mobile Application, Team Project*

Currently collaborating with a team on mobile app design for restaurant table booking.

---

### Designer | Nice View
*Landing Page Design, Full Cycle*

Independently designed a landing page for apartment sales in a new residential complex. Conducted competitor analysis and target audience research. Developed low-fidelity and high-fidelity prototypes based on research findings. Selected typography and color palette optimized for buyer engagement. Delivered a client-approved landing page design featuring application submission for property viewings and customer feedback functionality."
98267,"# Resume

## Projects

### Volunteering Projects Aggregator for Ukraine
Created a user-friendly platform that aggregates and showcases volunteering initiatives across Ukraine. The platform provides detailed project information, enables donations, and facilitates exploration of related projects and volunteer organizations to promote engagement and support for meaningful causes.

### Landing Page for Kickstarter Product
Designed a landing page for a transformable nightstand-to-chairs product. Applied the AIDA marketing model to drive Kickstarter conversions. Developed skills in competitor analysis, reference selection, high-fidelity wireframing, and adaptive web design.

### Landing Page: Artist Profile
Designed a landing page introducing users to recording artist Rihanna. Developed skills in mood boards, reference curation, wireframing, complex composition, typography, and prototyping."
98268,"# Resume

## Projects

### Website Redesign | A Kids Place Childcare
Full-cycle redesign of a preschool website designed to connect with parents and prospective families. Conducted comprehensive competitor analysis to identify opportunities for improvement. Enhanced visual appeal and user experience. Developed responsive design optimized for mobile and tablet devices.

### Pet Service | Pet Search
Full-cycle team project developing a web service for pet search and related services. Conducted market research and target audience analysis. Created a consolidated platform offering multiple pet-related services in a single location. Collaborated with team members throughout the design process. Implemented responsive design for mobile and tablet compatibility.

### Mobile Event App
Currently in development."
98269,"# RESUME

## Education & Training

**Projector UX Beginner Course** — Completed with Distinction

**KronaStudio&School Web Design Course**

---

## Experience

**Intern Designer**
*2 months*

Collaborated with a development team on a project, gaining hands-on experience in a professional environment.

**Volunteer Designer — University IT HUB**
*1 year*

- Redesigned university websites and created interfaces for institutional needs
- Managed tasks using Jira while collaborating with cross-functional teams
- Developed UI skills through mentorship and hands-on work with a UI library
- Participated in UX research and solution evaluation
- Partnered with developers and project managers to deliver design solutions

---

## Project Experience

**Projector UX Beginner Course Projects**

- Completed stakeholder project as independent designer
- Contributed to stakeholder project within a design team
- Conducted UX research, problem-solving, and UI solution development

---

## Skills

UX Research • UI Design • Problem-Solving • Jira • Team Collaboration • Stakeholder Communication"
98270,"# Resume

## Skills
- HTML & CSS
- SketchUp
- 3D Modeling (Exteriors & Interiors)
- UI/UX Design

## Professional Experience

**3D Graphic Specialist** | HOVER Ukraine | Feb 2021 – Jun 2023
- Modeled 3D exteriors and interiors
- Conducted quality reviews of completed 3D models from other modelers

## Project Experience

**YoHome** | Team Leader
- Led development of a web service for hosting and renting housing
- Designed interface from scratch and developed user flow
- Created detailed stylization and responsive adaptation

**Sophie Scholl Realschule Website Redesign** | Study Project
- Redesigned website to create a user-friendly, informative platform presenting the school's mission, values, and offerings
- Conducted competitive analysis and audience research
- Applied web design best practices in the education sector

**Additional Projects**
- Completed 3 pet projects across various topics

## What I'm Looking For
- Full-time or part-time position
- Mutual respect and friendly atmosphere
- Training and development opportunities
- Results-focused environment"
98271,"# DESIGNER

## Professional Summary

Versatile designer with 4 years of experience spanning interior, graphic, and industrial design. Currently transitioning into UI/UX design with specialized training in web design, Figma, and interface development.

## Education

**Master's Degree in Environmental and Industrial Design**

**Professional Development:**
- Fundamentals of Web Design – GENIUS, Cases courses
- Working with Figma – GENIUS, Cases courses
- UX/UI: Projecting and Design of Interfaces – GENIUS, Cases courses

## Professional Experience

**Interior Designer** | Freelance & Company-Based

- Developed interior design projects for diverse clients
- Created graphic design materials including logos, business cards, and banners
- Produced original artwork and paintings

## Skills

- Interior Design
- Graphic Design
- Industrial Design
- Web Design
- Figma
- UX/UI Design

## Languages

- Polish – B2
- English – B1
- Spanish – B1

## Career Objective

Seeking to leverage multidisciplinary design expertise to grow as a UI/UX design specialist."
98272,"# UI/UX Designer

## Summary
Detail-oriented UI/UX Designer with 6 months of professional experience and 5 months of intensive coursework. Passionate about creating comprehensive, user-centered designs that drive conversions and deliver intuitive user experiences.

## Experience & Skills

**Design Capabilities**
- Landing Pages
- E-Commerce Platforms
- Portfolio Sites
- Mobile Applications (iOS & Android)
- Website Redesign
- Responsive Design & Device Adaptation
- Basic Website Animation

**Design Process Expertise**
- Competitor Analysis
- User Flows
- Wireframing
- Prototyping
- UI Design Development

**Technical Knowledge**
- Google Material Design Guidelines
- Human Interface Guidelines

**Collaboration**
- Cross-functional teamwork with front-end developers

## Education & Training
5-month comprehensive UI/UX Design coursework covering full design process principles and technologies

## Professional Objective
Seeking a UI/UX design position to apply my experience in creating user-friendly, conversion-focused designs while contributing to innovative projects that present creative problem-solving opportunities."
98273,"# [Your Name]
[Contact Information]

---

## Summary
Entry-level UX Designer with foundational knowledge in user-centered design, accessibility, and equity-focused design principles. Experienced in the design process and design sprint methodologies.

---

## Skills
- User-Centered Design
- Design Process & Design Sprints
- Accessibility & Equity-Focused Design
- Cross-Functional Team Collaboration
- Web & Application Design
- Social Media Asset Creation
- Webflow

---

## Experience

**Freelance Designer**
*6 Months*

- Created banners for Instagram, Twitter, and Facebook
- Assisted in planning applications and websites
- Developed a blog using Webflow
- Designed landing pages and promotional banners

---

## Education

**Hillel IT School**
Certificate — Successfully Completed"
98274,"# **JUNIOR UI/UX DESIGNER**

Passionate about creating effective, aesthetically pleasing designs that enhance user experience. Offering full-cycle design services specializing in landing pages, e-commerce, website redesign, and web services.

---

## **EDUCATION**

UI/UX Design Course | 6 Months | Completed

---

## **PROJECT EXPERIENCE**

### **Wish** — Gift Delivery Mobile App
Flower and gift delivery application with selection and scheduled delivery features.
- Executed full-cycle design process: competitive analysis, UX personas, user flow, wireframes, UI design

### **Fitroom** — Corporate Website Redesign
Fitness studio website redesign focused on creating an attractive, modern interface to boost sales.
- Conducted competitor analysis and established stylistic direction using references
- Built prototypes and optimized interfaces for phone and tablet
- Developed comprehensive UI kit

### **VDOMA** — Ukrainian Couch-Surfing Web Service
Web service designed to organize affordable stays in Ukraine and promote Ukrainian tourism.
- Led full-cycle design process: competitive analysis, UX personas, empathy map, sitemap, MVP definition, user flow diagram
- Created tablet and mobile adaptations
- Conducted A/B testing to identify and correct design improvements

---

## **ADDITIONAL UI PROJECTS**

- Service accounting table for cleaning company
- Website sidebar interface
- Team page with AutoLayout-based padding system
- User page for online learning resource
- Dashboard for ed-tech product targeting school students
- Animated desktop site start screen
- Card-to-card money transfer confirmation modal
- Administrator dashboard for user rights management

---

## **COLLABORATION**

3 individual projects | 2 team projects"
98275,"# PROFESSIONAL SUMMARY

Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Committed to creating exceptional user experiences through innovative digital interactions. Dedicated to continuous learning, staying current with industry trends and evolving technologies. Skilled in independent project development, user research, and UI design.

---

# PROJECT EXPERIENCE

**Petsearch** — Web Service for Lost and Found Animals

Designed and developed a user-friendly web service connecting pet owners with people who find lost animals. Focused on creating an intuitive experience that helps users achieve results quickly while promoting shelter support and volunteerism.

**A Kids Place Childcare** — Website Redesign

Conducted comprehensive analysis of existing design and competitor research. Redesigned three pages based on identified strengths, weaknesses, and user expectations. Created complete documentation including a UI kit with all design elements.

**FlowerLover** — E-commerce Landing Page

Designed a landing page featuring multiple interactive elements including buttons and input fields. Conducted competitor analysis, developed moodboards, determined page structure, and selected a natural color palette aligned with brand identity.

---

# SKILLS

- UX/UI Design
- User Research & Competitor Analysis
- Wireframing & Prototyping
- UI Kit Development & Documentation
- Visual Design & Color Theory

---

# EDUCATION & TRAINING

*(Add your relevant education, certifications, or courses here)*

---

# CONTACT

*(Add your contact information here)*"
98276,"**JUNIOR UI/UX DESIGNER**

---

**ABOUT ME**

Junior UI/UX Designer with a strong desire to grow and develop in this field. Experienced in both collaborative team environments and individual design projects, with a solid foundation in design principles, including color theory, typography, and layout. Seeking an opportunity to expand my expertise while contributing to creating exceptional user experiences.

---

**EDUCATION & PROFESSIONAL DEVELOPMENT**

- Self-directed study in UI/UX design through online courses and industry literature
- Continuous learning in cutting-edge design technologies and trends
- Ongoing portfolio development with focus on quality improvement

---

**PROJECT EXPERIENCE**

**Website Redesign | Tattoo Studio**
*December 2022 – January 2023*

- Redesigned studio website to create a modern, user-friendly interface
- Implemented clearer navigation elements and new tattoo ordering functionality
- Enhanced visual presentation of tattoo artists' work and integrated customer reviews

**UI/UX Design | Pet Finder Service**
*February 2023 – March 2023*

- Designed web service enabling users to create and publish listings for lost or found pets
- Focused on facilitating quick information dissemination and communication between pet owners
- Developed intuitive interface for efficient user engagement

---

**CAREER OBJECTIVES**

- Collaborate with experienced designers in a team environment
- Advance professional skills through exposure to new technologies and design trends
- Contribute to diverse projects across various design domains"
98277,"# **UX/UI Designer**

Creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. Experienced in UX research, with expertise in designing websites, web services, mobile apps, dashboards, tables, logos, advertisements, and posters. Strong collaborator with experience leading design presentations.

---

## **Work Experience**

**Korg Sound Library Cover Design**
Created two illustrations serving as sound library covers. Conducted reference photo analysis, collaborated with client on requirements, and delivered final designs incorporating client feedback.

**Sinevibes Logo (3D Animation)**
Designed and produced an animated 3D logo for video intro use. Managed full pipeline from modeling through shading to final rendered animation, with client approval at key stages.

---

## **Projects**

**UrbanFest Landing Page Design**
Designed a landing page from scratch, developing moodboard and wireframe before creating the final minimalistic design.

**CustomConcepts Tattoo Website Redesign**
Redesigned an existing website after conducting competitive analysis of tattoo-related sites. Delivered a modern, comprehensive design balancing functionality and aesthetics through iterative prototyping.

**Web Service UX and UI Design**
Designed a web service for affordable international accommodation. Conducted UX research including user personas and customer journey mapping. Developed information architecture, user flows, wireframes, and final visual design.

**Beatcraft Mobile App Design**
Designed a music-related mobile application. Performed target audience analysis and created wireframes leading to complete interface design, including two-factor authentication and in-app achievements.

---

Seeking remote opportunities with collaborative teams. Fast learner ready to embrace new challenges."
98278,"# [Name]
**UI/UX Designer**

## About Me

Dedicated UI/UX designer from Ukraine specializing in creating intuitive, convenient, and visually appealing design solutions. I believe that understanding user problems is the foundation for effective design. My passion for design, attention to detail, and commitment to continuous growth make me a valuable asset to any team focused on creating outstanding products.

## Skills

- Figma (auto layout, styles, components, design systems)
- User-centered design aligned with business requirements
- UX problem identification and troubleshooting
- Independent and collaborative work experience

## Project Experience

**Lunushka Shop — Mobile App**

Designed a mobile application for an online store. Conducted competitor analysis, target audience research, and persona development. Created user flows, detailed wireframes, and intuitive UI design. Developed onboarding experience, animated prototype, and Protopie interactions.

**Globetrot — Web Service** *(Team Project)*

Contributed to a web service for organizing economical stays across different countries. Responsibilities included user interface design, filter functionality, and verification methods. Conducted in-depth research to identify problems and propose design solutions. Developed detailed wireframes, responsive UI, and animated prototypes.

**Tattoo Studio — Website Redesign**

Redesigned website following detailed analysis. Developed modern visual design, intuitive interface, and informative pages to attract new customers and tattoo artists.

**Flower Shop — Landing Page**

Created a landing page for a flower shop with delivery service. Conducted user research, competitor analysis, and persona creation. Developed moodboard, prototype, and final design with intuitive navigation. Implemented responsive design for tablets and mobile devices.

## Interests

- Corporate training and professional development
- Career growth opportunities
- Collaborative, respectful work environment"
98279,"**[Your Name]**
Junior UI/UX Designer

---

**ABOUT ME**

Junior UI/UX Designer with experience in both team-based and individual design projects. Skilled in executing the complete design cycle: analysis, concept development, prototyping, user interface design, and responsive adaptation. Proficient in creating user-friendly interfaces with intuitive, easily navigable designs.

Open to engaging projects that align with your goals and solve meaningful problems.

---

**PROJECT EXPERIENCE**

**UI/UX Designer | Mobile App for Flower & Gift Delivery**
*Team Project | Ongoing*

Currently collaborating with a team on the design and development of a mobile application for flower and gift delivery services.

**UI/UX Designer | ""NADIYA"" Pet Search Webservice**
*Team Project | December 2022 – February 2023*

Contributed to developing a webservice helping owners locate lost animals more quickly. Conducted competitor analysis, developed user personas, created sitemap, high-fidelity prototypes, user interface design, and responsive adaptation. Strengthened communication, organizational, delegation, and time-management skills through team collaboration.

**UI/UX Designer | ""MIMINO"" Restaurant & Hotel Complex Website Redesign**
*Individual Project | October 2022 – November 2022*

Redesigned existing website to create a more attractive, modern, and user-friendly experience. Performed site analysis, identified areas for improvement, gathered references, developed detailed prototypes, and delivered visual design with responsive adaptation.

**UI/UX Designer | Yoga Studio Landing Page**
*Individual Project*

Designed a landing page for a yoga studio."
98280,"# Junior UX/UI Designer

## About Me

Self-motivated and detail-oriented Junior UX/UI Designer passionate about creating high-quality products that serve both users and businesses. Eager to join a collaborative team and embrace new challenges in web design.

## Skills

- **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Canva
- **UX Methods:** Design Systems, User Flows, Customer Journey Mapping
- **Research Tools:** SimilarWeb

## Project Experience

### Barbershop — Landing Page
*Individual Project*

Designed a landing page to present and promote a new barbershop in Ukraine. Created compelling visuals to showcase services and attract potential customers using Figma and Adobe Photoshop.

### India Cafe — Website Redesign
*Individual Project*

Redesigned an outdated website to increase visitor engagement and highlight the cafe's advantages. Conducted competitor analysis and user interviews to inform design decisions, resulting in an attractive, high-performing website.

### Look For — Web Service
*Team Project*

Developed a platform to help users find accommodation based on their needs and budget. Analyzed target audience, created a clear interface, and designed across three stages: user-end interface, payment interface, and admin-side interface. Utilized Figma, Canva, and Adobe Illustrator."
98281,"# UI/UX DESIGNER

## ABOUT ME

Result-oriented designer with 8 years of graphic design experience, including 3 years as Chief Designer and Head of Department. Passionate about digital product design that is intuitive, user-friendly, and modern. A team player ready to contribute experience and drive profitable results.

---

## PROFESSIONAL EXPERIENCE

**Chief Designer (Head of Department)** | 3 years

- Organized and prepared company creative projects
- Developed concepts and designs aligned with corporate style guidelines
- Managed department workflow and team coordination

**Projects Implemented:**
- Company website redesign
- Interface design for popcorn machine
- Landing page design for KinoboardPRO
- Design project for city café and conference hall interior

---

## UI/UX PROJECT EXPERIENCE

**Website Redesign | MAINSAIL Realty Company**
- Conducted competitor research and analysis
- Created wireframes and UI kit
- Developed responsive designs for tablet and mobile
- Organized content into logical sections with intuitive navigation and user-friendly forms
- Maintained original color scheme

**Interface Redesign | Kinoprokat-Sumy Popcorn Machine**
- Redesigned interface to align with company colors and style
- Updated background, buttons, fonts, and icons
- Developed animations while maintaining original button sizing and placement

---

## UI/UX DESIGN TRAINING PROJECTS

- Adaptive website redesign
- Adaptive web service design for cleaning company recruitment
- Mobile application design for restaurant table booking
- Various web design curriculum assignments

---

## LOOKING FOR

- Career and financial growth opportunities
- Flexible work schedule
- Remote work preferred

---

**Contact me if you are looking for a UI/UX Designer to benefit and be part of your team.**"
98282,"# [Your Name]

## UI-UX Designer

Motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. Dedicated to creating visually appealing and user-friendly websites and applications. Committed to continuous learning and skill development.

---

## Project Experience

### Eventize — Mobile Application (2023)
Designed a comprehensive mobile application enabling users to discover and book venues and events, as well as plan personal occasions. The platform features category-based item selection and task management functionality for seamless event coordination.

### Guesture — Web Application (2022)
Created a web service connecting travelers with hosts for accommodation exchange opportunities. Users can offer payment or services in exchange for lodging. Designed with students and young travelers seeking affordable ways to explore new environments in mind.

---

## What I Offer

- Fast learner with adaptability to new challenges
- Responsible and detail-oriented approach
- Background in HR complementing user-centered design perspective

---

## Seeking

Full-time or part-time position with an innovative, growing company."
98283,"# [Your Name]
**Junior UX/UI Designer | Team Leader**

---

## Professional Summary

Responsible Junior UX/UI Designer with strong attention to detail and a user-centered approach. Dedicated to creating thoughtful, high-quality designs with 65% focus on user experience and 35% on visual design. Currently serving as Team Leader for ""Shine,"" a web service for cleaning companies, managing organizational aspects while inspiring and supporting team members.

---

## Experience

**Team Leader | Shine Web Service** | *Present*

- Lead organizational operations for a cleaning companies web service project
- Contribute directly to project development and execution
- Provide team motivation and support throughout project lifecycle

---

## Projects

**FlowerLover | Landing Page**
- Designed minimalistic one-page flower delivery website balancing imagery with usability
- Executed full design process: competitor analysis, target audience research, reference selection, moodboard, wireframes, prototype, UI kit development
- Created responsive adaptations for tablet and mobile devices
- Implemented subtle animations
- Published case study on Behance

**A Kids Place Childcare | Website Redesign**
- Redesigned website to improve client engagement and increase coverage
- Identified problems through analysis of existing site
- Conducted target audience and competitor research
- Delivered complete design process: references, moodboard, wireframes, prototypes, UI kit, adaptations, and animations
- Successfully achieved project goals; published case study on Behance

---

## Goals

Aspiring to grow as a professional UX/UI Designer and establish an independent brand."
98284,"# RESUME

## Objective

Seeking a Junior UI/UX Designer position

## Education

**Web Design (UX/UI) Courses**
UX Energy IT School | June 2018 – September 2018

## Skills

- Site structure development
- Interaction flows
- Page wireframing
- Interface requirements documentation
- Visual design (layout, color, typography, iconography)

## Software Proficiency

- Adobe Photoshop
- Adobe Illustrator
- Adobe Experience Design
- Axure
- InVision"
