,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
98298,"**UI/UX Designer**

**Professional Summary**

UI/UX designer with experience in logo design, corporate identity development, and digital product design. Skilled in market analysis, competitor research, persona development, wireframing, and creating user-centered interfaces for web services and mobile applications. Committed to designing efficient and convenient user experiences.

**Professional Experience**

**UI/UX Designer**
Freedom Web Service – Accommodation booking web service

- Conducted competitor analysis and contributed to strategy development
- Collaborated with development team on project planning and execution
- Developed wireframes and user-centered interfaces for web service
- Strengthened communication and teamwork skills in collaborative environment

**Graphic Designer**
InaMi Brand Project – Young Ukrainian women's clothing brand

- Developed logo and complete corporate identity
- Delivered project meeting client satisfaction
- Utilized Adobe Illustrator, Adobe Photoshop, and Adobe InDesign for brand development
- Worked directly with clients on graphic design deliverables

**Projects**

**Landing Page Design**
Market analysis | Competitor analysis | Persona development | Wireframes | Sitemap | UI/UX design

**Website Redesign**
Redesigned website while preserving company corporate style

**Housing Reservation Service**
Complete UI/UX design | User flow development

**Restaurant/Cafe/Bar Table Booking Application**
End-to-end application design

**Skills**

**Design Tools**
Figma | Adobe Photoshop | Adobe Illustrator | Adobe InDesign | Adobe After Effects

**UX Process**
Market analysis | Competitor analysis | Persona development | Wireframing | Sitemap creation | UI/UX design

**Professional Attributes**
Team collaboration | Leadership | Flexibility | Creativity | Organization | Interpersonal communication | Knowledge sharing"
98299,"# UI/UX Designer

## Professional Summary

Creative and detail-oriented UI/UX designer with expertise in crafting intuitive and engaging digital experiences. Proven ability to apply design principles to solve complex problems and create user-centered designs for diverse audiences. Experienced in full-cycle design, user research, and cross-functional collaboration.

## Professional Experience

**Crypto Wallet Tutis**  
Application, Full Cycle Design

- Designed secure and user-friendly platform for managing cryptocurrencies
- Conducted user research to understand crypto wallet user needs and incorporated feedback into design process
- Implemented user-centered design principles to meet target audience requirements
- Created intuitive platform providing seamless user experience while ensuring asset security
- Addressed complex design challenges including security and data privacy considerations

**Cucina di Catherina Redesign**  
Online Store Website, Full Cycle Design

- Created modern design aligned with brand vision and values
- Conducted user research to identify customer pain points and needs
- Designed new visual elements and color palette to modernize brand image and enhance aesthetic
- Improved website user experience through intuitive and engaging design
- Conducted usability testing throughout design process to validate solutions
- Increased website traffic and engagement metrics by X% post-redesign

## Skills

**Design Tools**
- Adobe Suite (Photoshop, Illustrator)
- Figma (web interfaces, mobile design, landing pages)

**UX/UI Capabilities**
- User research and competitor analysis
- User personas, user scenarios, and sitemaps
- Wireframing and prototyping
- Visual interface design
- Site map and user flow development
- Responsive design adaptation
- Redesign expertise

**Design Systems**
- Google Material Design Guidelines
- Design systems and style guides

**Visual Design**
- Icon, logo, and illustration design
- Photo editing

## Career Goals

Seeking opportunities to create engaging and intuitive user experiences across diverse projects. Committed to collaborating with cross-functional teams including product managers, developers, and stakeholders to align designs with business goals and user needs. Focused on conducting user research, developing design systems, and advocating for user-centered design principles while continuously iterating based on feedback."
98300,"**UI/UX Designer**

**Professional Summary**

Results-driven UI/UX designer specializing in intuitive, user-centered design solutions. Dedicated to crafting seamless interfaces that enhance user satisfaction and deliver measurable value. Continuously advancing expertise to drive organizational success through innovative design.

**Education & Training**

UI/UX Design Courses - Recently Completed

**Core Competencies**

- UI/UX Design
- Communication & Collaboration

**Professional Experience**

Developed strong communication and collaboration skills across multiple professional roles, fostering effective team coordination and stakeholder engagement.

**Portfolio Highlights**

Completed diverse personal UI/UX design projects demonstrating practical application of design principles and user-centered methodologies."
98301,"# UI/UX Designer

Results-driven UI/UX Designer with comprehensive expertise in digital design and user experience. Combining technical proficiency with creative problem-solving to deliver visually compelling and user-centered design solutions.

## Core Competencies

**Design Expertise:** UI/UX Design | Graphic Design | 3D Modelling | Animation | Prototyping | Design Research | Typography | Image Making | Illustration

**Technical Proficiency:** Figma | Adobe Photoshop | Adobe Illustrator | Adobe After Effects | Autodesk Maya | Adobe Premiere Pro

**Strategic Analysis:** SWOT Analysis | User Research | Design Principles & Techniques

## Professional Summary

Skilled designer with a strong foundation in design principles and user experience methodologies. Adept at leveraging industry-standard tools to create effective, user-friendly designs that balance aesthetic appeal with functional requirements. Proven ability to apply design research and analysis techniques to inform strategic design decisions.

## Education

**Design IT Step Academy**
Comprehensive training in graphic design, 3D modelling, animation, and UI/UX design"
98302,"**Junior UI/UX Designer**

Passionate about designing aesthetically pleasing and effective web and mobile applications. Driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for target audiences. With a keen eye for detail and a full cycle design approach, I analyze tasks, create prototypes, design visual styles, and implement them into usable and simple end products.

**Professional Experience**

**Team Leader | Paw Rescue Project**
- Led team organization and workflow coordination for lost and found animal service platform
- Designed visual aspects of prototypes and created convenient, modern website interface
- Conducted competitor analysis to structure website architecture and inform design decisions
- Developed clear user flow to guide users efficiently toward goals
- Collaborated on design system implementation to ensure consistency across the platform

**Selected Projects**

**Italian Sauce Website Redesign**
Revamped website to attract customers and enhance user-friendliness through comprehensive redesign. Conducted competitor research to identify successful solutions and industry best practices. Implemented improvements including updated color scheme, uniform photography, and modern typography. Created responsive adaptations for mobile and tablet versions to ensure seamless cross-device experience.

**Flower Lover Landing Page**
Analyzed target audience for flower shop website to inform design strategy. Created clear, intuitive interface incorporating all necessary menu items. Built complete interface from scratch, delivering a full-cycle design solution.

**What I'm Seeking**

Remote position in a company offering mutual respect and a friendly atmosphere, corporate training and development opportunities, and career growth potential."
98303,"# UI/UX Designer

## Skills & Expertise

Proficient in Adobe Photoshop, Figma, ProtoPie, Adobe Illustrator, and FigJam for creating user interfaces, visual designs, wireframes, and interactive prototypes

Experienced in responsive design across various screen sizes and devices, with strong understanding of design systems and their components

Skilled in developing user flows and journey maps to illustrate user paths through applications and websites

Adept at creating and modifying visual assets using graphic editing tools

Effective in managing design tasks, meeting deadlines, and collaborating with cross-functional teams

## Professional Experience

### Junior UI/UX Designer

- Collaborated with cross-functional teams to design intuitive and visually appealing user interfaces for web services and mobile applications
- Created responsive layouts optimized for various devices and platforms
- Designed mobile app screens with consideration for touch interactions, clarity, and information hierarchy
- Adapted design approaches to meet diverse project requirements while continuously developing technical skills

## Selected Projects

### Custom Concepts Tattoo Studio Website Redesign

Redesigned existing tattoo salon website to enhance customer experience and ease of use. Updated color palette, integrated high-quality photography, developed simplified booking form, and implemented structured visual hierarchy.

### PetRescue Web Application

Designed online platform to reunite lost pets with owners. Created interface enabling users to report and search for missing pets in their area, with features to facilitate effective information sharing and matching.

**Tools:** Figma, Adobe Photoshop, FigJam, Adobe Illustrator

## Languages

- Ukrainian (Native)
- Russian (Fluent)
- English (Upper-Intermediate)
- Polish (Elementary)

## Professional Approach

Committed to continuous learning and professional development in UI/UX design. Responsive to feedback and iterative design processes to optimize user experience. Focused on creating accessible designs and delivering high-quality screen-based interfaces."
98304,"# Junior UI/UX Designer

Junior UI/UX Designer specializing in creating digital experiences that offer optimal user experience and visual appeal. Expertise includes landing pages, redesigns, web services, and mobile applications.

## Professional Experience

**Team Lead & UI/UX Designer | Buki School Redesign Project**

Led team organization and project management for complete cabinet redesign initiative, addressing stakeholder concerns regarding intuitive navigation, low attendance, and user engagement.

*Key Responsibilities:*
- Organized and coordinated team workflow across all project stages
- Conducted full-scale UX research including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys
- Created clickable cabinet prototype
- Presented complete project to customer

*Outcome:* Delivered new cabinet vision enabling students to quickly and intuitively access necessary information.

**UI/UX Designer | DocMe Web Service (Team Project)**

Contributed to development of web service designed to organize and document doctor-patient meetings.

*Key Responsibilities:*
- Conducted UX research including competitor analysis, target audience analysis, personas method, JBTD, and CJM
- Designed main site
- Contributed to modifications in patient and doctor cabinets

*Outcome:* Created web service featuring automatic report generation and separate dashboard cabinets for doctors and patients.

## Skills

UX Research & Analysis • Competitive Analysis • Heuristics Analysis • In-depth Interviews & Questionnaires • Personas & Empathy Maps • Customer Journey Mapping (CJM) • Jobs-to-be-Done (JBTD) Framework • Prototyping • Client Presentations • Team Leadership & Organization"
98305,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Junior UI/UX Designer with specialized training and 6 completed case studies. Skilled in user interface and experience design principles, creating user-friendly and visually appealing interfaces. Demonstrated team leadership capabilities with proven ability to deliver projects on time that meet target audience expectations.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer & Team Leader**
Web Service for Finding Lost Pets Project

- Led cross-functional team in developing web service for finding lost pets, delivering project on time with high mentor evaluation
- Defined project direction, delegated responsibilities among team members, and facilitated team meetings
- Established efficient workflows that enabled seamless collaboration and development of intuitive interface aligned with target audience needs
- Conducted comprehensive research including competitor analysis, target audience analysis, user personas, JTBD, CJM, and User Flow development
- Managed complete design lifecycle from initial analysis through final implementation

**UI/UX Designer**
Accounting Web Service Start-Up Project (Current)

- Collaborating with development team on web service enabling accountants and related professionals to calculate salaries, bonuses, and compensation

**PROJECTS**

**Mobile Application for Coffee Shop Chain**

- Designed mobile application featuring intuitive interface, comprehensive functionality, and youth-oriented aesthetic
- Executed end-to-end design process including competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframing, visual design, and animation

**Travel Agency Website Redesign**

- Developed clean, accessible design optimized for diverse target audience
- Solved key challenges of competitive differentiation and information architecture for content-heavy website
- Conducted competitor analysis, target audience analysis, persona development, and user flow mapping
- Delivered wireframes, UI design, responsive adaptation, and animation
- Created polished design leveraging high-quality photography

**SKILLS**

User Interface Design • User Experience Design • Team Leadership • Project Management • Competitor Analysis • Target Audience Analysis • Persona Development • JTBD (Jobs To Be Done) • CJM (Customer Journey Mapping) • User Flow Development • Wireframing • Animation • Responsive Design

**CAREER OBJECTIVES**

Seeking to join a collaborative team of professionals committed to excellence, where I can apply my design expertise in practice while advancing my career growth."
98306,"# Junior UX/UI Designer

Results-oriented Junior UX/UI Designer with comprehensive training in user experience and interface design principles. Completed UX Design and Interaction Design courses on Projektor and UI/UX coursework at Skill-up School, gaining strong theoretical knowledge and practical application skills.

## Core Competencies

**UX/UI Design Process**
- Stakeholder requirement gathering and definition
- User research and analysis
- Persona development using Miro
- Task analysis and user flow mapping
- High-fidelity wireframe design
- Interactive prototyping in Figma
- Usability testing and iteration
- Project presentation and stakeholder communication

**Tools & Platforms**
- Figma
- Miro

## Project Experience

- Planner application
- eCommerce website redesign
- Landing page design
- CRM system
- Corporate website

## Professional Objective

Seeking a position to leverage my design skills, accelerate professional growth, and deliver meaningful value through user-centered design solutions."
98307,"# Junior UX/UI Designer

Freelance UX/UI Designer with experience delivering user-centered design solutions across e-commerce, education, and agricultural sectors. Skilled in user research, prototyping, and creating responsive designs that enhance engagement and usability.

## Project Experience

**E-commerce Skincare Website Redesign**
- Conducted comprehensive user research, including competitor analysis and user persona development, to identify pain points and user preferences
- Optimized usability and visual design through application of usability heuristics
- Created intuitive prototypes that simplified the user experience

**Landing Pages for Educational Courses and Agricultural Companies**
- Designed clear call-to-actions that enhanced user engagement
- Highlighted course benefits and outcomes, enabling users to quickly understand value propositions
- Developed cohesive visual systems using strategic color schemes, typography, and imagery reflecting each topic's essence
- Designed all projects to be fully responsive across devices

## Skills

**UX Design:** User research, competitor analysis, user personas, usability heuristics, prototyping

**UI Design:** Responsive design, visual systems, color theory, typography, call-to-action design

**Industries:** E-commerce, education, agriculture"
98308,"# PROFESSIONAL SUMMARY

Junior UX/UI Designer with a Digital Marketing Professional Certificate from the University of Miami and a Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations from Florida International University. Former professional athlete on the Ukrainian National Team. Passionate about digital marketing, UX/UI design, and staying current with industry trends and technology to deliver innovative solutions.

# CORE COMPETENCIES

• UX/UI Design & User Interface Development
• Digital Marketing Strategy
• User Experience Optimization
• Figma, Adobe Illustrator & Adobe Photoshop
• Creative Problem Solving
• Research & Analysis
• Attention to Detail

# PROFESSIONAL EXPERIENCE

**Junior UX/UI Designer**

Craft intuitive user interfaces that maximize user experience and drive results. Consistently deliver high-quality projects commended for creativity and attention to detail.

**Key Projects:**
- Designed web service for private medical clinic VitalMed
- Redesigned website for tattoo salon
- Created Citroen C4 landing page

# EDUCATION

**University of Miami**
Digital Marketing Professional Certificate

**Florida International University**
Bachelor's degree, Hospitality and Tourism Management
Minor, International Relations

# ATHLETIC BACKGROUND

Professional Athlete, Ukrainian National Team

# PROFESSIONAL GOALS

Seeking opportunities to work on challenging projects involving problem solving, research, and creative thinking in a supportive environment. Committed to ongoing learning and professional development to create meaningful user experiences and contribute to team success."
98309,"# PROFESSIONAL EXPERIENCE

**Junior Web Designer**
Warehousing Software Company

- Designed company website from scratch, maintaining design control through completion
- Collaborated with cross-functional team of developers and testers to ensure seamless project execution
- Created wireframes, mockups, and prototypes to effectively communicate design concepts and ideas
- Developed comprehensive marketing materials including social media covers, YouTube video previews, and promotional footage
- Produced and recorded YouTube videos demonstrating product functionality

**TECHNICAL PROFICIENCIES**

Figma | Adobe Illustrator | OBS Studio

**CORE COMPETENCIES**

Web Design | Visual Design | Marketing Materials | Prototyping | Cross-functional Collaboration

**PROFESSIONAL OBJECTIVE**

Seeking opportunities to advance design expertise and contribute to innovative projects"
98310,"**Mid-Level Product Designer**

Product designer with expertise in consumer product development, design optimization, and competitive market analysis. Delivers market-leading solutions through strategic design evaluation and systematic quality enhancement.

**Professional Experience**

• Lead product design and development from concept to execution for consumer markets
• Optimize existing product designs to enhance functionality and user experience
• Conduct competitive analysis to benchmark quality standards and performance metrics
• Evaluate competitor product concepts to inform design strategy and strengthen market positioning

**Professional Development**

Pursuing advancement to senior designer, executive, or managerial leadership roles."
98311,"**UI/UX Designer**

Results-driven UI/UX Designer with proven experience delivering custom design solutions for freelance clients. Committed to excellence with meticulous attention to detail and strong ability to rapidly acquire new skills.

**Core Competencies**
- Figma
- Prototyping
- Adobe Photoshop
- Communication & Collaboration
- Task Implementation
- Decision-Making

**Professional Experience**

**Freelance UI/UX Designer**
- Completed multiple freelance projects providing innovative, non-standard design solutions
- Executed tasks with careful attention to detail and responsible approach
- Collaborated effectively with clients through strong communication skills
- Applied sound judgment in motivation and decision-making throughout project lifecycles

**Skills & Attributes**
- Quick learner with adaptability to new technologies and methodologies
- Detail-oriented with focus on accuracy
- Effective communicator and collaborative team member

**Professional Objectives**
Seeking remote position with flexible hours"
98312,"# [Your Name]

## UX/UI Designer

### Professional Summary
UX/UI Designer with a Master's degree in Economics and professional experience in graphic design and social media content creation. Combines analytical expertise with creative design skills to develop user-centric interfaces and compelling visual experiences. Proven ability to manage branding processes, deliver projects under strict deadlines, and apply meticulous attention to detail across all work.

### Education
**Master's Degree in Economics**

**Bachelor's Degree in Economics**

### Professional Experience

**Graphic and Social Media Post Designer**
Education Center
- Designed engaging social media posts, posters, and printables for educational content
- Managed complete branding process for organization, establishing cohesive visual identity
- Created visually compelling designs across diverse project types
- Applied user-centric design principles to enhance engagement and communication effectiveness

**Auditor**
- Applied rigorous analytical thinking and attention to detail in complex financial environments
- Delivered high-quality work under strict deadlines, maintaining precision and accuracy
- Developed strong problem-solving capabilities and meticulous work methodologies

### Skills

**Design & Creative**
- Graphic Design
- Social Media Design
- Branding & Visual Identity
- User-Centric Design

**Technical & Analytical**
- Analytical Thinking
- Creative Problem-Solving
- Attention to Detail
- Deadline Management

### Professional Interests
- User experience design and interface development
- Psychology of user behavior and human-computer interaction
- Creating intuitive, accessible, and user-friendly interfaces
- Enhancing usability through thoughtful design solutions"
98313,"# Professional Experience

## UI/UX Designer

**Core Competencies**
- UX Research & User Testing
- Design Systems Creation & Implementation
- Cross-Platform Design Guidelines (Angular Material, Kendo UI, Human Interface Guidelines, Google Material Design)
- Marketing Materials & Social Media Content Development
- Mobile Design Patterns & Best Practices
- Responsive & Adaptive Design (Web, Mobile, Tablet)
- Information Architecture & Prototyping
- Wireframing & Mockups
- Competitor Analysis & Market Research
- Design Thinking Methodology
- Stakeholder & Developer Collaboration

**Key Projects**
- Mobile Applications: Designed guide application and lottery application with focus on user experience and mobile design patterns
- Corporate Website Redesign: Led comprehensive redesign with full responsive implementation across web, mobile, and tablet platforms

**Professional Achievements**
- Conducted design analysis of existing interfaces to identify improvement opportunities
- Developed comprehensive design systems utilizing Design Thinking process
- Created complete marketing material suite for marketing team initiatives
- Designed visual content for company social media presence across all platforms
- Produced detailed case studies and portfolio presentations on Behance
- Established and maintained style guides for consistent brand implementation
- Built information architecture frameworks for multiple projects
- Developed high-fidelity prototypes and adaptive designs
- Facilitated cross-functional communication between client teams and development staff"
98314,"# Professional Summary

Collaborative UI/UX designer with proven experience creating intuitive and visually appealing user interfaces for web and mobile applications. Demonstrates keen eye for detail, strong problem-solving skills, and passion for delivering exceptional user experiences. Dedicated to crafting seamless interfaces with strong foundation in design principles and commitment to continuous learning.

---

# Projects

## Table Tab Mobile App Design
**Jun 2023 - Aug 2023**

Designed mobile app solution for restaurant seat booking. Conducted reference research, developed wireframes, evaluated and selected design systems for optimal usability, and prototyped UI screens to completion. Contributed to team development of UI rewards feature for bookings to enhance user engagement.

## Host Radar Project Design
**Apr 2023 - Jun 2023**

Designed web service for work-exchange accommodation platform connecting visitors with hosts offering lodging and meals in exchange for work. Conducted market and competitor analysis, gathered process references, prepared wireframes, created animated prototypes, and delivered final design.

## Mainsal Realty Company Redesign
**Feb 2023 - Apr 2023**

Redesigned real estate company website to showcase services, strengthen customer loyalty, and support business growth. Identified usability issues and content overload through analysis. Researched and analyzed US market competitors. Delivered improved website design for enhanced user experience. Completed full project lifecycle from research through final design.

---

# Career Goals

Seeking to advance design skills and knowledge while contributing to innovative, user-centric projects. Aim to collaborate with senior designers and stakeholders, embrace new challenges, and deliver exceptional user experiences."
98315,"# [Your Name]

## UI/UX Designer

---

## PROFESSIONAL SUMMARY

UI/UX Designer and Plural Code Academy graduate with experience designing user interfaces and experiences for web and mobile applications. Proficient in Figma with demonstrated ability to create intuitive, user-centered designs. Strong problem-solver with proven ability to collaborate effectively and deliver high-quality work in fast-paced environments.

---

## EDUCATION

**Plural Code Academy**
UI/UX Design Program

---

## PROFESSIONAL EXPERIENCE

**UI/UX Design Intern**
Software Agency | Current

- Design comprehensive website and mobile interfaces for cryptocurrency platform
- Develop complete website design for resort center
- Collaborate with development teams to ensure seamless implementation of design solutions

---

## SKILLS

**Design Tools**
- Figma

**Design Expertise**
- User research and analysis
- Wireframing and prototyping
- Usability testing
- User interface design
- User experience design
- Mobile application design
- Web application design

**Core Competencies**
- Rapid learning and adaptability
- Problem-solving and critical thinking
- Cross-functional collaboration
- Deadline management
- Quality-focused delivery

---

## PROJECTS

**Salon Mobile Application**
- Designed complete mobile application upon completion of Plural Code Academy program
- Applied UI/UX principles to create seamless user experience"
98316,"# PROFESSIONAL SUMMARY

Marketing professional with over two years of experience transitioning to UI/UX design. Proven ability to deliver visually appealing design solutions through creative and strategic thinking. Strong understanding of user personas and pain points, combined with project management and communication skills developed across diverse client industries.

# SKILLS

UI/UX Research & Design | User Persona Development | Project Management | Team Leadership & Collaboration | Market Analysis | Creative Strategy | Client Communication | Figma | Adobe Photoshop | Protopie

# PROFESSIONAL EXPERIENCE

**Marketing Professional**
*2+ Years*

- Delivered visually appealing design solutions aligned with client needs and goals across diverse industries
- Developed expertise in understanding user personas and pain points to inform design strategy
- Managed project timelines and client communications for multiple concurrent initiatives
- Applied creative and strategic thinking to marketing campaigns and design deliverables

# PROJECT EXPERIENCE

**Travel Service Website | UI/UX Designer**
- Conducted comprehensive UI/UX research, design, adaptation, and prototyping for platform connecting people worldwide
- Collaborated with team of two members to successfully deliver project on schedule
- Managed project timelines and ensured alignment with user needs throughout development

**Scan-and-Go Mobile App | UI/UX Designer**
- Conducted extensive market analysis to identify opportunities for shopping process simplification
- Designed and prototyped functional mobile application following regular user patterns
- Utilized Figma, Adobe Photoshop, and Protopie to create high-fidelity designs and interactive prototype

**Case Studies Project | Team Leader**
- Led team collaboration and task management to ensure successful project completion
- Applied empathy-driven approach to modify designs and create user-friendly features meeting target audience needs
- Demonstrated project management capabilities through strategic planning and team coordination

# CAREER OBJECTIVE

Seeking UI/UX design position to leverage marketing background and design skills in creating user-friendly experiences that balance business objectives with end-user requirements through creativity, strategic thinking, and collaborative teamwork."
98317,"# UI DESIGNER

## PROFESSIONAL SUMMARY

Results-driven UI Designer with 3 years of experience crafting intuitive digital interfaces for web and mobile platforms. Expert in Figma, Adobe Photoshop, and Adobe Illustrator, delivering user-centered designs that seamlessly blend aesthetic excellence with functional navigation and meticulous attention to detail.

## CORE COMPETENCIES

• User Interface Design & Development
• User-Centered Design Methodology
• Cross-Platform Interface Design (Web & Mobile)
• Brand Identity Development
• Design Collaboration & Client Communication
• Detail-Oriented Design Approach

## TECHNICAL SKILLS

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Specializations:** Web Design, Mobile Design, User Interface Development

## PROFESSIONAL EXPERIENCE

**UI Designer**
*3 Years of Experience*

• Designed and developed user interfaces for web and mobile applications, prioritizing usability and intuitive navigation

• Created visually compelling digital experiences that drive user engagement and strengthen brand identity

• Collaborated closely with clients to translate business vision into effective design solutions

• Delivered user-friendly interfaces with strategic emphasis on ease of navigation and optimal user experience

• Applied detail-oriented approach to ensure consistency and quality across all design deliverables"
98318,"# UI/UX Designer

Dedicated to creating intuitive and visually appealing digital interfaces that enhance user experience. Completed three full-cycle projects encompassing both team collaboration and individual work, including landing pages, web services, redesigns, and mobile apps. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Canva.

## Projects

**Cozy House Web Service**  
Team project | Full cycle design

Platform for host reservation connecting travelers with hosts offering shared homes and cultural experiences while providing safe and affordable accommodation. Completed all stages of the design process: competitive analysis, user personas, JTBD, CJM, user flow, wireframes, visual design, and adaptation.

**Cucina di Catherina Website**  
Redesign | Full cycle design

Refreshed outdated website to attract potential customers by updating visual content with higher-quality imagery, restructuring information architecture for improved navigation, eliminating extraneous content, and emphasizing the product's unique selling proposition.

## Professional Goals

Seeking a full-time position to work collaboratively with a team while receiving constructive feedback to produce optimal outcomes. Eager to learn from experienced designers and contribute fresh perspective to projects."
98319,"# UI/UX Designer

Passionate UI/UX Designer specializing in visually appealing and user-friendly designs for web and mobile applications. Focused on transforming concepts into reality through designs that address user needs and simplify daily goals. Expertise in collaborative design processes with commitment to excellence.

## Professional Experience

**UI/UX Designer | Coaches Service**
*Current Position*
- Designing commercial coaches service application

**Team Lead & UI/UX Designer | Travel Service**
- Led design and development of web travel service interface for ""change of environment"" platform
- Created platform connecting hosts and tourists for apartment exchanges in return for household assistance
- Designed two distinct user flows optimized for hosts and tourists
- Developed wireframes and adaptive versions across multiple devices

## Projects

**Table Booking Service Application**
*Personal Project*
- Designed booking service application enabling users to reserve tables without calling
- Created intuitive interface allowing customers to view and select from available tables at restaurants and cafes

**Ukrainian School Website Redesign**
- Redesigned platform providing comprehensive school information with integrated contact functionality
- Created wireframes and desktop version
- Developed adaptive versions for tablet and mobile devices

## Skills

UI/UX Design | Wireframing | Adaptive Design | User Flow Design | Web Design | Mobile Design | Team Leadership"
98320,"# UI/UX Designer

## Professional Summary
UI/UX Designer with experience creating intuitive and visually appealing user interfaces and enhancing user experiences across mobile applications, websites, and software interfaces. Skilled in collaborating with cross-functional teams to translate user needs into compelling design solutions that align with user goals and business objectives.

## Core Competencies
- **Design Tools:** Sketch, Figma, Adobe XD
- **Prototyping Tools:** InVision, Marvel
- **Research & Analysis:** User Research, Usability Testing, User Feedback Analysis
- **Design Expertise:** Wireframing, User Flows, Interactive Prototyping, High-Fidelity Design
- **Specialized Skills:** Accessibility Design, Stakeholder Collaboration

## Professional Experience

**UI/UX Designer**
- Collaborate closely with product managers, developers, and designers to understand user needs and translate them into effective design solutions
- Conduct comprehensive user research and analyze user feedback to inform strategic design decisions
- Perform usability testing to validate design decisions and gather actionable insights
- Create wireframes, user flows, and visual designs aligned with user goals and business objectives
- Design interfaces prioritizing usability and accessibility for diverse user base
- Stay current with emerging UI/UX design trends, best practices, and accessibility guidelines

## Featured Projects

**Mobile Banking Application**
- Designed mobile banking application focused on intuitive user interface and seamless user experience

**Health App User Research**
- Conducted user research for health application
- Analyzed user feedback to inform design decisions"
98321,"# UI/UX Designer

## Professional Summary
UI/UX designer specializing in user-centered design concepts for web and mobile applications. Experienced in comprehensive design processes including task analysis, interface prototyping, visual style development, and delivering user-friendly final products through personal and collaborative projects.

## Skills & Expertise
- Problem definition and competitive analysis
- Target audience research and customer journey mapping
- User flow development
- Wireframing and prototyping
- Responsive design (desktop, mobile, and tablet)
- Visual style development

## Tools & Software
Figma | Adobe Photoshop | Adobe Illustrator | FigJam

## Projects

**Travel Go** | Web Service
Designed a web service enabling users to organize affordable international stays through volunteering opportunities. Led complete design process including problem definition, competitive analysis, target audience identification, customer journey mapping, user flow development, wireframing, prototyping, and responsive design for mobile and tablet platforms.

**ReserveNow** | Mobile Application
Designed a restaurant table booking application with interactive hall layouts, seat selection, and time-based reservations. Executed full design process from user research through prototyping to address user needs and pain points.

## Additional Experience
Personal and team projects focusing on comprehensive UI/UX design solutions from initial problem analysis through final product delivery."
98322,"# UI/UX Designer

## Professional Summary

Creative and detail-oriented UI/UX Designer with 1.5 years of web design experience specializing in user-centered interfaces. Proven ability to deliver visually appealing, intuitive, and accessible digital experiences that align with industry standards and project objectives.

## Core Competencies

• UI/UX Design Principles & Best Practices
• Wireframing & Prototyping
• High-Fidelity Design Development
• Responsive Web Design
• Accessibility Standards Compliance
• Cross-Functional Team Collaboration
• User-Centered Design Methodology

## Technical Skills

**Design Tools:** Sketch, Adobe XD, Figma

## Professional Experience

**UI/UX Designer** | 1.5 Years

• Designed user-centered interfaces for websites and web applications emphasizing visual appeal, intuitive navigation, and usability
• Created wireframes, prototypes, and high-fidelity designs aligned with project requirements and stakeholder expectations
• Developed responsive and accessible web designs meeting industry standards and current design trends
• Collaborated with cross-functional teams including designers, developers, and stakeholders to deliver high-quality design solutions
• Consistently met project objectives and deadlines through effective communication and teamwork"
98323,"# UX/UI Designer

## Professional Summary

UX/UI Designer with proven expertise in leading design teams, conducting user research, and delivering comprehensive interface solutions. Skilled in balancing business objectives with user needs while fostering collaborative environments that drive innovation and project success.

## Professional Experience

**UX/UI Design Team Lead**  
2022-2023  
• Led design team in executing UX research, prototyping, and design delivery with focus on knowledge sharing and collaboration  
• Ensured consistent delivery of high-quality design projects through effective leadership and team coordination  
• Cultivated collaborative environment that promoted creativity, innovation, and professional development

**UX/UI Designer**  
February 2023 - March 2023  
• Designed end-to-end interface for medical clinic, managing project from concept through final implementation  
• Conducted comprehensive UX research to develop user-friendly and intuitive design solutions  
• Aligned business requirements with user needs to deliver effective, functional interface design  
• Collaborated with cross-functional team members to achieve project objectives and deadlines

**Freelance Graphic & UX/UI Designer**  
March 2023 - Present  
• Design and develop websites and social media content for diverse client base  
• Manage client relationships independently while contributing effectively to collaborative team projects  
• Execute projects spanning graphic design and UX/UI disciplines with consistent quality

## Education & Training

**UX/UI Design Course**  
Ukraine  
Completed comprehensive UX/UI design training program

## Core Competencies

• UX Research & Analysis  
• Interface Design  
• Prototyping & Wireframing  
• Team Leadership & Management  
• Graphic Design  
• Website Development  
• Client Relationship Management  
• Cross-functional Collaboration"
