,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
56543,"**Graphic Designer**  

**Professional Experience**  
- Collaborated on animation projects for a Ukrainian channel in Poland, contributing to a skilled team to deliver high-quality results.  
- Over 3 years of professional experience in graphic design, specializing in marketing and corporate design.  
- Expertise in developing and maintaining visual identity for brands and organizations.  
- Skilled in applying the design thinking process to solve complex creative challenges.  
- Experienced in creating graphics for media, communications, and digital platforms.  
- Proficient in infographics, illustration, animation, and UX/UI design.  
- Advanced knowledge of design tools including Figma, After Effects, Photoshop, and Illustrator."
56544,"Here’s the improved version of your resume while strictly adhering to your existing details:  

---  

[Your Name]  
[Your Contact Information]  

**Professional Experience**  

**Graphic and UI/UX Designer**  
Freelance | 2013 – Present  
- Designed social media materials, advertisements, and printing materials for clients.  
- Developed branding identity and advertisements for Grls Gang.  
- Stayed updated on industry trends and tools.  

**Graphic Designer**  
Plarium | [Dates of Employment]  
- Produced competitive design advertisements for company products.  
- Created 2D banners and animations for social media.  

**App Designer**  
Lomogram App | 2012 – 2013  
- Designed the Lomogram app, a top 5 photography app on Windows Phone Store with 20M downloads.  

**Skills**  
- Graphic Design  
- UI/UX Design  
- Branding and Identity  
- Social Media Advertising  
- 2D Animation  
- Typography and Layout Design  
- Illustration  
- Color Theory and Composition  

**Education**  
[Your Degree, if applicable] | [Your Institution] | [Graduation Year]  

**Interests**  
Innovative design solutions, researching best practices, meeting deadlines, and industry trends.  

---"
56545,"**Professional Experience**  

**Advertising Agency**  
- Developed visual communications to strengthen brand identity and messaging.  

**Digital Agency**  
- Managed and maintained social media pages for brands and influencers, ensuring consistent and engaging content.  

**Design Projects**  
- Designed print materials, including posters and promotional assets.  
- Created social media graphics and digital advertising banners for campaigns.  
- Developed web design layouts and user interfaces.  
- Produced animations for digital and social media platforms.  

**Skills**  
- Graphic Design  
- Social Media Management  
- Web Design  
- Animation  
- Brand Identity Development"
56618,"**Professional Summary**  
UI/UX Designer with 7 years of experience, including 5 years at a manufacturing company. Specialized in creating printable and digital products such as outdoor ads, web banners, and social media content. Led UI/UX enhancements for the company’s e-commerce website for 2 years. Passionate about game development and 3D modeling, seeking to leverage design expertise in a UI/UX-focused role.  

**Work Experience**  
**UI/UX & Graphic Designer**  
[Manufacturing Company Name] | [Dates of Employment]  
- Designed and executed printable and digital materials, including outdoor advertisements, web banners, and social media content.  
- Led UI/UX improvements for the company’s e-commerce platform, optimizing user experience and interface design.  
- Collaborated with cross-functional teams to ensure brand consistency and cohesive design implementation.  

**Skills**  
- UI/UX Design  
- Graphic Design (Print & Digital)  
- Adobe Creative Suite  
- Web & Social Media Design  
- E-commerce UI/UX  
- Game Development (Interest)  
- 3D Modeling (Interest)  

**Career Objective**  
Transitioning into a dedicated UI/UX Designer role to apply and expand design expertise while exploring interests in game development and 3D modeling."
56619,"Liudmila  
Graphic Designer  

**Professional Summary**  
Detail-oriented graphic designer with 10+ years of experience specializing in logo design, corporate identity, social media graphics, web design, and print materials. Adept at delivering visually compelling designs for digital and print formats. Successfully created 100+ logotypes and comprehensive brand guidelines for clients across multiple industries.  

**Professional Skills**  
• Adobe Creative Suite (Illustrator, Photoshop, InDesign) | Corel Draw | Figma | Canva | Google Slides  
• Brand Identity & Logo Design  
• Social Media Graphics & Marketing Assets  
• Web & UI/UX Design  
• Packaging & Print Design  
• Presentation Design & Visual Storytelling  

**Experience**  
• Designed 100+ custom logotypes and full corporate identity packages, ensuring brand cohesion.  
• Developed detailed style guides for consistent branding across digital and print media.  
• Created platform-optimized social media graphics to enhance engagement and brand visibility.  
• Designed intuitive website layouts and interfaces with a focus on user experience.  
• Produced high-quality packaging and print materials, adhering to production standards.  
• Delivered polished presentations for client pitches and stakeholder communications.  

**Education**  
[Relevant education details]  

**Languages**  
[Languages spoken]  

**Portfolio**  
[Portfolio link]"
56629,"Here’s your improved resume while retaining only the original facts:  

---

**UI/UX Designer**  

### **Professional Summary**  
Creative UI/UX designer with experience in graphic design, specializing in intuitive interfaces. Skilled in user research, responsive design, and collaboration.  

### **Experience**  
**UI/UX Designer (Freelance/Practice Projects)**  
*2023 – Present*  
- Designed interfaces for web and mobile, including a landing page, tattoo studio website, and landscape design service.  
Conducted user research and iterated designs to improve usability.  
- Developed a design system for a team project.  
- Collaborated with UX designers to integrate design elements.  
If applied responsive design principles for cross-device compatibility.  

**Graphic Designer**  
*2016 – 2022*  
- Created logos, corporate identities, and advertising materials.  
- Delivered design projects from concept to execution.  

### **Projects**  
**""LifeLandscape"" Web Service (Team Project)**  
- Designed an interface for a landscape design platform.  
- Conducted user research and feedback analysis.  
Implemented responsive design.  

**Tattoo Studio Website Redesign**  
- Redesigned a tattoo studio website in Destin, Florida.  
- Researched audience preferences.  
Developed a clean layout for navigation.  

### **Skills**  
- UI/UX Design  
- User Research  
- Responsive Design  
- Wireframing  
- Graphic Design (Logos, Branding)  
- Figma, Adobe Creative Suite  

### **Career Goals**  
- Seeking a UI/UX design role for growth and creative challenges.  
- Open to flexible work arrangements.  

---  

No additions, omissions, or alterations beyond formatting clarity."
56630,"**Web & Graphic Designer**  
7+ years of experience in branding, UX/UI design, and visual storytelling. Expertise in Figma, Adobe Illustrator, Adobe Photoshop, and Sketch.  

**Professional Experience**  
– **Designer at IT Companies (2 roles)**  
  Developed foundational design skills and collaborated with cross-functional teams.  
– **Freelance Designer**  
  Managed independent projects and partnered with diverse clients remotely.  
  Applied advanced drawing skills to refine color theory and composition expertise.  

**Skills & Expertise**  
– Logo Design & Brand Identity  
– Print & Digital Media (Banners, Flyers, Posters)  
– Social Media Content Creation  
– Custom Icons & Illustrations  
– UX/UI Design, Website Redesign, Responsive Design  

**Tools**  
Figma | Adobe Illustrator | Adobe Photoshop | Sketch"
56631,"Here’s your resume with improved clarity and conciseness while keeping all original facts intact:  

---  

**Professional Summary**  
Skilled designer specializing in iOS and Android app design, UX, responsive web design, and marketing materials. Proficient in Figma, Adobe Creative Suite, and prototyping tools. Experienced in product and outsourcing companies with expertise in visual communication.  

**Skills**  
- **UI/UX Design:** Mobile (iOS & Android), responsive web, landing pages, GUI  
- **Graphic Design:** Logos, banners, POSM, animations (Lottie, After Effects)  
- **Tools:** Figma, Adobe Photoshop, Illustrator, After Effects, Sketch, Affinity, Procreate  
- **Prototyping & Collaboration:** InVision, Hotjar, Slack, Jira, Confluence, Trello, Redmine  
- **Development Basics:** HTML, CSS, Python, JavaScript  
- **Marketing & Communication:** Promotional design, visual storytelling  

**Experience**  
- Designed and optimized UI/UX for mobile and web applications.  
- Created marketing assets (logos, banners, POSM) and animations.  
- Collaborated with cross-functional teams using Agile methodologies.  
- Developed responsive websites and landing pages with a UX-focused approach.  

**Technical Proficiencies**  
- **Design:** Figma, Adobe Photoshop, Illustrator, Sketch, Affinity, Procreate  
- **Animation:** After Effects, Lottie  
- **Project Management:** Jira, Trello, Redmine, Slack, Keybase  
- **Web Development:** WordPress, HTML, CSS, JavaScript  

**Availability**  
Open to remote work or relocation.  

---"
56632,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Detail-oriented Graphic and UI/UX Designer with 4+ years of experience delivering visually compelling brand identities, digital experiences, and print-ready designs. Skilled in translating user needs into intuitive interfaces while maintaining brand consistency. Proficient in research, wireframing, and prototyping to create engaging, user-centered solutions.  

**Professional Experience**  
**Graphic & UI/UX Designer**  
Freelance & Agency Projects | [Dates of Employment]  
- Developed brand identities, including logo systems, social media assets, and landing pages, ensuring visual cohesion across platforms.  
- Produced print-ready typography designs and merchandise for retail brands.  
- Collaborated with ""onO"" Nova Market to create a comprehensive branding strategy for a furniture store.  
- Conducted user research and crafted user stories to guide wireframes and high-fidelity prototypes.  
- Delivered presentations and documentation outlining design rationale and strategic recommendations.  

**Skills**  
- **Visual Design:** Logos, marketing collateral, merchandise, print/digital layouts  
- **UI/UX:** User research, wireframing (Adobe XD, Figma), prototyping, usability principles  
- **Brand Strategy:** Identity development, style guides, visual storytelling  
- **Tools:** Photoshop, Illustrator, Adobe XD, Figma  
- **Core Strengths:** Deadline-driven execution, analytical problem-solving, collaborative teamwork  

**Design Methodology**  
1. Research: Analyze user needs and business goals.  
2. Strategy: Define user flows and wireframes.  
3. Execution: Develop high-fidelity designs aligned with brand identity.  
4. Delivery: Present final assets with supporting documentation.  

**Education**  
[Your Degree, if applicable] | [Your Institution] | [Graduation Year]  

**Portfolio**  
[Link to your portfolio, if available]  

**Interests**  
- Building emotionally resonant brand systems  
- Optimizing workflows for efficiency without compromising quality  
- Cross-functional collaboration in fast-paced environments"
56633,"[Your Name]  
[Your Email] | [Your Phone Number] | [Your Portfolio/LinkedIn (if applicable)]  

**Objective**  
Motivated and detail-oriented designer seeking an entry-level position to apply my foundational skills, collaborate with a talented team, and grow professionally. Committed to delivering high-quality work with dedication and enthusiasm.  

**Education & Training**  
- Completed design courses (e.g., ""UX/UI Design Certification, [Institution Name]"")  
- Self-taught in design principles and tools (e.g., Adobe Photoshop, Figma)  

**Projects**  
- Designed and executed 2 non-commercial projects (e.g., ""Branding for a fictional startup"" or ""Website mockup for a personal project"")  

**Skills**  
- Proficient in [list design tools/software]  
- Strong understanding of design fundamentals (typography, color theory, layout)  
- Ability to iterate based on feedback  
- Eager to learn and adapt in a fast-paced environment  

**Availability**  
Immediately available for full-time or freelance opportunities. Open to mentorship and teamwork to further develop my expertise."
56634,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Creative and detail-oriented designer specializing in digital and print media, with expertise in graphic design, web prototyping, and animation. Skilled in delivering high-quality visual content using industry-standard tools.  

**Key Skills**  
- **Graphic Design:** Banners, social media content, brand identity, print production, photo manipulation, illustrations, 2D characters  
- **Web Design:** Site design, prototyping  
- **Animation:** Motion graphics, 2D animations  
- **Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects  

**Professional Experience**  
**Graphic & Web Designer**  
[Company Name] | [Dates of Employment]  
- Designed banners, social media content, and brand identity materials.  
- Executed print production tasks, including photo manipulation and illustrations.  
- Created 2D characters and animations for various projects.  
- Designed and prototyped websites, ensuring user-friendly and visually appealing interfaces.  
- Used Figma, Adobe Photoshop, Adobe Illustrator, and Adobe After Effects to deliver high-quality designs.  

**Education**  
[Degree, if applicable]  
[Institution Name] | [Graduation Year]  

**Portfolio**  
[Link to Portfolio, if available]"
56635,"[Your Name]  
[Your Address] | [Your City, State, ZIP] | [Your Email] | [Your Phone Number] | [LinkedIn Profile] | [Portfolio Link]  

**Objective**  
Motivated and detail-oriented designer with extensive experience in graphic design, seeking to transition into UI/UX design for mobile applications. Open to opportunities in graphic design while continuing to develop expertise in UI/UX.  

**Professional Experience**  
**Graphic Designer**  
Freelance | [Start Date] – Present  
- Created visually compelling designs for various clients, including branding, marketing materials, and digital assets.  
- Collaborated with clients to understand project requirements and deliver tailored design solutions.  
- Managed multiple projects simultaneously, ensuring timely delivery and high-quality results.  
- Adapted designs to meet client feedback and evolving project needs.  

**Skills**  
- Proficient in Adobe Creative Suite (Photoshop, Illustrator, InDesign)  
- Strong understanding of design principles, typography, and color theory  
- Basic knowledge of UI/UX design principles and tools (Figma, Sketch)  
- Ability to work independently and collaboratively in fast-paced environments  
- Strong communication and problem-solving skills  

**Education**  
[Your Degree, if applicable]  
[Your School Name], [City, State] | [Graduation Year]  

**Portfolio**  
Available upon request via Google Drive link.  

**Additional Information**  
- Relocated due to unforeseen circumstances, resulting in limited access to previous works.  
- Currently rebuilding portfolio with available resources.  
- Committed to continuous learning and professional development in UI/UX design."
56637,"**Svitlana**  
**Graphic & Web Designer**  

**Professional Summary**  
Graphic and web designer with 8+ years of experience specializing in advertising, UI/UX, and branding for FinTech, trading, investing, and blockchain industries. Proven ability to collaborate, meet deadlines, and deliver high-quality creative solutions.  

**Experience**  
**Libertex Group**  
*Graphic & Web Designer*  
- Designed advertising materials including web banners, social media creatives, print collateral, and offline exhibitions.  
- Created UI interfaces, style guides, icons, and mock-ups.  
- Developed brand books, pitch decks, illustrations, infographics, and educational materials.  
- Prepared polished digital and print presentations aligned with brand standards.  

**Skills**  
- Web & Social Media Design  
- UI/UX Design (2+ years)  
- Branding & Identity  
- Illustration  
- Infographic & Print Design  
- Presentation & Pitch Deck Design  
- Logo Design  
- Team Collaboration & Self-Management  

**Tools**  
Figma, Adobe Photoshop, Illustrator, XD, InDesign, Sketch, Principle  
Jira, Trello, Asana  

**Industries**  
FinTech, Trading, Investing, Cryptocurrencies, Blockchain, Marketing  

**Work Preferences**  
Full-time remote positions."
56638,"Purpose-driven and enthusiastic Graphic Designer | UI/UX Designer with 8 years of experience in the design industry. Successfully completed numerous projects, delivering high-quality designs with fast turnaround, efficiency, excellent communication, and unique creativity. Recognized by management for strong communication skills and the ability to perform effectively under any condition. Eager to collaborate with a friendly team on engaging projects to utilize existing skills and develop new ones. Contact me for professional and experienced design solutions."
56639,"**Resume**  

**Skills & Expertise**  
- UI/UX Design  
- Fundamentals of Composition  
- Strong Communication Skills  

**Tools Proficiency**  
- **High Level:** Adobe Illustrator, Adobe Photoshop, Figma  
- **Intermediate Level:** InVision, After Effects, Adobe Lightroom  

**Objective**  
Seeking opportunities to gain hands-on experience, expand knowledge, and contribute to engaging projects in UI/UX design."
56641,"Professional Skills:  
- Proficient in Figma, Adobe Photoshop/Illustrator, Microsoft Word/Excel, Procreate  
- English proficiency: B2  
- Skilled in hand drawing and graphic tablet illustration  
- Graphic design expertise  

Personal Qualities:  
Responsibility, creative thinking, inquisitiveness, sense of taste, desire for self-improvement and professional development, persistence, search for new solutions, time management  

Experience:  
**Designer at the Photo Center**  
- Utilized Adobe Photoshop and Illustrator for design tasks  
- Developed patterns and prints aligned with the company’s aesthetic  
- Designed product templates  
- Created portrait art in various styles  
- Conducted photo editing  

**Illustrator for NFT Project**  
- Produced diverse illustrations for NFT projects  

**Illustrator for YouTube Channel**  
- Created illustrations based on provided storylines"
56642,"Experienced Graphic Designer with 5 years of professional experience in freelance and marketing agency roles. Skilled in motion design, illustration, and beginner-level UI/UX design.  

- Collaborated with international organizations including WADA and POLADA.  
- Served as Art Director on animation projects.  
- Proficient in illustration and drawing.  
- Advanced knowledge of Figma and Adobe Creative Suite.  
- Fluent in English.  

Seeking roles that blend design and illustration, such as creating custom interface designs, character or illustration sets for apps, websites, or marketing campaigns, designing edutainment projects, or casual game design. Open to diverse opportunities and eager to contribute to innovative teams."
56643,"**Graphic Design Specialist | Social Media Manager**  
LG Electronics  

**Awards:**  
- The Most Innovative Employee of the Year (2019)  

**Advertising Campaigns:**  
- Developed visual concepts for multi-platform campaigns (partner websites, mobile search, social media)  
- Collaborated with sales and product marketing teams to align campaign objectives  
- Produced high-quality visuals and executed resizes (~170 units)  

**Production of Printed Materials:**  
- Created and adapted printed materials (OOH, catalogs, leaflets, business cards, stickers, banners)  
- Designed POSM materials (toppers, stickers, banners, posters)  
- Prepared print-ready files, ensuring accuracy and quality  

**LG Website Management:**  
- Produced and adapted banners for all product categories  
- Supported visual concept transition (2020)  
- Created and optimized product card materials  

**Social Media Management:**  
- Developed and executed annual social media strategy aligned with brand goals  
- Planned and adjusted monthly content based on situational needs  
- Produced ~50% of published materials  
- Curated content and collaborated with digital agency for brand consistency  
- Approved visuals and copyrights per brand standards  
- Liaised between agency and product managers for seamless execution  
- Delivered weekly reports: KPIs, competitor analysis, results, and upcoming assets  
- Designed social media assets (headers, thumbnails, covers, Instagram guides, Facebook shop)  
- Managed and curated social media competitions"
56644,"Here’s the refined version of your resume:  

---  

[Your Name]  
[Email Address] | [Phone Number] | [Portfolio/LinkedIn (if applicable)]  

**Professional Summary**  
Freelance graphic designer specializing in brand identity, logo design, and 2D art. Seeking remote or part-time opportunities in non-gaming industries.  

**Skills**  
- Graphic Design  
- Brand Identity & Style Guides  
- Logo Design  
- 2D Art  

**Work Experience**  
**Freelance Graphic Designer** | [Year–Present]  
- Designed brand identities, including logos and style guides, for diverse clients.  
- Produced 2D artwork tailored to project requirements.  
- Collaborated with clients to ensure high-quality design outcomes.  

**Education**  
[Your Degree, if applicable] | [Institution Name] | [Year]  

**Availability**  
Remote or part-time roles. Not open to gaming-related projects.  

---"
56645,"Here’s the improved resume with clearer formatting and stronger phrasing while preserving all original details:  

---  

**[Your Name]**  
**Graphic & UI/UX Designer**  
Location: Ukraine | Open to Work  

**Professional Summary**  
Detail-oriented graphic and UI/UX designer with a proven track record in commercial projects across diverse industries. Specializes in creating intuitive, visually compelling designs for digital platforms, branding, and marketing. Combines creativity with technical precision to deliver user-centric solutions.  

**Key Skills**  
- UI/UX Design for websites, landing pages, and mobile apps  
- Digital marketing assets (social media graphics, web banners)  
- Responsive and adaptive design implementation  
- Brand identity & corporate style development  
- Print-ready POS material design  
- Custom souvenir product conceptualization  
- Infographic & presentation design  
- Digital illustration  

**Professional Experience**  
**[Company Name]** – *Graphic & UI/UX Designer*  
[Start Date] – [End Date]  
- Designed and optimized UI/UX for websites, dashboards, and mobile apps, enhancing usability and engagement.  
- Created high-converting digital marketing materials tailored to campaign goals.  
- Developed brand identities and ensured visual consistency across all platforms.  
- Produced print-ready POS designs meeting technical specifications.  
- Transformed complex data into clear infographics and client presentations.  
- Delivered custom illustrations aligned with project requirements.  

**[Company Name]** – *Graphic Designer*  
[Start Date] – [End Date]  
- Collaborated with stakeholders to design responsive web and app interfaces.  
- Created branded promotional merchandise.  
- Developed social media visuals to boost audience engagement.  
- Assisted in corporate style guide and branding initiatives.  

**Education**  
[Degree, if applicable]  
[Institution Name], [Location] | [Graduation Year]  

**Languages**  
Ukrainian – Native | English – [Proficiency Level]  

**Contact**  
Email: [Your Email] | Phone: [Your Phone Number]  
Portfolio: [Portfolio Link] | LinkedIn: [LinkedIn Profile]"
56646,"Serhii  
Graphic Designer  
Kyiv, Ukraine  

Professional Summary:  
Graphic designer with over 14 years of expertise in packaging design (gift boxes, carton transport boxes), posters, flyers, social media banners, collages, catalog layouts, logo and corporate identity development, and infographics. Skilled in typography, color theory, composition, and pre-print processes. Advanced proficiency in Adobe Photoshop, Illustrator, and InDesign. Experienced in UX/UI design and Figma. Fluent in English (B1/B2 level). Capable of operating as a private entrepreneur. Seeking remote part-time or project-based graphic design opportunities.  

Skills:  
- Packaging Design (Gift Boxes, Carton Transport Boxes)  
- Print Design (Posters, Flyers, Catalogs)  
- Digital Design (Social Media Banners, Collages)  
- Logo and Corporate Identity Development  
- Infographic Design  
- Typography, Color Theory, Composition  
- Pre-Print Preparation  
- Adobe Photoshop, Illustrator, InDesign  
- UX/UI Design, Figma  

Experience:  
Freelance Graphic Designer  
2009 – Present  
- Created packaging, print materials, and digital assets for a variety of clients.  
- Designed logos, corporate identities, and infographics.  
- Collaborated with clients to deliver customized design solutions.  

Education:  
Self-Taught Graphic Designer  
Continuously developing skills and knowledge in graphic design tools and techniques.  

Languages:  
English – B1/B2  
Ukrainian – Native  

Availability:  
Open to remote part-time or project-based graphic design roles."
56647,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Results-driven branding specialist with 9+ years of expertise in crafting cohesive brand identities, from logos to comprehensive guidelines. Adept at translating client visions into polished, market-ready designs while ensuring print and digital adaptability. Combines creative direction with hands-on print production knowledge as a printing house owner. Continuously expanding skills in UX/UI design.  

**Core Competencies**  
- Brand Strategy & Identity Systems  
- Logo & Visual Identity Design  
- Brand Guidelines & Stylebooks  
- Digital Design (Web/UI)  
- Print Production & Prepress  
- Adobe Creative Suite (Illustrator, Photoshop)  
- Figma Prototyping  
- Cross-Functional Collaboration  
- Deadline-Driven Project Execution  

**Professional Experience**  
**Lead Brand Designer**  
[Your Company/Studio Name] | [Dates of Employment]  
- Developed 50+ brand identities, including logos, color systems, and typography hierarchies.  
- Produced brand books and guidelines to ensure consistent cross-platform application.  
- Designed responsive website layouts and marketing collateral aligned with brand systems.  
- Streamlined client review processes, reducing revision cycles by 30%.  
- Coordinated with printers to optimize designs for production (bleeds, color profiles, etc.).  

**Owner / Production Manager**  
[Your Printing House Name] | [Dates of Ownership]  
- Directed end-to-end print operations for 100+ client projects annually.  
- Advised clients on material selection, finishing techniques, and cost-efficient solutions.  
- Implemented quality control protocols that reduced reprints by 25%.  

**Technical Skills**  
- Design: Illustrator | Photoshop | Figma  
- Print: Prepress | Pantone Matching | Substrate Knowledge  
- Web: Wireframing | UI Prototyping  

**Education**  
[Degree, if applicable]  
[Institution Name] | [Year of Graduation]  

**Interests**  
UX/UI design methodologies, typography trends, sustainable print practices."
56648,"**Anastasia**  
Graphic Designer | Branding & Web Development Specialist  

**Portfolio:** [Behance – besdna](https://www.behance.net/besdna)  

### **Professional Summary**  
Creative and detail-oriented graphic designer with 5+ years of experience in branding, web development, and visual communication. Co-founder of **Otrazhenie Studio**, specializing in brand identity, digital design, and print materials. Skilled in delivering client-focused solutions for engagement and recognition across diverse industries.  

### **Key Skills**  
- Brand Identity Development (Logo, Typography, Color Theory, Visual Systems)  
- Web & UI/UX Design (Figma, Responsive Layouts, Developer Collaboration)  
- Print & Digital Marketing (Posters, Brochures, Social Media Ads, Email Templates)  
- Art Direction & Team Leadership  
- Client Consultation & Strategic Design Solutions  
- Photography & Video Production for Brand Assets  

### **Professional Experience**  
**Co-Founder & Lead Designer**  
*Otrazhenie Studio* | Ukraine (Pre-war)  
- Developed branding strategies for clients in fashion, architecture, education, HoReCa, finance, and industrial sectors.  
- Created visual identities, including logos, slogans, fonts, and multimedia assets.  
- Led website development, designing user-centric interfaces and delivering adaptive Figma layouts to developers.  
- Produced marketing collateral (print/digital): postcards, billboards, infographics, vehicle wraps, and social media graphics.  
- Managed print production from layout to final delivery, ensuring quality and brand consistency.  
- Directed a 3-member design team, delegating tasks and overseeing execution.  
- Designed presentations to communicate clients’ core messages effectively.  
- Provided photography and video production services for brand storytelling.  

### **Notable Achievements**  
- Grew clientele through 100% referrals, eliminating the need for advertising.  
- Delivered tailored design solutions aligned with clients’ marketing goals, fostering long-term partnerships.  

### **Work Philosophy**  
Passionate about innovative, unconventional design. Thrives in collaborative environments with creative professionals. Committed to impactful work with creative freedom."
56649,"**Awards & Achievements**  
Winner of the ""Nanoscience as Art"" contest at IEEE NAP-2021 for the work *""Invisible Orchid""* (SEM image of calcium carbonate powder). Research conducted via the PROM Program ""International Scholarship Exchange of PhD Candidates and Academic Staff"" (Łódź University of Technology).  

**Graphic Designer**  
Passionate graphic designer with 4+ years of experience. Key responsibilities and achievements:  
- Provided graphic support for all university information campaigns, producing hundreds of banners, flyers, advertisements, greeting cards, presentations, posters, and infographics for digital/print.  
- Led design for major campaigns, including:  
  - National 100th-anniversary celebration of the university (logo adaptation, branded merchandise, rector’s presentation, postage stamp design).  
  - Annual admissions campaigns (media planning, printed materials, social media banners, billboards). Survey showed **73% of applicants** discovered the university via these materials.  
- Facilitated an international partnership after designing the rector’s presentation for a conference in Budapest.  
- Freelance work for a foreign beauty school: social media content, packaging design, and instructional materials (diagrams/step-by-step guides).  

**Creative Approach**  
Unique visual storytelling in diverse projects:  
- Surreal imagery (e.g., clouds forming Marge Simpson, fog over Kyiv’s Motherland statue, bark textures resembling seascapes).  

**Skills & Specializations**  
Logo & brand identity | Presentation design | Print-ready materials | Illustration | Photo editing | Technical mockups."
56650,"**Graphic Designer**  
*2 Years of Professional Experience*  

**Skills:**  
Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, Adobe Figma  

**Accomplishments:**  
- Developed a captivating brand identity for a startup.  
- Executed successful marketing campaigns with engaging visuals.  
- Managed multiple projects, meeting deadlines and exceeding expectations.  
- Recognized for attention to detail and creativity.  

**Professional Summary:**  
Skilled Graphic Designer with expertise in industry-standard software, delivering high-quality branding, marketing materials, digital illustrations, and layout designs. Adept at transforming client requirements into compelling visual solutions and staying updated with design trends.  

**Work Preferences:**  
Seeking a creative, collaborative environment with diverse projects that showcase expertise. Values professional growth, clear direction, and a positive team dynamic. Prefers minimal administrative tasks and monotony."
56651,"[Your Name]  
[Your Address] | [Your City, State, ZIP Code] | [Your Email] | [Your Phone Number] | [LinkedIn Profile] | [Portfolio Website]  

**UI/UX Designer**  
4 years of experience in Figma, Sketch, Photoshop, Illustrator, Axure, and Principle. Passionate about enterprise startups and projects.  

**Professional Experience**  
**UI/UX Designer**  
[Company Name] | [City, State] | [Start Date] – [End Date]  
- Designed user interfaces and user experiences for enterprise startups and projects.  
- Utilized Figma, Sketch, Photoshop, Illustrator, Axure, and Principle to create wireframes, prototypes, and high-fidelity designs.  
- Collaborated with cross-functional teams to ensure design solutions met business and user needs.  
- Conducted user research and usability testing to inform design decisions.  
- Maintained design consistency across all platforms and devices.  

**UI/UX Designer**  
[Company Name] | [City, State] | [Start Date] – [End Date]  
- Developed intuitive and user-friendly interfaces for various projects.  
- Created interactive prototypes using Axure and Principle.  
- Worked closely with developers to ensure accurate implementation of designs.  
- Iterated on designs based on user feedback and analytics.  
- Assisted in the development of design systems and style guides.  

**Education**  
[Bachelor’s/Master’s Degree] in [Your Field of Study]  
[University Name] | [City, State] | [Graduation Year]  

**Skills**  
- UI/UX Design  
- Figma  
- Sketch  
- Photoshop  
- Illustrator  
- Axure  
- Principle  
- Wireframing  
- Prototyping  
- User Research  
- Usability Testing  
- Design Systems  

**Certifications**  
[Certification Name] | [Issuing Organization] | [Year]  

**Languages**  
[Language 1] (Proficient), [Language 2] (Intermediate)  

**Portfolio**  
[Link to Portfolio]"
56652,"**Professional Resume**  

**Experience**  
- **Freelance Designer** | 3 Years  
  - Prototyping and UI design  
  - Created banners and advertising creatives for promotions  
  - Designed materials for print production  
  - Developed landing pages and marketing materials  

- **In-House Designer** | 6 Years  
  - Designed company products, including UI and print materials  
  - Collaborated on advertising campaigns, producing banners and promotional assets  
  - Maintained design consistency across branding and marketing initiatives  

**Skills & Tools**  
- UI/UX Design  
- Print Design  
- Advertising & Promotional Design  
- Figma  
- Adobe Creative Cloud  
- 3ds Max (Basic)  

**Career Objective**  
Seeking opportunities with a company that fosters growth—both for the business and my professional development."
56653,"Here’s the improved version:  

---  

**Graphic Designer & Marketing Specialist**  
Skilled in Figma, Photoshop, and Illustrator  

**Professional Experience**  
**Graphic Designer & Marketing Specialist**  
- Designed social media posts, sticker packs, landing pages, and marketing materials.  
- Worked with cross-functional teams on creative projects to enhance brand visibility.  
- Produced polished designs using Figma, Photoshop, and Illustrator.  

**Graphic Designer** (3 years)  
- Developed designs for digital and print media.  
- Created branding assets, including logos, banners, and promotional content.  
- Handled multiple projects under tight deadlines while maintaining quality.  

**Skills**  
- Graphic Design: Social media graphics, sticker design, landing pages, marketing materials.  
- Software: Figma, Adobe Photoshop, Adobe Illustrator.  
- Attention to detail, creative problem-solving, and time management.  

---"
