,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
47,"[Ваше ім'я]

[Контактна інформація]

**Професійний досвід**

**CRM Developer**
- Досвід роботи: менше 6 місяців
- Розробка логіки для додатка, що дозволяє вести облік даних
- Робота з базою даних MongoDB
- Використання JavaScript

**Project Manager з розробки CRM системи**
- Тривалість: 8 місяців
- Розробка CRM системи на базі Retool для проекту з продажу товарів

**Освіта**
- Закінчив КПІ ім. Ігоря Сікорського

**Навички**
- Володіння JavaScript
- Швидке освоєння нових мов (до двох місяців)
- Мотивованість та комунікабельність

**Цілі**
- Приєднатися до команди, яка мотивує та з якою приємно працювати
- Очікування конкурентної заробітної плати

**Особисті якості**
- Постійний розвиток та навчання
- Готовність активно розвиватися у професійній сфері"
48,"Менеджер з продажів та управління проектами з досвідом керування понад 20 проектами газифікації на різних етапах виконання. Експерт у проведенні тренінгів для відділів сервісного обслуговування та продажів. Володію навичками розробки дизайну та верстки невеликих веб-сайтів, а також керування дроном. Маю досвід стрибків з парашутом."
49,"- Успішне керування та завершення проектів, які раніше вважалися провальними
- Швидке налагодження баз поставок та логістики на нових територіях
- Досвід у роботі з критичними навантаженнями та стресовими ситуаціями
- Ефективне освоєння та впровадження нових технологій та методів
- Понад 5 років досвіду у проектному менеджменті (будівництво, дизайн, архітектура, ремонт)
- Успішне керування командами на декількох проектах одночасно (6 проектів, 300+ осіб, включаючи підрядників)
- Здатність мотивувати та керувати командою для досягнення поставлених цілей та дедлайнів
- Навички у траблшутінгу та вирішенні проблем
- Досвід у бюджетуванні та оцінці проєктів"
50,"Професійний досвід у сфері управління автосервісами, з акцентом на побудову ефективних команд та оптимізацію робочих процесів для досягнення прибутковості. Керував декількома автосервісами, забезпечуючи їх успішну діяльність. Маю на меті змінити кар'єрний напрямок та здобути нову перспективну професію."
51,"Професійний досвід:
- Обробка великих обсягів даних (АСОПД/КОМТЕХ-W)
- Адміністрування систем
- Робота з ІзОД
- Знання нормативно-правової бази
- Впевнене володіння пакетом Microsoft Office та навички користування Інтернетом

Мовні навички:
- Вільне володіння українською та російською мовами
- Англійська мова на рівні Intermediate

Курси:
- Наразі проходжу онлайн курс з HTML/CSS на платформі htmlacademy.ru

Особисті якості:
- Комунікабельність
- Доброзичливість
- Бажання навчатися новому
- Логічне мислення
- Правдивість
- Відповідальність
- Бажання бути корисним

Кар'єрні цілі:
- Професійний ріст
- Адекватний менеджмент
- Розв'язання складних завдань
- Робота в стартапі
- Офіційна заробітна плата"
52,"Валовий обсяг продажів мережі ресторанів, якою я керував, склав 600000 грн/міс.

Найдорожчий продаж об'єкту нерухомості, коли працював рієлтором, становив 250000$.

Торговий Дім Шевченко/Проект AlcomagFood  
Керуючий партнер  
Обов'язки:  
- Запуск проекту з нуля  
- Підбір персоналу  
- Переговори з постачальниками  
- Контроль якості, сервісу, технологій  

Закінчую навчання в IT Школі Hillel за напрямком Project Manager  

Мета: змінити сферу діяльності, розвивати свої навички, вести переговори на міжнародному рівні, стати Project Manager у потужній продуктовій компанії та створити сильну команду."
53,"09.2018 – 10.2019 – Sceel.io GmbH  
Посада: Молодший менеджер проекту  

Обов'язки:  
• Керування командою розробників  
• Координація графіків проекту  
• Проведення щоденних зустрічей та ініціювання ретроспектив  
• Уточнення вимог, пріоритизація завдань та проблем  
• Призначення завдань, відстеження їх виконання та контроль за прогресом  
• Комунікація з зацікавленими сторонами  
• Підтримка та оновлення документації проекту  

Досягнення:  
• Отримав новий досвід та освоїв нові технології  
• Особистий розвиток у дружньому колективі  
• Участь у створенні нового продукту  "
54,"- Розробка стратегічного плану для організації, в яку прийшла волонтерити в 15 років
- Збір 6 млн євро на проєкти місцевого економічного розвитку
- Організація та проведення понад 40 конференцій і бізнес-форумів для міської ради
- Навчання близько 5000 людей проєктному менеджменту і фандрейзингу
- Допомога 34 ініціативним групам у запуску проєктів у сфері соціального підприємництва
- Розробка 11 навчальних програм неформальної освіти (фандрейзинг, право, соціальне підприємництво, проєктний менеджмент для ГО)
- Написання та захист дисертації
- 13 років досвіду у громадському і публічному секторі, починаючи з волонтерства в 15 років
- Понад 5 років роботи за методологією PRINCE2 та впровадження системного проєктного менеджменту в органах місцевого самоврядування
- Останні 3 роки роботи як експерт з фандрейзингу та стратегічного планування, допомагаючи громадським організаціям перетворювати ідеї в програми та проєкти, знаходячи фінансування та навчаючи проєктному менеджменту
- Досвід у перетворенні бізнесу художниці з офлайну в онлайн, включаючи перебудову операційної діяльності, створення відділу онлайн-продажів та вебсайтів для онлайн-крамниць."
55,"Навички: організація, впорядкування та ведення робочого процесу, ведення переговорів, робота з клієнтами та постачальниками, впевнений користувач ПК (MS Office, 1С), робота з електронною звітністю. Постійний розвиток (психологічна та економічна література, семінари, бізнес-зустрічі), швидке освоєння нових технологій, комунікабельність, пунктуальність, відповідальність.

Досвід роботи:

1996-2000: Підприємець, торгівля автозапчастинами до іномарок.

2000-2002: Підприємець, гуртова торгівля дитячими іграшками.

2002-2016: Підприємець, співзасновник і співвласник ТМ Гойдалка (goydalka.com) - виготовлення дитячих іграшок та меблів з бука, меблів з дерево-стружкових плит та дитячих ігрових споруд з металу та дерева.

Обов’язки:
- Створення замкнутого виробничого циклу: розпилювання лісоматеріалів, проміжний склад, сушильні камери, котельня, склад пиломатеріалів, механічна, складальна, меблева дільниця, цех металевих конструкцій, опорядження, пакування, склад готової продукції.
- Планування та покращення технологічного процесу, внутрішньої логістики, підтримка технічного стану обладнання, забезпечення безперебійної роботи.
- Робота з постачальниками, пошук нових, розробка меблевої фурнітури, співпраця з офіційним сайтом, реєстрація торгової марки, розробка артикулів, етикеток, каталогів, інструкцій, фотосесії нових виробів, нормування праці, аналіз собівартості, впровадження системи обліку робочого часу, організація роботи охорони, котельні, підбір кадрів, підготовка документації для тендерів, участь у виставках у Львові, Києві, Польщі, Німеччині."
56,"1. Бариста  
MyCOFFEE / травень 2018 - вересень 2018  
- Взаємодія з різноманітними клієнтами, розвиток комунікативних навичок.

2. Заступник голови студентського самоврядування  
ГО ""StudHeads"" / лютий 2020 - по теперішній час  
- Ведення сторінки в соціальних мережах.  
- Планування та організація заходів: генерація ідей, складання планів, розподіл обов'язків.  
- Координація роботи команди.

3. Курсова робота: ""З'ясування технічних можливостей готового веб-додатку для розповсюдження навчальної інформації"" / лютий 2022 - дотепер  
- Розміщення веб-додатку на хостингу, додавання нових функцій для користувачів.

4. Курсова робота: ""Розробка 3D моделі"" / жовтень 2021 - січень 2022  
- Створення 3D моделі безпілотника в SolidWorks.

Мета: Розвиток у напрямку Project Manager з фокусом на ІТ-компанії. Зацікавлена у позиції помічника або стажиста з перспективою зростання в цій сфері. Вакансія повинна бути пов'язана з ІТ."
57,"1. Міністерство закордонних справ України, дипломат (листопад 2020 - липень 2021)  
Обов'язки:  
- Аналіз тенденцій у міжнародних відносинах  
- Планування розвитку подій  
- Переклад  
- Організація зустрічей та участь у переговорах з іноземними партнерами та українцями  
- Участь у стратегічних сесіях щодо розроблення політик  

2. Львівська міська рада, провідний спеціаліст (листопад 2017 - листопад 2020)  
Обов'язки:  
- Переклад  
- Підготовка аналітичних та інформаційних матеріалів  
- Організація зустрічей з іноземцями, поїздок за кордон  
- Участь у переговорах  
- Керування проєктами та практиками стажерів/практикантів  

3. ГО «Молода дипломатія», президент (травень 2016 - травень 2017), віце-президент (травень 2015 - травень 2016)  
Обов'язки:  
- Координування роботи ради організації  
- Допомога у реалізації проєктів, конференцій, заходів  
- Розвиток студентів  
- Організація зустрічей  
- Відкриття нових підрозділів в Україні  
- Забезпечення участі української сторони в роботі міжнародної організації “International Week”"
58,"Sales Manager

- Managed clients through the sales funnel
- Monitored product shipments and customer payments
- Conducted market, competitor, and target audience analysis
- Handled documentation for client servicing
- Prepared reports and invoices

Researcher-Analyst

- Conducted information search and processing
- Performed data analysis
- Implemented new technologies and initiated projects within company guidelines
- Compiled reports
- Presented research results

Engineer-Technologist

- Analyzed design documentation and processed drawings
- Provided technological support for assembly processes of helicopter components and wrote technological cards
- Selected equipment and tools
- Compiled part and product passports

Proficient in software and applications such as Bitrix, 1C, ClickUp, Notion, Jira, Slack, Asana, Google Suite, Microsoft Office Suite, and engineering applications: Computer-Aided Design (CAD) software such as Siemens NX, CATIA, Kompas 3D; Mathcad."
59,"Освіта:
Національна академія статистики, обліку і аудиту (НАСОА) (2006-2012)
Спеціаліст. Факультет «Облік і аудит»

Курси:
QA Light “IT Project manager” 2022 р.

Досвід роботи:
1. ТОВ «Новотрейдінг» - Менеджер по логістиці (грудень 2020 – по теперішній час)

2. ТОВ «Redfort» - Керівник складу (10.2018 – 07.2020)
   - Прийом, облік, раціональне розміщення та збереження товару на складі
   - Облік в базі 1С
   - Моніторинг залишків та аналіз необхідної кількості товару на складі
   - Проведення інвентаризації
   - Управління командою до 10 членів
   - Планування задач для кожного члена команди на певний період

3. ТОВ «Європромоптторг» - Керівник виробництва (06.2016-09.2018)
   - Управління командою на виробництві
   - Організація безперебійного виробництва товару
   - Ефективне виконання виробничих норм
   - Контроль якості товару відповідно до інструкції
   - Контроль технічного стану обладнання
   - Щоденний облік готового та проданого товару
   - Підготовка щомісячних звітів про роботу виробництва"
60,"2014-2015  
Sales manager, Приватбанк  

Обов'язки  
- Робота з клієнтами: виявлення потреб, обробка заперечень.  
- Консультування та адаптація продуктів під індивідуальні обставини.  
- Вирішення проблемних ситуацій.  

Цей досвід розвинув мої навички комунікації, управління запереченнями та створення довіри клієнтів до продуктів.  

2015-2017  
Самозайнята особа (Бізнес-посередник із пошуку оптових зв'язків)  

Обов'язки  
- Активний пошук торгових точок і аналіз конкурентів.  
- Складання договорів і нагляд за реалізацією продукції.  
- Ефективне вирішення проблемних ситуацій і стратегічне ціноутворення.  
- Глибоке розуміння запитів клієнтів.  

Протягом 2 років успішно організовував пошук оптових постачальників і точок збуту продукції. Цей досвід розвинув мої навички пошуку партнерів, аналізу ринку, управління контрактами та клієнтської взаємодії.  

2020-2022  
Самозайнята особа (Бізнес-консультант)  

Обов'язки  
- Організація і координація усіх аспектів проєкту.  
- Реалізація концепції та дизайну.  
- Робота з інвесторами.  
- Управління бюджетами близько 50к$.  
- Налаштування операційної діяльності команди.  
- Вирішення конфліктних ситуацій.  
- Автоматизація бізнес процесів закладів.  

Успішно запускав офлайн проєкти в готельно-ресторанній сфері. Мої зусилля допомогли досягти високого рівня клієнтської задоволеності та збільшення прибутку.  

Шукаю роботу для зростання як особистості та професіонала. Ціную видимі результати та командну роботу. Готовий вчитися, втілювати проєкти та розвиватися як фахівець в управлінні проєктами."
61,"Акціонерне Товариство «Оператор газорозподільної системи «Луганськгаз»  
Заступник головного бухгалтера (2016-2020)

- Ведення податкового обліку з податку на додану вартість, податку на прибуток, податку на нерухомість, податку на землю (оренда землі), екологічного податку
- Складання та подання звітності
- Взаємодія з податковими органами
- Оскарження податкових повідомлень-рішень у адміністративному та судовому порядку
- Участь у складі тендерного комітету у державних закупівлях на тендерних майданчиках
- Участь у складанні фінансового плану підприємства

Державна податкова інспекція у м. Лисичанську ГУ Міндоходів у Луганській області  
Старший державний податковий ревізор-інспектор  
Головний державний податковий ревізор-інспектор  
Головний державний ревізор-інспектор  
Заступник начальника відділу податкового аудиту (Травень 2009-лютий 2015)

- Участь у проведенні планових та позапланових перевірок суб'єктів господарювання з питань дотримання вимог податкового, валютного та іншого законодавства, перевірок по постановам слідчих та правоохоронних органів, перевірок по ліквідації підприємств
- Участь у розгляді заперечень до актів перевірок суб'єктів господарювання
- Участь у судовому оскарженні результатів перевірок
- Складання національного плану перевірок фінансових установ та суб'єктів ЗЕД

Додаткова інформація:  
- Володіння мовами: українська, російська – вільно, англійська – базовий рівень
- Досвідчений користувач ПК: Word, Excel, MeDOC, 1С:Бухгалтерія 7,8, «Клієнт-банк», «Вчасно», «Електронний кабінет платника податків», Інтернет
- Займаюся самоосвітою, слідкую за змінами законодавства України
- Участь у вебінарах щодо змін бухгалтерського та податкового обліку
- Хобі: читання літератури"
62,"Strategic-minded Project Manager with extensive experience in Marketing, Events, PR, and social & political spheres. Proven track record of successfully leading projects and teams.

**Experience**

**2019-Present: Freelance Software Test Engineer**
- Conducted testing on platforms such as TestIO, UTest, and TestFlight.

**2004-2018: Marketing & PR Specialist**
Golden Collection of Various Companies
- Advanced from Office Manager to National Coordinator.
- Managed accounts and coordinated projects in Marketing, PR, Event, BTL Production, and Manufacturing.
- Trained personnel.

**2009-2011: Host/Facilitator/Journalist/Team Lead**
World Sport Media
- Hosted meetings and facilitated teleconferences.
- Led a team of 5.
- Conducted reports and created project conclusions.
- Executed confidential assignments.

Seeking to apply my knowledge and skills to add value and continue learning. Interested in combining office and remote work to balance motherhood with professional growth."
63,"2020-2021 Менеджер ІТ-проектів, DK Services  
2021 Головний аккаунт-менеджер українського сегменту, WoodandHearts  
2021-2022 Керівник ІТ-департаменту, Інфоконтроль  

Досвід:  
- Керування невеликими командами розробників (до 6 осіб)  

Навички:  
- Інструменти: Jira, Confluence, Miro, Figma, Slack, VS Code  "
64,"Професійний досвід:

- Участь у двох проектах на курсі IT Project Management з реальними замовниками Boosta і Podushka.ua.
- Boosta: розробка таймлайну для проєктних активностей компанії з використанням методу критичного шляху. Внесення пропозицій щодо оптимізації часу виконання проєкту. Використання програм Miro та Gantter.
- Podushka.ua: вирішення питань доставки та моніторингу замовлених клієнтом товарів. Використання програми Miro."
65,"Сертифікати та курси:
- Сертифікат участі у міжнародному проєкті Media Dialog 2020
- Курси з копірайтингу та створення сайтів на Тільді

Досвід роботи:
- 5 місяців досвіду копірайтером в онлайн-студії копірайтингу
- Управління сторінками в Інстаграм та Телеграм
- Практика project manager у Фундації Дарини Жолдак (Fedoriv group) з організації лекцій та збору аудиторії для проєкту КарочєХаб
- Проджект-менеджер проєкту Інституту журналістики КНУ з пошуку вакансій для студентів

Досягнення:
- Позитивний відгук від попереднього роботодавця
- Лідерська позиція в Інститутському рейтингу успішності в навчанні

Додаткова діяльність:
- Член Студпарламенту ІЖ КНУ
- Участь у міжнародному проєкті Media Dialog 2020 як представник блог групи

Мета:
Бажаю знайти вакансію для початківця з перспективами для професійного розвитку та розвитку практичних навичок. Готова працювати у команді, що підтримає та допоможе, а я в свою чергу зроблю все можливе для успішності та продуктивності моєї роботи."
66,"- Over 6 months of experience in software, web, and mobile testing
- Expertise in manual testing documentation, including test plans, test cases, test reports, bug reports, and checklists
- Knowledgeable in QA methodologies, with a focus on Agile methodology
- Competent in conducting Functional testing, Non-functional testing, and testing related to changes
- Skilled in using bug-tracking systems such as Atlassian Jira, Redmine, and Mantis
- Experienced with test case management software like Testrail and TestLink
- Basic knowledge of QA automation with Selenium
- Proficient in SQL
- Familiar with HTML and CSS

I am committed to enhancing my skills and expanding my experience in the testing field to become more proficient in my new role."
67,"Ключові досягнення:
- Успішне відкриття офісу компанії
- Ефективне створення дилерської мережі
- Успішний набір персоналу та формування команди
- Впровадження методології waterfall у компанії

Досвід:
- 8 років досвіду управління великими та складними проектами в агросфері
- Досвід управління проектами в IT, включаючи створення сайту представництва компанії та участь у проекті створення мобільної аплікації на курсах з IT PM."
68,"Топ-менеджер з 9-річним досвідом у ресторанному бізнесі. Експерт у роботі з фінансовою документацією, включаючи плани проектів та фінансів, матриці відповідальності, стратегії та ризики, P&L, та CRM системи. Володію знаннями CSS, SQL, HTML, HTTP, Scrum, Agile, та Waterfall методологій. Досвід роботи з Postman, Jira, та JSON. Експерт у тестуванні з використанням Test Plane, Test Case, та Bug Report. Мета - стати Senior Project Manager."
69,"Координатор відділу пошуку клієнтів з досвідом роботи в управлінні комунікаціями та контролі якості. Володію аналітичними здібностями, вмію працювати в команді, планувати та керувати часом. Закінчила курс ""Основи проєктного менеджменту"".

Досвід роботи:

Account Manager
Maxi Group Kyiv | Лютий 2019 - по теперішній час
- Перевірка діалогів з клієнтами та їх анкет
- Контроль якості ведення клієнтів відділами продажів
- Передача уточнень та запитів між відділами пошуку клієнтів та відділами продажів
- Робота з CRM системою
- Складання звітів

Account Manager
Maxi Group Kyiv | Жовтень 2018 - Лютий 2019
- Перевірка діалогів з клієнтами та їх анкет
- Уточнення деталей співпраці у телефонному режимі
- Допомога в розробці методологій для покращення проєкту"
70,"Успішно реалізовано 22 проекти: http://na-proby.com/

Social Media Marketing program from the Digital Marketing Institute (Ireland). Certificate Social Media Marketing Campaign Manager Influencer marketing

Медіакомпанія ""Бурда-Україна"" (червень 2018 - теперішній час)

- Планування, контроль та координація запуску проекту на сайті.
- Комунікація з клієнтами та підтримка проекту протягом усього періоду (від 3-ох до 6-ти місяців).
- Контроль виконання KPI's.
- Управління пріоритетами в проекті, виявлення ризиків і управління ними на постійній основі.
- Забезпечення правильного розподілу ролей і обов'язків між членами команди проекту.
- Складання та забезпечення інформацією про хід виконання проекту його учасників.
- Проведення аналізу після проекту і витяг уроків після кожного проекту з метою подальшого застосування в нових проектах.
- Робота з дизайнерами, редакторами, креативщиками, логістичними кампаніями.
- Підготовка пропозицій та фінальних звітів по завершенню проектів для клієнтів.
- Участь в розробці пропозицій нових проектів.

SMM:

- Створення текстового та графічного контенту.
- Налаштування таргетингу.
- Контроль виконання KPI's."
71,"Управління та координація роботи команди локалізації: збір вимог, взаємодія з зацікавленими сторонами, узгодження термінів, налагодження робочого процесу, відстеження термінів. Звіти про проекти, аналіз досягнень, підготовка календаря локалізації для відділу перекладу IKEA Retail Ukraine, управління бюджетом проекту. Участь у рецензуванні пропозицій та контрактів з зовнішніми постачальниками перекладів (перекладацьке агентство та зовнішні постачальники). Участь у тендерах, підготовка та аналіз вимог тендера. Основний контакт країни для матричних організацій (головний офіс) в Швеції для підтримки локалізації. Участь у процедурах найму зовнішніх перекладачів: формування та контроль вимог, участь у співбесідах з кандидатами.

Ключові досягнення:
- Створення та управління відділом перекладу (команда з 8 осіб) для відкриття магазину IKEA в Україні.
- Успішне завершення локалізації глобального інструменту інформації про продукти для України в установлені короткі терміни.
- Впровадження принципів та практик гнучкості для відділу перекладу."
72,"Copywriter  
Freelance | December 2022 - Present  
- Writing texts on IT topics  
- Independent research on themes and technologies  
- Integration of key words, SEO optimization  

Store Decor Manager  
Instagram | November 2022 - Present  
- Project planning and launch  
- Financial reporting  
- Customer base management  

Humanitarian Staff Manager  
Science Center, Ternopil | March - November 2022  
- Accounting and documentation work  
- Control over the process of issuing clothing and taking measures to improve it  
- Support for internally displaced persons in resolving their issues  
- Onboarding new volunteers and conducting training  

Reception Committee Volunteer  
Kharkiv National University of Radio Electronics | July - August 2021  
- Informing about available specialties and admission conditions  
- Assistance with contract signing and other organizational issues  

I have completed a project management course and am eager to apply my knowledge in practice as an assistant. Currently working as an IT copywriter on a freelance basis.  

My volunteer experience has enhanced my skills in interacting with people, from being a deputy camp leader in a summer camp to volunteering in a humanitarian staff. I have worked with diverse groups, honing my understanding of human psychology and motivation, and can find an approach to everyone.  

I am responsible, quick to learn, and not afraid of multitasking or organizing processes. I excel in teamwork, effective communication, and achieving goals. I am open to learning and finding effective solutions, confident that my skills and experience can be valuable in the workplace."
73,"- Успішна підготовка та проведення понад 15 виставкових заходів у складі команди, з масштабністю понад 500 компаній-учасників, 30 000+ професійних відвідувачів, 35 000+ кв.м. експозиції та 40+ іноземних делегацій.
- Організація власного бізнесу, включаючи співзасновництво у реєстрації ТОВ, розробку бренду, вихід на ринок та формування лояльної аудиторії.
- Організація Національних павільйонів та колективних експозицій на міжнародних заходах.
- Успішне залучення провідних компаній як ключових партнерів заходів.
- Понад 10 років досвіду в управлінні та координації проектами.
- Високий рівень організаторських здібностей та орієнтація на результат.
- Досвід ведення кількох проектів одночасно та здатність продуктивно працювати як у команді, так і самостійно, в офісі та віддалено.
- Керування роботою команди до 5 осіб.
- Постійна самоосвіта та поглиблення знань у проектному менеджменті та розуміння SDLC.
- Розвиток особистих гнучких та технічних навичок."
74,"Made two significant projects for cinema, overseeing the dubbing of films for Ukrainian audiences, which were subsequently shown in cinemas nationwide. Led these projects both independently and collaboratively.

Possess a junior level of expertise in marketing, with a strong desire to continue learning and improving in this field.

Soft skills include critical thinking, high self-organization, strong communication abilities, stress resistance, adaptability, flexibility, and a passion for acquiring new knowledge.

Career primarily focused on TV and film projects, with experience as a presenter, journalist, and director of dubbing for TV and film content. Since 2019, actively involved in copywriting and article rewriting for runners and athletes. Also experienced as an SMM manager for a running community sponsored by Puma in Kyiv, Ukraine.

In 2022, before the full-scale invasion, assumed the role of marketing project manager at an advertising agency. Responsibilities included revamping advertising strategies, providing recommendations, and launching campaigns on the platform. Facilitated partnerships between brands and influencers to enhance customer engagement. Worked with renowned brands, banks, and manufacturers. Unfortunately, the project was halted due to the Russian aggression."
75,"Fabiosa Media, Проєктний асистент  
1 рік 11 місяців

- Управління електронним документообігом та підтримка робочих таблиць
- Контроль заповнення даних та робота з формулами
- Створення звітів за запитом та оформлення контенту для соціальних мереж

Досягнення:
- Автоматизація робочих процесів
- Систематизація зберігання файлів
- Оптимізація робочих файлів та таблиць

СТК Авангард, Аналітик  
3 роки 4 місяці

- Підготовка звітів за запитом
- Взаємодія з торговими агентами, клієнтами та постачальниками
- Ведення внутрішньої документації команди та замовлення канцелярських товарів для офісу

Досягнення:
- Автоматизація процесів та звітів
- Ефективна обробка даних
- Уважність та детальність у роботі

Не розглядаю вакансії, пов'язані з продажами."
76,"During my time at the National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", I successfully organized and supported over 20 student events, including ""Intel-Техно Україна 2016-2017"", ""Intel-Техно Україна 2017-2018"", ""POLYTECO Україна 2018-2019"", XVІ All-Ukrainian Student Physics Tournament, and the Student Olympiad in programming ""KPI-OPEN 2018"". I effectively promoted these events on social media platforms such as Telegram, Instagram, and Facebook. Additionally, I volunteered as an Event Organizer Assistant at conferences like OWASP Ukraine'18, Intel-Techno Ukraine (2016, 2017, 2018), and BSides Kyiv (2019)."
77,"Experienced manager with a strong blend of leadership, management skills, communication expertise, and entrepreneurial experience. Proven track record in leading projects across diverse industries such as medical, entertainment, NGO, and retail. Successfully managed teams of up to 9 members. Actively seeking new opportunities in the IT sector. Committed to engaging in challenging projects, collaborating with dynamic teams, and pursuing ongoing professional development."
78,"Junior Project Manager

Objective:
Aspiring Junior Project Manager eager to collaborate with a team and gain insights from seasoned professionals. Committed to personal and professional growth through active participation in diverse projects.

Skills:
- Team collaboration
- Task execution and responsibility
- Time management
- Goal achievement

Professional Goals:
- Engage in diverse projects to enhance skill set
- Contribute significantly to company projects
- Embrace opportunities for active learning and development

Summary:
Motivated to take on the role of Junior Project Manager to leverage teamwork and professional interaction for growth. Ready to meet deadlines and achieve objectives while making meaningful contributions to the organization."
79,"Працівник року 2012 у ПАТ КБ Приватбанк

Сертифікат про закінчення курсів ІТ Projector у 2023 р.

Англійська мова рівень B1

Досвід:

IT PROJECTOR ACADEMY, Project Management:
- Написання user stories
- Створення Lean Canvas
- Управління ризиками та стейкхолдерами
- Комунікація з реальним замовником по проекту

PAT KB PRIVATBANK:
- Обслуговування клієнтів
- Залучення нових клієнтів
- Робота з базами даних"
80,"IT Юрист

Юридична компанія «Віголекс»
Квітень 2021 – Серпень 2021 (5 місяців)
- Управління клієнтськими проєктами, комунікація з замовниками з різних країн світу
- Управління молодшим персоналом під час виконання завдань, контроль, постановка задач
- Ведення електронного документообігу на підприємстві

Юрист. Заступник керівника

Юридична компанія «Правова допомога»
Червень 2019 – Квітень 2021 (1 рік 11 місяців)
- Керування юридичним відділом, постановка та контроль задач, бюджетів, строків, часу роботи над замовленням
- Контроль всіх замовлень компанії
- Керування підбором та звільненням персоналу, проведення адаптацій юристів та їх розробка
- Юридичне та кадрове обслуговування інших компаній, надання інших юридичних послуг"
