,Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__,True Label
293,Junior Project Manager,"Founder and the head of on-line store
2011 - 2022
- Development and implementation of customer acquisition
- Building a unique trade offer for ukranian market
- Building processes for working with clients (B2B, B2C)
- Business plan creation and business development 
- Creating of loyalty programs and marketing activities
- Creating unique content for the social network instagram
- Formation of the assortment range
- Team management (up to 6 people), implementation of motivating programs
- Development of templates for monitoring the fulfillment of orders and monitoring the statistics of indicators (logistics in Ukraine and delivery abroad).

Logistics Customer Service Specialist (Reporting)
2012 - 2015
- Reporting about shipments in SAP, Excel
- Control and analysis of the average weight of the truckload;
- Product freshness report
- Adding orders for POSM materials in SAP
- Downloading data from SAP on product balances in the company's warehouses
- Final daily report on warehouses of automatic replenishment of stocks
- Calculation of the fulfillment of the forecast supplies
- Optimization of work by automating processes (development of Excel macros)
- Implementation and support of Lean methodology to optimize working time and efficiency
- Customer support (B2B)
- Communication with different departments and monitoring the implementation of KPI.","I’m looking for a job in a company, which can use my professional knowledge in accounting, finance, management, and IT to create interesting, ambitious, and profitable projects.
I always try to find a win-win both for the company and the client. All of my conversations are friendly and I get straight to the point with the client so we don't waste each other's time. Only if I see that the client needs more small talk I would do that. But the main target that I have in my head is to satisfy clients and to do projects on time and with super high quality.","1) While I was working in a Reporting specialist position I reduced time making reports by using automation (macroses) and great communication skills.    
2) After 3 months in a new country, I already speak a new language.
3) nIn my work I always look for approaches for the rational use of time, and also find ways to motivate each person.",Project Manager,upper,1.0,"1) While I was working in a Reporting specialist position I reduced time making reports by using automation (macroses) and great communication skills.    
2) After 3 months in a new country, I already speak a new language.
3) nIn my work I always look for approaches for the rational use of time, and also find ways to motivate each person.
Founder and the head of on-line store
2011 - 2022
- Development and implementation of customer acquisition
- Building a unique trade offer for ukranian market
- Building processes for working with clients (B2B, B2C)
- Business plan creation and business development 
- Creating of loyalty programs and marketing activities
- Creating unique content for the social network instagram
- Formation of the assortment range
- Team management (up to 6 people), implementation of motivating programs
- Development of templates for monitoring the fulfillment of orders and monitoring the statistics of indicators (logistics in Ukraine and delivery abroad).

Logistics Customer Service Specialist (Reporting)
2012 - 2015
- Reporting about shipments in SAP, Excel
- Control and analysis of the average weight of the truckload;
- Product freshness report
- Adding orders for POSM materials in SAP
- Downloading data from SAP on product balances in the company's warehouses
- Final daily report on warehouses of automatic replenishment of stocks
- Calculation of the fulfillment of the forecast supplies
- Optimization of work by automating processes (development of Excel macros)
- Implementation and support of Lean methodology to optimize working time and efficiency
- Customer support (B2B)
- Communication with different departments and monitoring the implementation of KPI.
I’m looking for a job in a company, which can use my professional knowledge in accounting, finance, management, and IT to create interesting, ambitious, and profitable projects.
I always try to find a win-win both for the company and the client. All of my conversations are friendly and I get straight to the point with the client so we don't waste each other's time. Only if I see that the client needs more small talk I would do that. But the main target that I have in my head is to satisfy clients and to do projects on time and with super high quality.",en,4e1c42ff-7d93-54d2-b3a6-fb3df5808e53,112561,1
294,Junior Project Manager,"Freelance Nocode Developer
10/2021 - Present
- Development and support of web projects for clients from the US and Europe.
- Solving non-standard tasks using limited functionality.
- 100% customer satisfaction rate.

Entrepreneur
10/2013 - Present, Kyiv, Ukraine
Health supplements online stores
- I successfully run two online stores. Starting with 30 products
now they have more than 1000 and many loyal customers.
- Communication with suppliers and clients from Ukraine and
abroad (USA and Europe).
- While working with these stores, I went from an all-in-one
employee to a manager who, in addition to managing these
projects, advises colleagues on entering the market of
supplements in Ukraine.",,"I started my own business from scratch and grew it from 30 products shop to 1000 products online store.
I haven't been only a reseller, I also developed one of the stores that I have managed and it had been working for 5 years before transferring to another platform.
Now I work as a freelance nocode developer with clients from all over the world.",Project Manager,upper,1.0,"I started my own business from scratch and grew it from 30 products shop to 1000 products online store.
I haven't been only a reseller, I also developed one of the stores that I have managed and it had been working for 5 years before transferring to another platform.
Now I work as a freelance nocode developer with clients from all over the world.
Freelance Nocode Developer
10/2021 - Present
- Development and support of web projects for clients from the US and Europe.
- Solving non-standard tasks using limited functionality.
- 100% customer satisfaction rate.

Entrepreneur
10/2013 - Present, Kyiv, Ukraine
Health supplements online stores
- I successfully run two online stores. Starting with 30 products
now they have more than 1000 and many loyal customers.
- Communication with suppliers and clients from Ukraine and
abroad (USA and Europe).
- While working with these stores, I went from an all-in-one
employee to a manager who, in addition to managing these
projects, advises colleagues on entering the market of
supplements in Ukraine.
",en,fe24ac58-f490-551e-a80f-ec065c6267b6,112562,1
295,Junior Project Manager,"From 2019 to 2022, I worked in sales, in various positions, starting as a salesperson, then as a team leader, and for the last two years, I worked as a Head of Sales and a consultant on building sales departments. 

The main tasks performed in the sales area are increasing sales, communication, team management, communication with customers, building the processes, and their optimization.

Among my achievements, I can highlight the fact that at all places of work and project work, we always exceeded our plans, which helped the project develop faster. 

I also have a little experience as a project manager with non-technical projects, but my background is in technical education and some knowledge of programming, so I believe that the ability to communicate with clients and understanding the product development process will be useful in the work of a project manager.",it is interesting to realize yourself in the technical field,"- Built 11 sales departments in 5 niches
- On average, over-fulfilled plans by 30%
- I first started selling in English and closed 4 contracts in a month
- Managed a team of 15 people",Project Manager,intermediate,1.0,"- Built 11 sales departments in 5 niches
- On average, over-fulfilled plans by 30%
- I first started selling in English and closed 4 contracts in a month
- Managed a team of 15 people
From 2019 to 2022, I worked in sales, in various positions, starting as a salesperson, then as a team leader, and for the last two years, I worked as a Head of Sales and a consultant on building sales departments. 

The main tasks performed in the sales area are increasing sales, communication, team management, communication with customers, building the processes, and their optimization.

Among my achievements, I can highlight the fact that at all places of work and project work, we always exceeded our plans, which helped the project develop faster. 

I also have a little experience as a project manager with non-technical projects, but my background is in technical education and some knowledge of programming, so I believe that the ability to communicate with clients and understanding the product development process will be useful in the work of a project manager.
it is interesting to realize yourself in the technical field",en,dfce63ff-9d97-55d6-89cb-062783cdad9f,112564,1
296,Junior Project Manager,"From December 2018 to this day - Project Manager Assistance at Brain Best
Projects: Brain Best Online Courses (local market)
Key responsibilities: Courses initiating, risks analysis, communication with stakeholders (lectors, technical and non-technical team members, sponsors), market research development, courses’ production and control, tech tasks writing for development team.
From January 2018 to October 2018 - Marketing Manager at Volans
Projects: Volans ICO, Volans Blockchain Wallet
Key responsibilities: Prioritizing development backlog, risks analysis, market research development, planning of marketing activities, prioritizing tasks in marketing backlog, communication with stakeholders (technical and non-technical team members, sponsors, circle of advisors), setting public relations with rating agencies, social influencers, industry magazines, marketing events planning, public documents writing (whitepaper, one paper, etc.), initiating, control and monitoring product’s community support activities and customer experience processes.
From September 2017 to April 2018 - Self-employed, media buyer, working with brands on a CPA model
Projects: set of advertising companies for Hashflare, Mamsy.ru, MoneyClick
Key responsibilities: CPA offers market research, communicaton with brands’ teams, advertising companies planning, communication with designers for creation of graphic content, advertising companies setting and execution, advertising companies monitoring and control, marketing metrics analysis.",Приятная атмосфера.,,Project Manager,intermediate,0.5,"
From December 2018 to this day - Project Manager Assistance at Brain Best
Projects: Brain Best Online Courses (local market)
Key responsibilities: Courses initiating, risks analysis, communication with stakeholders (lectors, technical and non-technical team members, sponsors), market research development, courses’ production and control, tech tasks writing for development team.
From January 2018 to October 2018 - Marketing Manager at Volans
Projects: Volans ICO, Volans Blockchain Wallet
Key responsibilities: Prioritizing development backlog, risks analysis, market research development, planning of marketing activities, prioritizing tasks in marketing backlog, communication with stakeholders (technical and non-technical team members, sponsors, circle of advisors), setting public relations with rating agencies, social influencers, industry magazines, marketing events planning, public documents writing (whitepaper, one paper, etc.), initiating, control and monitoring product’s community support activities and customer experience processes.
From September 2017 to April 2018 - Self-employed, media buyer, working with brands on a CPA model
Projects: set of advertising companies for Hashflare, Mamsy.ru, MoneyClick
Key responsibilities: CPA offers market research, communicaton with brands’ teams, advertising companies planning, communication with designers for creation of graphic content, advertising companies setting and execution, advertising companies monitoring and control, marketing metrics analysis.
Приятная атмосфера.",en,86e80384-5975-5764-8bb8-f2bb25761f51,112567,1
297,Junior Project Manager,"Front desk manager, Park Hotel Golosievo, Kyiv
• Act as the face of an establishment and ensure visitors feel welcomed. Ensure
that employees are, at all times, attentive, friendly, helpful and courteous to
all guests and other employees.
• Manage the reception area, coordinate all front desk activities, supervise and
train the support staff. Maintain working relationships and communicates with
all departments. 
• Interact with customers both in person and over the phone, assist with
inquiries, handle and mitigate any guest complaints
• Compile reports for management, including occupancy reports and financial
information.
• Direct and coordinate the activities of the front desk, reservations, guest
services, and telephone areas. 
• Generate daily and monthly reports for front office department.
• Check cashiers in and out and verifies banks and deposits at the end of each
shift. Enforce all cash-handling, check-cashing, and credit policies.
• Operate all aspects of Front Office computer system, including software
maintenance, report generation and analysis, and simple configuration
changes.",,,Project Manager,fluent,0.0,"
Front desk manager, Park Hotel Golosievo, Kyiv
• Act as the face of an establishment and ensure visitors feel welcomed. Ensure
that employees are, at all times, attentive, friendly, helpful and courteous to
all guests and other employees.
• Manage the reception area, coordinate all front desk activities, supervise and
train the support staff. Maintain working relationships and communicates with
all departments. 
• Interact with customers both in person and over the phone, assist with
inquiries, handle and mitigate any guest complaints
• Compile reports for management, including occupancy reports and financial
information.
• Direct and coordinate the activities of the front desk, reservations, guest
services, and telephone areas. 
• Generate daily and monthly reports for front office department.
• Check cashiers in and out and verifies banks and deposits at the end of each
shift. Enforce all cash-handling, check-cashing, and credit policies.
• Operate all aspects of Front Office computer system, including software
maintenance, report generation and analysis, and simple configuration
changes.
",en,0b5a603d-0ab4-5290-a97d-95fd9adbc81f,112571,1
298,Junior Project Manager,"Full-cycle web development solutions project and product management, financial management, experienced with capturing and documenting requirements. I used to work with various projects (time period was from two weeks to half of the year). During last two years I had to deal with all stages of project's life - from capturing and documenting requirements, invoicing and negotianing with customers to monitoring, control, maintenance and closure. I was managing teams of up to 15 members. Last 6 months my team was working according to Scrum methodology. Have experience of work in different spheres (not only IT) - advertisement, video production, marketing agency and i'm trying to use these knowledges in creating products that customers will love.","The main expectation is to receive experience of work in professional team with people who'll help me to grow professionally
 •	For me it's wery important to work in big team, especially with a large product.
•	It would be interesting to have various cases in working activity, not standart routine.
•	I do not want to have the responsibility of sales functions(search, preliminary negotiations etc)
•	Interesting projects. Professional management. Highload is a plus.","Specialities:
•	Project management (web, mobile apps. and interfaces development)
•	Product management
•	Business analysis
•	Business development
•	Digital marketing
•	UX
•	Negotiations
•	Excellent communication skills
•	Agile/Scrum Processes Experience (multiple roles)
•	Multilingual (fluent English, Ukrainian and Russian, basic German and Spanish)",Project Manager,intermediate,1.0,"Specialities:
•	Project management (web, mobile apps. and interfaces development)
•	Product management
•	Business analysis
•	Business development
•	Digital marketing
•	UX
•	Negotiations
•	Excellent communication skills
•	Agile/Scrum Processes Experience (multiple roles)
•	Multilingual (fluent English, Ukrainian and Russian, basic German and Spanish)
Full-cycle web development solutions project and product management, financial management, experienced with capturing and documenting requirements. I used to work with various projects (time period was from two weeks to half of the year). During last two years I had to deal with all stages of project's life - from capturing and documenting requirements, invoicing and negotianing with customers to monitoring, control, maintenance and closure. I was managing teams of up to 15 members. Last 6 months my team was working according to Scrum methodology. Have experience of work in different spheres (not only IT) - advertisement, video production, marketing agency and i'm trying to use these knowledges in creating products that customers will love.
The main expectation is to receive experience of work in professional team with people who'll help me to grow professionally
 •	For me it's wery important to work in big team, especially with a large product.
•	It would be interesting to have various cases in working activity, not standart routine.
•	I do not want to have the responsibility of sales functions(search, preliminary negotiations etc)
•	Interesting projects. Professional management. Highload is a plus.",en,b20dff8e-406f-5170-9e93-27660be962d8,112573,1
299,Junior Project Manager,"GlobalUp company
04/01/2022 - present time - Project Coordinator

Responsibilities:
- Effective client management and development (follow up and updates calls/emails)
- Managing creative projects through project management software Monday.com
- Preparing compelling pitches, proposals and briefs (market research, and ideas pitch)
- Bringing creativity and copywriting skills to the table (plan SMM calendar, brief creative and web development teams for website, presentation etc)
- Support and optimise the digital marketing campaign planning process (Google Ads, Social media ads etc)
- Support and optimise the PR campaign planning process (Influencers and Media)

National Aviation University 
12/19/2016 - 06/30/2017 - Specialist of the Marketing, Advertising and Exhibition Sector of the Information and Analytical Department
09/25/2017 - 03/31/2018 - Specialist of the sector of information processing and analysis of the Information-analytical department
04/01/2018 - 09/30/2018 - PR and Advertising Specialist of the Media Communications Center
10/01/2018 - 08/03/2020 - Leading specialist of the radio and television sector of the Center of Media Communications
08/03/2020 - 11/11/2020 - Head (Deputy Head of Department) of the Communication Sector of the Media Communications Center

Responsibilities:
- Participation in the development of communication strategy
- Communication support of Instagram, Facebook, Telegram and TikTok pages in social networks, according to the developed communication strategy
- Creating photo and video content
- Visual design of social networks
- Writing news, posts for social networks Instagram, Facebook, Telegram
- Maintaining Instagram, Facebook, Telegram, TikTok pages
- Analytical reference of results of conducting pages
- Preparation of references and technical tasks for the photographer, videographer and designer
- Update photos and videos of university departments
- Preparation, placement and updating of information on external resources of the university",,"- Worked with successful crypto project 
- Managed a team
- Increased revenue of the project by updating digital marketing approach
- Graduated from two universities and received a masters diploma of international education",Project Manager,upper,1.0,"- Worked with successful crypto project 
- Managed a team
- Increased revenue of the project by updating digital marketing approach
- Graduated from two universities and received a masters diploma of international education
GlobalUp company
04/01/2022 - present time - Project Coordinator

Responsibilities:
- Effective client management and development (follow up and updates calls/emails)
- Managing creative projects through project management software Monday.com
- Preparing compelling pitches, proposals and briefs (market research, and ideas pitch)
- Bringing creativity and copywriting skills to the table (plan SMM calendar, brief creative and web development teams for website, presentation etc)
- Support and optimise the digital marketing campaign planning process (Google Ads, Social media ads etc)
- Support and optimise the PR campaign planning process (Influencers and Media)

National Aviation University 
12/19/2016 - 06/30/2017 - Specialist of the Marketing, Advertising and Exhibition Sector of the Information and Analytical Department
09/25/2017 - 03/31/2018 - Specialist of the sector of information processing and analysis of the Information-analytical department
04/01/2018 - 09/30/2018 - PR and Advertising Specialist of the Media Communications Center
10/01/2018 - 08/03/2020 - Leading specialist of the radio and television sector of the Center of Media Communications
08/03/2020 - 11/11/2020 - Head (Deputy Head of Department) of the Communication Sector of the Media Communications Center

Responsibilities:
- Participation in the development of communication strategy
- Communication support of Instagram, Facebook, Telegram and TikTok pages in social networks, according to the developed communication strategy
- Creating photo and video content
- Visual design of social networks
- Writing news, posts for social networks Instagram, Facebook, Telegram
- Maintaining Instagram, Facebook, Telegram, TikTok pages
- Analytical reference of results of conducting pages
- Preparation of references and technical tasks for the photographer, videographer and designer
- Update photos and videos of university departments
- Preparation, placement and updating of information on external resources of the university
",en,918711ac-b766-5e4c-99d0-061cb8078c26,112575,1
300,Junior Project Manager,"GoIT 
JAN 2023 - MARCH 2023
LikarPoruchUA (pet-project)
Description: a mobile application that allows Ukrainian-speaking users abroad to get a consultation with the Ukrainian doctor at an affordable price.
Created by myself:
SOW to the project;
Formation of the roadmap;
Project backlog creation;
Organizational structure;
Project budgeting;
Mind map;
Decomposition/WBS;
Risk Register/RACI;
Schedule Management Plan

Sales manager
Investment group ""MOLODIST"" 
APR 2021 - FEB 2022
Responsible for:
business negotiations, sales;
reporting;
customer service support;
budgeting;
working with CRM;

Head (Chairman)
The primary trade union organization of students and cadets of the State Tax University
MARCH 2018 - FEB 2020
Responsible for:
initiation, planning, perform, reporting projects;
lead, motivate a team of 16 members (total 97 members in the organization hierarchy);
daily/weekly meetings with the team/stakeholders/partners.","At this point in my life and career, the opportunity for growth is the most crucial thing for me. I've spent several months learning Project Management in IT. During that time, I learned valuable skills that I'm ready to use.

Now, my goal is growth potential. I want to be in a challenging environment with opportunities for continual improvement and, at the same time, have my own impact at work and bring a lot to this job.","I have 1 own pet-project.

I have been responsible for the project for the construction of a 5-story building: 23 participants, the budget is more than $80,000.

I created and implemented a plan increased the number of members in the organization by 30%.

Developed a system for accounting for trade union members (each member had a trade union member card, which also provided discounts at partner stores);

Organized external events for more than 2,000 people.",Project Manager,upper,0.0,"I have 1 own pet-project.

I have been responsible for the project for the construction of a 5-story building: 23 participants, the budget is more than $80,000.

I created and implemented a plan increased the number of members in the organization by 30%.

Developed a system for accounting for trade union members (each member had a trade union member card, which also provided discounts at partner stores);

Organized external events for more than 2,000 people.
GoIT 
JAN 2023 - MARCH 2023
LikarPoruchUA (pet-project)
Description: a mobile application that allows Ukrainian-speaking users abroad to get a consultation with the Ukrainian doctor at an affordable price.
Created by myself:
SOW to the project;
Formation of the roadmap;
Project backlog creation;
Organizational structure;
Project budgeting;
Mind map;
Decomposition/WBS;
Risk Register/RACI;
Schedule Management Plan

Sales manager
Investment group ""MOLODIST"" 
APR 2021 - FEB 2022
Responsible for:
business negotiations, sales;
reporting;
customer service support;
budgeting;
working with CRM;

Head (Chairman)
The primary trade union organization of students and cadets of the State Tax University
MARCH 2018 - FEB 2020
Responsible for:
initiation, planning, perform, reporting projects;
lead, motivate a team of 16 members (total 97 members in the organization hierarchy);
daily/weekly meetings with the team/stakeholders/partners.
At this point in my life and career, the opportunity for growth is the most crucial thing for me. I've spent several months learning Project Management in IT. During that time, I learned valuable skills that I'm ready to use.

Now, my goal is growth potential. I want to be in a challenging environment with opportunities for continual improvement and, at the same time, have my own impact at work and bring a lot to this job.",en,5b4a5bc9-6f33-570d-b215-022962f4d08e,112578,1
301,Junior Project Manager,"Goit Project Manager course
01.2023 – current time

Create a project website, mobile platform for meditation
-  SOW, mind map, WBS of project, Project RACI, Risk Register, Schedule Management plan, Jira Project Planing, Project Mind map

Head of Health & Safety Department
CRH Ukraine
07.2016 – current time

Leading of working teams (4 person).
Department management
HS Project Management
Annual HS Budgeting OPEX & CAPEX
Communication between parties
Health&Safety Officer
CRH Ukraine, Odessa
 02.2015 – 06.2016

Department management
Archiving the goals, meeting deadlines
Unsafe acts, conditions Risk assessment","My short time career goals are to gain new skills and become an expert in project management,
and my long-time goals are to increase my professional network and gain promotion to a senior level. The more talented people I meet, the more I’ll learn from them","Lead and implement HS CAPEX projects  for 14 millionth UAH

I was lead a Stay-up project as a Project Manager. We did improvements in 3 directions - organizational, training and plant beatifications

Management of company volunteering activities",Project Manager,upper,0.0,"Lead and implement HS CAPEX projects  for 14 millionth UAH

I was lead a Stay-up project as a Project Manager. We did improvements in 3 directions - organizational, training and plant beatifications

Management of company volunteering activities
Goit Project Manager course
01.2023 – current time

Create a project website, mobile platform for meditation
-  SOW, mind map, WBS of project, Project RACI, Risk Register, Schedule Management plan, Jira Project Planing, Project Mind map

Head of Health & Safety Department
CRH Ukraine
07.2016 – current time

Leading of working teams (4 person).
Department management
HS Project Management
Annual HS Budgeting OPEX & CAPEX
Communication between parties
Health&Safety Officer
CRH Ukraine, Odessa
 02.2015 – 06.2016

Department management
Archiving the goals, meeting deadlines
Unsafe acts, conditions Risk assessment
My short time career goals are to gain new skills and become an expert in project management,
and my long-time goals are to increase my professional network and gain promotion to a senior level. The more talented people I meet, the more I’ll learn from them",en,ea984de6-bf07-5a37-bfff-5a143b9051fd,112579,1
302,Junior Project Manager,"Greetings, I am a junior IT project manager with a previous experience of about 6-7 years in a project role in the field of construction (both team management and team leaders). Graduated from IT project management courses at Go IT, additionally completed a scrum and agile course on the Skillsetter platform. I am currently in Dexola_IT_camp (role PM), studying manual testing (to expand my knowledge as a PM) and also working on improving my English.
•	Documents prepared during the implementation of pet projects (PM): SOW, estimate template,  critical path, mind map, general budget, EVM (schedule+cost), RACI, risks, test plan, closing the project. Was work in Jira and Confluence.
•	Documents prepared during the implementation of pet projects (QA): test plans, test cases, bug reports, check letters,  QA levels.
•	Programs I use: Confluence, Jira, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/sheets, 3d max, Archicad, Enscape.

     Thank you in advance for your feedback and attention.

 Best regards, Yevheniia Melnyk",Gain experience and develop as an IT project manager,"Successful experience in budgeting, planning, project control and team management (in the construction industry)",Project Manager,intermediate,0.5,"Successful experience in budgeting, planning, project control and team management (in the construction industry)
Greetings, I am a junior IT project manager with a previous experience of about 6-7 years in a project role in the field of construction (both team management and team leaders). Graduated from IT project management courses at Go IT, additionally completed a scrum and agile course on the Skillsetter platform. I am currently in Dexola_IT_camp (role PM), studying manual testing (to expand my knowledge as a PM) and also working on improving my English.
•	Documents prepared during the implementation of pet projects (PM): SOW, estimate template,  critical path, mind map, general budget, EVM (schedule+cost), RACI, risks, test plan, closing the project. Was work in Jira and Confluence.
•	Documents prepared during the implementation of pet projects (QA): test plans, test cases, bug reports, check letters,  QA levels.
•	Programs I use: Confluence, Jira, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/sheets, 3d max, Archicad, Enscape.

     Thank you in advance for your feedback and attention.

 Best regards, Yevheniia Melnyk
Gain experience and develop as an IT project manager",en,c69bb319-d105-5664-b91f-99eaca347eac,112585,1
303,Junior Project Manager,"Greetings to everyone! 
I’m a Project Manager, who is really into it and I’m highly-motivated to improve my skills, flowing into all Project processes.
I’ve graduated PM courses in a great computer school ”Hillel”. So, I have an idea about:
…what is a project plan
…methodologies and frameworks 
…how to work with risks and how to decrease them
…how to communicate with team and keep them motivated
…how to manage budget, resources and etc.
The main thing I like about being PM is that you communicate with people and help everyone, starting from the customer, to achieve their goals.
Also I’m quite good at solving problems, prefer smiling to getting nervous. Everyone needs challenges to become more self-confident, efficient and strong, and I’m not an exception.
I’m highly interested in jobs with creative, interesting teams, who really love their job and are creating something innovative and incredible.
I’m quite good at studying, now I’m restoring my English(it’s between Intermediate and Upper-Intermediate now) and want to achieve Advanced level in a couple of years.
I absolutely hate wasting time, so when I have leisure time, I try to spend it profitably. For instance, communicating with interesting people, reading books, doing some kind of sport, watching Ted and so on.
Thanks for attention!
I will be extremely glad to meet new people!",,,Project Manager,intermediate,1.0,"
Greetings to everyone! 
I’m a Project Manager, who is really into it and I’m highly-motivated to improve my skills, flowing into all Project processes.
I’ve graduated PM courses in a great computer school ”Hillel”. So, I have an idea about:
…what is a project plan
…methodologies and frameworks 
…how to work with risks and how to decrease them
…how to communicate with team and keep them motivated
…how to manage budget, resources and etc.
The main thing I like about being PM is that you communicate with people and help everyone, starting from the customer, to achieve their goals.
Also I’m quite good at solving problems, prefer smiling to getting nervous. Everyone needs challenges to become more self-confident, efficient and strong, and I’m not an exception.
I’m highly interested in jobs with creative, interesting teams, who really love their job and are creating something innovative and incredible.
I’m quite good at studying, now I’m restoring my English(it’s between Intermediate and Upper-Intermediate now) and want to achieve Advanced level in a couple of years.
I absolutely hate wasting time, so when I have leisure time, I try to spend it profitably. For instance, communicating with interesting people, reading books, doing some kind of sport, watching Ted and so on.
Thanks for attention!
I will be extremely glad to meet new people!
",en,a97dbd9d-d1cc-5964-9775-240a6d7d6452,112587,1
304,Junior Project Manager,"Group leader at ПП ""ІРВАН"" 2021-2023
Management of the construction process of the Internet communication network
in different regions of Ukraine. Team management. Project budget management.
Purchase of necessary equipment and materials. Maintenance of project
documentation.

Chef's assistant at Restaurant chain ""Італійський квартал"" 2019-2020
Food preparation according to standards. Team management. Documentation
management.","I will definitely not cooperate with:
Network marketing
Campaigns cooperating with the Russians","Hillel IT SchoolHillel IT School
53630296, Project Management53630296, Project Management
Mar 2023 - May 2023
Grade: ExcellentGrade: Excellent
Activities and societies: - Understanding the SDLC project
- Approaches to software development (Waterfall, Kanban, SCRUM, Lean, XP)
- Project documentation. Stakeholders.
- Project communications management.
- Collection of requirements from the client.
- Management of the scope of work on the project.
- Resource management, team work.
- Project budget management.
- Team motivation.
- Time and schedule management in an IT project.
- Risk management in an IT project.
- Jira / Confluence.Activities and societies: 
It is impossible to master all the details of a project manager's work in three months. However, I have mastered the necessary base and am ready for further improvement.",Project Manager,intermediate,0.0,"Hillel IT SchoolHillel IT School
53630296, Project Management53630296, Project Management
Mar 2023 - May 2023
Grade: ExcellentGrade: Excellent
Activities and societies: - Understanding the SDLC project
- Approaches to software development (Waterfall, Kanban, SCRUM, Lean, XP)
- Project documentation. Stakeholders.
- Project communications management.
- Collection of requirements from the client.
- Management of the scope of work on the project.
- Resource management, team work.
- Project budget management.
- Team motivation.
- Time and schedule management in an IT project.
- Risk management in an IT project.
- Jira / Confluence.Activities and societies: 
It is impossible to master all the details of a project manager's work in three months. However, I have mastered the necessary base and am ready for further improvement.
Group leader at ПП ""ІРВАН"" 2021-2023
Management of the construction process of the Internet communication network
in different regions of Ukraine. Team management. Project budget management.
Purchase of necessary equipment and materials. Maintenance of project
documentation.

Chef's assistant at Restaurant chain ""Італійський квартал"" 2019-2020
Food preparation according to standards. Team management. Documentation
management.
I will definitely not cooperate with:
Network marketing
Campaigns cooperating with the Russians",en,7f4da53b-d213-56f4-a51d-cc7aca3f6b97,112588,1
305,Junior Project Manager,"Guided 2 Projects: QAX Camp and QAX Travel from the start of their creation till their implementation. SRCUM and Kanban methodologies were used. 
My main responsibilities were: 
Organization of software development processes;
Meetings planning, their moderation, and facilitation;
Identification of tasks and monitoring of their implementation by all other members of the project team;
Development and maintaining of the project documents;
Keep notes of meetings;
Be a “link” between project team members, and between the project team and other stakeholders;
Elimination of the obstacles on the way of the project team
Conduction of Retrospective, Planning, and other SCRUM events;

For the future, I'd like to expand my experience in Project Management more deeply to project planning, business analysis.",,"Successfully graduated from QA courses;
Have 3+ years of commercial experience in Software Testing; 
Have commercial experience in Project Management; 
Maintained 2 projects from start to their implementation;
Created a knowledge base for QA trainees; 
Successfully mentored several newbies;",Project Manager,upper,1.5,"Successfully graduated from QA courses;
Have 3+ years of commercial experience in Software Testing; 
Have commercial experience in Project Management; 
Maintained 2 projects from start to their implementation;
Created a knowledge base for QA trainees; 
Successfully mentored several newbies;
Guided 2 Projects: QAX Camp and QAX Travel from the start of their creation till their implementation. SRCUM and Kanban methodologies were used. 
My main responsibilities were: 
Organization of software development processes;
Meetings planning, their moderation, and facilitation;
Identification of tasks and monitoring of their implementation by all other members of the project team;
Development and maintaining of the project documents;
Keep notes of meetings;
Be a “link” between project team members, and between the project team and other stakeholders;
Elimination of the obstacles on the way of the project team
Conduction of Retrospective, Planning, and other SCRUM events;

For the future, I'd like to expand my experience in Project Management more deeply to project planning, business analysis.
",en,ae4c91d4-d638-5541-b20a-75f3b4ed1721,112589,1
