GPT-35 Conversation-Improved CV Google PM Score,GPT-4o Conversation-Improved CV Google PM Score,Twice GPT-4o Conversation-Improved CV Google PM Score,GPT-4o-mini Improved Google Score,Cleaned GPT-4o Conversation-Improved CV Google Score,Cleaned Twice GPT-4o Conversation-Improved CV Google Score,Original Google Score
80.191,79.982,83.125,82.88,79.987,80.364,79.82
81.182,81.208,82.494,82.451,82.265,82.29,80.863
81.703,82.053,83.361,83.255,78.865,79.588,80.198
77.327,77.235,82.743,81.87,79.94,80.229,80.466
78.331,78.902,80.349,79.833,78.691,79.461,78.434
79.489,79.43,80.874,80.059,79.413,78.934,79.826
79.597,81.792,80.627,79.763,79.33,80.465,79.471
76.637,77.893,79.933,79.335,77.96,77.544,77.39
78.99,82.38,81.002,81.31,80.805,81.292,80.539
77.877,78.309,77.773,77.826,77.242,77.656,78.231
79.088,80.257,81.037,77.991,77.737,77.011,77.884
77.71,78.803,81.746,82.035,79.989,80.311,80.193
75.186,79.031,78.623,77.339,79.814,79.932,77.577
77.311,77.813,77.924,77.939,76.444,76.39,76.603
75.942,77.817,76.269,76.205,75.943,77.132,76.121
80.418,81.493,83.06,82.343,80.115,81.076,80.135
79.244,79.633,79.195,78.647,78.475,78.418,78.658
73.745,79.801,80.064,79.082,79.833,79.043,78.275
79.509,82.066,80.131,80.283,80.268,81.676,80.374
78.525,80.249,78.98,79.698,79.542,80.206,79.345
80.665,81.015,80.03,80.624,79.551,79.336,78.982
80.569,81.909,83.209,83.285,82.429,81.641,80.316
78.863,79.134,81.067,81.073,80.186,79.854,80.333
76.806,76.485,78.039,78.4,77.955,78.125,77.049
77.791,76.82,80.693,81.264,79.915,79.136,79.743
79.926,80.373,81.387,81.421,80.296,79.969,80.593
77.665,78.273,75.194,74.785,76.372,76.311,74.234
78.972,79.433,79.424,79.669,78.109,78.298,78.321
75.863,76.203,75.766,75.561,76.873,76.431,75.865
79.892,79.852,79.907,79.428,79.596,80.328,78.548
74.227,76.545,78.841,78.021,78.014,77.67,77.255
