id,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
3155,"Agile Transformation - Led transformation for 50+ people
Scrum Master - Managed 5 teams in parallel
Project Management - Implemented projects according to PMBOK"
3156,"- Collaborated with 3 teams to improve efficiency and self-management, reduce dependencies between areas of responsibility, focus on releasing increments at the end of the sprint, increase readiness criteria, remove obstacles on the way to team goals, and ensure positive, productive, and timely Scrum events.

- Interacted with 3 Product Owners to assist in defining product and sprint goals, manage Product Backlog, prepare and implement planning, and facilitate interaction and communication with stakeholders.

- Provided organizational support by helping understand agile approaches to software development, implementing good practices, adapting and tuning tools, optimizing, creating, implementing, and supporting processes, building productive relationships between individuals, assisting in hiring staff, facilitating interaction between organization departments, and removing obstacles to ensure cooperation between departments and teams."
3157,"Gulnar Abasova
Master's student in International Project Management at Vilnius University
- Lithuanian State Scholarship recipient
- 1 year of experience working with self-managing and cross-functional developer teams
- Facilitated Scrum events from sprint planning to sprint retrospective
- Managed project schedule and met with product owners for grooming sessions
- Ensured Agile/Scrum principles were followed
- Oversaw exchange of information between product owner and development team
- Helped development team meet project deadlines, doubling speed since transition to Agile format
- Worked on Fintech-related projects, including internal systems for sales team and online banking apps
- Experienced in Notion, Jira Atlassian, and Ms Project for tracking product development life cycle
- Involved in idea generation, UX research, wireframing, QA, and debugging
- Seeking to expand skills in agile management and explore new opportunities
- Thrilled to work with development teams, especially in a start-up environment"
3158,"- 5+ years of hands-on experience in managing distributed teams (up to 40FTE), 3 years in a Scrum Master role
- Skilled in project management best practices
- Strong with facilitating Scrum Ceremonies, removing impediments, and establishing a collaborative team environment
- Coaching agile teams, helping in self-organization and cross-functionality development, and promoting high-performance team culture
- Building and maintaining trustful relationships with clients, organizations communication processes, driving meetings
- Providing regular reporting, tracking project statuses, risk management, and collecting metrics
- Proven problem-solving, analytical, and research skills
- Experienced in people management, resourcing, and recruitment for the projects
- Certified SAFe® 5 Scrum Master
- Certified SAFe® 5 Advanced Scrum Master
- Certified AgilityHealth® Facilitator for SAFe®"
3159,"Agile project manager and Scrum Master with experience leading teams on various projects. Focused on business objectives, tracked progress, and ensured timely completion of project milestones. Defined processes and tools tailored to each project, adapting to different approaches based on project specifics and client goals. Strong team building and communication skills, adaptable to changing requirements."
3160,"- Over 12 years of professional experience in the Information Technologies (IT) industry;
- More than 11 years of working experience in IT Management;
- 4+ years of experience in Agile methodologies;
- Possess certifications including CSM, CSPO, ICP-APM, etc.;
- Skilled in outsource and product development;
- Proficient in leading teams of 30+ Engineers across multiple teams;
- Experienced in building engineering teams from the ground up;
- Strong knowledge and experience in Agile (Scrum, XP, Kanban) and Waterfall methodologies;
- Actively involved in maintaining Agile community and promoting Agile values;
- Experienced in fulfilling roles as Scrum Master and Product Owner;
- Demonstrated strong soft skills, leadership abilities, and mentorship qualities;
- Proficient in various Project Management tools;
- Successfully managed interesting live projects with professional expertise."
3161,"I am a full-scale project manager with 10+ years of experience in IT companies, from product idea to product launch. I have worked in distributed teams with up to 50 people and managed more than 5 projects simultaneously. I have successfully delivered over 20 projects of various sizes and complexity. I am a proactive manager with 10+ years of experience in project management at international product and IT outsourcing companies. I have a high level of personal initiative and can establish contacts with people from different areas quickly. My main focus is on attention to the client's needs and team care. In the past year, my teams have successfully released more than 5 products, including platforms, marketplaces, mobile apps, and websites."
3162,"Senior Scrum master with experience managing up to 5 teams (35 FTE) at the portfolio level. Skilled in risk management, release and delivery planning. Agile coach in LessHuge setup for 1 product area (6 teams), overseeing flow, coaching PO, and facilitating multi-team events. Project/Delivery manager with expertise in ERP projects at Carlsberg Ukraine, including UPS logistic implementation for 60 distributors and support for over 3000 users. Experienced in automation projects for «Ukrtelekom» in areas such as record-keeping, finances, and management. Proficient in managing projects in various domains such as CRM, logistic, sales, finance, and marketing. Skilled in time and material and fix price project approaches. Strong technical skills in SQL, HTML, CSS, JS, React, .Net, Core. Proficient in tools such as GitHub, Jira, and TFS. Fluent in professional English. Passionate about working in a creative, friendly environment and contributing to product development with high professionals. Eager to share experience, learn from others, and grow professionally. Interested in working internationally and improving processes for effective results."
3186,"- Managed and coordinated up to 30 projects, showcasing exceptional multitasking skills and maintaining high standards of quality and efficiency.
- Orchestrated large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams.
- Assisted customers in developing and implementing production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy.
- Tracked key metrics, promptly addressed customer concerns, and delivered superior results to demonstrate strong customer service orientation.
- Evaluated and optimized the performance of the data labeling workforce, providing guidance and support to maximize productivity and achieve outstanding outcomes.
- Conducted regular calls with customers and service providers to build and nurture strong relationships for effective communication channels.
- Accurately calculated customer budgets and estimated costs for service providers to promote financial transparency and cost-efficiency.
- Created comprehensive statements of work (SOW) and ensured ongoing alignment with stakeholders to establish clear expectations for project deliverables.
- Monitored industry trends and emerging technologies to provide valuable recommendations for product enhancements and process optimizations.
- Supervised and guided the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement.
- Collaborated closely with service providers to cultivate strong partnerships and drive successful project delivery.
- Demonstrated exceptional leadership skills by fostering a collaborative and inclusive work environment and encouraging cross-functional cooperation.
- Leveraged outstanding organizational and multitasking abilities to manage a substantial workload, meet deadlines, and achieve project milestones."
3225,"- Over 10 cases in various niches
- Led the development of 6 cases from inception
- Developed and implemented own process for managing reputation

1. AMAZON MARKETING MANAGER - (JAN. 2022 - PRESENT)
DIGIORANGE - BROOKLYN, NY, USA

2. MARKETING PROJECT MANAGER - (SEP. 2021 - JAN. 2022)
TBI-PRO – Chicago, IL, USA

3. MARKETPLACES PROJECT MANAGER - (DEC. 2018 – SEP. 2021)
FDS-IT – Staten Island, NY, USA

4. AMAZON MANAGER - (2015 - 2018)
SHOPPING CART ELITE, Brooklyn, NY, USA"
3315,"- Proficient in writing use cases and user stories
- Experienced in BPMN, Agile, and Scrum methodologies
- Skilled in planning business analysis activities and defining business needs
- Able to define solution scope and conduct stakeholder analysis
- Experienced in conducting elicitation activities and collecting, analyzing, and documenting business, functional, and non-functional requirements
- Capable of managing solution scope and communicating requirements effectively
- Skilled in conducting solution assessment and validation
- Experienced in knowledge transfer to stakeholders
- Proficient in project management
- Proficient in Excel and Visual Basic (VB)"
3321,"Organization: Kyivstar Private Joint Stock Company
Position: Commodity Market Research Analyst-Specialist
- Managed marketing research projects
- Conducted negotiations and consultations with customers
- Communicated with contractors
- Handled document management
- Conducted research and budget planning
- Managed database and formed queries by parameters
- Studied the Telecom market and provided relevant primary and secondary marketing information

Organization: Silpo-Food LLC (Fozzy Group)
Position: Research Manager
- Managed marketing research projects including qualitative and quantitative studies
- Conducted negotiations and consultations with customers on research design
- Conducted ad-hoc and longitudinal studies
- Programmed questionnaires
- Processed and analyzed data
- Prepared reporting materials
- Presented research results
- Controlled work of field supervisors and operators
- Obtained relevant primary and secondary marketing information

Motivated to further develop as an Analyst, interested in gaining more specified skills in data processing using different instruments such as SQL, Tableau, etc. Also interested in working as an Analyst for business needs by providing surveys to test working hypotheses."
3332,"Implemented software solutions including a Customer Relationship Management system and desktop application. Responsibilities included market analysis, stakeholder communication, determining development direction, setting goals and deadlines, prototyping systems, conducting User Acceptance Testing, and implementing systems. Proficient in tools such as MS Project, Trello, Atlassian, Office 365, and Pencil and Paper."
5877,"Architecture / Databases
- Designed and implemented data storage up to 50 Terabyte using Hadoop
- Serverless architecture with near to zero cost of idle.
- Infrastructure as a code on the k8s and delivery process with minimal DevOps involvement.

Product/Project Management:
- Initiated Messenger project on all popular mobile platforms which full-feature product ready(Apple Store, Google Play publish) in 6 months from scratch.
- Formally recognized for playing an instrumental role in the implementation of cost savings measures in SDLC process.

Human Resources:
- Hire 50+ developers in 4 months with less than 5% turnover.

Latest Projects
NDA , 2019
- Role - Architect/DevOps - Infrastructure as a code on AWS, Terraform, Kubernetes, Helm, CI/CD.
Ternary Intelligence - http://ternaryintelligence.com, 2018
- Role - Architect/Project manager - Serverless AWS cloud architecture in the fintech scope.
One space - https://spywords.ru , 2018
- Role - Architect/Data science - Hadoop infrastructure, web scraping, data engineering.
Defcom - https://defcom.com , 2016
- Role - Project manager/Architect. Mobile development. Secure messaging."
5981,"Product Manager at HeyJoy Toy Store, responsible for creating an app and delivering the first MVP to prove value hypothesis.

Product Manager at Snap, leading big AR projects for clients including Disney, Nike, Microsoft, Universal, and Verizon. Also served as Lead of internal AR innovations at Sponsored AR department.

Project Manager at Snap, managing complex and challenging AR projects development at Sponsored Lenses department. Balancing client expectations with team capabilities, evaluating risks, and improving processes between cross-functional teams.

Experienced in creating new products from idea to MVP and launch. Skilled in negotiations with clients and production teams."
6043,"Project Manager at SoftServe
October 2021 - present

Service manager at Veteran Hub Dnipro
September 2020 - October 2020
Managing a team of 6 members. Personnel hiring and onboarding. Setting up work and reporting processes. Managing a specialists` team of different professionals areas (psychological, legal, career directions). Monitoring the compliance with the organization's standards in the operational activities of the team. Conflict management.

Junior 3D artist, freelance (remote)
December 2019 - September 2020
Low and high-poly modeling, UV unwrapping, texturing, baking, level design.

Hotel manager, Mykulychyn
November 2018 - November 2019
Being responsible for hotel revenue and client satisfaction. Management of hotel operations, reservations and hotel pages on booking services. Сommunication with guests, receiving payments, personnel management and control over the implementation of tasks. Decision-making about the hotel and territory. Booking.com rate mark increased to 9.0 from 8.7 as a result of work.

Artillery battery control platoon commander, 4th Rapid Reaction Brigade of the National Guard of Ukraine, Gostomel
November 2016 - November 2018
Leading a team of 10 members. Managing people of different ages and levels of motivation, creating and maintaining team spirit in the team. Perform accurate mathematical calculations and geometric drawings in the shortest possible time. Responsibility for maintaining and complying with the conditions storage of high-precision devices of high cost (to 20,000 euros per unit). Analysis of logistics routes, qualitative and quantitative characteristics of the observation objects based on data obtained from various sources.

Hotel manager, remote
April 2015 - November 2016"
6078,"- Experience working with major GameDev companies worldwide
- Involvement in development of several well-known titles in the GameDev industry
- Estimation of new scope of work based on provided references and briefs
- Communication with partners via email and calls
- Project management throughout full life-cycle, including kick-off calls, internal retrospectives, and task allocation to artist teams
- Daily meetings with project teams
- Collaboration with Legal and Finance Departments to ensure all necessary legal documents and agreements are in place, issuing invoices, and tracking payments
- Calculation of project efficiency prior to start date, resource reallocation, risk management
- Maintenance of project efficiency as initially planned
- Handling change requests by gathering information, preparing arguments, setting up meetings with department heads
- Project closure, tracking team progress in Jira, conducting retrospectives, issuing final invoice
- Experience exclusively in GameDev and product companies
- Strong emphasis on maintaining a healthy team and office environment"
6081,"ACHIEVEMENTS:

- Built a team of 7 people, debugging processes almost from scratch
- Created a convenient and understandable system for assessing employees of the Art Department
- Brought employees on the verge of quitting to a new level (using performance reviews)
- Created a number of documents that all new managers use (own workflow, team framework, department structure, performance review, screenshot guide and many others)
- Creation of illustrations and design for ECO-school in Moscow
- Creation of illustrations for a museum about space in Moscow time
- Illustrations for the restaurant Gorynych
- Illustrations for ISBC
- Suggestions for improving the operation of services that simplified processes within the company
- Drawing up work instructions and regulations for the key account department, thanks to which the training of new employees has become faster and easier
- Resolving controversial and complex situations in favor of clients, without losing further interaction with them
- Fulfillment and overfulfillment of sales plans
- Organized a new format of the event in the company - an ecological quest, increasing the amount of a deal with a regular client more than twice compared to previous events
- Accompanied clients on all points, holding the event at a high level, noted by management for active assistance in organizing events and high-quality performance of duties

EXPERIENCE:

Art Team Manager 2021-Present
- Management of team work (documents, calls, evaluation system, reporting, etc.) - 7 artists
- Analysis, building processes within the team and its development
- Documentation of processes
- Specification of tasks for the team
- Generation of ideas, formation of technical specifications
- Monitoring the implementation of tasks by the team, evaluation of results, feedback
- Quality control of team work
- Monitoring the motivation and performance of employees
- Close cooperation with Art Lead on the issues of competent formation of tasks, requirements and deadlines
- Reporting
- Building a benchmark / market research
- Occasional assistance in the preparation of company documents and etc

Illustrator Designer 2018-2021
- Create personal stickers for telegram
- Creation of icons and illustrations for social networks, prints for clothes
- Illustrations for magazines
- Creation of posters (movies, events, etc.)
- Illustrations for presentations
- Development of logos, stickers
- Design of advertising materials for social networks
- Creation of vector characters for animation

Internal and External Communications Manager 2016-2018
- Drawing up instructions, regulations, motivational models for company employees
- Working closely with related departments to achieve better results
- Working with partners
- Negotiating and signing contracts, monitoring compliance with contractual agreements, changing the terms of the contract
- Full management of trading floors - Wildberries and Ozone
- Organization of shipments to Wildberries
- Work in 1C, Bitrix, on the Wildberry platform, Diadoc

Event Manager 2015-2016
- Close work with related project departments
- Participation in the preparation and conduct of the event
- Control over the delivery of the project at all stages
- Maintaining constant contact with existing clients, organizing work with them according to established business schemes
- Working with presentations, drawing up proposals, miscalculating estimates
- Keeping a client from the first call to the end of the event"
6082,"- Experienced in task and project management of 2D/3D art, including planning workload, creating/giving assignments, process coordination, quality and priority control, communication with clients, and retrospectives
- Basic knowledge of Scrum and Kanban in GameDev
- Skilled in people management, including mentoring and onboarding new artists and project managers, conducting 1:1 meetings with artists, performance and skills reviews, and conflict resolution
- Managed teams of up to 30 people
- Proficient in creating info-bases and systematization of knowledge and experience, including art and inner work guides
- Experienced in analyzing and optimizing processes
- Skilled in art directing, including quality and style control
- Prioritizes GameDev domain
- Seeks opportunities with product companies or long-term projects
- Fast learner with a focus on professional growth
- Interested in gaining more experience with 3D, VFX, VR, video, or game production."
6090,"Education:
- Bachelor's degree in Economics of Enterprise from Kharkov National University of Economic
- Currently pursuing a Master's degree in Project Management

Professional Development:
- 2017: Completed Project Manager course from Source IT
- 2016: Completed English courses at Green Forest
- 2015: Completed English courses at Language Center

Skills:
- Ability to work effectively in a team
- Quick learner
- Proficient in Agile (SCRUM / KanBan) and Waterfall project management methodologies
- Experienced in writing project documents such as proposals, terms of reference, project plans, risks, and work breakdown structures

Work Experience:
- Assistant Manager at a company selling electrical goods
- Responsibilities included attracting new clients, receiving and processing orders, invoicing customers, record-keeping, and managing inventory

Objective:
- Seeking a position as a Project Manager's Assistant to further develop skills in project management and contribute to a team environment. Passionate about learning, growth, and creating value in the field."
6127,"Mobile Product Manager with 2 years of experience in ASO, ASA, and Incentive Traffic. Skilled in keyword research, metadata optimization, A/B testing, and conversion rate optimization to increase organic downloads and improve app store rankings. Proficient in developing and executing ASO strategies aligned with business goals, user needs, and market trends. Strong understanding of mobile app analytics for data-driven decision-making. Effective collaborator with cross-functional teams and proficient in agile methodologies for efficient product development cycles."
6211,"Education:

Master of Economy and Management
2020

Bachelor of Management
2017

Project Management Specialization
University of Colorado Boulder
2023
Including courses:
- Project Management: Foundations and Initiation
- Project Planning and Execution
- Agile Project Management

Scrum Master Certification
Learn Quest
2023
Including courses:
- Introduction to Scrum Master Training
- Scrum Master Certification: Scrum Methodologies
- Scrum Master Certification: Scaling Agile and the Team-of-Teams
- Combining Scrum with Other Agile Methodologies

Information Systems Specialization
University of Minnesota, Carlson School of Management
2023
Including courses:
- Enterprise Systems
- IT Infrastructure and Emerging Trends
- Analysis for Business Systems

Certificate in Marketing and Communications
International Business Management Institute of Berlin, Germany
2021

Certificate in Leadership and Team Development
International Business Management Institute of Berlin, Germany
2020

Work Experience:

Assistant IT Project Manager
- Driving business process optimization and automation by identifying solutions for enhanced efficiency
- Analyzing and translating business requirements into effective IT mechanisms
- Specializing in end-to-end implementation of new solutions within a proprietary ERP system
- Collaborating closely with relevant departments to understand project requirements and priorities within the agile framework
- Collaborating closely with developers to ensure smooth implementation among users
- Defining user stories based on customer requirements and prioritizing them for the development team
- Seeking opportunities to streamline operations and maximize productivity

Data Analyst (2+ years experience)
- Managing extensive macroeconomic and financial datasets for multiple countries, both public and private sectors, ensuring accuracy and quality within tight timelines
- Communicating effectively with sources to maintain data integrity, identify patterns, and address client queries
- Coordinating external and internal client interactions using the CRM system, overseeing requests, and executing quality improvement projects
- Utilizing in-house project management system to troubleshoot and resolve issue tickets, delivering effective client solutions
- Proactively identifying process enhancement opportunities through regular quality and technology projects
- Collaborating with IT teams to ensure seamless availability and accessibility of essential data sources"
6213,"I am managing my pet project of an Online Shop for developmental children’s toys, with a team of four people: a Power Query Developer, a Designer, a Sales Manager, and a Supply Manager. My responsibilities include organization and coordination of the team's work, time & task management in Notion, execution and roadmap control, drafting and maintenance of project documentation and instructions, and solving legal issues.

Project Management Intern, We Challenge & UNIT.City
Kyiv, Ukraine (February 2023 - March 2023)

Project type: IT events organization
Responsibilities:
– Led and facilitated the Intern team
– Prepared Impact map of the project
– Prepared Project plan (WBS, Timeline, Resources)
– Prepared Risks register
– Prepared Stakeholder Register, Map, Matrix & RACI Matrix
– Prepared Stakeholder communication plan
– Maintained Business communication with Stakeholders
– Research and analysis

Tools:
– Notion
– Trello
– Slack
– Miro
– Canva
– Google Meet & Gather
– Google Workspace (Docs & Sheets, Calendar)

I am interested in the Assistant / Junior Project Manager position at IT Company. I have completed the following courses to master project management in the IT area:
– ""Fundamentals of team and project management in IT"" from Lviv IT School (LITS), in 2021;
– ""IT Project Management"" from Creative&Tech Online Institute: Projector, in the period November 2021 – February 2022; 
– ""Become a Project Manager"", LinkedIn Learning Path, in March 2023.

While taking the mentioned courses, I worked with tools like Trello, Jira, Miro, Canva, Confluence, Notion, Gantter, Slack, Gather, Google Workspace / Microsoft Office, in particular, on:
– Impact Map & Work Breakdown Structure (WBS), Gantt Chart;
– Risk Register, Stakeholders Register, Stakeholders Map / Matrix & RACI Matrix;
– User Stories & User Story Map, including preparing Definition of Ready and Definition of Done;
– Task estimation, using different methods, like Big/Small/Uncertain, Poker Planning, and T-Shirt Sizes.

I have a basic knowledge of project management, software development life cycle (SDLC), and methodologies (Waterfall, Scrum, Kanban).

In addition, I have a master's degree in law and have been working as a legal counsel for more than five years, including in the IT area. I have overseen a team of five legal counsels, and controlled and coordinated their work. My experience as a lawyer allows me to perform functions in project management, such as communication with Customers and Stakeholders, organization and coordination of teamwork, managing the project, deadlines, and tasks, creating a project plan, maintaining project documentation, registers, and preparing reports, and preparation of various legal documents.

I am an experienced user of Windows, MS Office, and basic Google applications. I am fluent in Ukrainian and Russian; I speak English at an upper-intermediate level and I am constantly working on improving my English. My soft skills include proactivity, communicativeness, multitasking, self-organization, fast learning, active listening, and teamwork."
6214,"Objective: Junior Project Manager seeking to apply basic knowledge of project management, SDLC, and methodologies (Scrum, Agile) gained from completion of Project Management Course. Previous experience includes working with customers and stakeholders, managing projects, organizing and coordinating team work, maintaining project documentation, and preparing legal documents. Proficient in Windows, MS Office, and basic Google applications. Strong team player with a reliable and hard-working attitude."
6231,"Project Management Specialist at Grant Thornton Ukraine, Kyiv

- Communicate with Customers and Contractors
- Maintain work documentation and schedule of Projects execution
- Collect and analyze information necessary for the implementation of Projects
- Provide administrative assistance in conducting work meetings
- Prepare reports

Completed Projects:
- Developed a system for monitoring the achievement of the Sustainable Development Goals in Kyiv city
- Conducted anti-corruption policy audits
- Performed audits of financial statements

Computer programs: Microsoft Office, 1C/BAS, CRM Bitrix 24, Smart Tender

English level: Upper-intermediate

Seeking roles as Information Technology Manager, Product Manager, Assistant Team Manager, Assistant Project Manager, or Project Office Coordinator

Skills: Responsible, attentive, self-motivated, hard-working, team player, adaptable, analytical thinker."
6232,"- Managed 20+ educational projects for over 500+ members of companies such as Boeing, Ubisoft, and Xpand
- Skilled in Agile and Scrum methodologies, including 1-1 meetings, stand-ups, retrospectives, and team motivation
- Implemented Lean methodology for continuous project improvement
- Participated in project design discussions and provided cost-saving solutions
- Monitored and enhanced field operations performance for timely and accurate delivery
- Acted as a liaison between stakeholders on project-related matters
- Communicated directly with customers to clarify requirements and manage expectations
- Planned, monitored, and prioritized team workload for project progress
- Organized project documentation and provided regular updates
- Coordinated project launch schedule and activities
- Proficient in risk management."
6233,"British Autoclub Assistance, Kiyv – IT-manager
September 2018 – March 2019
- Gathered requirements for composing MVP on the Web, app, CRM system projects.
- Provided black box/grey box testing and acceptance testing activities on delivered features on CRM, app projects.
- Managed app projected delivery activities on cooperation with foreign outsource team: project backlog forming, sprint backlog forming, manual testing and bug tracking activities.
- Provided support on 1C accountancy management and new features developing.

Pride International LLC., Kiyv – Project manager assistant / QA manager
August 2017 – September 2018
- Facilitated sprint planning and backlog of the product.
- Provided Quality assurance tests during Sprint workflow and final product releases.
- Assisted on resolution of the app and web-version defects.
- Assisted team to remove impediments by having an understanding the control and release processes.
- Tracked and effectively communicated team velocity and sprint/release progress to all affected teams and management.
- Assisted in defining and deploying new product development processes and in facilitating the continuous improvement of existing processes.

MBM Partners, Kiyv – Head of the Lead-generation and advertising departments
June 2015 – August 2017
- Providing and controlling complexes of activities devoted to lead-generation and traffic management.
- Developing the strategic guidelines and tactics of the company's behavioral activities in social networks (SMM).
- Providing Social media marketing planning, recommendations and its implementation.
- Composing tasks for script development for social media lead extraction.
- Providing automation and controlling tool integration for social media content."
6239,"• World TESOL Academy
120-Hour TESOL/TEFL Certificate
Accredited by ACCREDITAT & The CPD Certification Service
• 4+ years of experience teaching English
• Project Management Skills: Teacher, mentor, manager, psychologist for more than 20 people
• Fluent English (advanced)
• Excellent written and verbal communication
• Understanding of project lifecycle
• Learning Agile methodology, regularly analyzing progress and achieving over 80% of goals
• Practicing Sprint Retrospectives with students
• Understanding main metrics for Project Management
• Good working knowledge of MS Office
• Ability to multitask
• Sense of responsibility and punctuality
• Problem-solving ability
• Awareness of copywriter’s and videographer’s workflow
• Understanding of methodologies (Scrum/Kanban/Waterfall)
• Understanding of roles and functions in project management
• Understanding of principles behind the Agile Manifesto
• Developed activities and integrated technology to diversify instruction
• Increased ESL students' reading, grammar, and speaking levels
• Altered lesson plans for students needing extra guidance
• Created monthly academic status reports based on in-depth student evaluations
• Documented student attendance and progress against goals
• Conducted speaking clubs with students
• Business English instruction
• Conducted individual and group online English lessons
• Managed day-to-day meetings
• Created and managed class schedules
• Completed internship as customer support specialist, interacting with customers via text message interface and calls in Crisp, resolving product and service issues, working with company's CRM system, and utilizing sales tools such as Email Finder, Email Verifier, Email Warm-up, Drip Campaigns
• Seeking a career in project management role, eager to join a growing team in a customer-focused, innovative, challenging, and fun learning environment to acquire and hone valuable skills."
6240,"Experience:
Crunch - People Coordinator
- Serve as primary point of contact for the client regarding project information and updates
- Ensure stakeholders are regularly updated on the status of all sites in project through meetings, correspondence and status trackers
- Forecast, track and manage resource planning
- Identify project resources necessary and partner with other company managers to acquire resources
- Build and nurture an effective and collaborative project team. Promote effective individual and team performance
- Track internal project team assignments
- Monitor team and specialists states to identify and prevent risks and their consequences
- Inform and consult specialists about social and remuneration policies of the company
- Organize and conduct Team Buildings according to the needs and the current team state

Education:
- Fundamentals of Team and Project Management in IT. Preparatory course by Prometheus (October 2021)
- Project manager Profession | 10.0 course by GeniusMarketing (May 2022)
- Basic Course by Online Ukrainian School of Project Management by Denys Prylutskyi (July 2022)"
6254,"Skills:
- Proficient in using platforms such as Facebook ads, Instagram, Miro, Asana, Figma, Pipe Drive, Expandi, LinkedIn, Google Meet, Google Sheets, Google Docs
- Experienced in marketing
- 1 year of experience as a Lead-Generation manager in a website development company
- Experience in social media marketing, specifically in target advertising on Facebook Ads
- Worked as a Business developer/SDR/Sales manager/Account manager in a crypto marketing agency
- Strong desire to learn and gain new knowledge
- Sociable and creative individual with a passion for idea generation and team planning
- Skilled in effective time management and planning using Miro
- Interested in pursuing a career as a project manager"
6255,"Responsible and proactive Delivery Coordinator/Error Manager with 8 years of experience in automotive embedded projects. Skilled in customer communication, team organization, Jira, Confluence, and Test Planning. Master's Degree in Automobile/Automotive Mechanics Technology from National Transport University. Seeking a new opportunity in the automotive industry."
6342,"Mrowki-UA Consulting. HR. 2021-2022 Automation project manager Provided automation for all company's processes and managed website development in the automation part of the project. Also wrote bots in messenger to make communication easier and faster.

Interra online school www.interra.bz 2020-2022 Automation project manager/ Business Analyst Discovered the company's business process and proposed transformations. Provided and installed automation in Bitrix and analytics decisions in Power BI, which helped the company save money, time, and improve service quality.

RublevFamily Quest franchise fr.fortfamily.ru 2018-2022 Automation project manager Started with automation for the franchise sales department. Provided automation for all franchise partners for their sales departments and set up marketing analytics.

BizRaise Marketing agency bizraise.pro 2017-2018 Automation Project Manager / Business Analyst Worked in various business areas focusing on business processes and automation. Projects began with a transparent view of customer processes and finding automation solutions for their requests or problems."
7630,"Market research, social media marketing, email marketing, Google/Instagram/Facebook advertising, managing contractors, basic SEO, backlinks, content creation. Skilled in people management, team coordination, conflict resolution, and creating transparent systems. Proficient in Google Ads (Editor), Google Tag Manager, Google Analytics, Facebook Business Manager, LinkedIn, Mailchimp, Tilda, Wix, Bitrix, Ahrefs, Serpstat, SimilarWeb, Excel, PowerPoint. Basic knowledge of SQL, HTML, Adobe Photoshop, and Illustrator. Fluent in Ukrainian and Russian (C2), proficient in English and German (C1). Currently learning Spanish and French (A2). No experience in gaming, gambling, dating, or fraud."
7654,"Experience:
- 14 years of experience in the telecom industry, starting in customer service division in B2B sales
- Currently responsible for handling network coverage requests for corporate customers
- Skilled in analytical, managerial, and negotiation skills
- Experienced in working on business cases focused on base stations construction for B2B customers
- Proficient in interacting with colleagues, contractors, customers, landlords, and engineers
- Strong in calculations of payback, company’s revenue, technical solutions optimization, and analyzing relevance of clients’ services
- Experienced in negotiating equipment placement and rent rates, as well as informing about radiofrequency radiation
- Skilled in negotiating with managers of all levels within the company
- Constantly learning for personal and professional development, including English language skills and content marketing
- Delivers training courses to colleagues on the life cycle of customers’ requests on coverage
- Interested in pursuing a position as a B2B sales manager or Project manager for further professional development

Achievements:
- Successfully launched the business process of dealing with network coverage requests for B2B customers"
8890,"BA/PM with experience in PM, UI/UX design, Scrum, Agile, Kanban, Quality Assurance (QA), knowledge base management, IT process optimization. Proficient in Confluence, Redmine, Jira, RUP, ERP, CRM, CSS, HTML, JavaScript, HTML5, UML, and Python. Not interested in roles related to Forex, Gambling, alcohol, or smoking industries."
8916,"- 10 years of experience in the IT industry
- Involved in multiple projects for governmental structures in Azerbaijan, including the card system for the Central Bank and the Inventory system for the Treasury of Azerbaijan Republic
- Managed projects in broadcasting, specifically in building the online TV system
- 5 years of experience in IT Distribution as a Business Development Manager and Channel Manager"
9028,"- Over 10 years of experience in reporting and developing BI/DWH, specializing in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes across various data domains such as Financial, Trading, and Accounting.
- Held Team Lead and Tech Lead positions for over 4 years.
- Extensive background in Data Architecture, Data Modeling, and Data Analysis spanning 9+ years.
- In-depth understanding of business goals and priorities within financial and product sectors.
- Skilled in writing Tech Design/Requirements documents.
- Proficient in agile development practices such as Scrum and Kanban.
- Strong communication and leadership abilities within teams.
- Experienced in prioritizing requirements with customers.
- Proficient in Oracle BI, PL/SQL, SQL, XML, Visual Basic (VB), SAP BO, Tableau, Jira, SVN, Crucible, Agile, Scrum, Pixel Perfect reporting, Financial and management banking reports, bank Accounting, Siebel / B2 / iFobs / isCard data structures."
9066,"- Consulting services of public procurement processes.
- Providing full cycle of tender procedure.
- Managing and coordinating service proposals, including technical and commercial aspects, from issue of calls for tender documents to bid submission.
- Managing bid logistics, developing the schedule for the team and setting responsibilities/ expectations for the bid – who does what and when.
- Serving as a contact for preparation of technical, commercial and contractual submissions in collaboration with all services.
- Coordinating and participating in drafting documents.
- Ensuring the quality and compliance of service proposals within the stipulated deadline.
- Providing liaison and gathering necessary information from all internal and external parties involved (HR, finance, purchasing, legal services, partners, etc.).
- Managing proposal costs and deadlines.
- Working in close cooperation with account directors for service proposals and submission documents as well as communications, discussions and client meetings during the proposal process and following its development.
- Optimizing the effectiveness of the service proposal process.
- Improving the tools developed, to increase the quality of submission documents and ensure compliance with standards, guidelines."
