,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
56650,"**GRAPHIC DESIGNER**

**Professional Summary**
Skilled Graphic Designer with 2 years of professional experience in creating visually appealing designs and delivering high-quality solutions. Proficient in industry-standard design software with a keen eye for detail, strong foundation in graphic design principles, and commitment to staying updated with industry trends.

**Core Competencies**
- Adobe Photoshop
- Adobe Illustrator
- Adobe InDesign
- Adobe Premiere Pro
- Adobe After Effects
- Adobe Figma
- Brand Identity Development
- Marketing Campaign Execution
- Project Management
- Client Requirements Analysis
- Visual Problem Solving

**Professional Accomplishments**
- Developed a captivating brand identity for a startup
- Executed successful marketing campaigns with engaging visuals
- Managed multiple projects consistently meeting deadlines and exceeding expectations
- Created diverse design solutions across branding, marketing materials, digital illustrations, and layout designs
- Received recognition for attention to detail and creativity

**Career Objective**
Seeking a creative and collaborative environment to leverage graphic design expertise across diverse projects. Motivated by dynamic teams that value contributions, offer professional growth opportunities, and foster positive work environments."
56651,"UI/UX Designer

Professional Summary
Experienced UI/UX Designer with 4 years of proven expertise in designing digital products and enterprise solutions. Skilled in industry-leading design tools and passionate about creating impactful user experiences across diverse project scales.

Core Competencies
• User Interface Design
• User Experience Design
• Figma
• Sketch
• Photoshop
• Illustrator
• Axure
• Principle
• Enterprise Design
• Startup Projects

Experience
UI/UX Designer | 4 Years
Specialized in designing user interfaces and experiences for enterprise and startup projects using professional design tools including Figma, Sketch, Photoshop, Illustrator, Axure, and Principle."
56652,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
Dedicated design professional with 9 years of experience in UI, product, and creative design. Committed to continuous learning and growth. Seeking opportunities with a forward-thinking organization that values both company and professional development.

## EXPERIENCE

**Product Designer** | 6 Years
- Comprehensive product design support across multiple deliverables
- UI and prototyping design
- Banner and creative design for advertising and promotions
- Print production design

**Freelance Designer** | 3 Years
- Product-focused design solutions
- UI and prototyping design
- Banner and creative advertising design
- Promotional material creation
- Print production design

## TECHNICAL SKILLS
- Figma
- Adobe Creative Cloud
- 3ds Max

## CORE COMPETENCIES
- UI Design
- Prototyping
- Product Design
- Creative Direction
- Advertising Design
- Print Design"
56653,"# Graphic Designer & Marketing Specialist

## Professional Experience
Graphic Designer & Marketing Specialist
- 3+ years of professional design experience

## Core Competencies
- Social media content design
- Sticker pack design
- Landing page design
- Marketing materials design
- Adobe Creative Suite (Figma, Photoshop, Adobe Illustrator)"
56654,"# PROFESSIONAL SUMMARY

Creative Designer with extensive expertise in branding, web design, and print media. Proven ability to develop visually compelling design solutions tailored to diverse client needs across multiple industries. Skilled at managing projects from concept through completion while maintaining strict timelines and quality standards.

# CORE COMPETENCIES

- Branding & Visual Identity
- Web Design
- Print Media Design
- Client Relations & Communication
- Project Management
- Design Concept Presentation
- Visual Aesthetics & Design Principles

# TECHNICAL SKILLS

- Adobe Creative Suite
- Blender
- Figma
- Industry-Standard Design Software

# PROFESSIONAL ACHIEVEMENTS

- Delivered visually captivating and effective design solutions to diverse clientele consistently
- Managed multiple design projects successfully from concept through completion
- Built strong client relationships through effective communication and compelling design presentations
- Generated repeat business and positive client feedback
- Maintained proficiency in current design trends and techniques"
56656,"# RESUME

## PROFESSIONAL EXPERIENCE

**Graphic Designer – Volunteer Organizations**
One Heart and Creative Sich
- Created posters and illustrations for organizational needs
- Produced visual content utilizing design software including Adobe Illustrator, Adobe Photoshop, and Figma

## COMPETITION & PROJECTS

**UMO Global Innovation Challenge 2022 – Finalist**
- Participated in worldwide competition with theme ""Designing for Crisis""
- Led design of project through research and ideation phases
- Conducted primary and secondary research
- Facilitated ideation phase

## TECHNICAL SKILLS

**Primary Tools:** Adobe Illustrator, Adobe Photoshop, Figma

**Additional Tools:** Canva, Trello, InVision

**Currently Learning:** Adobe After Effects

## PROFESSIONAL INTERESTS

Seeking opportunities to collaborate with talented professionals and advance expertise in Graphic Design and UI/UX Design."
56657,"# PROFESSIONAL SUMMARY

UI/UX Designer and 2D Graphic Designer with 4 years of digital design experience. Skilled in creating visual content across web, mobile, and gaming platforms with proficiency in industry-standard design tools.

## CORE COMPETENCIES

**Design Software & Tools**
- Adobe Photoshop, Adobe Illustrator
- Sketch, Figma, inVision, Abstract, Craft plugin
- Wacom Intuos 4 Digital Tablet

**Design Expertise**
- UI/UX design for websites and mobile applications (iOS/Android)
- Icon, logo, and layout design
- 2D graphic design
- Workflow diagram creation
- Presentation templates and portfolio design
- Mobile game backgrounds and assets
- Marketing materials (banners, social media posts, press-wall illustrations, notebooks)
- Fundamental principles of drawing and painting in CG (light, shadow, tone, color, perspective, anatomy)
- Hand drawing and digital illustration

**Professional Skills**
- International client communication (email, phone)

## EDUCATION & PROFESSIONAL DEVELOPMENT

**ArtCraft Education LLP – Online Courses**
- Game Graphics (2021)
- Anatomy (2020)
- Digital Drawing (2019)

**IT School**
- Advanced Graphic Design Course: Adobe Photoshop, Adobe Illustrator (2017)"
56661,"# PROFESSIONAL RESUME

I am a highly skilled graphic and web designer with over ten years of industry experience. My expertise spans UI/UX design, web and mobile application design, logo design, and corporate identity. I combine extensive experience with the latest design trends and technologies to deliver high-quality, impactful solutions.

## PROFESSIONAL EXPERIENCE

**UI/UX Designer** | May 2019 - October 2022
Collaborated remotely as a team member on the design process for various B2B projects. Designed and optimized corporate websites, dashboards, and mobile applications using Figma. Delivered high-quality design solutions for multiple clients.

**UI/UX and Graphic Designer** | November 2015 - June 2019
Played a pivotal role in a Canadian real estate startup, spearheading the design of websites and mobile interfaces. Leveraged Photoshop and Figma to create captivating visuals and seamless user interactions. Developed brand support materials, creating printed promotional materials for presentations and international trade shows.

**Web Designer** | February 2012 - October 2022
Operated within an Israeli digital agency, working on internal projects and delivering designs for diverse clients. Collaborated within a team of three designers, contributing to website design for cutting-edge fashion design software. Utilized Sketch, Figma, and Photoshop to execute projects.

## CORE COMPETENCIES

UI/UX Design, Web Design, Mobile Application Design, Logo Design, Corporate Identity, Figma, Photoshop, Sketch, Brand Development, Team Collaboration, Remote Work, B2B Design, Dashboard Design

I thrive in team-oriented environments where I can contribute my abilities and collaborate with others to achieve exceptional results. I actively seek remote positions offering exciting projects and opportunities for continued skill development."
56662,"Web/UI/UX Designer & Front-End Developer

Professional Summary
Accomplished Web/UI/UX and Graphics Designer with 5+ years of experience in digital design and HTML/CSS development. Proven expertise in delivering comprehensive design solutions across diverse project scopes while maintaining professional communication with English-speaking stakeholders.

Core Competencies
• Web & User Interface Design
• UX/User Experience Design
• Graphics Design
• HTML & CSS Development
• Brand Identity Design
• Print Materials Design
• Client Relations
• Project Management

Professional Experience
Web/UI/UX Designer & HTML/CSS Developer | [Company/Freelance] | [Years]
• Designed and developed web interfaces and user experiences across multiple projects
• Created comprehensive brand design solutions and print materials including booklets, flyers, and brochures
• Collaborated effectively within team environments on large-scale projects
• Managed independent projects with autonomous design decision-making
• Conducted client meetings, calls, and correspondence with English-speaking clients
• Maintained professional communication standards with international stakeholders"
56725,"# PROFESSIONAL SUMMARY

Passionate designer specializing in logo design and brand identity development. Combines technical expertise with conceptual thinking to translate meaningful ideas into laconic, accessible visual forms.

# CORE COMPETENCIES

**Design Specializations:**
- Logo Design & Brand Identity
- Web Design
- UX/UI Design

**Design Expertise:**
- Visual Composition & Typography
- Visual Hierarchy
- Client Relations & Requirements Analysis
- Design Principles & Best Practices

# PROFESSIONAL APPROACH

Dedicated to creating designs that balance client objectives with established design principles, including composition, typography, visual hierarchy, and user convenience. Specializes in clean, lightweight design solutions that communicate effectively."
56795,"# ALINA

## PROFESSIONAL SUMMARY
Open-minded Web Designer committed to delivering excellent results through graphic design expertise. Passionate about continuous learning and skill development while staying current with evolving design tools and industry trends.

## PROFESSIONAL EXPERIENCE

**Web Designer**
- Deliver high-quality design solutions
- Apply graphic design expertise to web projects

**Graphic Designer**
- Developed foundational design skills that enhance current web design work

## CORE COMPETENCIES
- Web Design
- Graphic Design
- Design Tools
- Problem Solving
- Attention to Detail

## PROFESSIONAL DEVELOPMENT
- Committed to learning new design tools
- Actively pursuing skill advancement
- Staying current with design industry developments"
56796,"ANN
Graphic Designer & UI/UX Designer

PROFESSIONAL SUMMARY
Creative Graphic Designer with five years of professional experience in IT company environments. Skilled in both graphic design and UI/UX design with expertise in user research, interface design, and interaction design. Seeking design opportunities to leverage creative capabilities on innovative and engaging projects.

CORE SKILLS
- User Research
- User Interface (UI) Design
- User Experience (UX) Design
- Interaction Design
- Wireframing and Prototyping
- Prototyping and Testing
- Graphic Design
- Digital Illustrations
- Typography
- Print Design
- Advertisement
- Ideation"
56797,"# Graphic and UI/UX Designer

**Professional Summary**

Creative Graphic and UI/UX Designer with 1 year of professional experience designing compelling visual content across multiple mediums. Proven track record of meeting strict deadlines and collaborating effectively within creative teams.

**Core Competencies**

- Graphic Design
- UI/UX Design
- Banner Design
- Flyer Design
- Poster Design
- Print Design
- Social Media Design
- Team Collaboration
- Project Deadline Management

**Professional Experience**

**Graphic and UI/UX Designer** | 1 Year

- Designed and produced banners, flyers, and posters for both print and social media applications
- Consistently delivered projects on schedule while maintaining high quality standards
- Collaborated effectively with creative teams on multiple design projects"
56798,"# Graphic Designer

## Professional Summary
Creative Graphic Designer with strong attention to detail and emotional intelligence. Collaborative professional known for attentive listening, reliability, and a client-focused approach. Quickly grasps client needs and delivers cohesive visual solutions with calm professionalism and sense of responsibility.

## Core Competencies
- Logo Design
- Brand Identity Creation
- Business Presentations
- Adobe Creative Suite (Illustrator, InDesign, Photoshop)
- Microsoft Office (Word, PowerPoint)

## Key Strengths
- Team collaboration and communication
- Client-focused design approach
- Attention to detail
- Emotional intelligence and reliability"
56799,"# GRAPHIC DESIGNER

**Portfolio:** www.rafaelabasov.com

## PROFESSIONAL SUMMARY

Highly skilled and creative graphic designer with expertise in branding, UI/UX, and visual content creation. Currently based in Azerbaijan, relocating to Prague in September 2023 to pursue Master's studies in Design. Available for remote work opportunities. Passionate about combining creative perspective with functional design through a minimalistic and effective approach.

## EXPERIENCE

**Freelance Graphic Designer**

Created visual content including logos, marketing materials, and web graphics for diverse clients. Demonstrated proficiency in branding, content creation, UI/UX design, album cover design, packaging, clothing design, and poster design. Experienced in video editing using Adobe Premiere Pro and Final Cut Pro. Collaborated closely with clients to understand project requirements and delivered designs that effectively communicated their messages.

## EDUCATION & PROFESSIONAL DEVELOPMENT

Google UX Design Professional Certificate Program (Currently Enrolled)

## TECHNICAL SKILLS

**Design Software:**
- Adobe Illustrator (Advanced)
- Adobe Photoshop (Advanced)
- Figma (Advanced)
- Adobe XD (Advanced)
- Sketch (Advanced)
- Adobe Premiere Pro (Intermediate)
- Final Cut Pro (Intermediate)

**Design Expertise:**
Design Thinking, Branding, Design Principles, Typography, Prototyping, Wireframing, User Flows, Mock-ups, Visual Design, User Research"
56800,"**GRAPHIC AND BRAND IDENTITY DESIGNER**

**Upwork** – Graphic and Brand Identity Designer | June 2022 – Present
- Create marketing materials for YouTube including banners, logos, and watermarks
- Design logos for clients in the USA
- Develop packaging designs for clients in the Netherlands and USA
- Design labels for Dutch craft beer
- Create and implement brand formation and development projects
- Produce marketing materials for web and print products

**Citrus** – Odessa | Graphic Designer | September 2021 – February 2022
- Created layouts for promotion of household and computer equipment for websites and outdoor advertising
- Designed printed products to support corporate style
- Adapted layouts for major brands including Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, and HUAWEI to Citrus corporate identity
- Adapted banners for social networks, Google advertising, and mass media
- Prepared printed materials in Corel Draw

**Upwork** – Graphic Designer | February 2021 – September 2021
- Worked with clients from the Netherlands and USA
- Created labels for beer products
- Designed banners for Instagram, Facebook, and Google advertising
- Prepared brand book for private clinic in Gayvoron, Ukraine
- Created logo for music equipment supplier in Lozova, Ukraine
- Designed labels for beer products in Folsgare, Netherlands
- Created and prepared Telegram stickers for printing in Adobe Illustrator and Corel Draw"
56801,"# Graphic Design & UI/UX Designer

**Professional Summary**
Accomplished designer with 10+ years of experience across multiple disciplines including graphic design, UI/UX design, illustrations, and digital marketing. Proven ability to master new design methodologies and deliver comprehensive design solutions.

**Core Competencies**
- Graphic Design
- User Interface (UI) Design
- User Experience (UX) Design
- Illustration
- Advertising & Marketing Materials
- Logotype Design
- Animation
- Presentation Design
- Design Systems
- Figma

**Professional Experience**

**User Interface Designer**
- Designed and prototyped a SaaS Design System using Figma
- Developed expertise in UI and UX Design principles

**Graphic Designer**
- Created illustrations, advertising banners, and social networking materials
- Designed logotypes and animations
- Produced presentation materials across diverse client projects
- 10+ years of progressive design experience"
56802,"# Resume

**Professional Experience**

**Game Design – Graphics**
Designed backgrounds and characters for game projects within an IT company

**Freelance Graphic Design**
Created graphic design work for various clients

**Design Services**
Developed presentations, market materials, and packaging design

**Core Competencies**
- Background and character design
- Graphic design
- Presentation design
- Marketing materials design
- Packaging design"
56803,"# RESUME

**PROFESSIONAL SUMMARY**

Design professional with 7 years of experience across diverse industries and design disciplines. Proven ability to approach complex problems from multiple perspectives, balancing UX solutions with marketing considerations. Seeking challenging projects with professional teams where I can apply comprehensive design expertise and continue professional development.

**EXPERIENCE**

- Startup company (mobile app production)
- Advertising agency
- Publishing house
- Direct manufacturer partnerships

**CORE COMPETENCIES**

- Multi-disciplinary design approach
- UX and marketing integration
- Resource optimization for design projects
- Cross-industry problem solving

**EDUCATION**

Bachelor's degree

**PROFESSIONAL DEVELOPMENT**

Continuously developing skills and pursuing ongoing education

**CAREER OBJECTIVES**

Interested in engaging with interesting and complex projects that challenge creative capabilities within a professional team environment."
56804,"# UI/UX Designer

## Professional Summary

Results-driven UI/UX designer with 3 years of experience specializing in creating clear, intuitive designs that enhance user experience and drive engagement. Expertise in layout development, prototyping, user interface testing, user behavior analysis, and technical integration. Committed to designing high-definition interfaces that improve people's lives through simple, discreet, and useful products.

## Professional Experience

**UI/UX Designer, Comportal**
October 2022 - Present

• Develop landing pages for small and medium-sized businesses
• Create layouts and prototypes for websites
• Evaluate and test user experience across digital platforms
• Develop user interfaces with focus on usability and intuitive design
• Collaborate with development teams and project managers to ensure seamless design integration

**Graphic Designer (Freelance), Resource Group**
February 2021 - Present

• Develop marketing materials to increase audience reach, trust, and loyalty
• Design layouts for print materials
• Create targeted advertising banners
• Develop website news banners
• Work with marketers and project managers to ensure timely, quality project delivery

**Graphic Designer, Liga.net**
September 2021 – December 2021

• Developed marketing materials to increase audience reach, trust, and loyalty
• Designed layouts for print materials
• Created targeted advertising banners
• Produced collages for website news content
• Collaborated with marketers and journalists to ensure timely, quality project completion

## Core Competencies

Layout Design | Prototyping | User Interface Testing | User Behavior Analysis | Technical Integration | Print Design | Web Design | Banner Design"
56805,"**WEB DESIGNER & DEVELOPER**

**PROFESSIONAL SKILLS**
- Web design and development using Webflow platform
- Interface and website design using Figma
- Shopify store creation and optimization
- Landing page development

**PROFESSIONAL EXPERIENCE**

**Freelance Web Designer & Developer** | Upwork, Fiverr
- Designed and developed websites on Webflow platform
- Created interface designs in Figma
- Developed Shopify e-commerce sites
- Developed winning Shopify product kits
- Completed NFTlook project
- Developed automotive landing page for Ukrainian car parts company

**PROFESSIONAL GOALS**

Seeking to advance expertise in web design and website development with the goal of establishing or growing a successful web development company."
56807,"# PROFESSIONAL RESUME

## PROFESSIONAL EXPERIENCE

**HR Manager**
- Led and managed team of 65 people
- Demonstrated strong management and leadership capabilities

**Specialist**
- Advanced from Junior Specialist to Specialist level within 8 months
- Demonstrated rapid professional progression and competency development

**Photographer & Graphic Designer**
- 3 years of professional experience in large team environment (600+ people)
- Created and managed YouTube channel content

## EDUCATION & SKILLS

**Computer Technology Degree**
- University degree completed

**UX/UI Design**
- Currently completing professional UX/UI design courses
- Junior level UX/UI design professional
- 10+ years of independent study in psychology
- Demonstrated expertise in understanding user behavior and psychology

## CORE COMPETENCIES

- Team collaboration and cross-functional communication
- Leadership and team management
- Reliability and responsibility
- Creative problem-solving
- User psychology and behavior analysis
- Adaptability and continuous learning

## ADDITIONAL EXPERIENCE

- International experience across 15+ countries
- Extended international living experience (1 year in Thailand)
- Certified diver
- Commitment to continuous professional development"
56809,"# Professional Resume

## Professional Summary
Creative designer with comprehensive experience in visual design, marketing communications, and digital product development. Skilled at translating client visions into compelling visual solutions while collaborating effectively with team members.

## Core Competencies
- Illustration & Graphic Design
- UI/UX Design
- Layout & Typography (Magazines/Books)
- Marketing Materials & Collateral
- Web Design & Landing Pages
- Social Media Design
- Presentation Development
- Client Consultation & Communication

## Professional Experience
**Design & Creative Services**
- Developed personalized design solutions for clients across multiple mediums
- Created custom illustrations and banners optimized for social media platforms
- Designed and executed magazine and book layouts
- Prepared and developed comprehensive marketing materials for print production
- Designed and built marketing landing pages for e-commerce companies
- Developed UI/UX design solutions for e-commerce platforms
- Created and delivered client presentations effectively
- Collaborated with team members to conceptualize and develop creative ideas

## Professional Interests
Seeking design opportunities in branding, marketing, web design, and product design. Open to projects involving illustration, layout, UI/UX, and marketing communications."
56859,"# GRAPHIC DESIGNER

**PROFESSIONAL SUMMARY**
Experienced Graphic Designer with 5+ years of professional experience in publishing and design. Proficient in graphic design, web design, and UI/UX design with specialized training in modern design tools and methodologies.

**CORE COMPETENCIES**
- Graphic Design & Layout
- Web Design
- UI/UX Design
- Visual Content Creation
- Corporate Design
- Magazine Design

**PROFESSIONAL EXPERIENCE**

**Graphic Designer**
PRAGMATIKA.MEDIA, Kyiv | 2018–2023
- Developed magazine designs including layout and visual design
- Created graphic documentation including presentations, forms, and media materials
- Produced visual content for social networks and websites including post designs, page layouts, collages, and leaflets

**Freelance Graphic Designer**
Cooperation with Inka, Kyiv | 2020–2023
- Created magazine design for Premier Hotel
- Developed corporate catalogs and brochures

**Designer Assistant**
IMEX LTD, Kropyvnytskyi | 2014
- Created corporate catalogs, brochures, certificates, and business cards

**TRAINING & CERTIFICATIONS**
- Web Design – Skvot
- Work with Figma – Creative Practice
- UX/UI. Projecting and Designing of Interfaces – Creative Practice"
56860,"# Graphic, Web, and UI/UX Designer

**Professional Summary**

Seasoned graphic, web, and UI/UX designer with a proven track record of creating visually appealing websites featuring seamless navigation and user-friendly interfaces. Known for meticulous attention to detail and strong command of user experience principles. Expertise includes developing captivating graphics, logos, and branding materials that effectively communicate brand identities and engage audiences.

**Experience**

**Freelance Designer** | 6 months
- Designed welcome brochures for international markets
- Created websites for diverse industries including perfume retail, photography studios, startups, and hospitality
- Developed dashboard design for local banking institution
- Designed website for solar panel company
- Created restaurant menu design
- Designed cinema application interface

**Education**

Completed 9 months of comprehensive design coursework

**Core Competencies**

- UI/UX Design
- Web Design
- Graphic Design
- Logo Design
- Branding Materials
- User Experience Principles
- Dashboard Design
- Interface Design

**Project Focus**

Seeking projects with positive impact that align with personal values, excluding adult-oriented and gambling game design work."
56861,"# UI/UX & Graphic Designer

## Professional Summary
Skilled UI/UX and graphic designer with 2+ years of experience creating user-friendly and aesthetically pleasing interfaces. Responsible, diligent, and passionate about design with a collaborative approach to solving complex design challenges.

## Professional Experience
**UI/UX Designer** | Liga Zakon
- Interface design and user experience optimization

**Designer** | Coming Agency

**Designer** | Come Back Agency

**Designer** | Fawn Agency

## Design Projects
- Brand Book | Kiton Furniture Store
- Brand Book | Lviv Botanic Garden

## Core Competencies
- UI/UX Design
- Graphic Design
- Brand Development
- Interface Design

## Personal Interests
Basketball, skiing, design"
56862,"# RESUME

**DIGITAL DESIGNER**

Professional with five years of experience in digital and graphic design, combining agency expertise with freelance work.

**PROFESSIONAL EXPERIENCE**

**Graphic Designer** | Network Advertising Agency (2 years)
- Collaborated with large corporate clients to deliver designs that met artistic and punctual requirements
- Developed concepts and corporate styles for more than eight brands across multiple teams
- Demonstrated strong technical and communication skills in fast-paced agency environment

**Freelance Designer** (1 year)
- Provided design services to international clients

**EDUCATION & TRAINING**

UX Designer Course | Projector (Completed May 2022)

**SKILLS**

- UX Design
- Graphic Design
- Web Design
- Website Development"
57384,"# RESUME

**T-Shape Design Generalist with Product Thinking | 15+ Years Experience**

## PROFESSIONAL SUMMARY
Experienced design leader with proven expertise in building and managing product design teams and processes. Deep understanding of complete design lifecycle from business analysis and research through visual design and implementation. Seeking product-focused role with influence on product vision and direction.

## KEY ACHIEVEMENTS
- Designed 40+ successful digital products
- Created and established 30+ brands and trademarks operating in market
- Led design teams and design projects across international markets
- Mentored junior designers and delivered lectures and workshops
- International design award recipient
- Jury member at international design competitions
- Professional UX certification

## CORE EXPERTISE
UX architecture & design, UI design, product management, user testing, usability evaluation, prototyping, branding, visual design, logo design, product identity design, data-driven design, user and marketing research, business and requirement analysis, mobile and responsive design, iOS and Android, HTML/CSS, AR/VR, photography, direction, management, and tutoring.

## PROFESSIONAL QUALITIES
- Clear understanding and communication of business needs and goals
- Cross-disciplinary design project experience
- Flexibility and openness to change
- Strong hands-on design capabilities

## AVAILABILITY & PREFERENCES
- Product company focus
- Remote or relocation (USA, UK, Europe) considered
- Part-time design consultancy services available
- Interested in AR/VR projects (excluding game development)
- Not available for project or outsource operation work"
57400,"# DESIGN LEADER & STRATEGIST

## PROFESSIONAL SUMMARY
Design leader with 10+ years of UI/UX design expertise and 5+ years managing design teams of 20+ members. Proven track record of establishing design departments, attracting high-value projects, and driving business growth through strategic design and resource optimization.

## KEY ACHIEVEMENTS
- Successfully implemented 50+ projects across diverse industries
- Established design department that generated additional profit and strengthened business stability
- Led design team development from interns to senior positions and team leads
- Managed full-cycle product design from concept through market launch

## CORE COMPETENCIES

**Design Expertise**
- End-to-end design process: research, prototyping, testing, usability audits, design systems
- Creative interface concept development and analytical design approach
- Product design strategy and optimization

**Team & Resource Management**
- Team leadership and performance monitoring of 20+ members
- Full-cycle hiring: interviewing, onboarding, coaching, and feedback
- Project distribution and resource planning
- Team member development and growth

**Business Operations**
- Design department budgeting and financial management
- Project estimation, specifications, and contract documentation review
- Pre-sales participation and client management
- Payment and delivery control between company and clients

**Professional Attributes**
- Strong self-management and analytical mindset
- Excellent collaboration and communication skills
- Problem-solving focus and ability to work under pressure
- Understanding of stakeholder needs and perspectives

## INDUSTRY EXPERIENCE
Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Startups, Blockchain, Crypto, Legal, Sports"
62042,"**2023-present**
Beetroot Academy
- Composing initial candidate correspondence
- Identifying and sourcing candidates using Boolean Search and X-RAY search methodologies
- Conducting candidate interviews

**2020-present**
Web Designer, UX/UI Designer (Freelancer)
- Designed and delivered multiple projects including website for Fortified Capitals (exchange trading platform), landing pages, business card designs, and Smart Home mobile application

**2020-2023**
Partner Ukraine LLC
Personal Assistant, Project Manager (Part-time)
- Maintained comprehensive project documentation and negotiated contracts with stakeholders
- Identified and implemented solutions for recurring operational challenges
- Assigned tasks to project participants and monitored progress and completion
- Enhanced team motivation and performance
- Managed supplier and customer relationships
- Created and implemented BPMN business processes across all organizational structures and departments

**2018-2020**
LLC Trade House Alfa-Komplekt EKB
Deputy General Director for Quality
- Performed quality control assessments on supplied products
- Managed reclamation and complaint resolution processes
- Developed and implemented organization's quality management system (QMS) policies and strategic goals
- Compiled documentation packages for certification and licensing requirements
- Coordinated organizational participation in exhibitions, conferences, and seminars

**2015-2018**
Alfa-Sert LLC
Marketer
- Developed, implemented, and continuously improved company branding strategy
- Created, approved, and executed advertising campaigns aligned with organizational objectives
- Designed product catalogs reflecting organizational capabilities and specializations
- Developed and launched POSM materials including leaflets, booklets, and promotional items
- Collaborated with external partners including designers, web developers, printing vendors, and event organizers

**2012-2014**
Albion Trading Company LLC
Marketer"
63086,"# Web Designer

**PROFESSIONAL SUMMARY**
Web designer with practical experience in industry-standard design tools. Demonstrates quick learning ability and proven capacity to efficiently master new software and processes.

**CORE COMPETENCIES**
- UI/UX Design
- Web Design
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Sketch

**EDUCATION**

**UI/UX Web Designer Certification**
Spalah IT-School | 05/2018 – Present

**UI/UX Web Designer Certification**
LevelUP School | 10/2018 – 04/2019"
63087,"# RESUME

## PROFESSIONAL SUMMARY
Design professional with expertise in Adobe Creative Suite and Figma, seeking entry-level opportunities to develop advanced design capabilities through hands-on project experience. Strong work ethic with commitment to continuous learning and collaborative team environments.

## CORE COMPETENCIES
- Adobe Photoshop
- Adobe Illustrator
- Figma
- Adaptability
- Communication & Sociability
- Conflict Resolution
- Receptiveness to Feedback
- Discipline
- Flexibility

## PROFESSIONAL QUALITIES
- Strong work ethic with commitment to continuous learning
- Collaborative team member with proven interpersonal skills
- Reliable and detail-oriented approach to tasks

## PROFESSIONAL EXPERIENCE
**Restaurant Industry**
Developed and refined essential professional skills including adaptability, communication, discipline, and flexibility in fast-paced team environments.

## OBJECTIVE
Seeking a design position to apply technical skills in Adobe Creative Suite and Figma while collaborating with experienced design professionals and expanding design expertise."
83710,"# Graphic and UI/UX Designer

## Professional Summary
Graphic and UI/UX designer with experience creating web and mobile applications, corporate branding, and digital content. Proven ability to collaborate with diverse clients, understand their needs, and deliver comprehensive design solutions. Seeking a collaborative team environment where I can apply strong problem-solving skills and continue to grow professionally.

## Experience

**Fintech and Blockchain Outsource Company**
- Designed and developed websites and mobile applications for blockchain trading and fintech projects serving USA, Canada, and UK markets
- Created complete digital solutions from concept through delivery for blockchain trading company
- Partnered with diverse clients to identify design challenges and implement effective solutions
- Designed tokenized game for blockchain corporate project
- Developed comprehensive corporate branding materials including brand guidelines and brand book
- Created branded merchandise including cups, hoodies, t-shirts, and pens
- Produced marketing collateral including banners, printouts, and posters aligned with corporate standards
- Designed interactive corporate notebook featuring custom character illustrations and thematic page layouts for employee anniversary celebration
- Created templated Instagram content for corporate social media presence

**Freelance Projects**
- Designed brand identity and logos for Ukrainian bag manufacturer
- Redesigned and modernized outdated website

## Skills
- UI/UX Design
- Web and Mobile App Design
- Graphic Design
- Branding and Brand Development
- Character Illustration
- Corporate Design
- Social Media Content Design

## Professional Qualities
- Collaborative team player with strong problem-solving abilities
- Eager to learn and grow professionally
- Proven ability to understand client needs and deliver tailored solutions"
83711,"# Resume

**Marketing & Communications**
- Developed and launched newsletters for three distinct target audiences, managing all aspects from conception to delivery
- Designed comprehensive graphic elements for website and social media platforms
- Created strategic marketing plans and conducted analytical evaluations to assess advertising campaign performance
- Managed social media accounts for Medimost and affiliated projects

**Medical Communications**
- Provided support for medical aid information line serving Ukrainian refugees"
86666,"# Web Designer

## Professional Summary
Results-driven Web Designer with over two years of experience at a digital marketing agency. Specialized in creating modern, responsive corporate websites and landing pages that deliver visually appealing and user-friendly digital experiences aligned with client and customer objectives.

## Core Competencies
- Modern, Responsive Web Design
- Corporate Website Design
- Landing Page Design
- Digital Experience Design
- Design Tools and Software
- UI/UX Design Principles

## Professional Goals
Seeking growth opportunities in UI/UX design to expand technical skillset and apply comprehensive understanding of UI/UX design principles to create impactful digital experiences."
87779,"# RESUME

**Bank Gutmann**
Design and Digital Marketing

**Deutsche Börse**
Global Risk Management, Sales, Client Services

**727.ventures**
Growth Assistant and Product Manager

Available to discuss experience in detail upon request."
