,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini
2645,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Professional Summary**  
Dedicated project manager with extensive experience in non-profit organizations and client account management. Proven track record in training and developing team members, streamlining processes, and enhancing client satisfaction through effective communication and reporting.

**Experience**  

**Project Manager**  
[Non-Profit Organization Name]  
[City, State]  
[Month, Year] – Present  
- Created a new workspace from scratch in Monday CRM to keep team members updated on a daily basis.  
- Trained 5 interns who became strong contributors to the team.  
- Assisted over 200 clients in getting their accounts approved in US banks.  
- Developed an external e-learning course on grant writing from scratch, leveraging the LearnWorlds.com platform.  
- Converted all existing spreadsheets to the Monday CRM system, streamlining data management and improving organizational workflows.  
- Led the integration and training process for a seamless transition to the new CRM system.  
- Prepared comprehensive monthly and quarterly reports for clients, highlighting key performance metrics and achievements.  
- Established a standardized reporting process, leading to improved client satisfaction and retention.  

**Underwriting Manager**  
[Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Received and evaluated application packages from clients and ISOs, reviewing over 600 applications and providing feedback.  
- Analyzed statistical data using specialized computer programs (Jarvis CRM, etc.).  
- Onboarded approved merchants’ applications into the system, creating and boarding a total of 95 applications.  
- Maintained daily communication with new and existing clients.  

**Account Manager**  
[Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Pre-filled application packages based on clients’ supporting documents.  
- Submitted application packages to banks, maintaining communication with bank representatives to stay updated on the status of clients’ accounts.  
- Trained new employees on the company’s customer management policies.  
- Ensured workflow in the CRM was consistently updated.  

**Skills**  
- Project Management  
- Client Relations  
- Data Analysis  
- E-Learning Development  
- CRM Systems (Monday CRM, Jarvis CRM)  
- Training and Development  
- Reporting and Documentation  "
2654,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Experience**  

**Account Manager**  
Sparkybit, Germany  
07/2022 - Present  
- Build and maintain strong, long-lasting customer relationships.  
- Resolve complaints and prevent potential issues.  
- Carry out client satisfaction surveys and reviews.  
- Engage in consistent customer meetings to positively impact client loyalty and revenue growth.  
- Manage existing accounts, solving business and technical issues in collaboration with the team.  

**Account Manager**  
DevPals AB, Sweden  
01/2022 – 06/2022  
- Communicate with clients to ensure customer success and satisfaction.  
- Develop trusted advisor relationships with key accounts.  
- Assist with challenging client requests or issue escalations.  
- Ensure the timely and successful delivery of solutions according to customer needs.  
- Assist in lead generation on Upwork.  

**Business Sales Manager**  
North-wine, Denmark  
11/2017 - 09/2021  
- Search for new key customers.  
- Conduct calls to potential clients to introduce website assistance in controlling the product range and its display on the website.  
- Correspond with existing customers to determine their needs and find suitable products for them.  
- Assist in working on a database of products, pricing management, and wine market monitoring.  

**Head of Logistics**  
Gold.ua, Ukraine  
10/2016 – 11/2017  
- Control delivery at all stages and manage receivables across all branches of the company.  
- File complaints to obtain compensation for lost or damaged orders.  
- Settle disputes with customers regarding timely delivery of goods.  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**  
- Customer Relationship Management  
- Problem Solving  
- Communication  
- Team Collaboration  
- Lead Generation  
- Market Analysis  "
2655,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**  
Results-driven project manager with over 3 years of commercial experience, including 1 year in an IT startup. Proven ability to manage projects effectively, develop strong relationships, and analyze business processes. Skilled in communication, conflict resolution, and decision-making.

---

**Experience**  

**Project Manager**  
February 2021 - Present  
IT Startup, Online Web Service  
- Plan and control the execution of tasks.  
- Manage scope, schedule, and budget.  
- Provide statistical and detailed information to management for project evaluation.  
- Assist the team in delivering work to the product owner.  

**Director**  
2020 - January 2021  
OOO Interlagos, Hotels / Restaurants / Entertainment Complexes  
- Conduct analysis, development, and implementation of plans according to goals and objectives.  
- Develop business processes for production and monitor reporting.  
- Analyze competitors to inform strategic decisions.  

**HR Manager**  
April 2016 - May 2019  
PrAT Hotel Salut, Hotels / Restaurants / Entertainment Complexes  
- Search and attract new staff.  
- Manage personnel records, including registration, transfer, dismissal, and work book documentation.  
- Work with 1C 8.3 and manage large volumes of information.  

---

**Skills**  
- Experience with contracts  
- Strong communication and soft skills  
- Ability to create and develop long-term relationships with partners and colleagues  
- Analytical mindset with a focus on cause and effect relationships  
- Decision-making capabilities  
- Proficient in MS Office and Google Workspace  
- Good Excel skills  
- Knowledge of 1C and other accounting programs  
- Experience with Client-Bank systems  
- Understanding of Scrum and Agile principles  
- Strong grasp of business concepts  
- Self-motivated with a focus on self-improvement and goal setting  
- Punctual, detail-oriented, and responsible  
- Extensive experience in stress and conflict resolution  "
2656,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**PROFESSIONAL EXPERIENCE**  

**Sales / Account Manager**  
PAYADMIT  
MARCH 2022 - PRESENT  
- Generate leads and initiate client contact for payment solutions.  
- Manage client relationships throughout the sales process, addressing disputes and resolving conflicts.  
- Calculate and prepare customized offers for clients.  

**Account Manager (Media-buying)**  
ACIDBRO  
JANUARY 2021 - MARCH 2022  
- Prepare and set up advertising accounts for various campaigns.  
- Manage and optimize ads in high-risk verticals.  
- Collaborate with the technical department on server purchases, proxies, hosting, and application uploads to Google Play and App Store.  
- Engage in account farming and related tasks.  

**Head of Department**  
[Company Name]  
[Start Date] - [End Date]  
- Manage a team of 4 in the media buying department, providing resources for advertising specialists.  
- Oversee departmental operations for 4 months until the company shifted its direction.  

**Project Manager**  
[Company Name]  
[Start Date] - [End Date]  
- Lead a news project from planning to execution, including recruitment, interviews, quality checks, salary payments, and bonus accruals.  
- Manage a team of 8 to 10 employees for a 3-month project that successfully achieved its goals before closure.  

**SKILLS**  
- Team management and leadership  
- Client relationship management  
- Conflict resolution  
- Advertising account setup and management  
- Knowledge of high-risk verticals, particularly Gambling and Betting  
- Technical collaboration and support  

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**REFERENCES**  
Available upon request.  "
2657,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Detail-oriented professional with experience in testing from specification analysis to re-testing. Proficient in creating websites using semantic languages such as HTML and CSS, and enhancing interactivity with JavaScript, jQuery, and React. Strong understanding of application development and agile processes, with a solid background in project management tools and methodologies.

---

**Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Conduct testing from specification analysis through to re-testing to ensure quality and functionality.
- Develop websites utilizing HTML and CSS, implementing interactivity through JavaScript and libraries like jQuery and React.
- Collaborate in the creation of technical documentation, including Gantt charts and project roadmaps.
- Participate in the development of mockups and invoices, and engage in negotiations to facilitate project success.

---

**Skills**  
- Website Development: HTML, CSS, JavaScript, jQuery, React  
- Testing and Quality Assurance  
- Agile Development Processes  
- Project Management Tools and Processes  
- Technical Documentation Creation  
- Mockup Development  
- Negotiation Skills  

---

**Languages**  
- English (Ready to interview)  

--- 

[Your LinkedIn Profile] (if applicable)  
[Your Portfolio or Website] (if applicable)  "
2658,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Experience**  

**McCann Kyiv**  
*Senior Account/Project Manager*  
*Client – Vodafone, Unicef, Carlsberg*  
[Month, Year] – Present  

- Coordinated and managed projects at all stages, ensuring timely delivery and adherence to client specifications.  
- Oversaw TVC (local shooting), OOH, and video production initiatives.  
- Conducted tender holding and briefing sessions, collaborating with vendors on budgeting and payment terms.  
- Controlled project timelines and ensured effective resource allocation by working closely with the internal creative team.  
- Prepared and delivered daily, weekly, and monthly reports to clients and the agency.  
- Managed finance data to ensure accuracy and compliance.  

**Cheil Ukraine**  
*Project Manager*  
*Client – Samsung Electronics Ukraine*  
[Month, Year] – [Month, Year]  

- Coordinated and managed projects at all stages, focusing on delivering high-quality results.  
- Handled TVC, OOH, Retail (POSM), digital, BTL, and video adaptation projects.  
- Led tender holding and briefing processes, working with vendors on budgeting and payment terms.  
- Collaborated with the internal agency team to select resources for project implementation and ensured effective control and coordination.  
- Generated daily, weekly, and monthly reports for clients and the agency.  
- Maintained finance data control to support project budgeting and financial accuracy.  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**  
- Project Management  
- Budgeting and Financial Control  
- Vendor Management  
- Team Coordination  
- Reporting and Analysis  
- Creative Collaboration  "
2659,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**  
Results-driven business development professional with extensive experience in project management across various industries, including IT banking, digital marketing, aerospace, and automotive. Proven track record in acquiring new customers, initiating projects, and expanding project teams.

---

**Experience**  

**Business Development**  
- Acquired new customers and initiated projects for a new engineering outsourcing business.  
- Expanded staff for existing projects to meet client demands.

**Project Management**  
- Over 6 years of project management experience in diverse sectors, including IT banking, digital marketing, aerospace, and automotive.  
- Utilized frameworks such as ITIL, Kanban, PMBoK, and BPMN to ensure project success.

---

**Skills**  
- Proficient in negotiations and sales, regulations, and business process documentation.  
- Experienced with tools including Omnitracker, Jira, MS Project, and Visio.  

---

**Education**  
- PM Master Degree Diploma, IPMA certified.  
- British Council Diploma - Business English Advanced (95%).

---

**Additional Experience**  
- 3 years of on-site job experience in the US.  

---

**Professional Attributes**  
- Committed to fostering a mature corporate culture, engaging in meaningful projects, and collaborating with a friendly, open-minded team."
2660,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Objective**  
Dedicated professional with experience in the IT industry seeking a position as a Project Manager, Project Coordinator, Account Manager, or similar roles. Open to opportunities in Business Analysis or Business Development Management.

**Experience**  

**Regional Director**  
[Company Name] - [Location]  
[Month, Year] - Present  
- Manage documentation and facilitate communication between the team and the company owner abroad.  
- Oversee regional operations, ensuring alignment with company goals.  

**Customer Support Manager**  
[Company Name] - [Location]  
[Month, Year] - Present (Part-time)  
- Provide customer support services, addressing inquiries and resolving issues to enhance customer satisfaction.  

**Sales Manager**  
[Startup Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Developed sales strategies and managed client relationships in a startup environment while pursuing academic studies.  

**Recruiter**  
[Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Conducted recruitment processes to identify and attract talent, although this role did not align with long-term career goals.  

**Education**  
Project Management Courses  
[Institution Name] - [Location]  
[Month, Year]  

**Skills**  
- Business Communications  
- Business Negotiations  
- Issue Resolution  
- Requirements Analysis  
- Risk Management  
- Conflict Resolution  
- Customer Service  
- Public Relations  
- International/Intercultural Relations  
- Recruiting  
- Talent Acquisition  
- Translations  

**Languages**  
- English: Upper-Intermediate to Advanced level  "
2741,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**  
Results-driven operations and facilities management professional with extensive experience in optimizing processes, managing large teams, and leading significant projects in diverse environments. Proven track record in cost reduction, operational efficiency, and successful project execution.

---

**Professional Experience**  

**Dev-Pro.net**  
*Head of Facilities, Ukraine Operations*  
[Month, Year] – Present  
- Lead administrative functions across five development centers in Ukraine (Kyiv, Lviv, Dnipro, Kharkiv) with a total facility area of 5,000+ sq.m.  
- Ensure business continuity and oversee all aspects of services and operations.  
- Manage a team of 15+ people, focusing on operational excellence and service delivery.

**Procter & Gamble LLC**  
*Site TS Program Manager, HS&E Department Leader*  
[Month, Year] – [Month, Year]  
- Managed a team of 43 employees, driving health, safety, and environmental initiatives.  
- Led operations technology projects, including the startup of new production lines for Tide, Ariel, and Gala, and the discontinuation of DAX and BONUX brands.  
- Achieved production optimization with process reliability at 84%, unplanned downtime below 2%, and scrap rates under 1% in 2015.  
- Restructured plant infrastructure, including the transfer of warehouses to 3PL and renovation of production facilities, boiler house, and compressors.  
- Conducted negotiations with authorities to lower rental rates for land from 13% to 6%, resulting in a 37% reduction in general plant costs (2017-2018).  
- Optimized operating expenses and utilities, achieving a 23% reduction FYTD.  
- Successfully led six external audits without critical observations during the 3rd and 4th site phase development (2015-2018).  
- Managed unit restructuring and merging of several departments (2013-2015).

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**  
- Operations Management  
- Administrative Facilities Management  
- Managed Services  
- Customer Service Leadership  
- Project Management  
- Startup Management  
- System Integration  
- Team Management  
- Change Management  
- Business Development  
- Product Management  

---

**Awards & Recognitions**  
- CEO Award, 2014  
- CBN Award, 2013  

---  

[References available upon request]  "
2766,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven digital marketing professional with over 8 years of diverse experience in performance marketing and ad operations. Proven track record of leading seven-figure marketing campaigns and optimizing revenue growth across global markets. Experienced in collaborating with industry giants such as Ubisoft, Sony, Nintendo, Samsung, and Apple.

**Professional Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Led seven-figure marketing campaigns, focusing on trafficking and optimization.  
- Increased yield by 20% in CEE markets through the introduction of new targeting capabilities.  
- Created the concept and architecture for a rich media building platform, managing its development to enhance advertising capabilities.  
- Improved viewability of specific ad units by 40% to combat banner blindness.  

**[Previous Job Title]**  
**[Previous Company Name]**  
**[City, State]**  
**[Month, Year] – [Month, Year]**  
- [List relevant responsibilities and achievements]  

**Skills**  
- Digital Marketing  
- Performance Marketing  
- Ad Operations  
- Campaign Management  
- Revenue Growth  
- Yield Optimization  
- Targeting Capabilities  
- Rich Media Development  

**Education**  
**[Your Degree]**  
**[Your University]**  
**[City, State]**  
**[Year of Graduation]**  

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

**References**  
Available upon request.  "
2793,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Seeking a position that leverages my experience in advertising and project management, with a focus on teamwork and effective communication.

---

**Education**  
2022 - Completed Courses in Advertising - Hillel School  
Education in Computer Technology  

---

**Work Experience**  

**Model**  
2022 - Present  

**Art Director/Stage Manager**  
Synergy Group  
2018 - 2021  
- Managed creative projects and collaborated with teams to deliver high-quality results.  
- Organized teamwork by assigning tasks to designers, content writers, and freelancers.  
- Conducted deep research on products and competitors to inform advertising strategies.  

**Disc Jockey**  
2018 - Present  

---

**Skills**  
- Proficient in advertising platforms: Google Ads, Facebook Ads, Mytarget, Taboola, Capterra, LinkedIn Ads targeting EU and USA markets.  
- Experienced in analyzing ad performance, competitor ads, and creating performance reports and media plans.  
- Skilled in keyword planning and optimization for search campaigns, including ads extensions and search terms.  
- Strong analytical skills for creating reports and implementing strategies for improved results.  
- Effective communication with partners, conducting meetings, and discussing project implementation.  
- Team player with excellent organizational skills and ability to meet deadlines.  
- Languages: English, Ukrainian, Russian.  

---

**Interests**  
- Engaging in interesting tasks and fostering a positive atmosphere in the online office.  "
2810,"SUPPORT SPECIALIST (FINANCE)  
NDA (GAMBLING)  
2021 - 02.2023  
- Provided technical support for financial issues.  
- Prepared financial statements.  

PROJECT MANAGER  
COWBOY ART (ADVERTISING AND PR SERVICES)  
- Analyzed the advertising market in Ukraine and globally.  
- Acted as a brand ambassador.  
- Ensured customer protection.  
- Prepared and analyzed profit reports.  
- Developed proposals.  
- Managed and maintained projects from initiation to implementation.  

PROJECT MANAGER  
SICORE (ADVERTISING AND PR SERVICES)  
04.2018 - 02.2020  
- Researched the outdoor advertising market.  
- Achieved planned sales indicators.  
- Sourced new customers.  
- Conducted meetings, presentations, and negotiations.  
- Collaborated with other departments within the organization.  "
2824,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven Affiliate Manager with over 7 years of experience in launching and managing affiliate programs across diverse niche markets. Proven track record in driving revenue through effective affiliate recruitment and management. Strong background in account management within an advertising network, collaborating with advertisers and affiliates to optimize campaign performance. 

**Experience**  

**Affiliate Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Launched multiple affiliate programs from scratch in various niche markets.  
- Managed a small team to provide quality management of existing affiliate programs and oversee new program launches.  
- Delivered personalized consultation and assessment, followed by comprehensive affiliate program management.  
- Recruited and managed top affiliates to drive revenue and results.  
- Extensive experience with a variety of affiliate platforms, including third-party networks and in-house programs.  

**Marketing Analyst**  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Investigated data collection markets through surveys and forms.  
- Conducted competitor analysis to inform marketing strategies.  
- Coordinated marketing communications with customers, including webinars and email campaigns.  
- Collaborated with Brand and Project Management departments on various initiatives.  
- Engaged in partner programs and promoted company websites through SEO, PPC, and email marketing.  
- Developed marketing materials and improved company websites.  
- Conducted A/B tests to optimize marketing efforts.  

**Affiliate / Account Manager**  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Searched for new traffic sources and launched partnership projects.  
- Analyzed daily, weekly, and monthly trends for affiliate campaigns, maintaining and improving current projects.  
- Managed day-to-day communication with internal and external customers, monitoring campaign delivery.  
- Created well-written letters, proposals, and documents for management and partners.  
- Coordinated benefits in accordance with signed agreements and contracts.  
- Developed text slogans, banners, HTML creatives, and landing pages for new projects.  
- Conducted B2B activities to find new partners and increase brand awareness through email marketing.  
- Launched and managed corporate social media accounts, engaging with fans and driving traffic to the website.  

**Project Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Completed a Project Management course from Laba and obtained an EADL diploma.  
- Managed various IT projects over 10 years, typically overseeing 2-3 subordinates.  
- Seeking to leverage project management skills in a new role while continuing to support affiliate marketing and general marketing efforts.  

**Skills**  
- Affiliate Program Management  
- Account Management  
- Data Analysis  
- Marketing Communications  
- SEO and PPC  
- A/B Testing  
- B2B Marketing  
- Social Media Management  
- Project Management  

**Education**  
EADL Diploma in Project Management  
Laba  
[Month, Year]  

[Your Degree]  
[Your University]  
[City, State]  
[Month, Year]  "
3002,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Objective**  
Dedicated support agent with extensive experience in order checking and customer service, seeking a managerial position to further develop skills and gain new experiences.

**Experience**  

**Support Agent**  
[Company Name]  
[City, State]  
[Month, Year] – Present  
- Conducted order checking and handled customer inquiries through calls and chats.  
- Organized and streamlined the working process to enhance efficiency.  
- Mentored new team members, providing guidance and support to ensure their success.  
- Identified and implemented new strategies for service improvement.

**Skills**  
- Customer service excellence  
- Team mentoring and training  
- Process organization and improvement  
- Adaptability to new challenges  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**References**  
Available upon request."
3021,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
To obtain a position as an Affiliate Manager or Project Manager in an international company/organization.

**Professional Experience**  

**Head of Project**  
[Previous Company Name]  
2020 - 2021  
- Ensured a new project’s survival without active outdoor advertising during the pandemic restrictions, resulting in a consistent increase in visitors.  
- Managed a working group in IT & Cyber Security, achieving “committee” status within one year.  

**Business Development Manager**  
The German-Ukrainian Chamber of Industry and Commerce  
2019 - 2020  
- Created, planned, and implemented complex projects from scratch.  
- Accumulated over 4 years of successful management experience with a strong focus on results and deadlines.  
- Prepared content and organized online and offline events.  
- Managed teams of up to 8 people.  
- Coordinated working groups and communities.  
- Built relationships with local and international partners.  

**Skills**  
- Project Management  
- Business Development  
- Team Leadership  
- Event Organization  
- Relationship Building  
- IT & Cyber Security Coordination  "
3093,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
IT professional with nine years of experience in the industry, specializing in startups, including mobile apps, B2B, and SaaS applications. Proven ability to lead transformation and growth in a scale-up environment during a period of hyper-growth. Skilled manager, coach, and mentor with a focus on fostering team development and delivering business value.

**Experience**  

**[Your Current Job Title]**  
[Your Current Company] – [City, State]  
[Month, Year] – Present  
- Lead teams through Agile and Lean transformations, coaching and guiding them to enhance performance and deliver business value.  
- Foster an environment that encourages team members to reach their full potential.  
- Develop and maintain a clear and concise communication style, effectively evaluating information and data to inform decision-making.  
- Build strong relationships with team members and stakeholders to facilitate collaboration and transparency.  
- Utilize tools such as Jira, Confluence, GitHub, and Code Climate to organize processes and drive continuous improvements.  

**[Previous Job Title]**  
[Previous Company] – [City, State]  
[Month, Year] – [Month, Year]  
- Collaborated with diverse teams, including internal and outsourced employees, to achieve project goals.  
- Supported the implementation of Agile methodologies to improve project delivery and team efficiency.  
- Engaged in coaching and mentoring team members to enhance their skills and professional growth.  

**Education**  
[Your Degree]  
[Your University] – [City, State]  
[Year of Graduation]  

**Skills**  
- Agile and Lean methodologies  
- Team leadership and coaching  
- Effective communication  
- Data analysis and decision-making  
- Relationship building  
- Project management tools (Jira, Confluence, GitHub, Code Climate)  

**Certifications**  
[List any relevant certifications]  "
3105,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-driven professional with over 10 years of experience in management and technology roles within IT outsourcing and outstaffing. Proven track record in establishing and improving PMOs, delivery management for teams of 50+ employees, pre-sales, risk management, budgeting, and cost-controlling. Expertise in process improvements, quality management, leadership, people management, Lean Agile methodologies, and rolling wave planning. 

**Core Competencies**  
- PMO Establishment and Improvement  
- Delivery Management  
- Pre-sales and Client Relations  
- Risk Management  
- Budgeting and Cost Controlling  
- Process Improvements  
- Quality Management  
- Leadership and People Management  
- Lean Agile Methodologies  
- Rolling Wave Planning  

**Professional Experience**  

[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Established and improved PMO processes to enhance project delivery and compliance.  
- Managed delivery for a team of over 50 employees, ensuring high-quality output and customer satisfaction.  
- Led pre-sales initiatives, collaborating closely with clients both nationally and internationally.  
- Implemented risk management strategies to mitigate project risks and ensure successful outcomes.  
- Oversaw budgeting and cost-controlling measures, achieving significant cost savings while improving delivery timelines.  
- Drove process improvements that elevated output quality and employee morale to all-time highs.  
- Conceptualized and executed program vision from inception to completion, managing complex milestones and adapting to changing priorities.  
- Led international, cross-functional, and distributed engineering teams in delivering strategic initiatives that improved systems and processes.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Additional Information**  
- Willingness to travel as required for client engagements and project needs.  "
3113,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven IT professional with over 10 years of experience in project management, product ownership, and agile coaching. Proven expertise in leading web and mobile projects across healthcare, education, social media, and insurance sectors. Strong background in both traditional and agile methodologies, with a focus on delivering high-quality products and fostering team collaboration.

**Certifications**  
- Project Management Professional (PMP) - PMI  
- Certified Scrum Product Owner (CSPO) - ScrumAlliance  
- Certified Scrum Master (CSM) - ScrumAlliance  
- SAFe Advanced Scrum Master (SASM)  
- Kanban Management Professional (KMP1) - Kanban University  
- Kanban Maturity Model Course - Kanban University  
- Kanban Coaching Practices Course - Kanban University  
- Certified Agile Coach (ICP-ACC) - ICAgile  
- Certified Trainer - ICAgile  
- Registered Product Owner at Scale (RPOAS) - Scrum at Scale  
- Registered Scrum at Scale Fundamentals (RSASF) - Scrum at Scale  
- Facilitator, Member of International Association of Facilitators (IAF)  

**Professional Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Lead and manage multiple web and mobile projects, ensuring alignment with business goals and stakeholder expectations.  
- Collaborate with cross-functional teams to define product vision, roadmap, and growth opportunities.  
- Facilitate agile ceremonies and coaching sessions to enhance team performance and adherence to agile principles.  
- Utilize various project management tools to track progress, manage resources, and communicate effectively with stakeholders.  

[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Engaged in business analysis to gather requirements and translate them into actionable project plans.  
- Implemented agile methodologies to improve project delivery timelines and team collaboration.  
- Conducted training sessions for team members on agile practices and tools, fostering a culture of continuous improvement.  

**Technical Skills**  
- Methodologies: RUP, Waterfall, Agile  
- Tools: Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io  
- Languages: SQL, BPMN, UML (base level)  
- Microsoft Office Suite: MS Project, Word, Excel, PowerPoint, Outlook  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Languages**  
- English: Upper-Intermediate  "
3118,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Objective**  
Dedicated professional with experience in project management and front-end development, seeking to leverage skills in a challenging new role.

**Education**  
Warsaw University of Technology (WUT)  
- Study Grant Recipient  
- Faculty of Computer Science  
- Duration: 1 year and 6 months  
- Language of Instruction: English  

**Professional Experience**  

**Tech Lead Project Manager**  
[Company Name]  
[Location]  
[Month, Year] – Present (1 year and 3 months)  
- Led project management initiatives, ensuring successful delivery of projects.  
- Acted as the Single Point of Contact for stakeholders, facilitating communication and project alignment.  

**Project Manager**  
[Company Name]  
[Location]  
[Month, Year] – [Month, Year] (1 year)  
- Managed project timelines, resources, and stakeholder expectations.  
- Developed project plans and ensured adherence to project goals.  

**Front-end Developer**  
[Company Name]  
[Location]  
[Month, Year] – [Month, Year] (4 months)  
- Contributed to the development of a major website listed in the Fortune TOP 500.  
- Collaborated with USA stakeholders to launch 8 new domains, exceeding initial project expectations.  

**Conferences and Presentations**  
- Speaker at 3 annual conferences, delivering lectures on:  
  - Project Management  
  - Planning and Approving  
  - Customer Understanding  
  - Creating a Friendly Atmosphere in Teams  
  - Transforming Customer Desires into Real Projects  

**Skills**  
- Project Management  
- Front-end Development  
- Team Leadership  
- Stakeholder Communication  
- Customer Relationship Management  

**References**  
Available upon request.  "
3120,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven project manager with extensive experience in time and material projects and fixed-price contracts. Proven expertise in enterprise, e-commerce, financial development, and big data initiatives. Skilled in risk management, time management, cost management, and scheduling. Strong leadership, communication, and negotiation abilities. Proficient in Agile methodologies including Scrum and Kanban.

**Core Competencies**  
- Project Management  
- Risk Management  
- Time Management  
- Cost Management  
- Scheduling  
- Leadership  
- Communication  
- Negotiation  
- Agile/Scrum/Kanban  

**Technical Skills**  
- Jira  
- Confluence  
- Trello  
- Redmine  
- VSTS  
- Salesforce  
- Kimble  

**Professional Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Managed time and material projects and fixed-price contracts, ensuring successful delivery within budget and timeline constraints.  
- Led enterprise, e-commerce, and financial development projects, focusing on big data solutions.  
- Implemented risk management strategies to mitigate project risks and enhance project outcomes.  
- Developed and maintained project schedules, ensuring timely completion of deliverables.  
- Fostered effective communication and collaboration among project stakeholders, enhancing team performance.  
- Negotiated project terms and conditions, achieving favorable outcomes for all parties involved.  
- Utilized Agile methodologies, including Scrum and Kanban, to streamline project processes and improve efficiency.  

[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- [Responsibilities and achievements relevant to your role]  
- [Responsibilities and achievements relevant to your role]  
- [Responsibilities and achievements relevant to your role]  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

**References**  
Available upon request."
