Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
151,"Я була залучена до створення маркетплейсу для no-code розробників.  
2016 - 2018 UI/UX designer at togethernetworks.com, де я розробила шаблон вебсайту для конструктора сайтів Yola.  

2018 - 2020 Product Designer at Skillum startup. Я створила дизайн для маркетплейсу no-code розробників.  

2020 - 2023 UI/UX Designer at Metevo agency на Upwork, де працювала над e-commerce проектами.  

Хочу вирішувати складні задачі, що вимагатимуть застосування всього мого досвіду та постійного професійного росту."
152,"Щасливі діти в одязі мого бренду та задоволені батьки.  
Гарні акаунти в інстаграмі та якісний контент.  
Постійні клієнти в Etsy та тільки позитивні відгуки.  
Жодного незадоволеного клієнта.  

2016 - 2021 — дизайнер дитячого одягу, власний бренд:  
- дизайн лого,  
- дизайн одягу,  
- створення лекал,  
- фотозйомка та обробка фото,  
- маркетинг,  
- створення магазину на Etsy,  
- участь в ярмарках ""Всі свої"".  

2019-2021 — баєр спортивного одягу з США:  
- створення інтернет магазину,  
- створення контенту в інстаграмі.  

З 2020 - графічний дизайнер:  
- створення ілюстрацій,  
- створення анімацій,  
- обробка фото.  

З 2022 - магазин в Etsy з майстер-класами англійською мовою по пошиву фетрових іграшок та оригінальні принти:  
- скетчі в Procreate,  
- дизайн і викрійки в Adobe Illustrator,  
- ведення сторінки магазину та маркетинг в Etsy.  

2022 - UI/UX фрилансер:  
- створення контенту в інстаграм,  
- створення лого, банерів, візиток,  
- розробка дизайну та редизайн сайтів.  "
153,"**Резюме**

**Досягнення:**
- Розробка прототипу
- Розробка дизайну
- Адаптивний дизайн
- Ресерч та мудборд для клієнта
- Adobe Photoshop/Figma
- Написання тексту, фотографування товару, створення банерів
- Бачу дизайн у всьому
- Створення презентацій для організації роботи колективу
- Куратор нових співробітників та стажерів
- Мерчендайзинг вітрин
- Організація офісного простору

**Досвід роботи:**

**2018-2019 Веб студія “Ранок”**  
Дизайнер  
- Навчилась основам дизайну (композиція, теорія кольорів, принцип UX та UI)
- Сприймала критику і працювала над помилками
- Працювала в Adobe Photoshop та XD
- Створювала адаптивний дизайн

**Літо 2020 Робота з блогером**  
- Пошук блогерів для реклами, контроль виходу реклами та аналіз її статистики
- Створення чек-листів, гайдів, обкладинок, обробка та монтаж відео
- Генерація ідей для блогу та їх реалізація

**2019-2022 Магазини з непродовольчими товарами**  
- Дотримання касової дисципліни
- Розуміння впливу власних дій на колектив
- Підтримка робочого місця у чистоті
- Відповідальність за свої дії

**Мета:**  
Бачу свою роботу у сильній та творчій команді, де кожен сам по собі, і одночасно всі допомагають один одному розвиватися. Команда, яка трішки шалена, буде подарунком. Важливо, аби поважали особисті кордони кожного, та праця не забирала вільний від роботи час."
154,"Ім'я Прізвище  
Контактна інформація  

Досвід роботи:  
2019 рік – Рекламне агентство, графічний дизайнер (6 місяців)  
- Розробка рекламних матеріалів  
- Співпраця з командою для досягнення цілей проекту  

2020 рік – по теперішній час, Helena Studio (Ізраїль), графічний дизайнер (близько 3 років)  
- Створення візуальних концепцій для різних проектів  
- Робота з клієнтами для визначення їх потреб  
- Участь у командних обговореннях та плануванні проектів  

Освіта:  
Курси в Прожекторі з web design і mobile app design  

Навички:  
- Графічний дизайн  
- Візуальна комунікація  
- Командна робота  
- Чітке виконання завдань  

Мета:  
Перехід з графічного дизайну до UI/UX, пошук стажування або вакансії на позицію junior UI/UX."
155,"2020-2023  
UI/UX Designer, First Ukrainian Studio  

Основні обов'язки:  
- Прототипування  
- Веб-дизайн (лендинги, корпоративні, багатосторінкові сайти, адаптація під мобільні пристрої)  
- Редизайн існуючих сайтів з урахуванням їх фірмового стилю  
- Генерування ідеї сайту, логіки користувача, usability сайту  
- Побудова ефективних систем зв'язку між користувачем/клієнтом і продуктом/компанією, орієнтуючись на сучасний UI/UX  
- Комунікація з front-end-розробником та командою маркетологів  
- Опис способів взаємодії та поведінки інтерфейсу для розробників  
- Створення промоматеріалів  "
156,"2021 - 2023: UI/UX Designer в Ux lab.  
Створення UX wireframes, лендінг-сторінок, брендинг, малювання мобільних додатків, Saas, Crm.  

2020 - 2020: Video Editor в Beemlop.  
Створення анімації форми, анімації персонажів.  

2019 - 2020: Video Editor в Vilz Agency.  
Створення анімації форми, об'єднання та обрізка відеокліпів для MindGame, YBW (Your Business Forum). Використання Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, Adobe Illustrator.  

2017 - 2018: Front-End Developer в Qumel Digital Agency.  
Створення сайтів з використанням HTML/CSS/JavaScript на основі ескізів, створених дизайнерами. Створення простих дизайнів веб-сайтів. Підтримка та оновлення сайтів. Оптимізація SEO. Робота над проектами, такими як Frog Tutoring, spa.ru, сайт Lviv Topography. Адаптивна верстка для мобільних пристроїв."
157,"2 роки досвіду як UI/UX designer та 1 рік досвіду роботи як Front-end developer. Маю хороше розуміння процесів розробки продукту в цілому. Експертиза в різних сферах: security, health care, HRM system, web-development, personal management. Розвивала власний дизайн проект. Хотілось би пірнути глибше в тему UX розробки."
158,"Зробив багато сайтів. 3,5 роки досвіду в UX / UI. Працював зі сферами E-commerce, Fitness, Restaurant, Medicine, Education, News, Office service.  
- Цікаві проекти для внутрішнього та зовнішніх ринків  
- Можливість вивчення чогось нового. Бажано команду з тімлідом та сеньйорами, аби було на кого рівнятися  
- FullTime  
- Hourly rate: від 25$/h  
- Monthly wage: від 2 500 $/m."
159,"Займався створення дизайну landing page. Виконував великі тендерні дизайнерські проекти для міст Лозова та Ізюм. 3 роки плідно працюю в дизайнерському агенстві, вмію знаходити спільну мову з клієнтами. Займався розробкою великих тендерних проектів. Маю розуміння базових принципів HTML, CSS, JavaScript та адаптивної верстки. Базове знання фреймворку Bootstrap. Є досвід в підготовці макетів до друку. Вмію ефективно та гнучко розподіляти робочий час. У випадку виникнення термінових питань завжди маю з собою ноутбук та на зв’язку 24/7. Маю високий рівень трудової етики, тому я отримую задоволення від виконання завдання якісно та вчасно. Хочу займатися розробкою дизайну мобільних та настільних додатків."
160,"3D візуалізація  
4 роки досвіду у веб-дизайні, 1 рік досвіду 3D візуалізації, 6 місяців досвіду UI/UX дизайну  
Відсутність бюрократії, штат досвідчених дизайнерів, проекти дизайну мобільних додатків."
161,"Розробила дизайн Головної Нагороди та Диплому Кубку Вільга 2018 з авіамодельного спорту (етап World Cup 2018, Eurotour Contest 2018, Intertour F5J 2018). Приймала участь у організації цього змагання. 

4 роки та 11 місяців працювала в компанії Catalyst Apps на посадах 2D artist (більше 4 років) та UI/UX designer (приблизно 7 місяців). Як дизайнер створювала інтерфейси для мобільних ігор (шутер та стратегія).

7 місяців співпрацювала з компанією Vladimir's Model, що виготовляє моделі літаків для авіамодельного спорту. В рамках цієї співпраці розробляла нові дизайни для літаків, дизайн поліграфічних матеріалів. Протягом майже 3 місяців координувала роботу команди (50+ співробітників) з етапу отримання замовлення до етапу відправки готового виробу замовнику.

Після цього 2 роки та 5 місяців (до середини листопада 2020) працювала з компанією VMG Ukraine - підрозділ компанії VMG USA. В компанії займалася розробкою дизайну мобільного додатку та веб-сторінки цього додатку для казино в Лас Вегасі. Також створювала ігрову логіку додатку, дизайн документ та специфікації для програмістів. Координувала роботу команди (5+ осіб).

Дружній колектив. Цікаві проекти, що дозволяють рости професійно."
162,"[Ваше ім'я]  
[Ваша адреса]  
[Ваш телефон]  
[Ваш email]  
[Ваш LinkedIn або інший профіль]  

**Професійний досвід**  
5 років у UI/UX (70% додатки, 30% веб). Працював як соло (сам собі дизайн лід) так і у кооперації з іншими дизайнерами.

**Обов'язки**:  
- Розробка юзерфлоу та CJM  
- Аналіз аналітики  
- Аналіз конкурентів  
- Прототипування  
- UX тестування / коридорки / інтерв'ю з юзерами  
- Live прототипування  
- Створення дизайн системи та системи компонентів  
- UI дизайн та анімація  

**Технічні навички**:  
- Figma, Adobe Ps / Ai / Ae / Pr, Protopie, Midjourney / Leonardo, Google Analytics, Hotjar  
- CSS / HTML  
- Lottie / SVG анімації  

З задоволенням приєднаюсь до команди з цікавим та комплексним проектом."
163,"Досвід управління командою. Діючий дизайнер з великим багажом робіт. 6 років в digital agency SMELO. SMM design, Web design, Identity."
164,"Пройшов курси:
- «Робота з Figma», Creativepractice
- «UX/UI. Проєктування та дизайн інтерфейсів», Creativepractice
- «Основи дизайну», Creativepractice
- «Робота з Illustrator», Creativepractice
- Повний курс фотографії (фотошкола TimeStudia)

7 років працюю фотографом-ретушером. 
Знаю принципи композиції, перспективи, колористики, балансу тощо. 
Досвідчений користувач програм Adobe Photoshop, Figma, Adobe Lightroom, Adobe Illustrator, Adobe Premier Pro.

Хочу почати працювати і розвиватись у UI/UX дизайні."
165,"Закінчила курси в Projector по ""Web design"" та ""UX design"".  
Володію навичками: Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Sketch, Axure, Prototyping, User Interface Design, User Experience Design, Figma, Principle, Invision.  
Шукаю цікаві задачі та проекти, можливості для професійного зростання, стабільну зарплату."
166,"Займаюсь розробкою веб- та мобільного дизайну. Наразі найбільшу увагу приділяю покращенню навичок UX та Motion Design.  
Володію: Adobe Photoshop, Adobe Illustrator, inVision, Zeplin, Adobe XD, Adobe After Effects.  
Цікаві проекти, досвідчена команда."
167,"Енергійний та надійний молодший веб-дизайнер з емоційним інтелектом та емпатією. Здатна до ефективного самоменеджменту під час самостійних проектів та спільної роботи. Маю досвід у створенні лендінгів, мобільних додатків, wireframe, прототипуванні та адаптації дизайну під будь-який тип екрану. Підтягнула знання англійської мови до рівня, необхідного для бажаної роботи за три місяці. Навчаюсь в Mate Academy.

Amazon  
графічний дизайнер  
05,2022 - теперішній час  
- Створення наклейок та деколів для сайту Amazon  
- Розробка векторних зображень відповідно до заданого стилю  
- Пошук референсів  
- Робота з типографікою  
- Додрукарська підготовка  "
168,"CGS-team - 2 роки  
Розробка веб- та мобільного адаптивного дизайну, мобільних додатків, презентацій, дизайну для соціальних мереж та корпоративних стилів внутрішніх документів. Створення дизайну для міжнародного ринку: блокчейн, криптовалюта, розваги, медицина, здоров'я, освіта.

Leng Meng - 6 місяців  
Розробка дизайну для веб- та мобільних додатків, логотипів, банерів та дизайну для соціальних мереж. Переважно зосереджений на українському ринку в 90% випадків. Спеціалізація в електронній комерції, державних установах та проектах редизайну."
169,"1,559 переглядів та 87 оцінок на профілі Behance  
1280 переглядів, 820 копіювань та 16 лайків у Figma Community  

CYBERION  
Graphic Digital Designer  
Відповідав за візуальний/веб/графічний дизайн 3 проектів:  
CYBERION (мережа eSports клубів)  
TRAFFIC (мережа eSports клубів)  
Sushi Take Out (їжа)  
Співпрацював з Українською федерацією eSports (UESF) у проекті ""eChampions"" як дизайнер  

Eqvola LLP  
Graphic Designer / Web Designer  
Розробляв банери, пости для соціальних мереж,  
креативи для таргетованої реклами, Google Advertising  
Створював дизайни для мерчу, футболок, кепок тощо.  
Працював з моушн-дизайном.  
Розробив візуальний стиль для сторінок соціальних мереж для 2 проектів,  
Керував та співпрацював з іншими дизайнерами над проектом  
Також створював анімаційні шаблони для соціальних мереж,  
використовував 3D елементи, деякі з яких створив сам  
Розробляв лендінг-пейджі  

SoftProject (SooprIT)  
UI Designer  
Розробив 2 функціональні інформаційні панелі та B2B мобільний додаток для платформи iOS  

Freelance  
Graphic Designer  
Розробляв знаки, наліпки та банери для  
соціальних мереж, плакати для концертів, креативи для  
таргетованої реклами  "
170,"Я маю досвід роботи з Figma та Adobe Creative Suite та можу створювати професійні дизайни для різних цілей. Я маю навички роботи в команді та готова виконувати завдання в узгоджені часові рамки. Я швидко навчаюсь новому та завжди в пошуку нових викликів.

Протягом останніх двох років я займаюся UI/UX дизайном та вивчаю різні аспекти цієї професії. Я успішно пройшла кілька безкоштовних курсів та продовжую самостійно вивчати нові техніки та тренди в цій галузі. Я маю досвід створення дизайну лендінгів, мобільних додатків, іконок, ілюстрацій, логотипів, банерів та креативів для SMM.

Мені дуже подобається сфера дизайну. Я хотіла б працювати в сучасній компанії та створювати цікавий і якісний продукт. Це чудово, що я можу допомагати людям з усього світу втілювати їхні ідеї в життя. Це також дає мені можливість знайомитися з багатьма чудовими людьми."
171,"У академії на “проектний практикум” отримав найвищий бал за створений прототип та розпис теоретичного матеріалу про UI/UX дизайн.  
Freelancer:  
Використовуючи практичні навички в Adobe Photoshop і Blender 3D, створив різні логотипи, прев'ю, початкові/кінцеві екрани та живий дизайн для стрімерів.  
Академія:  
У академії на “проектний практикум” створив проект, де розписав теоретичний матеріал про UI/UX дизайн та створив у якості проекту прототип платформи для перегляду відео YouTube."
172,"G.Bar  
Дипломний проект на курсах від КАМА. Робота розпочалась з пошуку проблеми користувачів за допомогою досліджень та інтерв’ю. Головною задачою була розробка зрозумілого флоу для додатка. Також проводилися юзер-тести.  

Osteria  
Сайт для малого інтернет-магазину з додаванням конструктора для збору букета. Вибір кольору та шрифту був заснований на власному бренді магазину.  "
173,"- Сертифікати курсу з веб-дизайну
- Досвід роботи в Figma
- Досвід роботи в Photoshop
- Бажання розвиватися в напрямку веб-дизайну
- Інтерес до досвіду та особистого розвитку
- Готовність працювати за меншу суму"
174,"Привіт! Я - графічний дизайнер та UI/UX дизайнер.  
Вмію розподіляти свій час та вкладатися у дедлайни.  
Обожнюю творчість, тому завжди працюю з натхненням та викладаюсь по максимуму. Роблю як для себе.  
Закінчила курс з фаху у Lemon.School.  
Створюю:  
	айдентику (нейминг, логотип, фірмовий стиль і брендбук)  
	креативи для соцмереж  
	іконки  
	розробляю web дизайн  
	малюю ілюстрації  
	UI/UX дизайн  
Працюю у програмах Adobe Illustrator, Photoshop, Figma, After Effects."
175,"Hello! Я Женя, Graphic & UI/UX Designer.

З 2018 року працюю за фахом з різними компаніями, починаючи від регіональних, закінчуючи європейськими. Маю досвід з печатною та веб-продуктами. Останній час працюю в галузі UI/UX на фрилансі.

Навички:
• Знання основних принципів дизайну та юзабіліті
• Навички візуалізації дизайн-концепцій і створення wireframes, prototype
• Вміння аналізувати користувацьку поведінку і використовувати дані для поліпшення дизайну
• Вміння працювати в корпоративному стилі
• Вміння працювати з компонентами та автоматичними макетами, використання плагінів
• Постійний моніторинг тенденцій в дизайні та вивчення нового для оптимізації роботи
• Досконале знання: Figma / Adobe Photoshop / Adobe Illustrator. Також недосконало знаю Adobe After Effects та Adobe Premier Pro."
176,"HEX та HSB моделі кольору  
Градієнтні кольори HSB  
Бібліотека ікон, компонентів  
UI-кит - прості Inputs  
Inputs з іконками  
Custom Inputs  
Labels, Textarea та Variants  
Система відступів та AL  
Прості кнопки  
Складові кнопки  
Selectors  
Dropdowns  
Dropdown Calendar  
Radio Buttons, Checkboxes, Toggles  
Labels & Social Icons  
Tabs & Choice Chips  
Tooltips  
Notifications  
Sliders  
Pagination & Carousel  
Breadcrumbs, Progress Bars & Indicators  
Таблиці з компонентами  
Таблиці з високими рядками  
Graph Bars  
Graphs  
Pie Charts  
Dark Mode  
Адаптація Dropdowns  
Адаптація таблиць  
Адаптація віджетів  
PopUps: Moodboard & User Flow  
PopUps: UI & micro UX  
Аудіоплеєр: композиція, мудборд  
Аудіоплеєр: процес UI&UX  
Відеоплеєр  
Products Cards, Spacers, AL  
Авторизація: опис у Notion та User Flow  
Авторизація: основи атомарного дизайну  
Авторизація: створення організмів форми  
Авторизація: створення шаблонів, сторінок та UI-дизайн  
Дашборд: лейаути та самостійна робота  
Форма: основи інтерактивного прототипування макро-UX  
Форма: інтерактивні компоненти, мікро-UX  
Освоєння Smart Animate, ізінги  
Тестування та аналітика UX  
Проставлення токенів, освоєння Figma Tokens  
Створення бібліотек, документація дизайн системи, проекти у Figma  
Бренд, тематика + опис завдання  
Ресерч, дослідження, мудборд та User Flow  
Дизайн-концепт  
UI + UX дизайн програми  
Тестування та доопрацювання дизайну  
Опис дизайн системи програми  
Прагну продовжувати розвиватись і розкривати свої вміння та навички, зростаючи разом з колегами у дружній компанії."
177,"I have completed the following courses:  
Creative Practice  
Basics of design  
Basics of web design  
Working with Figma  

WayUp  
Web designer explosive start  
You can check the verification of certificates on my LinkedIn page  
---------------------------------------------------------------------------------------  
Я закінчила такі курси:  
Creative Practice  
Основи дизайну  
Основи веб дизайну  
Робота з Фігма  

WayUp  
Веб дизайнер вибуховий старт  
Перевірити верифікацію сертифікатів ви можете на моїй сторінці LinkedIn  
Hi, I'm Lisa. Here's what I had experience with:  
Website design  
Design of mobile applications  
Creation of interactive prototypes  
Development of adaptive design  
Creation of site frameworks (wireframes)  
Creating application maps  
User scenario analysis  
Analysis of competitors on the market  
---------------------------------------------------------------------------------  
Привіт, я Ліза. Ось у чому я мала досвід:  
Дизайн веб сайтів  
Дизайн мобільних застосунків  
Створення інтерактивних прототипів  
Розробка адаптивного дизайну  
Створення каркасу сайтів (wireframes)  
Створення карт застосунків  
Аналіз сценарію користувача  
Аналіз конкурентів на ринку  
Currently, my main task is to gain experience, so I am ready for something new. I hope for cooperation!  
-------------------------------------------------------------------------------------  
Наразі головною моєю задачею є набратись досвіду, тому готова до нового. Сподіваюсь на співробітництво!"
178,"Hi! I'm Vika and I'm so ready to work with you.  
Я веб-дизайнер, котрий шукає по-новому цікаві проекти.  
Закінчила курс веб-дизайну Shendrikov Education. Зараз працюю на позиції UX designer в компанії Fozzy group (створюю дизайн для Сільпо).  

Soft skills:  
- Комунікабельність.  
- Вміння працювати в команді.  
- Пунктуальність.  
- Креативність.  
- Врівноваженість.  

Hard skills:  
- Створення прототипів.  
- Е-commerce структура.  
- Основи типографіки та колористики.  
- Побудова сторінок лендінгу.  
- Мобільна версія.  
- Adaptive responsive design.  
- Photoshop, Illustrator, After Effects.  
- Високий рівень володіння Figma.  
- Створення презентацій.  
- Створення креативів для соц.мереж.  

Можливість розвиватися та працювати на результат."
179,"Кейт, графічний дизайнер, Ui / Ux дизайнер. Закінчила художню школу, коледж та університет за спеціальністю графічний дизайн, бакалавр. Маю досвід роботи з програмами: Figma, Adobe Illustrator, Adobe Photoshop, InDesign, After Effects. Працювала в друкарні, розробляла дизайн візиток, буклетів, плакатів, фірмового стилю, каталогів. Також працювала в трикотажній промисловості, розробляла ілюстрації до одягу. Вкладаюся в терміни, чітко планую свою роботу. Чекаю на цікаву роботу, готова до нових знань та вмінь."
180,"Курс ""веб-розробка"" Академії ШАГ, Одесса.  
Досвід у створенні та підтримці різних типів веб-сайтів (корпоративні сайти, eCommerce сайти, Landing Pages), у розробці інтерактивних прототипів та логіки сайтів, у створенні графічного контенту для соціальних мереж та сайтів.  
Також маю досвід у розробці дизайну поліграфічної продукції, а також у створенні елементів корпоративної ідентичності.  
Добре знайомий з принципами фронтенд-розробки, маю сильні знання HTML5 та CSS3, створення CSS-анімацій, адаптивної верстки, CSS-фреймворків (Bootstrap, Foundation), використання сіток.  
Маю понад 5 років досвіду роботи з CMS Wordpress, створення унікальних дизайнів та кастомних шаблонів.  

Досвід:  
NetBee 2016-2017 (WEB-DEVELOPER)  
Робота веб-розробником у компанії, що займалася веб-розробкою та пошуком проектів на закордонних фріланс-платформах.  
Обов'язки:  
- Розробка сайтів на CMS Wordpress.  
- Адаптивне та кросбраузерне HTML/CSS кодування.  
- Створення та дизайн інтерфейсів сайтів.  

VP Production 2017-2019 (WEB-DESIGNER)  
Обов'язки:  
- Створення та підтримка дизайну різних типів сайтів, розробка клікабельних прототипів та логіки сайтів, робота над проектними презентаціями.  
- Розробка корпоративної ідентичності, брендингу, дизайну поліграфічних продуктів, створення елементів реклами.  

Готовий наполегливо працювати, вдосконалювати власні навички та створювати унікальні дизайнерські рішення."
181,"Проведення дослідження, аналітика, проектний менеджмент

ICan App - мобільний застосунок для благодійності  
Мобільний додаток, дизайн повного циклу  
ICan - мобільний додаток для благодійного проекту. Метою було створити простий у використанні додаток для благодійного проекту. Проект був розроблений і запущений в 3 етапи: загальний користувацький інтерфейс, платіжний інтерфейс та інтерфейс адміністратора. Я також створив зручну навігацію.

Open Doors - веб-сервіс наукової сторінки Юлії Турченко.  
Посадкова сторінка, дизайн повного циклу  
Цей веб-сервіс був створений мною для забезпечення персональних наукових публікацій у світовій науковій спільноті.

Веб-сервіс для громадської організації  
Веб-сайт, дизайн повного циклу  
Сайт неурядової організації, яка об'єднує зусилля для підтримки безлічі проектів по всьому світу. Для людей, які змінюють світ і створюють зміни в усьому світі. Платформа дає їм можливість реалізувати своє унікальне призначення.

Веб-сервіс для платформи Crownfinding  
Веб-сайт, дизайн повного циклу  
Краудфандингова платформа для вирішення соціальних проблем. Платформа об'єднує соціальні проекти на одній сторінці. Є можливість створити проект або підтримати вже існуючий. Доступний пошук за фільтрами.  
Тестування."
182,"Розробляв посадкові сторінки та повноцінні сторінки сайту, останньою з яких є сайт для компанії, що займається ландшафтним дизайном. Після обговорення брифу в проекті було поставлено завдання створити простий і стильний сайт без зайвих деталей, який зацікавить потенційних клієнтів. Сайт двомовний, оскільки компанія орієнтована більше на Америку та Європу. Користуюсь програмами для створення сайтів Figma, Illustrator та Photoshop. У Figma я розробляю сам сайт, а також відео, щоб показати, як буде працювати сайт, повністю продумую функціонал для зручності користувача (UX). Я створюю макети в Photoshop, щоб показати клієнту готовий варіант. У проект також був включений адаптив на телефон для зручності користувача. Для клієнта було подано сайт у двох варіантах та різних стилях.

Досить часто займаюся дизайном банерів для магазинів і вуличних бордів, інтерес до реклами з бордів призвів до 25% більше дзвінків і 3% більше покупок. Використовую Figma та Photoshop. Співпрацюю з поліграфією, щоб уникнути нюансів."
183,"**Резюме**

**Навички:**
- Робота з Figma
- Сертифікат з креативної практики
- Типографіка, робота з фігурами, компоненти, AutoLayouts, стилі, прототипування (базове)

**Досвід роботи:**

**Web-дизайнер 3.0, Genius Space**
- Основи UX-UI дизайну
- Етапи створення дизайну
- Tilda

**Навчання:**
- Постійне вивчення англійської мови
- Англійський курс, рівень A2, Lingva Skills (сертифікат)
- Англійська для STEM, Prometheus (сертифікат)
- Індивідуальний курс англійської B1 з репетитором (в процесі)

**Додаткова інформація:**
Не маю досвіду роботи з реальними проектами, але закінчив курс інструментів Figma та курс UX-UI дизайну. Наразі покращую та треную набуті навички на існуючих проектах. Продовжую навчання на курсах для освоєння інших програм та інструментів, зокрема, цікавлюсь освоєнням красивої анімації.

Попередній досвід роботи був пов'язаний з продажами, що допомогло розвинути навички спілкування, роботи в команді та знаходження підходу до різних людей. Легко адаптуюсь та спокійно працюю як в офісі, так і віддалено."
184,"- Сильний командний гравець з відмінними комунікативними навичками та почуттям гумору
- Швидко вливаюсь у робочий процес
- Уважна до деталей

- Відвідувала воркшопи Віталія Фрідмана з e-commerce та мобільними додатками
- Закінчила курс графічного дизайну
- Набула досвіду в проектуванні CRM систем та дизайні додатків. Створювала дизайн-системи, побудовані на принципах атомарного дизайну, а також підтримувала вже існуючі дизайн-системи. Прототипування, дизайн та редизайн веб-сайтів, e-commerce сайтів, лендінгів.

- Робота з дизайн-системами (модульна сітка, атомарний дизайн)
- Ведення документації
- Інтерактивні прототипи
- Адаптивні багатосторінкові сайти
- Робота з CRM системою, платіжним терміналом, трейдинговою платформою
- Логотипи, банери, е-мейл розсилки

Інструменти:
- Figma (components, variants, autolayout)
- Sketch
- Adobe Photoshop
- Adobe Illustrator
- InVision
- Jira

Для себе знаходжу найбільш привабливою роботу:
- у продукті
- з нативними мобільними додатками
- у дизайн-студії

НЕ працюю з російськими компаніями."
185,"Маю досвід керування командою з 3-х дизайнерів: уточнюю вимоги, розподіляю навантаження, контролюю виконання і презентую наші роботи замовнику.  
Interaction design, wireframing, prototyping, visual design.  
Дружня команда дизайнерів, менеджмент розуміє особливості роботи дизайн-команди, відсутність бюрократії і процесів заради процесів. Проекти з декількома дизайнерами, де можлива командна робота. Спілкування з замовником напряму, а не через посередників."
186,"Курс Projector Graphic Design Beginning  
Курси Projector Humanitarium:  
- Як працює композиція  
- Історія дизайну  
- Як працює колір  
Курс Web-Maysternya 2.0  
Майстер-клас від Web-Maysternya  
UX/UI марафон GoIT  

Досвід:  
- Landing page для жіночої білизни (навчальний)  
- Landing page для інтернет провайдера  
- Landing page з майстер-класу  
- Навчальний проект розроблення айдентики для ательє “Carrots studio”  
- Фріланс-проект розроблення логотипу для інтернет-магазину X-Auto  

У пошуках посади, на якій могла б розкрити свій потенціал та вдосконалити свої здібності. Відкрита до нового, професійно розвиваюсь і слідкую за новинками ринку, тенденціями."
187,"Зараз займаю посаду Team Lead в продуктовій компанії.

Основні досягнення на цій посаді:
- Створення команди і підтримка командного духу.
- Переорієнтація проекту на користувача, покращення інтерфейсу та спрощення функціоналу.
- Зведення всього до одного вигляду, усунення inconsistencies, створення нової UI і написання Style guide.
- Переорієнтація проекту на Mobile first.

Навички: Lead, User Interface (UI), User Experience (UX), Product design, Sketch, InVision, Marvelapp, Zeplin, Principle, Abstract, Presentation, Keynote.

Белая зарплата. Стартап. Интересный проект. Дружелюбный коллектив."
