,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
72,"Мій шлях в веб-дизайні почався з проходження курсу в Projector University з курсу Web-design. Після цього курсу я пішов на стажування до студії A4 Collective, яке, на жаль, закінчилось через початок повномасштабного вторгнення росії. Після цього я почав пробувати свої сили у фрілансі. Після декількох місяців пошуку мене прийняли на роботу на посаду Junior UX/UI Designer в Skykillers. На даний момент моєю найбажанішою ціллю є набуття досвіду та нових навичок!"
73,"Знання англійської мови (С1), французької мови (B2). Досвід роботи в міжнародній японській школі з вивчення англійської мови та філологічна освіта. Пройдений курс веб-дизайну. 

Навички викладання для людей будь-якого віку. Використання комунікативної методики та розуміння міжособистісної та міжкультурної комунікації. Написання іншомовних текстів різних напрямів та тематики. 

Бажання працювати в айті сфері за новим напрямом, де можу розкрити та розширити свої навички та потенціал. Досвід роботи з текстами, людьми або дизайном."
74,"Навчалась на курсах UI/UX Design from Scratch у Beetroot Academy та UX Design Beginning у Projector Institute, маю досвід участі в навчальних та реальних проектах. Маю навички проведення якісних і кількісних досліджень, аналізу потреб користувачів, прототипування та дизайну інтерфейсів, розробки UI-kit. Маю досвід роботи в фріланс проектах, спілкування з реальними замовниками.

Вільно володію Figma, Sketch та Miro, вмію працювати з Adobe XD, Adobe Photoshop. Маю досвід роботи в команді з іншими дизайнерами."
75,"Розробляла лендінги та багатосторінкові сайти. Вивчала айдентику та психологію кольору. Розумію, як розробляється сайт (побудова сітки, поведінка користувача, підбір кольорів, гарнітури, візуал), як зробити його інтуїтивно зрозумілим для користувача. 

Навчалася в Академії ШАГ за направленням ""Комп'ютерна графіка та дизайн"". Проходила курси по UI/UX дизайну від WayUp, Alpaca School. Отримала професійні навички, які закріпила на практиці. Розробила лендінг для туристичного агентства та багатосторінковий сайт для аптечного сервісу з пошуку ліків. 

Хочу потрапити в колектив, який ""горить"" своєю справою. Для мене важливим є перейняття досвіду у досвідченіших колег та можливість кар'єрного розвитку в компанії."
76,"Курси англійською від Google з основ UX Дизайну та від Університету Міннесоти з основ UI дизайну.  
Навчальні проекти та фріланс. Основні завдання: дизайн сайтів, мобільних додатків, банерів для соціальних мереж, редизайн каталогу продукції, розробка презентацій. Для цього проводилися дослідження конкурентів, вивчення цільової аудиторії, побудова інформаційної архітектури, створення персони, складання прототипів."
77,"По закінченню курсу ""Основи Web дизайну"" отримала перше замовлення та створила логотип. Наразі закінчую курси ""UI/UX Design"". Вмію проектувати цікавий, привабливий і зручний інтерфейс, складаю персони, досліджую конкурентів та вимоги користувачів, збираю прототипи і тестую їх."
78,"Професійний досвід

Протягом року працювала в компанії, що займається розробкою мобільних ігор. Основні обов'язки включали аналіз конкурентів, взаємодію з розробниками, створення макетів гри відповідно до технічного завдання, анімацію деяких екранів та персонажів, відслідковування нових тенденцій, а також дизайн презентацій для Apple Store.

Маю досвід роботи помічником дизайнера, де виконувала редизайн сайтів, заміну елементів у новому дизайні та створення додаткових екранів відповідно до заданої стилістики."
79,"Професійний профіль

Під час навчання в IT школі вдосконалила навички у дизайні, створила роботи для портфоліо, які отримали позитивні відгуки від куратора. Швидко навчаюсь і прагну досягти високого рівня у сфері дизайну. Мрію працювати у цій галузі та розвивати свої творчі здібності.

Освіта

Закінчила навчання в українській IT школі, де отримала знання з веб та графічного дизайну. Відвідала численні вебінари, що сприяли розвитку моїх навичок.

Мета

Шукаю можливість працювати в дружньому колективі, де зможу навчитися новому та набути досвіду у дизайні, навіть на початкових позиціях. Вірю, що головне — це бажання та любов до своєї справи. Хоча у мене немає досвіду роботи в IT компаніях, я готова вчитися і впевнена, що кожен має шанс на успіх."
80,"На мою думку, одним з досягнень є те, що я закінчив курси з UI/UX дизайну в IT Step Academy на відмінно. Один з найбільших проектів був від Міністерства освіти України — це мобільний додаток для пошуку роботи E-Profi. Моя роль як мобільного дизайнера полягала в розробці дизайну для екранів користувача, компанії та навчального закладу. Я продумав дизайн так, щоб будь-якому користувачу було зрозуміло, які дії відбудуться при взаємодії з компонентами інтерфейсу. Також для цієї програми я розробив логотип, який виглядає цікаво і передає тематику програми. Не хочу займатися веб-дизайном і сидіти без діла."
81,"Якщо говорити про досягнення в сфері дизайну, то це однозначно курс IT Generation, отримати гранд на навчання серед сотні тисяч претендентів – це досягнення. Я не маю досвіду в роботі дизайнера, але маю велику наполегливість та бажання, це вже теж досягнення – не сидіти склавши руки! 

Під час навчання було розроблено Landing Page, Mobile App, E-commerce. Mobile App та E-commerce було розроблено від самого початку: дослідження ринку, конкурентів, дослідження ЦА (user-інтерв'ю, протоперсона, CJM, user-cases), user flow, інформаційна архітектура сторінки. 

Очікую працювати з крутими креативними людьми та розвиватися в сфері дизайну. Створювати класні продукти та робити світ кращим."
82,"III місце на всуекраїнській універсіаді КіМу 2018

Під час своєї кар'єри у сфері UI/UX дизайну я пройшов ряд повчальних програм і курсів, щоб поглибити свої знання і навички. Мої учителі і ментори надихнули мене і поділилися цінною інформацією, яка стала фундаментом для мене. Особливо важливим досвідом для мене було спілкування з підприємцем, у якого була власна студія по дизайну. Його досвід дав мені розуміння цінності дизайну у бізнесі і важливості забезпечення задовільного призначеного для користувача досвіду.

Мої очікування від роботи у сфері UI/UX дизайну після того, як я повернувся в цю область, дуже високі. Я розумію, що багато речей могли змінитися відколи я працював в цій сфері востаннє, і я готовий узяти на себе виклики, які мають відбутися. 

Професійний розвиток: Я чекаю, що зможу активно розвивати свої навички і знання в області UI/UX дизайну. Ця сфера постійно еволюціонує, і я готовий вчитися новим інструментам і методологіям. 

Творчість і самовираження: Мені важливо мати можливість проявляти свою творчу натуру через дизайн. Я сподіваюся, що зможу працювати над проектами, які дозволять мені надавати інтерфейсам унікальний і привабливий вид. 

Відповідальність і вклад: Я хочу внести свій вклад в проекти і компанію, для якої працюватиму. Чекаю можливості працювати над важливими завданнями і бачити результати своєї роботи. 

Дотримання термінів і професійне зростання: Мені важливо працювати в динамічному середовищі, де дотримуються терміни і де я можу рости професійно. Я готовий до викликів і готовий довести свою цінність в цій сфері."
83,"Після довгого та цікавого вивчення UI/UX мала декілька проектів на фрілансі, в яких входили дизайн-система, ресерч, презентація, вайрфрейми тощо. Пройшла курс, де навчилась основним принципам дизайну, прототипування, інклюзивному дизайну, дизайн-мисленню, атомарному дизайну. Основними інструментами вивчення були Figma та базово Adobe. На фіналі курсу виконували реальне замовлення у вигляді мобільного застосунку. Маю навички роботи з людьми та роботи в команді. 

Я повинна любити роботу і людей, з якими працюватиму, тому:
- Дружній колектив
- Лояльне керівництво
- Чітка постанова завдань
- Порозуміння керівництва з працівниками

Інші критерії:
- Продуктова компанія
- Можливість карʼєрного росту
- Різні тренінги, англійська та інші ресурси для розвитку
- Буду рада як великому проекту, так і маленькій команді."
84,"Після проходження курсів розробила pet-project - сайт для музичної школи:  
- Створювала wireframes та прототипи  
- Маю досвід розробки UI-Kit та дизайн-систем  
- Вмію робити адаптивний дизайн  

Зараз я у пошуку роботи, де зможу застосувати наявні навички та розвинути нові."
85,"Понад рік працюю веб-дизайнером. За цей час створив багато якісних проектів, які отримали позитивні відгуки від клієнтів. Маю досвід у створенні сайтів, мобільних адаптивів, додатків, userflow, wireframes."
86,"Професійний досвід

- Розробка двох мобільних додатків:
  1. Ініціативна ідея для МінЦифр України, створена на основі дизайну ""ДІЯ"". Проект не реалізований міністерством, є виключно моєю ідеєю.
  2. Мобільний додаток для обліку фінансів, створений для портфоліо, також розроблений лендінг для школи англійської мови.

- Використання Figma для дизайну всіх проектів.

- Відсутній досвід роботи в команді."
87,"Здобула навички UX research, працюючи над фінальним проєктом на курсах (досліджувала ринок, проводила інтерв'ю, створила опитувальники для виявлення болей користувачів). Після цього спроектувала wireframe і тестувала, а на основі фідбеку, після декількох ітерацій, підготувала фінальний прототип. Найбільшим досягненням вважаю навчання процесу розробки – від ідеї до реалізації, через етапи тестування та валідації.

Одним із останніх проектів була розробка дизайн макетів меню для закладу. Однією з цілей було створити структуру, яка б дозволяла вмістити різну кількість позицій. Я адаптувала макети так, щоб замовник міг самостійно вносити корективи, а дизайн автоматично підлаштовувався під контент. Це дозволило оптимізувати процес оновлення меню, зекономивши час та ресурси.

Почала кар'єру у дизайні, опанувавши базові навички в Figma для своїх потреб. Згодом почала допомагати друзям та знайомим з дизайн макетами і брати невеличкі замовлення на фрілансі, переважно у сфері дизайн-поліграфії. Зрозумівши, що не вистачає знань, пішла на курси UI/UX Design в Beetroot Academy, де опанувала базові навички продуктового дизайну та покращила свої навички у Figma."
88,"Працювала багато років графічним дизайнером у різних галузях, наразі шукаю розвиток у UI/UX. Маю художню освіту та удосконалювала свої навички проходженням різноманітних курсів. 

На початку свого досвіду мала змогу попрацювати в поліграфії 3 роки, 1 рік геймінг дизайнер, від друку до сайту. Останній офіційний досвід роботи в рекламній агенції, де виконувала завдання з розробки інтернет-банерів, презентацій, контенту для соціальних мереж, брала участь у тендерах та створювала каталоги як у діджитальному, так і в друкованому форматах тиражами від 200 до 500 тисяч. Наразі займаюсь фрілансом, здебільшого рекламою для соціальних мереж та розробкою сайтів.

Шукаю роботу для себе, не просто для наявності працевлаштування. Цікавить робота в крутій команді з адекватним керівництвом, де всім буде цікаво займатись спільною справою, без обезцінювання з боку керівництва. Маю націленість на результат, розвиток та ріст."
89,"Маю декілька завершених ПЕТ проектів. Розвиваю софтскіли. Володію англійською на рівні Upper-Intermediate. Працював з Android Studio та Figma. Маю сертифікат від Cisco. Маю підтверджений рівень англійської. Навчаюся на 4 курсі за 125 спеціальністю ""Кубербезпека"" у національному університеті ""Одеська Юридична Академія""."
90,"Збільшила прибуток компанії на 5% після юзабіліті тестування логіки сайту. Працювала Junior UI/UX Дизайнером в Nustay (Київ) в команді зі старшим дизайнером. Розробляла мудборди, мок-апи, вайрфрейми, редизайн елементів сторінок, оновлювала гайдлайни. Має досвід роботи QA і тестування UI/UX сторін веб-сайтів. Працювала UX дизайнером в TemplateMonster, розробляла вайрфрейми для різноманітних сфер бізнесу."
91,"Привіт, нещодавно закінчила курси від Projector. Курс був Mobile Apps Design, це нові круті знання, які б хотілось розвивати та йти цим шляхом.

Дуже буду рада співпраці. Робила аналіз, user flow, навігацію, прототип і дизайн. Працювала з фрілансерами. Маю досвід з креативами для соц.мереж. Також роблю креативи для однієї церкви, це креативи в соц.мережі та банери для YouTube. Готова покращуватись та покращувати свою роботу. Буду рада співпраці."
92,"Працювала мануальним QA 3,5 роки на e-commerce проектах (інтернет-магазини різної направленості). На цій позиції займалась переважно функціональним тестуванням та написанням документації як для розробників, так і для клієнтів. Наразі проходжу паралельно курс Google UX Design та курс з веб-дизайну в школі Alpaca. Попередній досвід роботи тестувальником допоміг розвинути навички, отримати досвід роботи в Figma, створення персон та User journey, а також досвід спілкування з клієнтом."
93,"Успішно закінчені курси ""Web design basic"" та ""UI/UX Design Pro"" у айті-школі Hillel (обидва курси закінчені з оцінкою ""Exellent"" та з першим місцем в рейтингу учнів). Після кожного курсу був захист дипломних проектів, з якими я успішно справилася. Отримала грант на навчання за програмою ""IT Genertion"" та закінчила курс ""Web design"" від школи ""A-Level"". Працюючи у школі англійської мови, була відповідальна за проведення індивідуальних занять для дітей від 6 до 15 років, складання навчальних планів та домашніх завдань, складання звітів щодо відвідування та оплати занять."
94,"Привіт всім!  
Шукаю роботу на позицію trainee/junior UI/UX designer. Моя головна мета - стати справжнім професіоналом у цій галузі і навчитися створювати не тільки гарні, але й зручні інтерфейси. Якщо ви готові взяти на борт відповідальну особу і поділитися досвідом з тим, хто справді оцінить це, я саме та, хто вам потрібен.  
Для мене важливо ""йти в ногу з часом"", постійно розвиватися і бути корисною соціуму за допомогою дизайну. Буде це маленька команда чи великий проект? - не важливо. Хочеться продумувати, як продукт буде працювати, тобто стати спеціалістом UX/UI, який концентрується на потребах користувача. Логічні схеми, прототипи, компоновка, тестування - це все те, що мені до душі.  
Є досвід розробки сайтів та мобільних додатків."
95,"Редизайн веб-сайту ""Alaska""  
Розробила інтуїтивний дизайн для веб-сайту ""BuildHive""  
Впровадження ефективної системи сповіщень та оголошень на веб-сайті ""JourneyJet""  

Привіт! Мене звати Влада. Я творча та відповідальна людина, яка шукає дружню та веселу команду для спільної роботи над новими цікавими проектами. Мене цікавить саморозвиток і вдосконалення навичок, а також зростання як дизайнера. Також мені цікаво вивчати нові технології.  

Мій досвід включає реалізацію 5 проектів, що охоплюють веб-сайти, веб-сервіси, цільові сторінки та мобільні програми. Декілька з цих проектів особливо привернули мою увагу, зокрема ""JourneyJet"" - це інноваційна онлайн-платформа, а також сайти ""BuildHive"" і ""Alaska"".  

Проект ""JourneyJet"" - інноваційна онлайн-платформа для туристів та хозяїв. Для туристів - зручний пошук апартаментів за фільтрами, попередні відгуки та простий процес бронювання. Для хозяїв - інтуїтивний інтерфейс для розміщення пропозицій та система сповіщень. Одним з головних викликів було забезпечити уніфікований дизайн для мобільних пристроїв, планшетів та комп'ютерів, щоб користувачі могли зручно користуватися платформою на будь-якому пристрої.  

""BuildHive"" - проект нерухомості, що пропонує комплексну платформу для покупців, продавців і орендарів для зручного перегляду та зв'язку з якісними нерухомостями.  

""Alaska"" - метою полягало в поліпшенні загального досвіду клієнтів, оптимізації роботи та підвищенні прибутковості для ресторанів. В результаті ретельного аналізу галузевих тенденцій та вподобань користувачів, я розробила зручну онлайн-платформу, яка оптимізує процес замовлення, забезпечуючи ефективне обслуговування клієнтів.  

Мої амбіції як UI/UX дизайнера націлені на постійний професійний розвиток: продовжую вдосконалювати свої навички в створенні естетичних та привабливих дизайнів, звертаючи особливу увагу на вибір кольорів, композицію та типографіку. Слідкую за останніми трендами та практикую мінімалістичний підхід до дизайну, щоб забезпечити сучасний та актуальний вигляд продуктів.  

Мої очікування зосереджені на навчанні та внеску в динамічну команду, одночасно вдосконалюючи свої навички. Я в захваті від можливості працювати над реальними проектами та отримати практичний досвід у цій галузі. Моє прагнення полягає у створенні високоякісних проектів та ефективній співпраці з клієнтами та колегами.  

Чекаю з нетерпінням на керівництво та наставництво від досвідчених професіоналів, бо знаю, що постійне навчання є вирішальним для мого професійного зростання. В цілому, мої очікування зосереджені на сприятливому та дружньому середовищі, яке дозволить мені розвивати свій досвід та вносити значний внесок у проекти, що мають справжню цінність."
96,"Привіт!)
Мене звати Христина, я Junior UI/UX Designer.

Закінчила курс по веб-дизайну на платформі ""WayUp"", де отримала всі необхідні навички для створення креативного дизайну, landing page, e-commerce, адаптивного дизайну та проводила UX дослідження. Розпочала навчання рік тому, вивчила основи веб-дизайну, типографіки, теорії кольору та композиції. Отримала базові знання дизайну мобільних додатків, основи гайдлайнів iOS та Android. Працюю в Figma. На курсі створила декілька робіт у портфоліо. 
Бажаю надалі розвиватися в сфері веб-дизайну, ще більше вчитися та вдосконалювати свої професійні навички."
97,"Привіт, я Junior UI/UX designer, творча людина, яка прагне вдосконалюватися у сфері дизайну.

Хоча у мене немає досвіду комерційної роботи, за 4 роки навчання в академії я брала участь у багатьох творчих проектах. Я володію необхідними навичками та знаннями, постійно намагаюся розвиватися та вдосконалюватися. Маю досвід у командній роботі, вмію знаходити спільну мову з людьми та досягати компромісів для успішного виконання проектів. 

Очікую дружній колектив, з яким зможу дізнаватися про нові тренди в сфері UI/UX та втілювати їх у життя."
98,"Привіт, я Олеся, і я UI/UX designer з 1,5 роками досвіду. З них 6 місяців я працювала на фрілансі. Протягом цього часу я створювала односторінкові лендінги, багатосторінкові сайти та мобільні застосунки. Виконувала процеси вайфреймінгу, прототипування, UX research, UI design, проводила детальний аналіз конкурентів, створювала мудборди, UI kit та дизайн системи, користувалася human interface guidelines."
99,"Я не маю комерційного досвіду як Junior UX/UI Designer, однак, я працювала над особистими проектами, зробила редизайн більш ніж 20 сайтів в Фігмі та фріланс проекти. Приймала участь у розробці веб апплікейшенів на різні тематики:

- Гейм індустрія
- Благодійні фонди
- Маркетплейси
- Landing page
- Оne page application

Маю досвід у роботі з різними сучасними інструментами (Figma, Adobe, AI tools).

Як веб дизайнер (пріоритетно):
- Landing page
- Оne page application
- Corporate website
- Online platform

Як графічний дизайнер:
- Logotype
- Polygraphy (Price-list, business card, certificate, stickers, posters)

Очікую роботу на проекті, де зможу вивчати нові технології та тренди у сфері веб-дизайну, працювати над більш складними проектами та покращувати свої навички в області користувальницького інтерфейсу (UI) та користувальницького досвіду (UX). Моєю професійною метою є розвиток як веб-дизайнер і стати експертом у своїй галузі. Я також хотів би працювати в команді, щоб обмінюватися знаннями та досвідом з іншими дизайнерами."
100,"Щодня вдосконалюю свої навички в області дизайну, стежу за сучасними трендами. Багато знаю, чого не знаю - знайду, що не знайду - грамотно запитаю у колег. Вмію працювати в команді і хочу професійно розвиватися.

- Проведення User Research
- Побудова User Flow, Wireframes, Prototypes
- Розробка Design System
- Знання основ дизайну: композиція, колір, типографіка
- Досвід роботи над реальними проектами (проектування і створення web- і mobile-інтерфейсів)"
101,"Сертифікат учасника встановлення рекорду України (вересень 2017) - ""Найдовше панно з Петриківським розписом на полотні"" на 10-му ювілейному обласному фестивалі-ярмарку ""Петриківський цвіт"", зареєстрований Національним реєстром рекордів України під №170392.  
Диплом 1-го ступеня з петриківського розпису (листопад 2016 р.) - переможець Всеукраїнського фестивалю-конкурсу дитячої та юнацької творчості ""Урок казки"", нагороджена Міністерством освіти і науки України.  

Проекти:  

Florium - інтернет-магазин з продажу квітів:  
Редизайн сайту для створення більш сучасного інтерфейсу та покращення користувацького досвіду.  
• Провела аналіз конкурентів та створила мудборд.  
• Розробила карту сайту, підібрала типографіку та основні кольори.  
• Створила UI-кіт та вайрфрейми.  
• Реалізувала дизайн адаптивної версії сайту.  

BeeHouse - інстаграм-магазин з продажу медових солодощів:  
Розробка стильного дизайну, який відображає цінності магазину - сучасність і простоту.  
• Створила логотип та персональний брендинг.  
• Розробила айдентику (візитки, етикетки, пости в Instagram та ролики).  
• Розробила дизайн для інстаграм-профілю.  "
102,"На курсах я була однією з найкращих учениць, мою роботу декілька разів обирали для майбутнього доопрацювання. Протягом року я навчалася на курсах Projector Institute, за цей час виконала більше 7 різноманітних проектів, таких як лендинги, інтернет-магазин, сайт портфоліо, комерційний. Я працювала як у UX, так і в UI design, маю досвід роботи як самостійно, так і в команді. Також маю досвід у проведенні stakeholder interview та захисті роботи перед замовником. Я б дуже хотіла займатися дизайном сайтів, wireframing, prototyping, працювати з кольорами та типографікою. Отримую задоволення від самого процесу."
103,"Комунікабельна і відкрита. Люблю працювати в команді і націлена на результат. Легко сприймаю нестандартні ситуації, достатньо стресостійка.

Шукаю роботу в компанії, де зможу професійно рости і розвиватись серед однодумців, об'єднаних одними цілями і місією. Швидко навчаюсь новому, із цікавістю заглиблююсь в роботу.

Професійний фотограф (досвід 15 років)  
Знімаю репортаж, портрети, емоції.  
Закінчила курси по UI/UX дизайну.  
Вмію працювати у Фігмі, Фотошопі, Ілюстраторі.  
Готова працювати Trainee або молодшим дизайнером, щоб набути практичних навичок ще більше.  
Вмію малювати логотипи, сайти, мобільні версії сайтів, банери для соц мереж, рекламні банери.  
Обробляю фото, ретач.  
Хочу навчитись новому та працювати у команді."
104,"Проходжу курс та вивчаю самостійно UX/UI, навчання та удосконалення роботи у Figma. Створюю портфоліо, маю 1 самостійно завершений, анімований проєкт додатку на телефон. Маю досвід навчання курсів рекрутера протягом 0.5 року, проходжу курс рекрутера на курсах Genius Space."
105,"Велика зацікавленість та задоволення від даної професії.  
Захист дипломної роботи зі створення веб-сайту.  
Проходила навчання у Hillel IT School. Всю теорію відпрацьовувала на практиці. Маю досвід створення дизайну веб-сайту та прототипування.  
(UX/UI, Landing page, Adaptive, Photoshop, Illustrator, Figma)"
106,"Від початку повномасштабного вторгнення задизайнила приблизно 15 постерів для зборів. Пройшла 1 з 7 курсів від Google з UI/UX дизайну. Раніше шукала замовлення на фрілансі, але хотілося б знайти компанію, в якій я зможу рости та розвиватися в сфері UI/UX дизайну. Постійно намагаюся вдосконалювати свої вміння та практикуватися. Дизайном почала цікавитися в 2020 році та займалася цим паралельно з навчанням. Закінчила курси в Prog Kiev UA та проходжу зараз курси від Google в цій сфері. Маю вищу освіту: ступінь бакалавра, диплом спеціаліста інформаційних технологій (НТУ КПІ, ВПІ), на даний момент вступаю на отримання ступеня магістра. Шукаю приємний колектив та можливість рости під керівництвом досвідченого дизайнера."
107,"Чим конкретніше, тим краще. Для цікавих пропозицій must have. Чим конкретніше, тим краще. Для цікавих пропозицій must have. Розкажіть, які проекти та задачі виконували, які технології використовували, ваша роль у команді зараз, і куди бажаєте розвиватися. Розкажіть, які проекти та задачі виконували, які технології використовували, ваша роль у команді зараз, і куди бажаєте розвиватися. Розкажіть, які проекти та задачі виконували, які технології використовували, ваша роль у команді зараз, і куди бажаєте розвиватися. Якщо знаєте, чим точно НЕ хочете займатися, напишіть і про це."
108,"• Розробка desktop та mobile версій корпоративного сайту.  
• Розробка desktop та mobile версій інтернет магазину. Розроблено інтерактивний прототип.  
• Розроблено мобільний додаток для мережі друкарень.  
• Аналіз вже існуючого інтернет магазину з точки зору Ui\Ux. Розробка сторінок сайту.  
• Багаторічний досвід зі створення статичних та динамічних банерів для постів в СММ, для розміщення на різних інтернет ресурсах, електронних листів, вітальних листівок, презентацій тощо.  

Навички і технології, які використовую в процесі розробки:  
• Використання у роботі всіх отриманих теоретичних та практичних знань та навичок UI/UX, а саме:  
 - Проведення досліджень:  
        аналіз конкурентів / Analysis of competitors;  
        дослідження споживачів / Consumer Research.  
 - Проєктування User Flow  
 - Робота з модульними сітками Bootstrap  
 - Використання у роботі компонентів / components, auto layout  
 - Створення wireframe, prototype  
 - Розробка інтерактивних прототипів / interactive prototype  
 - Розробка Ui Kit  
 - Створення адаптивів для різних розширень (mobile, desktop, tablet)  
 - Створення анімації та інтерактивних елементів інтерфейсу  
 - Створення статичних та динамічних презентацій проєктів  

• Використання багаторічного досвіду у сфері графічного дизайну:  
• Розробка маркетингових та POS-матеріалів  
• Розробка упаковки, етикетки  
• Розробка логотипів та гайдлайнів  
• Розробка макетів для брендування вітрин, торгових площ та авто  
• Дизайн та верстка періодичних видань  
• Оформлення макетів для CD-дисків  
• Професійна додрукарська підготовка відповідно вимогам того чи іншого способу друку та післядрукарської обробки  

• Використання у роботі професійних інструментів:  
 Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Adobe Indesign, Adobe Acrobat Pro, QuarkXPress, Sony Vegas Pro (базові навички)."
