,resume
49,"
Завершила навчання на курсі ""UI/UX Design from scratch"" у Beetroot Academy. На курсі ознайомилася з усіма етапами дизайн-мислення, що паралельно відпрацьовувалися на практиці. Було розроблено декілька проектів. Дипломним проектом був мобільний додаток (сервіс для обліку фінансів). Були опрацьовані такі етапи: створення Mind Map, конкурентний аналіз, портрети персони та карта емпатії, Affinity Map, показаний один із сценаріїв користувача, структура програми, створення wireframes, потім створення UI-kit та добірка референсів. Завершальними етапами було створення клікабельного прототипу та дизайну. Зараз навчаюся на курсі ""UI/UX Design Pro"" у Hillel.
"
50,"Брав участь у еко-виставці 4th Block в Харкові.
Брав участь у онлайн арт виставці в Китаї, Ухань .
Вступаю у Київський Університет Технологій та Дизайну.
Закінчив Харківську Академію Дизайну та Мистецтв з Аудіовізуального мистецтва. 
До цього навчався у школі естетичного виховання. 

Саме тому маю вагому базу знань з композиції, з використання та поєднання кольорів, типографіки, анімації та інше.
Займався веб-дизайном. Створив афішу для виступу музиканта Антона Генкіна. Також створював афіші для танцювального клубу ""Valeri"".
Пройшов курс Genius з UI/UX Дизайну і міні-курс в Alpaca School. Також займався самонавчанням.
Створив study case з дизайну для інста-магазину прикрас Fermoir.jew.
"
51,"Розробка успішних редизайнів готових сайтів а також створення нових для продуктів різної складності. Головним моїм досягненням є розробка дизайну мобільного додатку для Швейцарського стартапу
Займаюся розробкою веб та мобільних інтерфейсів. Зацікавлений в виконанні складних проекті з якими не працював раніше і постійно розвиватися. Вмію аналізувати поставлені задачі та обґрунтовувати свої рішення в тих чи інших ситуаціях. Я доволі самостійний в роботі але легко налаштовуюсь на роботу в команді. Поступовий та уважний в процесі роботи і швидко навчаюсь новому. 

Останніх пів року працював UI/UX Дизайнера в DreamDev Agency
"
52,"Закінчив курси дизайну LemonSchool з відзнакою. Маю успішно закритий проект по веб-дизайну на фрілансі. Добре та швидко навчаюсь.
Закінчив курси веб-дизайну. Зробив декілька навчальних проектів. Робив прототипи (франкенштейн, wireframe), розробляв стікери, іконки тощо. Маю комерційний досвід на фрілансі (дизайн веб-сайту на 7+ сторінок).
"
53,"
Закінчила курс UX/UI designer від projctr 
Розробляла логотипи та брендбуки, рекламні креативи, друковану продукцію, лендінги, презентації.

Займалась створенням мобільного контенту, обробкою фото та відео.
Мала досвід, як SMM менеджер.

Також розумію, що таке клієнтоорієнтованість і сервіс. Чудово ладнаю з людьми, та завжди знаходжу вирішення проблемних ситуацій та компроміси.
Готова вчитись та поглиблювати знання та навички в дизайні!"
54,"Впевнене володіння Figma, створення UI/UX design, Wireframes, Hero Screen, CJM
Закінчила курс з Web-design 
Створила проєкти на базі курсу та самостійно 
1. Сайт парфумів - проведено тестування, CJM, Wireframes
2. Сайт з продажу квітів - Wireframes, CJM
Аналіз користувачів та конкурентів
"
55,"
Закінчила курс по UI/UX design в Logos IT Academy. Під час курсу опанувала базові навички в створенні: User Flow, User Story, дизайн CRM систем, дизайн лендінгів, побудова карти сайту, створення дизайн-систем. До проходження курсів працювала над некомерційними проектами графічним дизайнером. Створювала дизайн постерів та публікацій дял соцмереж. Наразі активну шукаю роботу UI/UX дизайнера, щоб удосконалювати свої навички та розвиватися у цій сфері.
"
56,"
Закінчла 5 місячний курс з веб-дизайну. Маю базовий рівень знань з UX/UI дизайну. Досвід роботи 1 рік на фрілансі. Постійно розвиваю свої навички і хотіла би отримати досвід роботи у компанії. 
Не володію англійською мовою, але планую цей момент працювати)
"
57,"
З осені 2021 року займала посаду фріланс UI/UX дизайнера.
В мої обов'язки входили:
- Комунікація з замовником;
- Створення разом із замовником брифу, який надалі використовувався в дизайні;
- Аналіз запитів замовника;
- User Friendly дизайни;
- Аналіз конкурентів та створення найкращих веб рішень для окремих проектів;
- UI Kit;
- Створення лендінг сторінок;
- Створення багатосторінкових сайтів;
- Створення адаптивів для мобільних телефонів;
- Редизайн існуючих веб сайтів;
- Передача дизайну до Frontend спеціаліста;
"
58,"Саме як частина студентського самоврядування, я реалізовувала такі   проєкт:
     Проєкт “Люмос”. Це був студентський проєкт, втілений за моєю ідеєю.  Головна ідея була в тому, що це серія безкоштовних вебінарів із психологами на актуальні теми. В мене була роль Проджект-менеджера в даному проєкті.
 В мої обов’язки входило:
- Створення презентації; 
- Пошук психологів та підтримка комунікації з ними;
- Створення списку потенційни проблем та їх рішень.   Подкаст “Pro DivChat” - це волонтерський феміністичний проєкт. 
Моїми обов’язками було:
- пошук релевантних тем;
- підготовка та створення контенту;
- просування проєкту в Інстаграм;
- ведення сторінки в Instagram.
З серпня 2021 року працювала вчителем Веб дизайну для дітей в IT школі. В мої обов’язки входило: 
- комунікація  з учнем,
- пошук та створення матеріалу до уроку, 
- навчання елементам композиції, типографіки, колористики, - навчання Фігмі та її основним інструментам (панель інструментів, панель налаштувань, меню, прототипування, вайфреминг, тощо),
-  створення трьох окремих проєктів: лендінг пейдж, веб додаток та багатосторінник.
UI/UX дизайном я цікавлюсь давно і дуже хочу працювати в цій сфері. Я впевнена, що з мене буде гарний працівник, адже я працьовита та вмотивована для роботи. Я не втрачаю можливості вдосконалити свої навики та завжди прагну до саморозвитку. На сьогоднішній день, я маю досвід праці з такими програмами: Adobe Photoshop, Adobe Illustrator, Figma, Canva, and Adobe Lightroom. Також я знаю чимало щодо UX процесу та його етапів."
59,"
Індивідуальне підприємництво / приватна практика / Фріланс
Москва
UX / UI дизайнер
1. Дизайн користувацького досвіду (користувацькі та проектні потоки, аналіз завдань, аудит конкурентів)
Методи дослідження (JTBD, матриця пріоритетів), кількісні та якісні методи дослідження, information architecture, каркаси, прототипи Lo-Fi і Hi-Fi.
2. Візуальна концепція, UI Kit, розробка і розвиток дизайн системи, знання iOS & Android Guidelines. Адаптивний веб-дизайн.
3. Передача макетів в розробку.
"
60,"Ключові навички
Навички:

Розуміння принципів UX
Вміння робити детальні прототипи у Figma
Знання гайдлайнів ios та android
Розуміння принципів адаптивного дизайну
Вміння працювати у команді, уважність до деталей
Розробка логотипів
Пошук та обробка графічного контенту.
Курси:

Creative practice ""UX/UI. Проектуванння та дизайн інтерфейсів""
online
2022
Поглибила знання з 
проектування екранів інтерфейсу та їх інтерактивних прототипів;
створення інтерактивного прототипу застосунку.

Way up ""Графічний дизайнер: запуск""
online
2021
Навчилась створювати іконки та логотипи в Adobe illustrator.

Way up ""Веб дизайнер: щасливий квиток до Таїланду""
online
2021
Навчилась працювати у
 Figma:
вмію користуватись в роботі Auto layout,
 Layout grid і напрямні, 
компоненти;
 створювати клікабельний прототип. 

Photoshop:
Обробка фото,
Колажування
"
61,"
Лютий 2023 р. – Теперішній час  – Фріланс 

Посада: Дизайнер ретушер, Графічний дизайнер, UI/UX Designer 

Виконую такі види робіт: дизайн сайтів; галерей з товарів; корекція кольору предметів; видалення/заміна фону; предметна ретуш; ретуш портретів; обробка та підготовка предметів для інтернет магазинів; банери; візитки; рекламні листівки; 


Березень 2016 р. – Лютий 2023 р. – PARTS iD, LLC, USA 
Посада: Graphic designer and retoucher: 
створення галерей, схем та іконок для інтернет-магазинів 
зміна властивостей-характеристик товарів на зображеннях 
створення високоякісних зображень з нуля 
стандартизація зображень товару 
видалення watermark різної складності 
ручна та автоматизована пакетна обробка величезної кількості зображень 

На посаді здобула глибокі знання Adobe Photoshop, для більшої продуктивності в роботі використовувала єкшн в Photoshop та XnConvert.  

Також виконувала обовязки тімліда (за його відсутності): керування співробітниками; співпраця з відділом PM; ведення проектів, звітності; слідкування за виконанням завдань.
"
62,"На данний момент можу створювати лендінги та мобільні додатки
Продовжую навчатися в цьому напрямку та вдосконалювати свої навички.
Майстер класи по:
- розробці лендінгу;
- розробці та прототипуванню мобільного додатку;
Хоча і не маю досвіду роботи у данній сфері проте я відповідальна, організована, швидко навчаюсь та маю велике бажання знайти роботу junior UI/UX Designer, щоб покращити свої навики, навчитись новому та отримати професіональний досвід.
"
63,"Вітаю, мене звати Оля і я зараз в пошуку свої першої роботи на посаді Junior дизайнер. Мені дуже подобається те, чим я розпочала займатися. Хочу повністю поринути у світ дизайну та працювати в команді. Прокачувати свої скіли, набиратися досвіду та творити, і з радістю навчатися  чомусь новому. Перфекціоніст і роблю все ""піксель в піксель"" :) 
Якщо вас зацікавила моя кандидатура, пишіть, буду щаслива
працювати у вашій команді.

Професійні навички :

- Знання програм Figma, Photoshop;
- Базові навички в Adobe Illustrator;
- Розробка  прототипів;
- Створення Landing Page;
- Знання HTML, CSS, базова верстка;
- Знаю основи композиції, кольору, типографіки;
- Вмію працювати з графічним планшетом;
- Основи UI/UX дизайну;
- Досвід роботи з людьми;
- Знання ПК та офісних програм;
- Досвід поводження з касою і робота з 1С;
- Консультувати по кожному товару або послузі, що входить в 
  асортимент компанії.


Особисті якості :

- Тайм-менеджмент (вчасна здача проекту та дотримання 
    дедлайнів);
- Здатність швидко навчатися;
- Робота в команді (вмію знаходити спільну мову з різними 
    людьми та розв’язувати конфлікти);
- Працьовита та відповідальна (вмію розставляти пріорітети, 
     уважна до деталей);
- Відповідальність;
- Порядність;
- Пунктуальність;
- Не маю шкідливих звичок.
Маю 12 років досвіду( фармацевт, менеджер по заявкам, офіс- менеджер, адміністратор, оператор),  но не в IT. Але дуже сильно цікавить ця сфера і готова вчитися і працювати. Пройшла ряд курсів: 
- Prometheus  Основи Web UI розробки (2022 р.);
- HTML CSS JS course Freelancer LifeStyle (2023 р.);
- ""Веб майстерня 3.0"" курс веб- дизайнера (2023 р.).
"
64,"
Маю 6 років досвіду у сфері гостинності, що допомагає мені ладнати з різними людьми, працювати у команді, вести переговори та вирішувати різноманітні задачі.

Маю навички у створенні вебсайтів та розробки мобільної адаптації. Вмію працювати з композицією, кольорами та типографією. 

Перед створенням проєкту роблю такі UX дослідження: збір вимог замовника, аналіз конкурентів, SWOT аналіз, користувацьке інтерв'ю, User persona. Після чого - презентацію з отриманими даними.

На основі цього створюю User-flow, Site map та Wireframe/Prototype.

Вмію працювати з компонентами та Auto Layout.

Вмію працювати з такими програмами: Figma, Adobe Photoshop, Adobe Illustrator, Adobe Lightroom, Microsoft Office, Google Sheets, Google Docs.
"
65,"
Маю досвід близько 6 місяців роботи на фрілансі особисто із замовниками. Створювала інтерфейси для сайтів салонів краси, йога-студій, онлайн-магазинів прикрас та косметики. Також є досвід створення дизайну для сайтів-візиток та промо-сайтів.
Є розуміння основних принципів верстки на html та css.
Моя головна мета - зробити сайт простим у використанні та прибутковим. Я знаю, як визначити цільову аудиторію, виявити її потреби та задовольнити їх. 
Знаю теорію кольорів і як вони впливають на клієнтів, основні правила типографіки, вмію створювати адаптивні версії сайтів.
"
66,"
Маю досвід в e-commerce 6 років, починала свій шлях з онлайн менеджера (оформлення замовлення на сайті). Працювала в команді маркетингу на посаді адміністатора сайту, працювала над 3 сайтами на OpenCart та 1 на Shopify. 

Основні задачі: 

1. Робота з контентом 3-х сайтів;  
2. Контроль наявності повного асортименту продукції на сайті;  
3. Аналіз та розробка стратегії вдосконалення веб-ресурсу;  
4. Постановка завдань та контроль виконання для програмістів, дизайнерів та  копірайтерів;  
5. Підготовка сайтів до акцій, сезонних розпродажів;  
6. Оптимізація та контроль взаємодії CMS із CRM;  
7. Впровадження та контроль API на сайті;  
8. Підключення платіжних систем;  
9. Вдосконалення UX шляху клієнта, збільшення конверсії, прибутку, середній чек  сайту;  
10. Впровадження SEO-рекомендацій.  

Також у роботі були аудит юзабіліті та аналіз конкурентів інших додаткових сайтів за запитом та написання стратегій сайтів на 6 місяців. Щоб краще розуміти поведінку користувачів, як працювати у фігмі та роботу дизайнера при постановці задач, закінчила курси в Камі на веб-дизайнера.

Був досвід редизайну сайту, тема: працевлаштування людей на роботу в Чехії, реальний проект: 

1. Було додано 10 нових сторінок - десктоп та мобайл 
2. Замінили дизайн систему на нову 
3. Обрали новий шрифт
"
67,"11.2017 – 05.2018
LLC ""Allo"", Sales Manager
06.2018- 01.2019
LLC ""Allo"", Depute Store Manager
02.2019- 02.2021
LLC ""Allo"", Store Manager
Responsibility:
 Management and coordination of personnel (up to the 5 people)
 Work with team indicators and its development
 Work with internal and external clients  Achieving the goals of the KPI
 Monitoring the company's procedures in the store
02.2021- Till now
PLC ""ASBIS Ukraine"", Apple Sales Consultant
Маю досвід роботи в продажах, тому розумію чого потребують люди. Досвід може бути дуже корисним в e-commerce проектах.
Дизайнерський досвід поки що тільки на навчальних проектах. Готовий виконати тестове завдання.
"
68,"До обрання сфери UI/UX дизайну займався дизайном фізичних речей, встиг розробити дизайн деталей для подушок Emoji в Woop Smile та розробити корпус копʼютера в стилі Apple. В сфері UI/UX маю проєкт web-сайту для бюро дизайну інтерʼєрів в стилі мінімалізм. Розробляв айдентику для студенської ради університету. Вмію працювати в графічних редакторах, активно застосовую в своїй даяльності AI інструменти. В універсеті програмував, знаю базові принципи ООП, маю змогу розібрати нескладний код. Працював з JS, CSS 3 та HTML 5.
Маю досвід роботи над реальним проєктом. Проєкт розробки web-сайту для бюро дизайну інтерʼєрів. У проєкті були задіяні такі інструменти як Figma, Affinity Photo (аналог Adobe Photoshop) та Affinity Designer (аналог Adobe Illustrator).  В майбутньому хочу отримати стійкий рівень володіння UI інструментами і надалі розвиватися в області UX дизайну. Я знаходжу дуже цікавим дослідження бізнесу, цільової аудиторії і проведення досліджень, бачу великий потенціал розвитку саме в цій сфері.
Моїм головним побажанням є робота з перспективними інструментами і технологіями, які допоможуть мені отримати досвід і бути затребуваним спеціалістом в майбутньому."
69,"
Маю невеликий досвід у фрілансі. Розробка та дизайн.
 Закінчила курси:
 **Front-end(basic)**
 HTML5/CSS;
 верстка макетів з нуля;
 флекси;
 JavaScript(базовий);
 робота з GIT-ом;
 SCSS
 
**** Web-design, UI/UX Pro****
Проводила аналіз та дослідження конкурентів. Аналіз цільової аудиторії.Глибинні інтерв'ю,персони.
CJM та методи пріоретизації. Прототипування у Figma.
Розробка та дизайн інтерфейсів.
"
70,"
Менеджер по роботі з клієнтами – 07.2020 по нині
ТОВ «Українська універсальна біржа» (майданчик публічних закупівель)
До спектра моїх обов’язків входить: консультація клієнтів, фіксація даних в CRM та Slack, вивчення нової інформації у сфері державних закупівель, коли вносяться зміни у законодавство або на майданчику організації
"
71,"
Мене звати Влад. Я працюю дизайнером на фрілансі і зараз у пошуку постійної роботи. Мене зацікавила ваша вакансія і я б хотів долучитися до вашої команди. Що я можу робити і чим можу бути корисний: 
 ⁃ створення креативів і картинок для соц мереж та сайтів
 ⁃ створення логотипів 
 ⁃ дизайн сайтів та лендінгів
  - також я оволодів навичками CSS  та HTML
Буду радий познайомитися ближче і відповісти на ваші питання
"
72,"
Мій шлях в веб-дизайні почався з проходження курсу в Projector University з курсу Web-design. Після цього курсу я пішов на стажування до студії A4 Collective. Але після початку повномасштабного вторгнення росії, моє стажування закінчилось. Після я почав пробувати свої сили у фрілнсі. Після декількох місяців пошуку, мене прийняли на роботу на посаду Junior UX/UI Designer в Skykillers.
На даний момент найбажанішою моєю ціллю є набуття досвіду та нових навичок!
"
73,"Знання англійської мови (С1), французької мови ( B2). Робота в міжнародній японській школі з вивчення англійської мови та філологічна освіта. Пройдений курс веб-дизайну.
Навички викладання для людей будь-якого віку. Комунікативна методика та розуміння роботи міжособистісної та міжкультурної комунікації. Написання іншомовних текстів різних напрямів та тематики. 
Бажаю працювати в айті сфері за новим напрямом, де по-новому зможу розкрити та розширити свої навички та потенціал.
Робота з текстами, людьми або дизайн."
74,"
Навчалась на курсах UI/UX Design from Scratch у Beetroot Academy та UX Design Beginning у Projector Institute, і маю досвід участі в навчальних та реальних проектах. Маю навички  проведення якісних і кількісних досліджень, аналіз потреб користувачів, прототипування та дизайну інтерфейсів, розробки UI-kit. Маю досвід роботи в фріланс проектах, спілкування з реальними замовниками.

Вільно володію Figma, Sketch та Miro, вмію працювати з Adobe XD, Adobe Photoshop. Маю досвід роботи в команді з іншими дизайнерами.
"
75,"Розробляла лендінги та багатосторінковий сайт.
Вивчала айдентику та психологію кольору. Розумію, як розробляється сайт (побудова сітки, поведінка користувача, підбір кольорів, гарнітури, візуал), як зробити його інтуїтивно-зрозумілим для користувача.
Навчалася в Академії ШАГ за направленням ""Компьютерна графіка та дизайн. Проходила курси по UI/UX дизайну від WayUp, Alpaca School. Отримала професійні навички, які закріпила на практиці. Розробила лендінг для туристичного агенства та багатосторінковий сайт для аптечного сервісу з пошуку ліків.
Хочу потрапити в колектив, який ""горить"" своєю справою. Для мене важливим є перейняття досвіду у досвідченіших колег та можливість кар'єрного розвитку в компанії."
76,"Курси англійською від Google з основ UX Дизайну та від Університету Міннесоти з основ UI дизайну.
Навчальні проекти та фріланс. Основні завдання: дизайн сайтів, мобільних додатків, банерів для соціальних мереж, редизайн каталогу продукції, розробка презентацій. Для цього проводилися дослідження конкурентів, вивчення цільової аудиторії, побудова інформаційної архітектури, створення персони, складання прототипів.
"
77,"По закінченню курсу ""Основи Web дизайну"" я відразу отримала перше замовлення та створила логотип.
На даний момент закінчую курси ""UI/UX Design"". Вже вмію проектувати цікавий, привабливий і зручний інтерфейс, складаю персони, досліджую конкурентів та  вимоги користувачів, збираю прототипи і тестую їх.
"
78,"
На протязі року працювала в компанії яка займаеться розробкою мобільних ігор, де основними моїми задачами був аналіз конкурентів, взаємодія з розробниками, створення макетів гри по ТЗ, анімація деяких екранів та персонажів, відслідковування нових тенденцій та дизайн презентацій для Apple Store.
Також в мене є досвід роботи помічником дизайнера, де в мої обов'язки входив редизайн сайтів, заміна елементів в новому дизайні та створення додаткових екранів по заданій стилістиці.
"
79,"За час навчання в IT школі покращила свої навички у дизайні, змогла зробити роботи в портфоліо набагато кращими, отримала приємні відгуки від куратора, тому можу сказати з упевненістю, що швидко навчаюсь і зможу досягти високого рівня у сфері дизайну. Мрію працювати у цій сфері і розвивати свої творчі здібності.
Немає досвіду роботи в IT компаніях. Але маю велике бажання розвиватися та навчатися новому. Відвідала багато вебінарів з веб та графічного дизайну. А також закінчила навчання в українській IT школі.
Очікую дружній колектив та можливість навчитися новому та набути досвіду у дизайні. Навіть для новачків. Вважаю, що головне бажання і щиро любити свою справу. Тому, незважаючи на те, що в мене немає досвіду у роботі в компанії, я дуже хочу його набути і вірю, що у кожного є шанс."
80,"На мою думку одним з досягнень це те, що я закіньчив курси по UI/UX дизайну в IT Step academy на відмінно.
Один з найбільших поектів був від Міністерства Освіти України це був мобільний додаток по пошуку роботи      E-Profi. Моя роль була, як Мобільного дизайнера розробити дизайн для екранів користувача, компанії і навчального закладу. Продумати дизайн так, щоб любому користувачу було зрозуміло, які дії відбудуться взаємодіючи з компонентами інтерфейсу. Також для цієї програми, я розробив логотип, який би виглядав цікаво і передавав тематику програми.
Не хочу займатися веб дизайном і сидіти без діла)"
81,"Якщо говорити про досягнення в сфері дизайну, то це однозначно курс IT Generation , отримати гранд на навчання серед сотні тисяч претендентів це досягнення.
Я не маю досвіду в роботі дизайнера ,але маю велику наполегливість та бажання , це вже теж досягнення - не сидіти склавши руки !))
Під час навчання було розроблено Landing Page , Mobile App , E-commerce

Mobile App та E-commerce було розроблено від самого початку: дослідження ринку, конкурентів, дослідження ЦА(  user-інтервю ,прото-персона,CJM,user-cases) User flow , інформаціна архітектури сторінки.
Очікую працювати з крутими креативними людьми та розвиватвись в сфері дизайну . Створювати класні продукти та робити світ кращим))"
82,"III місце на всуекраїнській універсіаді КіМу 2018
Під час своєї
кар'єри у сфері UI/UX дизайну, я пройшов ряд повчальних програм і
курсів, щоб поглибити свої знання і навички. Мої учителі і ментори
надихнули мене і поділилися цінною інформацією, яка стала
фундаментом для мене.Особливо важливим досвідом для мене було
спілкування з підприємцем, у якого була власна студія по дизайну. Його
досвід дав мені розуміння цінності дизайну у бізнесі і важливості
забезпечення задовільного призначеного для користувача досвіду
Мої очікування від роботи у сфері UI/UX дизайну після того, як я повернувся в цю область, дуже високі. Я розумію, що багато речей могли змінитися відколи я працював в цій сфері востаннє, і я готовий узяти на себе виклики, які мають відбутися. Професійний розвиток: Я чекаю, що зможу активно розвивати свої навички і знання в області UI/UX дизайну. Ця сфера постійно еволюціонує, і я готовий вчитися новим інструментам і методологіям. Творчість і самовираження : Мені важливо мати можливість проявляти свою творчу натуру через дизайн. Я сподіваюся, що зможу працювати над проектами, які дозволять мені надавати інтерфейсам унікальний і привабливий вид. Відповідальність і вклад : Я хочу внести свій вклад в проекти і компанію, для якої працюватиму. Чекаю можливості працювати над важливими завданнями і бачити результати своєї роботи. Дотримання термінів і професійне зростання : Мені важливо працювати в динамічному середовищі, де дотримуються терміни і де я можу рости професійно. Я готовий до викликів і готовий довести свою цінність в цій сфері."
83,"
Після довгого та цікавого вивчення UI/UX мала декілька проектів на фрілансі, в них входили дизайн система, ресерч, презентація, ваєрфрейми і тд. Пішла на курс, де навчилась основним принципам дизайну, прототипування, інклюзивному дизайну, дизайн мисленню, атомарному дизайну. Основним інструментов вивчення була Фігма, та базово Adobe. На фіналі курсу робили реальне замовлення у вигляді мобільного застосунку. Маю навички роботи з людьми, та роботі в команді.
Я повинна любити роботу і людей з якими працюватиму, тому:
- Дружній колектив
- Лояльне керівництво
- Чітка постанова завдань
- Порозуміння керівництва з працівниками

Інші критерії це:
- Продуктова компанія
- Можливість карʼєрного росту
- Різні тренінги, англійська, та інші ресурси для розвитку
- Буду рада, що великому проекту, що маленькій команді"
84,"
Після проходження курсів розробила pet-project - сайт для музикальної школи:
- Створювала wireframes та робила прототипування
- Маю досвід розробки UI-Kit та дизайн системи
- Вмію робити адаптивний дизайн

Зараз я у пошуку роботи, де зможу застосувати наявні навички та розвинути нові.
"
85,"
Понад рік працюю веб-дизайнером. За цей час я створив багато якісних проектів, які отримали позитивні відгуки від клієнтів. Є досвід роботи у створенні сайтів, мобільних адаптивів, додатків, userflow, wireframes.
"
86,"Попрацювала над двома мобільними додатками.
1 - ініціативна ідея для МінЦифр України
2- мобільний додаток для обліку фінансів
Попрацювала над двома мобільними додатками.
1 - ініціативна ідея для МінЦифр України
2- мобільний додаток для обліку фінансів
Над цими проетами займалася сама. Над першим ідея прийшла ще в університеті, додаток створювався на основі дизайну ""ДІЯ""  Зауважу, що він не реалізований міністерством, це виключно моя ідея.
Другий проект створювався для портфоліо, також є лендінг для школи англійської школи.
Над усіма працювала на Figma.
Досвіду з командою нажаль не маю,
"
87,"Здобула навички ux research, коли працювала над фінальним проєктом на курсах (досліджувала ринок, проводила інтерв'ю, створила опитувальники, щоб знайти болі користувачів). 
Після цього спроектувала wireframe і тестувала, а на основі фідбеку, після декількох ітерацій, підготувала фінальний прототип. 
Найбільшим досягненням для себе, я вважаю, навчитися процесу розробки – від ідеї до реалізації, через етапи тестування та валідації.

Одним із останніх проектів була розробка дизайн макетів меню для закладу. Однією з цілей було розробити таку структуру, яка б дозволяла вмістити різну кількість позицій. Я вирішила адаптувати макети таким чином, щоб замовник міг самостійно вносити корективи, а дизайн автоматично підлаштовувався під контент.
Це дозволило оптимізувати процес оновлення меню, зекономивши час та ресурси.
Почала свою карʼєру у дизайні, опанувавши базові навички в Figma для своїх потреб. Згодом почала допомагати друзям та знайомим з дизайн макетами і згодом почала брати невеличкі замовлення на фрілансі. У більшості це був дизайн-поліграфія. 
Зрозумівши, що не вистачає знань, пішла на курси UI/UX Design in Beetroot Academy. Опанувала базові навички продуктового дизайну, покращила свої навички у Figma.
"
