,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
56630,"Web / Graphic Designer
Summary:
Highly experienced Web and Graphic Designer with over 7 years of experience in the field, utilizing expertise in visual design and technical skills to deliver high-quality designs.

Tools:
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Sketch

Experience:
IT Companies (Early Career)
- Worked as a designer in two different IT companies, gaining foundational experience in design principles and practices.
Freelance Designer
- Collaborated with various companies on remote projects, expanding portfolio and adapting to diverse design requirements.
- Successfully managed independent projects, applying creative skills and technical knowledge to achieve client satisfaction.

Key Skills:
- Logo and Brand Identity Creation
- Designing Banners (Print and Social), Flyers, Posters, and other visual materials
- Social Media Post Design
- Unique Icon and Illustration Creation
- UX/UI Website Design, Redesign, and Responsive Design

Strengths:
- Exceptional drawing skills, enhancing understanding of color sense and composition, allowing for the creation of visually appealing and effective designs."
56631,"iOS and Android App Designer
UX Design Expertise
Website Design
Responsive Design
Landing Page Creation
Promotional Design (Banners, POSM, etc.)
Logo Design
Animation
GUI Design
Experience working with Product and Outsourcing companies

Proficient in:
Figma
Adobe Photoshop
Adobe Illustrator
Adobe After Effects
Lottie
Sketch
Affinity
Procreate
Freehand Drawing

Familiarity with project management tools:
Slack
Jira
Confluence
Keybase
Trello
Redmine

Experience with:
InVision
Hotjar
Wordpress

Technical Skills:
HTML
CSS
Python Core
JavaScript

Additional Skills:
Marketing Knowledge
Visual Communications

Available for new challenges, open to relocation or remote work opportunities."
56632,"Summary:
Results-driven graphic designer and UI/UX designer with 4 years of experience, offering a strong portfolio and excellent communication skills. Proficient in industry-standard design software, with a solid understanding of web design principles, typography, and visual design.

Experience:
Graphic Designer & UI/UX Designer
- Freelance 
  - Created logos and social media posts for brand pages
  - Designed landing pages
- Typography 
  - Prepared designs for printing
  - Designed merchandise for brands
- Branding Agency ""onO"" Nova Market
  - Collaborated on brand identities and strategies, including a project for a furniture store

Design Process:
- Gather requirements
- Create user stories
- Conduct user research
- Develop intuitive and engaging visual designs

Skills:
- Graphic design
- UI/UX design
- Strong communication and presentation skills
- Attention to detail and excellent documentation skills
- Analytical skills, including application performance analysis and trend identification
- Proficient in industry-standard design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
- Strong people skills, with ability to communicate effectively verbally and in writing
- Creative, logical, and able to work in dynamic environments

Personal Qualities:
- Passion for design
- Positive attitude
- Ability to work creatively within agile development processes
- Enjoys working under deadlines to deliver high-quality results"
56633,"Recent Design Graduate
Highly motivated and diligent individual seeking an entry-level design position to apply skills and knowledge gained through education and personal projects.

Education:
Completed design courses

Projects:
Successfully created 2 non-commercial design projects

Career Goal:
To join a team of talented professionals and contribute to innovative projects while continuing to learn and grow as a designer."
56634,"Summary:
Highly skilled designer with expertise in visual content creation, social media management, and website design.

Experience:
Designer
- Created engaging banners, social media posts, and print materials
- Developed brand identities and managed visual content production
- Utilized photomanipulation, illustration, and 2D character design skills
- Produced animations and designed interactive site prototypes

Skills:
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Adobe After Effects
- Strong understanding of design principles and visual storytelling
- Experienced in designing and prototyping websites

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects"
56635,"Experienced Graphic Designer
Seeking a role in UI/UX design for mobile applications, with a strong foundation in graphic design.

Summary:
Highly motivated and detail-oriented graphic designer with extensive experience in creating visual content. Proficient in adapting to new design challenges and eager to expand skills in UI/UX design for mobile applications.

Experience:
Graphic Designer
- Created numerous graphic design projects, focusing on visual aesthetics and effective communication.
- Developed a strong understanding of design principles and their application in various mediums.

Skills:
- Graphic Design
- UI/UX Design (interested in development)
- Mobile Application Design (interested in development)

Portfolio:
Available upon request, with a limited selection of work accessible via Google Drive link.

Career Interests:
UI/UX design for mobile applications, graphic design, and related creative fields."
56637,"Svitlana
Graphic & Web Designer

Summary:
Highly motivated and deadline-driven graphic and web designer with 8+ years of experience, currently working at Libertex Group, an international financial services company specializing in online trading and investment.

Experience:
8+ years in Graphic Design
2+ years in UI/UX design

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, including elements and layouts, style guides, icons
- Presentation design (digital, print)
- Preparing design drafts and mock-ups
- Preparing design for offline exhibitions
- Designing illustrations
- Designing educational materials
- Creating brand books and pitch decks
- Infographic design
- Print design
- Logo design

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Adobe InDesign
- Sketch
- Principle
- Jira, Trello, Asana

Project Areas:
- FinTech
- Trading
- Investing
- Marketing
- Cryptocurrencies
- Blockchain

About Me:
Passionate about design, ambitious about personal growth, and a deadline-driven creative. Strong understanding of briefs, with the ability to work well in a team or individually. Possess strong self-management and analytic skills, good collaboration skills, and an understanding of users' thoughts and feelings, as well as clients' goals and needs.

Job Preference:
Seeking a full-time remote position."
56638,"Results-driven and enthusiastic graphic designer and UI/UX specialist with 8 years of industry experience, delivering high-quality projects with efficiency, excellent communication, and unique design solutions. Proven track record of meeting high standards and deadlines, with a strong ability to work effectively under various conditions.

Recognized for exceptional communication skills, with a consistent record of completing numerous projects to a high standard. Seeking a collaborative team environment where I can leverage my skills and expertise, while continuing to grow and develop as a professional."
56639,"UI/UX Designer
Summary:
Highly motivated and detail-oriented UI/UX designer with a strong foundation in composition and excellent communication skills, seeking to gain experience and work on innovative projects.

Skills:
- UI/UX design
- Composition basics
- Strong communication skills

Tools:
- Adobe Illustrator (high level)
- Adobe Photoshop (high level)
- Figma (high level)
- InVision (average level)
- After Effects (average level)
- Adobe Lightroom (average level)

Career Objective:
To obtain experience and expand my knowledge in UI/UX design, while working on engaging and challenging projects that foster growth and creativity."
56641,"Professional Skills:
Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Microsoft Word, Microsoft Excel, and Procreate
English language proficiency: B2 level
Skilled in hand drawing and graphic tablet drawing
Experienced in graphic design

Personal Qualities:
Responsible and reliable
Creative thinker with a keen sense of taste
Inquisitive with a strong desire for self-improvement and professional development
Persistent with excellent time management skills
Adept at seeking new solutions

Work Experience:
Designer, Photo Center
Utilized Adobe Photoshop and Illustrator to create patterns, prints, and design templates in the company's style
Created portrait arts in various styles and edited photos

Illustrator, NFT Project
Designed illustrations in diverse styles for the project

Illustrator, YouTube Channel
Created illustrations based on specified storylines for video content"
56642,"Experienced Graphic Designer, Motion Designer, and Illustrator
--------------------------------------------------------

Summary:
Highly skilled graphic designer with 5 years of professional experience in freelance and marketing agencies, complemented by skills in motion design and illustration. Proficient in UI/UX design, with a strong passion for combining design and illustration.

Professional Experience:
- Collaborated with international clients, including WADA and POLADA
- Served as Art Director on animation projects, overseeing creative direction and development

Skills:
- Illustration and drawing
- Proficient in Figma and Adobe Creative Suite
- Fluent in English

Career Interests:
Seeking a role that combines design and illustration, with opportunities to create custom interface designs, character and illustration sets for apps, websites, or marketing campaigns, and design edutainment projects or casual games. Open to exploring various positions and collaborations."
56643,"Graphic Design Specialist, SMM Manager
LG Electronics

Awarded as The Most Innovative Employee of the Year (2019)

Key Responsibilities:

Advertising Campaigns:
- Developed visual concepts for advertising campaigns across multiple platforms
- Collaborated with sales and product marketing teams
- Produced visuals and resized materials (approximately 170 units)

Production of Printed Materials:
- Created and adapted printed materials for various product categories (OOH, catalogues, leaflets, business cards, postcards, stickers, banners, rollups, etc.)
- Designed POSM materials (toppers, stickers, banners, posters, etc.)
- Prepared materials for printing

LG Website:
- Produced and adapted banners for all product categories
- Supported the transition to a new visual concept of the website (2020)
- Created and adapted product card materials

Social Media Management:
- Referenced and controlled the annual strategy
- Prepared and adjusted monthly content plans
- Produced approximately half of the published materials
- Curated a digital agency
- Approved visuals and copyrights
- Coordinated between the agency and product managers
- Presented weekly reports including key indicators, competitor analysis, and activity results
- Designed social network elements (profile headers, thumbnails, covers, Instagram guides, Facebook shop, etc.)
- Curated competitions on social platforms"
56644,"Freelance Professional
Experienced in graphic design, brand book development, and logo creation
Skilled 2D artist
Seeking remote or part-time opportunities
Available for non-gaming projects"
56645,"Graphic/UI/UX Designer

Located in Ukraine, open to new opportunities and collaborations.

Results-driven designer with a portfolio of successfully implemented commercial projects across various companies.

Key Skills and Expertise:

• Website, landing page, information panel, and mobile application design/redesign
• Digital marketing design
• Adaptive design development
• Corporate style and identity creation
• POS material design and print preparation
• Souvenir product development
• Web banner, social media visual, and graphic material design
• Infographic and presentation design
• Illustration

Highly motivated and experienced designer seeking engaging projects and a dynamic team to leverage my skills and experience."
56646,"Serhii
Graphic Designer, Kyiv, Ukraine

Summary:
Highly experienced graphic designer with over 14 years of experience in design, proficient in creating packages, posters, flyers, banners, collages, catalogs, logos, and corporate identities.

Professional Experience:
- Design of packages, including gift boxes and carton-transport boxes
- Creation of posters, flyers, and banners for social media
- Development of collages and layout of catalogs
- Design of logos and corporate identities
- Infographic design

Skills:
- Typography
- Color theory
- Composition
- Pre-print
- Adobe Photoshop
- Adobe Illustrator
- Adobe InDesign
- UX/UI Design
- Figma

Language:
English: B1/B2 level

Availability:
Available for remote part-time or project-based work as a graphic designer. Registered to work as a private entrepreneur."
56647,"Results-driven designer with 9 years of experience in branding, delivering effective solutions that make a lasting impact on customers.

Key Skills and Experience:
- Branding: Logo design, corporate identity, brand book, guidelines, and website design
- Proficient in Adobe Illustrator, Photoshop, and Figma
- Efficient and quick turnaround times
- Personalized service with direct communication
- High-quality, studio-level design
- Responsive to edits and feedback
- Reliable and punctual, with a proven track record of meeting deadlines
- Owner of a printing house, with in-depth knowledge of printing rules and requirements

Career Aspirations:
Developing expertise in UX/UI design to further enhance customer experience and engagement."
56648,"Anastasia
Graphic Designer, Co-Founder of Otrazhenie Studio

Highly skilled graphic designer with 5 years of experience in branding and web development, specializing in creating unique visual identities for companies across various industries.

Key Achievements:
- Consistently delivered high-quality designs that led to client retention and referrals
- Successfully co-founded and managed Otrazhenie Studio, operating primarily in the Ukrainian market until business was impacted by the war

Experience:
- Branding development for companies in fashion, architecture, education, HoReCa, finance, and industrial sectors
- Created and developed visual design styles for personal, product, and corporate brands, including logos, slogans, font selection, colors, illustrations, and photographic styles
- Developed user-first website interfaces focused on business goals, creating and transferring adaptive layouts to developers using Figma
- Managed the development process and controlled the work of developers
- Provided graphic design consultations to clients based on their marketing goals
- Created promotional materials including postcards, flyers, posters, billboards, infographics, brochures, vehicle wraps, email marketing templates, social media ads, banners, and graphics
- Led the design, development, and implementation of graphic, layout, and production communication materials
- Delegated tasks to a team of three designers and provided project counsel
- Managed the production of printed products from layout creation to final delivery
- Created engaging presentations to convey clients' messages effectively
- Produced photos and videos for unique business illustrations

Skills:
- Branding and web development
- Visual design style creation
- Website development and management
- Graphic design consultation
- Promotional material creation
- Team management and leadership
- Presentation and communication

Portfolio available on Behance: besdna"
56649,"Winner of the ""Nanoscience as Art"" contest at the IEEE NAP-2021 conference for the work ""Invisible Orchid"", a scanning electron microscope image of calcium carbonate powder, conducted under the PROM Program ""International Scholarship"
56650,"Summary: 
Highly skilled Graphic Designer with 2 years of professional experience, proficient in industry-standard design software including Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma.

Experience: 
Graphic Designer
- Developed a captivating brand identity for a startup
- Executed successful marketing campaigns with engaging visuals
- Managed multiple projects, meeting deadlines and exceeding expectations
- Received recognition for attention to detail and creativity

Skills: 
- Proficient in Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma
- Strong understanding of graphic design principles
- Excellent attention to detail and creativity
- Ability to understand client requirements and translate concepts into compelling visual solutions
- Strong foundation in delivering high-quality designs that exceed expectations

Career Goals: 
Seeking a creative and collaborative environment to utilize skills in graphic design, with opportunities for professional growth and a positive work environment. Prefer diverse projects that allow for expertise showcase and staying up-to-date with emerging design trends, while avoiding monotonous tasks, unclear direction, and excessive administrative work."
56651,"UI/UX Designer
Highly skilled designer with 4 years of experience in creating intuitive and engaging user interfaces and user experiences
Proficient in a range of design tools, including Figma, Sketch, Photoshop, Illustrator, Axure, and Principle
Dedicated to delivering exceptional design solutions, with a strong passion for collaborating with enterprise startups and projects"
56652,"Results-driven designer with 9 years of combined experience in freelancing and product development, driving growth and innovation through creative solutions.

Summary:
Highly motivated and dedicated professional with a strong passion for continuous learning and professional growth, seeking a dynamic company with opportunities for expansion and development.

Experience:
Freelancer (3 years)
- Created prototypes and UI designs for various projects
- Developed banners and creatives for advertising and promotional campaigns
- Designed print production materials
- Conceptualized and designed landing pages and other digital assets
Company Product Developer (6 years)
- Contributed to the design and development of company products
- Utilized design skills to create engaging and effective marketing materials
- Collaborated on cross-functional teams to achieve project goals

Skills:
- Proficient in Figma and Adobe Creative Cloud
- Familiarity with 3ds Max
- Strong understanding of UI design principles and prototyping
- Experience with print production design and landing page development
- Proficient in creating banners and creatives for advertising and promotions

Career Goals:
Seeking a company with opportunities for growth and expansion, where I can apply my skills and experience to drive success and advance in my career."
56653,"Graphic Designer-Marketing Specialist

Experience:
Graphic Designer (3 years)
Graphic Designer-Marketing Specialist (current)

Skills:
- Design of social media posts
- Creation of sticker packs
- Development of landing pages
- Production of marketing materials
- Proficiency in:
  Figma
  Photoshop
  Illustrator"
56654,"Summary:
Results-driven and highly skilled designer with expertise in branding, web design, and print media, delivering visually captivating and effective design solutions to diverse clients across various industries.

Experience:
- Successfully managed multiple design projects from concept to completion, collaborating with clients and cross-functional teams to ensure high-quality designs within strict deadlines.
- Utilized strong communication and presentation skills to foster strong client relationships, resulting in repeat business and positive feedback.

Technical Skills:
- Proficient in industry-standard design software, including Adobe Creative Suite, Blender, and Figma.
- Committed to staying up-to-date with the latest design trends and techniques, continually seeking new sources of inspiration to enhance work.

Career Overview:
Results-driven designer with a deep understanding of visual aesthetics, combining technical skills to deliver effective design solutions that meet unique client needs and objectives."
56656,"UMO Global Innovation Challenge 2022 Finalist
Designed a project for the ""Designing for Crisis"" theme, utilizing primary and secondary research methods and leading the ideation phase.

Volunteer Experience:
One Heart
- Developed visual materials, including posters and illustrations
Creative Sich
- Designed and created posters and illustrations

Skills:
- Proficient in Adobe Illustrator, Adobe Photoshop, and Figma
- Familiar with Canva, Trello, and Invision
- Currently learning Adobe After Effects

Seeking opportunities to collaborate with talented individuals and further develop skills in Graphic Design and UI/UX Design."
56657,"UI/UX Designer & 2D Graphic Designer

Summary:
Highly skilled UI/UX designer and 2D graphic designer with 4 years of experience in digital design, proficient in Adobe Photoshop and Adobe Illustrator.

Education:
- ArtCraft Education LLP, Online Course: Game Graphics (2021)
- ArtCraft Education LLP, Online Course: Anatomy (2020)
- ArtCraft Education LLP, Online Course: Digital Drawing (2019)
- IT School, Course: Advanced Graphic Design, Adobe Photoshop, Adobe Illustrator (2017)

Experience:
UI/UX Designer & 2D Graphic Designer
- Created icons, logos, and layouts of various degrees of complexity
- Designed marketing materials, including press-wall illustrations, banners, notebooks, and social media posts
- Worked on UI/UX design for websites and mobile applications (iOS/Android)
- Created workflow diagrams
- Prepared templates for presentations, portfolios, and backgrounds for mobile games

Skills:
- Proficient in Adobe Photoshop and Adobe Illustrator
- Knowledge of basic rules and principles of drawing and painting in CG, including light, shadow, tone, color, perspective, anatomy
- Proficient in drawing by hand using Wacom Intuos 4 Digital Tablet
- Familiarity with Sketch, Figma, InVision, Abstract, and Craft plugin
- Experienced in working with international clients and communicating via email and calls"
56661,"Highly Skilled Graphic and Web Designer

Results-driven designer with over 10 years of experience in creating modern, visually appealing designs for web and mobile applications, logos, and corporate identities. Proven track record of delivering high-quality solutions by combining extensive experience with the latest design trends and technologies.

PROFESSIONAL EXPERIENCE:

UI/UX Designer
May 2019 - October 2022
Collaborated remotely with team members on B2B projects, designing and optimizing corporate websites, dashboards, and mobile apps using Figma.

UI/UX and Graphic Designer
November 2015 - June 2019
Spearheaded design for websites and mobile interfaces at a Canadian real estate startup, utilizing Photoshop and Figma to create engaging visuals and user interactions.
Developed printed promotional materials for presentations and international trade shows, supporting brand identity.

Web Designer
February 2012 - March 2019
Contributed to internal projects and client designs at an Israeli digital agency, collaborating with a team of designers to deliver top-notch designs, including a website for fashion design software.
Utilized Sketch, Figma, and Photoshop to bring projects to life.

Seeking remote positions with exciting projects and opportunities for skill development, thriving in team-oriented environments where collaboration and exceptional results are key."
56662,"Results-driven Web/UI/UX and Graphics Designer
with over 5 years of experience, skilled in HTML and CSS development.
Proven track record in preparing publishing materials, 
including booklets, flyers, and brochures, with expertise in brand design.
Adept at collaborating on large team projects and managing smaller-scale initiatives.
Experienced in working with international clients, 
with strong communication skills demonstrated through successful meetings, calls, and correspondence."
56725,"Professional Passion: Logo Design and Brand Identity

Highly motivated designer with a focus on creating meaningful and effective designs that balance technical expertise with creative ideas. Proven ability to distill complex concepts into simple, easy-to-understand forms.

Specializations:
- Logo Design and Brand Identity
- Web Design
- UX/UI Design

Key Strengths:
- Balancing client needs with fundamental design principles, including composition, typography, visual hierarchy, and user convenience
- Creating designs that are both aesthetically pleasing and functional, with a focus on simplicity and clarity"
56795,"Alina
Web Designer

Highly motivated and detail-oriented professional with experience in web design and graphic design. Utilize a combination of creative and technical skills to deliver high-quality results.

Key Skills:
- Web Design
- Graphic Design

About Me:
Results-driven and open-minded, with a strong passion for continuous learning and self-improvement. Committed to staying up-to-date with the latest design trends and technologies.

Contact:
Available upon request."
56796,"Ann
Graphic Designer and UI/UX Designer

Summary:
Highly motivated and creative Graphic Designer and UI/UX Designer with 5 years of experience in graphic design in the IT industry and several months of experience in UI/UX design, seeking a challenging role that offers opportunities to work on innovative projects.

Skills:
- User Research
- User Interface (UI) Design
- Graphic Design
- Ideation
- Typography
- Designing for Print
- User Experience (UX) Design
- Advertisement
- Wireframing and Prototyping
- Prototyping and Testing
- Digital Illustrations
- Interaction Design

Experience:
Graphic Designer, IT Company (5 years)
- Utilized graphic design skills to create visual elements for various projects
- Contributed to the design of print and digital materials

UI/UX Designer (several months)
- Applied UI/UX design principles to create user-centered designs
- Conducted user research and created wireframes, prototypes, and tested designs"
56797,"Graphic and UI/UX Designer
Highly creative professional with 1 year of experience in designing visually appealing graphics.

Key strengths:
- Designing Banners, Flyers, and Posters for both print and social media platforms
- Meeting deadlines and delivering projects on time
- Collaborating effectively in a team of creatives to achieve shared goals"
56798,"Graphic Designer

Results-driven and collaborative creative professional with expertise in designing logos, developing brand identities, and crafting business presentations. Proven ability to effectively listen, remain calm under pressure, and empathize with clients and team members.

Technical Skills:
- Adobe Illustrator
- Adobe InDesign
- Adobe Photoshop
- Microsoft Word
- PowerPoint"
56799,"Rafael Abasov
www.rafaelabasov.com

Highly skilled and creative graphic designer with experience in various design software and techniques, currently based in Azerbaijan and relocating to Prague in September 2023 for Master's studies in Design. Available for remote work until then.

Freelance Graphic Designer
- Create visual content, including logos, marketing materials, and web graphics
- Specialize in branding, content creation, UI/UX, album cover, packaging, clothing, and poster design
- Experienced in video editing with Adobe Premiere Pro and Final Cut
- Enrolled in Google UX Design Professional Certificate program to expand UX knowledge
- Collaborate with clients to understand their needs and develop effective designs

Passionate about graphic design, with a focus on improving skills and staying current with design trends, preferring a minimalistic and effective approach that combines original ideas with well-thought functionality.

Goal-oriented and communicative, with a focus on bringing clients' visions to life.

Skills:
- Adobe Illustrator (Advanced)
- Adobe Photoshop (Advanced)
- Figma (Advanced)
- Adobe XD (Advanced)
- Sketch (Advanced)
- Adobe Premiere Pro (Intermediate)
- Design Thinking
- Branding
- Design principles
- Typography
- Prototyping
- Wireframing
- User flows
- Mock-ups
- Visual design
- User research"
56800,"GRAPHIC AND BRAND IDENTITY DESIGNER

Upwork (2022.06 - Present)
- Create marketing materials for YouTube, including banners, logos, and watermarks
- Design logos for clients based in the USA
- Develop packaging designs for clients from the Netherlands and the USA
- Design labels for Dutch craft beer
- Implement projects focused on brand formation, development, and creation of marketing materials for web and print

Graphic Designer, Citrus - Odessa (2021.09 - 2022.02)
- Design layouts for promoting household and computer equipment for websites and outdoor advertising
- Create printed products to support corporate style
- Adapt layouts for Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI, and others to Citrus corporate identity
- Adapt banners for social networks, Google advertising, and mass media
- Prepare printed materials using Corel Draw

Upwork (2021.02 - 2021.09)
- Collaborate with clients from the Netherlands and the USA
- Design labels for beer products
- Create banners for Instagram, Facebook, and Google advertising
- Prepare a brand book for a private clinic in Gayvoron, Ukraine
- Design a logo for a music equipment supplier in Lozova, Ukraine
- Create labels for beer products in Folsgare, Netherlands
- Design stickers for Telegram and prepare them for printing in AI and Corel Draw"
56801,"Results-driven Graphic Designer with 10+ years of experience in creating visual content, including illustrations, advertising banners, social networking materials, logotypes, animations, and presentations. Recently expanded skill set to include UI and UX Design, with a focus on User Interface Design. Successfully prototyped a SaaS Design System in Figma as a key team member."
56802,"Graphic Designer
Highly skilled in creating engaging backgrounds and characters for games, with a strong background in IT industry design. Proficient in freelance graphic design, presentation design, market design, and packaging design. Experienced in a variety of 2D design tasks, with expertise in delivering high-quality visual content."
56803,"Designer with 7 years of experience in the design field, holding a bachelor's degree. Proven ability to approach problems from multiple angles, having worked with a variety of design areas, including a startup company, advertising agency, publishing house, and manufacturers. Skilled in considering both UX solutions and marketing aspects to create comprehensive designs, with a thorough understanding of resource allocation for final design creation. Committed to continuous skill development and eager to take on challenging and complex projects as part of a professional team."
56804,"UI/UX Designer with 3 years of experience, focused on creating clear and intuitive designs that provide the best user experience and increase user engagement. Specialize in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration, with a passion for creating high-definition interfaces and improving people's lives through simple, discreet, yet useful products that carry value.

Independent Designer (Freelance)
- Created websites for small and medium-sized businesses, including banners and landing pages, and print design.

UI/UX Designer, Comportal
October 2022 - Present
- Create landing pages for small and medium-sized businesses
- Develop layouts and prototypes for websites
- Evaluate and test user experience
- Develop user interfaces
- Collaborate with development teams and project managers to ensure seamless integration of design into projects

Graphic Designer (Freelance), Resource Group
February 2021 - Present
- Develop marketing materials to increase reach, trust, and loyalty of the target audience
- Develop layouts for print
- Develop banners for targeted advertising
- Create banners for news on the website
- Work with marketers and project managers to ensure timely and quality project completion

Graphic Designer, Liga.net
September 2021 – December 2021
- Develop marketing materials to increase reach, trust, and loyalty of the target audience
- Develop layouts for print
- Develop banners for targeted advertising
- Create collages for news on the website
- Work with marketers and journalists to ensure timely and quality project completion"
56805,"Web Developer and Designer

Experience:
- Developed multiple websites utilizing the Web Flow platform
- Created user interfaces and designed websites using Figma
- Successfully completed various projects on freelance platforms, including Upwork and Fiverr, with notable projects such as NFTlook
- Designed e-commerce sites for Shopify, including the development of a winning product kit
- Built a dedicated landing page for a car parts company based in Ukraine

Skills:
- Web development utilizing Web Flow
- Interface and website design using Figma
- Freelance project management on Upwork and Fiverr
- E-commerce site design for Shopify

Career Goals:
Looking forward to growing and developing in web design and building a successful career or website development company."
56807,"Junior UX/UI Designer

Summary:
Results-driven and creative professional with a strong background in team management, photography, and graphic design. Proven ability to quickly adapt and grow in new roles, with a passion for UX/UI design and a strong foundation in psychology.

Experience:
HR Manager
- Led a team of 65 people, utilizing strong interpersonal skills to drive success
- Advanced from junior specialist to specialist in 8 months, demonstrating rapid growth

Photographer and Graphic Designer
- Contributed to a team of 600 people, creating content for a YouTube channel
- Developed strong creative skills through 3 years of experience in photography and graphic design

Education:
- Bachelor's Degree in Computer Technology, with a foundation in programming principles
- Self-taught in psychology, with 10 years of study and a strong understanding of human behavior

Skills:
- UX/UI design, with current coursework
- Team management and leadership, with experience in large and small teams
- Photography and graphic design, with 3 years of experience
- Strong communication and interpersonal skills, with ability to work with diverse groups
- Reliable, responsible, and creative, with a passion for continuous learning and growth

Personal Projects:
- Traveled to over 15 countries, including a year-long residence in Thailand
- Certified diver, having overcome a fear of water"
56809,"Results-driven designer with experience in developing personal styles for clients, creating engaging visual content, and delivering marketing materials. Proven skills include:
* Illustration and banner design for social networks
* Magazine and book layout
* Preparation and development of marketing materials for printing
* Presentation creation and delivery to clients
* Collaborative team discussions for future project ideas
* UI/UX design for e-commerce platforms
* Landing page design for marketing companies
Seeking a design and marketing role that utilizes my existing experience, with the exception of the gaming, casino, and photo retouching industries."
56859,"Graphic Designer with over 5 years of experience in publishing, complemented by knowledge in Web Design and UI/UX Design acquired through training courses.

Experience:
IMEX LTD, Kropyvnytskyi (2014)
Designer Assistant
- Created corporate catalogs, brochures, certificates, and business cards

PRAGMATIKA.MEDIA, Kyiv (2018-2023)
Graphic Designer
- Developed magazine designs, including layout and visual design
- Prepared graphic documentation such as presentations, forms, and media
- Created visual content for social networks and sites, including post design, page appearance, collages, and leaflets

Freelance (in cooperation with Inka), Kyiv (2020-2023)
Graphic Designer
- Designed a magazine for the Premier Hotel
- Developed corporate catalogs and brochures

Education and Training:
- ""Web Design"" by Skvot
- ""Work with Figma"" by Creative Practice
- ""UX/UI. Projecting and designing of interfaces"" by Creative Practice"
56860,"As a seasoned graphic, web, and UI/UX designer, I have achieved remarkable success in crafting visually appealing websites with seamless navigation and user-friendly interfaces. With a strong foundation in design principles, I possess a meticulous attention to detail and a deep understanding of user experience principles, enabling me to create immersive digital experiences that receive positive acclaim from clients and users.

My expertise extends to developing captivating graphics, logos, and branding materials that effectively communicate brand identities and captivate audiences. Through nearly 9 months of comprehensive design course experience and approximately 6 months of freelance designing, I have developed a diverse portfolio showcasing a range of projects.

Notable projects include designing welcome brochures for a country, constructing websites for various businesses such as perfume stores, photographers, start-ups, and hotels. I have also designed a dashboard for a local bank, a website for a solar panel company, a menu for a local restaurant, and a cinema app. These projects have provided me with a range of exciting and diverse experiences that I am proud of.

I am now seeking new opportunities to further refine and expand my skills in the world of design, focusing on projects that align with my values and interests. I prefer to contribute to projects that have a positive impact and cater to a wider audience, and I am eager to bring my skills and creativity to new and challenging projects."
56861,"UI/UX and Graphic Designer

Summary:
Highly motivated and detail-oriented UI/UX and graphic designer with 2+ years of experience in creating user-friendly and aesthetically pleasing interfaces.

Experience:
UI/UX Designer, Liga Zakon
- Currently working on designing intuitive and visually appealing interfaces
Previous Experience:
Coming Agency
Come Back Agency
Fawn Agency

Projects:
- Created a brand book for Kiton furniture store
- Created a brand book for Lviv Botanic garden

Skills:
UI/UX design, graphic design

About:
Responsible and outgoing person with a passion for design, basketball, skiing, and other interests."
56862,"Digital Designer
5 years of experience

Graphic Designer, Network Advertising Agency (2 years)
- Collaborated with cross-functional teams to develop concepts and corporate styles for over 8 brands
- Delivered high-quality designs to large corporate clients, meeting artistic and deadline expectations
- Enhanced technical and communication skills through team collaborations

Freelance Designer (1 year)
- Provided design services to international clients

UX Designer, Projector (course completion, May 2022)
- Acquired foundational knowledge and interest in UX design principles
- Completed comprehensive UX design courses

Portfolio:
- Features multiple fully functional websites"
57384,"T-Shape Design Generalist

Highly experienced design leader with 15+ years of experience in product design, team management, and product launching, with a proven track record of designing over 40 successful digital products and creating over 30 brands and trademarks.

Key Experience
---------------
Led design teams and projects worldwide, setting up product design teams and processes
Mentored junior designers, providing lectures and workshops with a focus on UX design and product management
Managed UI/UX design teams, understanding the full design process from business analysis and research to visual design and implementation

Expertise
----------
UX architecture and design
Data mining and data-driven design
User testing and usability evaluation
Visual design, UI design, and logo design
Product management and product identity design
Prototyping, iOS, and Android development
HTML/CSS principles and AR/VR technologies
Business and requirement analysis, user and marketing research
Photography, direction, and management

Achievements
------------
Respected UX certification
International design awards
Jury member at international design competitions

Career Preferences
-----------------
Seeking a product company to influence direction and product vision
Available for part-time design consultancy services in processes or products
Open to remote or relocation opportunities in the USA, UK, or Europe
Interested in cross-disciplinary design projects, including AR/VR projects, excluding game development"
