Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:freet_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:freet,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
98324,"Certificate for successfully completing an 8-month course and obtaining practical knowledge in UX/UI design, Web-design, and mobile design

As a UX/UI Designer, I create meaningful digital experiences that solve problems and simplify users' lives, specializing in web and mobile applications. My design process involves a full-cycle approach, starting with task analysis and prototyping an interface that meets the target audience's needs. I then create a visual style that aligns with the brand, turning the user's journey into a seamless and intuitive experience.

My past experience in motion design is valuable in my current role as a UX/UI designer. I have worked on several projects, including:

* ""Unreal"": a mobile application for booking tables in unusual restaurants, where I designed the full cycle of the app to provide users with a convenient and efficient way to reserve a table and have a memorable dining experience.
* ""Wings of Hope"": a web service for the restoration of social infrastructure facilities in Ukraine, where I designed the full cycle of the web service to attract communities, government officials, private organizations, and investors to restore Ukraine's social infrastructure.
* Redesign of the Slavsko ski resort website, where I created a modern design to attract more tourists, both local and foreign, and developed a new unique recognizable style.
* Test drive Audi Q3: a landing page design for advertising Audi, allowing users to order a test drive.

I am looking for a company to collaborate with teams, including product managers, developers, and other designers, to bring my design ideas to life and create complete digital products.",
98325,"Web Designer

Highly motivated and detail-oriented designer with a strong foundation in personal projects, leveraging skills to create user-centered designs. Recent project experience includes designing a website for museums, focusing on crafting an engaging and informative interface for visitors.

Key Skills:
- User-centered design
- Page layout design with consideration for user requirements and environmental specifics
- Exhibit placement and navigation
- Visual perception and UI/UX design principles
- Design tool utilization and detailed analysis for intuitive navigation

Career Aspirations:
- UI/UX design expertise
- Team collaboration and client communication
- Staying current with the latest technologies and tools
- Delivering tailored design solutions that provide exceptional user experiences and support business objectives",
98326,"Projector Institute

Educational Background:
Completed modules: 
  Web Design Beginning
  Web Design Junior
Currently studying: 
  UX Design

Experience:
Web Design Junior Module:
  Collaborated with clients on high-detailed prototypes for website redesign, working with two clients
  Conducted client briefings, gathered references, and created design materials including mind maps, wireframes, UI designs, and mobile adaptive versions

Internship at Sahu Media, German design-bureau:
  Designed advertisement banners for clients using Photoshop
  Assisted in website development using WordPress",
98327,"2022-2023: Completed Web Design Basic course at IT school ""Hillel""
2023-Present: Studying Web Design, UI/UX Design, and Mobile Design at IT school ""Hillel""
Proficient in:
- Figma
- Photoshop
- Illustrator
Highly attentive and responsible, with a strong commitment to continuous improvement in the IT field
Key Projects:
- Developed landing pages, a website, and a website redesign
- Created a web service and adapted it for a mobile application
- Conducted research on target audience and competitors",
98328,"Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes.

PROJECT EXPERIENCE

Landing Page for a Flower Shop
The goal of the project was to create a landing page to advertise the flower shop's new opportunity to order a bouquet with delivery. I analyzed competitor sites, created a moodboard to convey the emotional context of the product, designed the wireframe and UI kit, and then created the landing page.

Redesign for the Italian Roastery Website
The goal of this project was to redesign the website of the Italian roastery “Il Griso” to increase its visual appeal and ease of use. I analyzed competitor sites, developed a structure for the organization of elements on the site, created wireframes and UI kits of selected pages, and redesigned the site, performing prototyping and adaptation.

Web-service for the Cleaning Company
No details available.

TEAM EXPERIENCE
Scrum Master, Team Project ""Mind Map""

SUMMARY
Seeking to join an innovative design team to enhance the user experience for customers, leveraging my creativity and problem-solving skills to create industry-leading products.",
98329,"Web Designer Assistant

Summary:
Highly motivated and organized web design professional with experience in creating landing pages, online stores, and printed products for Western markets, including products for Etsy. Proficient in utilizing Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, and Canva to deliver effective designs.

Experience:
Web Designer Assistant
- Developed landing pages, online stores, and prototypes
- Designed banners, price lists, and other printed products
- Created designs for themed events, including invitations, labels, photo banners, business cards, price lists, and order forms
- Designed social media graphics, including Pinterest pins, Instagram posts, and stories

Technical Skills:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Canva
- UI/UX principles
- Grid system
- Bootstrap
- Adaptive design

Personal Qualities:
- Self-disciplined and responsible
- Organized with strong planning skills
- Team player with leadership qualities
- Strong desire to learn and improve skills",
98330,"Freelance UI/UX Designer

Highly motivated and dedicated design professional with a strong work ethic and a keen desire to learn, seeking to leverage skills and experience in UI/UX design. Proven team player with ability to work collaboratively.

Key Skills: 
- Figma
- Product observation
- Staying up-to-date with new trends in design

Experience:
- Completed commercial project for a dental clinic website

Availability:
- Immediate start
- Open to remote internship opportunities",
98331,"Balance Spa (Training Project)
  Landing Page Development:
    • Created lo-fi and hi-fi wireframes
    • Developed prototypes
    • Designed UI kits
    • Prepared project for developer submission

Foodly (Training Project)
  Mobile Application Development for Supermarket Product Delivery:
    • Conducted client briefings
    • Created hi-fi and lo-fi designs
    • Defined target audience
    • Developed UI kits
    • Performed competitor and heuristic analysis
    • Conducted user testing
    • Created sitemaps
    • Developed adaptive designs
    • Created user flows

JOCCELLUM (Training Project)
  E-commerce Jewelry Project:
    • Conducted client briefings
    • Created hi-fi and lo-fi designs
    • Defined target audience
    • Developed UI kits
    • Performed competitor and heuristic analysis
    • Conducted user testing
    • Created sitemaps
    • Developed adaptive designs",
98332,"Anastasia
Beginner Web Designer

Currently studying UI/UX Design at Hillel Computer School
Coursework:
  • Font theory
  • Images, illustrations, and icons
  • Color theory
  • UI Kit
  • Auto Layout
  • Styles and components
  • Atomic approach
  • Site types and target audience
  • Personas and user research
  • Grids and prototyping
  • Adaptability and responsive design

Highly motivated and committed to continuous learning, practice, and collaborative work. Interested in exploring opportunities in product companies or game development, and open to considering new offers.",
98333,,
98334,"Mobile Application Development Team Lead

Car Wash App: A mobile application designed to facilitate car wash discovery, reservation, and payment, utilizing geodata to enable users to locate the nearest car wash, select a date and time, choose required services, and complete transactions online.

Key Responsibilities:
- Led the development team in the creation of the Car Wash App
- Conducted competitor analysis to inform design and development decisions
- Created User Flow, Wireframes, and Prototype to visualize and refine the application's user experience
- Developed the application's design, ensuring a user-friendly interface and seamless user experience",
98335,"Summary: Results-driven and detail-oriented designer with experience working on multiple projects and collaborating in a team environment. Proficient in creating user-friendly and visually appealing designs.

Experience:
CloudyClean Webservice
- Conducted in-depth analysis of competitors and user flow
- Created detailed prototypes and user interface designs
- Enabled users to easily find and order cleaning services using filters

Alaska Pete's Website Redesign
- Analyzed user flow, site blocks, and site logic to inform redesign
- Modernized user interface for improved convenience, comprehensibility, and attractiveness

Landing Page for a FlowerLover
- Created a convenient, aesthetic, and understandable landing page for a flower shop
- Analyzed logic of use for potential buyers to inform design decisions

Skills:
- User experience (UX) design
- User interface (UI) design
- Prototyping
- Team collaboration

Career Goals: Seeking one-off design projects or a junior designer position in an office or remote work setting.",
98336,"E-commerce Website Development for NOVI Luxe
Collaborated directly with client to design and deliver their e-commerce website
Conducted user research through surveys and interviews to inform design decisions
Created wireframes, user flows, and interactive prototypes using Figma to visualize and communicate design concepts
Implemented A/B tests to validate design decisions and ensure data-driven outcomes
Delivered project on time and within budget, receiving positive client feedback",
98337,"More than 1 year of experience collaborating with prominent partners, including Looqme, HoReCa show, S-Prof, and Lviv Organ Hall, where I gained commerce experience through these partnerships. I completed UI/UX design courses at LITS, enhancing my skills in this area.

Key Skills: 
- Proficient in Adobe Photoshop 
- Skilled in Adobe Illustrator 
- Experienced with Figma 
- Familiar with Invision 
- Strong understanding of UI/UX principles

Throughout my career, I have participated in various projects that have allowed me to develop my skills and work effectively in a team environment, fostering growth and collaboration.",
98338,"Commercial Experience:
Comon Agency, January 28, 2022 - February 24, 2022
Reduced labour headquarters due to the war in Ukraine
Individual private projects, February 24, 2022 - Present

Non-Commercial Experience:
Project Collaborations:
- ""On the Way"" product delivery project: Collaborated with Alexey, focusing on landing page development and creating corporate identity for the website
- ""Sammy Icon"" e-commerce project: Worked with Phillip, leading the redesign and development of a multi-page online store website, including UX Research, Wireframe, and Style-Guide & Design stages",
98339,"UI/UX Design Course Graduate

Key Skills:
• UX Design
• GUI Design
• Typography
• Proficient in basic graphics tools: Figma, Adobe Photoshop
• Knowledge of design methodologies: Design Thinking, Human Centered Design

Portfolio:
Examples of landing page, e-commerce, and adaptive design projects, demonstrating proficiency in UI/UX design principles.",
98340,"Certificate of UX/UI Designer, Beetroot Academy
Certificate CELI4 C1, Italian Language Proficiency

Summary:
Highly motivated UX/UI designer with experience in UX research and UI design, seeking a challenging role in a dynamic team to develop skills and contribute to innovative projects.

Education:
Completed courses in design, Beetroot Academy

Experience:
UX Research:
- Created mind maps, information architecture, and worked with briefs
- Conducted competition analysis, developed empathy maps, and designed personas
- Created Customer Journey Maps (CJM) and user flows
- Developed wireframes for user-centered design solutions

UI Design:
- Proficient in Figma, Adobe Photoshop, and Illustrator
- Experienced in creating interactive prototypes and designing adaptive UI
- Knowledgeable in composition, typography, color theory, grid systems, and design patterns

Projects:
- Designed a mobile application for a family medicine clinic
- Created a landing page for a design studio
- Developed a website for a beauty salon
- Designed icons and logos for applications

Career Goals:
To secure a role in a forward-thinking team with opportunities for growth, learning, and professional development, where skills can be utilized to contribute to the company's success.",
98341,"Master's Degree in Architecture and Urban Planning, May 2023
Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

Skills:
- Self-organization
- Critical thinking
- Research
- Analysis
- Digital product design
- Mobile application development
- Website development
- UX Research
- User Persona and Story formulation
- User Flow design
- Wireframing
- Animated Prototyping
- HTML markup
- CSS styling
- Responsive and adaptive design principles

Project Experience:
1. Website Redesign for FeelFull, a food delivery enterprise
2. Catalogue Website for TviyBrend, an accessories retail company
3. Mobile App Colory, designed to transform black and white photos into color

Education and Training:
Completed two educational courses on creating mobile applications and websites
Participated in online client meetings, conducted UX Research, and designed digital products from initial design to final implementation

Career Goals:
Committed to creating impactful and user-centered designs while expanding expertise in UX/UI principles through real-world practice experience",
98342,"Team Leader, Search for Lost and Found Animals Project

Key Skills:
- Conducting research
- Meeting deadlines
- Proficient in computer graphics programs: Figma, Illustrator, Photoshop
- Teamwork experience
- Developing layouts for websites, web, and mobile applications

Projects:
- Search for Lost and Found Animals: Analyzed competitors, developed site map, site functions, and adapted the site to achieve the project's main objective of quickly finding lost animals and reuniting them with their owners.
- Furniture Store Landing Page: Analyzed competitors, selected references, created a prototype, and designed a user-friendly UI page.

Experience:
- Participated in the development of an animal search site as part of a social project.
- Led a team in the Search for Lost and Found Animals project, focusing on responsibility and teamwork.

Career Goal:
To work and develop as a UI/UX designer in a team of professionals, continuously improving skills and acquiring new ones to enhance competence.",
98343,"Education and Training:
Projector Institute UX/UI Design Course
  Skills: 
    - Auto Layout
    - Prototype
    - Typography
    - Wireframe
Coursera Foundations of User Experience (UX) Design (Google)
  Skills: 
    - Prototype
    - UXD
    - User Experience
    - Wireframe
Current Studies:
Projector Institute UX Design, Currently Enrolled",
98344,"UI/UX Designer

Summary:
Results-driven UI/UX designer with experience in creating MVPs, wireframes, and designing interfaces for websites and mobile applications, utilizing Design Systems to drive efficient project development and deliver high-quality results.

Education:
UI/UX Designer course at GoIT school (Feb 2023 - Aug 2023)

Projects:
- Redesigned the ""Rainbow"" landing page, enhancing user experience for a kindergarten website with easy appointment booking and curriculum selection features.
- Contributed to the development of the ""CleanHouse"" web-service, a platform connecting users with cleaning service providers, including registration for cleaner positions, as part of a three-member team.
- Collaborated on the ""MY BRAND"" mobile app, an e-commerce application offering online shopping and home delivery capabilities, as part of a two-member team.

Skills:
- Concept and wireframe development from abstract ideas
- Minimum Viable Product (MVP) creation
- Team collaboration and project participation
- Interface design for websites and mobile applications
- Design Systems utilization for efficient project development

Career Goals:
Seeking a company that values its employees, where I can apply my skills, gain experience, and grow into a valuable team member.",
98345,"Summary:
Highly detail-oriented designer with experience in creating engaging e-commerce platforms, landing pages, and mobile app interfaces.

Experience:
Designer
- Created visually appealing and user-friendly interfaces for e-commerce platforms, landing pages, and mobile apps
- Collaborated with clients to understand project requirements and deliver tailored design solutions
- Applied design principles and responsive techniques to ensure seamless user experiences
- Utilized Figma for efficient prototyping and iterative design processes
- Ensured precise implementation of designs, paying close attention to detail
- Demonstrated effective communication skills, consistently meeting project deadlines and delivering high-quality results",
98346,"UI/UX Designer

Key Projects:
- Developed a comprehensive UI/UX design concept for an online perfume store, featuring prototype development, user flow creation, and UI visualization of 18 web pages, culminating in a detailed presentation.
- Redesigned a landing page, including analysis documentation, prototyping, and UI page concept development with light, dark, and adaptive versions to ensure cross-platform compatibility.",
98347,,
98348,"Web Developer and Designer

Summary:
Highly skilled web developer and designer with a proven track record of delivering turnkey sites with 100% positive customer feedback.

Technical Skills:
- Proficient in Figma
- Familiar with Photoshop and Illustrator
- Experienced with site construction using a constructor

Experience:
- Developed and assembled multiple websites using a constructor
- Designed and developed games, including animation and visual elements
- Created turnkey sites with 100% positive customer feedback

Tools and Resources:
- Utilized a MacBook for design work",
98349,"Creative and friendly UI/UX designer with a passion for creating user-centered designs that meet business goals. Proven experience in graphic design, marketing, and analysis, with a strong ability to empathize with users and understand their needs.

Experience:
2021-2023
Graphic Designer - Electro House company
- Developed website and mobile application design, supported and filled content for the main website and online store.
- Created commercial offers, presentations, and mailings.
- Worked on packaging, creating stickers, decals, and instructions.
- Designed printing products, including catalogs, booklets, and business cards.
- Designed and filled social networks with graphic content.
- Created banners for the company's website and partners' websites, and filled the website with graphic content.
- Conducted product photography, photo processing, and retouching.

2020-2022
Graphic Designer - ""Fact"" publishing house (project-based work)
- Created layouts for book covers, souvenir products, and printing products.

2020-2021
Marketer and Designer - Regional medical center
- Developed outdoor advertising design, including banners, posters, and signs, using CorelDRAW.
- Created polygraphy for internal needs, including gift certificates, diagrams, and presentations.

2016-2022
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky
- Collected data, prepared reports, and analyzed work, including planning and conducting methodical hours.
- Conducted advertising activities, including social media management, poster design, and layout creation.

Education and Skills:
Completed classes in UI/UX design, with skills in:
- Developing interface design for web and mobile applications
- Creating user journey maps
- Analyzing competitors
- Creating personas and empathy maps
- Empathizing with users and understanding their needs
- Generating ideas and proposing new ways to implement business ideas.",
98350,"I have been studying for 4 months, during which I completed 1 successful team project and 2 individual projects, showcasing my core technical skills, organizational ethics, and discipline.

As a detail-oriented individual, I take pride in creating functional websites, with a strong focus on UX/UI design. My portfolio comprises three projects that demonstrate my expertise in this area.

The first project, a Landing page, highlights my ability to create user-friendly experiences through competitor research, mood board creation, and UX/UI design.

The second project involved redesigning the India Cafe website, where I conducted a website analysis, worked on UX/UI design, and addressed aspects such as color schemes, responsiveness, typography, and prototyping. I also created a UI kit and prepared the project for Behance.

The third project, a web service for finding lost or misplaced pets, showcases my skills in analyzing competitor web services, creating user personas, defining user flow, and designing systems. I incorporated features like pop-ups and a donation feature for animals in need.

Currently, I am enrolled in UI/UX design courses at GOIT, where I have acquired valuable skills in developing mobile and desktop applications.

My technical skills include designing user interfaces for various platforms using tools like Figma, Adobe Photoshop, and Adobe Illustrator. I have experience with color schemes, typography, UI kits, grid systems, website design prototyping, and mobile app development.

Key areas of expertise include:
Education and mentorship
Project participation
UX/UI process involvement
Team collaboration
Gradual growth
Professional development.",
98351,"Dedicated and self-motivated UX/UI Design enthusiast with 3 years of self-study experience, possessing a proven ability to work independently on freelance projects and personal initiatives. A portfolio is maintained, showcasing completed works, including the development of 4ROLL — Dungeons & Dragons Digital Game Companion App, which has been featured on Behance and Dribbble. With a strong foundation in self-directed learning, a desire to transition into a professional setting and acquire hands-on experience drives ongoing skill development and knowledge enhancement.",
98352,"Recent Education and Training

* Completed Courses:
	+ Fundamentals of Graphic Design (Coursera)
	+ Fundamentals of Design (Creative Practice)
	+ Graphic Design: Composition (Creative Practice)
	+ UI/UX: Projecting and Design of Interfaces (Creative Practice)
* Video Course Completion:
	+ Professional Graphic Designer (Genius Space)
	+ Professional Web Designer (Genius Space)
	+ Professional UX/UI Designer (Genius Space)
* Current Enrollment:
	+ Web Design + Layout (Alpaca School)

Skills and Areas of Interest
* Graphic Design
* Web Design
* UI/UX Design

Personal Statement
As a beginner in the design field, I have been actively developing my skills over the past year through various courses and training programs. I am eager to learn and gain practical experience, and I am looking for guidance and support as I start my career.",
98353,"Architectural and Construction Engineer
Seeking to transition into UI/UX Design

Education:
UI/UX Design Course, IMT Academy

Skills:
Proficient in Adobe Illustrator, Adobe Photoshop, and Figma

Experience:
Freelance Designer
Portfolio available on Behance, featuring training projects",
98354,"Data Entry Specialist
Health App Ornament
August 2020 - February 2023

* Entered user data from various sources, including recipes, recommendations, and extracts
* Executed instructions and directives from the director to ensure efficient operations

Technical Support Consultant
IT Con Gaming
January 2017 - June 2020

* Provided technical assistance to users via multiple channels, including email, phone, and online correspondence
* Managed payment processing and generated reports to track performance and progress",
98355,"**Summary**
Results-driven and detail-oriented professional with experience in designing and developing various projects, including mobile applications, web services, and websites. Skilled in analyzing user behavior, creating user-friendly interfaces, and collaborating in a team environment.

**Technical Skills**
Proficient in application design and development, user behavior analysis, user interface creation, and team collaboration.

**Project Experience**
* **Pet Search Project (Team Collaboration)**
  - Conducted competitor analysis and created JTBD and dog walker persona
  - Developed ad creation and services sections
* **Dating App**
  - Designed and developed an artificial intelligence-based dating application
  - Analyzed user behavior through smartphones and apps to suggest compatible pairings
* **Pet Search Web Service**
  - Contributed to the development of a lost animal recovery website
  - Implemented geolocation search and filter functionality
  - Added sections for finding dog sitters and dog walkers
* **Landing Page Citroen S4**
  - Created a landing page design for the Citroen C4
  - Utilized brand-specific color schemes and highlighted model advantages
* **Redesign Website CrossFit CENTRAL**
  - Redesigned the website with a fresh visual design and harmonious colors
  - Implemented UX solutions to improve user navigation

**Work Environment and Values**
Results-focused and design-driven, with a strong emphasis on open teamwork, mutual respect, and a friendly atmosphere. Offers opportunities for partial remote work, corporate training, career development, and growth.",
98356,"Dec. 2021 - Present
Marketing Designer, Inoxoft
- Designed marketing materials, corporate presentations, and branded products
- Developed and updated the company website
- Created case studies for Behance and other platforms
- Mentored team members

Oct. 2022 - Present
Part-time Teacher of Digital Design for Children, GoITeens - IT Academy for Teens and Kids
- Taught digital design to children

May 2019 - Dec. 2021
Graphic Designer and Illustrator, Awkward Styles
- Designed websites
- Developed illustrations and prints for company products

2017 - 2022
Freelance Graphic Designer and Illustrator
- Created illustrations
- Developed banners and print products
- Designed Instagram content",
98357,"Results-driven professional with experience in crisis management and customer service.

CALL CENTER OPERATOR
Delivery, May 2021 - Present
- Effectively resolved crisis situations and restored normal operations, ensuring minimal damage to the company.

CALL CENTER OPERATOR
Sociology, June 2020 - August 2020

SMM SPECIALIST
Web Studio, 2019 - 2021

Highly motivated team player seeking a role that offers collaboration, feedback, and opportunities to contribute to large projects, drive customer satisfaction, and deliver high-quality products.",
98358,"Results-driven design enthusiast with a passion for staying up-to-date on the latest tools and trends. 
Strong understanding of the design process and fundamental principles of effective design.

Key Project:
Designed a platform for pet owners as part of a UI/UX training course, where I:
- Conducted user research
- Created user stories, job stories, and user flows
- Developed low-fidelity prototypes
- Designed high-fidelity prototypes

Technical Skills:
- Proficient in Photoshop
- Proficient in Figma
- Proficient in Axure
- Proficient in InVision

Professional Experience:
Content Specialist
Social Media Manager (SMM)

Career Objective:
Seeking opportunities to apply acquired skills and knowledge, and gain further experience in the design field.",
98359,"Design Professional

Utilizing various tools to bring ideas to life, with expertise in:
- Figma: Prototyping, Wireframes, Customer Journey Maps, Mind Maps, Animations, UX Research, UI Creation, Landings, Adaptive Design, Documentation, Mockups
- After Effects: Custom Motion Animations
- Premiere Pro: Video Editing for Website Content
- Photoshop: Image Editing
- Illustrator: Graphic Design

Proficient in implementing design thinking to create visual representations, with a strong foundation in graphic design, video editing, and user experience (UX) research.",
98360,"Web Development Experience

* Redesigned the Alaska Peters website, a barbecue restaurant in New York, USA, enhancing visual appeal through updated design and menu, replacement of low-quality photos, and provision of more comprehensive client information.
* Developed Clin Fix, a web service facilitating connections between users and service providers for tasks such as cleaning and gardening, and between workers and customers.",
98361,"Results-driven designer with experience in creating identities from scratch and driving website traffic growth. Successfully contributed to a start-up organization's recognition by developing its online presence.

Key Skills:
• Design and redesign of websites, landing pages, dashboards, and mobile apps
• Responsive design expertise
• Corporate style and identity development
• Prototyping and UI kits creation
• Design of POS materials, preparation for printing, and souvenir products
• Web banners and graphic materials design for social media
• Infographics and presentations design
• Photography and digital image processing

Achievements:
- Created a website from scratch, increasing new customer visits to the organization
- Developed web banners and graphic materials, resulting in increased traffic to the website and official Facebook page

Education:
-",
98362,"Recent Achievements and Experiences

Hackathon Participant and Winner
- Attended lectures on gender inequality, stereotypes, and engineering specialties
- Collaborated in a team to develop an innovative idea for a chat-bot designed to interest girls in engineering specialties
- Contributed to the creation of a chat-bot in an online girlfriend mode, featuring a test to guide users in choosing a specialty, with the assistance of a prophorientologist in composing relevant questions

Technical Skills and Projects
- Developed databases for an automated hospital employee workstation using SQL Management Studio and Visual Studio in C# for a course project

Current Studies and Professional Development
- Currently studying UX design through a Google course
- Building a professional portfolio
- Seeking an internship to apply skills and knowledge in a practical setting",
98363,"Volunteer Website Designer

Developed impactful landing pages and websites for various clients, including a dog shelter website design for a volunteer organization
Collaborated closely with cross-functional teams to ensure user-centered design solutions
Translated client requirements into visually appealing and intuitive user interfaces
Implemented effective usability testing methodologies to identify areas of improvement
Delivered high-quality designs on time, contributing to the overall success of projects",
98364,"UX Designer & Researcher

Pet Project: 
Panic Attack Application
Designed an application for individuals experiencing panic attacks, focusing on self-education and panic attack reduction.

Project Experience:
Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka
- Collaborated on a team project (4 months, 5 weeks of project duration)
- Held roles of UX Researcher and UI Designer, contributing to the development of a pet-project as part of the course curriculum.",
98365,"UX Designer and Developer

Currently enrolled in UX skill improvement courses through Google and Coursera, with 2 out of 7 courses completed, aiming to enhance skills in user experience design.

Project Experience:
- Developed a subscription-based charity website design, analyzing competitors and highlighting the charity's unique aspects to present project information concisely and clearly.
- Designed the website from scratch within a tight deadline, with ongoing improvements based on previous results.

Projects:
- Save Ukraine Now (IF) 1 Day Donate",
98366,"Devin

Freelance Experience
April - November

Experience:
Designed a website for Devin
Participated in the development of various company projects
Contributed to the design of a mobile application for an insurance company

Key Responsibilities:
- Created and developed products to maximize effectiveness and solve user problems
- Utilized skills to improve product usability and user experience",
98367,"Results-driven and motivated IT enthusiast with a strong work ethic, seeking to leverage self-study experience in UX/UI design and Figma to secure a role in the industry. Proven ability to quickly learn and adapt to new concepts and technologies.

Key skills: 
- UX/UI design
- Figma
- Quick learner
- Strong work ethic
- Strong communication skills

Professional experience:
Sales Manager
- Managed sales operations
- Developed strong communication skills

Printing Company
- Contributed to the production of plastic cards
- Assisted in printing project documentation

Education and Projects:
- Completed a self-study project in UX/UI design using Figma
- Actively expanding knowledge and skills in IT and design fields through self-study",
98368,"UI/UX School - Genesis Academy
Complex Internet Marketing course at Para school
Web Design Junior, Web Design Beginning courses at Projector

Internship at Star Company
Contributed to the development of 2 projects:
  App for document verification
  Group of apps in sport and health with a racing theme
Utilized design tools:
  Figma
  Adobe Photoshop
Key Responsibilities:
  Developed screens design
  Ensured adaptation to iOS and Android platforms
  Created screenshots for App Store and Google Play listings",
98369,"UX/UI Design Enthusiast

Summary:
Highly motivated individual with a strong foundation in UX/UI design principles, gained through the completion of Google's UX/UI design course on Coursera. Proficient in creating intuitive and attractive interfaces, with a passion for continuous improvement and providing high-quality, user-friendly solutions.

Education:
Google's UX/UI Design Course, Coursera
Completed course, mastering basic design principles and learning to effectively utilize tools and programs for interface design.

Experience:
UX/UI Design Projects
Completed three projects as part of the Coursera course, applying theoretical knowledge to practical design challenges.
Personal Projects
Developed and refined skills through self-directed projects, exploring various design styles and approaches to enhance creativity and proficiency in website and app design.

Skills:
UX/UI Design Principles
Interface Design
Design Tools and Programs
Continuous Learning and Self-Improvement
User-Friendly Solution Design
Creativity and Adaptability in Design Approaches",
98370,"Dedicated and conscientious professional with strong social skills and ability to work effectively in a team, receptive to constructive criticism.

Education and Skills:
- Acquired foundational knowledge of web design, including moodboards, grids, typography, UI-kits, and adaptation.
- Proficient in UI/UX design for web and mobile applications, with expertise in full-cycle design: task analysis, interface prototyping, visual style creation, and implementation of usable and simple end products.

Experience:
- Designed a website for apartment sales, applying learned principles of web design.
- Collaborated with fellow students to develop a web service, mastering principles of persona, user-flow, and smart animation.
- Created a mobile application, further enhancing UI/UX skills.

Professional Approach:
- Emphasis on results-oriented design and open teamwork.
- Values mutual respect, friendly atmosphere, and the possibility of remote work arrangements.
- Believes in corporate training, development, and career growth opportunities.

Specialization:
UI/UX design for web and mobile applications, with a focus on creating effective, user-friendly products that drive results and profitability.",
98371,"UI/UX Designer

Summary:
Results-driven UI/UX designer with experience in creating intuitive and aesthetic interfaces for websites and mobile applications, leveraging user research and competitor analysis to design simple and understandable interfaces.

Education and Projects:
Completed UI/UX Design courses, with a portfolio featuring 5 projects, including:
- Flower Lover: a visually appealing landing page for flower delivery services, enabling users to explore options, place orders, and access delivery information.
- House Hopper: a web service for finding and booking accommodation, offering users functions to search properties, make reservations, and access travel information.
- Additional projects: landing pages, websites, and a mobile app, showcasing versatility in design capabilities.

Skills and Experience:
- User research and competitor analysis
- UI/UX design for websites and mobile applications
- Creation of intuitive and aesthetic interfaces
- Experience with landing pages, websites, web services, and mobile apps

Career Goals:
- Join a team working on impactful projects that enhance users' lives
- Contribute to innovative and high-quality UX/UI solutions
- Pursue continuous growth and learning in UX/UI design
- Collaborate with experienced professionals to support professional development
- Work in a team environment where ideas and knowledge are shared among colleagues",
98372,"Team Leader, Techgen IT
Project Management: Led designers, organized work, and distributed tasks to ensure efficient project execution
Communication: Collaborated with developers to explain design solutions and demonstrate design animations

Key Accomplishments:
- Designed user interfaces (UI) and user experiences (UX) to enhance usability and efficiency
- Prototyped interfaces and conducted user research to test usability and efficiency
- Utilized design tools such as Figma, Adobe Photoshop, and Adobe Illustrator to create effective designs

Freelance Experience:
Team Lead UI/UX Designer, Multi-page Website
- Coordinated a team of designers to design the user interface for an IT Community
- Planned and managed the project to ensure successful completion

UI/UX Designer, Landing Page
- Designed a user interface for a company providing house design services
- Created a business card landing page featuring completed projects and services

UI/UX Designer, Mobile Application
- Designed a mobile application for searching and buying air tickets with a focus on user-friendly interface

Personal Statement:
I am a responsible and proactive individual with work experience, seeking a company where I can contribute my knowledge and skills. I am open to constructive criticism and driven by result-oriented actions.",
98373,"Team Leader & UX Designer

Summary:
Highly collaborative Team Leader with a strong background in UX design, proficient in leading teams and creating user-centered designs for web and mobile applications.

Projects:
Team Project: Neaty Kitty - Webservice for a Cleaning Company
  Conducted thorough analysis of similar services and target audiences
  Created Customer Journey Map (CJM) and Userflow
  Designed a convenient and uncluttered website for cleaning services using Bootstrap 5 design system

Team Project: Tap the Table - Mobile Application for Booking Restaurant Tables
  Collaborated on analysis, userflow, CJM, wireframes, design, and prototyping

Personal Project: Redesign of Yours Sports Bar Website
  Analyzed existing website and competitors
  Created wireframes and design for laptop, tablet, and mobile

Personal Project: Tattoo Studio Landing Page Design
  Created self-made project from references and analysis of similar landing pages
  Designed wireframes and final design

Tools:
  Figma

Portfolio:
  Available on Behance

Education:
  GoIT

Experience:
  Team Leader in two team projects, with a strong background in UX design and collaboration.",
