Unnamed: 0,modified_Llama/meta-llama/llama-3.3-70b-instruct:free
98305,"Team Leader & Junior UI/UX Designer

Summary:
Results-driven team leader and junior UI/UX designer with experience in managing projects, designing intuitive interfaces, and collaborating with cross-functional teams. Proven track record of delivering projects on time and exceeding expectations.

Experience:

Team Leader, Web-service for finding lost pets project
- Determined project direction, distributed responsibilities, and scheduled team meetings
- Ensured smooth workflow, resulting in an intuitive interface that met target audience expectations
- Successfully completed the project on time, receiving high appreciation from the mentor

Collaborator, Start-up project for accountants and related professionals
- Contributed to the development of a web service for calculating salaries, bonuses, and other related tasks

Junior UI/UX Designer
- Completed a special course and 6 study cases, gaining experience in user interface and experience design
- Applied design principles to create user-friendly and visually appealing interfaces

Projects:

- Mobile app for a chain of coffee shops
  - Created an application design with an intuitive interface, well-developed functionality, and a youthful style
  - Conducted competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation, and animation

- Web-service for finding lost pets
  - Conducted competitor analysis, target audience analysis, user-persona compilation, JTBD, CJM, and User-Flow development
  - Developed a design that met the target audience's expectations as a team member and team leader
  - Organized the work process and distributed tasks among team members

- Travel agency website redesign
  - Created a clear and concise design for a wide range of target audiences
  - Conducted competitor analysis, target audience analysis, persona compilation, and user flow development
  - Developed wireframes, UI design, adaptation, and animation, resulting in a clean and neat design using quality photos

Career Goals:
Seeking a team of specialists who strive to develop and improve their projects, where I can apply my theoretical knowledge, gain practical experience, and advance in my career over time."
98306,"Junior UX/UI Designer

With a strong foundation in UX design principles, I possess basic knowledge and skills acquired through courses in UX Design, Interaction Design at Projektor, and UI/UX at Skill-up school. Throughout my studies, I gained theoretical knowledge and practical experience in implementing UX principles.

My experience encompasses all stages of project development, including:
- Setting stakeholder requirements
- Conducting research
- Working with personas in Miro
- Task analysis
- Creating high-fidelity wireframes and interactive prototypes in Figma
- Usability testing
- Presenting project outcomes

My portfolio includes:
- Planner application
- Re-design of an eCommerce website
- Landing page
- CRM system
- Corporate website

I am seeking a position that allows me to realize my potential, rapidly develop my skills, and contribute significantly to the company's success."
98307,"Junior UX/UI Designer

Summary:
Results-driven Junior UX/UI Designer with experience in delivering user-centered design solutions for various projects, including e-commerce websites and landing pages.

Experience:

* Freelance Junior UX/UI Designer
	+ Redesigned an e-commerce skincare website, optimizing usability and visual design through user research, competitor analysis, and user personas to identify pain points and preferences
	+ Applied usability heuristics to create intuitive prototypes and simplify the user experience
* Designed landing pages for educational courses and agricultural companies, utilizing clear call-to-actions to enhance user engagement
	+ Highlighted benefits and outcomes of courses to convey value to users
	+ Employed tailored color schemes, typography, and imagery to reflect the essence of selected topics

Skills:
* User research and analysis
* User experience (UX) design
* User interface (UI) design
* Usability heuristics
* Responsive design
* Visual design
* Typography and color scheme selection
* Image selection and optimization

All designs are fully responsive, ensuring seamless user experience across various devices."
98308,"Junior UX/UI Design Professional

Education:
- Digital Marketing Professional Certificate, University of Miami
- Bachelor's degree in Hospitality and Tourism Management, Minor in International Relations, Florida International University

Summary:
Results-driven Junior UX/UI Designer with a strong foundation in digital marketing and a passion for creating intuitive user interfaces. Proven ability to deliver high-quality projects that exceed expectations, with a keen eye for detail and a drive to stay up-to-date with industry trends and technology.

Experience:
- Junior UX/UI Designer
  - Designed user interfaces for various projects, including a web service for VitalMed, a website redesign for a tattoo salon, and a Citroen C4 landing page
  - Utilized Figma, Adobe Illustrator, and Adobe Photoshop to enhance design capabilities
  - Consistently delivered projects that adhere to the highest standards of quality, commended for creativity and attention to detail

Skills:
- UX/UI Design
- Digital Marketing
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Problem Solving
- Research
- Creative Thinking

Career Goals:
- Seeking a supportive environment to learn and grow as a Junior UX/UI Designer
- Looking for opportunities to work on challenging projects that involve problem solving, research, and creative thinking
- Aiming to become a strong and knowledgeable designer who can create meaningful user experiences
- Seeking a role that offers the freedom to explore new ideas, try out different approaches to design, and contribute to the success of the team

Additional Background:
- Professional athlete in the Ukrainian National team, bringing a unique blend of discipline and teamwork experience to the design field."
98309,"Junior Web Designer

Summary:
Results-driven junior web designer with experience in designing web pages, graphics, and visual elements for websites and marketing materials. Proficient in collaborating with cross-functional teams and utilizing design tools to create effective marketing materials and web pages.

Experience:
Junior Web Designer, [Company Name]
- Designed a company website from scratch, overseeing design control of finished pages
- Collaborated with developers and testers to ensure seamless project execution
- Created wireframes, mockups, and prototypes to communicate design concepts and ideas
- Designed marketing materials, including social network covers, YouTube video previews and footage, and recorded product functionality videos

Tools and Technologies:
- Figma
- Adobe Illustrator
- OBS Studio

Skills:
- Web page design
- Graphic design
- Visual elements creation
- Marketing materials design
- Team collaboration
- Design concept communication
- Wireframing, mockup, and prototyping

Career Goal:
To further develop professional design skills and contribute to new projects, leveraging my experience and proficiency in designing effective marketing materials and web pages."
98310,"Mid Product Designer

Responsible for designing consumer products, with a focus on improving existing designs and analyzing competitor products to match quality and performance. Key responsibilities include:
- Designing consumer products
- Improving existing product designs
- Analyzing competitor products to inform design decisions

Potential career progression includes senior, executive, or managerial roles, depending on industry and company."
98311,"Results-driven UI/UX Designer with a strong background in delivering non-standard solutions through freelance work. Proven ability to approach tasks with responsibility and attention to detail, with a quick learning curve for new skills.

Key strengths include:
- Proficiency in Figma, with a focus on Prototyping
- Expertise in Adobe Photoshop
- Effective communication and collaboration skills
- Strong motivation and decision-making abilities, complemented by a keen eye for detail and accuracy

With a flexible and adaptive approach, I thrive in environments that prioritize work comfortability. I am seeking a remote position with flexible hours that will enable me to maximize my potential as a designer and contribute to innovative projects."
98312,"As a detail-oriented Auditor with a background in Economics and a passion for graphic design, I am excited to leverage my unique blend of analytical and creative skills to secure an entry-level UX/UI design position.

With a strong foundation in Economics, having completed both Bachelor's and Master's degrees, I possess a solid understanding of business principles and analytical thinking. Throughout my academic journey, I developed a keen interest in graphic design, dedicating my spare time to honing my skills and expanding my knowledge.

As a Graphic and Social Media post designer for an education center, I successfully handled the entire branding process, creating engaging social media posts, designing eye-catching posters and printables, and developing a keen eye for aesthetics and user-centric design principles. This experience allowed me to translate ideas into visually compelling designs and understand the importance of user experience.

My experience as an Auditor has instilled in me a strong sense of discipline, precision, and attention to detail, with the ability to work within strict deadlines. I am eager to combine these skills with my creative flair and design expertise to create intuitive, user-friendly interfaces that enhance usability and deliver exceptional experiences.

I am drawn to UX design because of its potential to positively impact users and its intricate relationship with human interaction. I am excited to learn and grow as a UX/UI designer, bringing my passion for design and creativity to a role where I can make a meaningful difference."
98313,"Summary:
Highly skilled UI/UX designer with commercial experience in various projects and domains, including mobile applications and corporate website redesign. Proficient in UX research, design systems creation, and marketing materials development.

Experience:
UI/UX Designer
- Designed and developed mobile applications, including guide app and lottery app
- Redesigned corporate website, ensuring adaptability across web, mobile, and tablet platforms

Key Responsibilities:
- Conducted design analysis of existing screens
- Created design systems based on Design Thinking process
- Developed marketing materials for the marketing team
- Designed visual content for company social media across all platforms
- Created case studies and Behance cases

Technical Skills:
- Proficient in Angular Material, Kendo UI, and Human Interface Guidelines
- Familiarity with Google Material Design

Additional Skills:
- User research and competitor analysis
- Brainstorming and style guide development
- Information architecture and prototype creation
- Adaptive design and wireframing
- Effective communication with clients and developers
- UX research, design systems creation, and marketing materials development
- Mobile design, including rules and patterns"
98314,"I successfully collaborated with cross-functional teams to create intuitive and visually appealing user interfaces for web and mobile applications, demonstrating a keen eye for detail, strong problem-solving skills, and a passion for delivering exceptional user experiences.

As a passionate and detail-oriented specialist, I am dedicated to crafting seamless and intuitive user experiences, with a strong foundation in design principles and a drive for continuous learning. I am committed to creating impactful and visually captivating interfaces that resonate with users.

Key Projects:

Table Tab Mobile App Design (Jun 2023 - Aug 2023)
- Conducted research, created wireframes, and prototyped UI screens for a user-friendly app to book restaurant seats
- Collaborated on designing a rewards system to engage users and enhance their experience

Host Radar Project Design (Apr 2023 - Jun 2023)
- Performed market and competitor analysis for a web service that connects hosts with visitors
- Prepared wireframes, animated prototypes, and finalized the design case

Mainsal Realty Company Redesign (Feb 2023 - Apr 2023)
- Analyzed and redesigned a website to improve user experience, conducting market research and comparing competitors
- Created a modern, user-friendly website that showcases services and fosters customer loyalty

I aim to further develop my design skills and knowledge, contributing to innovative and user-centric projects, and collaborating with senior designers and stakeholders to deliver compelling and delightful user experiences that exceed expectations."
98315,"Recent Graduate of Plural Code Academy
Designed a mobile app for a salon as a final project, utilizing industry-standard tools like Figma to create user interfaces and experiences for web and mobile applications.

Key Skills and Experience:
- User interface and user experience design for web and mobile applications
- User research, wireframing, prototyping, and usability testing
- Proficient in Figma

Current Intern, Software Agency
- Designed and completed a website and mobile views for a cryptocurrency platform
- Designed a website for a resort center

Personal Qualities:
- Quick learner
- Problem-solver
- Team player with excellent collaboration skills
- Committed to delivering high-quality work and meeting deadlines

I am excited about the opportunity to join your company and gain more hands-on experience in UI/UX design, learning from experienced professionals in the industry."
98316,"As a team leader in case studies, I managed tasks and modified designs to meet target audience needs, leveraging strong empathy skills to create user-friendly experiences. This role developed my project management skills and ability to work collaboratively.

With over two years of marketing experience, I've honed creative and strategic skills, delivering visually appealing design solutions that meet client needs and goals. My marketing background provides a keen understanding of user personas and pain points, enabling effective design solutions. I've developed strong project management and communication skills, working with diverse clients across various industries.

In academic projects, I worked on a travel service website, conducting UI/UX research, designing, adapting, and prototyping. Collaborating with a two-person team, I managed project timelines and gained experience working with others.

I also worked on a Scan-and-Go mobile app, involving market analysis and design. We followed user patterns to simplify the shopping process, utilizing design tools like Figma, Adobe Photoshop, and Protopie to create a functional prototype.

As a marketer transitioning to design, I'm eager to apply creativity and strategic thinking to new projects. I'm excited to use my UI/UX design skills to create visually appealing solutions meeting end-user needs. I'm open to working with teams that value both business needs and creating user-friendly customer experiences."
98317,"UI Designer
Highly skilled and detail-oriented designer with 3 years of experience in crafting captivating digital experiences. Proficient in Figma, Photoshop, and Illustrator, with a strong focus on creating intuitive and aesthetically stunning interfaces.

Key Strengths:
- Expertise in Figma, Photoshop, and Illustrator
- Proven ability to design user-friendly and visually appealing interfaces for web and mobile platforms
- Strong attention to detail and understanding of user needs

As a dedicated and creative partner, I deliver designs that meet and exceed expectations, driving user engagement and brand loyalty. With a passion for UI design, I bring a unique perspective to every project, ensuring that the final product is both functional and enchanting."
98318,"UI UX Designer

Dedicated to creating intuitive and visually appealing digital interfaces that enhance the user experience. Proven experience working on full-cycle projects, including team and individual projects, such as landing pages, web services, redesigns, and mobile apps. Skilled in utilizing tools like Figma, Adobe Photoshop, Adobe Illustrator, and Canva.

Key Projects:

Cozy House Web Service
Team project, full-cycle design
Designed a platform for host reservation, connecting travelers with hosts, providing a safe and affordable accommodation option. Completed all stages of the design process, including competitive analysis, user personas, JTBD, CJM, user flow, wireframes, visual design, and adaptation.

Cucina di Catherina Website
Redesign, full-cycle design
Refreshed an outdated website by updating visual content, structuring information for easier navigation, and highlighting the product's unique selling proposition, resulting in an improved user experience.

Summary:
Results-driven UI UX Designer with experience in full-cycle design projects, seeking a full-time position. Collaborative team player with a strong ability to take feedback and produce high-quality outcomes. Eager to learn from experienced designers and contribute to projects with a fresh perspective."
98319,"UI/UX Designer

Summary:
Results-driven UI/UX Designer with experience in leading projects and creating user-friendly designs for web and mobile applications. Proven track record of delivering visually appealing and functional designs that meet the needs of target audiences.

Experience:
Team Lead, Travel Service Project
- Led the development of a web travel service interface for ""change of environment"" platform
- Created two user flows for hosts and tourists
- Designed wireframes and adaptive versions for the platform

UI/UX Designer, Commercial Coaches Service
- Currently working on designing user interfaces for commercial coaches service

Personal Projects:
- Developed a booking table service application, allowing users to book tables at restaurants and cafes without calling, with the option to choose from available tables

Education and Other Projects:
- Redesigned the Ukrainian school platform, creating wireframes, desktop, and adaptive versions for tablet and mobile devices
- Provided a platform for users to access information about the school and contact the school directly

Skills:
- UI/UX design for web and mobile applications
- User flow creation
- Wireframing
- Adaptive design
- Collaborative skills
- Commitment to excellence

Career Goals:
- Seeking growth opportunities and interesting projects to develop skills and expertise as a UI/UX Designer."
98320,"UI/UX Designer

Summary:
Highly motivated UI/UX Designer with experience in creating intuitive and visually appealing user interfaces and enhancing user experiences for various projects, including mobile applications, websites, and software interfaces.

Technical Skills:
Design software: Sketch, Figma, Adobe XD
Prototyping tools: InVision, Marvel

Experience:
Designed a Mobile Banking Application
Conducted User Research for a Health App
Collaborated with stakeholders to understand user needs and translate them into design solutions
Conducted user research, analyzed user feedback, and performed usability testing to inform design decisions
Created wireframes, user flows, and visual designs that align with user goals and business objectives

Skills:
User Research
Usability Testing
Wireframing
User Flow Creation
Visual Design
Collaboration and Communication
Design Trend Analysis
Accessibility Guidelines

Career Goal:
To create interfaces that provide a seamless and delightful user experience, helping users achieve their goals efficiently and effortlessly."
98321,"UI/UX Designer

Pet-projects: Multiple solo and team projects, including ""Travel Go"" and ""ReserveNow""

Key Responsibilities:
- Defined client problems and conducted competitive analysis
- Identified target audiences and created Customer Journey Maps (CJMs)
- Designed user flows and developed wireframes
- Created mobile and tablet adaptations for desktop projects
- Conducted prototyping to address user needs and pain points

Projects:
- ""Travel Go"": A web service for organizing affordable or free stays in other countries through volunteering opportunities
- ""ReserveNow"": A mobile application for booking restaurant tables, featuring layout viewing, seat selection, and time-based reservations

Tools:
- Figma
- Adobe Photoshop
- FigJam
- Adobe Illustrator

Design Approach:
Comprehensive design encompassing task analysis, interface prototyping, visual style establishment, and delivery of user-friendly final products. Proven ability to create user-centered design concepts for web and mobile applications."
98322,"UI/UX Designer
1.5 years of web design experience
Creative and detail-oriented professional with a passion for designing user-centered interfaces
Proven understanding of UI and UX design principles
Skilled in creating wireframes, prototypes, and high-fidelity designs using design software such as:
  Sketch
  Adobe XD
  Figma
Experience designing responsive and accessible websites and web applications that meet industry standards and trends
Collaborative team player with ability to work with designers, developers, and stakeholders to deliver high-quality designs that meet project objectives and deadlines"
98323,"Junior UX/UI Designer
Ukraine

Summary:
Results-driven Junior UX/UI Designer with experience in leading design teams, conducting UX research, and creating innovative products. Proven ability to foster collaboration, creativity, and motivation in team environments.

Experience:

UX/UI Designer (2022-2023)
- Built and managed a design team focused on UX research, prototyping, design, knowledge sharing, and teamwork
- Developed leadership skills, ensuring consistent delivery of high-quality design projects

UX/UI Designer (07.02-30.03, 2023)
- Developed the entire interface for a medical clinic, conducting extensive UX research to create a user-friendly and intuitive design

Freelance Graphic and UX/UI Designer (03/15/23)
- Contributed to website and post development, working both independently with clients and in small teams

Education:
Completed a UX/UI design course, applying learnings to create and lead a design team, fostering an environment of collaboration, creativity, and motivation."
98324,"Certificate for successfully completing an 8-month course and obtaining practical knowledge in UX/UI design, Web-design, and mobile design

As a UX/UI Designer, I create meaningful digital experiences that solve problems and simplify users' lives, specializing in web and mobile applications. My design process involves a full-cycle approach, starting with task analysis and prototyping an interface that meets the target audience's needs. I then create a visual style that aligns with the brand, turning the user's journey into a seamless and intuitive experience.

My past experience in motion design is valuable in my current role as a UX/UI designer. I have worked on several projects, including:

* ""Unreal"": a mobile application for booking tables in unusual restaurants, where I designed the full cycle of the app to provide users with a convenient and efficient way to reserve a table and have a memorable dining experience.
* ""Wings of Hope"": a web service for the restoration of social infrastructure facilities in Ukraine, where I designed the full cycle of the web service to attract communities, government officials, private organizations, and investors to restore Ukraine's social infrastructure.
* Redesign of the Slavsko ski resort website, where I created a modern design to attract more tourists, both local and foreign, and developed a new unique recognizable style.
* Test drive Audi Q3: a landing page design for advertising Audi, allowing users to order a test drive.

I am looking for a company to collaborate with teams, including product managers, developers, and other designers, to bring my design ideas to life and create complete digital products."
98325,"Web Designer

With a strong foundation in personal projects, I have developed skills in creating user-centered designs. My most recent project involved designing a website for museums, focusing on crafting an engaging and informative interface for visitors.

Key skills utilized in this project include:
- Designing page layouts with consideration for user requirements and environmental specifics
- Prioritizing exhibit placement, navigation, and visual perception
- Applying UI and UX design principles to create aesthetically pleasing and functional interfaces
- Utilizing design tools and detailed analysis to position elements and facilitate easy navigation

Career aspirations include:
- Developing expertise as a UI/UX designer
- Gaining experience in team collaboration and client communication to deliver tailored design solutions
- Staying updated with the latest technologies and tools to enhance design capabilities
- Creating interfaces that provide exceptional user experiences and support business objectives."
98326,"Projector Institute
Educational Background:
Completed modules: Web Design Beginning, Web Design Junior
Currently studying: UX Design

Experience:
Web Design Junior Module:
- Collaborated with two real clients on a high-detailed prototype for redesigning their existing websites
- Conducted client briefings, gathered references, created mind maps, wireframes, UI designs, and mobile adaptive versions

Internship:
Sahu Media (German design-bureau)
- Created advertisement banners for clients using Photoshop
- Assisted in website development using WordPress"
98327,"2022-2023: Completed Web Design Basic course at IT school ""Hillel""
2023-Present: Studying Web Design, UI/UX Design, and Mobile Design
Proficient in Figma, Photoshop, and Illustrator
Highly attentive and responsible, with a strong commitment to continuous improvement in the IT field

Key Projects:
- Developed landing pages, a website, and a website redesign
- Created a web service and adapted it for a mobile application
- Conducted research on target audience and competitors"
98328,"Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes.

PROJECT EXPERIENCE

Landing Page for a Flower Shop
The goal of the project was to create a landing page to advertise the flower shop's new opportunity to order a bouquet with delivery. I analyzed competitor sites, created a moodboard to convey the emotional context of the product, designed the wireframe and UI kit, and then created the landing page.

Redesign for the Italian Roastery Website
The goal of this project was to redesign the website of the Italian roastery “Il Griso” to increase its visual appeal and ease of use. I analyzed competitor sites, developed a structure for the organization of elements on the site, created wireframes and UI kits of selected pages, and redesigned the site, performing prototyping and adaptation.

Web-service for the Cleaning Company
No details available.

Team Experience
Scrum Master, Team Project ""Mind Map""

Seeking to join an innovative design team to enhance the user experience for customers, leveraging my creativity and problem-solving skills to create industry-leading products."
98329,"Web Designer Assistant

Summary:
Highly motivated and organized web design professional with experience in creating landing pages, online stores, and printed products. Proficient in designing for Western markets, including products for Etsy. Skilled in using Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, and Canva.

Experience:
Web Designer Assistant
- Developed landing pages, online stores, and prototypes
- Designed banners, price lists, and other printed products
- Created designs for themed events, including invitations, labels, photo banners, business cards, price lists, and order forms
- Designed Pinterest pins, posts, and stories for Instagram

Technical Skills:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Canva
- UI/UX principles
- Grid system
- Bootstrap
- Adaptive design

Personal Qualities:
- Self-disciplined and responsible
- Organized with strong planning skills
- Team player with leadership qualities
- Strong desire to learn and improve skills"
98330,"Freelance UI/UX Designer

Currently entering the freelance market with a completed commercial project for a dental clinic website.

Skills in Progress:
- Studying Figma
- Developing product observation skills
- Following new trends in design

Motivated to expand knowledge in UI/UX design, with a strong work ethic and eagerness to learn. Proven ability to work collaboratively as a team player.

Availability:
- Immediate start
- Open to remote internship opportunities"
98331,"Balance Spa (Training Project)
Landing page development, including:
  - Lo-fi and Hi-fi wireframes creation
  - Prototype development
  - UI kit design
  - Project preparation for developer submission

Foodly (Training Project)
Mobile application for supermarket product delivery, involving:
  - Client briefing
  - Hi-fi and Lo-fi design
  - Target audience definition
  - UI kit creation
  - Competitor and heuristic analysis
  - User testing
  - Sitemap creation
  - Adaptive design development
  - User flow creation

JOCCELLUM (Training Project)
E-commerce jewelry project, including:
  - Client briefing
  - Hi-fi and Lo-fi design
  - Target audience definition
  - UI kit creation
  - Competitor and heuristic analysis
  - User testing
  - Sitemap creation
  - Adaptive design development"
98332,"Anastasia
Beginner Web Designer

Currently studying UI/UX Design at Hillel Computer School
Coursework includes:
- Font theory
- Images, illustrations, and icons
- Color theory
- UI Kit
- Auto Layout
- Styles and components
- Atomic approach
- Site types and target audience
- Personas and user research
- Grids and prototyping
- Adaptability and responsive design

Interested in opportunities in product companies or game development
Committed to continuous learning, practice, and productive collaboration
Open to considering new opportunities and offers."
98333,"She participated in various exhibitions, including ""The Art of Change"" at the Ukrainian House, the photo exhibition ""24.02 Before and After"", and an exhibition at the Cardiff School of Art and Design, Cardiff Metropolitan University.

Through her studies at the art academy, she acquired a solid foundation in graphic design, covering essential subjects such as fonts, composition, and color science. She successfully completed courses in Photoshop, Illustrator, and Figma, further developing her skills.

In addition to her academic pursuits, she took on part-time jobs and courses, applying her knowledge in practical settings. Under the guidance of a mentor, she worked on a UI/UX design project, redesigning the Turkish Airlines app. This involved conducting a heuristic analysis of the existing design and identifying areas for improvement, considering the app's regular user base.

She also created a system design, mobile application, and website design for Richard Bank as part of the ""From Zero to Hero"" courses. With a strong university background, she possesses a range of skills and is eager to apply and further develop them in a real-world environment. Her interests lie outside of packaging design, and she is focused on exploring other areas of graphic design."
98334,"Mobile Application Development Team Lead
Car Wash App: A mobile application designed to facilitate car wash discovery, reservation, and payment. Utilizing geodata, users can locate the nearest car wash, select a date and time, choose required services, and complete transactions online.

Key Responsibilities:
- Led the development team in the creation of the Car Wash App
- Conducted competitor analysis to inform design and development decisions
- Created User Flow, Wireframes, and Prototype to visualize and refine the application's user experience
- Developed the application's design, ensuring a user-friendly interface and seamless user experience"
98335,"Here is the rewritten resume:


Summary:
Results-driven and detail-oriented designer with experience working on multiple projects and collaborating in a team environment. Proficient in creating user-friendly and visually appealing designs.


Experience:
CloudyClean Webservice
- Conducted in-depth analysis of competitors and user flow
- Created detailed prototypes and user interface designs
- Enabled users to easily find and order cleaning services using filters

Alaska Pete's Website Redesign
- Analyzed user flow, site blocks, and site logic to inform redesign
- Modernized user interface for improved convenience, comprehensibility, and attractiveness

Landing Page for a FlowerLover
- Created a convenient, aesthetic, and understandable landing page for a flower shop
- Analyzed logic of use for potential buyers to inform design decisions


Skills:
- User experience (UX) design
- User interface (UI) design
- Prototyping
- Team collaboration


Career Goals:
Seeking one-off design projects or a junior designer position in an office or remote work setting."
98336,"E-commerce Website Development for NOVI Luxe
Collaborated directly with client to design and deliver their e-commerce website
Conducted user research through surveys and interviews to inform design decisions
Created wireframes, user flows, and interactive prototypes using Figma to visualize and communicate design concepts
Implemented A/B tests to validate design decisions and ensure data-driven outcomes
Delivered project on time and within budget, receiving positive client feedback"
98337,"More than 1 year of experience collaborating with prominent partners, including Looqme, HoReCa show, S-Prof, and Lviv Organ Hall.
Completed UI/UX design courses at LITS.
Gained commerce experience through partnerships with Looqme, HoReCa show, S-Prof, and Lviv Organ Hall.

Key Skills:
- Proficient in Adobe Photoshop
- Skilled in Adobe Illustrator
- Experienced with Figma
- Familiar with Invision
- Strong understanding of UI/UX principles

Participated in interesting and exciting projects that fostered skill development and teamwork."
98338,"Commercial Experience:
Comon Agency, January 28, 2022 - February 24, 2022
Reduced labour headquarters due to the war in Ukraine
Individual private projects, February 24, 2022 - Present

Non-Commercial Experience:
- Collaborated with Alexey on ""On the Way"" product delivery project, focusing on landing page development and creating corporate identity for the website
- Worked with Phillip on ""Sammy Icon"" e-commerce project, leading the redesign and development of a multi-page online store website, including UX Research, Wireframe, and Style-Guide & Design stages"
98339,"UI/UX Design Course Graduate

Key Skills:
• UX Design
• GUI Design
• Typography
• Proficient in basic graphics tools: Figma, Adobe Photoshop
• Knowledge of design methodologies: Design Thinking, Human Centered Design

Portfolio:
Examples of landing page, e-commerce, and adaptive design projects, demonstrating proficiency in UI/UX design principles."
98340,"Certificate of UX/UI Designer, Beetroot Academy
Certificate CELI4 C1, Italian Language Proficiency

Summary:
Highly motivated UX/UI designer with experience in UX research and UI design, seeking a challenging role in a dynamic team to develop skills and contribute to innovative projects.

Education:
Completed courses in design, Beetroot Academy

UX Research Experience:
- Created mind maps, information architecture, and worked with briefs
- Conducted competition analysis, developed empathy maps, and designed personas
- Created Customer Journey Maps (CJM) and user flows
- Developed wireframes for user-centered design solutions

UI Design Experience:
- Proficient in Figma, Adobe Photoshop, and Illustrator
- Experienced in creating interactive prototypes and designing adaptive UI
- Knowledgeable in composition, typography, color theory, grid systems, and design patterns

Projects:
- Designed a mobile application for a family medicine clinic
- Created a landing page for a design studio
- Developed a website for a beauty salon
- Designed icons and logos for applications

Career Goals:
To secure a role in a forward-thinking team with opportunities for growth, learning, and professional development, where skills can be utilized to contribute to the company's success."
98341,"Master's Degree in Architecture and Urban Planning, May 2023
Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

Skills:
- Self-organization
- Critical thinking
- Research
- Analysis
- Digital product design
- Mobile application development
- Website development
- UX Research
- User Persona and Story formulation
- User Flow design
- Wireframing
- Animated Prototyping
- HTML markup
- CSS styling
- Responsive and adaptive design principles

Project Experience:
1. Website Redesign for FeelFull, a food delivery enterprise
2. Catalogue Website for TviyBrend, an accessories retail company
3. Mobile App Colory, designed to transform black and white photos into color

Education and Training:
- Completed two educational courses on creating mobile applications and websites
- Participated in online client meetings, conducted UX Research, and designed digital products from initial design to final implementation

Career Goals:
Committed to creating impactful and user-centered designs while expanding expertise in UX/UI principles through real-world practice experience."
98342,"Team Leader, Search for Lost and Found Animals Project

Key Skills:
- Conducting research
- Meeting deadlines
- Proficient in computer graphics programs: Figma, Illustrator, Photoshop
- Teamwork experience
- Developing layouts for websites, web, and mobile applications

Projects:
- Search for Lost and Found Animals: Analyzed competitors, developed site map, site functions, and adapted the site to achieve the project's main objective of quickly finding lost animals and reuniting them with their owners.
- Furniture Store Landing Page: Analyzed competitors, selected references, created a prototype, and designed a user-friendly UI page.

Experience:
- Participated in the development of an animal search site as part of a social project.
- Led a team in the Search for Lost and Found Animals project, focusing on responsibility and teamwork.

Career Goal:
To work and develop as a UI/UX designer in a team of professionals, continuously improving skills and acquiring new ones to enhance competence."
98343,"Here is the rewritten resume:


Education and Training:

Projector Institute
UX/UI Design Course
Skills: Typography, Auto Layout, Wireframe, Prototype

Coursera
Foundations of User Experience (UX) Design (Google)
Skills: User Experience, Wireframe, Prototype, UXD

Current Studies:
Projector Institute
UX Design
Currently Enrolled"
98344,"UI/UX Designer

Summary:
Results-driven UI/UX designer with experience in creating MVPs, wireframes, and designing interfaces for websites and mobile applications. Skilled in using Design Systems to speed up project development and deliver high-quality results.

Education:
Courses UI/UX Designer at GoIT school (Feb. 2023 - Aug. 2023)

Projects:
- Landing page ""Rainbow"": Redesigned an existing kindergarten website to improve user experience, allowing easy appointment booking and curriculum selection.
- Web-service ""CleanHouse"": Collaborated in a team of three to develop a service connecting users with cleaning service providers, including registration for cleaner positions.
- Mobile App ""MY BRAND"": Worked in a team of two to create an e-commerce application with online shopping and home delivery capabilities.

Skills:
- Translating abstract ideas into concepts and wireframes
- Creating Minimum Viable Products (MVPs)
- Team collaboration and project participation
- Designing interfaces for websites and mobile applications
- Utilizing Design Systems for efficient project development

Career Goals:
Seeking a company that values its employees, where I can contribute my skills, gain experience, and grow into a valuable team member."
98345,"Summary:
Highly detail-oriented designer with experience in creating engaging e-commerce platforms, landing pages, and mobile app interfaces.

Experience:
- Designed visually appealing and user-friendly interfaces for e-commerce platforms, landing pages, and mobile apps
- Collaborated with clients to understand project requirements and deliver tailored design solutions
- Applied design principles and responsive techniques to ensure seamless user experiences
- Utilized Figma for efficient prototyping and iterative design processes
- Ensured precise implementation of designs, paying close attention to detail
- Demonstrated effective communication skills, consistently meeting project deadlines and delivering high-quality results."
98346,"UI/UX Designer

Key Projects:
- Created UI/UX design concept for an online perfume store, including prototype development, user flow creation, and UI visualization of 18 web pages, culminating in a comprehensive presentation.
- Redesigned the landing page, which involved preparing analysis documentation, prototyping, and developing a UI page concept with both light and dark versions, as well as an adaptive version to ensure cross-platform compatibility."
98347,"Recent Graduate in Projector School
Completed coursework in two courses, with a focus on practical application
Created multiple real-world projects, including:
  E-commerce design
  Landing page design
  Non-profit organization design
Utilized skills in:
  Concept and prototype creation
  Presentation and communication
  User research through interviews
  UI Kit creation in Figma
Seeking a role that combines practical experience in photography, web design skills, and theoretical knowledge in sociology to drive professional growth and development."
