Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
9066,"- Consulting services of public procurement processes.
- Providing full cycle of tender procedure.
- Managing and coordinating service proposals, including technical and commercial aspects, from issue of calls for tender documents to bid submission.
- Managing bid logistics, developing the schedule for the team and setting responsibilities/ expectations for the bid – who does what and when.
- Serving as a contact for preparation of technical, commercial and contractual submissions in collaboration with all services.
- Coordinating and participating in drafting documents.
- Ensuring the quality and compliance of service proposals within the stipulated deadline.
- Providing liaison and gathering necessary information from all internal and external parties involved (HR, finance, purchasing, legal services, partners, etc.).
- Managing proposal costs and deadlines.
- Working in close cooperation with account directors for service proposals and submission documents as well as communications, discussions and client meetings during the proposal process and following its development.
- Optimizing the effectiveness of the service proposal process.
- Improving the tools developed, to increase the quality of submission documents and ensure compliance with standards, guidelines."
9445,"Branch Manager / Project Manager with over fifteen years' experience in the IT industry. Skilled in project and product management, Agile (SCRUM), requirements management, and branch management. Experienced in managing businesses and development teams ranging from five to fifty people. Development experience of 15+ years. Proficient in Atlassian Jira, LAMP, CSS, HTML, PHP4-5, SQL, jQuery, AJAX, Bootstrap, PostgreSQL, AWS, CVS, Mercurial, Git, Nginx, CMS, and CRM. Currently seeking a Branch Manager or Senior Project Management position in a well-established company."
9542,"437 applications on Red Bull Basement 2021
1 realized project at Silpo
2 successful video productions
Creating content for the database of recipes (170+)
Coordinating creation of product ""Recipes Silpo"" (not realized because of the war)
Full copywriting for Lynksen website (not realized because of the war)
Spending $50,000 monthly with +ROMI

Volunteer Project:
- Created content for site and social media
- Coordinated 8 members in the core team
- Established cooperation between companies, universities, and students
- Sought partners and maintained communication with them
- Evaluated and tracked the success of the event

Brand Manager at Red Bull:
- Created social media strategy
- Assisted in organizing events
- Conducted marketing research

Marketing Project Manager at Silpo:
- Planned, executed, and monitored projects
- Coordinated IT, Designer, and Operational Departments
- Created creatives for site, target, social media, viber, and e-mail lists
- Managed video production

Digital Marketing Manager at Genesis, Keiki:
- Created and scaled Facebook advertising campaigns
- Managed a monthly budget of $50,000 with positive ROMI
- Collaborated with content manager to develop engaging content
- Analyzed key metrics and made data-driven decisions"
9546,"Business Assistant for CEO
07/2022-09/202
Main roles:
- development of company strategy & communication
- process creation & management
- sales team management (5 people)
- marketing strategy creation & management
- coordination with designer teams, dev teams, copyrighters, HR

Event Project Manager
03/2020 - 10/2021
Ant Hill Event Agency Kyiv, Ukraine
My main clients:
Metro Cash & Carry, Kyivstar, Metinvest, Intersport.
Direction of the projects - BTL, marketing, technologies.
Responsibilities:
- full management of the projects
- communication with the client
- project budgeting, preparation of bids & defense
- turnkey implementation (creation of designs, preparation for production, technical support, etc)

Achievements:
- developed and lead the online-production project for Metro Cash&Carry (online cooking master classes for Chefs)
- managed the conference for Chefs and Partners of Metro for 500+ guests (Odessa, Dramatical Theater, quarantine period 2021). It was divided into 2 parts: master- classes from world-famous chefs on the theater stage, and classic lectures
- managed sport olympiade for Metinvest during 2 month in 5 different cities
- my 2 ideas (prepared projects) brought victory to our agency in Kyivstar tenders (projects total costs over 5 millions UAH)
- traveled all around the country with Metro Cash & Carry BTL projects
- became good friends with my clients, they were really upset when I left the agency

Co-Owner & COO
03/2019 - 09/2019
Event agency ""Believe in you"" Kyiv, Ukraine
Responsibilities:
- searching and communication with clients, partners, investors
- budgeting, documentation
- website development, identical design
- event supporting & team management.

Project Manager & COO
03/2016 - 12/2018 TAG (Ukrainian start up)
Responsibilities:
- recruiting & adaptation of employees
- team management & task management
- project & product management (full cycled development)
- budgeting
- maintaining all project documentation
- preparation of reports on the stage of product development
- bringing the product to the pre-release stage
- presentation of the project on the international market: participation in exhibitions, road shows, communication with potential investors.

Achievements:
- built from scratch the dream team of developers with limited investments
- led the startup to the pre-launch stage
- presented it at the international stage (London Road Show for investors, 2018)"
9547,"Launched nationwide internship, 70% of graduates continued to work with company (previous result 50%)
Launched global internship, 80% of graduates continued to work with company
Launched Philip Morris Business Academy, (nationwide roll-out, NPS - 90%)
Launched New Product - L&M Double Mix (full-support, SOM reached the target)
EVP roll-out (Global EVP adaptation to local market demands)+Employee Ambassador program
Launched Hostess Project, 2 times, 20K contacts per month (full-support)
Parliament brand continuous support
Nestle Ukraine - Purchasing department (6 months)
Philip Morris Ukraine - Customer Care in Sales (8 months)
Philip Morris Ukraine - Project Manager specialist in HR (2 years)
Philip Morris Ukraine - Brand Executive in Marketing (2 years)
Looking for challenging project, ownership and friendly and open-minded team."
9583,"Development of the distance selling system from ""0"" to the national scale (Project Manager)
Organization of procurement system in the network of construction supermarkets (Manager, Head of Department)
Project ""Electronic Diary"" in schools of Kharkiv (Private Business)
Operational management of a scientific institution (Director)

Skills:
- Team work and leadership
- HR/Recruitment
- Financial management
- Distance management
- Ability to analyze and structure information
- Experience in project organization from inception
- Practical skills in budgeting, analysis, and planning
- Experience in purchasing and sales
- Transaction support and document preparation
- Improvement of skills, personal, and company development
- Flexible approach to problem solving"
9587,"PMP IPMA Level C, ITIL Foundation, Microsoft Certified Technology Specialist (MCTS)

- Project Manager with experience in internal, national, and international projects and project portfolios.
- Skilled in Waterfall, Agile (XP, Scrum) methodology.
- Proficient in analysis, design, implementation, and optimization of business processes and IT services.
- Experienced in deployment and implementation of production automatized systems.
- Knowledgeable in implementation and support of IT services based on Microsoft products (Exchange, AD, SystemCenter, SharePoint, SQL).
- Familiar with deployment and adaptation of best practices ITIL, standards CobIT, ISO.
- Experienced in planning and organizing telecoms network.
- Strong management skills.
- Continuously improving professional knowledge and skills in project management, business analytics, QA, and IT administration."
12037,"Dynamic, entrepreneurial and goal-oriented IT professional with 10+ years’ experience in various web, mobile and desktop applications development. Took an analyst role at a MS Dynamics CRM project for an advertisement company. At the end of the project: increasing of productivity over 30%, increasing of customer loyalty. The biggest CRM project at Siberia, 2011. Microsoft wrote about us.

- Skills:
• Eliciting and development software requirements
• Team management and leadership
• Work across multiple disciplines and departments
• Analysis of complex data and preparing reports
• Willingness to learn new skills and self-improvement
• Knowing eCommerce, social media management, Google Ads, SEO, game development

- Quality assurance:
• using different methods and techniques of software testing: functional, access control, cross-browser layout, load and performance, installation, database-driven, across operating systems
• preparing testing scenarios and plans

- Deployment: test and production environment

- Customer trainings: developing curriculums, preparing materials and providing trainings

- Technical skills:
• My SQL, Oracle SQL, C, C++, Python, IBM SPSS, VMWare virtual machines, Linux
• Advanced Microsoft Office skills
• Trackers: Jira, Asana, Trello, Trac

Won the First Prize of a ""Startup Business Ideas"" Competition, Istanbul 2019"
12116,"2 successful Oracle Hyperion Planning implementations in 2 Ukrainian Banks (TOP 10)
Business Analysis, Project Management, Agile, Redmine, Jira, OHP, MDX
More than 8 years of experience in business analysis and business administration of IT systems and services in 2 largest International Banks. Main responsibilities:
- Business analysis and administration of budgeting process and financial reporting
- Technical documentation preparation (business\functional requirements, user guides)
- Oracle Hyperion implementation Project ( as a business and technical specialist)
- Test cases, testing, bug tracking and fixing
- Development and support of SAP ERP system (HR, LSO, TMC, Portal, Performance)
- IT-Enterprise ERP-system implementation as a business analyst (HR: Performance and Payroll, E-Documentation)"
12122,"Business Process Engineer Lead
2022-02 – 2022-09

Responsibilities:
- Leading implementation team of 17.5 FTE
- Planning resources according to the project, its timelines and business need
- Controlling together with internal stakeholders project’s progress and its timelines
- Preparing reports for internal stakeholders
- Controlling quality of provided services to internal and external parties
- Organizing and handling internal trainings
- Initiating internal improvements
- Creating and maintaining internal documentation

Solution Engineer for EMEA, APAC, LATAM and NA
2019-09 – 2022-01

Responsibilities:
- Defining and analyzing data and system requirements for clients
- Designing solutions based on the client’s demands and system’s functionalities
- Support Business Analysts in interpreting business rules and requirements per client
- Initiate and support internal projects
- Making project documentation for internal and external users
- Organizing, handling and participating in webinars

Project Manager for EMEA, APAC and NA
2018-02 – 2019-08

Responsibilities:
- Managing multiple implementation projects for multi-national clients
- Making planning and its aligning with internal and external parties
- Providing project updates to internal and external stakeholders
- Ensuring on-time project delivery
- Making project documentation for internal and external users
- Organizing, handling and participating in webinars

Implementation Specialist
2014-07 – 2018-01

Responsibilities:
- Analyzing requests and data for implementation of new carriers (inc. rate cards, shipment data files, completeness of business rules etc.)
- Implementing new providers to online platform
- Organizing, handling and participating in webinars
- Leading final testing stage of implemented logics
- Creating and maintaining internal documentation for IT
- Creating internal and external documentation to hand over project to Ops
- Preparing reports for external users
- Cooperation with Ops and IT depts.
- Optimization of existing processes
- Handling internal trainings

Data Analyst
2012-10 - 2014-06

Responsibilities:
- Preparing reports for external users
- Leading final testing stage
- Analyzing rate cards and their implementation to online platform
- Updating internal and external documentation"
12124,"Banking:
- SWIFT payments implementation in mobile banking application. Collected functional and non-functional requirements, prepared SRS, and developed/tested Camunda process, ESB, and OKD services.
- Automatization of mortgage loan process, including customer forms development.
- Integration of mortgage loan process with state personal data system Diia API through micro service development and testing.
- Development and EMV certification of POS-terminal SW for international payment systems VISA and MasterCard.
- Implementation and administration of a Local payment cards system.

B2B Sales:
- Sale and delivery process automatization. Defined Business process, approved BRD with Business owner, and automated in Bitrix24 CRM.
- HR processes of onboarding, dismissal, and vacation defined, BRD approved with HR Director, and implemented in Bitrix24 CRM.

IT service management:
- Service delivery processes automatization. Created, described, and implemented processes to the Service Desk system based on Microsoft Dynamic CRM.
- Integration of the Service Desk system with customers issue tracking systems. Created, described, and implemented integration protocol in API.

- More than 20 years of experience in business analysis, project management, and processes automatization for different business domains for international companies.
- Business domains experience: Payment technologies, Finance, B2B sales, IT Service Management.
- Organized effective communication between IT and business units for the development, implementation, and support of new systems and enhancements.
- Supported and facilitated the gathering of business needs and objectives to evaluate new or enhanced functionality.
- Participated in business development and Project discovery phase.
- Defined and optimized Business processes workflow. Created automated business processes from scratch.
- Developed project artifacts: BRD, Vision, Project Profile, Software Requirement Specification.
- Project Management according PMBOOK and Agile best practices.
- Managed project teams up to 15 employees and department up to 100 employees.

Seeking a Business Analyst position, preferably combined with Project Management."
12141,"1) Team Leader of promotion of professional exchanges in AIESEC, successfully increasing LEADs by twice in one month.
2) Developed time management skills while balancing university tests and classes, managing the marketing team, and transitioning to Vice-President role in AIESEC. Also handled personal trips and responsibilities effectively.
3) Achieved personal growth through learning various skills in AIESEC and university projects, including marketing, team-management, product management, and soft skills.
4) Experience in training IT projects at Kharkiv Polytechnic University, including generating realistic interference patterns and working as a Business Analyst in a team. Responsibilities included communication with customers and professors, creating technical tasks, and prototyping applications in Figma.
5) Head of Outgoing Volunteer Exchanges for AIESEC in Kharkiv, managing a team of 13 people and working in an Executive Board team. Developed and implemented strategies for the department, adapting to current realities of the organization.
6) Seeking a Business Analyst or Project Manager position to combine technical background from university with managerial experience from AIESEC in IT."
12143,"- Analysis of requirements, user cases, data flow diagrams
- System analyses, entity relationship diagrams
- Business analysis of apps market and Apple Wallet service for Android, WindowsPhone
- Strategic decision-making for creating own service, assistance in the sales process
- 5 years of work experience at the Institute conducting detailed analysis in the domain of e-services
- Research and Development in “E-government”, “E-citizen”, “E-democracy”
- Framework author “E-vote” in collaboration with Bank “PrivatBank” and local government, interaction G2B4C among government, business, and citizens
- CRM systems
- About 20 scientific articles about e-government
- BABOK, PMBOK, Agile, Scrum, MantisBT, Redmine
- DFD diagrams, ERD diagrams
- MS Project manager
- CRM (AMO, ZOHO)
- Professional writing of scientific articles, guides, handbooks
- French - Advanced, Bulgarian - read and verbal
- Possibilities for full use of skills, interesting challenges, career ladder
- Professional trainings organized by company"
12149,"- Key employee on major project, successfully implementing complex systems in 4 large companies
- Over 15 years of experience in IT, specializing in Insurance and Investment Banking domains
- Strong leadership and management skills
- Proven ability to meet deadlines and budgets
- Skilled in understanding and prioritizing customer needs
- Detail-oriented with experience working in fast-paced environments
- Proficient in writing comprehensive requirements
- Background in software development with knowledge of software development life-cycle
- Familiar with Insurance and Investment Banking subject areas
- Seeking Managing/Product Owner/BA Lead position in software company"
12161,"Education:
- Completed The Educational Program at Business Analysis Laboratory

Skills:
- Self-organization and time management
- Writing business, functional, and non-fictional requirements
- Strong written, verbal, and interpersonal communication
- Negotiation, presentation, and facilitation
- Knowledge of theoretical and practical aspects of Business Analysis
- Creating BPMN and wireframes"
12252,"Took part in development of 30+ web projects and several mobile applications. Only 3 months after launch, 2 projects paid off completely. Took part in creation from scratch High-Load Big Data sports analytics system and mobile apps. Websites are now working all over the world under 100+ domains. Took part in creation from scratch first AR/VR E-commerce marketplace for Persian Gulf Countries. Occupied positions: Project Manager, Business analyst, Product Manager

Experience with: 
• Development websites, web apps, mobile apps, AR/VR apps
• Stock Markets, Equities, Trading platforms
• High-load e-commerce marketplace, e-commerce platforms
• Gambling. Sports betting, sports analytics

Position on the previous project - PM / BA Teams. 5 separate teams: Back-end, Front-end, Mobile app, Design and QA consisting of 6 backend developers, 4 frontend developers, 4 mobile developers (iOS/Android), 2 designers, 4 QA engineers, 1 DevOps engineer, 1 Technical Writer

Technology stack: 
Backend: Microservices Architecture, Kubernetes, PHP Symfony, API, GraphQL, PostgreSQL DB, Redis, RabbitMQ, ElasticSearch Frontend: React.js, Redux, React-Router, NPM, Webpack3 Mobile app.: Kotlin, Swift, Augmented & Virtual Reality (AR/VR) Big challenging project, Career growth, Results-oriented team."
12408,"Experience:
- Successfully launched a telecom project for a state US customer
- Enhanced an Ecommerce solution on a new platform
- Developed and enriched Treasury management system solution in Currencies & Cash Management for large corporates and SME
- Participated in the development of new banking software (Treasury module)
- Implemented the information system of financial estimation for CIS banks

Skills:
- More than 12 years of experience in Banking and Finance area
- More than 5 years of business analysis experience
- More than 2 years of project management experience
- Proficient in Project management, Business Analysis, Financial Analysis, Risk-management, Banking, Insurance, Treasury and Cash management systems, Ecommerce, Telecom expense management
- Advanced English and French language skills
- Excellent presentation and communication skills
- IREB Certificate for Requirements Engineering Foundation Level (2018, No 18-CPREFL-137936-20)
- Proficient in SQL, VBA, Jira, Confluence, ServiceNow, TFS, SAP Hybris, TeamWork, Ms Project
- Experienced in modeling tools such as Ms Visio, Balsamiq, Draw io

Achievements:
- Successfully completed challenging and interesting projects using modern technologies"
12409,"- Over 10 years of experience managing projects and teams in various industries
- Extensive international experience working with customers from Asia, Europe, UK, and US
- Proficient in Agile, SCRUM, and KANBAN methodologies
- Skilled in communication, negotiation, and presentation
- Strong problem-solving abilities and attention to detail
- Currently working as a PM/BA on a cryptocurrency platform in the domains of enterprise, e-commerce, finance, and crypto"
12410,"Experience with creating the architecture of a complicated information system processing real-time financial data, and its development as a product owner

Participated in the creation of a software development department from idea to a team of more than 30 professionals developing software products giving new strategical opportunities and generating a significant part of the revenue of the mother company

16 years of experience in finance and software development for financial markets, developed financial software in person and in a professional team as a product owner

Business analyst responsibilities included identifying, structuring, and prioritizing key business needs, translating them into BRD, product roadmap, and other technical documents, managing product backlog, participating in the development of system architecture and protocols, analyzing external documentation and translating relevant information into project documentation, working extensively with financial market data and FIX protocol, and providing data analysis

Project manager duties involved overseeing cooperation with US vendors, working on the improvement of business processes, and participating in hiring"
12418,"As a Business Analyst with expertise in IT product development & implementation, IT consulting, e-commerce, marketing, telecom, automotive, finance, energy & gas, and agriculture, I bring over 8 years of experience in IT and business process & solutions consulting. I excel in project management, requirements management, business process modeling, and prototyping using tools such as Moqups, Miro, and Balsamiq. My experience includes implementing CRM systems, BPM solutions, MS Office365, document management systems, contact centers, video surveillance, AR, and printing infrastructure management to enhance sales and service processes for corporate clients. I am skilled in Agile methodology and have served as a Module Lead for the enterprise implementation project of Billing&CRM Maxbill for B2B clients. With 12 years of practical experience in sales & services and successful management of teams, I possess strong organizational and leadership skills. I am a team player, capable of making independent decisions and fostering a positive team environment. I am seeking a position as a Business Analyst, Product Manager, Project Manager, CRM specialist, or Head of Customer Care, with a focus on business process transformation in IT, customer service, and fintech industries. I am not interested in Sales Manager roles."
12422,"Project Management Institute
Certified Associate in Project Management (CAPM)

Northeastern University
Master of Science in Project Management, concentrated on Project Business Analysis, GPA of 3.76/4

Academy of Public Administration
Bachelor of International Relations

PrintInk. Baku, Azerbaijan
Junior Project Coordinator
May 2023 – Present

- Coordinated and monitored project budgets of $80,000-$150,000, identifying and reporting any variances to the administration
- Developed, organized, and managed diverse project resources such as material, equipment, and personnel within a 10-15 people team
- Revised and maintained project schedules and timelines for the team members ensuring tasks and goals were delivered within the set deadlines and carried out quality assurance testing by constantly assessing and checking new products and verifying that they met quality standards

LOCATION SCOUT TRAINING PROGRAM DEVELOPMENT — Boston, USA

- Wrote SMART business requirements for the program plan and defined in and out-of-scope elements, project assumptions, and constraints to clear the ambiguity up to 60% within 8 people project planning team
- Prepared and prioritized project deliverables and submitted project scope, cost, and schedule baseline statements to the sponsor within the first 4 weeks
- Prepared contingency reserve policy, communication plan, risk management matrix, quality management plan, and change control policy which aggregated in a single 20-page document with more than 5 tables and 2 sets of matrix

MBTA TRANSPORTATION APP DEVELOPMENT — Boston, USA

- Developed project plan, project activities, resources, budget, and schedule, and assigned tasks among 11 team members
- Planned and executed risk management by using 2 different techniques (qualitative and quantitative) and 3 different contingency plans for each risk

GLOBE LIFE LIBERTY NATIONAL DIVISION
November 2022 - February 2023, West Covina, CA, USA

Insurance Business Analyst

- Established productive working relationships with clients and engaged in building 15-minute rapport
- Determined clients’ particular needs and financial situations by scheduling fact-finding appointments and determining the extent of present coverage and investments with 20-minute-long presentations
- Ascertained clients’ long-term goals by offering more than 10 different plans and supplemental benefits"
12435,"4 years of experience as Procurement Manager

Key responsibilities:
- Control of warehouse balances
- Analysis and forecasting of sales
- Procurement planning, placing orders for suppliers
- Control of the execution of orders
- Handling complaints and returns
- Negotiation with suppliers
- Partially - transport logistics

Professional Development:
- Online course «Data analysis and statistical inference in R language» (November 2016)
- Certificate: https://courses.prometheus.org.ua:18090/downloads/b2da79bd1b5449a6a2a6a0430dec98ce/Certificate.pdf

Education:
- HR Management (Master’s Degree, diploma with distinction. 3rd place in the All-Ukrainian Olympiad in the specialty)"
12436,"Project Coordinator - Delivery of the project for national Canadian corporation;
BA Lead - building BA processes, creating communication plans with customer and with dev team, coordination of work of the cross located team.
Business Analysis: Requirements Elicitation and gathering, Capability Gaps assessment, Conducting Elaboration Phase, Conducting Requirements Gathering Workshops, Working onsite with customer; Requirements Management: Requirements prioritization.
General Management.
Human Resource: Coaching, Events, Trainings."
12437,"- Over 15 successful projects in various areas of business methodology, design, development, and implementation of financial management systems
- Experience in tackling interesting challenges and enhancing English skills"
12447,"1. Successfully delivered MVP for UK real estate startup, resulting in solid investments from Google. Utilized Agile tools to streamline the process after initial challenges.
2. Managed feature delivery for various customers at UK insurance startup, navigating tight timeframes and prioritizing tasks effectively within the same team.
3. Assisted BD managers in winning projects during presale stage, transforming new ideas into successful projects and conducting upselling when necessary.
4. Received three positive reviews on Clutch for project management, showcasing ability to satisfy clients and provide exceptional support services.
5. Led DevOps production support team for 800+ environments, improving response rate, quality, and variety of support services while managing a dedicated firefighter team.
6. Proficient in SaaS solutions for real estate and insurance startups, e-commerce platforms such as Shopify, Magento 1/2, and WordPress, as well as mobile development for iOS and Android including VR games and healthcare apps.
7. Experienced in tech support team for Cloud DevOps and AI-based solutions.
8. Skilled in creating specifications and Figma mockups for projects, with a strong interest in working with SaaS or mobile solutions and a preference for English-speaking customers."
12448,"- Experienced Business Analyst and Project Manager with a proven track record of successfully leading innovative projects from conception to completion
- Skilled in team building, project scheduling, and interface design, resulting in a 96% on-time delivery rate for a 2-year development project
- Proficient in creating successful design mockups and prototypes for various projects, leading to high customer satisfaction
- Successfully relaunched a complex billing system interface for over 100k users without any inconveniences
- Strong background in requirement management, user guide development, and project development life-cycle management
- Extensive experience in various business domains including online services, e-commerce, manufacturing, CRM/ERP, education, and automotive industries
- Proven ability to collect requirements, build interactive mockups, write specifications, and analyze market trends and competitors
- Seeking opportunities in companies with an informal environment where collaboration and input from all team members are valued
- Available for part-time or one-time projects."
12449,"Business Analysis, Jira, Use cases, User stories, Scrum, Requirements analysis, BPMN, Requirements management, Balsamiq Mockups, User Story, Agile

- Agile project management of multiple projects
- Full life cycle delivery management
- People and Team management
- Requirement gathering and analysis
- Conflicts management
- Budget control and reporting
- Establishing requirements elicitation / approval / change processes
- Establishing software delivery processes in terms of team collaboration (Dev / QA / BA)
- Produce required project documentation (i.e. Vision and Scope Definition, Software Requirement Specifications)
- Monitor requirements implementation and conduct solution acceptance
- Creation of workflow diagrams/charts/presentations
- Writing user stories, Customer journey map via Figma"
12450,"Analyst with 7 years of experience in implementation consultant, business analyst, and project manager. Highly experienced in the development and implementation of CRM, ERP, HR core system, automation of the recruitment process, integration of core banking systems. More than 7 years of experience in the IT industry. Take part in projects through the full life cycle. Negotiations with all stakeholders. Time management."
12451,"Associate Business Analyst / Project Manager (06.2021 - present)
Junior Software Engineer (11.2020 - 06.2021)

Primary responsibilities:
- Managing various projects including migration, apps upgrade, disaster recovery test.
- Tracking task performance and creating project plans.
- Facilitating effective communication with stakeholders at all levels.
- Scheduling and facilitating meetings.
- Collecting and analyzing project requirements, dependencies, and risks.
- Generating reports and charts on project status and test results.
- Communicating with clients worldwide and collecting requirements.
- Resolving tickets related to relationship databases and CRM systems.
- Verifying and assigning tickets to resolver groups.
- Testing CRM system updates."
12452,"- Collaborated with customers to gather and discuss project requirements
- Planned and organized project activities
- Created various project documents including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Assigned tasks and monitored their implementation within project timelines
- Coordinated project activities and led scrum meetings
- Maintained regular communication with customers
- Managed multiple projects simultaneously
- Successfully delivered projects on time
- Contributed to project development and growth in a challenging and informal environment with professional management"
12453,"Projects completed on time and with high quality, compliance with deadlines and budget, satisfied customers. 

- While working at Vintage: timely releases and customer support (Oshadbank, Totis etc). 

- While working at the Arbitration team: process building, a profit of $ 90-160 thousand and more/ monthly.

- While working at Sales Doubler: urgent development of the landing and preparation of promo materials for the Financial Storm 3.0 contest with a budget of 3,000,000 UAH - in two weeks. 

- While working on the website for the ""Zhansaya"" sanatorium in Kazakhstan:
- 412 applications and calls in 22 business days
- $ 0.3 value of a potential client (it was 2017)
- 4% conversion from visitor to conversion from website
- CRM-system implementation

CURRENT JOB
Business analyst in fintech company (crypto) for 9 months. Duties: analysis and requirements gathering; liaising between the IT department, designers, stakeholders; writing and actualization of technical specifications. 

EXPERIENCE
Common experience as PM (and partly BA) more than 7 years: in traffic arbitrage and website development. Worked in different business spheres: fintech, health and beauty, gambling, goods, tourism, manufacture, consulting, etc. Managed projects from start to finish and supported current projects. 

SKILLS
UX/UI understanding, gathering requirements, communication with stakeholders, pre-design studies, UX prototyping, creating specifications and project documentation. Understanding of Agile philosophy, worked with Scrum and implemented elements of Kanban and Scrum in the working process. Able to manage multiple projects simultaneously, organize processes and teams, make decisions and take responsibility for them. Flexible in communication and client-oriented. 

TOOLS
Worked with JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine, Trello, Balsamik, Moqups, Draw.io, Figma etc.

GOALS
Seeking a job as a BA or at the intersection of PM/BA. Motivated to work with interesting and useful products for users and grow expertise."
12454,"Education
Bachelor of Arts in [Field of Study], [University Name], [Location], [Year of Graduation]

Experience
Project Manager, ArtHome Startup, Dnipro/Ukraine
- Managed a scrum team and monitored the Gantt diagram
- Communicated with partners to ensure project success
Researcher (Commercial Intelligence), Noosphere, Dnipro/Ukraine
- Conducted vertical research and niche reviews for product releases
- Analyzed country-specific features and venture capital deals
Audit Responsibilities, Bartolomeo Resort
- Increased staff training results from 52% to 93%
Analyst, Global Fertilizer Market
- Communicated with market players and prepared analytical reports

Skills
- Well-developed analytical skills
- Strong communication skills
- Ability to work with and analyze large amounts of information
- Experience in project management and team leadership
- Proficient in communication with partners and stakeholders

Objective
Seeking a career opportunity where I can utilize my skills in project management, research, and analysis to contribute to the success of a dynamic organization. Eager to continue learning and developing language skills."
12455,"Experienced on fintech and logistics domain

Experience
FinTech - 3+ years of experience

Account project manager
Oct 2019 - 2 years
Lead account project manager
1,5 year
0,5 year

IT
Responsibilities:

Onboarding (integration) of new clients to the platform (defining a launch plan, demo, consulting on API dock);
Analyze the customer needs and consult on the sales stage;
Managing a client tasks backlog (analysis, description, timing, control of implementation, testing, delivery);
Analysis of API documentation (compare with client needs, test some requests on Postman);
Identification of customer feature requests and creating tasks for the dev team (identify business requirements, technical requirements );
Task management (Jira);
Process description (BPMN ,Confluence)

Project Manager
Jun 2017 - October 2019
UVK Ukraine
Transport & Logistics
Accomplishments:
• Increase in profitability from the turnover of containers (on average from 0 to 40%);
• automation of accounting;
• reduction of losses
Responsibilities:
• introduction of the client to the course on the service provided, conducting reconciliations on containers with customers (about 40 clients);
• Reconciliations with regional offices (in 23 regions);
• writing technical specifications to developers, monitoring the timing of their implementation, testing;
• preparation of regulatory documents (work instructions).
• fulfillment of KPI indicators."
12456,"- Support of existing projects and initiation of new projects with the team, including the realization of CRM and ERP systems for a logistics company, resulting in increased sales plan for the company and resolution of internal issues through IT solutions
- Experience in data analysis, evaluation, and planning
- Experience with budget planning and analysis
- Creation of user stories and communication of backlog priorities to the team
- Collaboration with business and key stakeholders to identify technical problems and propose solutions
- Decision-making on product features
- Submission of reports to department heads and management
- Oversight of project team
- Management of project risks, time, and scope
- Commitment to transparency in project management, budgeting, and issue resolution
- Effective communication of project progress, challenges, and changes to the team
- Clear task delegation, ethical behavior, and dedication to delivering value
- Interest in working on projects for NGOs"
12457,"With approximately 10 years of experience in business analysis, I have worked on building solutions of various sizes, complexity, and purposes. I began my career as a QA engineer, gaining a deep understanding of SDLC. I am skilled at quickly identifying client needs and market trends to offer optimal solutions in collaboration with architecture drivers. I have also successfully combined the roles of BA and Project Manager for 1 year, focusing on product concept development, architecture planning, user training, and system deployment.

Transitioning to pre-sales as an Engagement Manager, I excelled in preparing initial proposals and conducting full scope analyses. I have also gained valuable experience from starting my own business, providing insight into process construction and sales processes.

I am currently seeking new challenges where I can assist clients in achieving success."
12458,"- Gathering requirements from stakeholders;
- Writing and determining forward user stories and use cases;
- Create roadmap, user flow for SaaS platform and describe permission structure from zero;
- Close cooperation with the designer changing UX;
- Manage the Product and Sprint Backlogs;
- Conducting daily, grooming and retrospective meetings;
- Decomposition user stories into tasks, prioritizing it;
- Describe specification of data delivery from the data science department to the backend;
- Support the product documentation."
12459,Managed 16 distinct projects with 3-5 team members. Maintained constant communication with all clients. Elicited and documented numerous requirements for all projects. Responsible for project development from idea generation to project planning and development. Looking for Business Analysis opportunities.
12460,"I have experience working as a sales manager, project manager, and business analyst for the past 4 years. My responsibilities have included client nurturing, engagement, and management; managing development teams and stakeholders; interactive prototyping and wireframing using MockingBot and Figma; BPMN using draw.io and Camunda; requirements elicitation and definition; preparing user stories and use cases; up-selling; and technical documentation development and validation. I am always excited to take on new challenges and processes. Thank you for considering me for any potential opportunities."
12461,"I bear full responsibility for the projects implementation, ensuring that the customer requirements are fully met within the agreed timelines and budget. In details, I'm accountable for:
• Analysis of client requirements by eliciting, elaborating and documenting business and functional requirements in user stories, main and alternative flow diagrams, including block diagrams in Visio, wireframes;
• Collaboration with Developers, Engineers and QA when discussing the solution architecture, estimation, acceptance criteria to ensure that the team understands what the client should get in result; prototyping solutions and presentation to the clients and the team;
• Management of client requirements (new requests, change requests) in Confluence, getting approvals from the clients regarding the scope and estimations.
• Scope planning for sprints in Jira by prioritizing the tasks; participating in sprint planning, retrospective to ensure that the tasks are processed according agreed priorities and timelines;
• Following up and reporting the progress;
• Creating use cases / test scenario; review test results together with QA; test custom solutions prior to the deployment;
• Presentation solutions to the client; helping client with the UAT to ensure customer satisfaction and acceptance."
