Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
56643,"Graphic Design Specialist & Social Media Manager
LG Electronics

• Received ""Most Innovative Employee of the Year"" award (2019)

Experience:

Graphic Design:
- Developed visual concepts for multi-platform advertising campaigns (partners' websites, Mobile Search, Social platforms, etc.)
- Colaborated with sales and product marketing teams
- Produced and delivered 170+ visual units

Print Materials:
- Designed and adapted printed materials (OOH, catalogs, leaflets, business cards, postcards, stickers, banners, rollups, etc.) for all product categories
- Produced POSM (toppers, stickers, banners, posters, etc.)
- Prepared materials for printing

LG Website:
- Produced and adapted banners for all product categories
- Supported transition to new website visual concept (2020)
- Created and adapted product card materials

Social Media Management:
- Formulated and supervised approval of annual strategy
- Developed monthly content plans, adjusting as needed
- Produced around half of published materials
- Oversaw digital agency
- Reviewed visuals, copyrights
- Coordinated communication between agency and product managers
- Compiled weekly reports, including key indicators, competitor analysis, activity results, visuals, and copyrights for the following week
- Designed social network elements (profile headers, thumbnails, covers, Instagram guides, Facebook shop, etc.)
- Managed social platform competitions"
56644,"Freelance Graphic Designer

Experience:
• Graphic designer with extensive experience in developing visual solutions for branding and identity projects.
• Proficient in creating logos, 2D art, and brand books.

Skills:
• Expert in Adobe Illustrator, Photoshop, and InDesign.
• Strong understanding of branding, typography, and color theory.
• Excellent communication skills, with a proven ability to effectively manage projects.

Availability:
• Seeking remote or part-time opportunities.
• Not available for gaming-related projects.

(Note: The revised resume maintains the original information and format, while using specific language to emphasize the candidate's experience and skills.)"
56645,"Graphic and UI/UX Designer
Currently based in Ukraine, open to new opportunities

Experience:

* Designed and redesigned websites, landing pages, information panels, and mobile applications, enhancing user experience and visual appeal.
* Created digital marketing designs, including social media graphics, email templates, and online advertisements, to promote brand visibility and engagement.
* Proficient in adaptive design, ensuring consistent and optimized presentation of digital materials across various devices and screen sizes.
* Developed corporate styles and identities, establishing brand guidelines, logos, color schemes, and typography.
* Designed POS materials and prepared them for printing, producing eye-catching and informative retail displays.
* Developed souvenir products, demonstrating creativity and attention to detail in designing promotional items and merchandise.
* Created web banners, visual, and other graphic materials for social networks, contributing to brand representation and online presence.
* Designed infographics and presentations, effectively conveying complex information in a visually engaging and understandable manner.
* Experienced in illustration, producing custom images, icons, and patterns to enhance digital and print designs.

Seeking interesting projects and a dynamic team to join."
56646," Serhii
Graphic Designer

* Located in Kyiv, Ukraine
* Available for remote part-time work or project-based jobs

Experience:

* Over 14 years of professional experience in graphic design
* Experience as a private entrepreneur

Expertise:

* Package design (gift box, transport box)
* Social media design (poster, flyer, banner)
* Collage and catalog layout
* Logo and corporate identity design
* Infographic creation
* Typography, color theory, and composition
* Pre-print preparation

Skills:

* Strong skills in Adobe Photoshop, Illustrator, InDesign
* Familiar with UX/UI design and Figma
* B1/B2 English proficiency"
56647,"Mission Statement:
To develop standout solutions that help clients distinguish themselves from competitors and create lasting impressions on customers.

Experience:

* Nine years of experience in branding, including logo design, corporate identity, brand books, guidelines, and website design.
* Proficient in Adobe Illustrator, Photoshop, and Figma.
* Known for efficiency and quick turnaround on projects.
* Personalized attention to each project, ensuring studio-level design and prompt responses to edits.
* Consistently meet deadlines.
* Strong understanding of printing rules and requirements, stemming from owning a printing house.
* Eager to further develop skills in UX/UI design."
56648," Anastasia
Graphic Designer Specializing in Branding and Web Development

Ukraine-based graphic designer with 5+ years of experience in creating visually striking branding and web development solutions. Co-founded a reputable studio, Otrazhenie, in the Ukrainian market through word-of-mouth referrals.

Expertise:

* Branding development for various industries: fashion, architecture, education, HoReCa, financial and industrial companies
* Visual design style creation for personal, product, and corporate brands, including logo, slogan, font selection, colors, illustrations, and photographic styles
* Website development with a focus on user-first interface design and business goals. Create and transfer adaptive layouts to developers using Figma, manage development process and control developers' work
* Recommend and consult clients on appropriate graphic design options based on marketing goals
* Develop print and digital marketing materials: postcards, flyers, posters, billboards, infographics, brochures, vehicle wraps, email marketing templates, social media ads, banners and graphics, retargeting ads
* Lead design, development, and implementation of graphic, layout, and production communication materials
* Delegate tasks to the design team, provide counsel on all aspects of the project
* Manage printed product production from layout creation to client delivery
* Create engaging and clear presentations to convey clients' central message
* Provide photos and video production for unique illustrations

Skilled in creative and non-standard solutions, seeking a circle of open-minded people. Passionate about great work and feeling free.

Behance: <https://behance.net/besdna>"
56649,"The IEEE NAP-2021 “Nanoscience as Art” contest winner with the work “Invisible Orchid,” an image of a scanning electron microscope of calcium carbonate powder. SEM investigations conducted through the PROM Program “International Scholarship Exchange of PHD Candidates and Academic Staff” (Lodz University of Technology).

Experienced Graphic Designer with over 4 years of experience, specializing in:

• Graphic support for university-wide information campaigns: designed hundreds of banners, flyers, advertisements, greeting cards, presentations, posters, and infographics for both electronic and print use.
• Celebration of the university's 100th anniversary at the national level: logo adaptation, branded products, rector's presentation design, and postage stamp design.
• University's annual admissions campaign: developed media plan, designed printed products and website/social networks banners, billboards, etc., resulting in a 73% increase in university applicants' awareness through social networks and the official website.
• Established an international partnership after the rector's speech with my presentation at the international conference in Budapest.
• Freelance work for a foreign beauty school: designed social networks, packaging, and educational materials with diagrams and step-by-step instructions.

Creative fields of interest:

• Clouds resembling Marge Simpson, about to bite the university's main building roof.
• Motherland (Kyiv) resting on steps amidst heavy fog.
• Webs in tree bark resembling a sea bay in the rocks.

Expertise in:

• Logo and brand design.
• Presentation design.
• Print materials design.
• Graphics, mockups, technical design, and photo work."
56650,"Graphic Designer
Two years of professional experience in creating visually appealing designs and managing projects.

• Designed captivating brand identities for startups, including logos, color palettes, and typography.
• Executed successful marketing campaigns with engaging visuals, resulting in increased brand awareness and customer engagement.
• Managed multiple projects simultaneously, consistently meeting deadlines and exceeding expectations.
• Recognized for attention to detail and creativity in developing visual solutions.

Skills:
• Proficient in Adobe Creative Suite: Photoshop, Illustrator, InDesign, Premiere Pro, After Effect, Figma.
• Expertise in creating visually appealing designs, including branding, marketing materials, digital illustrations, and layout designs.
• Strong understanding of client requirements and translating concepts into compelling visual solutions.
• Committed to staying updated with industry trends and applying best practices.

Professional Goals:
• Seeking a dynamic team offering professional growth, contribution recognition, and positive work environment.
• Prefer a creative and collaborative work environment with diverse projects for expertise showcasing and staying up-to-date with emerging design trends.
• Aim to avoid monotonous tasks, unclear direction, and excessive administrative work."
56651," UI/UX Designer

Experience:

* 4 years in UI/UX design
* Proficient in Figma, Sketch, Photoshop, Illustrator, Axure, and Principle

Key Responsibilities:

* Collaborate with product managers, developers, and stakeholders to create user-centered design solutions
* Apply design thinking methods to identify user needs, create user flows, wireframes, and high-fidelity prototypes
* Conduct user research and usability testing to validate design concepts and iterate on solutions
* Present design work and rationale to stakeholders and team members
* Maintain and contribute to design systems and style guides

Passionate about:

* Enterprise and startup projects
* Keeping up-to-date with the latest design trends and best practices
* Continuous learning and improvement of design skills and knowledge."
56652,"Updated resume:

Experience
------

* Designed and prototyped user interfaces for various freelance projects (3 years)
* Created visually appealing banners and creatives for advertising and promotions
* Developed prints ready for production
* Produced responsive landing pages and digital assets for products

Company with own products
------

* Designed and developed prototypes and user interfaces for company's products (6 years)
* Created engaging banners and creatives for advertising and promotions
* Prepared prints for production
* Produced responsive landing pages and digital assets for products

Skills
------

* Proficient in Figma, Adobe CC (Photoshop, Illustrator, XD), and 3ds Max
* Strong understanding of design principles, user experience, and visual hierarchy
* Independent worker with ability to manage multiple projects and meet deadlines
* Excellent communication and collaboration skills, with proven ability to work in team environment."
56653," Senior Graphic Designer & Marketing Specialist
3 years of experience in graphic design and marketing
Expert in Figma, Photoshop, Illustrator, and marketing tools

- Designed and published visually engaging social media posts and marketing materials, resulting in a 15% increase in followers and a 10% boost in click-through rates.
- Created visually striking sticker packs, leading to a 25% increase in user engagement.
- Developed user-friendly and visually appealing landing pages, resulting in a 20% improvement in conversion rates."
56654," Highly skilled Designer with expertise in branding, web design, and print media. Proven ability to meet diverse client needs across various industries, delivering visually captivating and effective design solutions.

Manage multiple design projects from concept to completion, collaborating closely with clients and cross-functional teams. Consistently deliver high-quality designs on time, resulting in strong client relationships, repeat business, and positive feedback.

Proficient in industry-standard design software including Adobe Creative Suite, Blender, and Figma. Committed to staying current with the latest design trends and techniques, continuously seeking new sources of inspiration to enhance work.

(No additional notes or explanations provided as requested.)"
56656," Here is your improved resume:

---

**Experience**

* UMO Global Innovation Challenge 2022 (Finalist, ""Designing for Crisis"" theme)
	+ Led design, primary and secondary research, and ideation phase
* Volunteer organizations: One Heart and Creative Sich
	+ Designed posters and illustrations using Adobe Illustrator, Adobe Photoshop, Figma, Canva, Trello, Invision
	+ Currently learning: Basics of Adobe After Effects

**Skills**

* Expertise in Graphic Design and UI/UX Design
* Proficient in Adobe Illustrator, Adobe Photoshop, Figma
* Familiar with Canva, Trello, Invision
* Enhancing skills through Adobe After Effects learning.

Seeking opportunities to work with talented individuals and further develop Graphic Design and UI/UX Design skills.

---"
56657,"ArtCraft Education LLP – Online Course Game Graphics (2021)
Responsibilities:
• Developed and designed graphics for online game course
• Collaborated with team to ensure cohesive visual style
• Utilized feedback to improve and refine graphics

ArtCraft Education LLP – Online Course Anatomy (2021)
Responsibilities:
• Assisted in creation and implementation of online anatomy course
• Edited and proofread course materials for accuracy
• Provided support for students and instructors during course operation

Skills:
• Proficient in Adobe Creative Suite
• Strong attention to detail
• Excellent communication skills
• Ability to work well in a team
• Knowledge of anatomy and game graphics design

Experience:
• ArtCraft Education LLP – Online Course Game Graphics (2021)
• ArtCraft Education LLP – Online Course Anatomy (2021)"
56661,"UI/UX Designer with 10+ years of experience in graphic and web design. Specialized in modern, visually appealing designs for web and mobile applications, logo design, and corporate identity. Proficient in the latest design trends and technologies to deliver high-quality and impactful solutions.

PROFESSIONAL EXPERIENCE:

* UI/UX Designer, May 2019 - October 2022
	+ Collaborated remotely with design team on various B2B projects.
	+ Designed and optimized corporate websites, dashboards, and mobile apps using Figma as the primary design tool.
* Senior UI/UX and Graphic Designer, November 201X - October 2022
	+ Led design team in creating visual and interactive solutions for clients.
	+ Collaborated with cross-functional teams to ensure designs met business objectives and user needs.
	+ Designed and optimized user-centered interfaces for web and mobile applications using Figma, Sketch, and Adobe XD.
	+ Developed design systems, style guides, and component libraries to maintain consistency and scalability.
	+ Conducted user research, usability testing, and data analysis to inform design decisions and improve user experience.
	+ Mentored junior designers and provided feedback on design work.
	+ Presented design concepts and solutions to stakeholders and clients.
	+ Managed design projects from concept to completion, including project planning, scheduling, and resource allocation.
	+ Stayed current with industry trends, best practices, and emerging technologies in UI/UX design."
56662," Experienced Web Designer and Developer

Over 5 years of professional experience in web design and development, specializing in user experience and interface design. Proven expertise in publishing materials preparation, including booklets, flyers, and brochures. Comfortable working in various team environments, ranging from large teams to independent work on small projects.

Key Skills:

* Web design and development
* UI/UX design
* Graphics design
* Publishing materials preparation
* English-speaking client communication

Professional Experience:

Web/UI/UX Designer and HTML/CSS Developer
[Company Name], [Location], [Dates]

* Designed and developed user-friendly websites, prioritizing user experience and interface design
* Prepared publishing materials, including booklets, flyers, and brochures, to accompany website launches
* Collaborated with teams and independently on small projects to deliver high-quality results
* Communicated with English-speaking clients through meetings, calls, and correspondence

HTML/CSS Developer
[Company Name], [Location], [Dates]

* Developed websites using HTML and CSS, adhering to best practices for functionality and compatibility
* Collaborated with designers to ensure the visual integrity of the websites
* Tested websites to ensure functionality and compatibility with various browsers and devices

Education:

[Degree and Field of Study]
[University Name], [Location], [Dates]

References available upon request."
56725,"Logo Design and Brand Identity Specialist

* Passionate about creating meaningful and impactful logo designs and brand identities
* Expertise in conveying purpose in designs through a concise and easily comprehensible manner

Web and UX/UI Designer

* Proficient in finding the right balance between client preferences and design principles
* Proficient in design software such as Adobe Creative Suite
* Strong understanding of branding and visual identity
* Experience in creating wireframes, prototypes, and high-fidelity designs
* Excellent problem-solving skills and attention to detail
* Proven ability to manage multiple projects and meet deadlines
* Strong communication and teamwork skills

Education:
[Degree and Institution]

Experience:
[Company and Position]
[Dates of Employment]

* Developed and implemented logo designs and brand identities for various clients
* Collaborated with clients to understand their preferences and needs
* Utilized design software such as Adobe Creative Suite to create designs
* Ensured all designs were visually appealing, user-friendly, and met project requirements
* Managed multiple projects and met deadlines

[Company and Position]
[Dates of Employment]

* Created wireframes, prototypes, and high-fidelity designs for web and mobile applications
* Balanced client preferences with design principles to create visually appealing and user-friendly designs
* Utilized design software such as Adobe Creative Suite to create designs
* Collaborated with team members to ensure all designs met project requirements
* Managed multiple projects and met deadlines."
56795,"Alina
Web Designer

* Detail-oriented and open-minded Web Designer with experience in graphic design
* Committed to delivering high-quality results in every project

Experience

Web Designer
Company, Location
YYYY-Present

* Design and develop responsive websites using Adobe Creative Suite, Sketch, HTML/CSS, and industry best practices
* Collaborate with cross-functional teams to ensure design consistency and meet project goals

Graphic Designer
Company, Location
YYYY-YYYY

* Created visual concepts and layouts for various marketing materials using Adobe Creative Suite and typography, images, and illustrations
* Worked closely with clients to ensure designs met their needs and provided effective communication and collaboration

Skills

* Proficient in Adobe Creative Suite, Sketch, and HTML/CSS
* Strong understanding of design principles, web standards, and responsive design
* Excellent communication and collaboration skills with ability to work effectively in cross-functional teams.

Education

* Self-taught and continually learning through online resources, courses, and tutorials."
56796," Ann
Graphic Designer & UI/UX Designer

Experience:

Graphic Designer, IT Company, [Location]
5 years

* Conducted user research to understand project requirements and user needs
* Designed user interfaces for various digital platforms
* Created print-ready designs for marketing collateral
* Developed advertisements for use in digital and print media
* Generated digital illustrations to enhance visual appeal
* Collaborated with cross-functional teams to ensure design alignment with branding and marketing strategies
* Conducted wireframing and prototyping to present design ideas and gather feedback
* Conducted usability testing to validate design concepts

UI/UX Designer, [Company Name], [Location]
A few months

* Conducted user research to understand project requirements and user needs
* Designed user interfaces for various digital platforms
* Developed wireframes and prototypes to present design ideas and gather feedback
* Conducted usability testing to validate design concepts

Skills:

* User Research
* User Interface (UI) Design
* Graphic Design
* Ideation
* Typography
* Designing for Print
* User Experience (UX) Design
* Advertisement
* Wireframing and Prototyping
* Prototyping and Testing
* Digital Illustrations
* Interaction Design."
56797," Graphic and UI/UX Designer

* Proficient in creating designs for both print and digital media, including:
	+ Banners
	+ Flyers
	+ Posters
	+ User interfaces
* Collaborated with creative teams to deliver projects on time while adhering to project requirements and deadlines
* Skilled in UI/UX design with a strong focus on:
	+ User-centered design principles
	+ Research
	+ Usability testing
* Experienced in using design software such as:
	+ Adobe Creative Suite (Photoshop, Illustrator, InDesign)
	+ Sketch
	+ Figma
	+ InVision
* Strong attention to detail, committed to delivering high-quality work that meets and exceeds client expectations
* Proficient in responsive design and familiarity with front-end development languages such as:
	+ HTML
	+ CSS
	+ JavaScript."
56798,"Graphic Designer

• Proficient in Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Microsoft Word, and Power Point
• Designed and developed:
 - Company logos and brand identities
 - Visually engaging business presentations and marketing materials
 - Infographics and digital illustrations
• Demonstrated strong listening and teamwork skills, effectively communicating with clients and team members to understand and meet their needs
• Exhibited reliability and attentiveness, ensuring attention to detail in all projects and delivering high-quality work on time."
56799,"Rafaela Basov
www.rafaelabasov.com

Graphic Designer with expertise in various design software and techniques, specializing in branding, content creation, UI/UX, and more. Currently based in Azerbaijan, relocating to Prague in September 2023 to pursue a Master's in Design. Open to remote work until then.

Experience:
Freelance Graphic Designer
• Designed visual content including logos, marketing materials, and web graphics
• Specialized in branding, content creation, UI/UX, album cover, packaging, clothing, and poster design
• Proficient in Adobe Illustrator, Photoshop, Figma, XD, Sketch, Premiere Pro, and Final Cut
• Currently enrolled in Google UX Design Professional Certificate program
• Collaborated closely with clients to understand their needs and develop effective designs

Education:
Google UX Design Professional Certificate (in progress)

Skills:
• Proficient: Adobe Illustrator, Photoshop, Figma, XD, Sketch
• Intermediate: Adobe Premiere Pro
• Design Thinking, Branding, Design principles, Typography, Prototyping, Wireframing, User flows, Mock-ups, Visual design, User research

Creativity is the ability to produce or use original and unusual ideas. I strive to combine unseen perspectives with well-thought functionality in my design process, resulting in thought-through ideas and functional products. I prefer a minimalistic and effective approach in my design process.

Bringing your vision into life is my main goal, thus communication is important to me. I look forward to keeping in touch!"
56800," Upwork as a Graphic and Brand Identity Designer – June 2022 - Present

* Designed marketing materials for YouTube, including banners, logos, and watermarks
* Created logos for clients based in the USA
* Developed packaging designs for clients from the Netherlands and the USA
* Conceptualized and implemented brand formation, development, and creation of marketing materials for web and print products

Citrus - Odessa as a Graphic Designer – September 2021 - February 2022

* Created layouts for the promotion of household and computer equipment for the website and outdoor advertising
* Designed printed products to support corporate style
* Adapted layouts for various brands, including Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI, to Citrus' corporate identity
* Adapted banners for social networks, Google advertising, and mass media
* Prepared printed materials in Corel Draw

Upwork as a Graphic Designer – February 2021 - September 2021

* Collaborated with clients from the Netherlands and the USA
* Designed labels for beer products
* Created banners for advertising on Instagram, Facebook, and Google
* Prepared a brand book for a private clinic in Gayvoron, Ukraine
* Developed a logo for a music equipment supplier in Lozova, Ukraine
* Designed labels for beer products in Folsgare, Netherlands
* Created stickers for Telegram and prepared them for printing in AI and Corel Draw."
56801,"— Extensive graphic design experience spanning 10+ years, with proficiency in illustrations, advertising banners, social networking materials, logotypes, animations, and presentations.

— Proficient in UI/UX design, highlighted by the development of a SaaS Design System prototype using Figma during the past year as a User Interface Designer."
56802," Game Backgrounds and Character Designer
Freelance Graphic Designer

Experience:

* Designed and developed visually appealing backgrounds and characters for game development company.
* Created presentations, marketing materials, and packaging designs as a freelancer.
* Proficient in Adobe Illustrator, Photoshop, and graphic design software.
* Demonstrated ability to create high-quality, functional designs and consistently meet deadlines.

Skills:

* Strong visual design and 3D modeling skills.
* Experienced in meeting deadlines and working well under pressure.
* Detail-oriented with a focus on creating high-quality designs."
56803," Designer with 7 years of experience in various fields including startups, advertising agencies, publishing houses, and manufacturing. Proficient in UX solutions and marketing, with a commitment to continuous skill development. Hold a Bachelor's degree and have a proven track record of tackling complex projects as a team player with a strong understanding of problem-solving through different perspectives.

• 7 years of comprehensive design experience
• Expertise in startups, advertising agencies, publishing houses, and manufacturing
• Proficient in UX design and marketing
• Bachelor's degree holder
• Committed to continuous skills development
• Seeking challenging and complex projects
• Team player with a proven track record in problem-solving through different perspectives."
56804,"UI/UX Designer

* 3 years of experience in UI/UX design
* Proficient in creating clear and intuitive designs to enhance user experience and engagement
* Specializing in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration

Freelance Designer

* Design marketing materials to increase reach, trust, and loyalty of target audience
* Experienced in developing layouts for print and banners for targeted advertising
* Collaborate with marketers and project managers to ensure timely and quality project completion

Comportal

* UI/UX Designer, October 2022 - Present
	+ Create and optimize landing pages for small and medium-sized businesses
	+ Develop layouts and prototypes for websites
	+ Evaluate and test user experience and interface
	+ Collaborate with development teams and project managers to ensure seamless integration of design into projects

Resource Group (Freelance)

* Graphic Designer, February 2021 - Present
	+ Develop marketing materials to increase reach, trust, and loyalty of target audience
	+ Design layouts for print and banners for targeted advertising
	+ Collaborate with marketers and project managers to ensure timely and quality project completion

Liga.net

* Graphic Designer, September 2021 – December 2021
	+ Develop marketing materials to increase reach, trust, and loyalty of target audience
	+ Design layouts for print and banners for targeted advertising
	+ Collaborate with marketers and journalists to ensure timely and quality project completion."
56805,"Web Designer

* Experienced web designer with expertise in Web Flow and Figma
* Proven track record of delivering high-quality websites for clients on Upwork and Fiver

Skills:

* Proficient in web design and development on Web Flow
* Experienced in interface and site design on Figma
* Skilled in utilizing Shopify and Shopify product kit
* Proficient in creating car parts landing pages

Projects:

* NFTlook
* Shopify and Shopify product kit websites
* Local Ukrainian company car parts landing page

Career Goals:

* Continued growth and development in web design
* Building a successful career in website development
* Future endeavor: starting a website development company."
56807," Junior UX/UI Designer

* Progressed from junior to average specialist in 8 months at a previous job, demonstrating rapid growth and adaptability
* Promoted to HR Manager, leading a team of 65 people, showcasing strong responsibility, leadership, and management skills
* Experienced traveler, having visited over 15 countries and lived in Thailand for a year, contributing to a diverse perspective and cultural sensitivity
* Overcame fear of water and became a certified diver, showcasing determination and resilience
* Worked as a photographer and graphic designer for a large team (600+ members) at a YouTube channel, developing a strong eye for design and visual aesthetics
* Graduated from a university with a degree in Computer Technology, providing a solid foundation in technical skills
* Self-taught in psychology for 10 years, enabling strong emotional intelligence and understanding of others
* Completing UX/UI courses and gaining proficiency in UX/UI design tools such as Sketch, Figma, and InVision
* Reliable, responsible, and creative individual, known for bringing fresh ideas to dynamic teams
* Excited to apply life experiences to a collaborative work environment, and able to thrive in both large and small teams."
56809," Experience in developing personal styles for clients

- Created illustrations and banners for social media networks
- Designed layouts for magazines, books, and marketing materials
- Prepared and developed print-ready materials
- Presented ideas to clients and participated in team discussions
- Developed landing pages for various industries
- Conducted UI/UX design for e-commerce shops

Seeking a role where I can further utilize my design expertise. Not interested in gaming, casinos, or photo retouching."
56859,"Graphic Designer

- Over 5 years of experience in publishing design, with expertise in web design and UI/UX
- Completed training courses: ""Web Design"" by Skvot, ""Work with Figma"" by Creative Practice, ""UX/UI. Projecting and Designing of Interfaces"" by Creative Practice

IMEX LTD, Kropyvnytskyi (2014-2015) – Designer Assistant

- Designed corporate catalogs, brochures, certificates, and business cards

PRAGMATIKA.MEDIA, Kyiv (2015-2020) – Graphic Designer

- Developed visual concepts and designed graphics for digital and print materials
- Collaborated with cross-functional teams to ensure brand consistency
- Utilized design software including Adobe Creative Suite and Figma

Note: The revised resume maintains the original facts and experiences, but is reorganized for clarity and impact. The new format highlights the candidate's skills and qualifications upfront, and provides specific examples of their responsibilities and achievements."
56860,"Experienced Graphic, Web, and UI/UX Designer

* Meticulous attention to detail and deep understanding of user experience principles
* Proficient in developing captivating graphics, logos, and branding materials
* Over 6 months of freelancing experience, completing projects for clients from various industries, including perfume stores, photographers, and taskrabbit-like start-ups

Project Experience:

1. Welcome brochures for [Specific Country]
	* Designed and developed culturally-sensitive and engaging welcome brochures for [Specific Country]
	* Incorporated user experience principles to ensure easy-to-understand content and layout
2. Websites for various businesses:
	* Perfume stores: created visually appealing and user-friendly websites to showcase products and services
	* Photographers: developed responsive websites to display photography portfolios and attract potential clients
	* Taskrabbit-like start-ups: designed intuitive and efficient user interfaces to facilitate task management and user experience

Education:

* Comprehensive Design Courses: invested 9 months in specialized design courses, focusing on graphic, web, and UI/UX design
	+ Applied knowledge from courses to real-world projects, enhancing skills and understanding of design principles and best practices"
56861," UI/UX and Graphic Designer

* 2+ years of experience
* Currently working at Liga Zakon
- Designed and implemented user-friendly interfaces for various projects
- Collaborated with cross-functional teams to create and launch successful design projects
- Created brand books for Kiton furniture store and Lviv Botanic garden
- Skilled in creating user-friendly and aesthetically pleasing interfaces
- Passionate about design and staying current with industry trends
- Proficient in Adobe Creative Suite, Sketch, and Figma
- Experienced in responsive design and user testing
- Proactive, detail-oriented, and able to manage multiple projects simultaneously
- Interested in basketball and skiing."
56862," Experienced UX Designer with a strong background in digital design and user experience.

* Completed UX Designer courses at General Assembly (May 20XX)
* Proficient in design software including Sketch, Figma, and InVision
* Skilled in user research, wireframing, and prototyping
* Developed and implemented design systems for web and mobile applications, resulting in improved user experience and streamlined design process
* Collaborated with cross-functional teams including product management, engineering, and content to design and launch products
* Managed multiple UX design projects simultaneously in fast-paced environments, consistently meeting deadlines and delivering high-quality work
* Strong communication and presentation skills, with experience presenting design work and rationale to executives and stakeholders

Examples of past projects and responsibilities can be provided upon request. I confirm that all the information in this resume is true and accurate."
57384,"T-Shaped Design Generalist with 15+ years of experience in digital product design, management, and branding.

• Designed 40+ successful digital products, earning international design awards.
• Led global design teams and startup projects, specializing in product management and launching.
• Mentored junior designers through lectures and workshops.
• Established and successfully manage 3"
57400,"Here is your revised resume:

* Led and established a design department, generating additional profit through successful project and client acquisition.
* Drove product design from conception to launch, rescuing the business multiple times with contributions.
* Enhanced existing products and successfully completed over 50 projects.
* Over 10 years of UI/UX Design experience and 5+ years in Design Team Management (supervising a team of 20).
* Skilled in resource management, full-cycle hiring (interviewing, on-boarding, feedback, and coaching), design strategy, performance monitoring, project distribution, and team development (from intern to senior and team-lead levels).
* Managed design department budgeting, participated in pre-sales, project estimation, specifications, controlled payments and deliveries between company and customers, and reviewed contract documentation.
* Proficient in medium to large-scale projects across various industries, including Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain and crypto, Legal, and Sports.
* Experienced in self-management, analytic mindset, collaboration, empathy, problem-solving, and working under pressure.
* Expert in analytical design approach, design process (research, prototyping, testing, interview, usability audit, design systems), creative solutions, and interface concept development.
* Seeking to contribute to a product, manage a complete design process, and enhance profit and product quality, leveraging extensive experience in creating concepts and entering the market."
62042,"**Experience**

**Beetroot Academy, 2023-Present**

* Executed practical tasks during the learning process
* Composed introductory letters
* Sourced candidates using search systems (Boolean Search, X-RAY search)
* Conducted interviews

**Freelance Web Designer & UX/UI Designer, 2021-Present**

* Designed and developed user-friendly websites for clients
* Conducted UX research to inform design decisions
* Utilized design tools including Figma, Sketch, and Adobe XD
* Collaborated with clients to meet their design needs and expectations."
63086," Young Web Designer

Experience:

* Proficient in Sketch, Figma, Adobe Photoshop, and Adobe Illustrator
* Demonstrated ability to quickly and efficiently learn new software and processes

Education:

* LevelUP School – UI/UX- Web Designer (2018 – 2019)
* Spalah IT-School – UI/UX- Web Designer (2018 – present)"
63087,"Experience:

* N/A

Skills:

* Proficient in Adobe Photoshop, Adobe Illustrator, and Figma
* Strong soft skills, including adaptability, sociability, non-confrontational attitude, openness to criticism, discipline, and flexibility

Education and Goals:

* Eager to gain experience, knowledge, and skills from experienced designers
* Committed to investing time and effort for the growth and success of the team/mentor/company
* Aspiring to advance as a designer through hands-on projects and collaboration with industry professionals."
83710,"* Designed and developed a website from scratch for a blockchain trading company.
* Created a corporate interactive anniversary notebook, utilized for employee engagement.
* Developed a distinctive Instagram post, adapted as a template for subsequent posts.
* Produced an animation for a case study presented on Behance.
* Experienced Graphic and UI/UX Designer specializing in Fintech and Blockchain.
* Proficient in creating web and mobile apps from inception.
* Managed communication with clients from the USA, Canada, and the UK.
* Contributed to a blockchain corporate project, a tokenized game.
* Designed a Brand Book, corporate merchandise (cups, hoodies, t-shirts, pens), banners, printouts, and posters in corporate style.
* Created a stylish, anniversary notebook with custom illustrations and thematic pages for employees.
* Completed freelance projects, including logo design for a Ukrainian bag manufacturer and a website redesign.
* Eager to learn and collaborate with experienced designers and business analysts, open to feedback.
* Seeking a friendly team and clear, structured tasks with reasonable deadlines.
* Skilled in design software, with proficiency in graphic design tools, but unable to convert designs to HTML."
83711,"Sure, here is the improved resume:

* Developed newsletters from the ground up for various target audiences
* Designed graphical elements for websites and social media platforms
* Oversaw marketing strategy development and evaluated company advertising initiatives
* Provided support for a Ukrainian refugee medical aid hotline
* Supervised social media accounts for Medimost and associated projects"
86666,"Web Designer

* Over 2 years of experience in a digital marketing agency
* Expert in creating modern, responsive, and user-friendly corporate websites and landing pages
* Proficient in a variety of design tools and software, including Adobe Creative Suite and Sketch

Aspiring UI/UX Designer

* Strong understanding of the crucial role of UI/UX design in creating effective digital experiences
* Eager to expand skills in UI/UX design through professional development opportunities
* Familiarity with design principles and user-centered design processes
* Experience with prototyping and user testing techniques
* Skilled in using design tools such as Figma and InVision."
