id,Clean_Deepseek_V3
25,"  
UI/UX Designer  
Contact Information  
 |  |  |   
---
Professional Summary  
UI/UX Designer with 1+ years of experience and a strong background in client communication. Transitioned from a 20-year career as a furniture and interior designer, leveraging design expertise to create user-centered digital solutions. Proficient in Figma, Photoshop, and Illustrator, with foundational knowledge of Webflow, HTML, and CSS. Skilled in target audience research, wireframing, prototyping, and creating intuitive user interfaces.  
---
Professional Experience  
Freelance UI/UX Designer  
 – Present  
- Designed and developed a website for a Ukrainian women’s clothing brand, from concept to launch, including domain and hosting setup, and payment system integration.  
- Improved user experience and accessibility, resulting in increased sales for the client.  
- Collaborated with clients to understand their needs and deliver tailored design solutions.  
- Created sitemaps, user maps, UI kits, and components using Figma.  
- Applied knowledge of hierarchy, color theory, and typography to enhance design quality.  
Furniture and Interior Designer  
 –   
- Completed numerous projects over 20 years, delivering high-quality designs tailored to client needs.  
- Developed strong client communication and project management skills.  
---
Education  
Alpaca - Tech & Digital School  
UI/UX Design Certification  
  
---
Skills  
- UI/UX Design  
- Figma, Photoshop, Illustrator  
- Webflow (basic), HTML, CSS (basic)  
- Target Audience Research  
- Sitemap and User Map Creation  
- Wireframing and Prototyping  
- UI Kit and Component Design  
- Autolayout and Design Hierarchy  
- Color Theory and Typography  
---
Languages  
-   
---
Portfolio  
"
26,"  
  
Objective  
Self-motivated UI/UX designer seeking a full-time position to leverage my skills in creating user-centered designs and delivering impactful visual solutions.  
Education  
Completed web designer courses at KAMA. Participated in design marathons organized by IT schools.  
Experience  
Freelance UI/UX Designer  
- Designed a landing page for the Employment Abroad agency, including brief creation, terms of reference, prototyping, and interface design.  
- Created landing pages, adaptive designs (mobile and web interfaces), basic animations (in Figma), prototypes, and UI kits.  
Graphic Designer  
 |   
- Provided graphic support for social media content.  
- Developed creatives for targeted advertising campaigns.  
- Designed and prepared printing materials in compliance with brand guidelines.  
- Conceptualized and laid out catalogs.  
- Performed photo retouching.  
- Redesigned websites and created adaptive banners, icons, and other graphic content.  
Skills  
- UI/UX Design: Landing pages, adaptive design, prototyping, UI kits, basic animation (Figma).  
- Graphic Design: Social media content, targeting creatives, print materials, catalog design, photo retouching, website redesign.  
- Software: Figma, Adobe Photoshop, Adobe Illustrator, Tilda.  
Additional Information  
- 4 years of experience as a graphic designer.  
- Strong attention to detail and ability to deliver high-quality designs under tight deadlines."
27,"  
  
Professional Summary  
Experienced UI/UX designer with a strong background in advertising, printing products, and managing full-scale advertising projects. Proven track record as a team leader in large-scale projects, specializing in website redesign, web service creation, and product platform design. Passionate about improving user experiences and continuously enhancing design skills.  
Project Experience  
Redesign – Sports Bar Website  
- Led the complete redesign of a sports bar website, addressing outdated visuals and usability issues.  
- Designed an intuitive interface with a focus on user experience, including a table booking feature.  
- Ensured full responsiveness for tablets and mobile devices.  
Webservice – Medical Appointment Platform  
- Developed a comprehensive medical web service for patients and doctors.  
- Created user-friendly interfaces for patients, doctors, and online consultations.  
- Designed and implemented adaptations for tablets and mobile phones.  
Additional Experience  
- Team leader in the project ""Webservice,"" overseeing the creation of a medical web service.  
- Managed multiple website redesign projects, improving functionality and user experience.  
- Designed product platform layouts, ensuring seamless user interactions.  
Skills  
- UI/UX Design  
- Website Redesign  
- Web Service Development  
- Responsive Design (Tablet & Mobile)  
- Team Leadership  
- Advertising and Print Project Management  
Career Goals  
Seeking new opportunities to collaborate with innovative teams, work on exciting projects, and contribute to creating exceptional user experiences."
28,"  
  
Objective  
Seeking a Junior UI/UX Designer position in a collaborative team with mentorship opportunities to further develop my skills and gain professional experience.  
Skills  
- Figma: Advanced proficiency in auto-layout, components, variants, styles, plugins, animation, and prototyping.  
- WebFlow: Expertise in CMS, responsive design, animations, publishing, and integrations.  
- UI/UX Design: Experience in creating UI kits, working with design systems, and conducting stakeholder and user interviews.  
- User Testing: Hands-on experience in user testing to refine designs.  
- Front-End Basics: Basic knowledge of HTML/CSS and Bootstrap.  
- Visual Design: Strong visual design skills, validated by previous manager and mentor.  
- Soft Skills: Attention to detail, creative problem-solving, and the ability to propose innovative ideas.  
Experience  
- Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, which was used to promote digital transformation to the mayors of Ukraine's large cities.  
- UI Design Projects:  
  - Clothes shop (web and mobile app).  
  - Dentistry platform.  
  - Public transport app.  
  - Electronic document management system.  
- UX and UI Design Projects:  
  - Pizza delivery service.  
  - Recruitment and job board websites.  
Domains Worked In  
- E-commerce (clothing).  
- Healthcare (dentistry).  
- Transportation (public transport).  
- Document management.  
- Food delivery.  
- Recruitment and job boards.  
Education  
  
Availability  
Available for immediate start.  
References  
Available upon request."
29,"  
  
---
Junior UI/UX Designer  
Summary  
I am a junior UI/UX designer with a strong background in theory and practical experience in the pharmaceutical field, which has helped me develop a user-centered design approach. Through a training course, I completed 5 projects, gaining hands-on experience in creating mobile applications, landing pages, dashboards, web services, and website redesigns. I am proficient in Figma and Adobe Photoshop, with expertise in designing landings, websites, and mobile apps. My soft skills, including being a team player, problem-solver, great communicator, and organized individual, complement my technical abilities. I am passionate about creating intuitive and impactful user interfaces that enhance user experience.  
Skills  
- UI/UX Design (Landings, Websites, Mobile Apps)  
- Figma, Adobe Photoshop  
- Competitor Analysis, User Surveys, User Flow, CJM  
- Material Design System  
- Team Collaboration, Problem-Solving, Communication  
- Quick Learner, Organized, Energetic  
---
Projects Experience  
PetDetective – Webservice  
- Designed a platform to help owners find lost animals and enable volunteers to assist in searches.  
- Conducted competitor analysis and user interviews to identify necessary functionality.  
- Included useful information about animals and guidelines for handling lost pets.  
Cucina di Catharina – Website Redesign  
- Updated the website for a traditional Italian gravy brand.  
- Structured information, added high-quality photos, reduced content, and implemented a CTA button.  
- Utilized an accent color palette to enhance visual appeal.  
Mobile App – PresentPerfect  
- Created a mobile app for sending personalized gifts with ease.  
- Used Material Design System and designed 40+ screens with detailed animations.  
- Conducted competitor analysis, user interviews, and developed user personas and user flows.  
Dashboard for IT School  
- Designed a dashboard for students and teachers to display key metrics.  
- Focused on usability and clarity to meet the needs of both user groups.  
Landing Page – Timeless Home  
- Designed a welcoming and intuitive landing page for a watch brand.  
- Structured content to highlight key products and encourage user actions.  
---
Career Preferences  
- Opportunities for career growth  
- Focus on results and collaborative team environments  
- Remote or partially remote work options  
- Strong corporate culture, work ethic, and employee value  
---  
"
30,"  
Junior UI/UX Designer  
  
---
Summary  
A junior UI/UX designer with a strong theoretical foundation and experience in the pharmaceutical field, enabling a user-centered design approach. Proficient in Figma and Adobe Photoshop, with expertise in designing landing pages, websites, mobile applications, and dashboards. Skilled in competitor analysis, user research, User Flow, and Customer Journey Mapping (CJM). A quick learner, team player, and problem-solver with excellent communication and organizational skills. Passionate about creating intuitive and impactful user interfaces that enhance user experience.  
---
Skills  
- UI/UX Design  
- Figma  
- Adobe Photoshop  
- Landing Page Design  
- Website Design  
- Mobile App Design  
- Dashboard Design  
- Competitor Analysis  
- User Research  
- User Flow & CJM  
- Material Design System  
- Team Collaboration  
- Problem-Solving  
- Communication  
---
Projects Experience  
PetDetective – Webservice  
- Designed a platform to help owners find lost animals and enable volunteer participation.  
- Conducted competitor analysis and user interviews to identify essential functionalities.  
- Created a user-friendly interface with comprehensive information for pet owners and volunteers.  
Cucina di Catharina – Website Redesign  
- Redesigned the website for a traditional Italian gravy brand.  
- Structured content, added high-quality photos, and reduced text for better readability.  
- Implemented a CTA button and an accent color palette to enhance user engagement.  
Mobile App – PresentPerfect  
- Designed a mobile app for personalized gift delivery using the Material Design System.  
- Conducted competitor analysis and user interviews to define key functionalities.  
- Developed user personas, user flow, and over 40+ detailed, animated screens.  
Dashboard for IT School  
- Created a dashboard for students and teachers to display key metrics.  
- Focused on usability and clarity to ensure an intuitive user experience.  
Landing Page – Timeless Home  
- Designed a landing page to promote watches and encourage user actions.  
- Developed an intuitive interface with a well-structured layout to maintain user attention.  
---
Career Preferences  
- Opportunities for career growth  
- Focus on results and collaborative teamwork  
- Remote or hybrid work options  
- A positive corporate culture and work ethic  
--- 
Availability  
Open to internship or job offers."
31,"  
  
 |  |   
Professional Summary  
Results-driven professional with 4+ years of experience managing teams of 10-25 employees in the cruise industry as a Head of Department. Skilled in achieving financial targets, employee training and development, business communication, and customer service. Recently completed a 3-month internship in an IT company specializing in Shopify web development. Seeking a stable, HR-related entry-level position at a company that values human capital and offers growth opportunities.  
Professional Experience  
Head of Department – Photo Operations  
Royal Caribbean and Celebrity Cruises  
- Drove financial results and employee satisfaction in onboard Photo operations.  
- Adjusted marketing strategies to align with business needs.  
- Managed onboarding and acclimatization of new staff members.  
- Led teams of 10-13 employees, creating and adjusting work schedules, organizing team activities, and maintaining employee morale.  
- Resolved customer service issues proactively and reactively, ensuring guest satisfaction.  
- Built trust and confidence through professional communication with ship officers, department heads, and shore-side management.  
Intern – Shopify Web Development  
  
- Gained hands-on experience in Shopify web development during a 3-month internship.  
- Supported development projects and contributed to team objectives.  
Skills  
- Team Leadership & Management  
- Employee Training & Development  
- Customer Service & Conflict Resolution  
- Business Communication  
- Marketing Strategy Adjustment  
- Basic Shopify Web Development  
Education  
  
  
  
Interests  
Human Resources, Employee Development, Organizational Culture, Career Growth Opportunities  
Availability  
Open to entry-level HR-related roles with a focus on long-term growth and recognition of efforts."
32,"  
 |  |  |   
Professional Summary  
Motivated and detail-oriented professional with experience in project management, event organization, and cross-cultural collaboration. Skilled in stakeholder communication, market analysis, and project documentation. Proficient in coding and various technologies. Seeking a challenging role to foster personal and professional growth.  
Professional Experience  
Co-Founder & Project Manager  
Smart Weather Station for Paragliders – Start-up  
 –   
- Co-founded a start-up with a team of groupmates to develop a smart weather station for paragliders.  
- Successfully pitched the project to stakeholders, securing investment commitments.  
- Conducted market analysis, organized team meetings, and created comprehensive project documentation.  
- Managed stakeholder communication and ensured alignment with project goals.  
Event Organizer & Project Coordinator  
AIESEC – International Organization  
 –   
- Organized and executed events and projects, collaborating with individuals from diverse cultural backgrounds.  
- Developed strong interpersonal and organizational skills through cross-cultural teamwork.  
Skills  
- Project Management  
- Stakeholder Communication  
- Market Analysis  
- Event Organization  
- Coding & Technology Proficiency  
- Cross-Cultural Collaboration  
Education  
  
,   
  
Languages  
  
Interests  
Personal and professional development, innovative projects, and challenging environments."
33,"  
  
Professional Summary  
Creative and detail-oriented graphic and web designer with over 4 years of experience in corporate identity development, print design, and web design. Skilled in project management, client communication, and problem-solving. Adept at creating visually compelling designs and delivering projects from concept to completion.  
Education  
KhNEU S. Kuznets, Kharkiv, Ukraine  
Bachelor’s and Master’s Degree in Graphic/Web Design (Technology of Electronic Multimedia Publications)  
Professional Experience  
Web and Graphic Designer  
LOGOVO, Kharkiv, Ukraine  
Feb 2019 – May 2020  
- Developed corporate identities and redesigned existing ones.  
- Designed printed materials and prepared files for printing.  
- Created websites using WordPress and designed banners for advertising.  
- Successfully communicated with clients, drafted design briefs, and gathered technical specifications.  
- Managed projects from start to finish, ensuring timely delivery and client satisfaction.  
Content Manager  
COZI.UA, Kharkiv, Ukraine  
Aug 2020 – Sept 2020  
- Organized and conducted photo shoots to create high-quality visual content.  
- Developed photo and video content for marketing purposes.  
- Wrote scripts for client communication and promotional materials.  
Trainee, Layout Maker  
Newspaper «Kharkiv News», Kharkiv, Ukraine  
Oct 2021 – Nov 2021  
- Prepared layouts for print publication.  
- Processed illustrative materials for use in the newspaper.  
- Organized and placed materials on newspaper pages.  
Achievements  
- Participated in city competitions to design a logo for the Department of Family, Youth, and Sports.  
Skills  
- Corporate identity development  
- Print and web design  
- WordPress website development  
- Client communication and project management  
- Layout design for newspapers and magazines  
- Basic knowledge of HTML/CSS  
- Photography and content creation  
Personal Attributes  
- Strong interpersonal and communication skills  
- Problem-solving and risk management abilities  
- Organizational and planning expertise  
- Empathetic and client-focused approach  
- Passion for design and helping others achieve their goals  
Interests  
- Designing printed materials and corporate identities  
- Engaging in organizational processes and teamwork  
- Building relationships and finding common ground with others  
- Solving complex challenges creatively"
34,"  
  
 |  |   
Trainee Project Manager | Junior Project Manager  
Professional Summary  
Trainee/Junior Project Manager with 1 year of experience in end-to-end delivery of commercial projects using Agile methodologies (Scrum and Lean). Skilled in managing cross-functional teams, optimizing processes, and delivering results under tight deadlines.  
Key Achievements  
- Managed a team of 6 translators and technical consultants to deliver a project on maintenance documentation for equipment valued at over $3,000,000 per unit, despite limited reference materials and an aggressive timeline.  
- Reduced project lead time by 2.5X and delivered over 10,000 highly technical words in Ukrainian within 8 days, ensuring timely and accurate documentation.  
Professional Experience  
Trainee/Junior Project Manager  
 |  |   
- Led end-to-end project delivery using Agile practices, ensuring alignment with stakeholder expectations and project goals.  
- Coordinated cross-functional teams to achieve project milestones, demonstrating strong organizational and prioritization skills.  
- Improved project efficiency by implementing structured workflows and critical decision-making in high-pressure environments.  
Interpreter  
 |  |   
- Provided interpretation services in military, IT, and humanitarian contexts, ensuring clear and accurate communication across diverse teams.  
- Collaborated with stakeholders at all levels to facilitate understanding and resolve complex technical and operational challenges.  
Skills  
- Project Management: Agile (Scrum, Lean), Team Leadership, Stakeholder Communication  
- Technical: Documentation Management, Process Optimization  
- Soft Skills: Critical Thinking, Analytical Problem-Solving, Decision-Making, Time Management  
Education  
  
 |  |   
Certifications  
-   
-   
Languages  
- Ukrainian: Native  
- English: Fluent  
- "
35,"  
  
Professional Experience  
Trainee Project Manager (Pet Project)  
IT School IAMPM Project Management Courses  
March 2022 – August 2022 (6 months)  
- Developed detailed project plans to track progress.  
- Used appropriate verification techniques to manage changes in project scope, schedule, and costs.  
- Performed risk management to minimize project risks.  
- Created and maintained comprehensive project documentation.  
- Utilized tools: Miro, Product Plan, Jira, Confluence, Trello.  
Private Entrepreneur / Senior Sales Manager  
Women’s Clothing Chain  
August 2019 – February 2022 (2 years, 6 months)  
- Customized customer experiences to build brand loyalty.  
- Supervised contracted employees to ensure timely delivery of work.  
- Met deadlines through effective planning and coordination.  
- Identified and resolved process, technology, and team-related issues to improve efficiency.  
Head of Pharmacy  
Pharmacy Chain ""Gamma-55""  
July 2014 – August 2019 (5 years)  
- Promoted from Pharmacist to Head of Pharmacy after 2 years of service.  
- Managed busy schedules and sales plans, resulting in a 10% increase in annual revenue.  
- Safely administered immunizations, travel medicine, medication therapy management, and specialty programs.  
- Completed paperwork and entered prescription and insurance billing information into patient profiles.  
- Collaborated with healthcare professionals to monitor and evaluate medication therapy quality and effectiveness.  
- Trained and supervised technicians and sales assistants to ensure smooth pharmacy operations.  
Education  
  
  
Skills  
- Project Management Tools: Miro, Product Plan, Jira, Confluence, Trello  
- Team Leadership and Supervision  
- Process Improvement and Problem-Solving  
- Customer Experience Customization  
- Risk Management and Documentation  
"
36,"  
  
Professional Summary  
Experienced professional with a background in radiotechnical systems engineering, business process optimization, and project management. Skilled in automating and optimizing production systems, managing advertising campaigns, and implementing digitalization strategies. Proven ability to bridge technical and client-facing roles to deliver measurable results.  
Professional Experience  
TRENDO  
Account Manager  
July 2022 – Present  
- Serve as an intermediary between technical teams and clients to achieve successful advertising campaign outcomes, particularly in ecommerce.  
- Develop and execute tailored strategies, achieving an average ROAS (revenue to cost ratio) of 700% per month for clients.  
- Conduct advertising campaign analytics and provide detailed client reporting.  
- Facilitate sprint meetings and distribute tasks and deadlines using Kanban methodology.  
- Configure and optimize Google Tag Manager (GTM), Universal Analytics, GA4, Google Ads conversions, and Google Merchant rules.  
- Optimize Shopify platforms for improved performance.  
ZEZMAN  
Junior Project Manager / Junior Business Analyst  
September 2021 – April 2022  
- Created schedules and collected documentation to guide project outcomes.  
- Communicated with stakeholders regarding scheduling, staffing, and technical requirements.  
- Organized the Business Analytics Unit and planned large-scale digitalization projects.  
- Supported the implementation and optimization of business processes.  
ORCSSD  
Administrative Manager (Project Sphere)  
July 2020 – September 2021  
- Developed schedules and documentation to guide project execution.  
- Translated metrics into actionable insights and managed stakeholder expectations.  
- Tracked risks, benefits, and communicated technical requirements to stakeholders.  
«Vs Project»  
Junior Technical Project Manager  
February 2020 – April 2020  
- Managed the full project lifecycle, ensuring successful delivery from initiation to deployment.  
- Monitored project scope, schedule, budget, and quality standards.  
Government Projects  
Trainee Project Manager  
October 2019 – December 2019  
- Planned, managed, and monitored project execution to ensure on-time and within-budget delivery.  
Key Achievements  
- Optimized and automated an electrolysis system in a copper plant, improving production efficiency for metal cathode manufacturing.  
- Developed and implemented a new accounting and control system for production stages.  
- Successfully relocated a government medical structure to new software.  
- Implemented three business processes in a construction company.  
Education  
Radiotechnical Systems Engineer  
  
Skills  
- Project Management  
- Business Process Optimization  
- Advertising Campaign Analytics  
- Google Tag Manager (GTM)  
- Google Analytics (Universal & GA4)  
- Google Ads Conversion Tracking  
- Shopify Optimization  
- Stakeholder Communication  
- Kanban Methodology  
- Digitalization Strategies"
37,"  
 |  |   
EDUCATION  
Kyiv National Linguistic University (KNLU), Kyiv  
- Bachelor of Philology, Specialist of Translations (English), 2009–2013  
- Master of Arts in Translation (Diploma with Honors), 2013–2014  
  Specialization: Philologist, Interpreter-Translator of English and Spanish  
ADDITIONAL EDUCATION AND CERTIFICATES  
- Certificate of Completion: “Deeply Practical Project Management” by William Stewart PhD, PMP (2019)  
- Certificate: Kyiv Advertising School, “Event Management” (2015)  
- Certificate: «The First State Courses of Foreign Languages» (English)  
- Certificate of Participation: ""Days of Reading of the Novel 'Don Quixote'"", signed by José Rodríguez Moyano, Ambassador of the Kingdom of Spain in Ukraine (2012)  
- Certificate: 1st Place in Poetry Translation Competition during the Days of the Spanish Language  
- Certificate of Participation: 1st Ukrainian Scientific and Practical Conference of Young Scientists  
- Tutor of English (2008–present) and Spanish (2012–present)  
PROFESSIONAL EXPERIENCE  
Freelancing  
- Project Management: Managed several web projects.  
- Interpreter/Translator: Provided interpretation and translation services for English and Spanish.  
- Collaborations: Worked with Luxe Cube brand company and Spanish private individuals.  
Translation Agency ""Antey"" (2012–2016)  
- Translated texts across various thematic areas.  
- Provided interpretation and document translation services from/to English and Spanish.  
NEOGENIA Ltd. (January 2016–August 2017)  
- Customer Service Manager: Managed customer relations and operations.  
- Interpreter/Translator: Provided interpretation and translation services in Spanish and English.  
- Medical Coordinator: Coordinated medical services for foreign clients, including consultations, hospital support, and translation of medical documentation.  
- Operations Management: Oversaw business negotiations, visa support, and sales management.  
“IVF-GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center (September 2017–Present)  
- Operations Manager: Managed international affairs and customer service operations.  
- Interpreter/Translator: Provided interpretation and translation services in Spanish and English.  
- Medical Program Coordinator: Coordinated medical programs, consultations, and support for foreign clients.  
- Program Coordination Manager: Handled correspondence, translation of legal and medical documentation, consecutive interpreting, business negotiations, and sales management.  
SKILLS  
- Customer Operations and Conflict Management (4+ years)  
- Project Management: Web application development flow, control systems, pre-sale, estimations, costs, and task management  
- PM Methodologies: Scrum, Agile, Kanban  
- PM Platforms: Jira, Trello, YouTrack  
- G-Suite Proficiency  
- Basic Knowledge: ABBYY FineReader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10"
38,"  
  
Professional Experience  
Ukrainian Corporate Governance Academy (UCGA)  
Project Manager & CEO Assistant  
MAR 2022 – NOV 2022  
- Tracked project progress and ensured alignment with organizational goals.  
- Participated in daily meetings to provide updates and address challenges.  
- Planned project scope and schedules to meet deadlines effectively.  
- Organized and managed meetings for current and new initiatives.  
- Supported the team with ongoing tasks to ensure project success.  
- Documented resources required to achieve project objectives.  
- Conducted research to support initiatives and decision-making.  
- Optimized and managed organizational spending to improve efficiency.  
- Prepared meeting follow-ups, presentations, and reports.  
- Led reporting to the board of directors on completed tasks.  
- Conducted retrospectives with the team to identify areas for improvement.  
- Monitored and contributed to the development of the company’s long-term goals.  
Dattalion (Volunteering)  
Data Collection Team Lead & Operations Manager  
- Developed, implemented, and reviewed operational policies and procedures.  
- Authored data collection guidelines to standardize processes.  
- Onboarded and trained new data collection managers.  
- Monitored compliance with internal regulations and oversaw the data collection process.  
- Formulated strategic and operational objectives for the team.  
- Performed quality controls and monitored KPIs to ensure efficiency.  
- Collaborated with partners, donors, co-founders, and other managers.  
- Participated in weekly meetings to assess project state and needs.  
- Led, motivated, and supported the team to maintain a positive work environment.  
- Identified and addressed problems and opportunities for the project.  
- Managed and reviewed budgets, ensuring optimal resource allocation.  
- Conducted budget reviews and reported cost plans to upper management.  
- Reviewed and approved operational invoices for payment.  
HCM International Ltd.  
Researcher & Analyst  
JAN 2019 – FEB 2022  
- Conducted in-depth research and analysis to support business decisions.  
- Prepared detailed reports and presentations for stakeholders.  
- Collaborated with cross-functional teams to achieve project objectives.  
- Monitored industry trends and provided insights to guide strategy.  
- Ensured accuracy and reliability of data used in decision-making processes.  
Skills  
- Project Management  
- Operations Management  
- Data Collection & Analysis  
- Strategic Planning  
- Budget Management  
- Team Leadership & Motivation  
- Policy Development & Compliance  
- Research & Reporting  
Education  
  
  
"
39,"SCIENTIFIC CHRONICLE  
Education  
- July 2013: Graduated from the Kirovograd Flight Academy of the National Aviation University of Ukraine, Specialist degree (equivalent to Master’s degree).  
- June 2012: Graduated from the State Flight Academy of Ukraine, Bachelor’s degree.  
Certifications and Language Proficiency  
- July 2015: TOEFL iBT Scaled Scores – Intermediate level (score 86).  
- December 2012: ICAO English and phraseology exam – Level 4.  
- Languages: Ukrainian, Russian (native); English (Advanced, TOEFL 96, ICAO 4); Chinese (HSK3, ongoing study); Spanish (pre-intermediate, can continue studying if necessary).  
Professional Experience  
- March 2018 – Present: Intern at TUS HOLDING Ltd.  
- January 2018 – Present: Head of Education Department at Beihang University.  
- December 2012 – June 2013: Conducted research in Air Traffic Management class on “Patterns of activity of operators in the system of air navigation services in case of delays.”  
Research and Publications  
- November 2017: Participated in the experimental project “Comparison of using 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance.”  
- October 2017: Invited to present the paper “Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace” at an International Conference.  
- June 2017: Co-authored the book “Introduction to Multicopter Design and Control” under the supervision of Professor Quan Quan.  
- May 2016: Co-published the conference paper “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle” with Zheng Shuai-Yong.  
Achievements  
- December 2016: Awarded a scholarship by Beihang University for outstanding behavior and participation in activities.  
- January 2017: Conceptualized ideas including:  
  - Micro drones flights inside the city implementation in China.  
  - Altitude Control For Micro Small Drones Flying At The Low Altitudes Of The National Airspace.  
  - Offline Local Maps Creation For Micro Drones Outside Implementation For Commercial Use.  
Additional Skills  
- Operating Systems: IOS, Windows, Linux.  
- Computer Programs: MS Office, Mac Office.  
- Task Management Tools: Mantis, Leader Task.  
- Graphic Editors: Photoshop, Corel.  
- 3D Printing Applications: 3D Max, Cura, Meshmixer.  
- Programming Languages: HTML, SQL, MATLAB, Python.  
- Other Skills: Knowledge of file sharing and cloud systems, office equipment, and social networks (Facebook, Twitter, Instagram, WeChat)."
40,"  
  
Education  
- ,   
- ,   
- Cambridge Certificate  
Professional Experience  
Co-Founder,   
- Co-founded a startup focused on developing a mobile application.  
- Managed key client relationships, PR, and content creation (copywriting, translation).  
- Taught IT-related English courses.  
Project Management Achievements  
- Secured 2nd place in a project management competition among experienced developers and PMs, despite having no prior IT background.  
- Successfully rallied and motivated a team initially perceived as ""hopeless,"" leading them to achieve success.  
- Worked with and motivated large groups of people to achieve their goals.  
Skills  
- Project Management Methodologies: Agile, Scrum, Kanban, Scrumban, Waterfall.  
- Tools: JIRA, Trello, Roadmap.  
- Understanding of SDLC (Software Development Life Cycle).  
- Organizational Effectiveness: Experience in organizing people and projects, managing day-to-day operational activities, and maintaining documentation.  
- Training & Negotiation: Conducted trainings and possess strong negotiation skills.  
- Language Proficiency: English (C1 level, Cambridge-certified).  
Professional Attributes  
- Adaptable and quick learner, demonstrated by transitioning into a new profession and excelling in a competitive environment.  
- Strong team player with a passion for fostering a warm, friendly, and collaborative work atmosphere.  
- Passionate about continuous learning, new technologies, and professional growth.  
Career Aspirations  
Seeking to join a company that values passion, hard work, and a willingness to learn, even in the absence of extensive experience. Desiring to work in a team of professionals who are enthusiastic about their work and open to sharing knowledge and opportunities for growth."
41,"  
 |  |  |   
Professional Summary  
Experienced Project Manager with a proven track record of successfully implementing complex projects within budget and time constraints. Skilled in managing multiple projects simultaneously, coordinating cross-functional teams, and delivering client-focused solutions. Proficient in project management methodologies (Waterfall, Agile, Kanban, Scrum) and tools (Trello, Slack, WordPress). Adept at building strong client relationships, managing expectations, and ensuring project success through effective communication and organization.  
Professional Experience  
Project Manager  
 –  |  –   
- Successfully implemented projects of varying complexity within budget and on schedule.  
- Managed 2-3 projects simultaneously, ensuring timely delivery and client satisfaction.  
- Coordinated cross-functional teams, including designers, to prioritize tasks and meet deadlines.  
- Conducted preliminary testing of completed tasks to ensure quality and alignment with client requirements.  
- Built and maintained strong, long-lasting client relationships through effective communication and expectation management.  
- Identified client requirements and goals to propose optimal solutions and provide actionable recommendations.  
- Created and maintained comprehensive project documentation, ensuring clarity and alignment across stakeholders.  
- Facilitated team coordination, scheduling, and task prioritization to drive project success.  
Key Achievements  
- Improved work efficiency and speed through self-organization and remote work practices.  
- Gained valuable skills in client communication, conflict resolution, and team motivation.  
- Enhanced ability to manage multiple tasks and deadlines in fast-paced environments.  
Skills  
- Project Management: Waterfall, Agile, Kanban, Scrum  
- Team Management: Task delegation, prioritization, and conflict resolution  
- Sales: Client acquisition, relationship management, and expectation alignment  
- Tools: Microsoft Office, WordPress, Trello, Slack  
Personal Skills  
- Strong communication and interpersonal abilities  
- Highly organized and detail-oriented  
- Motivated to improve professional skills and adapt to new challenges  
- Ability to work effectively in fast-paced, dynamic environments  
- Proven conflict-solving and team motivation skills  
Career Objective  
Seeking a new opportunity as a Project Manager in the IT sector to work on innovative projects, further develop my skills, and contribute to the success of dynamic teams."
42,"  
 |  |  |   
Objective  
Motivated and detail-oriented individual with a diploma in a technical specialty, seeking to leverage foundational technical knowledge, practical experience, and a strong desire to learn in a dynamic professional environment. Committed to continuous growth and contributing to team success through dedication and hard work.  
Education  
Diploma in   
,   
- Gained foundational knowledge of technical processes, hardware, and software through hands-on projects and coursework.  
- Participated in student competitions, developing teamwork and problem-solving skills.  
- Demonstrated ability to learn and adapt to new technologies.  
Skills  
- Basic understanding of technical processes and systems.  
- Practical experience with hardware and software.  
- Teamwork and collaboration through academic and volunteer activities.  
- Self-motivated learner with experience in programming, web design, and independent project development.  
- Strong communication and organizational skills.  
Experience  
Volunteer Activities  
,   
- Developed collaboration, communication, and organizational skills through active participation in volunteer initiatives.  
Independent Projects  
- Self-studied programming, web design, and other technological skills to develop personal projects.  
- Applied knowledge to create functional and innovative solutions.  
Professional Development  
- Actively participated in online courses and webinars to deepen knowledge in areas of interest.  
- Demonstrated commitment to continuous learning and skill development.  
Achievements  
- Earned a diploma in a technical specialty, showcasing dedication to technical education.  
- Successfully completed practical tasks and projects during studies, gaining real-world experience.  
- Engaged in student competitions, enhancing problem-solving and teamwork abilities.  
Career Goals  
- Pursue higher education to further develop technical expertise.  
- Contribute to innovative projects and assignments in a professional setting.  
- Continuously improve skills and knowledge to achieve long-term career success.  
Interests  
- Exploring new technologies and their applications.  
- Participating in collaborative and creative problem-solving activities.  
- Engaging in continuous learning opportunities to stay updated in the field."
