id,Clean_Deepseek_67B
27,"
Objective: Seeking a UI/UX Designer position where I can utilize my skills and experience in advertising, printing products, and managing full-scale advertising projects.

Summary:

 Experienced UI/UX Designer with a passion for creating user-friendly and visually appealing designs.
 Proven track record of successfully leading teams in large-scale projects.
 Strong background in advertising and printing products.
 Proficient in the complete design cycle, including website and web service design.

Experience:

UI/UX Designer

 Currently working as a UI/UX Designer, constantly improving my skills and enjoying the work.
 Led several large projects as a team leader, including a complete redesign of a sports bar website and the creation of a medical web service.

Team Leader

 Led a team in the project ""Webservice,"" creating a medical web service for finding and making appointments with doctors.
 Developed a user interface, an interface for doctors, and an interface for online consultation.
 Created adaptations for tablets and mobile phones.

Redesign

 Led a complete redesign of a sports bar website, updating the visual part and creating an easy-to-use site with the possibility to book tables.
 Fully adapted the site for tablets and mobile phones.

Skills:

 UI/UX Design
 Advertising
 Printing Products
 Project Management
 Team Leadership
 Website Design
 Web Service Design
 Adaptations for Tablets and Mobile Phones


Please note that this is just a sample and you may need to adjust it to fit your specific needs and experiences."
28,"
Junior UI/UX Designer

Summary:
A highly motivated and detail-oriented Junior UI/UX Designer with a strong background in Figma, WebFlow, and design systems. Seeking a position in a friendly team with a mentor to help develop and gain experience.

Skills:

 Great knowledge of Figma (auto-layout, components, variants, styles, plugins, animation, prototyping)
 Great knowledge of WebFlow (CMS, responsive, animations, publishing, integrations)
 Experience in creating UI kits and working with design systems
 Great visual skills approved by previous manager and Projector mentor
 Experience in stakeholder and user interviews
 Experience in user testing
 Basic knowledge of HTML/CSS and Bootstrap
 Attention to detail and ability to generate and propose ideas

Experience:

 Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, which he used to speak to the mayors of Ukraine's large cities and promote digital transformation
 Worked in the following domains: UI (clothes shop, dentistry, public transport app, electronic document management system), UX and UI (pizza delivery, recruitment & job board sites)

Education:

 

---"
29,"
Junior UI/UX Designer

Summary:
A junior UI/UX designer with a strong background in theory and experience in the pharmaceutical field. Skilled in creating user-centered designs, mobile applications, landing pages, dashboards, and website redesigns. Proficient in Figma and Adobe Photoshop. Excellent team player and problem-solver with strong communication and organizational skills. Passionate about creating intuitive user interfaces that enhance the user experience.

Skills:

 UI/UX Design
 Figma
 Adobe Photoshop
 Mobile App Design
 Landing Page Design
 Dashboard Design
 Website Redesign
 User Research
 Competitor Analysis
 User Flow Creation
 Customer Journey Mapping
 Core Technical Skills
 Soft Skills
 Team Player
 Problem Solver
 Communication
 Organization
 Quick Learner
 Responsible
 Passionate

Projects Experience:

1. PetDetective - Webservice
 Analyzed competitor sites and interviewed potential users to determine necessary functionality
 Created a platform to help owners of lost animals find them faster and provide opportunities for volunteers to assist in the search
 Included useful information about animals and what to do when finding a lost pet
1. Cucina di Catharina - Website Redesign
 Updated the website of a homemade traditional Italian gravy
 Structured information, added new quality photos, reduced content, and added a CTA button
 Used a palette of accent colors
1. PresentPerfect - Mobile App
 Created a mobile app that allows users to send personalized gifts with just a few taps
 Used Material Design System to create the project
 Analyzed competitor apps and interviewed potential users to determine necessary functionality
 Created user personas and user flow
 Designed over 40 screens with attention to detail and animation
1. Dashboard for IT school
 Created a dashboard for students and teachers of an IT school to display main metrics
1. Landing page Timeless Home
 Designed a landing page to make visitors feel welcome, discover watches, and encourage purchases or desired actions
 Created an intuitive user interface with a well-read structure and the right accents to keep the user's attention

Career Growth:

 Focus on results and open team
 Possibility of remote or partially remote work
 Corporate culture, work ethic, and value of each employee

---"
30,"
Junior UI/UX Designer

Summary:
A junior UI/UX designer with a strong background in theory and experience in the pharmaceutical field. Skilled in creating user-centered designs, mobile applications, landing pages, dashboards, and website redesigns. Proficient in Figma and Adobe Photoshop. Excellent team player and problem-solver with strong communication and organizational skills. Passionate about creating intuitive user interfaces that enhance the user experience.

Skills:

 UI/UX Design
 Figma
 Adobe Photoshop
 Mobile App Design
 Landing Page Design
 Dashboard Design
 Website Redesign
 User Research
 Competitor Analysis
 User Flow Creation
 Customer Journey Mapping
 Core Technical Skills
 Soft Skills
 Team Player
 Problem Solver
 Communication
 Organization
 Quick Learner
 Responsible
 Passionate

Projects Experience:

1. PetDetective - Webservice
 Analyzed competitor sites and interviewed potential users to determine necessary functionality
 Created a platform to help owners of lost animals find them faster and provide opportunities for volunteers to assist in the search
 Included useful information about animals and what to do when finding a lost pet
1. Cucina di Catharina - Website Redesign
 Updated the website of a homemade traditional Italian gravy
 Structured information, added new quality photos, reduced content, and added a CTA button
 Used a palette of accent colors
1. PresentPerfect - Mobile App
 Created a mobile app that allows users to send personalized gifts with just a few taps
 Used Material Design System to create the project
 Analyzed competitor apps and interviewed potential users to determine necessary functionality
 Created user personas and user flow
 Designed over 40 screens with attention to detail and animation
1. Dashboard for IT school
 Created a dashboard for students and teachers of an IT school to display main metrics
1. Landing page Timeless Home
 Designed a landing page to make visitors feel welcome, discover watches, and encourage purchases or desired actions
 Created an intuitive user interface with a well-read structure and the right accents to keep the user's attention

Career Growth:

 Focus on results and open team
 Possibility of remote or partially remote work
 Corporate culture, work ethic, and value of each employee

---"
31,"
Professional Summary

Highly motivated and experienced professional with a strong background in team management, customer service, and business communication. Seeking a stable position in a company that values human capital and offers opportunities for career growth.

Experience

Head of Department, Cruise Industry

 Managed teams of 10-25 employees, ensuring financial targets were met and employees were trained and developed.
 Communicated effectively with clients and management to maintain strong relationships.

Intern, IT Company

 Gained experience in Shopify web development during a 3-month internship.

Skills

 Team management
 Customer service
 Business communication
 Training and development
 Shopify web development

Education

 Bachelor's degree in Business Administration


Please note that this is a plain text version of your improved resume. You may want to format it according to your preferences and the requirements of the job you are applying for."
32,"
Name: 

Contact Information: 

Summary:
Highly motivated individual with experience in project management, coding, and technology. Proven ability to communicate with stakeholders, analyze markets, and organize meetings. Seeking a challenging and interesting environment for personal and professional growth.

Experience:

 Project Manager, 
	+ Led a team of groupmates in creating a smart weather station for paragliders
	+ Successfully pitched the project to stakeholders and secured investment
	+ Communicated with stakeholders, gathered information, analyzed the market, organized meetings, and created project documentation
 Member, AIESEC
	+ Organized events and projects, working with people from different countries

Skills:

 Project Management
 Coding
 Market Analysis
 Stakeholder Communication
 Event Organization

Education:

 , , 

---"
33,"
Web and Graphic Designer

Contact Information:






Education:

 Bachelor's and Master's degree in Graphic / Web Design (Technology of electronic multimedia publications) from KhNEU. S. Kuznets

Experience:

Web and Graphic Designer, LOGOVO

 Feb 2019 – May 2020
 Kharkiv, Ukraine
 Development of corporate identity
 Design development of printed products
 Preparing files for printing
 Development of sites on WordPress
 Development of banners for advertising

Content Manager, COZI.UA

 Aug 2020 – Sept 2020
 Kharkiv, Ukraine
 Organizing and conducting photo shoots
 Create photo/video content
 Writing scripts to communicate with clients

Trainee, Layout Maker, Newspaper ""Kharkiv News""

 Oct 2021 – Nov 2021
 Kharkiv, Ukraine
 Prepare layouts for printing
 Processing of illustrative material
 Placement of materials on the pages of the newspaper

Skills:

 Over 4 years of design experience
 Corporate identity creation and redesign
 Customer communication and brief drafting
 Project management
 Logo design
 Photo and video content creation
 WordPress site development
 Banner advertising development
 CSS/HTML markup language experience
 Organizational processes
 Problem-solving
 People communication
 Psychology knowledge

---"
34,"Here is the improved resume:

Trainee/Junior Project Manager

 1 year of experience in end-to-end delivery of commercial projects using Agile practices (Scrum and Lean)
 Managed a team of 6 translators and technical consultants to deliver a project on maintenance documentation for equipment worth over $3,000,000 per unit
 Ownership of a project on maintenance documentation resulted in a 2.5X lead time decrease and release of meaningful instruction of over 10,000 highly technical words in Ukrainian within only 8 days
 Strong communication skills with stakeholders of all levels
 Recognized for critical thinking, analytical, prioritizing, and great decision-making skills in a fast-paced and highly stressful environment
 Highly organized and structured with a result-driven approach

Interpreter

 2 years of experience in various fields such as military, IT, and humanitarian work
 Qualified interpreter with strong communication skills

Note: The improved resume highlights the candidate's experience and skills in a clear and concise manner, while also emphasizing their achievements and strengths."
35,"
Objective: Seeking a challenging role in project management or pharmacy management where I can utilize my skills and experience to drive growth and efficiency.

Professional Experience:

Head of Pharmacy, Pharmacy Chain ""Gamma-55""
July 2014 to August 2019 (5 years)

 Safely administered immunizations, travel medicine, medication therapy management, and other specialty programs.
 Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.
 Collaborated with healthcare professionals to monitor and evaluate medicine therapy quality and effectiveness.
 Trained and supervised technicians and sales assistants for smooth pharmacy operations.

Private Entrepreneur/Senior Sales Manager, Women's Clothing Chain
August 2019 to February 2022 (2 years, 6 months)

 Customized customer experiences to build brand loyalty.
 Supervised work of contracted employees to deliver work on schedule.
 Met schedule using excellent planning and coordination skills.
 Explored and created new ways to resolve problems with processes, technology, or team members to improve overall efficiency.

Trainee Project Manager (Pet Project), IT School IAMPM Project Management Courses
March 2022 to August 2022 (6 months)

 Developed a detailed project plan to track progress.
 Used appropriate verification techniques to manage changes in project scope, schedule, and costs.
 Performed risk management to minimize project risks.
 Created and maintained comprehensive project documentation.
 Experience with tools: Miro, Product Plan, Jira, Confluence, Trello.

Education:

IT School IAMPM Project Management Courses
March 2022 to August 2022 (6 months)

Skills:

 Project management
 Risk management
 Documentation creation and maintenance
 Collaboration with healthcare professionals
 Training and supervision of technicians and sales assistants
 Customer experience customization
 Planning and coordination
 Problem-solving
 Immunization administration
 Prescription and insurance billing
 Specialty program management

---"
36,"



Summary:
Experienced project manager with a background in radiotechnical systems engineering and business process optimization. Skilled in advertising campaign analytics, digitalization management, and team communication. Proven track record of achieving positive results for clients and implementing successful business processes.

Experience:

Account Manager at TRENDO
July 2022 - present

 Communicate with foreign clients to understand their advertising campaign needs and goals
 Analyze advertising campaign performance and provide regular reports to clients
 Lead sprint meetings with the project team to ensure timely completion of tasks and deadlines
 Work in accordance with the kanban methodology to optimize workflow and productivity
 Set up sites with GTM and Universal/GA4 analytics to track and measure campaign performance
 Customize conversions for Google Ads and optimize Shopify for ecommerce clients

Junior Project Manager/Junior Business Analytics at ZEZMAN
September 2021 - April 2022

 Created schedules and collected documents to guide projects and outcomes
 Communicated with stakeholders about scheduling, staffing, and technical requirements
 Organized the work of the Business Analytics Unit to ensure efficient and effective operations
 Planned large-scale projects in the direction of digitalization and implementation of electronic document management
 Supported the implementation and optimization of business processes

Administrative Manager (Project sphere) at ORCSSD
July 2020 - September 2021

 Created schedules and collected documents to guide projects and outcomes
 Translated metrics into actionable, meaningful intelligence to drive business decisions
 Managed expectations and tracked risks and benefits to ensure successful project delivery
 Communicated with stakeholders about scheduling, staffing, and technical requirements

Junior Technical Project Manager at Vs Project
February 2020 - April 2020

 Owned full project life cycle from initiation to deployment for one major or several minor initiatives simultaneously
 Ensured that projects and programs were proceeding according to scope, schedule, budget, and quality standards

Trainee Project Manager at Government projects
October 2019 - December 2019

 Planned, managed, and monitored project execution to deliver projects on-time and within the allocated budget

Skills:

 Advertising campaign analytics
 Digitalization management
 Team communication
 Business process optimization
 Kanban methodology
 GTM and Universal/GA4 analytics setup
 Google Ads conversion customization
 Shopify optimization

Education:

 Radiotechnical Systems Engineering

---"
37,"
Education

Kyiv National Linguistic University (KNLU), Kyiv

 Bachelor in Philology, Specialist of Translations (English) (2009-2013)
 Master's Diploma with Honors in Translation (English) - Master of Arts (Translation), Philologist, Interpreter-Translator of English and Spanish Languages (2013-2014)

Additional Education and Certificates

 Certificate of Completion of the Course ""Deeply Practical Project Management"" by William Stewart PhD, PMP (2019)
 Certificate of the Kyiv Advertising School in the specialty ""Event Management"" (2015)
 ""The First State Courses of Foreign Languages"" Certificate (English)
 Certificate of participation in the ""Days of reading of the novel ""Don Quixote"""" signed by José Rodríguez Moyano, the Ambassador of the Kingdom of Spain in Ukraine (2012)
 Certificate of the 1st place in the translation of poetry competition during the Days of the Spanish language
 Certificate of participation in the 1st Ukrainian scientific and practical conference of young scientists
 Tutor of English (since 2008) and Spanish (since 2012) languages

Professional Experience

Freelancing

 Project Management (several web projects)
 Interpreter of English and Spanish
 Cooperation with the Luxe Cube brand company
 Cooperation with Spanish private individuals

Translation Agency ""Antey""

 Translation of texts of different thematic areas, interpretation, translation of documents from/into English and Spanish (2012-2016)

NEOGENIA Ltd.

 Customer Service Manager
 Interpreter/Translator of Spanish and English
 Medical Coordinator
 Operations Management (January 2016 - August 2017)
 Medical coordination, consultation, and support of foreign clients at clinics and hospitals
 Correspondence and communication with foreign clients, translation of texts (including medical documentation)
 Support of clients, consecutive interpreting, business negotiations, visa support, sales management

“IVF- GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center

 Operations Manager
 Manager of International Affairs
 Interpreter/Translator of Spanish and English
 Customer Service Manager (September 2017 - present)
 Medical program coordination, consultation, and support of foreign clients at clinics and hospitals
 Correspondence and communication with foreign clients, translation of texts (including legal and medical documentation)
 Support of clients, consecutive interpreting, business negotiations, sales management
 Program Coordination Manager

Skills

 Customer Operations Manager, Conflict Management (over 4 years)
 Project Management: basic understanding of web application development flow, control systems, project pre-sale, project estimations, costs, task management
 PM Methodology Experience: Scrum, Agile, Canban
 PM Platforms: Jira, Trello, YouTrack
 Experience in working with G-suite
 Basic Knowledge: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10."
38,"
Ukrainian Corporate Governance Academy (UCGA)
MAR01 2022 - NOV30 2022

Position: Project Manager & CEO Assistant

 Kept track of project progress and participated in daily meetings
 Conducted scope and schedule planning, organized and managed meetings for current/new initiatives
 Assisted the team with ongoing tasks during the project and documented resources required to achieve project objectives
 Conducted research required for any initiatives, optimized and managed organizational spending
 Prepared meetings follow-ups, presentations, and led reporting to the board of directors on tasks completed
 Conducted retrospectives with the team and kept track of building long-term goals of the company

Dattalion (Volunteering)
Data Collection Team Lead & Operations Manager

 Developed, implemented, and reviewed operational policies and procedures, wrote data collection guidelines
 Onboarded new data collection managers, monitored compliance with internal regulations, and oversaw data collection process
 Formulated strategic and operational objectives, performed quality controls, and monitored KPIs
 Worked with partners, donors, co-founders, and other managers, participated in weekly meetings, and understood the project state and needs
 Led, motivated, supported the team, maintained a positive environment, identified, addressed problems & opportunities for the project
 Examined, managed budgets usage, conducted budget reviews, reported cost plans to upper management, reviewed, approved all operational invoices, and ensured they were submitted for payment

HCM International Ltd.
JAN 2019-FEB 2022

Position: Researcher & Analyst

---"
39,"
Scientific Chronicle

Education

 June 2012: Bachelor degree from the State Flight Academy of Ukraine
 July 2013: Specialist degree (equal to Master degree) from the Kirovograd Flight Academy of the National Aviation University of Ukraine
 September 2015: Entered Beihang University of Aeronautics and Astronautics, Navigation, Guides and Control specialty

Work Experience

 December 2012 - June 2013: Research in Air Traffic Management class, ""Patterns of activity of operators in the system of air navigation services in case of delays""
 January 2017: Founded ideas of Micro drones flights inside the city implementation in China, Altitude Control For Micro Small Drones Flying At The Low Altitudes Of The National Airspace, Offline Local Maps Creation For Micro Drones Outside Implementation For Commercial Use
 June 2017: Laboratory under professor's Quan Quan published book ""Introduction to Multicopter Design and Control""
 October 2017: Invited for International Conference to present paper ""Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace""
 November 2017: Involved in experiment project 'Comparison of using the 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance'
 January 2018: Appointed as a Head of Education Department in Beihang University
 March 2018: Intern at TUS HOLDING Ltd.

Languages

 Ukrainian, Russian - native languages
 English - Advanced (TOEFL 96, ICAO 4)
 Chinese - HSK3, continue studying
 Spanish - pre-intermediate (can continue to study, if necessary)

Additional Skills

 Operational systems user: IOS, Windows, Linux
 Computer programs: MS Office, Mac Office
 Task operational programs: Mantis, Leader Task
 Graphic editors: Photoshop, Corel
 3D printing applications: 3D Max, Cura, Meshmixer
 Computer languages: HTML, SQL, Mathlab, Python
 Knowledge of file sharing and cloud systems
 Knowledge of office equipment
 Social networks: Facebook, Twitter, Instagram, Wechat


Please note that I have made some minor changes to the formatting and wording to improve the overall flow and readability of the resume."
40,"
Education

 Two high educations
 Cambridge certificate

Professional Experience

 Co-founder of a mobile app startup
 IT English Teacher
 Key clients manager
 PR-manager
 Content writer/copywriter/translator

Skills

 Agile philosophy understanding
 Modern IT project management methodologies (Scrum, Kanban, Scrumban, Waterfall, etc.)
 Organizational effectiveness understanding
 JIRA, Trello, ROADMAP knowledge
 SDLC understanding
 Project plan creation and execution
 Day-to-day project operations management
 Documentation maintenance
 People and project organization
 Training conduction
 Negotiation experience

Language

 English C1. Cambridge certificate.

Personal Statement

I am seeking a position in a friendly and warm team that is passionate about their work. I value a pleasant atmosphere and working with professionals who are eager to learn and embrace new technologies. I am looking for a company that recognizes potential and provides opportunities for growth."
41,"
Professional Summary

Highly motivated and organized Project Manager with experience in managing multiple projects simultaneously within budget and time constraints. Skilled in understanding project management processes, development life cycles, and customer expectations. Strong communication skills and ability to take responsibility for one's own work. Seeking a new opportunity to work as a Project Manager in the IT sphere and develop in the chosen direction.

Skills

 Project Management
 Methodologies (Waterfall, Agile, Kanban, Scrum)
 Team management
 Sales

Programs

 Microsoft Office
 Hands-on experience with WordPress, Trello, Slack

Personal Skills

 Communication
 People motivation
 Conflict solving skills
 Ability to work in a fast-paced environment
 Ability to simultaneously manage multiple tasks/projects and deadlines
 Hardworking
 Highly-organized
 Attentive to details
 Motivation to improve professional skills

Experience

 Implemented various projects in terms of complexity and specificity within budget and in the required time frame
 Managed several projects at the same time, set tasks to staff, and controlled task execution
 Broadened my mind by working with different projects and clients
 Raised my level and speed of work
 Self-organized work as a remote employee
 Gained skills from working with clients
 Understanding of project management process
 Understanding of development life cycle
 Working with customer expectations
 Performing written and spoken client communication
 Search and collection of all necessary information about the potential client
 Writing and maintaining project documentation
 Identification of customer requirements, goals, and order to propose an optimal solution, as well as providing recommendations
 Ensuring customer management through communication
 Coordination with the client of the timing of the work
 Experience in team coordination with task prioritization
 Facilitation, coordination, scheduling, and managing designer's team
 Manage 2-3 projects simultaneously
 Preliminary testing of completed tasks
 Build and maintain strong, long-lasting customer relationships

Education

 Bachelor's degree in Project Management or related field (if applicable)


Please note that this is just a sample resume and you should tailor it to your specific needs and experiences."
42,"
Junior Technical Specialist with a diploma in a technical specialty, seeking to leverage practical experience and technical knowledge to contribute to a dynamic team.

Education:

 Diploma of Junior Specialist in Technical Specialty
 Focused on practical tasks and projects, gaining real-world experience with hardware and software
 Participated in student competitions, developing teamwork and problem-solving skills

Skills:

 Strong desire to learn and grow
 Independent study of programming, web design, and other technological skills
 Active participation in volunteer activities, developing skills in cooperation, communication, and organization
 Completion of online courses and webinars on relevant topics

Personal Statement:

I am a dedicated and motivated individual with a passion for technology and a desire to learn and grow. I am eager to apply my technical knowledge and practical experience to contribute to a dynamic team. I am committed to investing my energy and time in acquiring the necessary skills for a successful career in this field."
43,"
Objective: Seeking a challenging role in project management where I can utilize my skills and experience to drive successful project outcomes.

Education:

 Bachelor's degree in Computer Science, XYZ University

Experience:

 Project Manager, ABC Company (2019-present)
	+ Led the development of the UrbanUtopia party application, which aggregates questionnaires for youth and teenagers to find suitable parties or events.
	+ Created and managed all project documentation, including project mind map, WBS mind map, roadmap, backlog, project data, critical path, estimate, ground rules, team building activities, questions for candidates, list of techniques and technologies for managing the layout, PM reports, project risks, questions for the client, RACI, schedule tracking tools, SCRUM events, SOW, stakeholder register, team schedule management plan, general budget, FP schedule+cost, test plan, and project closing checklist.
	+ Made a presentation of the Kidsatschool project with a better result than expected.
	+ Worked on two pet projects, one individual and one with a team.

Skills:

 Project management
 Agile methodologies (SCRUM)
 Budget management
 Team building and management
 Presentation skills
 Technical skills in software development and layout management

---"
44,"
Creative Mind, Agile, Goal-Oriented Specialist with 3+ years of experience in Social Media Marketing, Video Production, and Creative Project Management.

Skills:

 Developing social media strategies for businesses
 Creating concepts for content calendars based on trends and creative approach
 Managing and prioritizing multiple projects in a fast-paced environment
 Strong relationship and time management

Video Production (Freelance)
2021-2022

 Produced video content for 25+ businesses (restaurants, real estate, educational institutions, fashion, etc.), 50+ private events, and 10+ stock footage in collaboration with video operator
 Script writing and concept development for videos
 Conducted market research, tracked trends, and boosted engagement via video in clients' social media
 Handled transparent communication with clients
 Managed budget for projects

Houston Pub
2020-2021

 Developed a marketing strategy and branding in collaboration with graphic designer
 Produced marketing roadmap and managed a team of 4 (designers, photographer, video operator)
 Managed social media accounts
 Communicated with target audience, grew Instagram audience, and boosted engagement
 Managed budget for projects"
45,"Vinnytsia IT Academy (Internship Project Manager)

 Prepared TR of the project and fixation of requirements
 Organized team meetings and assigned tasks to team members
 Monitored work with tasks and prepared reports for customers and organization meetings

Taurus-Group (Project Manager/Account Manager)

 Accompanied clients at all stages of the logistics process
 Controlled payments, prepared reports, customs, and delivery documentation
 Accompanied company on all web projects and prepared presentations for webinars
 Organized webinars

SkillmePro (Project Manager)

 Prepared project documentation: project brief, TR for designer, layout designer, developers, targetologist, PPC specialist, and copywriter
 Assigned tasks for the project and monitored their implementation by team members
 Controlled payments and prepared project reports
 Prepared presentations for webinars and organized webinars

KNB-Studio (Kornienko-studio)

 Assistant to Project Manager and Account Manager
 Accompanied studio clients at all stages of the project
 Prepared project documentation: project brief, TOR for designer, layout designer, developers, targetologist, PPC specialist, and copywriter
 Assigned tasks for the project and monitored their implementation by team members
 Determined deadlines for task implementation and controlled deadlines
 Coordinated all work with clients, protected the studio's solution to the client, worked with objections, and fixed required edits with the preparation of technical requirements for the team
 Controlled payments, prepared project reports, and received and processed feedback from clients on project tasks
 Participated in team meetings and project discussions
 Organized the recruitment process for the studio and conducted interviews and internships"
46,"Vogue Hotel Bodrum
Assistant Manager
2020-2022

 Managed day-to-day administrative activities, including schedules, reports, surveys, performance reviews, and staffing
 Made decisions on methodological, administrative, and financial issues
 Conducted inventory of goods in a warehouse
 Analyzed and monitored attendance data
 Recruited and interviewed candidates for various positions

Chief Kids Club
2018-2019

 Increased popularity of Kids Club by 15% in 2019
 Improved productivity of animators by 20%
 Promoted to supervisor position

Rainier Transportation Inc Logistic
HR Manager
2019-2020

 Recruited and selected drivers for transportation of goods
 Posted job vacancies in media
 Conducted interviews with candidates
 Collected necessary documents and entered into the system
 Solved difficult situations during loading and unloading
 Provided telephone support

Vogue Hotel Supreme Bodrum, Turkey
Chief for Attendants
2015-2016, 2018-2019

 Managed animator's duties
 Organized day-to-day activities and schedules
 Trained and mentored staff
 Handled HR administration

Beauty Salon, Ukraine
Director
2017-2018

 Developed name, logo, and marketing
 Created loyalty programs
 Sourced suppliers of consumables
 Managed accounting
 Handled HR administration
 Maintained customer base
 Managed cash flow
 Resolved problems

StartUp «Babyliss», Ukraine
Project Manager
2016-2017

 Maintained primary documentation
 Developed name, logo, and marketing
 Sourced fabric suppliers
 Developed prints on clothes
 Formed costs
 Supervised subordinates
 Handled HR administration

LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine
Accountant
2012-2015

 Followed director's instructions
 Used specialized accounting software package Microsoft Office
 Managed cash flow
 Conducted banking operations
 Handled HR administration
 Prepared financial reports for management
 Conducted accounting and tax accounting
 Supported foreign trade activities
 Reconciled and settled with suppliers and customers
 Maintained primary documentation
 Analyzed accounts receivable and payable."
47,"Self-made business (hiring 7 people) - postal delivery

Volunteer during Russian war against Ukraine: Feb 2022 - present

Founder of 2 ""Meest"" postal-logistic departments in Netishyn & Slavuta: June 2020 - present

Co-founder of ""Eco-Farm"" in Netishyn: Sep 2017 - Dec 2021

Leader during Ukraine's Presidential, Parliamentary & local elections in Netishyn: Feb 2019 - Oct 2020

Organized charity project between Finland and Ukraine: Apr 2012

Bachelor degree in ""Environmental Engineering"" from Tampere University of Applied Sciences, Finland (2011-2015)

“Spatial Planning and Environmental Management” from Dublin Institute of Technology, Ireland (Erasmus exchange, 2013)

Project management experience

Willing to relocate"
48,"Here is your improved resume:

Objective: Seeking a challenging role in project management where I can utilize my skills in communication, risk management, and process automation to drive successful project outcomes.

Summary:
Highly motivated and results-driven project manager with a proven track record of delivering innovative solutions to complex problems. Skilled in stakeholder management, project tracking and control, and risk identification and mitigation.

Experience:

Project Manager, VR Workplace
 Developed and implemented a project performance evaluation system that allowed for timely identification of problems and corrections.
 Ensured open communication with the development team, management, users, and other stakeholders to address their needs and wishes in the project.
 Implemented an effective project tracking and control system that improved understanding of project status and helped avoid delays and budget overruns.
 Automated the monitoring and reporting process, resulting in a 30% reduction in reporting time and increased data accuracy.
 Identified and managed potential risks in the project, helping to prevent problems and maintain good performance indicators.
 Ensured a high level of customer or stakeholder satisfaction through a high standard of project execution and meeting their needs.

Skills:

 Stakeholder management
 Project tracking and control
 Risk identification and mitigation
 Process automation
 Communication
 Problem-solving
 Innovation

Education:

 Bachelor's degree in Project Management

Note: The above resume is an example and may not accurately reflect the actual qualifications, experiences, and skills of the individual."
49,"
Social Marketing Manager
Art and Health HUB by ZELO
January 2023 - until now

 Develop and execute creative social media campaigns, resulting in a 30% increase in event registrations and participation.
 Implement and manage a customer support system on social media, reducing response time to customers.
 Create and curate engaging social media content for Facebook and Instagram.
 Analyze social media data to inform content and campaign decisions.
 Manage social media campaigns and build relationships with influencers.
 Write copy for social media posts and monitor community conversations.
 Stay up-to-date with social media trends and best practices, bringing new ideas and suggestions to the team.

Head of Branch
PrivatBank
September 2015 - December 2022

 Proactively addressed and resolved customer issues and concerns, resulting in a 90% customer satisfaction rate and improved retention of micro-business clients.
 Provided expert guidance and support to clients of micro-businesses, assisting them in making informed financial decisions and fostering long-term business relationships.
 Organized the working flow of the branch, ensuring operational processes were efficient and effective.
 Controlled the fulfillment of different standards, maintaining compliance with legal and regulatory requirements.
 Worked with legal bodies and individuals to resolve issues and address concerns.

Project Manager
""BabyHealthyBite""

 Developed and executed a roadmap, organizational structure, project budgeting, mind map, project backlog, SOW, value proposition, and customer journey map for a mobile application that offers guidance and resources to parents and caregivers regarding healthy baby food choices.

Expectations for the Role of Project Manager:

 Focus on project management, planning, and coordinating project teams effectively.
 Work collaboratively with cross-functional teams, fostering clear communication and efficient project delivery.
 Seek a supportive environment that values professional growth and encourages learning opportunities for continuous improvement.

Offers as a Project Manager:

 Strong leadership skills to effectively guide and motivate teams to achieve project goals.
 Excellent analytical and strategic abilities to address project challenges and make data-driven decisions.
 Effective communication and interpersonal skills, enabling seamless collaboration with stakeholders and clients.
 Organizational skills to manage multiple tasks and responsibilities, adhering to project timelines and objectives."
50,"Here is your improved resume:

Web Site Development and Administration

 Collaborated with a team of developers to create an online resource for law consulting
 Participated in the design and logical structure development of the web site
 Managed the clients and cases of the web site

Pro Bono Lab Manager

 Managed the Pro Bono Lab platform within Ukrainian Access to Justice School of Practice
 Coordinated requests from non-governmental organizations and connected them with legal support from pro bono partners

Learning Course Development

 Researched and identified the most relevant topics for social initiatives and NGOs
 Engaged experts from law and audit firms to develop course modules
 Developed test cases and participated in the filming process
 Administered the first run of students (30 participants)
 Converted learning course materials into a SCORM package for placement on a Learning Management System"
51,"
Professional Summary

Accomplished IT entrepreneur with 8 years of experience leading a successful company. Skilled in agile methodologies, project management, and team building. Seeking a new challenge to apply my expertise in building and motivating successful teams.

Professional Experience

Founder and CEO, 

 Led a team of up to 15 employees and managed up to 3 teams and 3 managers
 Practiced and learned Scrum and other agile methodologies
 Utilized task tracking systems such as Asana, Trello, and GitHub, and versioning systems like Git
 Worked with WebGL, three.js, and babylon.js
 3 years of experience with PHP, not much with PHP frameworks
 Conducted project time and money estimation based on experience
 Led scrum meetings and taught other scrum masters within the group

Skills

 Agile Methodologies
 Project Management
 Team Building
 Scrum Meetings
 Task Tracking Systems
 Versioning Systems
 WebGL
 three.js
 babylon.js
 PHP
 Project Time and Money Estimation

---"
