id,Claude-3.5-Sonnet
26,"PROFESSIONAL SUMMARYResults-driven UI/UX and Graphic Designer with 4+ years of experience specializing in digital and print design. Proven track record in creating user-centered interfaces and maintaining brand consistency across multiple platforms.PROFESSIONAL EXPERIENCEUI/UX Designer (Freelance)- Designed and delivered complete landing page for Employment Abroad agency, including brief development, requirements documentation, prototyping, and interface design- Created responsive web and mobile interfaces with focus on user experience- Developed UI kits and interactive prototypes- Implemented basic animations using FigmaGraphic Designer | Company Name2021-2023- Managed social media visual content strategy and execution- Created targeted advertising materials and campaigns- Designed and prepared print materials according to brand guidelines- Developed concept and layout for product catalogs- Performed professional photo retouching- Led website redesign projects, including responsive banners, icons, and content curationTECHNICAL SKILLSDesign Software:- Figma- Adobe Photoshop- Adobe Illustrator- TildaCore Competencies:- Landing Page Design- Responsive Design- Prototyping- UI Kit Development- Brand Guidelines Implementation- Print Design- Social Media GraphicsEDUCATIONWeb Design Certification - KAMAAdditional Training: Design Marathon Participant - Various IT Schools"
27,"PROFESSIONAL SUMMARYExperienced UI/UX Designer with proven expertise in leading design projects, developing web services, and managing advertising initiatives. Specialized in creating user-centric interfaces and implementing comprehensive design solutions across multiple platforms.PROFESSIONAL EXPERIENCEUI/UX Designer• Lead designer for medical web service platform enabling doctor appointments and consultations• Developed multi-interface system including patient portal, doctor interface, and online consultation platform• Implemented responsive design solutions for desktop, tablet, and mobile devices• Managed complete redesign projects for various websites, including sports bar digital transformation• Directed advertising projects and print production initiativesLEADERSHIP EXPERIENCETeam Leader - Webservice Project• Led design team in development of healthcare appointment platform• Oversaw full design cycle from conception to implementation• Managed cross-functional team collaboration and project deliverablesKEY PROJECTSMedical Web Service Platform• Created comprehensive healthcare scheduling system• Designed intuitive user interfaces for multiple stakeholders• Implemented responsive design across all devicesSports Bar Website Redesign• Executed complete visual overhaul• Implemented table booking functionality• Developed responsive design for all devices• Enhanced user experience and site navigationSKILLS• UI/UX Design• Project Leadership• Website Redesign• Product Platform Design• Advertising• Print Production• Responsive Design• Team Management"
28,"PROFESSIONAL SUMMARYDetail-oriented Junior UI/UX Designer with demonstrated experience in digital product design and proven ability to collaborate with high-level stakeholders, including government officials. Skilled in creating user-centered designs across various industries including e-commerce, healthcare, and public services.NOTABLE ACHIEVEMENT• Designed and delivered a strategic presentation for Ukraine's Minister of Digital Transformation, supporting national digital transformation initiatives for major citiesTECHNICAL SKILLS• Design Tools: Advanced proficiency in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping)• Web Development: Expert in WebFlow (CMS, responsive design, animations, publishing, integrations)• Development: Basic HTML/CSS, Bootstrap• Design Systems: Creation and management of UI kits• Research: Stakeholder interviews, user testing, user interviewsPROJECT EXPERIENCEUI Design• E-commerce: Designed web and mobile applications for clothing retail• Healthcare: Created interface solutions for dental practice• Transportation: Developed public transport application• Enterprise: Designed electronic document management systemUX/UI Design• Food Service: Developed end-to-end experience for pizza delivery platform• HR Technology: Created user experience for recruitment and job board platformsCORE COMPETENCIES• Design Systems Implementation• Responsive Web Design• Prototype Development• User Research• Visual Design• Stakeholder Management• Creative Problem-Solving• Attention to Detail"
29,"JUNIOR UI/UX DESIGNERPROFESSIONAL SUMMARYDetail-oriented UI/UX Designer with hands-on experience in creating user-centered digital solutions. Skilled in developing mobile applications, websites, and web services using Figma and Adobe Photoshop. Combines theoretical knowledge from pharmaceutical background with practical design expertise to deliver intuitive user experiences.TECHNICAL SKILLS• Design Tools: Figma, Adobe Photoshop• Deliverables: User Flows, Customer Journey Maps (CJM), Wireframes• Design Systems: Material Design• Research: Competitive Analysis, User Interviews, User SurveysPROJECT EXPERIENCEPetDetective – Web Service• Designed a platform connecting lost pet owners with volunteers• Conducted competitor analysis and user interviews to determine core functionality• Developed comprehensive information architecture for pet recovery resourcesPresentPerfect – Mobile Application• Created 40+ screens for gift-giving platform using Material Design System• Developed user personas and user flows• Implemented animated interfaces across all pages• Conducted competitive analysis and user researchCucina di Catharina – Website Redesign• Restructured website content for improved user engagement• Implemented strategic CTA placement• Optimized visual hierarchy through color palette refinementIT School Dashboard• Designed comprehensive dashboard interface for students and teachers• Developed metrics visualization system• Created intuitive navigation for educational data managementTimeless Home – Landing Page• Designed conversion-focused e-commerce landing page• Created intuitive navigation structure• Implemented strategic visual hierarchy to drive user actionsSOFT SKILLS• Team Collaboration• Problem-solving• Communication• Organization• Quick Learning• AdaptabilityPREFERENCES• Open to remote/hybrid work arrangements• Interested in career growth opportunities• Values collaborative team environment"
30,"JUNIOR UI/UX DESIGNERPROFESSIONAL SUMMARYDetail-oriented UI/UX Designer with hands-on experience in creating user-centered digital solutions. Proficient in Figma and Adobe Photoshop, with a strong foundation in pharmaceutical industry knowledge. Specialized in designing intuitive interfaces across multiple platforms while prioritizing user experience.TECHNICAL SKILLS- Design Tools: Figma, Adobe Photoshop- Design Specialties: Mobile Applications, Landing Pages, Dashboards, Web Services, Website Redesign- UX Research: User Interviews, Competitive Analysis, User Flow, Customer Journey Mapping (CJM)PROJECT EXPERIENCEPetDetective – Web Service- Conducted competitive analysis and user interviews to identify core functionality requirements- Designed comprehensive platform connecting pet owners with volunteers- Implemented user-friendly information architecture for lost pet resourcesCucina di Catharina – Website Redesign- Restructured website content and information architecture- Enhanced visual appeal through updated photography- Optimized conversion through strategic CTA placement and color palette selectionPresentPerfect – Mobile Application- Developed 40+ screens utilizing Material Design System- Created user personas and detailed user flows- Conducted competitor analysis and user interviews- Implemented comprehensive animation system across all pagesIT School Dashboard- Designed metrics-focused dashboard interface for students and teachers- Created intuitive data visualization system- Optimized information display for educational environmentTimeless Home – Landing Page- Developed conversion-oriented landing page for watch retailer- Created hierarchical information structure- Implemented strategic visual elements to drive user engagementSOFT SKILLS- Team Collaboration- Problem-solving- Communication- Organization- Quick Learning- ResponsibilityPREFERENCES- Open to remote or hybrid work arrangements- Seeking opportunities for professional growth- Values team-oriented environment"
31,"PROFESSIONAL EXPERIENCEHead of Department | Royal Caribbean and Celebrity Cruises2019-2023• Led and managed teams of 10-25 employees in photo operations, consistently achieving financial targets• Developed and implemented targeted marketing strategies to optimize business performance• Designed and executed comprehensive onboarding programs for new staff members• Created dynamic work schedules and organized team activities to maintain high employee satisfaction• Resolved customer service issues proactively and reactively, ensuring 100% guest satisfaction• Established strong professional relationships with ship officers, department heads, and shore-side managementIT Intern | 2023• Gained practical experience in Shopify web development during a 3-month internshipSKILLS• Team Leadership• Employee Training & Development• Business Communication• Customer Service Management• Marketing Strategy• Schedule Management• Conflict Resolution• Employee OnboardingPROFESSIONAL OBJECTIVESeeking an entry-level HR position with opportunities for growth and development in an organization that prioritizes long-term employee development."
32,"PROFESSIONAL SUMMARYResults-driven professional with experience in project management, startup development, and international collaboration. Demonstrated ability to lead teams, communicate with stakeholders, and deliver successful project outcomes.PROFESSIONAL EXPERIENCEStartup Co-Founder | Smart Weather Station for Paragliders• Led development of innovative weather station technology for paragliding industry• Conducted market analysis and stakeholder management• Created comprehensive project documentation• Successfully pitched project to potential investors• Managed team communications and project milestonesAIESEC Member• Organized international events and projects• Collaborated with diverse, multicultural teams• Facilitated cross-cultural communication and project coordinationSKILLS• Project Management• Stakeholder Communication• Market Analysis• Documentation• Team Leadership• Programming• Technology Implementation• Event Organization• International CollaborationCHARACTERISTICS• Growth-oriented mindset• Strong problem-solving abilities• Adaptable to challenges• Team player• Results-focused"
33,"Graphic & Web Design ProfessionalEDUCATIONKhNEU S. KuznetsMaster's Degree, Technology of Electronic Multimedia PublicationsBachelor's Degree, Graphic/Web DesignPROFESSIONAL EXPERIENCEWeb and Graphic Designer | LOGOVO, Kharkiv, UkraineFeb 2019 – May 2020• Developed comprehensive corporate identity systems and branding materials• Created and executed design solutions for print collateral• Built and customized WordPress websites• Designed digital advertising banners• Managed print file preparation and productionContent Manager | COZI.UA, Kharkiv, UkraineAug 2020 – Sept 2020• Directed photo and video content production• Developed client communication scripts• Coordinated and executed photo shootsLayout Designer | Newspaper ""Kharkiv News"", Kharkiv, UkraineOct 2021 – Nov 2021• Produced print-ready newspaper layouts• Processed and optimized editorial images• Managed content placement and page compositionACHIEVEMENTS• Participated in municipal design competitions for Department of Family, Youth and Sports logo• Successfully managed multiple client projects from conception to completion• Developed and redesigned corporate identities for various businessesSKILLS• Corporate Identity Development• Print Design• Client Communications• Project Management• Adobe Creative Suite• WordPress• HTML/CSS• Brief Development• Photo/Video Production• Layout Design• Problem-Solving• Interpersonal CommunicationCORE COMPETENCIES• Strong project management and organizational abilities• Excellent client relations and communication skills• Proven ability to meet deadlines and solve complex problems• Detail-oriented with focus on quality deliverables"
34,"PROJECT MANAGEMENT PROFESSIONALPROFESSIONAL SUMMARYDynamic Project Manager with proven success in Agile methodologies and cross-functional team leadership. Demonstrated excellence in delivering high-value technical projects under strict deadlines while maintaining quality standards. Skilled in stakeholder management and technical documentation.PROFESSIONAL EXPERIENCEProject Manager (Trainee/Junior)• Led end-to-end delivery of commercial projects utilizing Agile frameworks (Scrum and Lean)• Successfully managed a 6-person team of translators and technical consultants for complex equipment documentation project valued at $3M+ per unit• Achieved 250% improvement in lead time through streamlined project management processes• Delivered 10,000+ words of technical documentation in Ukrainian within 8-day deadline• Established effective communication channels with stakeholders across all organizational levelsTechnical Interpreter• 2 years of professional interpretation experience across military, IT, and humanitarian sectors• Managed complex technical translations requiring precise attention to detail• Facilitated clear communication between diverse stakeholders in high-pressure environmentsCORE COMPETENCIES• Agile Project Management (Scrum, Lean)• Team Leadership & Coordination• Technical Documentation• Stakeholder Management• Critical Analysis & Problem Solving• Cross-functional Team Leadership• Deadline-Driven Execution• Risk Management• Process Optimization"
35,"HEAD OF PHARMACYPharmacy Chain ""Gamma-55"" | July 2014 to August 2019• Achieved promotion to Head of Pharmacy within two years, demonstrating exceptional leadership and performance• Drove 10% annual revenue growth through strategic sales planning and schedule optimization• Administered specialty healthcare programs including immunizations and medication therapy management• Established effective collaboration with healthcare professionals to optimize medicine therapy outcomes• Led and developed team of pharmacy technicians and sales assistants, ensuring operational excellence• Maintained accurate patient records and managed insurance billing processesTRAINEE PROJECT MANAGERIT School IAMPM Project Management Courses | March 2022 to August 2022• Developed comprehensive project plans and tracking systems• Implemented change management processes for project scope, schedule, and costs• Conducted risk assessment and mitigation strategies• Created detailed project documentation and reports• Utilized project management tools: Miro, Product Plan, Jira, Confluence, TrelloPRIVATE ENTREPRENEUR/SENIOR SALES MANAGERWomen's Clothing Chain | August 2019 to February 2022• Enhanced customer loyalty through personalized shopping experiences• Managed contracted employees to meet project deadlines• Demonstrated excellent planning and coordination capabilities• Implemented process improvements to increase operational efficiency• Developed innovative solutions for operational challenges"
36,"PROFESSIONAL SUMMARYResults-driven Account Manager with diverse experience spanning industrial engineering and digital marketing. Demonstrated success in optimizing business processes, managing client relationships, and delivering exceptional ROI through strategic advertising campaigns.PROFESSIONAL EXPERIENCETRENDO | Account Manager | July 2022 - Present• Drive advertising campaign performance achieving average ROAS of 700% monthly• Manage international client relationships and e-commerce projects across multiple markets• Lead sprint meetings and coordinate project teams using Kanban methodology• Implement technical solutions including GTM, GA4, Google Ads, and Shopify optimizations• Oversee comprehensive analytics and reporting for advertising campaignsZEZMAN | Junior Project Manager/Business Analyst | September 2021 - April 2022• Led digitalization initiatives and electronic document management implementation• Orchestrated business process optimization projects• Managed stakeholder communications and project requirements• Developed project schedules and documentation frameworksORCSSD | Administrative Manager | July 2020 - September 2021• Managed project documentation and schedule development• Translated metrics into actionable business intelligence• Conducted risk assessment and benefit tracking• Coordinated with stakeholders on technical requirementsVS Project | Junior Technical Project Manager | February 2020 - April 2020• Managed complete project lifecycle from initiation to deployment• Ensured project delivery within scope, schedule, budget, and quality parametersGovernment Projects | Trainee Project Manager | October 2019 - December 2019• Executed project planning, management, and monitoring• Managed project timelines and budget constraintsTECHNICAL EXPERTISE• Process Automation• Business Analytics• E-commerce Optimization• Digital Marketing• Project Management• Google Analytics (Universal & GA4)• Google Tag Manager• Shopify• Kanban MethodologyINDUSTRIAL EXPERIENCE• Radiotechnical Systems Engineering• Industrial Process Optimization• Production Control Systems• Business Process Implementation"
37,"EDUCATIONMaster of Arts in Translation (with Honours) | 2013-2014Kyiv National Linguistic University (KNLU)- Specialization: English and Spanish Translation/Interpretation- Philologist, Professional Interpreter-TranslatorBachelor's Degree in Philology | 2009-2013Kyiv National Linguistic University (KNLU)- Specialization: English TranslationPROFESSIONAL EXPERIENCEOperations Manager & International Affairs Manager | 2017-Present""IVF-GROUP"" LLC, MOTHER AND CHILD Medical Center- Coordinate international medical programs and provide comprehensive client support- Manage client relations and sales processes for international patients- Perform consecutive interpretation during business negotiations- Translate complex medical and legal documentation- Oversee program implementation and operational efficiencyCustomer Service Manager & Medical Coordinator | 2016-2017NEOGENIA Ltd.- Managed international client services and medical coordination- Provided interpretation services and translation of medical documents- Facilitated visa support and business negotiations- Coordinated operations between clients and medical facilitiesTranslator/Interpreter | 2012-2016Translation Agency ""Antey""- Delivered high-quality translations across diverse subject areas- Provided interpretation services for English and Spanish languages- Translated official documents and business correspondenceFreelance Professional | 2008-Present- Managed multiple web development projects- Provided translation and interpretation services for private clients- Collaborated with luxury brands including Luxe Cube- Tutored English (since 2008) and Spanish (since 2012)SKILLS- Operations Management- Customer Service Excellence- Project Management (Scrum, Agile, Kanban)- Project Management Tools: Jira, Trello, YouTrack- G-Suite Proficiency- Software: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Microsoft OfficeCERTIFICATIONS- Deeply Practical Project Management (William Stewart PhD, PMP) - 2019- Event Management, Kyiv Advertising School - 2015- The First State Courses of Foreign Languages (English)- Award for 1st Place in Spanish Poetry Translation Competition- Participant, 1st Ukrainian Scientific and Practical Conference of Young Scientists"
38,"Here's your improved resume, maintaining the same facts while enhancing presentation:PROFESSIONAL EXPERIENCEPROJECT MANAGER & CEO ASSISTANTUkrainian Corporate Governance Academy (UCGA) | March 2022 - November 2022• Led strategic project planning and execution, including scope definition and schedule management• Streamlined organizational spending and resource allocation, enhancing operational efficiency• Orchestrated board of directors reporting and prepared comprehensive presentations• Facilitated daily meetings and managed cross-functional team initiatives• Established and tracked long-term organizational objectives• Conducted project retrospectives and implemented performance improvement measures• Developed and maintained project documentation and resource requirementsDATA COLLECTION TEAM LEAD & OPERATIONS MANAGERDattalion (Volunteer Position)• Spearheaded development and implementation of operational policies and data collection protocols• Managed team of data collection managers, including recruitment and onboarding• Established quality control systems and monitored key performance indicators• Directed strategic planning and operational objective setting• Coordinated with stakeholders including Partners, Donors, and Co-Founders• Supervised budget management, including review and approval of operational expenses• Fostered positive team environment while ensuring compliance with internal regulations• Conducted performance analysis and strategic problem-solving initiativesRESEARCHER & ANALYSTHCM International Ltd. | January 2019 - February 2022"
39,"EDUCATIONBeihang University of Aeronautics and AstronauticsNavigation, Guides and Control Specialty (2015-2018)• Head of Education Department (2018)• Scholarship recipient for outstanding performance and activities (2016)State Flight Academy of Ukraine/Kirovograd Flight AcademySpecialist Degree (equivalent to Master's), 2013Bachelor's Degree, 2012PROFESSIONAL EXPERIENCETUS HOLDING Ltd.Intern (March 2018 - Present)Research Experience• Led research on micro drone implementation in urban environments and altitude control systems (2017)• Conducted experiments comparing 2D-scanning lasers with camera sensors for UAV obstacle detection (2017)• Researched air traffic management patterns focusing on operator activity during service delays (2012-2013)Publications & Presentations• Presenter, International Conference: ""Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace"" (2017)• Contributor, ""Introduction to Multicopter Design and Control"" book publication (2017)• Co-author, ""An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle"" (2016)TECHNICAL SKILLS• Programming: HTML, SQL, Matlab, Python• Software: MS Office, Mac Office, Mantis, Leader Task• Design: Photoshop, Corel, 3D Max, Cura, Meshmixer• Operating Systems: iOS, Windows, Linux• Cloud Systems and Office EquipmentLANGUAGES• Ukrainian, Russian (Native)• English (Advanced - TOEFL 96, ICAO Level 4)• Chinese (HSK3)• Spanish (Pre-intermediate)"
40,"PROFESSIONAL SUMMARYVersatile professional with dual degrees and Cambridge C1 certification, demonstrating expertise in project management, team leadership, and IT education. Proven track record in transforming underperforming teams and achieving notable results in competitive environments.PROFESSIONAL EXPERIENCEProject Manager & Co-founderMobile App Startup• Led cross-functional teams using Agile methodologies• Managed project lifecycle using JIRA and other project management tools• Developed and executed comprehensive project plans• Maintained project documentation and operational activitiesIT English Teacher & Key Clients Manager• Conducted specialized IT English training sessions• Managed key client relationships and negotiations• Transformed underperforming teams into successful units• Achieved second place in PM competition despite no prior IT backgroundPR Manager & Content Creator• Performed PR management responsibilities• Created content as writer, copywriter, and translator• Maintained documentation and client communicationsTECHNICAL SKILLS• Project Management Tools: JIRA, Trello, ROADMAP• Methodologies: Agile, Scrum, Kanban, Scrumban, Waterfall• SDLC Knowledge• Documentation Management• Organizational EffectivenessEDUCATION• Two Higher Education Degrees• Cambridge English Certificate (C1 Level)LANGUAGES• English: C1 Level (Cambridge Certified)"
41,"PROJECT MANAGERProfessional Summary:Results-driven Project Manager with proven experience in managing multiple IT projects simultaneously while ensuring timely delivery within budget constraints. Demonstrated expertise in team leadership, client relationship management, and implementing various project management methodologies.Core Competencies:• Project Management & Delivery• Team Leadership & Coordination• Client Relationship Management• Requirements Gathering & Analysis• Documentation & Process Implementation• Remote Team Management• Resource Allocation & PlanningProfessional Experience:Project Manager• Successfully managed 2-3 concurrent projects, ensuring on-time delivery within budget parameters• Implemented comprehensive project management processes utilizing Waterfall, Agile, Kanban, and Scrum methodologies• Led and coordinated design teams while prioritizing tasks and maintaining project timelines• Developed and maintained detailed project documentation and client communications• Conducted requirement analysis and provided strategic solutions to meet client objectives• Established and maintained strong client relationships through effective communication and expectation management• Performed quality assurance testing on deliverables before client presentationTechnical Skills:• Project Management Tools: Trello, WordPress• Communication Platforms: Slack• Business Software: Microsoft Office SuiteProfessional Skills:• Strategic Project Planning• Team Leadership• Client Communication• Risk Management• Quality Assurance• Process Optimization• Stakeholder ManagementPersonal Attributes:• Strong organizational and multitasking abilities• Detail-oriented with excellent problem-solving skills• Effective communication and conflict resolution expertise• Adaptable to fast-paced environments• Self-motivated with continuous learning mindsetCareer Objective:Seeking a Project Manager position in IT sector to leverage current skill set while pursuing professional growth opportunities in project management."
42,EDUCATIONTechnical Diploma - Junior Specialist• Completed practical tasks and projects involving hardware and software• Participated in student competitions demonstrating teamwork and problem-solving abilities• Currently pursuing higher educationTECHNICAL SKILLS• Basic programming knowledge• Web design fundamentals• Hardware and software experienceVOLUNTEER & PROJECT EXPERIENCEVolunteer Activities• Developed collaboration and organizational skills• Enhanced interpersonal communication abilitiesIndependent Projects• Self-taught programming and web design skills• Applied technical knowledge to personal projects• Actively participated in online courses and webinars for skill developmentCORE COMPETENCIES• Strong learning aptitude• Technical problem-solving• Team collaboration• Project coordination• Adaptability• Self-motivated learner• Communication skills• OrganizationPROFESSIONAL DEVELOPMENT• Ongoing participation in technology-focused webinars• Continuous self-study of emerging technologies• Active engagement in technical online courses
43,"PROJECT MANAGEMENT EXPERIENCEProject Lead - KidsAtSchool• Successfully delivered project presentation, exceeding stakeholder expectations• Demonstrated strong presentation and communication skillsProject Manager - UrbanUtopia (Party Planning Application)• Led development of youth-focused event planning platform with multi-channel notifications• Created comprehensive project documentation including:  - Project scope and requirements documentation  - Mind maps and WBS  - Project roadmap and backlog  - Critical path analysis  - Resource allocation and RACI matrix  - Risk management plans  - Stakeholder management  - Team building and management plans  - Budget and cost estimates  - Test plans and quality assurance  - Project closure documentationTechnical Skills:• Project Documentation• Stakeholder Management• Risk Management• Resource Planning• Budget Management• Agile/SCRUM Methodologies• Team LeadershipProjects Delivered:• Individual Project Management• Team-Based Project Management• Event Planning Applications• Educational Technology Solutions"
44,"PROFESSIONAL SUMMARYResults-driven Social Media Marketing Specialist with 3+ years of experience executing comprehensive digital campaigns and video production. Demonstrated success in developing data-driven social media strategies and managing creative teams. Expert in content creation, project management, and audience engagement across multiple platforms.PROFESSIONAL EXPERIENCEVideo Production Specialist (Freelance)2021-2022• Spearheaded video production projects for diverse portfolio of 25+ businesses across restaurant, real estate, education, and fashion industries• Orchestrated production of 50+ private events and created 10+ premium stock footage collections• Developed compelling scripts and creative concepts, ensuring alignment with client objectives• Conducted market research and trend analysis to optimize social media engagement• Managed project budgets while maintaining client relationships and clear communication channelsMarketing Manager | Houston Pub2020-2021• Led development and implementation of comprehensive marketing strategy and brand identity• Directed and coordinated cross-functional creative team of 4 professionals• Executed social media campaigns resulting in significant Instagram audience growth• Managed marketing budget while maintaining ROI targets• Created and implemented content calendars across social media platformsCORE COMPETENCIES• Social Media Strategy• Video Production• Project Management• Team Leadership• Budget Management• Content Creation• Client Relations• Market Research• Trend Analysis• Brand Development"
45,"PROFESSIONAL EXPERIENCEProject Manager | SkillmePro• Led end-to-end project documentation including briefs and technical requirements across multiple disciplines• Managed cross-functional teams including designers, developers, marketing specialists and copywriters• Oversaw project financials and delivered comprehensive project reports• Orchestrated successful webinar programs including content preparation and executionProject Manager/Account Manager | Taurus-Group• Managed complete logistics lifecycle for client portfolio• Supervised documentation process including customs, delivery and financial reporting• Led company's web project initiatives• Developed and executed webinar programsProject Manager (Internship) | Vinnytsia IT Academy• Developed technical requirements and managed project documentation• Facilitated team meetings and resource allocation• Coordinated task distribution and monitored execution• Managed client communications and reportingAssistant Project Manager/Account Manager | KNB-Studio (Kornienko-studio)• Supported full project lifecycle management for studio clients• Created comprehensive project documentation and technical requirements• Monitored project timelines and deliverables• Managed client relationships including feedback implementation• Coordinated team communications and project discussions• Led recruitment initiatives including interviews and internship managementThis reformatted version maintains all original information while presenting it in a more impactful, professional format. All responsibilities and experiences remain truthful to the original content."
46,"PROFESSIONAL EXPERIENCEAssistant Manager | Vogue Hotel Supreme Bodrum, Turkey | 2020-2022• Led Kids Club to achieve highest TripAdvisor rankings and reviews compared to 2020 season• Managed daily administrative operations, including scheduling, reporting, and staff performance reviews• Oversaw methodological, administrative, and financial decision-making processes• Conducted inventory management and warehouse operations• Implemented data-driven attendance monitoring systems• Directed recruitment, interviewing, and hiring processesHR Manager | Rainier Transportation Inc Logistics | 2019-2020• Managed end-to-end recruitment process for transportation personnel• Developed and executed media recruitment strategies• Conducted candidate interviews and documentation processing• Resolved complex loading/unloading operational challenges• Provided comprehensive telephone support servicesChief for Attendants | Vogue Hotel Supreme Bodrum, Turkey | 2015-2016; 2018-2019• Increased Kids Club popularity by 15% and staff productivity by 20%• Supervised animation team and daily activity scheduling• Conducted staff training and mentoring programs• Managed HR administration dutiesDirector | Beauty Salon, Ukraine | 2017-2018• Developed brand identity, marketing strategies, and customer loyalty programs• Established supplier relationships and inventory management systems• Oversaw financial operations and cash flow management• Maintained customer database and resolved service issuesProject Manager | StartUp «Babyliss», Ukraine | 2016-2017• Led brand development and marketing initiatives• Managed supplier relationships and product development• Supervised cost management and team operations• Administered HR functionsAccountant | Multiple Companies, Ukraine | 2012-2015• Managed financial operations and banking transactions• Prepared management financial reports• Administered accounting and tax documentation• Supported international trade operations• Conducted supplier and customer reconciliations• Maintained primary documentation"
47,"PROFESSIONAL SUMMARYResults-driven entrepreneur and project manager with proven experience in business development, logistics, and humanitarian initiatives. Demonstrated success in establishing and scaling operations, managing cross-cultural projects, and leading community-focused initiatives. Seeking to transition skills into IT project management.PROFESSIONAL EXPERIENCEFounder & Project Manager, Meest Postal-Logistics DepartmentsNetishyn & Slavuta | June 2020 - Present• Established and manage two postal-logistics departments• Oversee operations and supervise team of 7 employees• Direct daily logistics operations and customer serviceHumanitarian Project CoordinatorUkraine | February 2022 - Present• Coordinated fundraising initiatives resulting in $40,000 in military support• Managed production and distribution of essential wartime supplies• Developed and executed international awareness campaigns• Facilitated aid distribution for displaced personsCo-founder, Eco-FarmNetishyn | September 2017 - December 2021• Co-established and managed agricultural business operationsElection Campaign LeaderNetishyn | February 2019 - October 2020• Led local campaign operations for Presidential, Parliamentary, and local electionsInternational Aid Project ManagerUkraine-Finland | April 2012• Managed logistics for 15-ton medical equipment donation• Coordinated cross-border humanitarian aid distributionEDUCATIONBachelor's Degree in Environmental EngineeringTampere University of Applied Sciences, Finland | 2011-2015Exchange Program: Spatial Planning and Environmental ManagementDublin Institute of Technology, Ireland | 2013LOCATIONBased in Netishyn, Ukraine | Open to relocation"
48,"PROFESSIONAL EXPERIENCEProject Manager - VR WorkplaceGlobal Communications Platform Development• Led development of innovative virtual office platform enabling seamless collaboration across distributed global teams• Spearheaded crisis management initiatives resulting in rapid project recovery and implementation• Implemented robust project tracking system optimizing timeline adherence and budget management• Established performance evaluation framework enabling proactive problem identification and resolution• Maintained strategic communication channels between development teams, management, users and stakeholders• Designed and executed risk management strategies ensuring consistent project performance metrics• Automated monitoring and reporting workflows, reducing reporting time by 30% while increasing data accuracy• Delivered high stakeholder satisfaction through excellence in project execution and requirements fulfillmentCORE COMPETENCIES• Project Crisis Management• Stakeholder Communication• Risk Management• Process Automation• Performance Optimization• Virtual Collaboration• Project Tracking Systems• Team Leadership"
49,PROFESSIONAL EXPERIENCESocial Marketing Manager - Art and Health HUB by ZELOJanuary 2023 - Present• Developed and executed strategic social media campaigns resulting in 30% increase in event registrations• Implemented customer support system optimizing response times across social platforms• Create and manage content strategies across Facebook and Instagram to drive engagement• Lead influencer partnership initiatives and community management• Monitor analytics to optimize campaign performance and ROI• Develop compelling copy and maintain brand voice across social channelsHead of Branch - PrivatBankSeptember 2015 - December 2022• Achieved 90% customer satisfaction rate through proactive issue resolution and service excellence• Led branch operations and ensured regulatory compliance across all processes• Provided strategic financial guidance to micro-business clients to foster long-term relationships• Managed relationships with legal entities and individual clients• Supervised branch staff and optimized operational workflows• Maintained compliance with banking regulations and quality standardsProject LeadershipTeam Lead - BabyHealthyBite Mobile App Project• Developed comprehensive project roadmap and organizational structure• Created project backlog and managed budgeting processes• Designed value proposition and customer journey mapping• Established project scope of work (SOW) and deliverablesCORE COMPETENCIES• Project Management & Team Leadership• Strategic Planning & Execution• Stakeholder Communication• Social Media Strategy• Customer Relationship Management• Process Optimization• Cross-functional Team Coordination• Analytics & Performance Tracking
50,"Here's your enhanced resume with the same core content, restructured for better impact:Web Development Project Specialist• Led collaborative efforts in website development for legal consulting platform, working directly with development team• Contributed to website design decisions and user interface optimization• Developed logical architecture and workflow structure for website operations• Managed client database and resource administration• Oversaw case management system and workflow trackingPro Bono Lab Manager - Ukrainian Access to Justice School of Practice• Managed end-to-end operations of Pro Bono Lab platform• Connected NGOs with pro bono legal support from law firms and audit businesses• Facilitated partnerships between social initiatives and legal professionalsE-Learning Course Development Lead• Spearheaded development of comprehensive learning program for social initiatives and NGOs• Conducted needs assessment research to identify priority topics for social initiatives• Recruited and coordinated with legal and audit industry experts• Designed course structure and learning modules• Created practical test cases for skill assessment• Supervised video production for course content• Managed initial cohort of 30 participants• Successfully converted course materials into SCORM format for LMS integration"
