id,GPT4o-mini
26," Hello! I am a self-motivated designer seeking a full-time UI/UX designer position. I completed web designer courses at KAMA and participated in design marathons organized by IT schools.I have freelancing experience, including a project for the Employment Abroad agency where I was responsible for the brief, terms of reference, prototype creation, and interface design.My experience includes creating:- Landing pages- Adaptive design for mobile and web interfaces- Basic animation in Figma- Prototyping- UI kitI have 4 years of experience as a graphic designer. In the past 2 years, I worked for a company where my main responsibilities included:- Graphic support of content for social networks- Development of creatives for targeting- Design and prepress preparation of print materials according to the brand book- Concept development and layout of catalogs- Photo retouching- Website redesign, including graphic content such as adaptive banners and icons, as well as content selectionSoftware Skills:- Figma- Adobe Photoshop- Adobe Illustrator- Tilda"
27,"           ---PROFESSIONAL SUMMARY  Dynamic UI/UX Designer with substantial experience in managing full-scale advertising projects and creating user-centric designs. Demonstrated ability to lead teams and deliver high-quality projects that meet client needs while enhancing user experience.---PROFESSIONAL EXPERIENCE  UI/UX Designer       – Present  - Collaborate on various projects focused on advertising and printing products.  - Continuously enhance design skills and processes through ongoing professional development.  Team Leader  Webservice Project  - Led the design and development of a medical web service for finding and making appointments with doctors.  - Developed user interfaces for patients, doctors, and online consultations, ensuring convenience and usability.  - Created adaptations for tablet and mobile devices to enhance access across platforms.  Team Leader  Redesign Project  - Managed the full design cycle for the complete redesign of a sports bar website.  - Updated outdated design and usability to create a modern, user-friendly experience with table booking functionality.  - Ensured the responsive design was fully optimized for mobile and tablet platforms.  ---SKILLS  - UI/UX Design  - Project Management  - Responsive Design  - User Interface Development  - Team Leadership  - Design Software Proficiency  ---EDUCATION          ---  INTERESTS  Seeking new acquaintances, engaging projects, and a collaborative team environment.  ---  "
28,"             ---Objective  Aspiring Junior UI/UX Designer seeking a position within a collaborative team that offers mentorship and opportunities for professional growth.---Experience  Freelance Designer  Date – Present  - Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, to promote digital transformation to the mayors of Ukraine's large cities.  ---Skills  - Proficient in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping)  - Proficient in WebFlow (CMS, responsive design, animations, publishing, integrations)  - Experienced in creating UI kits and working with design systems  - Strong visual skills validated by former manager and mentor  - Experienced in stakeholder and user interviews  - Experienced in user testing  - Basic knowledge of HTML/CSS and Bootstrap  - Attention to detail with the ability to generate and propose innovative ideas  ---Domains of Expertise  - UI design for clothing shop (web and mobile app), dentistry, public transport app, electronic document management system  - UX and UI design for pizza delivery and recruitment/job board sites  ---Education        ---  References  Available upon request.  "
29," Junior UI/UX DesignerI have a strong background in theory, and my experience in the pharmaceutical field enables me to focus on user needs and create user-centered designs. Through my training course, I successfully completed 5 projects, where I gained proficiency in creating mobile applications, landing pages, dashboards, web services, and website redesigns. I analyzed competitor sites, conducted surveys among potential users, and developed User Flow and Customer Journey Maps (CJM).Skills:- Proficient in Figma and Adobe Photoshop- Design expertise in landing pages, websites, and mobile apps- Strong core technical skills- Excellent soft skills, fostering effective teamwork and problem-solving- Energetic, organized, and a reliable communicator- Quick learner with a passion for acquiring new knowledge and tackling complex tasks- Committed to creating helpful and intuitive user interfaces to enhance user experienceOpen to internship or job offers.Projects Experience- PetDetective – Web Service  A platform designed to assist owners of lost animals in finding them faster, while also providing opportunities for volunteering in searches. Conducted competitor analysis and user interviews to identify essential features for convenient use. The service provides valuable information about animals and the actions to take when finding a lost pet.- Cucina di Catharina – Website Redesign  Updated the website for a homemade traditional Italian gravy. Structured the information, added high-quality photos, streamlined content, implemented a CTA button, and utilized a palette of accent colors.- Mobile App – PresentPerfect  Developed a mobile app that allows users to send personalized gifts with minimal effort. Utilized the Material Design System for this project, conducted competitor app analysis, and user interviews to determine necessary features for ease of use. Created user personas and user flow; the app includes over 40 screens with a focus on detail and animation.- Dashboard for IT School  Designed a dashboard for students and teachers at an IT school to display key metrics.- Landing Page – Timeless Home  Designed a landing page aimed at welcoming visitors, helping them explore our watches, and encouraging purchases or desired actions. Developed an intuitive user interface with a clear structure and effective visual emphasis to maintain user attention."
30,"             Objective  Motivated junior UI/UX designer with a strong background in theory and practical experience in the pharmaceutical field, focused on user-centered design. Eager to contribute skills in creating engaging mobile applications, landing pages, dashboards, and website redesigns.Skills  - Proficient in Figma and Adobe Photoshop  - Designing landings, websites, and mobile applications  - Strong core technical skills  - Effective team player and problem solver  - Energetic communicator with excellent organizational skills  - Quick and responsible learner with a passion for user interface design  Projects Experience  - PetDetective – Webservice    Developed a platform to assist owners in finding lost animals and enable volunteers to aid in searches. Conducted competitor analysis, user interviews, and identified essential functionalities for improved user experience.- Cucina di Catharina – Website redesign    Updated a website for a traditional Italian gravy business by restructuring content, enhancing visuals, and implementing a call-to-action button with an accent color palette.- Mobile app PresentPerfect    Created a mobile application enabling users to send personalized gifts effortlessly, utilizing the Material Design System. Conducted competitive analysis, user interviews, and crafted user personas and flows for a seamless experience, featuring over 40 animated screens.- Dashboard for IT School    Designed a dashboard to present key metrics for students and teachers in an IT school, enhancing the educational experience through informative displays.- Landing page Timeless Home    Developed an intuitive landing page aimed at welcoming visitors and guiding them toward making purchases, ensuring an engaging user interface with a well-structured layout.Career Goals  - Seeking opportunities for career growth in an environment focused on results and open teamwork  - Interested in remote or partially remote work options  - Values a corporate culture that emphasizes work ethics and acknowledges the contributions of every employee  "
31,"             Professional Summary  Dedicated and results-driven professional with over 4 years of management experience in the cruise industry, specializing in team leadership, employee training, and effective communication. Proven ability to drive financial performance while maintaining high levels of employee satisfaction. Seeking an entry-level position in HR where human capital is prioritized, and growth opportunities are available.Experience  Head of Department  Royal Caribbean and Celebrity Cruises    - Led teams of 10 to 25 employees, ensuring effective operations and high morale.  - Responsible for reaching financial targets and adjusting marketing strategies to align with business needs.  - Conducted training and development for new employees, facilitating smooth acclimatization and integration into the team.  - Managed work schedules, organized team activities, and addressed employee concerns to foster a positive work environment.  - Handled customer service issues proactively and reactively, ensuring all guests left satisfied with their experience.  - Cultivated strong relationships with ship’s officers, department heads, and shore-side management through professional communication.Intern      - Completed a 3-month internship specializing in Shopify web development, gaining exposure to IT project processes and client interactions.Skills  - Team Leadership  - Employee Training and Development  - Customer Service Excellence  - Business Communication  - Marketing Strategy Adjustment  - Scheduling and Operations Management  Education        References  Available upon request.  "
32,"           Professional Summary  Dedicated and passionate individual with experience in project management and organizing events in an international context. Proven ability to communicate effectively with stakeholders, analyze market trends, and develop project documentation. Eager to pursue personal and professional growth in a challenging environment.Experience  Project Manager        - Collaborated with a team to develop a smart weather station for paragliders, leading to successful project pitches and securing stakeholder interest.  - Communicated effectively with stakeholders to gather requirements and provide updates on project progress.  - Conducted market analysis to inform project development and strategy.  - Organized team meetings and created project documentation to ensure detailed tracking of project milestones.Event Organizer  AIESEC      - Organized various events and projects while working with a diverse group of individuals from multiple countries.  - Developed leadership skills through collaboration and effective communication within an international organization.Skills  - Project Management  - Market Analysis  - Stakeholder Communication  - Event Planning  - Coding  - Technology Proficiency  Education          Interests  - Personal and professional development  - Exploring new challenges in dynamic environments  "
33,"           Professional Summary  Creative and detail-oriented graphic and web designer with over 4 years of experience in developing corporate identities, designing printed materials, and managing projects. Possess strong communication skills and a background in psychology, enabling effective interaction with clients and team members. Proven ability to plan and implement design solutions from concept to completion.Education  Bachelor’s and Master’s Degrees in Graphic/Web Design (Technology of Electronic Multimedia Publications)  KhNEU S. Kuznets, Kharkiv, Ukraine  Professional Experience  Web and Graphic Designer  LOGOVO, Kharkiv, Ukraine  Feb 2019 – May 2020  - Developed corporate identity and designed printed products.  - Prepared files for print production.  - Created websites using WordPress.  - Designed advertising banners.  Content Manager  COZI.UA, Kharkiv, Ukraine  Aug 2020 – Sept 2020  - Organized and conducted photo shoots.  - Created photo and video content.  - Wrote scripts for client communication.  Trainee, Layout Maker  Newspaper «Kharkiv News», Kharkiv, Ukraine  Oct 2021 – Nov 2021  - Prepared layouts for printing.  - Processed illustrative material.  - Placed materials on the pages of the newspaper.  Skills  - Project management from start to finish  - Corporate identity creation and redesign  - Print design and preparation for production  - Website development (WordPress)  - Strong communication and interpersonal skills  - Problem-solving and risk management  - Basic knowledge of CSS/HTML  Additional Experience  - Participated in city competitions for logo design for the Department of Family, Youth, and Sports.  - Enjoy engaging in organizational processes and fostering collaboration among teams.  - Passionate about design and creating visually impactful printed materials.  "
34," Trainee Project Manager | Junior Project ManagerTrainee/Junior Project Manager with 1 year of experience in end-to-end delivery of commercial projects utilizing Agile practices (Scrum and Lean).Qualified interpreter with 2 years of experience across various fields, including military, IT, and humanitarian sectors.Managed a team of 6 translators and technical consultants to deliver a project on maintenance documentation for equipment valued at over $3,000,000 per unit, despite limited reference materials and a tight deadline.Ownership of a project on maintenance documentation resulted in a 2.5X reduction in lead time and the release of over 10,000 highly technical words in Ukrainian within just 8 days.Result-driven, highly organized, and structured with critical thinking, analytical, prioritization, and strong decision-making skills in fast-paced, high-stress environments.Recognized for excellent communication skills with stakeholders at all levels."
35,"           Professional Summary  Dedicated pharmacy professional with extensive experience in pharmacy operations, project management, and sales. Proven ability to enhance revenue, improve processes, and lead teams to achieve operational excellence.Experience  Head of Pharmacy  Pharmacy Chain ""Gamma-55""  July 2014 to August 2019  - Safely administered immunisations, travel medicine, medication therapy management and other specialty programmes.  - Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.  - Collaborated with health care professionals to monitor and evaluate medicine therapy quality and effectiveness.  - Trained and supervised technicians and sales assistants for smooth pharmacy operations.  Private Entrepreneur/Senior Sales Manager  Women's Clothing Chain  August 2019 to February 2022  - Customized customer experiences to build brand loyalty.  - Supervised work of contracted employees to deliver work on schedule.  - Met schedule using excellent planning and coordination skills.  - Explored and created new ways to resolve problems with processes, technology or team members to improve overall efficiency.  Trainee Project Manager  IT School IAMPM - Project Management Courses  March 2022 to August 2022  - Developed a detailed project plan to track progress.  - Used appropriate verification techniques to manage changes in project scope, schedule and costs.  - Performed risk management to minimize project risks.  - Created and maintained comprehensive project documentation.  - Experienced with tools: Miro, Product Plan, Jira, Confluence, Trello.  Achievements  - Promoted from pharmacist to head of pharmacy after 2 years of work.  - Managed busy schedules and sales plans resulting in a 10% increase in annual revenue.  - Trained and supervised technicians and sales assistants for smooth operations.  Skills  - Project Management  - Team Leadership  - Customer Relationship Management  - Revenue Growth Strategies  - Risk Management  - Process Improvement  - Effective Communication  "
36," Since my first education as a radiotechnical systems engineer, I gained experience working in a copper plant. I was involved in optimizing and automating the electrolysis system, which improved the efficiency and control of one of the main steps in the production of metal cathodes (thick copper wire). After transitioning to focus on management and optimization of business processes, I developed a new system for accounting and control at each stage of production.In my current role, I serve as an intermediary between technicians and clients to achieve successful outcomes in advertising campaigns, particularly in the ecommerce sector. I managed projects such as the sale of machinery in New Zealand and RadioDetails in India, where I developed tailored strategies that resulted in an average ROAS (revenue to cost ratio) of 700 percent per month. Building effective communication with both the team and clients allowed us to address key areas or products that required improvement, ultimately securing positive feedback.I have implemented three business processes in a building company and have management experience in business digitalization. I also have experience in the relocation of government medical structures to new software systems.TRENDO  Account Manager  July 2022 - Present  - Communicate with foreign clients  - Analyze advertising campaigns  - Report to clients  - Conduct sprint meetings with the project team  - Distribute tasks and deadlines among the project team  - Work in accordance with the Kanban methodology  - Set up sites with GTM  - Configure Universal and GA4 analytics  - Customize conversions for Google Ads  - Optimize Google Merchant rules  - Enhance Shopify performance  ZEZMAN  Junior Project Manager/Junior Business Analyst  September 2021 – April 2022  Odessa, Ukraine  - Create schedules and collect documents to guide projects and outcomes  - Communicate with stakeholders regarding scheduling, staffing, and technical requirements  - Organize the work of the Business Analytics Unit  - Plan large-scale projects for digitalization and electronic document management implementation  - Support business process implementation and optimization  ORCSSD  Administrative Manager (Project Sphere)  July 2020 - September 2021  - Create schedules and collect documents to guide projects and outcomes  - Translate metrics into actionable, meaningful intelligence  - Manage expectations and track risks and benefits  - Communicate with stakeholders about scheduling, staffing, and technical requirements  Vs Project  Junior Technical Project Manager  February 2020 - April 2020  - Own the full project life cycle: ensure successful delivery from initiation to deployment for major and minor initiatives  - Ensure projects are proceeding according to scope, schedule, budget, and quality standards  Government Projects  Trainee Project Manager  October 2019 - December 2019  - Plan, manage, and monitor project execution  - Deliver projects on time and within the allocated budget  "
37," Kyiv National Linguistic University (KNLU), Kyiv  Bachelor of Philology, Specialist in Translations (English)  2009 - 2013  Kyiv National Linguistic University (KNLU), Kyiv  Master of Arts in Translation (Diploma with Honours)  Speciality: Translation (English)  Philologist, Interpreter-Translator of English and Spanish  2013 - 2014  Additional Education and Certificates:  - Certificate of Completion, Course “Deeply Practical Project Management” by William Stewart PhD, PMP (2019)  - Certificate of the Kyiv Advertising School, Speciality in Event Management (2015)  - Certificate from the First State Courses of Foreign Languages (English)  - Certificate of Participation in the ""Days of Reading of the Novel 'Don Quixote,'"" signed by José Rodríguez Moyano, Ambassador of the Kingdom of Spain in Ukraine (2012)  - 1st Place Certificate in the Translation of Poetry Competition during the Days of the Spanish Language  - Certificate of Participation in the 1st Ukrainian Scientific and Practical Conference of Young Scientists  - Tutor of English (from 2008) and Spanish (from 2012)  Freelancing:  - Project Management for several web projects  - Interpreter for English and Spanish  - Cooperation with Luxe Cube Brand Company  - Cooperation with Spanish private individuals  Translation Agency ""Antey"":  Translation of texts in various thematic areas, interpretation, translation of documents from/to English and Spanish  2012 - 2016  NEOGENIA Ltd:  Customer Service Manager, Interpreter/Translator of Spanish and English, Medical Coordinator, Operations Management  - Medical coordination, consultation, and support of foreign clients in clinics and hospitals  - Correspondence and communication with foreign clients, translation of texts (including medical documentation)  - Support of clients, consecutive interpreting, business negotiations, visa support, sales management  January 2016 - August 2017  “IVF- GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center:  Operations Manager, Manager of International Affairs, Interpreter/Translator of Spanish and English, Customer Service Manager  - Medical program coordination, consultation, and support of foreign clients in clinics and hospitals  - Correspondence and communication with foreign clients, translation of texts (including legal and medical documentation)  - Support of clients, consecutive interpreting, business negotiations, sales management, Program Coordination Manager  September 2017 - Present  Skills:  - Customer Operations Manager, Conflict Management (over 4 years)  - Project Management: Basic understanding of web application development flow, control systems, project pre-sale, project estimations, costs, task management  - PM Methodology Experience: Scrum, Agile, Kanban  - PM Platforms: Jira, Trello, YouTrack  - Experience in Working with G-Suite  - Basic Knowledge: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10  "
38," Ukrainian Corporate Governance Academy (UCGA)  MAR 01, 2022 - NOV 30, 2022  Position: Project Manager & CEO Assistant  Tasks:  - Keeping track of project progress  - Participating in daily meetings  - Scope & schedule planning  - Organizing & managing meetings for current/new initiatives  - Assisting the team with ongoing tasks during the project  - Documenting the resources required to achieve project objectives  - Conducting research required for any initiatives  - Optimizing and managing organizational spending  - Preparing meeting follow-ups and presentations  - Leading reporting to the board of directors on completed tasks  - Conducting retrospectives with the team  - Monitoring the development of long-term goals for the company  Dattalion (Volunteering)  Data Collection Team Lead & Operations Manager  Tasks:  - Developing, implementing, and reviewing operational policies and procedures, and writing data collection guidelines  - Onboarding new data collection managers  - Monitoring compliance with internal regulations and overseeing the data collection process  - Formulating strategic and operational objectives, performing quality controls, and monitoring KPIs  - Collaborating with Partners, Donors, Co-Founders, and other Managers  - Participating in weekly meetings to understand the project state and needs  - Leading, motivating, and supporting the team while maintaining a positive environment  - Identifying, addressing problems, and recognizing opportunities for the project  - Examining and managing budget usage  - Conducting budget reviews and reporting cost plans to upper management  - Reviewing and approving all operational invoices, ensuring timely submission for payment  HCM International Ltd.  Researcher & Analyst  JAN 2019 - FEB 2022  "
39,"           ---EDUCATION  State Flight Academy of Ukraine  Bachelor’s Degree in   Graduated: June 2012  Kirovograd Flight Academy, National Aviation University of Ukraine  Specialist Degree (Equivalent to Master’s Degree)  Graduated: July 2013  Beihang University of Aeronautics and Astronautics  Specialty in Navigation, Guides, and Control  Enrolled: September 2015  ---EXPERIENCE  Research in Air Traffic Management Class  Researcher  December 2012 - June 2013  - Conducted research on “Patterns of activity of operators in the system of air navigation services in case of delays.”  Conference Paper Publication  Co-author  May 2016  - Published “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle” in collaboration with Zheng Shuai-Yong.  Scholarship Award  Recipient  December 2016  - Awarded scholarship for outstanding behavior and activity participation at Beihang University.  Micro Drone Concepts Development  Founder  January 2017  - Initiated concepts for micro drone flights in city environments, altitude control for low-altitude operations, and offline local map creation for commercial use.  Book Publication  Contributor  June 2017  - Contributed to “Introduction to Multicopter Design and Control” published by our laboratory under Professor Quan Quan.  International Conference Presentation  Presenter  October 2017  - Presented paper “Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace” at an international conference.  Experimental Project Involvement  Researcher  November 2017  - Participated in the project comparing 2D-scanning lasers and camera sensors for obstacle detection and avoidance in light UAVs.  Head of Education Department  Beihang University  January 2018 - Present  Internship  TUS HOLDING Ltd.  March 2018  ---LANGUAGES  - Ukrainian: Native  - Russian: Native  - English: Advanced (TOEFL 96, ICAO 4)  - Chinese: HSK3 (continuing studies)  - Spanish: Pre-Intermediate (available to further study)  ---ADDITIONAL SKILLS  - Operating Systems: iOS, Windows, Linux  - Software: MS Office, Mac Office  - Task Management Programs: Mantis, Leader Task  - Graphic Editing: Photoshop, Corel  - 3D Printing Applications: 3D Max, Cura, Meshmixer  - Programming Languages: HTML, SQL, MATLAB, Python  - Proficient in file sharing and cloud systems  - Knowledgeable in office equipment  - Social Media: Facebook, Twitter, Instagram, WeChat  "
40,"           ---Objective  Dedicated and motivated professional seeking to join a friendly and dynamic team that values passion for learning and collaboration.---Education  -   -   - Cambridge Certificate in English (C1)---Professional Experience  Co-Founder   – Present  - Co-founded a mobile app startup focusing on user engagement and market needs.  - Managed day-to-day operations and coordinated team activities to achieve project goals.IT English Teacher   – Present  - Developed and delivered English language courses tailored for IT professionals.  - Conducted trainings and workshops to enhance language skills among students.Key Clients Manager    - Managed key client relationships and ensured high levels of customer satisfaction.  - Developed tailored solutions based on client needs and feedback.PR Manager    - Crafted and executed public relations strategies to enhance brand visibility.  - Collaborated with cross-functional teams to ensure cohesive messaging.Content Writer / Copywriter / Translator   – Present  - Produced high-quality content and translations for various clients.  - Developed compelling narratives to support marketing and communication goals.---Skills  - Proficient in Agile methodologies: Scrum, Kanban, Scrumban, Waterfall.  - Understanding of organizational effectiveness and project management best practices.  - Knowledgeable in tools such as JIRA, Trello, and ROADMAP.  - Strong grasp of the Software Development Life Cycle (SDLC) and project planning.  - Exceptional ability to motivate and rally teams, fostering a collaborative atmosphere.  - Negotiation skills with experience in maintaining documentation and organizing projects.  - Fluent in English (C1), with a Cambridge certificate.---Achievements  - Achieved 2nd place in a project management competition despite lacking an IT background. Demonstrated dedication to learning and overcoming challenges.---Personal Attributes  - Passionate learner with a strong desire to grow professionally.  - Values a pleasant team atmosphere and collaboration among passionate professionals.  - Committed to contributing to a company that recognizes effort and potential over experience."
41,"             Objective  Seeking a Project Manager position in the IT sphere to work on interesting projects and enhance my skills in project management.Professional ExperienceProject Manager       – Present  - Implemented various projects with a focus on complexity and specificity, adhering to budget constraints and required timelines.  - Managed multiple projects concurrently, assigned tasks to staff, and ensured task completion.  - Collaborated with diverse projects and clients, broadening my understanding of different needs and expectations.  - Enhanced productivity and efficiency in work output.  - Practiced self-organization as a remote employee.  - Developed client interaction skills through extensive engagement with various clients.  - Gained thorough understanding of the project management process and development life cycle.  - Managed customer expectations effectively, ensuring clear communication both written and verbal.  - Conducted research and gathered all necessary information regarding potential clients.  - Authored and maintained comprehensive project documentation.  - Identified customer requirements and goals to propose optimal solutions and provide recommendations.  - Ensured effective communication with clients regarding project timelines.  - Led team coordination with a focus on task prioritization and accountability.  - Facilitated, coordinated, scheduled, and managed the design team effectively.  - Managed 2-3 projects simultaneously while maintaining quality standards.  - Conducted preliminary testing of completed tasks to ensure quality assurance.  - Built and maintained strong, long-lasting relationships with customers.  - Demonstrated strong communication skills and accountability for my own work.  Skills  - Project Management  - Methodologies: Waterfall, Agile, Kanban, Scrum  - Team Management  - Sales  Programs  - Microsoft Office  - WordPress  - Trello  - Slack  Personal Skills  - Communication  - People Motivation  - Conflict Resolution  - Fast-Paced Environment Adaptability  - Task and Project Management  - Hardworking, Highly Organized, and Detail-Oriented  - Commitment to Professional Development  Education          Certifications      References  Available upon request."
42,"           Objective  Motivated individual with a diploma of a junior specialist in a technical specialty, eager to leverage foundational knowledge of technical processes and a strong desire to learn and grow in a technology-related field.Education  Diploma of a Junior Specialist in a Technical Specialty      Skills  - Basic understanding of technical processes  - Strong problem-solving abilities  - Effective teamwork and collaboration  - Communication and organization  - Self-taught programming and web design  - Active engagement in online courses and webinars  Experience  - Participated in student competitions, gaining experience in teamwork and complex problem-solving.  - Engaged in volunteer activities, developing skills in cooperation, communication, and organization.  - Independently studied programming, web design, and other technological skills, which contributed to personal project development.  Future Aspirations  - Eager to continue my education and pursue higher academic qualifications.  - Committed to developing technical skills and making a positive contribution to future projects and assignments.  Conclusion  Dedicated to learning and growth, with a strong belief in the value of hard work in achieving success in my future career within the technology sector."
43,"           ---Professional Summary  Motivated project manager with experience in leading innovative applications and thorough documentation processes. Proven ability to deliver results beyond expectations through strategic planning and team collaboration.---Experience  Project Manager  Kidsatschool    - Successfully delivered a presentation for the Kidsatschool project, achieving results beyond expectations.  UrbanUtopia    - Developed a party application that caters to youth and teenagers, facilitating the discovery and organization of parties and events.  - Key features included:    - Party and event discovery for users.    - Tools for users to organize their own events and connect with potential attendees.    - Notifications and updates through multiple channels, including Telegram, Email, Phone, and in-app notifications.  Documentation and Project Management  - Created comprehensive project documentation, including:    - Project Mind Map    - Work Breakdown Structure (WBS) Mind Map    - Road Map    - Backlog Management    - Project Data and Critical Path Analysis    - Estimations and Budgeting    - Ground Rules and Team Building Activities    - Candidate Questionnaires    - Project Management Reports    - Risk Assessment and Mitigation Plans    - Client Inquiry Questions    - RACI Matrix    - Schedule Tracking Tools    - SCRUM Events Management    - Statement of Work (SOW)    - Stakeholder Register    - Team Schedule Management Plan    - General Budget Overview    - Fixed Price Schedule and Cost Estimates    - Test Planning    - Project Closing Checklist  ---Skills  - Project Management  - Team Leadership  - Strategic Planning  - Risk Management  - Documentation and Reporting  - Effective Communication  - Event Planning and Coordination  ---Education        --- Certifications        --- References  Available upon request."
44," Creative and goal-oriented specialist with over 3 years of experience in social media marketing, video production, and creative project management. Proficient in developing social media strategies and content calendar concepts based on trends and a creative approach. Adept at managing and prioritizing multiple projects in a fast-paced environment. Collaborative team player with strong relationship and time management skills.Video Production (Freelance)  2021-2022  - Executed video production for 25+ businesses (restaurants, real estate, educational institutions, fashion, etc.), 50+ private events, and 10+ stock footage projects in collaboration with a video operator.  - Conducted script writing and concept development for videos.  - Provided market research, tracked trends, and enhanced engagement through video on clients' social media platforms.  - Maintained transparent communication with clients.  - Managed budgets for projects.  Houston Pub  2020-2021  - Developed marketing strategy and branding in collaboration with a graphic designer.  - Produced marketing roadmap and managed a team of 4 (designers, photographer, video operator).  - Oversaw social media management.  - Communicated with target audience to grow Instagram following and increase engagement.  - Managed budget.  "
45," Vinnytsia IT Academy  Internship Project Manager  - Prepared technical requirements for the project and documented requirements.  - Organized team meetings to facilitate communication and collaboration.  - Assigned tasks to team members and monitored their progress.  - Prepared reports for customers and organized meetings with them.Taurus-Group  Project Manager / Account Manager  - Supported clients throughout all stages of the logistics process.  - Controlled payments and prepared reports, customs, and delivery documentation.  - Oversaw the company's web projects.  - Prepared presentations for webinars and organized webinars.SkillmePro  Project Manager  - Prepared project documentation including project briefs and technical requirements for various team members.  - Assigned tasks for projects and supervised their implementation by team members.  - Controlled payments and prepared project reports.  - Prepared presentations for webinars and organized webinars.KNB-Studio (Kornienko-studio)  Assistant to Project Manager / Account Manager  - Supported studio clients throughout all stages of the project.  - Prepared project documentation including project briefs and technical requirements for various team members.  - Assigned tasks for projects and monitored their implementation by team members.  - Determined deadlines for task completion and controlled adherence to deadlines.  - Coordinated all work with clients, addressed objections, and documented necessary edits while preparing technical requirements for the team.  - Controlled payments, prepared project reports, and processed client feedback on project tasks.  - Participated in team meetings and project discussions.  - Organized the recruitment process for the studio including conducting interviews and overseeing internships."
46," Vogue Hotel Bodrum  Assistant Manager  2020 - 2022  - Led a team resulting in the Vogue Hotel Bodrum Kids Club receiving top reviews and rankings on TripAdvisor for the 2020 season.  - Managed day-to-day administrative activities including schedules, reports, surveys, and staffing.  - Made decisions on methodological, administrative, and financial issues.  - Conducted inventory of goods in the warehouse.  - Gathered, analyzed, and monitored attendance data.  - Handled recruitment processes including searching, attracting, selecting, and interviewing candidates.  Vogue Hotel Bodrum  Chief Kids Club  2018 - 2019  - Increased the popularity of the Kids Club by 15% in 2019.  - Improved animator productivity by 20%.  - Promoted to a supervisor position due to outstanding performance.  Vogue Hotel Supreme Bodrum, Turkey  Assistant Manager  2020 - 2022  - Planned, organized, and managed all day-to-day administrative activities ensuring smooth operations.  Rainier Transportation Inc  HR Manager  2019 - 2020  - Responsible for recruiting drivers for transportation of goods.  - Posted job vacancies in various media outlets.  - Conducted candidate interviews and managed document collection.  - Addressed issues arising during loading and unloading processes.  - Provided telephone support.  Vogue Hotel Supreme Bodrum, Turkey  Chief for Attendants  2015 - 2016; 2018 - 2019  - Managed animator duties and organized daily activities and schedules.  - Conducted staff training and mentoring sessions.  - Oversaw HR administration tasks.  Beauty Salon, Ukraine  Director  2017 - 2018  - Developed branding, including name and logo.  - Created loyalty programs and searched for suppliers.  - Managed accounting and HR administration.  - Maintained customer database and managed cash flow.  - Resolved customer-related issues.  StartUp «Babyliss», Ukraine  Project Manager  2016 - 2017  - Maintained primary documentation and developed branding.  - Sourced fabric suppliers and created clothing prints.  - Controlled costs and managed subordinate duties.  - Handled HR administration.  LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine  Accountant  2012 - 2015  - Assisted the director as per instructions and utilized specialized accounting software.  - Managed cash flow and banking operations.  - Handled HR administration and prepared financial reports.  - Conducted accounting and tax accounting tasks.  - Supported foreign trade activities and reconciled accounts with suppliers and customers.  - Maintained primary documentation and analyzed accounts receivable and payable.  "
47,"           ---Professional Summary  Results-driven project manager with experience in logistics, community organization, and fundraising. Proven ability to lead teams and manage multiple projects effectively. Seeking to transition into the IT field to leverage management skills and drive successful project outcomes.---Experience  Self-Made Business  Postal Delivery   - Present  - Manage operations and oversee a team of 7 employees in a postal delivery business.Volunteer during the Russian War Against Ukraine  Feb 2022 - Present  - Collect funds for the Ukrainian army, successfully raising $40,000.  - Produce trench candles and coordinate the forwarding of assistance to displaced individuals.  - Drive awareness through social media campaigns, sending postcards to global leaders to encourage international support for Ukraine.Founder, “Meest” Postal-Logistic Departments  Netishyn & Slavuta  June 2020 - Present  - Establish and manage postal-logistic operations to enhance service efficiency and customer satisfaction.Co-Founder, “Eco-Farm”  Netishyn  Sep 2017 - Dec 2021  - Collaborated in the creation of an eco-farm, focusing on sustainable practices and community engagement.Leader, Ukraine’s Presidential, Parliamentary & Local Elections  Netishyn  Feb 2019 - Oct 2020  - Directed election initiatives and community outreach to increase voter turnout and awareness.Organizer, Charity Project Between Finland and Ukraine  Apr 2012  - Coordinated the logistics for delivering 15 tons of medical equipment to support healthcare for individuals with limited abilities and local hospitals.---Education  Bachelor Degree in Environmental Engineering  Tampere University of Applied Sciences, Finland  2011 - 2015  “Spatial Planning and Environmental Management”  Dublin Institute of Technology, Ireland (Erasmus exchange)  2013  ---Skills  - Project Management  - Team Leadership  - Fundraising  - Community Engagement  - Logistics Coordination  - Social Media Campaigns  ---Additional Information  - Residing in Netishyn; open to relocation for career opportunities.  - Eager to develop and learn in the IT sector, with a strong willingness to apply management experience to technological projects."
