id,GPT-3.5-Turbo
37,"
 Kyiv National Linguistic University (KNLU), Kyiv (Bachelor), from 2009 to 2013.
Degree: philology, specialist of translations (English). 
Kyiv National Linguistic University (KNLU), Kyiv (Master- Diploma with honours), from 2013 to 2014.
Speciality: “Translation (English) - Master of Arts (Translation), philologist, interpreter- translator of the English and the Spanish languages.
Additional education and certificates:
- Certificate of completion of the Course “Deeply Practical Project Management” by William Stewart PhD, PMP (2019)
- Certificate of the Kyiv Advertising School in the specialty “Event Management” (2015)
- «The First State Courses of Foreign Languages» Certificate (English).
- Certificate of participation in the ""Days of reading of the novel "" Don Quixote "", signed by José Rodríguez Moyano, the Ambassador of the Kingdom of Spain in Ukraine (2012).
- Certificate of the 1st place in the translation of poetry competition during the Days of the Spanish language.
- Certificate of participation in the 1st Ukrainian scientific and practical conference of young scientists.
- Tutor of the English (from 2008) and the Spanish (from 2012) languages.
- Freelancing. Project Management (several web projects). Interpreter of English and Spanish. Cooperation with the Luxe Cube brand company. Cooperation with Spanish private individuals.
- Translation agency ""Antey"". From 2012 to 2016 Translation of texts of different thematic areas, interpretation, translation of documents from / into English and Spanish.
- NEOGENIA Ltd. From 2016 (January) to 2017 (August) Customer service manager. Interpreter/translator of Spanish and English. Medical coordinator. Operations Management. Medical coordination, consultation and support of foreign clients at clinics and hospitals. Correspondence and communication with foreign clients, translation of texts (including medical documentation). Support of clients, consecutive interpreting, business negotiations, visa support, sales management.
- “IVF- GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center. From 2017 (September) to present Operations Manager. Manager of International Affairs. Interpreter/translator of Spanish and English. Customer service manager. Medical program coordination, consultation and support of foreign clients at clinics and hospitals. Correspondence and communication with foreign clients, translation of texts (including legal and medical documentation). Support of clients, consecutive interpreting, business negotiations, sales management. Program Coordination Manager.
SKILLS Customer Operations Manager, Conflict Management (over 4 years) Project Management: basic understanding of web application development flow, control systems, project pre-sale, project estimations, costs, task management. PM Methodology Experience: Scrum, Agile, Canban PM Platforms: Jira, Trello, YouTrack Experience in working with G-suite Basic Knowledge: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10.
"
38,"
 Ukrainian Corporate Governance Academy (UCGA) MAR01 2022 - NOV30 2022
Position: Project manager & CEO assistant 
Tasks: 
- Tracking project progress
- Participating in daily meetings
- Planning scope & schedule
- Organizing & managing meetings for current/new initiatives
- Assisting the team with ongoing tasks during projects
- Documenting resources required to achieve project objectives
- Conducting research for initiatives
- Optimizing and managing organizational spending
- Preparing meeting follow-ups and presentations
- Reporting tasks completed to the board of directors
- Conducting retrospectives with the team
- Tracking long-term goals of the company

Dattalion (Volunteering)
Position: Data Collection Team Lead & Operations Manager
Tasks: 
- Developing, implementing, and reviewing operational policies and procedures
- Writing data collection guidelines
- Onboarding new data collection managers
- Monitoring compliance with internal regulations and overseeing data collection process
- Formulating strategic and operational objectives
- Performing quality controls and monitoring KPIs
- Working with partners, donors, co-founders, and other managers
- Participating in weekly meetings to understand project state and needs
- Leading, motivating, and supporting the team to maintain a positive environment
- Identifying and addressing problems and opportunities for the project
- Examining and managing budget usage
- Conducting budget reviews and reporting cost plans to upper management
- Reviewing and approving all operational invoices to ensure they are submitted for payment

HCM International Ltd., Researcher & Analyst
JAN 2019 - FEB 2022
"
39,"
 SCIENTIFIC CHRONICLE  
June 2012 – Graduated from the State Flight Academy of Ukraine with a bachelor's degree.    
December 2012 – Passed ICAO English and Phraseology Exam at the 4th level.    
December 2012 - June 2013 – Conducted research on ""Patterns of activity of operators in the system of air navigation services in case of delays"" in Air Traffic Management class.    
July 2013 – Graduated from the Kirovograd Flight Academy of the National Aviation University of Ukraine with a Specialist degree (equivalent to a Master's degree).    
July 2015 – Scored 86 on TOEFL iBT Scaled Scores test (Intermediate level).    
September 2015 – Enrolled in Beihang University of Aeronautics and Astronautics specializing in Navigation, Guides, and Control.    
May 2016 – Co-published a conference paper with Zheng Shuai-Yong titled ""An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle"".    
December 2016 – Awarded a scholarship at Beihang University for outstanding behavior and participation in activities.    
January 2017 - Developed ideas for: Micro drones flights inside the city implementation in China, Altitude Control For Micro Small Drones Flying At The Low Altitudes Of The National Airspace, Offline Local Maps Creation For Micro Drones Outside Implementation For Commercial Use.   
June 2017 – Co-authored a book titled ""Introduction to Multicopter Design and Control"" under the supervision of Professor Quan Quan.  
October 2017 – Invited to present a paper on ""Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace"" at an International Conference.    
November 2017 – Participated in experiment project ‘Comparison of using the 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance’.    
January 2018 – Appointed as the Head of the Education Department at Beihang University.   
March 2018 – Intern at TUS HOLDING Ltd.
Languages: Ukrainian, Russian – native, English – Advanced, Chinese – HSK3, Spanish – pre-intermediate.

ADDITIONAL SKILLS:  
- Operating systems: IOS, Windows, Linux  
- Computer programs: MS Office, Mac Office  
- Task operational programs: Mantis, Leader Task  
- Graphic editors: Photoshop, Corel  
- 3D printing applications: 3D Max, Cura, Meshmixer  
- Computer languages: HTML, SQL, Matlab, Python  
- Proficient in file sharing and cloud systems  
- Knowledge of office equipment  
- Proficient in social networks: Facebook, Twitter, Instagram, Wechat
"
40,"
 - Holds two high educations
- Cambridge certificate recipient 
- Successfully led and motivated underperforming team
- Proficient in working with and motivating large groups towards success
- Transitioned into new profession with ease, embracing challenges
- Placed 2nd in Project Management competition, excelling despite lack of IT background 
- Co-founder of startup mobile app 
- IT English Teacher, Key clients manager, PR-manager, content writer, copywriter, translator 
- Proficient in Agile philosophy and modern IT project management methodologies such as Scrum, Kanban, Scrumban, Waterfall 
- Skilled in organizational effectiveness and project planning 
- Experienced in using JIRA, Trello, and ROADMAP 
- Knowledgeable in SDLC and documentation management 
- Effective in organizing people, conducting trainings, and negotiating 
- Fluent in English with C1 level Cambridge certificate 
- Seeks to work in a friendly and passionate team environment 
- Values opportunities for growth and learning in a professional setting
"
41,"
 - Successfully implemented various projects within budget and time constraints
- Managed multiple projects simultaneously, assigning tasks to staff and overseeing task completion
- Worked with a diverse range of projects and clients to expand my perspective
- Improved work efficiency and productivity through self-organization as a remote employee
- Developed skills in client communication, project documentation, and understanding customer expectations
- Coordinated with clients to determine project requirements and provide optimal solutions
- Experience in team coordination, task prioritization, and managing designers
- Conducted preliminary testing of completed tasks and maintained strong customer relationships
- Proficient in project management methodologies (Waterfall, Agile, Kanban, Scrum) and team management
- Skilled in Microsoft Office, WordPress, Trello, and Slack
- Strong communication, motivation, conflict resolution, and time management abilities
- Seeking a Project Manager position in the IT industry to further develop my skills and contribute to exciting projects.
"
42,"
 One of my main achievements is obtaining a diploma of a junior specialist in a technical specialty. This experience provided me with a basic knowledge and understanding of technical processes, which is a valuable addition to my desired career.

During my studies, I focused on practical tasks and projects, which allowed me to gain real-world experience with hardware and software. I participated in student competitions, where I gained valuable experience in teamwork and solving complex problems.

This degree emphasizes my ability to learn new technologies and my desire to acquire knowledge in a field that requires technical competence. I feel that this knowledge will be useful for my future career and I am ready to use it to achieve high results in projects and assignments. Also, I will continue my studies and plan to get a higher education.

Unfortunately, at the moment I do not have any previous work experience in the relevant fields. However, I am deeply interested in the opportunities this field provides and am ready to focus on developing my skills and achieving high results.

My desire to learn and grow has helped me in previous projects and activities:

- Active participation in volunteer activities, where I acquired skills of cooperation, communication, and organization.
- Independent study of programming, web design, and other technological skills, which helped me when developing my own projects.
- Active participation in online courses and webinars on topics related to my interests, which allowed me to deepen my knowledge.

I strongly believe that through dedicated work and the ability to learn, I will be able to quickly acquire the appropriate skills for a successful career in this field. I am ready to invest all my energy and time in this process and make a positive contribution to a team.
"
43,"
 - Made a presentation of the project Kidsatschool with better than expected results
- Pet projects include:
  - UrbanUtopia: Developed a party application that aggregates questionnaires for youth and teenagers to find suitable parties or events, organize their own events, and receive party updates through various channels. Managed project documents such as project mind map, WBS mind map, road map, backlog, project data, critical path, estimate, ground rules, team building activities, questions for candidate, list of techniques and technologies for project layout management, PM reports, project risks, RACI, schedule tracking tools, SCRAM events, SOW, stakeholder register, team schedule management plan, general budget, FP schedule+cost, test plan, project closing checklist.
"
44,"
 Creative and goal-oriented specialist with 3+ years of experience in social media marketing, video production, and creative project management. Skilled in developing social media strategies and content calendars based on trends. Able to manage and prioritize multiple projects in a fast-paced environment. Strong team player with excellent relationship and time management skills.

Video Production (Freelance)
2021-2022
- Produced videos for 25+ businesses (restaurants, real estate, educational institutions, fashion, etc.), 50+ private events, and 10+ stock footage in collaboration with video operator
- Script writing and concept development 
- Conducted market research, tracked trends, and increased engagement through social media videos
- Maintained transparent communication with clients and managed project budgets

Houston Pub
2020-2021
- Developed marketing strategy and branding in collaboration with graphic designer
- Produced marketing roadmap and managed a team of 4 (designers, photographer, video operator)
- Managed social media platforms, engaged with target audience, and increased Instagram following and engagement
- Handled budget management and client communication.
"
45,"
 Vinnytsia IT Academy (Internship Project Manager)
- Prepare TR of the project, and fixation of requirements
- Organize team meetings
- Assign tasks to team members
- Control work with tasks
- Prepare reports for customer and organization meetings

Taurus-Group (Project Manager/Account Manager)
- Accompany clients at all stages of the logistics process
- Control payments, prepare reports, customs, and delivery documentation
- Accompany company on all web projects
- Prepare presentations for webinars
- Organize webinars

SkillmePro (Project Manager)
- Prepare project documentation: project brief, TR for designer, layout designer, developers, targetologist, PPC specialist, and copywriter
- Assign tasks for project and monitor implementation by team members
- Control payments and prepare project reports
- Prepare presentations for webinars
- Organize webinars

KNB-Studio (Kornienko-Studio) - Assistant to Project Manager/Account Manager
- Accompany studio clients at all stages of the project
- Prepare project documentation: project brief, TOR for designer, layout designer, developers, targetologist, PPC specialist, and copywriter
- Assign tasks for project and monitor their implementation by team members
- Determine deadlines for tasks and control deadlines
- Coordinate work with clients, protect studio's solutions to clients, work with objections and fix required edits, prepare technical requirements for the team
- Control payments, prepare project reports, receive and process feedback from clients on project tasks
- Participate in team meetings and project discussions
- Organize the recruitment process for the studio, conduct interviews and internships
"
46,"
 Vogue Hotel Supreme Bodrum, Turkey  2020-2022

Assistant Manager
- Responsible for planning, organizing and managing day-to-day administrative activities 
- Made decisions on methodological, administrative, and financial issues 
- Conducted inventory of goods in a warehouse 
- Gathered, analyzed, and monitored attendance data 
- Conducted search, attraction, selection, and interviewing of candidates 

Rainier Transportation Inc Logistic 2019-2020

HR Manager
- Conducted search, attraction, and selection of drivers for transportation of goods 
- Posted information about vacant positions in the media 
- Conducted interviews with candidates 
- Collected necessary documents and entered them into the system 
- Managed difficult situations during loading and unloading 
- Provided telephone support 

Vogue Hotel Supreme Bodrum, Turkey  Chief for Attendants 2015-2016; 2018-2019

- Managed animator's duties 
- Organized day-to-day activities and schedules 
- Conducted staff training and mentoring 
- Handled HR administration 

Beauty Salon, Ukraine  Director 2017-2018

- Developed name, logo, and marketing 
- Created loyalty programs 
- Found suppliers of consumables 
- Managed accounting 
- Handled HR administration 
- Maintained customer base 
- Managed cash flow 
- Resolved problems 

StartUp «Babyliss», Ukraine  Project Manager 2016-2017

- Managed primary documentation 
- Developed name, logo, and marketing 
- Sourced fabric suppliers 
- Developed prints on clothes 
- Formed costs 
- Controlled duties of subordinates 
- Handled HR administration 

LLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», Ukraine  Accountant 2012-2015

- Followed director's instructions 
- Used specialized accounting software package Microsoft Office 
- Managed cash flow 
- Conducted banking operations 
- Handled HR administration 
- Prepared financial reports for management 
- Conducted accounting and tax accounting 
- Supported foreign trade activities 
- Handled reconciliation and settlements with suppliers and customers 
- Maintained primary documentation 
- Analyzed accounts receivable and payable
"
47,"
 Self-made business (hiring 7 people) - postal delivery.
*Volunteer during Russian war against Ukraine:
Feb 2022 - nowadays
Collecting funds for the UA army (40.000$ donated); production of trench candles; forwarding help for displaced people; sending postcards to global leaders by mail & active social networks for international followers to keep focus on helping Ukraine; etc.  

*Founder of 2 “Meest” postal-logistic departments in Netishyn & Slavuta:
June 2020 – nowadays

*Co-founder of “Eco-Farm” in Netishyn:
Sep 2017 – Dec 2021

*Leader during Ukraine’s Presidential, Parliamentary & local elections in Netishyn:
Feb 2019 - Oct 2020 

*Organized charity project between Finland and Ukraine:
Apr 2012
Provided 15 tons of medical equipment for Ukrainian people with limited abilities and for the hospitals 

*Bachelor degree in “Environmental Engineering”
Tampere University of Applied Sciences, Finland (2011-2015)
*“Spatial Planning and Environmental Management”
Dublin Institute of Technology, Ireland (Erasmus exchange, 2013)
I am a project manager with a desire to develop and learn in IT. Willing to relocate.
"
48,"
 Ensured open communication with the development team, management, users and other stakeholders to address their needs and wishes in the project. Implemented a number of effective measures to resolve the crisis situation, which led to the restoration of the project in a record time
VR Workplace
The project consisted in creating a virtual office for a global communications holding uniting employees from all over the world. Implemented an effective project tracking and control system that improved understanding of project status and helped avoid delays and budget overruns.
Developed and implemented a project performance evaluation system, which allowed timely identification of problems and corrections.
Ensured a high level of customer or stakeholder satisfaction through a high standard of project execution and meeting their needs.
Identified and managed potential risks in the project, which helped to prevent problems and maintain good performance indicators.
Automated the monitoring and reporting process, resulting in a 30% reduction in reporting time and increased data accuracy.
"
49,"
 Social Marketing Manager at Art and Health HUB by ZELO

- Developed and executed creative social media campaigns resulting in a 30% increase in event registrations and participation
- Implemented a customer support system on social media, reducing response time to customers
- Managed social media strategies across Facebook, Instagram
- Created engaging social media content and analyzed data to inform campaign decisions
- Managed social media campaigns and influencer partnerships
- Monitored and moderated community conversations, addressing inquiries and concerns promptly
- Stayed up-to-date with social media trends and suggested new ideas to the team

Head Of Branch at PrivatBank

- Addressed and resolved customer issues, leading to a 90% satisfaction rate and improved client retention
- Provided guidance and support to micro-business clients, assisting with financial decisions and fostering relationships
- Organized branch workflow to ensure operational efficiency
- Maintained compliance with legal and regulatory requirements
- Collaborated with legal bodies and individuals to resolve issues
- Consulted with micro-business clients, offering guidance and support

Expectations and Offer as a Project Manager

- Strong leadership, analytical, and strategic abilities
- Effective communication and interpersonal skills
- Organizational skills to manage tasks and adhere to project timelines
- Experience in leading and motivating teams to achieve project goals
- Ability to address project challenges and make data-driven decisions
- Seeking a role focused on project management and coordination within a supportive environment that fosters professional growth and learning opportunities.
"
50,"
 Engaged in the creation of a web site – online resource for law consulting:
- Participated in the creation of the web site in cooperation with the team of developers
- Participated in design making of the web site
- Participated in the development of the logical structure of the web site performance
- Administered the clients of the resource
- Administered the cases which are worked out on the website

Pro Bono Lab manager (within Ukrainian Access to Justice School of Practice):
Responsible for managing the Pro Bono Lab platform, including gathering requests from non-governmental organizations and finding legal support from socially responsible pro bono partners (law and audit business)

Responsible for creation of the Learning course for social initiatives and NGOs from law and audit business experts:
- Researched the most interesting and desirable topics for social initiatives
- Engaged experts from law and audit firms
- Developed the course modules structure
- Developed test cases
- Participated in the filming process
- Administered the first run of students (30 participants)
- Transformed the learning course materials into SCORM-package in order to place the learning course on the Learning Management System
"
51,"
 - Founded and led own IT company for 8 years, overseeing up to 15 employees. 
- Managed teams of up to 3 individuals and 3 managers within the company. 
- Current company consists of 1 manager, 5 full-time developers, and 1 product project. 
- Proficient in agile methodologies, including scrum, and utilized task tracking systems such as Asana, Trello, and GitHub. 
- Skilled in versioning systems like git. 
- Experienced with WebGL and three.js, babylon.js. 
- Limited experience with react.js and vue.js. 
- 3 years of experience with PHP. 
- Skilled in project time and cost estimation. 
- Capable of guiding teams through complex technical challenges. 
- Proficient in leading scrum meetings and training others in scrum practices. 
- Passionate about building successful teams, motivating individuals, setting goals, and facilitating continuous improvement.
"
52,"
 I have extensive experience managing people in non-commercial projects, including leading various teams in school, university (specifically managing a large scientific project), and in my hobbies. This background has equipped me with strong communication and management skills, particularly in handling sensitive issues and resolving conflicts. My educational background includes earning a BSc and MSc in Theoretical Physics and another MSc in Nanoscience in Finland, where I focused on numerical modeling. I excel at handling complex problems and ideas. I have a passion for managing people and IT, which has led me to pursue a career switch from science.

Skills: Waterfall, Agile/Scrum, basics of project management (PERT, GANTT, CPM, etc.), Linux, bash, Python (used for scientific purposes), Lua, Git, MS Office, MS Project, fluent English, basic Finnish and French, B1 level German. Additionally, I have some experience with C++, MySQL, PHP, HTML, CSS, and Delphi. 

Career goals: Professional growth, effective management, friendly team environment, challenging tasks. I am driven to engage in intellectual work that involves solving complex problems and finding elegant solutions.
"
53,"
 • Result-focused, with a high level of personal motivation, responsibility, and self-organization.
• Building effective long-term trust-based relations with customers.
• Logical, analytical mindset, ability to structure and summarize large amounts of information.

With 5 years of excellent communication, prioritization, and problem-solving in legal practice, I am excited to utilize these skills. I am confident I can enhance project management quality with strategic thinking, flexibility, and coordination.

PROJECT MANAGEMENT EXPERIENCE:

Project - A
• Developed a solution for an outsourcing IT company to measure and trade against client and development team satisfaction KPIs in a timely manner.
• Designed a project health check dashboard based on the satisfaction score of key stakeholders.
• Scoped out the project, devised a ""12-click flow"" of project health check, and managed tasks of a team of 4 other students.
• Performed the Product Owner role.

Project - B
• Organized the development of special issues and migration from Tilda for the top 3 news agencies.
• Developed surveys for stakeholders to identify the top 5 must-have features in a new web constructor.
• Integrated best practices into the design process, reducing the time of special issues design process by 10%.
• Managed tasks of a team of 5 other students.

WORK EXPERIENCE:

AAL «LF “Pragnum”
2019-Present
• Managed high-profile cases with multiple-level stakeholders and handled 7+ cases simultaneously.
• Successfully defended a client for tax evasion totaling 10 million UAH due to lack of corpus delicti.
• Successfully represented a group of companies in a 2,000,000 USD dispute against Deposit Guarantee Fund.

AAL “PRAVOTA”
April 2016 – January 2019
• Efficiently represented the client in a wealth tax dispute, saving the client 5,000 USD.
• Overruled a 10,000 CHF fine in a dispute against National Wrestling Association.
"
54,"
 Quality Manager:
- Revamped and rewrote operational manuals from scratch, ensuring compliance with industry standards and introducing streamlined processes
- Improved safety measures and enhanced operational efficiency in the aviation industry
- Spearheaded a groundbreaking project in alternative medicine, offering unique treatments for holistic wellness solutions

Culinary Workshop Organizer:
- Organized three successful master classes in Ukrainian cuisine in Germany
- Demonstrated Ukrainian culinary traditions for cultural understanding and recognition
- Strengthened intercultural connections with positive attendee feedback

Human Resources and Business Creation:
- Crafted comprehensive business plans and acquired licenses and permits for business creation
- Navigated complexities of setting up a business from scratch
- Found perfect locations, created enticing branding, and devised successful marketing strategies

Marketing Assistant:
- Conducted in-depth market research, analyzed consumer behavior, and implemented dynamic marketing strategies
- Crafted compelling campaigns across digital platforms and physical events
- Managed databases for customer relationship management and lead generation

Overall:
- Adaptable, resourceful, and ready for new challenges
- Dedicated to delivering excellence in quality control, business growth, and marketing campaigns.
"
55,"
 Worked as a customer excellence consultant in an international environment, specializing in negotiating, creating and implementing successful sales strategies, exam registration, and fostering strong team relationships. Skilled in communication with clients, translation, and proofreading. Responsible for creating and editing advertising materials for the company website. Developed and implemented a Facebook chat-bot project in collaboration with the Marketing team, resulting in improved customer experience and decreased workload for customer service. Seeking a role in Project Management to further develop skills and contribute to company growth.
"
56,"
 Informal Education Courses Certification:

- Digital Law (BCA company)
- The Project Management Course: Beginner to Project Manager (UDEMY)
- Agile Fundamentals: Including Scrum and Kanban (UDEMY)
- Business Fundamentals: Corporate Strategy (UDEMY)
- Business Fundamentals: Marketing Strategy (UDEMY)
- Basics of Team and Project Management in IT (Prometheus)
- Basics of Project Management (Prometheus)
- IT Product from Scratch: Where to Start and How to Develop? (Prometheus)
- Modern Leadership (The Art of Breaking the Rules) (Prometheus)
- HR Career: Roles, Competencies, and Challenges (Prometheus)

In Progress:
Professional Certificate in ""Google Project Management"" (Coursera)

Dean's Office Manager at the Faculty of Cybersecurity and Informational Technologies:
- Worked with documentation and personal data
- Created various types of documentation (agreements, NDAs, financial documents)
- Communicated with stakeholders and negotiated with partners
- Managed HR processes
- Planned and organized events
- Managed workflow and handled multiple projects to meet deadlines

IT-Law Teacher at IT-Academy ""STEP""

Previous Experience:
Lawyer at IT company HOSTING.UA:
- Managed HR processes
- Handled personal data management
- Provided legal consulting on personal data law and intellectual property law
- Prepared documentation for various legal matters
"
57,"
 Key Achievements:
- Successfully connected 9 new customers in the past year, including chain HoReCa and retail establishments.
- Executed custom projects for prominent clients such as the ATB group of companies, the restaurant chains ""Puzata Khata"" and ""Mafia"".
- Led the development and launch of ""Daily Pizza"" departments from inception, opening a total of 6 locations.
- Established and implemented KPIs for ""Daily Pizza"" employees and retail staff.
- Optimized and centralized product assortment for improved efficiency.
- Developed and implemented the ""Value proposition"" for the ""Culinary"" direction.
- Created planograms from scratch for improved visual merchandising.
- Achieved a 28% increase in like-for-like category maintenance.
- Progressed through various roles in commercial procurement within the FMCG sector, starting as an assistant procurement manager and eventually becoming a category manager.
- Managed category and implemented various projects within the commercial procurement sector.
- As a Key Account Manager, focused on acquiring and supporting new B2B customers.
- Looking to leverage FMCG sector experience to transition into the digital realm and maximize managerial potential.
"
58,"
 Worked on a variety of projects that required close cooperation with the team. For a long time I was part of a team that searched and analyzed projects on the web3 market. During this period of time I gathered and set requirements for the technical team for further implementation of the project. Also had experience in strategic planning of project development in different foreign markets. 
The last position I held was a revenue manager. 
I want to develop in the direction of management. Interested in the position of project manager or business analyst.
Of course, I was not a project manager or a business analyst, I did not use trend techniques in my work, and I did not use the techniques that are needed to work in these specialties, but be sure that if you hire me, I will quickly learn all the relevant tools and bring benefits to the company
I expect from this work a direct impact on the welfare of the company and the stand myself as a professional. Im interesting to communicate with people, set up processes and create something new that will have a global impact on people's lives and help them.
"
59,"
 Finished Project Manager course at Hillel with honors.

Work Experience:

1. Kyivstar (November 2018 - February 2019)
First-line support operator: working with existing customers across the entire spectrum of services (PrePaid)

2. Agribusiness (September 2013 - June 2017)
Sales Manager (selling grain batches, renting out land/agricultural machinery)

3. Polygon Ltd. (Kyivstar main contractor) (January 2013 - July 2013)
Sales Manager (cold calling)

4. Telekomstroy Ltd. (October 2012 - December 2012)
Sales (cold calling)

Related Additional Education:

- English at LinguaCats (April 2019 - present)
- Project Management at Hillel (April 2019 - June 2019)
Obtained knowledge:
1. Software development models, methodologies, frameworks.
2. Stakeholders Management (stakeholders matrix, RACI matrix).
3. Risk Management.
4. Requirements Gathering (MVP, user stories, prioritization)
5. Estimation Techniques (3-point estimation, story points, hours)
6. Project Artifacts (Proposal, SOW, Project Management Plan, etc.)
7. Resource & Budget Management.
8. Backlog Management.
9. PM tools: Trello, Jira.

- IT Sales Manager at Look At Pro (January 2018 - March 2018)

Looking for an opportunity to start a new career as a Project Manager. Open to intern, trainee, or junior positions. Strong experience in Sales Management.
"
60,"
 - Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet usage
- Experienced in UI/UX design
- Skilled in Figma, Zeplin, Sketch, MarvelApp, and Invision
- Knowledgeable in 2D graphics including pixel and vector graphics
- Proficient in 2D design and 3D Max
- Able to work in various styles and draw by hand
- Experienced in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Experienced in testing games and making presentations in Power Point
- Familiar with bug tracking systems and project management tools such as Trello and Jira
- Experienced artist in the game industry with over 5 years of experience
- Passionate about working on interesting projects and acquiring new skills and knowledge
- Goal-oriented individual looking to contribute to fulfilling dreams through enjoyable work experiences
- Seeking a position at a company with a friendly team, engaging projects, and a competitive salary.
"
61,"
 - Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet tools
- Skilled in UI/UX design 
- Experienced in Figma, Zeplin, Sketch, MarvelApp, and Invision
- Knowledgeable in 2D graphics, including pixel and vector graphics
- Capable of 2D and 3D design
- Able to work in various styles and draw by hand
- Experienced in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Skilled in game testing and creating presentations in Power Point
- Portfolio available for review
- Proficient in bug tracking systems and project management tools, such as Trello and Jira
- Self-motivated artist with over 5 years of experience in the game industry
- Seeking to expand skills and knowledge by working on interesting projects and sharing experience 
- Goal-oriented individual dedicated to fulfilling others' dreams through enjoyable work
- Looking to join a company with a friendly team, engaging projects, and competitive compensation.
"
62,"
 As a web and UX/UI designer, I have experience working on projects such as the redesign of the Children's Music School website. I conducted analysis on the existing website, created wireframes, and focused on visual design to enhance user experience. I also worked on Pet-Saver-Hub, where I conducted user research, created user flows, and incorporated interactive elements to improve usability. My skills include wireframing, visual design, user research, and responsive design. I am seeking opportunities to further develop my UI/UX design skills and contribute to meaningful projects. I value communication, teamwork, creativity, and attention to detail in my work.
"
63,"
 Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network
Facility, Kiev — Head of Design Department
Mar 2018 - Present
Responsible for organizing design team process and optimizing design flow for various project types. Develop concepts for websites, brands, and other products; creating UI/UX, animations, logo books, brand guidelines, and brandbooks. Lead in tenders and offline company activities.
- Published on medium.com, mmr.ua, cases.media, vc.ru;
- Judged on CSSDA, Ukraine Creative Week. Currently in the process of joining the awwwards judge team;
- Conduct educational lectures in Underhub co-working.

Kiev Smart City, Kiev
Worked on concept and final product visualization for Kiev Smart Card. Developed a series of dynamic city ads concepts.

Mastercard, Kiev
Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Collaborated on mobile games, developing visual concepts and UI. Created concept arts for the second part of the game. 
Featured games that achieved top-chart placements:
- Evo Explores
- .projekt
Opportunity for career and financial growth, interesting projects, good management.
"
64,"
 More than 12 years of experience in design, including:
- More than 300 projects created, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles
- Created and managed own studio with 20 employees
- Taught over 150 students in UI/UX & brand design
- Speaker at Dribble & etc. conferences
- Master's degree in Engineering Design, currently studying for MBA
- Worked in industries such as eCommerce, Finance, Banking, Investments, Marketing, and more
- Clients from USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine

Experience:
2022: NDA
2021: UX Designer at Bank BVR
2020: UI/UX Design Teacher at Hillel IT School
2020: Lead Product Designer at Innovation Box
2019: UI/UX & Brand Designer at Ardas
2017: UI/UX & Brand Designer at M2E pro
2016: UI/UX & Brand Designer at Forforce
2015: UI/UX & Brand Designer at Art. Lebedev Studio
2014: CEO & Designer at Own Design Studio
2013: UI/UX & Brand Designer at Poster
2012: UI/UX & Brand Designer at le Weekend
2011: UI/UX & Brand Designer at November Design Bureau
2006: Graphic Designer, freelance
2002: Make Cartoons in Paint :)
1999: Drawing School

Skills:
- Proficient in HTML5, CSS3, TypeScript, Vue.js, Python, and Swift
- Strong understanding of frontend and backend development
- Experience in various industries including NFT, Music, Auto, Fashion, and more

I am passionate about design and strive for perfection in every project I undertake.
"
