id,CV
23,"
Hello, I am a Junior UI/UX designer. My journey in this field has just begun, but I am eager to learn and grow.
I have recently completed courses in UI/UX design, where I learned the basics of interface design, color theory, typography, and other aspects that are important for creating effective and high-quality user experiences.
I am inspired by new technologies and the latest trends in the design industry, and I am ready to learn everything related to UI/UX design to become the best professional in this field.
I aspire to work in a team of professionals to gain experience, learn new skills, and contribute to creating practical and cool interfaces.

Project Experience.
Redesign for an Indian restaurant.
Website, a full cycle design.
The website was created a long time ago and not adapted for mobile devices, also web site usability did not meet user expectations. As a result, I've redesigned a website end interface that will lead to a high level of customer acquisition.
Turnabout- Travel Booking Web-Service.
Web service. a full cycle design. Teamwork.
Turnabout is a platform for renting housing in a classic way or renting for free.
Competitor analysis was conducted, personas were created, wireframes were made, and finally, the design was created
Rest Book - Mobile Application.
Mobile Application. a full cycle design. Teamwork.
Application for choosing and booking tables in a restaurant.
Competitor analysis was conducted, personas were created, and wireframes and designs were made.
I am a creative person and I like designing websites and mobile applications. Now I realize myself in UI/UX Design. During her studies, she made a landing page for a barbershop in Kyiv, redesigned an Indian restaurant, and designed a web service for housing reservations and a mobile application for booking tables in a restaurant.
I am open to new knowledge and technologies."
24,"- Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.
- Completed two pet-projects: a mobile application for Djinni platform; a bill-split mobile application.
Hello :)
 I am a junior UI/UX designer with solid experience in IT as a recruiter, which is more than 3 years. The experience gave me a good understanding of SDLC and IT-business processes.   

 I've spent 4 months learning UI/UX, Figma, design theory and partially CSS/HTML during the course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.

 Also I have been mentored by a senior UI/UX designer who helped me analyze my mistakes and boost my learning process. 

 Mentioning my experience as a designer, I have designed my two pet projects so far:
- A mobile application for Djinni platform. 
- A bill-split mobile application.

Currently I continue working on my new pet-project while I am looking for my first commercial project as a UI/UX designer.
I am searching for a long-term cooperation, which will be a great experience both for me and the company.

I will not consider cooperation with russian/belorussian customers or projects."
25,"For me, the achievement is the full path I have travelled from creating a website design for an online shop of a Ukrainian brand of women's clothing, to its release on the Internet. Joint development of the site, purchase of domain and hosting, connection to the payment system. The ease and accessibility of the site led to an increase in sales of my client's goods.
Hello, I am a UI/UX designer with 1 year experience or more. I have work experience and client communication skills and 20 years of experience as a furniture and interior designer. Have completed many projects in this field over the years. Since the beginning of the war in Ukraine I decided not to waste time and changed my direction in design.  After graduating from ""Alpaca - Tech & Digital School"", currently working as a freelancer. There are working projects of Ukrainian brands. I want to work in a team of professionals with whom I can develop professionally, gain experience and benefit the team with my work. I work in Figma, Photoshop, Illustrator. I took a course Webflow, I have an understanding of HTML and CSS. Skills: Target audience research, sitemap, user map, UIKIT, components, autolayout, wireframing, prototiping, knowledge of hierarchy, colour and typography.
"
26,"
Hello! I am self-motivated designer and I'm looking for a full-time UI/UX designer position.
Finished web designer courses at KAMA, participated in design marathons from IT schools.

I have some freelancing experience. For example, one of the projects is a landing page for the Employment Abroad agency. Within the framework of the project, a brief, terms of reference, creation of a prototype and interface design were carried out.

I have experience creating:
- landing pages
- adaptive design (mobile and web interfaces)
- basic animation (in Figma)
- prototyping
- UI kit
 
In addition, I have 4 years of experience as a graphic designer.
For the last 2 years I worked in a company where my main responsibilities included:
- graphic support of content in social networks
- development of creatives for targeting
- design and prepress preparation of printing materials in accordance with the brand book
- development of the concept and layout of catalogs
- photo retouching
- website redesign, graphic content (adaptive banners, icons), content selection

Software Skills:
- Figma
- Adobe  Photoshop
- Adobe  llustrator
- Tilda
"
27,"Was a team leader in the project ""Webservice”;
Creation of a medical web service;
Several cases of website redesign;
Creation of product platform design.
Hello! I have a lot of experience working with advertising, printing products and managing full-scale advertising projects.
Now I work as a UI/UX designer, I am constantly improving my skills and I really like it!
I have interesting experience as a team leader in several large projects, here are some of them:

Project Experience

Redesign
Site, complete design cycle
Complete redesign of the sports bar website. 
The site was very outdated and difficult to use. 
The goal was to update the visual part as well as an easy-to-use site with the possibility to book tables. 
The project was developed for users.
It was also fully adapted for tablets and mobile phones.

Webservice
Web service, full design cycle
Medical service for finding and making an appointment with a doctor.
The goal was to create a convenient native service for patients and doctors. A user interface, an interface for a doctor, and an interface for online consultation were developed. Adaptations for tablets and mobile phones were also created.
I expect new acquaintances, interesting projects and a friendly and cool team"
28,"I designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, with which he spoke to the mayors of Ukraine's large cities and promoted digital transformation.
Hello! 

I have:
— Great knowledge of Figma (auto-layout, components, variants, styles, plugins, animation, prototyping);
— Great knowledge of WebFlow (CMS, responsive, animations, publishing, integrations);
— Experience in creating UI kits and working with design systems;
— Great visual skills approved by my previous manager and my Projector mentor;
— Experience in stakeholder and user interviews;
— Experience in user testing;
— Basic knowledge of HTML/CSS and Bootstrap;
— With attention to detail and the ability to generate and propose ideas.

I've worked in these domains:
UI: clothes shop (web and mobile app), dentistry, public transport app, electronic document management system.
UX and UI: pizza delivery, recruitment & job board sites.
I am looking for a Junior UI/UX Designer position in a friendly team with a mentor to help me develop and gain experience."
29,"I have a good background in theory and my experience in the pharmaceutical field helps me to think about the user and create user-centered design. As part of the training course, I completed 5 projects. Thanks to this, I learned how to create a mobile application, landing page, dashboard, web service, website redesign. Analyzed competitor sites, conducted surveys among potential service users, created User Flow and CJM.
Hello. I'm a junior UI/UX designer. I've mastered Figma and Adobe Photoshop. Speaking about my skills I know how to design landings, websites, mobile-apps. Due to this I'm good at core technical skills. Also my soft skills help me to be a good Team-player and a Problem-solver. I'm really energetic ,a great communicator and an organized person. I'm a quick and responsible learner, who likes to gain new knowledge and perform complex tasks. My passion is to create a helpful and intuitive user interface, which makes a positive impact on the user experience. I'm open to internship or job offers. 

Projects Experience

- PetDetective – Webservice
A platform that will help owners of lost animals find them faster and provides an opportunity to become a volunteer and help in the search for missing animals. I analyzed competitor sites, interviewed potential users and found out what functionality they need for convenient use. This service has a lot of useful information about animals and what people need to do when they find a lost pet.

- Cucina di Catharina – Website redesign
The main goal was to update the website of the homemade traditional Italian gravy. I structured the information on the site, added new quality photos, reduced the amount of content and made a CTA button, used a palette of accent colors.

- Mobile app PresentPerfect
It is a mobile app that allows users to send
personalized gifts with just a few taps. I used Material Design System for create this project.  I analyzed competitor apps, interviewed potential users and found out what functionality they need for ease of use. I created user personas and user flow. This app has more than 40+ screens and focuses on details, all pages have been animated.

- Dashboard for IT school
The main goal of this project was to create a dashboard for a student and teacher of an IT school, which will display the main metrics.

- Landing page Timeless Home
The main goal was to make visitors feel welcome, help them discover our watches, and encourages them to make a purchase or take a desired action. I created intuitive user interface, well-read structure with the right accents keep the user’s attention.
•	Career growth
•	Focus on results and open team
•	Possibility of remote or partially remote work
•	Corporate culture, work ethic and the value of each employee"
30,"I have a good background in theory and my experience in the pharmaceutical field helps me to think about the user and create user-centered design. As part of the training course, I completed 5 projects. Thanks to this, I learned how to create a mobile application, landing page, dashboard, web service, website redesign. Analyzed competitor sites, conducted surveys among potential service users, created User Flow and CJM.
Hello. I'm a junior UI/UX designer. I've mastered Figma and Adobe Photoshop. Speaking about my skills I know how to design landings, websites, mobile-apps. Due to this I'm good at core technical skills. Also my soft skills help me to be a good Team-player and a Problem-solver. I'm really energetic ,a great communicator and an organized person. I'm a quick and responsible learner, who likes to gain new knowledge and perform complex tasks. My passion is to create a helpful and intuitive user interface, which makes a positive impact on the user experience. I'm open to internship or job offers. 

Projects Experience

- PetDetective – Webservice
A platform that will help owners of lost animals find them faster and provides an opportunity to become a volunteer and help in the search for missing animals. I analyzed competitor sites, interviewed potential users and found out what functionality they need for convenient use. This service has a lot of useful information about animals and what people need to do when they find a lost pet.

- Cucina di Catharina – Website redesign
The main goal was to update the website of the homemade traditional Italian gravy. I structured the information on the site, added new quality photos, reduced the amount of content and made a CTA button, used a palette of accent colors.

- Mobile app PresentPerfect
It is a mobile app that allows users to send
personalized gifts with just a few taps. I used Material Design System for create this project.  I analyzed competitor apps, interviewed potential users and found out what functionality they need for ease of use. I created user personas and user flow. This app has more than 40+ screens and focuses on details, all pages have been animated.

- Dashboard for IT school
The main goal of this project was to create a dashboard for a student and teacher of an IT school, which will display the main metrics.

- Landing page Timeless Home
The main goal was to make visitors feel welcome, help them discover our watches, and encourages them to make a purchase or take a desired action. I created intuitive user interface, well-read structure with the right accents keep the user’s attention.
•	Career growth
•	Focus on results and open team
•	Possibility of remote or partially remote work
•	Corporate culture, work ethic and the value of each employee"
31,"- Drove financial and employee satisfaction results of the Photo operation onboard Royal Caribbean and Celebrity Cruises ships; - Constantly worked on adjusting marketing strategies to meet the current needs of the business; - Was fully responsible for welcoming and smooth acclimatization of new staff members; - Led teams of 10 to 13 employees, creating and correcting work schedules to accommodate necessary changes, organizing team activities, and keeping employees happy; - Dealt with customer service issues, both preventively and reactionary, made sure no guest has left the Photo Gallery dissatisfied; - Professionally communicating with ship’s officers, other department heads, and shore side management have earned trust and confidence from all parties.
To save your time, here's the most essential information regarding my experience:
3 months of internship in an IT company specialized in Shopify web development.
Prior to that:
4 years of experience managing teams of 10-25 employees in the cruise industry as a Head of Department; Among the main responsibilities were reaching the financial targets, training, and development of new employees, business communication with clients, and management.
I'm looking for a stable position at a company that values human capital over short-term gains. I'm interested in everything HR-related and ready to start with an entry-level position with, practically, any salary. However, I do expect the efforts to be noticed and the career ladder to be available accordingly."
32,"Talking about achievements, I would say that my biggest one is connected with the start-up that we created with a team of groupmates. The idea was to create a smart weather station for paragliders. We had several successful project pitches and found the stakeholders who were ready to invest money into our idea. But then - the war started.
To start with, I have project management experience on a start-up that we created with my groupmates. I used to communicate with stakeholders, gather information, analyze the market, organize meetings, and create project documentation.

Secondly, I was a member of the international organization AIESEC where I used to organize events and projects, and work with people from different countries.

Another thing worth mentioning, I have knowledge in project management, coding and many technologies.
At the current stage, I am not motivated by money. I crave for a place where I would grow personaly and profesionally, where it would be interesting and challenging."
33,"I have over 4 years of design experience. I graduated from the bachelor's and master's programs at KhNEU. S. Kuznets with a degree in graphic / web design (Technology of electronic multimedia publications).
Created a corporate identity, redesigned an existing one. Successfully communicated with customers, drafted briefs for design development and took technical specifications from customers. Managed projects from start to finish.
Participated in city competitions to create a logo for the Department of Family, Youth and Sports.
I can plan, communicate with people, I am not afraid of risks and quickly solve problems. I studied psychology, I know how to understand a person and win over.
Trainee, Layout maker Newspaper «Kharkiv News» 
Oct 2021 – Nov 2021 * Kharkiv, Ukraine 
• Prepare layouts for printing 
• Processing of illustrative material 
• Placement of materials on the pages of the newspaper 

Content manager COZI.UA 
Aug 2020 – Sept 2020 * Kharkiv, Ukraine 
• Organizing and conducting photo shoots 
• Create photo/video content 
• Writing scripts to communicate with clients

 Web and graphic designer LOGOVO
Feb 2019 – May 2020 * Kharkiv, Ukraine 
• Development of corporate identity 
• Design development of printed products
• Preparing files for printing 
• Development of sites on WordPress 
• Development of banners for advertising
I like to engage in organizational processes, find a common language with people, communicate, successfully solve difficult problems, I like to take care of people and help them achieve results. I like to do design - creating printed materials, corporate identity, typesetting newspapers, magazines. I don't really like to do programming, I have experience in using markup language -css/html."
34,"
Trainee Project Manager | Junior Project Manager

Trainee/Junior Project Manager with 1 year of end-to-end delivery of commercial projects using best Agile practices (Scrum and Lean).

A qualified interpreter with 2 years of experience in various fields such as military, IT, and humanitarian work.

Managed a team of 6 translators and technical consultants to successfully deliver the project on maintenance documentation for equipment worth more than 3,000,000$ per unit despite the lack of reference materials and incredibly short deadline.

Ownership of a project on maintenance documentation for equipment resulted in 2.5X lead time decrease and release of meaningful instruction of over 10,000 highly technical words in Ukrainian within only 8 days.

Result-driven, highly organized, and structured person with critical thinking, analytical, prioritizing, and great
decision-making skills in a fast-paced and highly stressful environment.

Recognized for strong communication skills with stakeholders of all levels.
"
35,"• Got promoted from pharmacist to head of pharmacy after 2 years of work.
• Managed busy schedules and sales plan resulting in a 10% increase in annual revenue.
• Trained and supervised technicians and sales assistants for smooth operations.
Trainee Project Manager(Pet Project)
IT School IAMPM Project Management Courses
March 2022 to August 2022 ( 6 months)
• Develop a detailed project plan to track progress.
• Use appropriate verification techniques to manage changes in project scope, schedule and costs.
• Perform risk management to minimize project risks.
• Create and maintain comprehensive project documentation.
• Experience with tools:Miro,Product Plan,Jira, Confluence,Trello.
Private entrepreneur/Senior Sales Manager
Women's clothing chain
August 2019 to February 2022 (2 years, 6 months) 
• Customised customer experiences to build brand loyalty.
• Supervised work of contracted employees to deliver work on schedule.
• Met schedule using excellent planning and coordination skills.
• Explored and created new ways to resolve problems with processes, technology or team members to improve overall efficiency.
Head of Pharmacy
Pharmacy Chain ""Gamma-55""
July 2014 to August 2019 ( 5 years)
• Safely administered immunisations, travel medicine, medication therapy management and other specialty programmes.
• Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.
• Collaborated with health care professionals to monitor and evaluate medicine therapy quality and effectiveness.
• Trained and supervised technicians and sales assistants for smooth pharmacy operations.
"
36,"Since my first education was as a radiotechnical systems 
engineer, I had experience working in a copper plant. I was 
involved in optimizing and automating the electrolysis system, 
which allowed me to save and control one of the main steps in 
the production of a metal cathode (thick copper wire). After I 
decided to change my specialty and become involved in 
management and optimization of business processes, I 
developed a new system of accounting and control of 
production at each of the stages of production. 

In my last job I am an intermediary between a technician and a 
client in achieving satisfactory results on advertising 
campaigns, especially if the project concerns the ecommerce 
field. There was one of the cases, on the sale of machinery in 
New Zealand and RadioDetails in India. Developed a separate 
plan and strategy to get positive results, which allowed clients 
to have ROAS (revenue to cost ratio) of an average of 700 
percent per month. These are two of my favorite case studies. 
Building full communication with the team and the client 
allowed us to respond to their key areas or products that had 
unsatisfactory results and get positive feedback from the 
client

I have 3 implemented business processes in building company. 
Management processes in business digitalization. 

Have kind of experience in relocate goverment medical structure in new soft.
TRENDO
Account manager
July 2022 - present time
- communication with foreign clients
- advertising campaign analytics
- reporting to clients 
- sprint meetings with the project team
- distribution of tasks and deadlines between the project team 
- work in accordance with the kanban methodology 
- Setting up sites with GTM 
- Setting up Universal and GA4 analytics 
- Customizing conversions for Google Ads
- Customizing Google Merchant rules and optimization 
- Optimizing Shopify


ZEZMAN
Junior Project manager/Junior Business Analytics
September 2021 – April 2022 (6 months)
Odessa, Ukraine
- Create schedules and collect documents to orient and guide projects and
outcomes.
- Communicate with stakeholders about scheduling, staffing and technical
requirements.
- Organization of work of the Business Analytics Unit.
- Planning large-scale projects in the direction of digitalization and
implementation of electronic document management.
- Support in the implementation and optimization business process.

July 2020 - September 2021
ORCSSD
Position: Administrative Manager (Project sphere)
Job duties:
- Create schedules and collect documents to orient and guide projects and outcomes.
- Translate metrics into actionable, meaningful intelligence.
- Manage expectations and track risks and benefits.
- Communicate with stakeholders about scheduling, staffing and technical requirements.


February 2020 - April 2020
«Vs Project»
Position: Junior Technical Project Manager
Job duties:
- Full project life cycle ownership: successful project delivery will include full implementation from initiation to deployment for one major or several minor initiatives simultaneously
- Ensure that projects and programs are proceeding according to scope, schedule, budget and quality standards

October 2019 - December 2019
Government projects
Position: Trainee Project Manager
Job duties:
- Plan, manage, and monitor project execution. Deliver projects on-time and within the allocated budget
"
37,"-Kyiv National Linguistic University (KNLU), Kyiv (Bachelor), from 2009 to 2013.
Degree: philology, specialist of translations (English).
-Kyiv National Linguistic University (KNLU), Kyiv (Master- Diploma with honours), from 2013 to 2014.
Speciality: “Translation (English) - Master of Arts (Translation), philologist, interpreter- translator of the English and the Spanish languages.

Additional education and certificates:
•	Certificate of completion of the Course “Deeply Practical Project Management” by     William Stewart PhD, PMP (2019)
•	Certificate of the Kyiv Advertising School in the specialty “Event Management” (2015)
•	«The First State Courses of Foreign Languages» Certificate (English).
•	Certificate of participation in the ""Days of reading of the novel "" Don Quixote "", signed by José Rodríguez Moyano, the Ambassador of the Kingdom of Spain in Ukraine (2012).
•	Certificate of the 1st place in the translation of poetry competition during the Days of the Spanish language.
•	Certificate of participation in the 1st Ukrainian scientific and practical conference of young scientists.
•	Tutor of the English (from 2008) and the Spanish (from 2012) languages.

•	Freelancing. 
Project Management (several web projects).
Interpreter of English and Spanish. 
Cooperation with the Luxe Cube brand company. 
Cooperation with Spanish private individuals.

•	Translation agency ""Antey"". From 2012 to 2016
Translation of texts of different thematic areas, interpretation, translation of documents from / into English and Spanish.

•	NEOGENIA Ltd. From 2016 (January) to 2017 (August)
Customer service manager. Interpreter/translator of Spanish and English. Medical coordinator. Operations Management.
Medical coordination, consultation and support of foreign clients at clinics and hospitals. Correspondence and communication with foreign clients, translation of texts (including medical documentation). Support of clients, consecutive interpreting, business negotiations, visa support, sales management.

•	“IVF- GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center. From 2017 (September) to present
Operations Manager. Manager of International Affairs. Interpreter/translator of Spanish and English. Customer service manager. 
Medical program coordination, consultation and support of foreign clients at clinics and hospitals. Correspondence and communication with foreign clients, translation of texts (including legal and medical documentation). Support of clients, consecutive interpreting, business negotiations, sales management. Program Coordination Manager.

SKILLS 
•	Customer Operations Manager, Conflict Management  (over 4 years)
•	Project Management: basic understanding of web application development flow, control systems, project pre-sale, project estimations, costs, task management.
•	PM Methodology Experience: Scrum, Agile, Canban
•	PM Platforms: Jira, Trello, YouTrack
•	Experience in working with G-suite
•	Basic Knowledge: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10.
"
38,"
Ukrainian Corporate Governance Academy (UCGA) MAR01 2022 - NOV30 2022
Position: Project manager & CEO assistant 
Tasks: Keeping track of project progress
Participating in daily meetings
Scope & schedule planning
Organizing & managing the meeting for current/new initiatives
Helping the team with ongoing tasks during the project
Documenting the resources required to achieve the project objectives
Conducting researches required for any initiatives
Optimizing and managing organizational spending
Preparing meetings follow-ups, presentations
Leading reporting to the board of directors on tasks completed
Conducting retrospectives with the team
Keeping tract on building long-term goals of the company

Dattalion (Volunteering)
Data Collection Team Lead & Operations manager
Tasks: Develop, implement & review operational policies and procedures,write data collection
guidelines
Onboard new data collection managers
Monitor compliance with internal regulations, oversee data collection process
Formulate strategic and operational objectives,perform quality controls and monitor KPIs
Work with Partners,Donors, Co-Founders, and other Managers
Participate in weekly meetings, understand the project state & needs
Lead, motivate, support the team, maintain a positive environment
Identify, address problems & opportunities for the project
Examine, manage budgets usage
Conduct budget reviews, report cost plans to upper management
Review, approve all operational invoices. ensure they are submitted for payment

HCM International Ltd., Researcher & Analyst
JAN 2019-FEB 2022
"
39,"SCIENTIFIC CHRONICLE  
June 2012 – graduated from the State Flight Academy of Ukraine, bachelor degree.    
December 2012 – passed an exam of ICAO English and frazeology – 4th level    
December 2012 - June 2013 – was working on research in Air Traffic Management class, “Patterns of activity of operators in the system of air navigation services in case of delays”.    
July 2013 – graduated from the Kirovograd Flight Academy of the National Aviation University of Ukraine, Specialist degree (equal to Master degree).    
July 2015 – passed the TOEFL iBT Scaled Scores - (Intermediate level – score 86)    
September 2015 – entered the Beihang University of Aeronautics and Astronautics, Navigation, Guides and Control specialty    
May 2016 – in cooperation with Zheng Shuai-Yong published a conference paper “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle”    
December 2016 – was awarded a scholarship price  in the Beihang University for outstanding behavior and activities participation    
January 2017 - founded the ideas of: Micro drones flights inside the city implementation in China, Altitude Control For Micro Small Drones Flying At The Low Altitudes Of The National Airspace, Offline Local Maps Creation For Micro Drones Outside Implementation For Commercial Use   
June 2017 – our laboratory under professor’s Quan Quan supervising published a book “Introduction to Multicopter Design and Control”.  
October 2017 – has been invited for International Conference to present paper “Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace”.    
November 2017 – get involved in experiment project ‘Comparison of using the 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance’    
January 2018 – Appointed as a Head of Education Department in Beihang University   
March 2018 – Become an intern in TUS HOLDING Ltd.
Ukrainian, Russian – native languages  English – Advanced (TOEFL 96, ICAO 4)   
Chinese – HSK3, continue studying  Spanish – pre-intermediate (can continue to study, if necessary)   

ADITIONAL SKILLS  Operational systems user: IOS, Windows, Linux; Computer programs: MS Office, Mac Office;  Task operational programs: Mantis, Leader Task; Graphic editors: Photoshop, Corel; 3D printing applications: 3D Max, Cura, Meshmixer; Computer languages: HTML, SQL, Mathlab, Python; Knowledge of file sharing and cloud systems Knowledge of office equipment Social networks: Facebook, Twitter, Instagram, Wechat
No sales please"
40,"- Got two high educations;
- Got Cambridge certificate;
- Rallied the team of people, who were almost ""hopeless"";
- Motivated and worked with big groups of people, who succeed ;
- Got the new profession and proud of it (never afraid of any difficulties)
- Got the 2nd winning place, while studying as a PM (got no IT background before, all other students were developers and PM's already, but there is nothing impossible, if you got will to learn) 
- Co founder of the startup (mobile app); IT English Teacher; Key clients manager; PR-manager; content writer \ copywriter \translator.
Understanding of the Agile philosophy ;
Understanding of modern methodologies  of IT projects managing: Scrum, Kanban, Scrumban, Waterfall .... etc .;
Understanding of organisational effectiveness;
Knowledge of JIRA, Trello, ROADMAP  ..etc..;
Understanding of the SDLC;
Understanding how to create and execute project plans;
Managing day-to-day op. activities of a project;
Experience in maintaining documantation;
Experience in organizing people and projects;
Experience in conducting trainings;
Negotiating experience;
English C1. Cambridge certificate.
I expect working in a friendly and warm team, who are big fans of what they do.  It's very important for me to have pleasent atmosphere around.
Would like to work with professionals, who are also as passionate about new knowledge and new technolodges,  as I. 
I'm looking for a company, that knows  you can be good even if you don't have too much experience, but understands, that if you want to learn and work hard - there is nothing impossible at all. 
I'm looking for a company, that gives opportunities."
41,"• Implemented various projects in terms of complexity and specificity within the budget and in the required time frame.
• Have experience managing several projects at the same time, set tasks to staff and control of task execution.
• Broadened my mind by working with different projects and clients.
• Raised my level and speed of work.
• Self-organization of work as a remote employee.
• Gained my skills from working with clients.
- Understanding the project management process;
- Understanding the development life cycle;
- Working with customer expectations;
- Performing written and spoken client communication;
- Search and collection of all necessary information about the potential client;
- Writing and maintaining project documentation;
- Identification of customer requirements, goals order to propose an optimal solution, as well as providing 
recommendations. Ensuring customers management through communication;
- Coordination with the client of the timing of the work;
- Experience in team coordination with task prioritization;
- Facilitation, coordination, scheduling, and managing designer’s team;
- Manage 2-3 projects simultaneously;
- Preliminary testing of completed tasks;
- Build and maintain strong, long-lasting customer relationships;
- Communication skills and the ability to take responsibility for one's own work.

Skills: Project Management, Methodologies (Waterfall, Agile, Kanban, Scram), Team management, Sales. 

Programs: Microsoft Office,Hands on experience with WordPress, Trello, Slack.

Personal skills: Communication, People motivation, Conflict Solving Skills, Ability to work in a fast paced environment, 
Ability to simultaneously manage multiple tasks/projects and deadlines, Hardworking, highly-organized and attentive to details, motivation to improve professional skills.
Now I am looking a new opportunity to work as Project Manager in IT sphere and developing in the chosen direction. 
I want to work with interesting projects and improve my skills."
42,"One of my main achievements is obtaining a diploma of a junior specialist in a technical specialty. This experience provided me with a basic knowledge and understanding of technical processes, which is a valuable addition to my desired career.

During my studies, I focused on practical tasks and projects, which allowed me to gain real-world experience with hardware and software. I participated in student competitions, where I gained valuable experience in teamwork and solving complex problems.

This degree emphasizes my ability to learn new technologies and my desire to acquire knowledge in a field that requires technical competence. I feel that this knowledge will be useful for my future career and I am ready to use it to achieve high results in your projects and assignments. Also, I will continue my studies and plan to get a higher education.
Unfortunately, at the moment I do not have any previous work experience in the relevant fields. However, I am deeply interested in the opportunities this field provides and am ready to focus on developing my skills and achieving high results.

My desire to learn and grow has helped me in previous projects and activities:

Active participation in volunteer activities, where I acquired skills of cooperation, communication and organization.
Independent study of programming, web design and other technological skills, which helped me when developing my own projects.
Active participation in online courses and webinars on topics related to my interests, which allowed me to deepen my knowledge.
I strongly believe that through dedicated work and the ability to learn, I will be able to quickly acquire the appropriate skills for a successful career in this field. I am ready to invest all my energy and time in this process and make a positive contribution to your team."
43,"Made a presentation of the project Kidsatschool  with a better result than expected . I have two Pet project ( individual and with team )
UrbanUtopia
The product is party application that 
aggregate questionnaires for youth people and teenagers who want search party 
for yourself and don’t make mistake with party thematic or type of pastime . Users can :
•  find suitable parties or events 
• Organize own party or event and find the right people 
• to get party updates on Telegram, E-mail, Phone and in App
Project document :
Project MInd map 
WBS Mind map
Road map 
Backlog 
Project data 
Critical path 
Estimate 
Ground Rules,Team Building activities,Questions for candidate
List of techniques and technologies for managing the layout for the project_
PM Reports
Project risks
Question for the client 
RACI
Schedule tracking tools 
SCRAM events 
SOW
Stakeholder register 
Team schedule management plan
General budget
FP Schedule+Cost
Test plan 
Project closing checklist
I filled out all the above documents
"
44,"I'm a creative mind, agile, goal-oriented specialist with 3+ years of experience in social media marketing, video production and creative project management. 
Skilled in developing social media strategies for businesses and  concepts for content calendars based on trends and creative approach. 
Able to manage and prioritize multiple projects in a fast-paced environment. Team player with strong relationship- and time management
Video production (freelance)
2021-2022
- video production for 25+ business (restaurants, real estate, educational institutions, fashion etc), 50+ private events and 10+ stock footage in collaboration with video operator
- script writing and concept development for videos
- provided market research, tracked trends and boosted engagement via video in clients social media.
- handled transparent comunication with clients 
- managed budget for projects

Houston pub
2020-2021
- development of a marketing strategy and branding in collaboration with graphic designer
- produced marketing roadmap and managed the team of 4 (designers, photographer, video operator) 
- social media management
- comunicated with target audience, grow Instagram audience and boost engagement 
- managed budget
"
45,"
Vinnytsia IT Academy (Internship Project Manager)
Prepare TR of the project, and fixation of requirements.
Organization of team meetings.
Assignments tasks to the team members.
Control of work with tasks.
Prepare reports for customer and organization meetings with him

Taurus-Group (Project Manager/Account manager)
Accompanying clients at all stages of the logistics process
Control of payments, preparation of reports, customs, and delivery
documentation.
Accompanying company on all web projects.
Preparation of presentations for webinars.
Organization of webinars.

SkillmePro (Project Manager)
Preparing project documentation: project brief, TR for a designer, layout
designer, developers, targetologist, PPC specialist, and copywriter.
Assigns tasks for the project and monitors their implementation by team
members.
Control of payments, and preparation of project reports.
Preparation of presentations for webinars.
Organization of webinars.

KNB-Studio (Kornienko-studio)
Assistant to Project Manager, Account manager
Accompanying studio clients at all stages of the project.
Preparation of project documentation: project brief, TOR for a
designer, layout designer, developers, targetologist, PPC
specialist, and copywriter.
Assigns tasks for the project and monitors their implementation
by team members.
Determination of deadlines for the implementation of tasks and
control of deadlines.
Coordination of all work with clients, and protection of the
studio's solution to the client. Working with objections and fixing
the required edits, with the preparation of technical
requirements for the team.
Control of payments, preparation of project reports, and
receiving and processing feedback from clients on project tasks.
Participation in team meetings and project discussions.
Organization of the recruitment process for the studio.
Conducting interviews and internships
"
